7. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО УРОВНЮ ОБРАЗОВАНИЯ 												
ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО  ПРОЖИВАНИЯ КМН												
												
	Численность населения соответству-ющей националь-ности в возрасте 15 лет и более	в том числе  имеют образование								Не имеют
Городское население	904.0	4.0	113.0	30.0	188.0	110.0	279.0	148.0	27.0	5.0	4.0	-
Сельское население	3824.0	1.0	139.0	44.0	684.0	343.0	973.0	1024.0	533.0	81.0	64.0	2.0
Красноярский край												
Городское и сельское население	3957.0	3.0	196.0	47.0	710.0	399.0	1017.0	1006.0	498.0	81.0	66.0	-
Городское население	779.0	2.0	89.0	20.0	167.0	104.0	229.0	138.0	25.0	5.0	4.0	-
Сельское население	3178.0	1.0	107.0	27.0	543.0	295.0	788.0	868.0	473.0	76.0	62.0	-
Таймырский (Долгано-Ненецкий) автономный округ												
Городское и сельское население	3712.0	2.0	181.0	37.0	647.0	367.0	944.0	964.0	491.0	79.0	65.0	-
Городское население	567.0	1.0	75.0	11.0	111.0	77.0	161.0	106.0	21.0	4.0	4.0	-
Сельское население	3145.0	1.0	106.0	26.0	536.0	290.0	783.0	858.0	470.0	75.0	61.0	-
Республика Саха (Якутия)												
Городское и сельское население	771.0	2.0	56.0	27.0	162.0	54.0	235.0	166.0	62.0	5.0	2.0	2.0
Городское население	125.0	2.0	24.0	10.0	21.0	6.0	50.0	10.0	2.0	-	-	-
Сельское население	646.0	-	32.0	17.0	141.0	48.0	185.0	156.0	60.0	5.0	2.0	2.0
ИЖОРЦЫ												
Ленинградская область												
Городское и сельское население	174.0	-	12.0	1.0	26.0	19.0	13.0	36.0	59.0	6.0	1.0	2.0
Городское население	46.0	-	6.0	1.0	11.0	4.0	2.0	8.0	11.0	2.0	-	1.0
Сельское население	128.0	-	6.0	-	15.0	15.0	11.0	28.0	48.0	4.0	1.0	1.0
ИТЕЛЬМЕНЫ												
Территории преимущественного проживания КМН												
Городское и сельское население	2234.0	4.0	175.0	43.0	584.0	283.0	492.0	509.0	130.0	12.0	6.0	2.0
Городское население	796.0	3.0	111.0	24.0	236.0	85.0	150.0	148.0	32.0	5.0	1.0	2.0
Сельское население	1438.0	1.0	64.0	19.0	348.0	198.0	342.0	361.0	98.0	7.0	5.0	-
Камчатская область												
Городское и сельское население	1771.0	4.0	136.0	33.0	470.0	230.0	399.0	391.0	99.0	9.0	5.0	-
Городское население	489.0	3.0	76.0	15.0	145.0	53.0	88.0	89.0	16.0	4.0	1.0	-
Сельское население	1282.0	1.0	60.0	18.0	325.0	177.0	311.0	302.0	83.0	5.0	4.0	-
Корякский автономный округ												
Городское и сельское население	849.0	2.0	54.0	9.0	225.0	88.0	222.0	205.0	40.0	4.0	3.0	-
Городское население	111.0	2.0	22.0	1.0	30.0	8.0	22.0	22.0	2.0	2.0	1.0	-
Сельское население	738.0	-	32.0	8.0	195.0	80.0	200.0	183.0	38.0	2.0	2.0	-
Магаданская область												
Городское и сельское население	463.0	-	39.0	10.0	114.0	53.0	93.0	118.0	31.0	3.0	1.0	2.0
Городское население	307.0	-	35.0	9.0	91.0	32.0	62.0	59.0	16.0	1.0	-	2.0
Сельское население	156.0	-	4.0	1.0	23.0	21.0	31.0	59.0	15.0	2.0	1.0	-
КАМЧАДАЛЫ												
Камчатская область												
Городское и сельское население	1447.0	-	101.0	23.0	337.0	324.0	256.0	282.0	112.0	12.0	10.0	-
Городское население	788.0	-	70.0	13.0	193.0	179.0	139.0	136.0	47.0	11.0	9.0	-
Сельское население	659.0	-	31.0	10.0	144.0	145.0	117.0	146.0	65.0	1.0	1.0	-
Корякский автономный округ												
Городское и сельское население	106.0	-	18.0	7.0	39.0	12.0	16.0	11.0	3.0	-	-	-
Городское население	62.0	-	15.0	3.0	28.0	3.0	8.0	4.0	1.0	-	-	-
Сельское население	44.0	-	3.0	4.0	11.0	9.0	8.0	7.0	2.0	-	-	-
КЕТЫ												
Красноярский край												
Городское и сельское население	842.0	1.0	17.0	11.0	137.0	72.0	209.0	260.0	107.0	28.0	21.0	-
Городское население	163.0	1.0	5.0	4.0	38.0	18.0	48.0	33.0	12.0	4.0	4.0	-
Сельское население	679.0	-	12.0	7.0	99.0	54.0	161.0	227.0	95.0	24.0	17.0	-
КОРЯКИ												
Территории преимущественного проживания КМН												
Городское и сельское население	5841.0	2.0	209.0	70.0	1226.0	501.0	1280.0	1837.0	610.0	98.0	79.0	8.0
Городское население	1676.0	2.0	119.0	35.0	438.0	141.0	328.0	462.0	116.0	27.0	17.0	8.0
Сельское население	4165.0	-	90.0	35.0	788.0	360.0	952.0	1375.0	494.0	71.0	62.0	-
Камчатская область												
Городское и сельское население	5175.0	2.0	200.0	66.0	1142.0	470.0	1124.0	1574.0	525.0	65.0	52.0	7.0
Городское население	1420.0	2.0	110.0	31.0	394.0	124.0	265.0	376.0	98.0	13.0	6.0	7.0
Сельское население	3755.0	-	90.0	35.0	748.0	346.0	859.0	1198.0	427.0	52.0	46.0	-
Корякский автономный округ												
Городское и сельское население	4660.0	2.0	166.0	58.0	1022.0	402.0	1024.0	1442.0	480.0	57.0	44.0	7.0
Городское население	1085.0	2.0	82.0	24.0	315.0	75.0	197.0	296.0	77.0	10.0	3.0	7.0
Сельское население	3575.0	-	84.0	34.0	707.0	327.0	827.0	1146.0	403.0	47.0	41.0	-
Магаданская область												
Городское и сельское население	622.0	-	7.0	3.0	69.0	27.0	149.0	256.0	83.0	27.0	21.0	1.0
Городское население	238.0	-	7.0	3.0	36.0	17.0	59.0	85.0	18.0	12.0	9.0	1.0
Сельское население	384.0	-	-	-	33.0	10.0	90.0	171.0	65.0	15.0	12.0	-
Чукотский автономный округ												
Городское и сельское население	44.0	-	2.0	1.0	15.0	4.0	7.0	7.0	2.0	6.0	6.0	-
Городское население	18.0	-	2.0	1.0	8.0	-	4.0	1.0	-	2.0	2.0	-
Сельское население	26.0	-	-	-	7.0	4.0	3.0	6.0	2.0	4.0	4.0	-
КУМАНДИНЦЫ												
Территории преимущественного проживания КМН												
Городское и сельское население	2472.0	1.0	220.0	32.0	553.0	508.0	323.0	414.0	315.0	106.0	74.0	-
Городское население	1342.0	-	138.0	22.0	359.0	244.0	191.0	210.0	140.0	38.0	27.0	-
Сельское население	1130.0	1.0	82.0	10.0	194.0	264.0	132.0	204.0	175.0	68.0	47.0	-
Алтайский край												
Городское и сельское население	1446.0	1.0	96.0	16.0	290.0	310.0	202.0	271.0	194.0	66.0	51.0	-
Городское население	740.0	-	57.0	9.0	193.0	142.0	121.0	134.0	66.0	18.0	14.0	-
Сельское население	706.0	1.0	39.0	7.0	97.0	168.0	81.0	137.0	128.0	48.0	37.0	-
Республика Алтай												
Городское и сельское население	758.0	-	99.0	13.0	199.0	137.0	95.0	114.0	74.0	27.0	16.0	-
Городское население	379.0	-	62.0	10.0	110.0	53.0	49.0	51.0	33.0	11.0	8.0	-
Сельское население	379.0	-	37.0	3.0	89.0	84.0	46.0	63.0	41.0	16.0	8.0	-
Кемеровская область												
Городское и сельское население	268.0	-	25.0	3.0	64.0	61.0	26.0	29.0	47.0	13.0	7.0	-
Городское население	223.0	-	19.0	3.0	56.0	49.0	21.0	25.0	41.0	9.0	5.0	-
Сельское население	45.0	-	6.0	-	8.0	12.0	5.0	4.0	6.0	4.0	2.0	-
МАНСИ												
Территории преимущественного проживания КМН												
Городское и сельское население	7449.0	18.0	570.0	152.0	1799.0	839.0	1528.0	1808.0	644.0	83.0	62.0	8.0
Городское население	3867.0	15.0	452.0	118.0	1063.0	407.0	872.0	708.0	207.0	19.0	12.0	6.0
Сельское население	3582.0	3.0	118.0	34.0	736.0	432.0	656.0	1100.0	437.0	64.0	50.0	2.0
Тюменская область												
Городское и сельское население	7229.0	18.0	558.0	149.0	1765.0	811.0	1481.0	1760.0	601.0	78.0	57.0	8.0
Городское население	3754.0	15.0	441.0	116.0	1034.0	390.0	838.0	691.0	204.0	19.0	12.0	6.0
Сельское население	3475.0	3.0	117.0	33.0	731.0	421.0	643.0	1069.0	397.0	59.0	45.0	2.0
Ханты-Мансийский автономный округ – Югра												
Городское и сельское население	6661.0	15.0	491.0	122.0	1618.0	739.0	1335.0	1687.0	580.0	67.0	48.0	7.0
Городское население	3332.0	12.0	379.0	92.0	924.0	347.0	716.0	649.0	191.0	17.0	10.0	5.0
Сельское население	3329.0	3.0	112.0	30.0	694.0	392.0	619.0	1038.0	389.0	50.0	38.0	2.0
Свердловская область												
Городское и сельское население	220.0	-	12.0	3.0	34.0	28.0	47.0	48.0	43.0	5.0	5.0	-
Городское население	113.0	-	11.0	2.0	29.0	17.0	34.0	17.0	3.0	-	-	-
Сельское население	107.0	-	1.0	1.0	5.0	11.0	13.0	31.0	40.0	5.0	5.0	-
НАГАЙБАКИ												
Челябинская область												
Городское и сельское население	7716.0	2.0	614.0	127.0	1457.0	1574.0	1289.0	1084.0	1387.0	182.0	112.0	-
Городское население	1357.0	1.0	191.0	45.0	318.0	232.0	257.0	130.0	162.0	21.0	11.0	-
Сельское население	6359.0	1.0	423.0	82.0	1139.0	1342.0	1032.0	954.0	1225.0	161.0	101.0	-
НАНАЙЦЫ												
Территории преимущественного проживания КМН												
Городское и сельское население	8738.0	10.0	594.0	161.0	1652.0	1606.0	1486.0	2474.0	680.0	59.0	43.0	16.0
Городское население	2682.0	4.0	268.0	64.0	665.0	454.0	509.0	554.0	137.0	22.0	18.0	5.0
Сельское население	6056.0	6.0	326.0	97.0	987.0	1152.0	977.0	1920.0	543.0	37.0	25.0	11.0
Хабаровский край												
Городское и сельское население	8282.0	10.0	557.0	147.0	1553.0	1530.0	1390.0	2385.0	640.0	56.0	40.0	14.0
Городское население	2454.0	4.0	241.0	56.0	611.0	422.0	452.0	515.0	127.0	22.0	18.0	4.0
Сельское население	5828.0	6.0	316.0	91.0	942.0	1108.0	938.0	1870.0	513.0	34.0	22.0	10.0
Приморский край												
Городское и сельское население	336.0	-	22.0	10.0	78.0	57.0	67.0	64.0	34.0	2.0	2.0	2.0
Городское население	125.0	-	14.0	4.0	35.0	19.0	30.0	16.0	6.0	-	-	1.0
Сельское население	211.0	-	8.0	6.0	43.0	38.0	37.0	48.0	28.0	2.0	2.0	1.0
Сахалинская область												
Городское и сельское население	120.0	-	15.0	4.0	21.0	19.0	29.0	25.0	6.0	1.0	1.0	-
Городское население	103.0	-	13.0	4.0	19.0	13.0	27.0	23.0	4.0	-	-	-
Сельское население	17.0	-	2.0	-	2.0	6.0	2.0	2.0	2.0	1.0	1.0	-
НГАНАСАНЫ												
Красноярский край												
Городское и сельское население	538.0	-	13.0	3.0	70.0	42.0	168.0	171.0	59.0	12.0	9.0	-
Городское население	105.0	-	4.0	1.0	20.0	20.0	33.0	20.0	4.0	3.0	-	-
Сельское население	433.0	-	9.0	2.0	50.0	22.0	135.0	151.0	55.0	9.0	9.0	-
Таймырский (Долгано-Ненецкий) автономный округ												
Городское и сельское население	501.0	-	10.0	3.0	63.0	37.0	160.0	161.0	55.0	12.0	9.0	-
Городское население	76.0	-	2.0	1.0	14.0	15.0	25.0	13.0	3.0	3.0	-	-
Сельское население	425.0	-	8.0	2.0	49.0	22.0	135.0	148.0	52.0	9.0	9.0	-
НЕГИДАЛЬЦЫ												
Хабаровский край												
Городское и сельское население	367.0	-	12.0	1.0	77.0	40.0	55.0	140.0	40.0	2.0	-	-
Городское население	93.0	-	4.0	1.0	23.0	15.0	20.0	21.0	9.0	-	-	-
Сельское население	274.0	-	8.0	-	54.0	25.0	35.0	119.0	31.0	2.0	-	-
НЕНЦЫ												
Территории преимущественного проживания КМН												
Городское и сельское население	25237.0	15.0	664.0	181.0	3388.0	1631.0	4262.0	8543.0	4714.0	1774.0	1588.0	65.0
Городское население	4713.0	12.0	392.0	79.0	1092.0	500.0	1023.0	1055.0	306.0	247.0	205.0	7.0
Сельское население	20524.0	3.0	272.0	102.0	2296.0	1131.0	3239.0	7488.0	4408.0	1527.0	1383.0	58.0
Ямало-Ненецкий автономный округ												
Городское и сельское население	16199.0	12.0	299.0	112.0	1837.0	770.0	2925.0	5477.0	3353.0	1352.0	1262.0	62.0
Городское население	2441.0	10.0	163.0	45.0	545.0	228.0	620.0	602.0	188.0	35.0	30.0	5.0
Сельское население	13758.0	2.0	136.0	67.0	1292.0	542.0	2305.0	4875.0	3165.0	1317.0	1232.0	57.0
Архангельская область												
Городское и сельское население	5736.0	2.0	249.0	41.0	1101.0	634.0	779.0	1939.0	789.0	202.0	138.0	-
Городское население	1313.0	1.0	163.0	20.0	354.0	178.0	202.0	237.0	78.0	80.0	55.0	-
Сельское население	4423.0	1.0	86.0	21.0	747.0	456.0	577.0	1702.0	711.0	122.0	83.0	-
Ненецкий автономный округ												
Городское и сельское население	5245.0	2.0	225.0	35.0	983.0	532.0	692.0	1842.0	748.0	186.0	129.0	-
Городское население	1088.0	1.0	142.0	15.0	289.0	126.0	160.0	216.0	67.0	72.0	48.0	-
Сельское население	4157.0	1.0	83.0	20.0	694.0	406.0	532.0	1626.0	681.0	114.0	81.0	-
Таймырский (Долгано-Ненецкий) автономный округ												
Городское и сельское население	1881.0	-	56.0	11.0	162.0	93.0	315.0	766.0	413.0	65.0	55.0	-
Городское население	273.0	-	30.0	6.0	55.0	32.0	79.0	65.0	4.0	2.0	2.0	-
Сельское население	1608.0	-	26.0	5.0	107.0	61.0	236.0	701.0	409.0	63.0	53.0	-
Ханты-Мансийский автономный округ – Югра 												
Городское и сельское население	908.0	1.0	49.0	15.0	204.0	75.0	180.0	238.0	120.0	23.0	14.0	3.0
Городское население	250.0	1.0	25.0	6.0	68.0	19.0	69.0	51.0	9.0	-	-	2.0
Сельское население	658.0	-	24.0	9.0	136.0	56.0	111.0	187.0	111.0	23.0	14.0	1.0
Республика Коми												
Городское и сельское население	513.0	-	11.0	2.0	84.0	59.0	63.0	123.0	39.0	132.0	119.0	-
Городское население	436.0	-	11.0	2.0	70.0	43.0	53.0	100.0	27.0	130.0	118.0	-
Сельское население	77.0	-	-	-	14.0	16.0	10.0	23.0	12.0	2.0	1.0	-
НИВХИ												
Территории преимущественного проживания КМН												
Городское и сельское население	3527.0	2.0	145.0	38.0	630.0	613.0	613.0	1123.0	305.0	48.0	22.0	10.0
Городское население	1738.0	2.0	92.0	30.0	359.0	311.0	315.0	481.0	123.0	23.0	8.0	2.0
Сельское население	1789.0	-	53.0	8.0	271.0	302.0	298.0	642.0	182.0	25.0	14.0	8.0
Хабаровский край												
Городское и сельское население	1780.0	1.0	72.0	15.0	340.0	273.0	279.0	641.0	141.0	13.0	7.0	5.0
Городское население	742.0	1.0	41.0	12.0	144.0	129.0	125.0	242.0	41.0	7.0	5.0	-
Сельское население	1038.0	-	31.0	3.0	196.0	144.0	154.0	399.0	100.0	6.0	2.0	5.0
Сахалинская область												
Городское и сельское население	1747.0	1.0	73.0	23.0	290.0	340.0	334.0	482.0	164.0	35.0	15.0	5.0
Городское население	996.0	1.0	51.0	18.0	215.0	182.0	190.0	239.0	82.0	16.0	3.0	2.0
Сельское население	751.0	-	22.0	5.0	75.0	158.0	144.0	243.0	82.0	19.0	12.0	3.0
ОРОЧИ												
Хабаровский край												
Городское и сельское население	309.0	-	18.0	6.0	36.0	55.0	57.0	116.0	18.0	3.0	1.0	-
Городское население	106.0	-	9.0	3.0	18.0	18.0	24.0	31.0	2.0	1.0	-	-
Сельское население	203.0	-	9.0	3.0	18.0	37.0	33.0	85.0	16.0	2.0	1.0	-
СААМЫ												
Мурманская область												
Городское и сельское население	1355.0	2.0	96.0	32.0	185.0	310.0	274.0	294.0	139.0	23.0	10.0	-
Городское население	548.0	1.0	59.0	17.0	113.0	108.0	115.0	85.0	39.0	11.0	4.0	-
Сельское население	807.0	1.0	37.0	15.0	72.0	202.0	159.0	209.0	100.0	12.0	6.0	-
СЕЛЬКУПЫ												
Территории преимущественного проживания КМН												
Городское и сельское население	3044.0	3.0	125.0	38.0	494.0	459.0	497.0	860.0	487.0	76.0	49.0	5.0
Городское население	550.0	1.0	62.0	18.0	132.0	83.0	110.0	103.0	35.0	6.0	4.0	-
Сельское население	2494.0	2.0	63.0	20.0	362.0	376.0	387.0	757.0	452.0	70.0	45.0	5.0
Тюменская область												
Городское и сельское население	1341.0	3.0	53.0	9.0	175.0	132.0	275.0	443.0	216.0	30.0	21.0	5.0
Городское население	219.0	1.0	25.0	3.0	39.0	32.0	51.0	53.0	13.0	2.0	1.0	-
Сельское население	1122.0	2.0	28.0	6.0	136.0	100.0	224.0	390.0	203.0	28.0	20.0	5.0
Ямало-Ненецкий автономный округ												
Городское и сельское население	1286.0	3.0	48.0	8.0	162.0	126.0	258.0	434.0	214.0	28.0	19.0	5.0
Городское население	177.0	1.0	21.0	2.0	31.0	26.0	35.0	49.0	11.0	1.0	-	-
Сельское население	1109.0	2.0	27.0	6.0	131.0	100.0	223.0	385.0	203.0	27.0	19.0	5.0
Томская область												
Городское и сельское население	1433.0	-	64.0	27.0	291.0	305.0	174.0	318.0	212.0	42.0	25.0	-
Городское население	279.0	-	32.0	13.0	74.0	47.0	49.0	42.0	20.0	2.0	1.0	-
Сельское население	1154.0	-	32.0	14.0	217.0	258.0	125.0	276.0	192.0	40.0	24.0	-
Красноярский край												
Городское и сельское население	270.0	-	8.0	2.0	28.0	22.0	48.0	99.0	59.0	4.0	3.0	-
Городское население	52.0	-	5.0	2.0	19.0	4.0	10.0	8.0	2.0	2.0	2.0	-
Сельское население	218.0	-	3.0	-	9.0	18.0	38.0	91.0	57.0	2.0	1.0	-
СОЙОТЫ												
Республика Бурятия												
Городское и сельское население	1931.0	-	231.0	87.0	369.0	181.0	635.0	277.0	126.0	25.0	18.0	-
Городское население	202.0	-	50.0	27.0	32.0	7.0	66.0	16.0	4.0	-	-	-
Сельское население	1729.0	-	181.0	60.0	337.0	174.0	569.0	261.0	122.0	25.0	18.0	-
ТАЗЫ												
Приморский край												
Городское и сельское население	215.0	-	25.0	3.0	61.0	25.0	38.0	27.0	27.0	8.0	8.0	1.0
Городское население	79.0	-	14.0	2.0	22.0	8.0	16.0	9.0	7.0	1.0	1.0	-
Сельское население	136.0	-	11.0	1.0	39.0	17.0	22.0	18.0	20.0	7.0	7.0	1.0
ТЕЛЕНГИТЫ												
Республика Алтай												
Городское и сельское население	1602.0	1.0	159.0	34.0	336.0	151.0	403.0	307.0	176.0	35.0	24.0	-
Городское население	74.0	-	14.0	5.0	14.0	4.0	25.0	12.0	-	-	-	-
Сельское население	1528.0	1.0	145.0	29.0	322.0	147.0	378.0	295.0	176.0	35.0	24.0	-
ТЕЛЕУТЫ												
Кемеровская область 												
Городское и сельское население	2011.0	-	139.0	29.0	424.0	354.0	409.0	372.0	218.0	66.0	44.0	-
Городское население	842.0	-	69.0	17.0	205.0	155.0	188.0	126.0	54.0	28.0	19.0	-
Сельское население	1169.0	-	70.0	12.0	219.0	199.0	221.0	246.0	164.0	38.0	25.0	-
ТОФАЛАРЫ												
Иркутская область												
Городское и сельское население	512.0	-	14.0	1.0	32.0	30.0	121.0	212.0	100.0	2.0	2.0	-
Городское население	34.0	-	4.0	1.0	9.0	5.0	9.0	5.0	1.0	-	-	-
Сельское население	478.0	-	10.0	-	23.0	25.0	112.0	207.0	99.0	2.0	2.0	-
ТУБАЛАРЫ												
Республика Алтай												
Городское и сельское население	1114.0	2.0	79.0	17.0	264.0	170.0	197.0	240.0	108.0	37.0	29.0	-
Городское население	101.0	2.0	30.0	8.0	27.0	5.0	14.0	10.0	3.0	2.0	2.0	-
Сельское население	1013.0	-	49.0	9.0	237.0	165.0	183.0	230.0	105.0	35.0	27.0	-
ТУВИНЦЫ-ТОДЖИНЦЫ												
Республика Тыва												
Городское и сельское население	2994.0	-	115.0	16.0	529.0	231.0	839.0	911.0	312.0	41.0	17.0	-
Городское население	2.0	-	2.0	-	-	-	-	-	-	-	-	-
Сельское население	2992.0	-	113.0	16.0	529.0	231.0	839.0	911.0	312.0	41.0	17.0	-
УДЭГЕЙЦЫ												
Территории преимущественного проживания КМН												
Городское и сельское население	1132.0	2.0	78.0	26.0	222.0	139.0	245.0	314.0	90.0	16.0	11.0	-
Городское население	276.0	-	41.0	10.0	51.0	41.0	72.0	50.0	9.0	2.0	1.0	-
Сельское население	856.0	2.0	37.0	16.0	171.0	98.0	173.0	264.0	81.0	14.0	10.0	-
Приморский край												
Городское и сельское население	671.0	2.0	49.0	10.0	107.0	84.0	154.0	184.0	68.0	13.0	8.0	-
Городское население	146.0	-	25.0	6.0	28.0	16.0	39.0	26.0	4.0	2.0	1.0	-
Сельское население	525.0	2.0	24.0	4.0	79.0	68.0	115.0	158.0	64.0	11.0	7.0	-
Хабаровский край												
Городское и сельское население	461.0	-	29.0	16.0	115.0	55.0	91.0	130.0	22.0	3.0	3.0	-
Городское население	130.0	-	16.0	4.0	23.0	25.0	33.0	24.0	5.0	-	-	-
Сельское население	331.0	-	13.0	12.0	92.0	30.0	58.0	106.0	17.0	3.0	3.0	-
УЛЬТА (ОРОКИ)												
Сахалинская область												
Городское и сельское население	225.0	-	7.0	3.0	28.0	29.0	59.0	65.0	28.0	5.0	2.0	1.0
Городское население	130.0	-	6.0	2.0	20.0	15.0	33.0	38.0	11.0	4.0	2.0	1.0
Сельское население	95.0	-	1.0	1.0	8.0	14.0	26.0	27.0	17.0	1.0	-	-
УЛЬЧИ												
Хабаровский край												
Городское и сельское население	1984.0	-	158.0	31.0	435.0	256.0	374.0	570.0	146.0	14.0	12.0	-
Городское население	352.0	-	44.0	11.0	96.0	44.0	69.0	69.0	16.0	3.0	3.0	-
Сельское население	1632.0	-	114.0	20.0	339.0	212.0	305.0	501.0	130.0	11.0	9.0	-
ХАНТЫ												
Территории преимущественного проживания КМН												
Городское и сельское население	18796.0	29.0	1066.0	349.0	3952.0	1814.0	3406.0	5003.0	2545.0	583.0	443.0	49.0
Городское население	6682.0	23.0	753.0	235.0	1884.0	684.0	1367.0	1219.0	426.0	74.0	53.0	17.0
Сельское население	12114.0	6.0	313.0	114.0	2068.0	1130.0	2039.0	3784.0	2119.0	509.0	390.0	32.0
Тюменская область												
Городское и сельское население	18030.0	29.0	1028.0	339.0	3770.0	1677.0	3298.0	4825.0	2448.0	567.0	432.0	49.0
Городское население	6462.0	23.0	735.0	227.0	1822.0	654.0	1327.0	1169.0	419.0	69.0	49.0	17.0
Сельское население	11568.0	6.0	293.0	112.0	1948.0	1023.0	1971.0	3656.0	2029.0	498.0	383.0	32.0
Ханты-Мансийский автономный округ – Югра 												
Городское и сельское население	11581.0	16.0	733.0	228.0	2453.0	1017.0	2183.0	3068.0	1635.0	216.0	145.0	32.0
Городское население	4803.0	14.0	565.0	172.0	1355.0	439.0	977.0	872.0	337.0	58.0	42.0	14.0
Сельское население	6778.0	2.0	168.0	56.0	1098.0	578.0	1206.0	2196.0	1298.0	158.0	103.0	18.0
Ямало-Ненецкий автономный округ												
Городское и сельское население	5767.0	10.0	227.0	83.0	1133.0	573.0	975.0	1684.0	765.0	302.0	251.0	15.0
Городское население	1242.0	7.0	109.0	28.0	344.0	170.0	242.0	261.0	69.0	9.0	7.0	3.0
Сельское население	4525.0	3.0	118.0	55.0	789.0	403.0	733.0	1423.0	696.0	293.0	244.0	12.0
Томская область												
Городское и сельское население	701.0	-	35.0	10.0	174.0	129.0	94.0	154.0	95.0	10.0	6.0	-
Городское население	163.0	-	15.0	8.0	56.0	25.0	28.0	26.0	5.0	-	-	-
Сельское население	538.0	-	20.0	2.0	118.0	104.0	66.0	128.0	90.0	10.0	6.0	-
Республика Коми												
Городское и сельское население	65.0	-	3.0	-	8.0	8.0	14.0	24.0	2.0	6.0	5.0	-
Городское население	57.0	-	3.0	-	6.0	5.0	12.0	24.0	2.0	5.0	4.0	-
Сельское население	8.0	-	-	-	2.0	3.0	2.0	-	-	1.0	1.0	-
ЧЕЛКАНЦЫ												
Республика Алтай												
Городское и сельское население	608.0	2.0	87.0	9.0	171.0	98.0	91.0	103.0	42.0	5.0	5.0	-
Городское население	94.0	2.0	30.0	6.0	18.0	6.0	16.0	12.0	4.0	-	-	-
Сельское население	514.0	-	57.0	3.0	153.0	92.0	75.0	91.0	38.0	5.0	5.0	-
ЧУВАНЦЫ												
Территории преимущественного проживания КМН												
Городское и сельское население	701.0	1.0	67.0	14.0	125.0	101.0	130.0	207.0	50.0	4.0	2.0	2.0
Городское население	228.0	1.0	52.0	6.0	56.0	24.0	47.0	30.0	9.0	1.0	1.0	2.0
Сельское население	473.0	-	15.0	8.0	69.0	77.0	83.0	177.0	41.0	3.0	1.0	-
Чукотский автономный округ												
Городское и сельское население	668.0	1.0	60.0	14.0	120.0	96.0	122.0	199.0	50.0	4.0	2.0	2.0
