14. ЖЕНЩИНЫ ЧАСТНЫХ ДОМОХОЗЯЙСТВ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ СЕВЕРА ПО ВОЗРАСТНЫМ												
ГРУППАМ И ЧИСЛУ РОЖДЕННЫХ ДЕТЕЙ ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМНС												
												
	Всего	из них									Общее число рожденных детей	Среднее число рожденных детей (на 1000 женщин, указавших число рожденных детей)
18 – 19	129.0	84.0	37.0	4.0	-	-	-	-	-	4.0	45.0	360.0
20 – 29	526.0	142.0	209.0	115.0	46.0	8.0	1.0	-	2.0	3.0	630.0	1205.0
30 – 39	604.0	45.0	165.0	204.0	121.0	43.0	13.0	5.0	4.0	4.0	1234.0	2057.0
40 – 49	548.0	30.0	126.0	163.0	133.0	63.0	18.0	10.0	3.0	2.0	1276.0	2337.0
50 – 59	219.0	14.0	40.0	55.0	48.0	21.0	19.0	9.0	13.0	-	629.0	2872.0
60 – 69	138.0	6.0	10.0	15.0	27.0	20.0	19.0	11.0	30.0	-	621.0	4500.0
70 и более	74.0	6.0	14.0	9.0	8.0	6.0	9.0	6.0	16.0	-	308.0	4162.0
Женщины, не указавшие возраст	2.0	-	-	-	1.0	-	-	-	-	1.0	3.0	3000.0
Корякский автономный округ												
Женщины в возрасте 15 лет и более	2436.0	553.0	594.0	558.0	373.0	156.0	79.0	39.0	68.0	16.0	4660.0	1926.0
в том числе в возрасте, лет:												
15 – 17	244.0	231.0	9.0	-	-	-	-	-	-	4.0	9.0	38.0
18 – 19	128.0	83.0	37.0	4.0	-	-	-	-	-	4.0	45.0	363.0
20 – 29	510.0	138.0	202.0	112.0	46.0	7.0	1.0	-	2.0	2.0	613.0	1207.0
30 – 39	591.0	45.0	161.0	201.0	115.0	43.0	13.0	5.0	4.0	4.0	1206.0	2055.0
40 – 49	539.0	30.0	125.0	162.0	130.0	60.0	18.0	9.0	3.0	2.0	1246.0	2320.0
50 – 59	217.0	14.0	38.0	55.0	48.0	21.0	19.0	9.0	13.0	-	627.0	2889.0
60 – 69	137.0	6.0	9.0	15.0	27.0	20.0	19.0	11.0	30.0	-	620.0	4526.0
70 и более	70.0	6.0	13.0	9.0	7.0	5.0	9.0	5.0	16.0	-	294.0	4200.0
Женщины, не указавшие возраст	2.0	-	-	-	1.0	-	-	-	-	1.0	3.0	3000.0
Магаданская область												
Женщины в возрасте 15 лет и более	295.0	72.0	56.0	45.0	53.0	23.0	21.0	6.0	12.0	7.0	639.0	2219.0
в том числе в возрасте, лет:												
15 – 17	47.0	39.0	5.0	-	-	-	-	-	-	3.0	5.0	114.0
18 – 19	21.0	12.0	6.0	1.0	-	-	-	-	-	2.0	8.0	421.0
20 – 29	51.0	7.0	21.0	12.0	10.0	-	-	-	-	1.0	75.0	1500.0
30 – 39	73.0	4.0	11.0	18.0	20.0	11.0	8.0	-	-	1.0	191.0	2653.0
40 – 49	54.0	5.0	6.0	5.0	16.0	8.0	8.0	2.0	4.0	-	180.0	3333.0
50 – 59	18.0	1.0	5.0	3.0	3.0	2.0	2.0	-	2.0	-	57.0	3167.0
60 – 69	21.0	1.0	2.0	4.0	3.0	1.0	2.0	2.0	6.0	-	95.0	4524.0
70 и более	10.0	3.0	-	2.0	1.0	1.0	1.0	2.0	-	-	28.0	2800.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Чукотский автономный округ 												
Женщины в возрасте 15 лет и более	22.0	4.0	6.0	3.0	4.0	2.0	1.0	-	-	2.0	37.0	1850.0
в том числе в возрасте, лет:												
15 – 17	3.0	2.0	-	-	-	-	-	-	-	1.0	-	0.0
18 – 19	1.0	1.0	-	-	-	-	-	-	-	-	-	0.0
20 – 29	4.0	1.0	3.0	-	-	-	-	-	-	-	3.0	750.0
30 – 39	5.0	-	2.0	1.0	1.0	-	-	-	-	1.0	7.0	1750.0
40 – 49	5.0	-	1.0	1.0	2.0	1.0	-	-	-	-	13.0	2600.0
50 – 59	2.0	-	-	1.0	1.0	-	-	-	-	-	5.0	2500.0
60 – 69	1.0	-	-	-	-	-	1.0	-	-	-	5.0	5000.0
70 и более	1.0	-	-	-	-	1.0	-	-	-	-	4.0	4000.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
КУМАНДИНЦЫ												
Территории преимущественного проживания КМНС												
Женщины в возрасте 15 лет и более	434.0	75.0	108.0	89.0	59.0	33.0	24.0	20.0	24.0	2.0	1039.0	2405.0
в том числе в возрасте, лет:												
15 – 17	14.0	14.0	-	-	-	-	-	-	-	-	-	0.0
18 – 19	15.0	11.0	4.0	-	-	-	-	-	-	-	4.0	267.0
20 – 29	61.0	19.0	33.0	7.0	1.0	-	-	-	1.0	-	57.0	934.0
30 – 39	66.0	9.0	25.0	21.0	8.0	2.0	-	-	1.0	-	108.0	1636.0
40 – 49	110.0	8.0	19.0	35.0	24.0	11.0	8.0	3.0	1.0	1.0	271.0	2486.0
50 – 59	50.0	3.0	6.0	11.0	12.0	7.0	5.0	4.0	2.0	-	156.0	3120.0
60 – 69	47.0	2.0	6.0	7.0	9.0	7.0	5.0	6.0	5.0	-	174.0	3702.0
70 и более	71.0	9.0	15.0	8.0	5.0	6.0	6.0	7.0	14.0	1.0	269.0	3843.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Алтайский край												
Женщины в возрасте 15 лет и более	300.0	59.0	77.0	52.0	42.0	18.0	16.0	15.0	21.0	-	718.0	2393.0
в том числе в возрасте, лет:												
15 – 17	12.0	12.0	-	-	-	-	-	-	-	-	-	0.0
18 – 19	10.0	8.0	2.0	-	-	-	-	-	-	-	2.0	200.0
20 – 29	38.0	16.0	19.0	1.0	1.0	-	-	-	1.0	-	31.0	816.0
30 – 39	42.0	7.0	19.0	10.0	5.0	1.0	-	-	-	-	58.0	1381.0
40 – 49	70.0	7.0	14.0	22.0	13.0	5.0	6.0	2.0	1.0	-	167.0	2386.0
50 – 59	33.0	1.0	5.0	6.0	10.0	3.0	2.0	4.0	2.0	-	108.0	3273.0
60 – 69	40.0	2.0	5.0	6.0	8.0	5.0	4.0	5.0	5.0	-	149.0	3725.0
70 и более	55.0	6.0	13.0	7.0	5.0	4.0	4.0	4.0	12.0	-	203.0	3691.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Республика Алтай 												
Женщины в возрасте 15 лет и более	129.0	15.0	29.0	36.0	17.0	14.0	8.0	5.0	3.0	2.0	313.0	2465.0
в том числе в возрасте, лет:												
15 – 17	2.0	2.0	-	-	-	-	-	-	-	-	-	0.0
18 – 19	5.0	3.0	2.0	-	-	-	-	-	-	-	2.0	400.0
20 – 29	23.0	3.0	14.0	6.0	-	-	-	-	-	-	26.0	1130.0
30 – 39	23.0	1.0	6.0	11.0	3.0	1.0	-	-	1.0	-	50.0	2174.0
40 – 49	38.0	1.0	4.0	12.0	11.0	6.0	2.0	1.0	-	1.0	101.0	2730.0
50 – 59	16.0	2.0	-	5.0	2.0	4.0	3.0	-	-	-	47.0	2938.0
60 – 69	7.0	-	1.0	1.0	1.0	2.0	1.0	1.0	-	-	25.0	3571.0
70 и более	15.0	3.0	2.0	1.0	-	1.0	2.0	3.0	2.0	1.0	62.0	4429.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Кемеровская область												
Женщины в возрасте 15 лет и более	5.0	1.0	2.0	1.0	-	1.0	-	-	-	-	8.0	1600.0
в том числе в возрасте, лет:												
15 – 17	-	-	-	-	-	-	-	-	-	-	-	-
18 – 19	-	-	-	-	-	-	-	-	-	-	-	-
20 – 29	-	-	-	-	-	-	-	-	-	-	-	-
30 – 39	1.0	1.0	-	-	-	-	-	-	-	-	-	0.0
40 – 49	2.0	-	1.0	1.0	-	-	-	-	-	-	3.0	1500.0
50 – 59	1.0	-	1.0	-	-	-	-	-	-	-	1.0	1000.0
60 – 69	-	-	-	-	-	-	-	-	-	-	-	-
70 и более	1.0	-	-	-	-	1.0	-	-	-	-	4.0	4000.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
МАНСИ												
Территории преимущественного проживания КМНС												
Женщины в возрасте 15 лет и более	2656.0	651.0	500.0	644.0	356.0	189.0	98.0	50.0	69.0	99.0	4978.0	1947.0
в том числе в возрасте, лет:												
15 – 17	288.0	259.0	5.0	-	-	-	-	-	-	24.0	5.0	19.0
18 – 19	170.0	136.0	21.0	3.0	-	-	-	-	-	10.0	27.0	169.0
20 – 29	558.0	173.0	208.0	128.0	18.0	5.0	2.0	-	-	24.0	548.0	1026.0
30 – 39	571.0	32.0	127.0	227.0	103.0	38.0	16.0	5.0	3.0	20.0	1173.0	2129.0
40 – 49	523.0	20.0	77.0	174.0	119.0	66.0	36.0	15.0	8.0	8.0	1376.0	2672.0
50 – 59	207.0	10.0	26.0	56.0	55.0	31.0	9.0	5.0	11.0	4.0	595.0	2931.0
60 – 69	210.0	12.0	18.0	42.0	45.0	28.0	18.0	16.0	24.0	7.0	738.0	3635.0
70 и более	129.0	9.0	18.0	14.0	16.0	21.0	17.0	9.0	23.0	2.0	516.0	4063.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Тюменская область 												
Женщины в возрасте 15 лет и более	2633.0	642.0	497.0	639.0	354.0	185.0	98.0	50.0	69.0	99.0	4943.0	1951.0
в том числе в возрасте, лет:												
15 – 17	286.0	257.0	5.0	-	-	-	-	-	-	24.0	5.0	19.0
18 – 19	168.0	134.0	21.0	3.0	-	-	-	-	-	10.0	27.0	171.0
20 – 29	551.0	170.0	205.0	127.0	18.0	5.0	2.0	-	-	24.0	543.0	1030.0
30 – 39	569.0	32.0	127.0	227.0	102.0	37.0	16.0	5.0	3.0	20.0	1166.0	2124.0
40 – 49	519.0	19.0	77.0	172.0	118.0	66.0	36.0	15.0	8.0	8.0	1369.0	2679.0
50 – 59	206.0	10.0	26.0	55.0	55.0	31.0	9.0	5.0	11.0	4.0	593.0	2936.0
60 – 69	207.0	12.0	18.0	41.0	45.0	26.0	18.0	16.0	24.0	7.0	728.0	3640.0
70 и более	127.0	8.0	18.0	14.0	16.0	20.0	17.0	9.0	23.0	2.0	512.0	4096.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Ханты-Мансийский автономный округ – Югра												
Женщины в возрасте 15 лет и более	2573.0	629.0	489.0	622.0	346.0	180.0	96.0	50.0	68.0	93.0	4840.0	1952.0
в том числе в возрасте, лет:												
15 – 17	282.0	253.0	5.0	-	-	-	-	-	-	24.0	5.0	19.0
18 – 19	164.0	130.0	21.0	3.0	-	-	-	-	-	10.0	27.0	175.0
20 – 29	543.0	167.0	203.0	126.0	17.0	4.0	2.0	-	-	24.0	532.0	1025.0
30 – 39	548.0	31.0	123.0	217.0	100.0	37.0	16.0	5.0	3.0	16.0	1136.0	2135.0
40 – 49	507.0	18.0	75.0	169.0	116.0	65.0	34.0	15.0	7.0	8.0	1334.0	2673.0
50 – 59	202.0	10.0	26.0	54.0	54.0	30.0	9.0	5.0	11.0	3.0	584.0	2935.0
60 – 69	203.0	12.0	18.0	40.0	44.0	24.0	18.0	16.0	24.0	7.0	715.0	3648.0
70 и более	124.0	8.0	18.0	13.0	15.0	20.0	17.0	9.0	23.0	1.0	507.0	4122.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Свердловская область												
Женщины в возрасте 15 лет и более	23.0	9.0	3.0	5.0	2.0	4.0	-	-	-	-	35.0	1522.0
в том числе в возрасте, лет:												
15 – 17	2.0	2.0	-	-	-	-	-	-	-	-	-	0.0
18 – 19	2.0	2.0	-	-	-	-	-	-	-	-	-	0.0
20 – 29	7.0	3.0	3.0	1.0	-	-	-	-	-	-	5.0	714.0
30 – 39	2.0	-	-	-	1.0	1.0	-	-	-	-	7.0	3500.0
40 – 49	4.0	1.0	-	2.0	1.0	-	-	-	-	-	7.0	1750.0
50 – 59	1.0	-	-	1.0	-	-	-	-	-	-	2.0	2000.0
60 – 69	3.0	-	-	1.0	-	2.0	-	-	-	-	10.0	3333.0
70 и более	2.0	1.0	-	-	-	1.0	-	-	-	-	4.0	2000.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
НАНАЙЦЫ												
Территории преимущественного проживания КМНС												
Женщины в возрасте 15 лет и более	3169.0	662.0	634.0	756.0	473.0	200.0	155.0	82.0	110.0	97.0	6544.0	2130.0
в том числе в возрасте, лет:												
15 – 17	288.0	248.0	9.0	1.0	-	-	-	-	-	30.0	11.0	43.0
18 – 19	142.0	112.0	22.0	2.0	-	-	-	-	-	6.0	26.0	191.0
20 – 29	752.0	227.0	309.0	134.0	34.0	7.0	2.0	1.0	-	38.0	723.0	1013.0
30 – 39	639.0	33.0	143.0	249.0	134.0	40.0	19.0	7.0	7.0	7.0	1398.0	2212.0
40 – 49	668.0	19.0	89.0	212.0	175.0	86.0	48.0	20.0	13.0	6.0	1843.0	2784.0
50 – 59	306.0	9.0	38.0	79.0	66.0	35.0	38.0	18.0	19.0	4.0	983.0	3255.0
60 – 69	228.0	8.0	15.0	63.0	47.0	20.0	28.0	17.0	28.0	2.0	843.0	3730.0
70 и более	146.0	6.0	9.0	16.0	17.0	12.0	20.0	19.0	43.0	4.0	717.0	5049.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Хабаровский край 												
Женщины в возрасте 15 лет и более	3015.0	641.0	598.0	713.0	447.0	192.0	149.0	79.0	100.0	96.0	6179.0	2117.0
в том числе в возрасте, лет:												
15 – 17	281.0	242.0	8.0	1.0	-	-	-	-	-	30.0	10.0	40.0
18 – 19	137.0	108.0	22.0	1.0	-	-	-	-	-	6.0	24.0	183.0
20 – 29	723.0	220.0	296.0	127.0	33.0	7.0	2.0	1.0	-	37.0	693.0	1010.0
30 – 39	613.0	32.0	134.0	239.0	130.0	39.0	18.0	7.0	7.0	7.0	1348.0	2224.0
40 – 49	628.0	18.0	84.0	196.0	162.0	84.0	46.0	20.0	12.0	6.0	1742.0	2801.0
50 – 59	287.0	8.0	34.0	75.0	62.0	31.0	37.0	17.0	19.0	4.0	932.0	3293.0
60 – 69	210.0	7.0	11.0	59.0	45.0	20.0	26.0	16.0	24.0	2.0	773.0	3716.0
70 и более	136.0	6.0	9.0	15.0	15.0	11.0	20.0	18.0	38.0	4.0	657.0	4977.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Приморский край												
Женщины в возрасте 15 лет и более	117.0	12.0	28.0	34.0	20.0	6.0	6.0	2.0	8.0	1.0	289.0	2491.0
в том числе в возрасте, лет:												
15 – 17	6.0	5.0	1.0	-	-	-	-	-	-	-	1.0	167.0
18 – 19	2.0	2.0	-	-	-	-	-	-	-	-	-	0.0
20 – 29	21.0	4.0	11.0	5.0	-	-	-	-	-	1.0	21.0	1050.0
30 – 39	22.0	-	7.0	9.0	4.0	1.0	1.0	-	-	-	46.0	2091.0
40 – 49	30.0	-	4.0	12.0	10.0	1.0	2.0	-	1.0	-	79.0	2633.0
50 – 59	13.0	1.0	2.0	3.0	2.0	4.0	1.0	-	-	-	35.0	2692.0
