5. НАСЕЛЕНИЕ, ЗАНЯТОЕ В ЭКОНОМИКЕ, ПО УРОВНЮ ОБРАЗОВАНИЯ, ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ 												
												
												
	Всего	Имеющие образование								Не имеющие начального общего образования	из них неграмотные	Не указавшие  уровень образования
50–54	5580773.0	30693.0	1441994.0	88707.0	2027958.0	726811.0	898560.0	316757.0	39664.0	1895.0	465.0	7734.0
55–59	2091797.0	19075.0	673851.0	37360.0	666868.0	241040.0	275418.0	143542.0	30466.0	932.0	250.0	3245.0
60–64	1204818.0	17901.0	431756.0	17693.0	340820.0	109953.0	127007.0	116189.0	40848.0	1002.0	303.0	1649.0
65–69	477805.0	10501.0	185948.0	6318.0	121559.0	36551.0	36508.0	49310.0	29543.0	845.0	274.0	722.0
70 и более	193101.0	7151.0	72298.0	2683.0	38000.0	12775.0	12492.0	22569.0	23642.0	1016.0	313.0	475.0
Возраст не указан	15611.0	91.0	2744.0	650.0	4775.0	2159.0	2140.0	811.0	92.0	70.0	11.0	2079.0
Из общей численности занятых - население в возрасте:												
трудоспособном	45718098.0	218551.0	11414010.0	1597701.0	16964316.0	6273337.0	7094188.0	1871895.0	198321.0	17503.0	5007.0	68276.0
старше трудоспособного	2802132.0	42157.0	1012666.0	41306.0	828748.0	234415.0	292967.0	239484.0	103011.0	3216.0	989.0	4162.0
16-29 лет	12723669.0	47590.0	2599833.0	819340.0	4266498.0	1803220.0	2279026.0	822602.0	63019.0	5576.0	1939.0	16965.0
Мужчины, занятые в экономике, в возрасте 15 лет и более	24590626.0	148539.0	5788226.0	818291.0	8276602.0	3849804.0	4104822.0	1359078.0	194130.0	11334.0	3300.0	39800.0
в том числе в возрасте, лет:												
15–17	95144.0	-	-	191.0	5323.0	8790.0	31036.0	44638.0	4503.0	272.0	129.0	391.0
18–19	670328.0	-	248.0	19448.0	177230.0	132194.0	210606.0	119466.0	10073.0	406.0	176.0	657.0
20–24	2886766.0	6229.0	399954.0	209276.0	952479.0	496100.0	555264.0	240479.0	21659.0	1460.0	500.0	3866.0
25–29	3324784.0	18984.0	799830.0	155121.0	1097005.0	504348.0	527664.0	200338.0	15018.0	1435.0	443.0	5041.0
30–34	3054935.0	15271.0	738098.0	118162.0	1164432.0	456484.0	449805.0	95336.0	10110.0	1390.0	394.0	5847.0
35–39	2986890.0	14942.0	768242.0	88903.0	1126899.0	450333.0	453472.0	68643.0	8790.0	1242.0	323.0	5424.0
40–44	3564660.0	18594.0	878310.0	80472.0	1276069.0	574208.0	623867.0	93831.0	11664.0	1392.0	358.0	6253.0
45–49	3186561.0	18596.0	776856.0	60296.0	1063177.0	543242.0	566071.0	135104.0	17100.0	1145.0	281.0	4974.0
50–54	2604123.0	18407.0	668099.0	47232.0	817902.0	414496.0	436592.0	172885.0	23727.0	929.0	244.0	3854.0
55–59	1165389.0	12471.0	351187.0	22748.0	338499.0	165904.0	158458.0	92126.0	21488.0	579.0	151.0	1929.0
60–64	673715.0	12294.0	249682.0	11167.0	173065.0	72465.0	67160.0	62494.0	23934.0	486.0	135.0	968.0
65–69	269884.0	7566.0	112993.0	3947.0	63472.0	23423.0	18960.0	23662.0	15188.0	310.0	95.0	363.0
70 и более	107447.0	5185.0	44727.0	1328.0	21050.0	7817.0	5867.0	10076.0	10876.0	288.0	71.0	233.0
Возраст не указан	9102.0	57.0	1406.0	373.0	2705.0	1412.0	1309.0	527.0	60.0	37.0	6.0	1216.0
Из общей численности занятых - мужчины в возрасте:												
трудоспособном	23532188.0	123494.0	5380824.0	801849.0	8019015.0	3745874.0	4012763.0	1257001.0	143041.0	10195.0	2972.0	38132.0
старше трудоспособного	1051046.0	25045.0	407402.0	16442.0	257587.0	103705.0	91987.0	96232.0	49998.0	1084.0	301.0	1564.0
16-29 лет	6969630.0	25213.0	1200032.0	384036.0	2232037.0	1141207.0	1324498.0	599076.0	50162.0	3518.0	1221.0	9851.0
Женщины, занятые в экономике, в возрасте 15 лет и более	23941517.0	112169.0	6638450.0	820716.0	9516462.0	2658283.0	3282464.0	761870.0	108789.0	9468.0	2736.0	32846.0
в том числе в возрасте, лет:												
15–17	68747.0	-	-	320.0	4022.0	4223.0	35756.0	22493.0	1441.0	144.0	64.0	348.0
18–19	430463.0	-	278.0	33538.0	122895.0	61624.0	179419.0	30454.0	1537.0	206.0	86.0	512.0
20–24	2370558.0	5942.0	499310.0	257695.0	847073.0	279125.0	388947.0	84018.0	4956.0	803.0	294.0	2689.0
25–29	2888792.0	16435.0	900213.0	143751.0	1060471.0	317151.0	350465.0	90285.0	5419.0	933.0	287.0	3669.0
30–34	2783903.0	15149.0	852517.0	102789.0	1167912.0	306509.0	281741.0	47268.0	4684.0	953.0	269.0	4381.0
35–39	3030155.0	13950.0	920140.0	80665.0	1306416.0	339044.0	321297.0	38526.0	4564.0	1022.0	299.0	4531.0
40–44	3921609.0	16462.0	1106274.0	78476.0	1675630.0	458840.0	513929.0	58716.0	6642.0	1196.0	290.0	5444.0
45–49	3719554.0	14833.0	980559.0	57143.0	1550826.0	448742.0	547962.0	102986.0	10596.0	1113.0	238.0	4794.0
50–54	2976650.0	12286.0	773895.0	41475.0	1210056.0	312315.0	461968.0	143872.0	15937.0	966.0	221.0	3880.0
55–59	926408.0	6604.0	322664.0	14612.0	328369.0	75136.0	116960.0	51416.0	8978.0	353.0	99.0	1316.0
60–64	531103.0	5607.0	182074.0	6526.0	167755.0	37488.0	59847.0	53695.0	16914.0	516.0	168.0	681.0
65–69	207921.0	2935.0	72955.0	2371.0	58087.0	13128.0	17548.0	25648.0	14355.0	535.0	179.0	359.0
70 и более	85654.0	1966.0	27571.0	1355.0	16950.0	4958.0	6625.0	12493.0	12766.0	728.0	242.0	242.0
Возраст не указан	6509.0	34.0	1338.0	277.0	2070.0	747.0	831.0	284.0	32.0	33.0	5.0	863.0
Из общей численности занятых - женщины в возрасте:												
трудоспособном	22185910.0	95057.0	6033186.0	795852.0	8945301.0	2527463.0	3081425.0	614894.0	55280.0	7308.0	2035.0	30144.0
старше трудоспособного	1751086.0	17112.0	605264.0	24864.0	571161.0	130710.0	200980.0	143252.0	53013.0	2132.0	688.0	2598.0
16-29 лет	5754039.0	22377.0	1399801.0	435304.0	2034461.0	662013.0	954528.0	223526.0	12857.0	2058.0	718.0	7114.0
Сельское население, занятое в экономике, в возрасте 15 лет и более	13051567.0	17413.0	1626539.0	207150.0	4153871.0	2882967.0	2563462.0	1346262.0	238301.0	11060.0	6259.0	4542.0
в том числе в возрасте, лет:												
15–17	70506.0	-	-	3.0	1874.0	6138.0	14767.0	39677.0	7596.0	391.0	243.0	60.0
18–19	312232.0	-	18.0	4459.0	68809.0	66195.0	89340.0	72254.0	10545.0	478.0	262.0	134.0
20–24	1374780.0	848.0	111636.0	49320.0	395103.0	287587.0	292731.0	208199.0	27692.0	1200.0	666.0	464.0
25–29	1545896.0	2158.0	189181.0	36968.0	449198.0	334333.0	322076.0	191247.0	19100.0	1123.0	626.0	512.0
30–34	1582702.0	2063.0	197982.0	28619.0	561676.0	354124.0	312278.0	112780.0	11602.0	1002.0	573.0	576.0
35–39	1840886.0	2436.0	247330.0	25072.0	656784.0	411590.0	380808.0	103496.0	11650.0	1060.0	643.0	660.0
40–44	2284498.0	2842.0	293361.0	24299.0	779780.0	535057.0	483734.0	145053.0	18357.0	1267.0	759.0	748.0
45–49	1962862.0	2570.0	250784.0	17940.0	635222.0	470292.0	367843.0	187008.0	29495.0	1069.0	598.0	639.0
50–54	1409553.0	2078.0	198040.0	12996.0	436043.0	305817.0	227779.0	186741.0	38584.0	1055.0	619.0	420.0
55–59	426566.0	992.0	81032.0	4780.0	111693.0	84127.0	51513.0	62744.0	28825.0	702.0	406.0	158.0
60–64	162877.0	846.0	39928.0	1834.0	40666.0	20653.0	15568.0	25359.0	17409.0	535.0	283.0	79.0
65–69	56387.0	416.0	13402.0	594.0	13343.0	5535.0	3892.0	8391.0	10216.0	551.0	298.0	47.0
70 и более	21822.0	164.0	3845.0	266.0	3680.0	1519.0	1133.0	3313.0	7230.0	627.0	283.0	45.0
Возраст не указан	1498.0	4.0	169.0	32.0	404.0	248.0	333.0	160.0	31.0	6.0	3.0	111.0
Из общей численности занятых - население в возрасте:												
трудоспособном	12665552.0	15653.0	1528803.0	202623.0	4047759.0	2842360.0	2526968.0	1290236.0	197707.0	9134.0	5257.0	4309.0
старше трудоспособного	380286.0	1760.0	97736.0	4527.0	106112.0	40518.0	36491.0	51868.0	39192.0	1865.0	960.0	217.0
16-29 лет	3297685.0	3006.0	300835.0	90750.0	914984.0	694164.0	718911.0	507219.0	63531.0	3131.0	1755.0	1154.0
Мужчины, занятые в экономике, в возрасте 15 лет и более	7124091.0	9977.0	733427.0	95943.0	1808257.0	1890807.0	1535497.0	868034.0	172346.0	7087.0	4066.0	2716.0
в том числе в возрасте, лет:												
15–17	50533.0	-	-	-	1083.0	4645.0	8339.0	29768.0	6348.0	311.0	192.0	39.0
18–19	204173.0	-	9.0	1418.0	39411.0	44716.0	54836.0	54372.0	8950.0	373.0	203.0	88.0
20–24	816278.0	427.0	55196.0	19393.0	190419.0	190728.0	186294.0	149799.0	22847.0	895.0	495.0	280.0
25–29	865674.0	1168.0	88969.0	16780.0	199541.0	216563.0	198959.0	127818.0	14816.0	747.0	420.0	313.0
30–34	848269.0	1095.0	81384.0	13139.0	241223.0	229042.0	199181.0	73977.0	8225.0	658.0	381.0	345.0
35–39	961397.0	1310.0	104005.0	11797.0	274417.0	260374.0	234857.0	65586.0	7970.0	671.0	432.0	410.0
40–44	1190298.0	1559.0	125892.0	11951.0	323757.0	339019.0	284674.0	89736.0	12460.0	817.0	496.0	433.0
45–49	1011435.0	1446.0	110513.0	9536.0	260891.0	302609.0	200765.0	105411.0	19282.0	619.0	368.0	363.0
50–54	745708.0	1287.0	93302.0	7377.0	184796.0	210728.0	120110.0	102254.0	24988.0	634.0	378.0	232.0
55–59	287366.0	658.0	40471.0	2947.0	63270.0	71316.0	35615.0	47939.0	24488.0	550.0	310.0	112.0
60–64	98041.0	605.0	23254.0	1125.0	20622.0	15907.0	9012.0	15171.0	11976.0	321.0	163.0	48.0
65–69	32922.0	298.0	8085.0	353.0	6771.0	4086.0	2232.0	4533.0	6277.0	266.0	136.0	21.0
70 и более	11997.0	124.0	2347.0	127.0	2056.0	1074.0	623.0	1670.0	3719.0	225.0	92.0	32.0
Возраст не указан	817.0	3.0	76.0	13.0	170.0	159.0	195.0	105.0	20.0	3.0	1.0	73.0
Из общей численности занятых - мужчины в возрасте:												
трудоспособном	6976846.0	8950.0	699741.0	94338.0	1778808.0	1869673.0	1523629.0	843626.0	149244.0	6232.0	3646.0	2605.0
старше трудоспособного	142960.0	1027.0	33686.0	1605.0	29449.0	21067.0	11867.0	21374.0	21972.0	812.0	391.0	101.0
16-29 лет	1932373.0	1595.0	144174.0	37591.0	430454.0	456585.0	448427.0	358723.0	51831.0	2283.0	1281.0	710.0
Женщины, занятые в экономике, в возрасте 15 лет и более	5927476.0	7436.0	893112.0	111207.0	2345614.0	992160.0	1027965.0	478228.0	65955.0	3973.0	2193.0	1826.0
в том числе в возрасте, лет:												
15–17	19973.0	-	-	3.0	791.0	1493.0	6428.0	9909.0	1248.0	80.0	51.0	21.0
18–19	108059.0	-	9.0	3041.0	29398.0	21479.0	34504.0	17882.0	1595.0	105.0	59.0	46.0
20–24	558502.0	421.0	56440.0	29927.0	204684.0	96859.0	106437.0	58400.0	4845.0	305.0	171.0	184.0
25–29	680222.0	990.0	100212.0	20188.0	249657.0	117770.0	123117.0	63429.0	4284.0	376.0	206.0	199.0
30–34	734433.0	968.0	116598.0	15480.0	320453.0	125082.0	113097.0	38803.0	3377.0	344.0	192.0	231.0
35–39	879489.0	1126.0	143325.0	13275.0	382367.0	151216.0	145951.0	37910.0	3680.0	389.0	211.0	250.0
40–44	1094200.0	1283.0	167469.0	12348.0	456023.0	196038.0	199060.0	55317.0	5897.0	450.0	263.0	315.0
45–49	951427.0	1124.0	140271.0	8404.0	374331.0	167683.0	167078.0	81597.0	10213.0	450.0	230.0	276.0
50–54	663845.0	791.0	104738.0	5619.0	251247.0	95089.0	107669.0	84487.0	13596.0	421.0	241.0	188.0
55–59	139200.0	334.0	40561.0	1833.0	48423.0	12811.0	15898.0	14805.0	4337.0	152.0	96.0	46.0
60–64	64836.0	241.0	16674.0	709.0	20044.0	4746.0	6556.0	10188.0	5433.0	214.0	120.0	31.0
65–69	23465.0	118.0	5317.0	241.0	6572.0	1449.0	1660.0	3858.0	3939.0	285.0	162.0	26.0
70 и более	9825.0	40.0	1498.0	139.0	1624.0	445.0	510.0	1643.0	3511.0	402.0	191.0	13.0
Возраст не указан	681.0	1.0	93.0	19.0	234.0	89.0	138.0	55.0	11.0	3.0	2.0	38.0
Из общей численности занятых - женщины в возрасте:												
трудоспособном	5688706.0	6703.0	829062.0	108285.0	2268951.0	972687.0	1003339.0	446610.0	48463.0	2902.0	1611.0	1704.0
старше трудоспособного	237326.0	733.0	64050.0	2922.0	76663.0	19451.0	24624.0	30494.0	17220.0	1053.0	569.0	116.0
16-29 лет	1365312.0	1411.0	156661.0	53159.0	484530.0	237579.0	270484.0	148496.0	11700.0	848.0	474.0	444.0
