2. НАСЕЛЕНИЕ ПО УРОВНЮ ОБРАЗОВАНИЯ, ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ (На 1000 человек соответствующего возраста)											
											
											
	Имеющие образование								Не имеющие 
35–39  -"-	4.0	191.0	24.0	335.0	185.0	190.0	47.0	8.0	3.0	2.0	13.0
40–44  -"-	4.0	186.0	18.0	317.0	197.0	203.0	51.0	9.0	3.0	2.0	12.0
45–49  -"-	4.0	188.0	16.0	296.0	205.0	190.0	73.0	14.0	2.0	2.0	12.0
50–54  -"-	5.0	199.0	16.0	281.0	190.0	173.0	99.0	22.0	2.0	2.0	13.0
55–59  -"-	7.0	220.0	17.0	261.0	173.0	141.0	117.0	47.0	3.0	2.0	14.0
60–64  -"-	6.0	186.0	12.0	211.0	144.0	109.0	175.0	141.0	5.0	3.0	11.0
65–69  -"-	6.0	161.0	10.0	186.0	120.0	76.0	171.0	249.0	11.0	6.0	10.0
70 лет и более	5.0	119.0	8.0	145.0	83.0	55.0	172.0	380.0	24.0	10.0	9.0
Возраст не указан	2.0	32.0	11.0	60.0	31.0	42.0	23.0	11.0	6.0	2.0	782.0
Из общей численности - мужчины в возрасте:											
трудоспособном	3.0	156.0	36.0	273.0	170.0	215.0	115.0	17.0	3.0	2.0	12.0
старше трудоспособного	5.0	153.0	10.0	179.0	114.0	80.0	173.0	262.0	14.0	7.0	10.0
16-29 лет	2.0	94.0	64.0	209.0	135.0	266.0	195.0	20.0	4.0	3.0	11.0
Женщины в возрасте 15 лет и более	2.0	161.0	31.0	289.0	101.0	166.0	135.0	90.0	14.0	8.0	11.0
15–17 лет	-	-	2.0	10.0	13.0	235.0	651.0	74.0	4.0	2.0	11.0
18–19  -"-	-	0.0	88.0	133.0	78.0	566.0	115.0	9.0	3.0	2.0	8.0
20–24  -"-	2.0	135.0	144.0	290.0	115.0	223.0	69.0	8.0	3.0	2.0	11.0
25–29  -"-	4.0	236.0	45.0	345.0	125.0	161.0	63.0	6.0	3.0	2.0	12.0
30–34  -"-	4.0	237.0	32.0	403.0	128.0	137.0	38.0	5.0	3.0	2.0	13.0
35–39  -"-	3.0	238.0	23.0	412.0	130.0	143.0	31.0	5.0	3.0	2.0	12.0
40–44 лет	3.0	224.0	18.0	405.0	136.0	160.0	34.0	6.0	2.0	2.0	12.0
45–49  -"-	3.0	209.0	14.0	393.0	138.0	166.0	55.0	9.0	2.0	2.0	11.0
50–54  -"-	3.0	197.0	13.0	377.0	121.0	172.0	87.0	16.0	2.0	2.0	12.0
55–59  -"-	3.0	215.0	14.0	319.0	102.0	158.0	126.0	46.0	4.0	2.0	13.0
60–64  -"-	2.0	142.0	9.0	249.0	83.0	141.0	223.0	134.0	8.0	4.0	9.0
65–69  -"-	2.0	118.0	7.0	205.0	70.0	94.0	223.0	250.0	22.0	12.0	9.0
70 лет и более	1.0	69.0	9.0	122.0	50.0	66.0	197.0	404.0	74.0	39.0	8.0
Возраст не указан	1.0	35.0	10.0	58.0	20.0	42.0	22.0	16.0	7.0	3.0	789.0
Из общей численности - женщины в возрасте:											
трудоспособном	3.0	186.0	41.0	341.0	119.0	201.0	86.0	9.0	3.0	2.0	11.0
старше трудоспособного	2.0	116.0	9.0	196.0	69.0	102.0	197.0	260.0	39.0	20.0	10.0
16-29 лет	2.0	126.0	80.0	241.0	97.0	278.0	151.0	11.0	3.0	2.0	11.0
Городское население в возрасте 15 лет и более	4.0	185.0	37.0	291.0	115.0	174.0	119.0	54.0	6.0	3.0	15.0
15–17 лет	-	-	2.0	12.0	17.0	245.0	642.0	64.0	4.0	2.0	14.0
18–19  -"-	-	1.0	88.0	140.0	89.0	540.0	121.0	8.0	3.0	2.0	10.0
20–24  -"-	2.0	132.0	151.0	282.0	124.0	219.0	66.0	8.0	2.0	2.0	14.0
25–29  -"-	5.0	244.0	49.0	333.0	132.0	155.0	59.0	6.0	2.0	1.0	15.0
30–34  -"-	5.0	244.0	37.0	387.0	133.0	137.0	33.0	4.0	2.0	1.0	18.0
35–39  -"-	4.0	255.0	27.0	392.0	134.0	140.0	25.0	4.0	2.0	1.0	17.0
40–44  -"-	4.0	242.0	21.0	381.0	141.0	163.0	27.0	4.0	1.0	1.0	16.0
45–49  -"-	4.0	231.0	17.0	365.0	147.0	170.0	43.0	7.0	1.0	1.0	15.0
50–54  -"-	5.0	225.0	16.0	350.0	134.0	172.0	71.0	11.0	1.0	1.0	15.0
55–59  -"-	6.0	247.0	17.0	313.0	122.0	154.0	96.0	26.0	2.0	1.0	17.0
60–64  -"-	5.0	196.0	12.0	268.0	106.0	138.0	174.0	84.0	3.0	2.0	14.0
65–69  -"-	5.0	171.0	10.0	233.0	93.0	100.0	194.0	172.0	9.0	4.0	13.0
70 лет и более	3.0	110.0	10.0	157.0	68.0	78.0	206.0	319.0	37.0	17.0	12.0
Возраст не указан	2.0	34.0	11.0	57.0	23.0	39.0	18.0	10.0	5.0	2.0	801.0
Из общей численности - население в возрасте:											
трудоспособном	4.0	198.0	46.0	321.0	126.0	200.0	80.0	8.0	2.0	1.0	15.0
старше трудоспособного	4.0	161.0	11.0	224.0	87.0	108.0	182.0	192.0	18.0	8.0	13.0
16-29 лет	2.0	127.0	85.0	236.0	105.0	273.0	147.0	10.0	2.0	2.0	13.0
Мужчины в возрасте 15 лет и более	5.0	181.0	37.0	273.0	138.0	184.0	123.0	41.0	3.0	2.0	15.0
15–17 лет	-	-	2.0	13.0	20.0	225.0	655.0	67.0	4.0	2.0	14.0
18–19  -"-	-	0.0	76.0	148.0	108.0	492.0	150.0	12.0	3.0	2.0	11.0
20–24  -"-	2.0	109.0	135.0	270.0	145.0	223.0	88.0	11.0	3.0	2.0	14.0
25–29  -"-	5.0	213.0	47.0	311.0	153.0	168.0	77.0	8.0	2.0	1.0	16.0
30–34  -"-	5.0	215.0	37.0	365.0	153.0	157.0	42.0	6.0	2.0	1.0	18.0
35–39  -"-	4.0	231.0	29.0	362.0	156.0	162.0	31.0	5.0	2.0	1.0	18.0
40–44  -"-	5.0	223.0	22.0	342.0	164.0	185.0	35.0	5.0	2.0	1.0	17.0
45–49  -"-	5.0	223.0	18.0	317.0	172.0	185.0	53.0	9.0	2.0	1.0	16.0
50–54  -"-	6.0	231.0	18.0	299.0	162.0	174.0	79.0	14.0	1.0	1.0	16.0
55–59  -"-	8.0	253.0	19.0	279.0	152.0	144.0	97.0	28.0	2.0	1.0	18.0
60–64  -"-	8.0	227.0	15.0	241.0	132.0	118.0	154.0	87.0	3.0	1.0	15.0
65–69  -"-	8.0	207.0	12.0	221.0	118.0	86.0	161.0	167.0	6.0	2.0	14.0
70 лет и более	6.0	156.0	9.0	176.0	89.0	66.0	180.0	291.0	14.0	5.0	13.0
Возраст не указан	2.0	32.0	11.0	60.0	29.0	39.0	19.0	9.0	5.0	2.0	794.0
Из общей численности - мужчины в возрасте:											
трудоспособном	4.0	183.0	43.0	292.0	147.0	207.0	95.0	11.0	2.0	1.0	16.0
старше трудоспособного	7.0	195.0	12.0	211.0	111.0	91.0	166.0	185.0	8.0	3.0	14.0
16-29 лет	2.0	109.0	76.0	225.0	123.0	267.0	168.0	13.0	3.0	2.0	14.0
Женщины в возрасте 15 лет и более	3.0	190.0	36.0	307.0	95.0	166.0	117.0	64.0	8.0	4.0	14.0
15–17 лет	-	-	2.0	12.0	14.0	266.0	630.0	60.0	3.0	2.0	13.0
18–19  -"-	-	1.0	100.0	132.0	69.0	589.0	92.0	5.0	2.0	1.0	10.0
20–24  -"-	2.0	155.0	168.0	294.0	103.0	214.0	45.0	4.0	2.0	1.0	13.0
25–29  -"-	5.0	275.0	51.0	354.0	112.0	140.0	42.0	4.0	2.0	1.0	15.0
30–34  -"-	5.0	274.0	36.0	410.0	112.0	117.0	24.0	3.0	2.0	1.0	17.0
35–39  -"-	4.0	277.0	26.0	420.0	114.0	120.0	18.0	3.0	2.0	1.0	16.0
40–44  -"-	4.0	258.0	20.0	416.0	119.0	143.0	21.0	3.0	1.0	1.0	15.0
45–49  -"-	4.0	238.0	16.0	405.0	123.0	158.0	36.0	5.0	1.0	1.0	14.0
50–54  -"-	3.0	221.0	14.0	392.0	111.0	170.0	63.0	9.0	2.0	1.0	15.0
55–59  -"-	4.0	243.0	16.0	340.0	99.0	161.0	95.0	24.0	2.0	1.0	16.0
60–64  -"-	3.0	174.0	10.0	286.0	88.0	152.0	188.0	82.0	4.0	2.0	13.0
65–69  -"-	3.0	149.0	9.0	241.0	77.0	108.0	215.0	176.0	10.0	5.0	12.0
70 лет и более	2.0	91.0	10.0	149.0	59.0	83.0	216.0	331.0	47.0	22.0	12.0
Возраст не указан	1.0	35.0	10.0	55.0	18.0	39.0	18.0	12.0	5.0	2.0	807.0
Из общей численности - женщины в возрасте:											
трудоспособном	3.0	213.0	48.0	349.0	106.0	192.0	67.0	6.0	2.0	1.0	14.0
старше трудоспособного	3.0	146.0	11.0	229.0	76.0	116.0	190.0	194.0	22.0	11.0	13.0
16-29 лет	3.0	146.0	93.0	246.0	87.0	278.0	125.0	7.0	2.0	1.0	13.0
Сельское население в возрасте 15 лет и более	1.0	73.0	14.0	214.0	161.0	179.0	190.0	145.0	22.0	13.0	1.0
15–17 лет	-	-	0.0	6.0	16.0	136.0	707.0	124.0	8.0	6.0	3.0
18–19  -"-	-	0.0	32.0	130.0	130.0	432.0	229.0	36.0	9.0	7.0	2.0
20–24  -"-	1.0	60.0	51.0	234.0	179.0	259.0	176.0	31.0	8.0	6.0	1.0
25–29  -"-	1.0	94.0	22.0	255.0	204.0	239.0	156.0	21.0	7.0	5.0	1.0
30–34  -"-	1.0	97.0	16.0	319.0	219.0	229.0	98.0	14.0	6.0	5.0	1.0
35–39  -"-	1.0	106.0	13.0	324.0	221.0	236.0	79.0	13.0	6.0	5.0	1.0
40–44  -"-	1.0	103.0	10.0	311.0	234.0	234.0	86.0	15.0	5.0	4.0	1.0
45–49  -"-	1.0	103.0	9.0	294.0	239.0	202.0	121.0	25.0	5.0	4.0	1.0
50–54  -"-	1.0	107.0	9.0	278.0	214.0	174.0	167.0	43.0	6.0	4.0	1.0
55–59  -"-	1.0	114.0	9.0	225.0	173.0	138.0	214.0	117.0	8.0	6.0	1.0
60–64  -"-	1.0	68.0	5.0	146.0	116.0	98.0	277.0	273.0	15.0	9.0	1.0
65–69  -"-	1.0	50.0	5.0	115.0	83.0	59.0	221.0	426.0	39.0	23.0	1.0
70 лет и более	0.0	26.0	5.0	66.0	40.0	30.0	155.0	568.0	109.0	60.0	1.0
Возраст не указан	2.0	30.0	8.0	84.0	49.0	89.0	78.0	64.0	21.0	11.0	575.0
Из общей численности - население в возрасте:											
трудоспособном	1.0	86.0	18.0	262.0	201.0	233.0	164.0	28.0	6.0	5.0	1.0
старше трудоспособного	1.0	49.0	5.0	110.0	74.0	62.0	208.0	428.0	62.0	35.0	1.0
16-29 лет	1.0	52.0	30.0	187.0	153.0	270.0	264.0	34.0	8.0	6.0	1.0
Мужчины в возрасте 15 лет и более	1.0	71.0	13.0	187.0	209.0	196.0	193.0	118.0	11.0	7.0	1.0
15–17 лет	-	-	0.0	6.0	20.0	124.0	703.0	134.0	10.0	7.0	3.0
18–19  -"-	-	0.0	26.0	124.0	146.0	391.0	254.0	47.0	10.0	8.0	2.0
20–24  -"-	1.0	54.0	42.0	194.0	200.0	258.0	200.0	41.0	9.0	7.0	1.0
25–29 лет	1.0	82.0	19.0	202.0	234.0	248.0	178.0	27.0	8.0	6.0	1.0
30–34  -"-	1.0	77.0	14.0	257.0	260.0	254.0	112.0	17.0	7.0	5.0	1.0
35–39  -"-	1.0	89.0	12.0	263.0	264.0	261.0	89.0	14.0	6.0	5.0	1.0
40–44  -"-	1.0	89.0	10.0	252.0	279.0	251.0	95.0	17.0	5.0	4.0	1.0
45–49  -"-	1.0	93.0	9.0	238.0	292.0	207.0	125.0	29.0	5.0	4.0	1.0
50–54  -"-	2.0	105.0	10.0	229.0	277.0	168.0	157.0	46.0	5.0	4.0	1.0
55–59  -"-	2.0	110.0	10.0	203.0	244.0	129.0	185.0	109.0	7.0	5.0	1.0
60–64  -"-	1.0	83.0	6.0	139.0	176.0	83.0	224.0	275.0	12.0	7.0	1.0
65–69  -"-	1.0	62.0	5.0	112.0	127.0	54.0	190.0	425.0	23.0	13.0	1.0
70 лет и более	1.0	40.0	4.0	76.0	70.0	33.0	156.0	574.0	45.0	22.0	1.0
Возраст не указан	2.0	26.0	6.0	65.0	59.0	88.0	78.0	49.0	17.0	8.0	610.0
Из общей численности - мужчины в возрасте:											
трудоспособном	1.0	76.0	16.0	214.0	239.0	237.0	175.0	34.0	7.0	5.0	1.0
старше трудоспособного	1.0	60.0	5.0	107.0	120.0	55.0	188.0	435.0	28.0	15.0	1.0
16-29 лет	0.0	46.0	25.0	154.0	172.0	264.0	286.0	43.0	9.0	7.0	1.0
Женщины в возрасте 15 лет и более	1.0	75.0	14.0	236.0	119.0	165.0	188.0	169.0	32.0	19.0	1.0
15–17 лет	-	-	0.0	6.0	12.0	148.0	711.0	113.0	7.0	4.0	3.0
18–19  -"-	-	0.0	38.0	137.0	113.0	476.0	202.0	25.0	7.0	5.0	2.0
20–24  -"-	1.0	66.0	60.0	278.0	158.0	258.0	150.0	21.0	7.0	5.0	1.0
25–29  -"-	1.0	106.0	25.0	310.0	172.0	231.0	133.0	15.0	6.0	5.0	1.0
30–34  -"-	1.0	118.0	18.0	384.0	177.0	202.0	82.0	11.0	6.0	5.0	1.0
35–39  -"-	1.0	125.0	13.0	389.0	177.0	209.0	69.0	11.0	5.0	4.0	1.0
40–44  -"-	1.0	119.0	10.0	375.0	185.0	215.0	76.0	13.0	5.0	4.0	1.0
45–49  -"-	1.0	113.0	8.0	352.0	183.0	197.0	118.0	22.0	5.0	4.0	1.0
50–54  -"-	1.0	109.0	8.0	327.0	153.0	179.0	175.0	41.0	6.0	4.0	1.0
55–59  -"-	1.0	116.0	9.0	243.0	113.0	144.0	239.0	124.0	10.0	7.0	1.0
60–64  -"-	1.0	56.0	4.0	151.0	73.0	109.0	316.0	271.0	18.0	11.0	1.0
65–69  -"-	0.0	42.0	4.0	118.0	54.0	62.0	242.0	427.0	50.0	29.0	1.0
70 лет и более	0.0	21.0	5.0	61.0	29.0	28.0	155.0	565.0	135.0	75.0	1.0
Возраст не указан											
Из общей численности - женщины в возрасте:	2.0	33.0	10.0	102.0	41.0	91.0	76.0	79.0	24.0	14.0	542.0
трудоспособном	1.0	97.0	19.0	316.0	161.0	228.0	150.0	21.0	6.0	4.0	1.0
старше трудоспособного	0.0	43.0	5.0	112.0	53.0	65.0	217.0	425.0	79.0	45.0	1.0
16-29 лет	1.0	59.0	35.0	222.0	132.0	277.0	241.0	25.0	7.0	5.0	1.0
