1. ВСЕ НАСЕЛЕНИЕ, ГОРОДСКОЕ, СЕЛЬСКОЕ ПО УРОВНЮ ОБРАЗОВАНИЯ, ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ												
												
												
	Всего	Имеющие образование 								Не имеющие 
16-29 лет	32299326.0	65410.0	3551579.0	2327304.0	7246248.0	3765464.0	8774684.0	5601749.0	504523.0	117948.0	82981.0	344417.0
Мужчины в возрасте 15 лет и более	55407078.0	201320.0	8411506.0	1722317.0	13876619.0	8705588.0	10338422.0	7813004.0	3402076.0	282111.0	167501.0	654115.0
в том числе в возрасте, лет:												
15–17	3871715.0	-	-	4793.0	41995.0	78164.0	763446.0	2587402.0	332099.0	21541.0	13553.0	42275.0
18–19 	2632472.0	-	1022.0	171787.0	376073.0	306466.0	1238440.0	453735.0	50808.0	11419.0	8333.0	22722.0
20–24 	5783137.0	9623.0	557610.0	654510.0	1460675.0	911526.0	1339072.0	660730.0	104035.0	23493.0	17139.0	61863.0
25–29 	5314150.0	23242.0	968779.0	212325.0	1517039.0	915646.0	993058.0	533948.0	66095.0	18500.0	13349.0	65518.0
30–34 	4914529.0	18055.0	886636.0	154369.0	1662271.0	883756.0	890852.0	291896.0	41329.0	15405.0	10968.0	69960.0
35–39 	5024854.0	17854.0	962185.0	120472.0	1682329.0	931213.0	954902.0	235649.0	38356.0	14603.0	10564.0	67291.0
40–44 	6084104.0	22304.0	1130828.0	112322.0	1926545.0	1197438.0	1236493.0	313417.0	53365.0	15919.0	11304.0	75473.0
45–49 	5493467.0	22562.0	1033768.0	87497.0	1623956.0	1127088.0	1048054.0	396292.0	75823.0	13656.0	9470.0	64771.0
50–54 	4642046.0	22745.0	924308.0	73293.0	1305677.0	884237.0	802781.0	460149.0	100349.0	10925.0	7193.0	57582.0
55–59 	2365925.0	15736.0	520512.0	39693.0	618138.0	408821.0	333513.0	277657.0	110521.0	6923.0	4230.0	34411.0
60–64 	3250993.0	19269.0	603251.0	39869.0	686901.0	469835.0	351845.0	567665.0	459738.0	17364.0	9587.0	35256.0
65–69 	2444084.0	13798.0	394218.0	23341.0	455771.0	294114.0	186774.0	416883.0	608093.0	27738.0	14250.0	23354.0
70 и более	3585602.0	16132.0	428389.0	28046.0	519249.0	297284.0	199192.0	617581.0	1361465.0	84625.0	37561.0	33639.0
Возраст не указан	60366.0	106.0	1929.0	659.0	3628.0	1877.0	2568.0	1352.0	675.0	336.0	117.0	47236.0
Из общей численности - мужчины в возрасте:												
трудоспособном	44812058.0	152121.0	6985648.0	1631061.0	12214698.0	7635533.0	9598422.0	5158977.0	745194.0	144610.0	101609.0	545794.0
старше трудоспособного	9280679.0	49199.0	1425858.0	91256.0	1661921.0	1061233.0	737811.0	1602129.0	2429296.0	129727.0	61398.0	92249.0
16-29 лет	16287133.0	32865.0	1527411.0	1043415.0	3395782.0	2202980.0	4331827.0	3183917.0	325451.0	67179.0	47880.0	176306.0
Женщины в возрасте 15 лет и более	65893157.0	167814.0	10597759.0	2017401.0	19052539.0	6661309.0	10938133.0	8882331.0	5947699.0	917879.0	502979.0	710293.0
в том числе в возрасте, лет:												
15–17	3751539.0	-	-	5391.0	37667.0	49410.0	882702.0	2442698.0	277750.0	15631.0	8989.0	40290.0
18–19 	2544902.0	-	1119.0	222879.0	338583.0	198560.0	1439345.0	292010.0	22682.0	8259.0	5795.0	21465.0
20–24 	5683267.0	9985.0	769836.0	818403.0	1648480.0	655485.0	1270042.0	389010.0	44896.0	17256.0	12338.0	59874.0
25–29	5298826.0	22560.0	1253213.0	237216.0	1825736.0	664859.0	852674.0	332523.0	32786.0	15382.0	10934.0	61877.0
30–34 	4921845.0	19434.0	1163856.0	156842.0	1984976.0	629527.0	676709.0	186659.0	26076.0	13409.0	9657.0	64357.0
35–39 	5191530.0	17547.0	1236852.0	120272.0	2138440.0	675197.0	740594.0	160752.0	26084.0	13397.0	9718.0	62395.0
40–44 	6462366.0	20131.0	1446356.0	113956.0	2619919.0	875781.0	1038735.0	221491.0	36723.0	14711.0	10483.0	74563.0
45–49 	6112425.0	18007.0	1277021.0	84263.0	2401299.0	842097.0	1019528.0	332714.0	55566.0	13594.0	9245.0	68336.0
50–54 	5429152.0	15387.0	1067189.0	68508.0	2049440.0	655515.0	934154.0	473648.0	88145.0	13269.0	8812.0	63897.0
55–59 	2981474.0	10427.0	641798.0	42138.0	951136.0	303306.0	469266.0	377662.0	137279.0	10574.0	6782.0	37888.0
60–64 	4732069.0	12338.0	671647.0	41819.0	1177638.0	396454.0	664550.0	1052512.0	633483.0	36347.0	21055.0	45281.0
65–69 	3900492.0	8860.0	458018.0	28761.0	797603.0	273008.0	368371.0	870501.0	974434.0	86431.0	47135.0	34505.0
70 и более	8883270.0	13138.0	610854.0	76953.0	1081622.0	442110.0	581463.0	1750151.0	3591795.0	659619.0	342036.0	75565.0
Возраст не указан	59529.0	76.0	2092.0	597.0	3439.0	1165.0	2515.0	1307.0	986.0	391.0	155.0	46961.0
Из общей численности - женщины в возрасте:												
трудоспособном	44129511.0	123051.0	8215442.0	1827730.0	15044540.0	5240601.0	8852577.0	3793096.0	411666.0	119149.0	83016.0	501659.0
старше трудоспособного	20497305.0	44763.0	2382317.0	189671.0	4007999.0	1414878.0	2083650.0	4050826.0	5336991.0	792971.0	417008.0	193239.0
16-29 лет	16012193.0	32545.0	2024168.0	1283889.0	3850466.0	1562484.0	4442857.0	2417832.0	179072.0	50769.0	35101.0	168111.0
Городское население в возрасте 15 лет и более	90119616.0	343356.0	16720212.0	3316956.0	26273535.0	10336201.0	15691587.0	10762914.0	4834173.0	514498.0	256301.0	1326184.0
в том числе в возрасте, лет:												
15–17	5571618.0	-	-	10015.0	67417.0	94469.0	1368096.0	3579771.0	355682.0	20237.0	11201.0	75931.0
18–19 	4086713.0	-	2098.0	359877.0	572872.0	363093.0	2206937.0	495635.0	33831.0	9863.0	6699.0	42507.0
20–24 	8856140.0	18136.0	1171052.0	1340111.0	2497552.0	1098631.0	1935343.0	589225.0	67434.0	20077.0	13420.0	118579.0
25–29 	8149844.0	42874.0	1990172.0	396429.0	2714200.0	1078573.0	1256317.0	483115.0	47007.0	16814.0	10817.0	124343.0
30–34 	7433785.0	34868.0	1817179.0	272544.0	2880166.0	987720.0	1017876.0	244237.0	33775.0	14042.0	8874.0	131378.0
35–39 	7505464.0	32444.0	1910992.0	206776.0	2941451.0	1005419.0	1056259.0	182646.0	29932.0	12894.0	8072.0	126651.0
40–44 	9247329.0	38969.0	2235840.0	193353.0	3520620.0	1301919.0	1504119.0	251351.0	40646.0	13956.0	8469.0	146556.0
45–49 	8692561.0	37420.0	2011310.0	146296.0	3168678.0	1273205.0	1478813.0	376281.0	57708.0	12699.0	7465.0	130151.0
50–54 	7709838.0	35381.0	1738036.0	121078.0	2697335.0	1034086.0	1325874.0	541645.0	86370.0	11056.0	6245.0	118977.0
55–59 	4152260.0	24601.0	1026677.0	70614.0	1300499.0	505262.0	638941.0	399203.0	108064.0	7381.0	3949.0	71018.0
60–64 	5743047.0	29510.0	1123954.0	70014.0	1537927.0	606663.0	795722.0	999284.0	482043.0	19261.0	9365.0	78669.0
65–69 	4416699.0	21212.0	755566.0	43808.0	1031246.0	407129.0	441004.0	860990.0	760937.0	38695.0	17697.0	56112.0
70 и более	8554318.0	27941.0	937336.0	86041.0	1343572.0	580032.0	666286.0	1759531.0	2730744.0	317523.0	144028.0	105312.0
Возраст не указан	111894.0	168.0	3783.0	1191.0	6395.0	2647.0	4367.0	2039.0	1147.0	560.0	186.0	89597.0
Из общей численности - население в возрасте:												
трудоспособном	67249444.0	254905.0	13336883.0	3080710.0	21566863.0	8500004.0	13408707.0	5405203.0	548511.0	127192.0	79127.0	1020466.0
старше трудоспособного	21048523.0	88451.0	3383329.0	236246.0	4706672.0	1824216.0	2278974.0	3842698.0	4030845.0	379796.0	173498.0	277296.0
16-29 лет	24842666.0	61010.0	3163322.0	2106432.0	5852041.0	2622785.0	6762787.0	3632733.0	249137.0	59481.0	38461.0	332938.0
Мужчины в возрасте 15 лет и более	40810805.0	187125.0	7375654.0	1531861.0	11141649.0	5646287.0	7490899.0	4995941.0	1684580.0	121446.0	63683.0	635363.0
в том числе в возрасте, лет:												
15–17	2801070.0	-	-	4726.0	35473.0	56956.0	630433.0	1834697.0	188686.0	11285.0	6502.0	38814.0
18–19 	2063262.0	-	1000.0	156955.0	305755.0	223205.0	1015850.0	309046.0	24144.0	5470.0	3752.0	21837.0
20–24 	4431145.0	8918.0	484971.0	597737.0	1198622.0	642074.0	989169.0	389488.0	48699.0	11307.0	7587.0	60160.0
25–29 	4057349.0	21778.0	865233.0	188746.0	1262767.0	621788.0	681312.0	311123.0	31795.0	9001.0	5769.0	63806.0
30–34 	3692438.0	16731.0	792249.0	136761.0	1347917.0	566567.0	580478.0	154977.0	21065.0	7367.0	4577.0	68326.0
35–39 	3637414.0	16325.0	839086.0	104271.0	1317313.0	564978.0	592674.0	112484.0	18184.0	6515.0	3992.0	65584.0
40–44 	4380754.0	20425.0	979474.0	95896.0	1498288.0	721252.0	808864.0	151412.0	24497.0	7043.0	4219.0	73603.0
45–49	4011192.0	20807.0	895878.0	73916.0	1271303.0	693286.0	741626.0	211127.0	33819.0	6211.0	3637.0	63219.0
50–54	3477142.0	21059.0	801789.0	61930.0	1038701.0	561706.0	606830.0	276559.0	47324.0	4902.0	2684.0	56342.0
55–59 	1817801.0	14813.0	460204.0	34231.0	506572.0	274870.0	262979.0	176310.0	50943.0	3064.0	1541.0	33815.0
60–64 	2313523.0	17980.0	525904.0	33798.0	556724.0	305143.0	273612.0	357378.0	202140.0	6360.0	2915.0	34484.0
65–69 	1666739.0	12918.0	345861.0	19591.0	368836.0	195383.0	144742.0	269509.0	277803.0	9357.0	4008.0	22739.0
70 и более	2460976.0	15371.0	384005.0	23303.0	433378.0	219079.0	162330.0	441831.0	715481.0	33564.0	12500.0	32634.0
Возраст не указан	56500.0	98.0	1828.0	636.0	3376.0	1651.0	2227.0	1048.0	487.0	270.0	87.0	44879.0
Из общей численности - мужчины в возрасте:												
трудоспособном	33445471.0	140856.0	6119884.0	1455169.0	9782711.0	4919462.0	6908125.0	3164977.0	355258.0	68013.0	42102.0	531016.0
старше трудоспособного	6441238.0	46269.0	1255770.0	76692.0	1358938.0	719605.0	580684.0	1068718.0	1195424.0	49281.0	19423.0	89857.0
16-29 лет	12428730.0	30696.0	1351204.0	948164.0	2802617.0	1536803.0	3314674.0	2082108.0	159426.0	32911.0	21452.0	170127.0
Женщины в возрасте 15 лет и более	49308811.0	156231.0	9344558.0	1785095.0	15131886.0	4689914.0	8200688.0	5766973.0	3149593.0	393052.0	192618.0	690821.0
в том числе в возрасте, лет:												
15–17	2770548.0	-	-	5289.0	31944.0	37513.0	737663.0	1745074.0	166996.0	8952.0	4699.0	37117.0
18–19 	2023451.0	-	1098.0	202922.0	267117.0	139888.0	1191087.0	186589.0	9687.0	4393.0	2947.0	20670.0
20–24 	4424995.0	9218.0	686081.0	742374.0	1298930.0	456557.0	946174.0	199737.0	18735.0	8770.0	5833.0	58419.0
25–29 	4092495.0	21096.0	1124939.0	207683.0	1451433.0	456785.0	575005.0	171992.0	15212.0	7813.0	5048.0	60537.0
30–34 	3741347.0	18137.0	1024930.0	135783.0	1532249.0	421153.0	437398.0	89260.0	12710.0	6675.0	4297.0	63052.0
35–39 	3868050.0	16119.0	1071906.0	102505.0	1624138.0	440441.0	463585.0	70162.0	11748.0	6379.0	4080.0	61067.0
40–44 	4866575.0	18544.0	1256366.0	97457.0	2022332.0	580667.0	695255.0	99939.0	16149.0	6913.0	4250.0	72953.0
45–49 	4681369.0	16613.0	1115432.0	72380.0	1897375.0	579919.0	737187.0	165154.0	23889.0	6488.0	3828.0	66932.0
50–54 	4232696.0	14322.0	936247.0	59148.0	1658634.0	472380.0	719044.0	265086.0	39046.0	6154.0	3561.0	62635.0
55–59 	2334459.0	9788.0	566473.0	36383.0	793927.0	230392.0	375962.0	222893.0	57121.0	4317.0	2408.0	37203.0
60–64 	3429524.0	11530.0	598050.0	36216.0	981203.0	301520.0	522110.0	641906.0	279903.0	12901.0	6450.0	44185.0
65–69 	2749960.0	8294.0	409705.0	24217.0	662410.0	211746.0	296262.0	591481.0	483134.0	29338.0	13689.0	33373.0
70 и более	6093342.0	12570.0	553331.0	62738.0	910194.0	360953.0	503956.0	1317700.0	2015263.0	283959.0	131528.0	72678.0
Возраст не указан	55394.0	70.0	1955.0	555.0	3019.0	996.0	2140.0	991.0	660.0	290.0	99.0	44718.0
Из общей численности - женщины в возрасте:												
трудоспособном	33803973.0	114049.0	7216999.0	1625541.0	11784152.0	3580542.0	6500582.0	2240226.0	193253.0	59179.0	37025.0	489450.0
старше трудоспособного	14607285.0	42182.0	2127559.0	159554.0	3347734.0	1104611.0	1698290.0	2773980.0	2835421.0	330515.0	154075.0	187439.0
16-29 лет	12413936.0	30314.0	1812118.0	1158268.0	3049424.0	1085982.0	3448113.0	1550625.0	89711.0	26570.0	17009.0	162811.0
Сельское население в возрасте 15 лет и более	31180619.0	25778.0	2289053.0	422762.0	6655623.0	5030696.0	5584968.0	5932421.0	4515602.0	685492.0	414179.0	38224.0
в том числе в возрасте, лет:												
15–17	2051636.0	-	-	169.0	12245.0	33105.0	278052.0	1450329.0	254167.0	16935.0	11341.0	6634.0
18–19 	1090661.0	-	43.0	34789.0	141784.0	141933.0	470848.0	250110.0	39659.0	9815.0	7429.0	1680.0
20–24 	2610264.0	1472.0	156394.0	132802.0	611603.0	468380.0	673771.0	460515.0	81497.0	20672.0	16057.0	3158.0
25–29 	2463132.0	2928.0	231820.0	53112.0	628575.0	501932.0	589415.0	383356.0	51874.0	17068.0	13466.0	3052.0
30–34 	2402589.0	2621.0	233313.0	38667.0	767081.0	525563.0	549685.0	234318.0	33630.0	14772.0	11751.0	2939.0
35–39 	2710920.0	2957.0	288045.0	33968.0	879318.0	600991.0	639237.0	213755.0	34508.0	15106.0	12210.0	3035.0
40–44 	3299141.0	3466.0	341344.0	32925.0	1025844.0	771300.0	771109.0	283557.0	49442.0	16674.0	13318.0	3480.0
45–49 	2913331.0	3149.0	299479.0	25464.0	856577.0	695980.0	588769.0	352725.0	73681.0	14551.0	11250.0	2956.0
50–54 	2361360.0	2751.0	253461.0	20723.0	657782.0	505666.0	411061.0	392152.0	102124.0	13138.0	9760.0	2502.0
55–59 	1195139.0	1562.0	135633.0	11217.0	268775.0	206865.0	163838.0	256116.0	139736.0	10116.0	7063.0	1281.0
60–64 	2240015.0	2097.0	150944.0	11674.0	326612.0	259626.0	220673.0	620893.0	611178.0	34450.0	21277.0	1868.0
65–69 	1927877.0	1446.0	96670.0	8294.0	222128.0	159993.0	114141.0	426394.0	821590.0	75474.0	43688.0	1747.0
70 и более	3914554.0	1329.0	101907.0	18958.0	257299.0	159362.0	114369.0	608201.0	2222516.0	426721.0	235569.0	3892.0
Возраст не указан	8001.0	14.0	238.0	65.0	672.0	395.0	716.0	620.0	514.0	167.0	86.0	4600.0
Из общей численности - население в возрасте:												
трудоспособном	21692125.0	20267.0	1864207.0	378081.0	5692375.0	4376130.0	5042292.0	3546870.0	608349.0	136567.0	105498.0	26987.0
старше трудоспособного	8729461.0	5511.0	424846.0	44681.0	963248.0	651895.0	542487.0	1810257.0	3735442.0	542902.0	304908.0	8192.0
16-29 лет	7456660.0	4400.0	388257.0	220872.0	1394207.0	1142679.0	2011897.0	1969016.0	255386.0	58467.0	44520.0	11479.0
Мужчины в возрасте 15 лет и более	14596273.0	14195.0	1035852.0	190456.0	2734970.0	3059301.0	2847523.0	2817063.0	1717496.0	160665.0	103818.0	18752.0
в том числе в возрасте, лет:												
15–17	1070645.0	-	-	67.0	6522.0	21208.0	133013.0	752705.0	143413.0	10256.0	7051.0	3461.0
18–19 	569210.0	-	22.0	14832.0	70318.0	83261.0	222590.0	144689.0	26664.0	5949.0	4581.0	885.0
20–24 	1351992.0	705.0	72639.0	56773.0	262053.0	269452.0	349903.0	271242.0	55336.0	12186.0	9552.0	1703.0
25–29 	1256801.0	1464.0	103546.0	23579.0	254272.0	293858.0	311746.0	222825.0	34300.0	9499.0	7580.0	1712.0
30–34 	1222091.0	1324.0	94387.0	17608.0	314354.0	317189.0	310374.0	136919.0	20264.0	8038.0	6391.0	1634.0
35–39 	1387440.0	1529.0	123099.0	16201.0	365016.0	366235.0	362228.0	123165.0	20172.0	8088.0	6572.0	1707.0
40–44 	1703350.0	1879.0	151354.0	16426.0	428257.0	476186.0	427629.0	162005.0	28868.0	8876.0	7085.0	1870.0
45–49	1482275.0	1755.0	137890.0	13581.0	352653.0	433802.0	306428.0	185165.0	42004.0	7445.0	5833.0	1552.0
50–54	1164904.0	1686.0	122519.0	11363.0	266976.0	322531.0	195951.0	183590.0	53025.0	6023.0	4509.0	1240.0
55–59 	548124.0	923.0	60308.0	5462.0	111566.0	133951.0	70534.0	101347.0	59578.0	3859.0	2689.0	596.0
60–64 	937470.0	1289.0	77347.0	6071.0	130177.0	164692.0	78233.0	210287.0	257598.0	11004.0	6672.0	772.0
65–69 	777345.0	880.0	48357.0	3750.0	86935.0	98731.0	42032.0	147374.0	330290.0	18381.0	10242.0	615.0
70 и более	1124626.0	761.0	44384.0	4743.0	85871.0	78205.0	36862.0	175750.0	645984.0	51061.0	25061.0	1005.0
Возраст не указан	3866.0	8.0	101.0	23.0	252.0	226.0	341.0	304.0	188.0	66.0	30.0	2357.0
Из общей численности - мужчины в возрасте:												
трудоспособном	11366587.0	11265.0	865764.0	175892.0	2431987.0	2716071.0	2690297.0	1994000.0	389936.0	76597.0	59507.0	14778.0
старше трудоспособного	2839441.0	2930.0	170088.0	14564.0	302983.0	341628.0	157127.0	533411.0	1233872.0	80446.0	41975.0	2392.0
16-29 лет	3858403.0	2169.0	176207.0	95251.0	593165.0	666177.0	1017153.0	1101809.0	166025.0	34268.0	26428.0	6179.0
Женщины в возрасте 15 лет и более	16584346.0	11583.0	1253201.0	232306.0	3920653.0	1971395.0	2737445.0	3115358.0	2798106.0	524827.0	310361.0	19472.0
в том числе в возрасте, лет:												
15–17	980991.0	-	-	102.0	5723.0	11897.0	145039.0	697624.0	110754.0	6679.0	4290.0	3173.0
18–19 	521451.0	-	21.0	19957.0	71466.0	58672.0	248258.0	105421.0	12995.0	3866.0	2848.0	795.0
20–24 	1258272.0	767.0	83755.0	76029.0	349550.0	198928.0	323868.0	189273.0	26161.0	8486.0	6505.0	1455.0
25–29 	1206331.0	1464.0	128274.0	29533.0	374303.0	208074.0	277669.0	160531.0	17574.0	7569.0	5886.0	1340.0
30–34 	1180498.0	1297.0	138926.0	21059.0	452727.0	208374.0	239311.0	97399.0	13366.0	6734.0	5360.0	1305.0
35–39 	1323480.0	1428.0	164946.0	17767.0	514302.0	234756.0	277009.0	90590.0	14336.0	7018.0	5638.0	1328.0
40–44 	1595791.0	1587.0	189990.0	16499.0	597587.0	295114.0	343480.0	121552.0	20574.0	7798.0	6233.0	1610.0
45–49 	1431056.0	1394.0	161589.0	11883.0	503924.0	262178.0	282341.0	167560.0	31677.0	7106.0	5417.0	1404.0
50–54 	1196456.0	1065.0	130942.0	9360.0	390806.0	183135.0	215110.0	208562.0	49099.0	7115.0	5251.0	1262.0
55–59 	647015.0	639.0	75325.0	5755.0	157209.0	72914.0	93304.0	154769.0	80158.0	6257.0	4374.0	685.0
60–64 	1302545.0	808.0	73597.0	5603.0	196435.0	94934.0	142440.0	410606.0	353580.0	23446.0	14605.0	1096.0
65–69 	1150532.0	566.0	48313.0	4544.0	135193.0	61262.0	72109.0	279020.0	491300.0	57093.0	33446.0	1132.0
70 и более	2789928.0	568.0	57523.0	14215.0	171428.0	81157.0	77507.0	432451.0	1576532.0	375660.0	210508.0	2887.0
Возраст не указан	4135.0	6.0	137.0	42.0	420.0	169.0	375.0	316.0	326.0	101.0	56.0	2243.0
Из общей численности - женщины в возрасте:												
трудоспособном	10325538.0	9002.0	998443.0	202189.0	3260388.0	1660059.0	2351995.0	1552870.0	218413.0	59970.0	45991.0	12209.0
старше трудоспособного	5890020.0	2581.0	254758.0	30117.0	660265.0	310267.0	385360.0	1276846.0	2501570.0	462456.0	262933.0	5800.0
16-29 лет	3598257.0	2231.0	212050.0	125621.0	801042.0	476502.0	994744.0	867207.0	89361.0	24199.0	18092.0	5300.0
