6. ГРУППИРОВКА СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ ПО ЧИСЛЕННОСТИ НАСЕЛЕНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
	Всего1)	в том числе сельские населенные пункты с числом жителей						
мужчины	235649.0	443.0	29021.0	51294.0	56580.0	42676.0	36411.0	19224.0
женщины	268699.0	480.0	33827.0	58766.0	65888.0	47801.0	39609.0	22328.0
Тверская область								
Число сельских населенных пунктов	8098.0	3508.0	4156.0	326.0	68.0	36.0	4.0	-
численность населения	395713.0	17503.0	174961.0	97597.0	47308.0	47341.0	11003.0	-
мужчины	183086.0	7647.0	79882.0	45213.0	22186.0	23197.0	4961.0	-
женщины	212627.0	9856.0	95079.0	52384.0	25122.0	24144.0	6042.0	-
Тульская область								
Число сельских населенных пунктов	3084.0	918.0	1730.0	298.0	102.0	29.0	7.0	-
численность населения	308940.0	4789.0	82272.0	96611.0	66526.0	38698.0	20044.0	-
мужчины	141876.0	2061.0	36899.0	45006.0	30941.0	17829.0	9140.0	-
женщины	167064.0	2728.0	45373.0	51605.0	35585.0	20869.0	10904.0	-
Ярославская область								
Число сельских населенных пунктов	4995.0	2462.0	2294.0	148.0	53.0	20.0	18.0	-
численность населения	260593.0	11493.0	89355.0	45935.0	36502.0	27795.0	49513.0	-
мужчины	120062.0	5193.0	41161.0	21428.0	17191.0	12504.0	22585.0	-
женщины	140531.0	6300.0	48194.0	24507.0	19311.0	15291.0	26928.0	-
г. Москва								
Число сельских населенных пунктов	-	-	-	-	-	-	-	-
Северо-Западный федеральный округ								
Число сельских населенных пунктов	25824.0	10645.0	12710.0	1402.0	582.0	316.0	146.0	23.0
численность населения	2472064.0	52352.0	579609.0	447117.0	401458.0	427168.0	418842.0	145518.0
мужчины	1186555.0	24085.0	273362.0	215387.0	193160.0	206041.0	202830.0	71690.0
женщины	1285509.0	28267.0	306247.0	231730.0	208298.0	221127.0	216012.0	73828.0
Республика Карелия								
Число сельских населенных пунктов	681.0	174.0	314.0	86.0	56.0	36.0	15.0	-
численность населения	178886.0	837.0	19106.0	28924.0	40734.0	48690.0	40595.0	-
мужчины	85291.0	445.0	9275.0	13863.0	19386.0	23215.0	19107.0	-
женщины	93595.0	392.0	9831.0	15061.0	21348.0	25475.0	21488.0	-
Республика Коми								
Число сельских населенных пунктов	712.0	86.0	327.0	164.0	84.0	33.0	13.0	5.0
численность населения	252087.0	447.0	25588.0	54605.0	56730.0	42468.0	38507.0	33742.0
мужчины	125689.0	231.0	12807.0	26966.0	28659.0	21129.0	20164.0	15733.0
женщины	126398.0	216.0	12781.0	27639.0	28071.0	21339.0	18343.0	18009.0
Архангельская область								
Число сельских населенных пунктов	3410.0	1330.0	1690.0	241.0	97.0	37.0	13.0	2.0
численность населения	336948.0	6407.0	84718.0	78088.0	63707.0	50749.0	43246.0	10033.0
мужчины	165873.0	3163.0	40822.0	38171.0	31133.0	26442.0	21435.0	4707.0
женщины	171075.0	3244.0	43896.0	39917.0	32574.0	24307.0	21811.0	5326.0
Ненецкий автономный округ								
Число сельских населенных пунктов	43.0	3.0	19.0	9.0	10.0	2.0	-	-
численность населения	15304.0	5.0	1847.0	3049.0	7348.0	3055.0	-	-
мужчины	7845.0	4.0	964.0	1602.0	3715.0	1560.0	-	-
женщины	7459.0	1.0	883.0	1447.0	3633.0	1495.0	-	-
Вологодская область								
Число сельских населенных пунктов	6416.0	3046.0	2971.0	266.0	81.0	31.0	17.0	4.0
численность населения	392996.0	14288.0	124590.0	84072.0	56905.0	40014.0	49936.0	23191.0
мужчины	186475.0	6582.0	58506.0	40553.0	27009.0	19316.0	23495.0	11014.0
женщины	206521.0	7706.0	66084.0	43519.0	29896.0	20698.0	26441.0	12177.0
Калининградская область								
Число сельских населенных пунктов	1075.0	95.0	702.0	160.0	88.0	20.0	10.0	-
численность населения	213794.0	505.0	49073.0	52706.0	58400.0	26217.0	26893.0	-
мужчины	105098.0	273.0	24348.0	25736.0	28109.0	13240.0	13392.0	-
женщины	108696.0	232.0	24725.0	26970.0	30291.0	12977.0	13501.0	-
Ленинградская область								
Число сельских населенных пунктов	2771.0	726.0	1652.0	130.0	89.0	112.0	53.0	9.0
численность населения	560443.0	3927.0	81966.0	41576.0	66260.0	153159.0	155948.0	57607.0
мужчины	261973.0	1846.0	37936.0	19837.0	31370.0	70776.0	72067.0	28141.0
женщины	298470.0	2081.0	44030.0	21739.0	34890.0	82383.0	83881.0	29466.0
Мурманская область								
Число сельских населенных пунктов	106.0	12.0	50.0	14.0	9.0	10.0	8.0	3.0
численность населения	69319.0	73.0	3387.0	4741.0	6562.0	14021.0	19590.0	20945.0
мужчины	39341.0	45.0	2024.0	2472.0	3592.0	7698.0	11415.0	12095.0
женщины	29978.0	28.0	1363.0	2269.0	2970.0	6323.0	8175.0	8850.0
Новгородская область								
Число сельских населенных пунктов	3333.0	1417.0	1701.0	150.0	28.0	25.0	12.0	-
численность населения	209435.0	7123.0	71599.0	44717.0	19972.0	35793.0	30231.0	-
мужчины	96119.0	3201.0	32564.0	20595.0	9272.0	16302.0	14185.0	-
женщины	113316.0	3922.0	39035.0	24122.0	10700.0	19491.0	16046.0	-
Псковская область								
Число сельских населенных пунктов	7320.0	3759.0	3303.0	191.0	50.0	12.0	5.0	-
численность населения	258156.0	18745.0	119582.0	57688.0	32188.0	16057.0	13896.0	-
мужчины	120696.0	8299.0	55080.0	27194.0	14630.0	7923.0	7570.0	-
женщины	137460.0	10446.0	64502.0	30494.0	17558.0	8134.0	6326.0	-
г. Санкт-Петербург								
Число сельских населенных пунктов	-	-	-	-	-	-	-	-
Южный федеральный округ								
Число сельских населенных пунктов	9432.0	257.0	3123.0	2178.0	1504.0	1248.0	739.0	383.0
численность населения	9740814.0	1487.0	302303.0	708350.0	1075674.0	1757905.0	2239248.0	3655847.0
мужчины	4652466.0	811.0	147451.0	340697.0	515066.0	840168.0	1073994.0	1734279.0
женщины	5088348.0	676.0	154852.0	367653.0	560608.0	917737.0	1165254.0	1921568.0
Республика Адыгея								
Число сельских населенных пунктов	220.0	3.0	71.0	52.0	34.0	35.0	18.0	7.0
численность населения	212209.0	22.0	6738.0	16634.0	24857.0	48194.0	55730.0	60034.0
мужчины	100950.0	12.0	3252.0	7773.0	11846.0	23368.0	26505.0	28194.0
женщины	111259.0	10.0	3486.0	8861.0	13011.0	24826.0	29225.0	31840.0
Республика Дагестан								
Число сельских населенных пунктов	1559.0	19.0	452.0	388.0	272.0	234.0	153.0	41.0
численность населения	1473954.0	129.0	44875.0	129096.0	190767.0	334034.0	464293.0	310760.0
мужчины	712548.0	63.0	21366.0	61844.0	91949.0	162045.0	224870.0	150411.0
женщины	761406.0	66.0	23509.0	67252.0	98818.0	171989.0	239423.0	160349.0
Республика Ингушетия								
Число сельских населенных пунктов	41.0	4.0	3.0	4.0	3.0	4.0	7.0	16.0
численность населения	268798.0	21.0	388.0	1273.0	1958.0	5401.0	25148.0	234609.0
мужчины	124279.0	10.0	163.0	644.0	797.0	2514.0	11681.0	108470.0
женщины	144519.0	11.0	225.0	629.0	1161.0	2887.0	13467.0	126139.0
Кабардино-Балкарская Республика								
Число сельских населенных пунктов	168.0	-	20.0	29.0	25.0	34.0	37.0	23.0
численность населения	391148.0	-	1897.0	10473.0	18509.0	46849.0	119834.0	193586.0
мужчины	189343.0	-	927.0	5082.0	8970.0	22617.0	58746.0	93001.0
женщины	201805.0	-	970.0	5391.0	9539.0	24232.0	61088.0	100585.0
Республика Калмыкия								
Число сельских населенных пунктов	261.0	11.0	117.0	46.0	57.0	12.0	11.0	7.0
численность населения	162871.0	65.0	10290.0	16073.0	41363.0	14490.0	33627.0	46963.0
мужчины	80716.0	41.0	5709.0	8274.0	20721.0	7228.0	15929.0	22814.0
женщины	82155.0	24.0	4581.0	7799.0	20642.0	7262.0	17698.0	24149.0
Карачаево-Черкесская Республика								
Число сельских населенных пунктов	139.0	2.0	18.0	25.0	28.0	30.0	26.0	10.0
численность населения	245939.0	20.0	1628.0	9198.0	20057.0	44421.0	82934.0	87681.0
мужчины	117844.0	13.0	855.0	4528.0	9738.0	21329.0	39391.0	41990.0
женщины	128095.0	7.0	773.0	4670.0	10319.0	23092.0	43543.0	45691.0
Республика Северная Осетия-Алания								
Число сельских населенных пунктов	183.0	20.0	63.0	19.0	19.0	30.0	17.0	15.0
численность населения	245400.0	122.0	3596.0	7108.0	13779.0	43770.0	52402.0	124623.0
мужчины	118002.0	79.0	1859.0	3424.0	6677.0	21232.0	25551.0	59180.0
женщины	127398.0	43.0	1737.0	3684.0	7102.0	22538.0	26851.0	65443.0
Чеченская Республика								
Число сельских населенных пунктов	297.0	-	52.0	53.0	38.0	48.0	53.0	53.0
численность населения	730509.0	-	5855.0	16576.0	28412.0	69140.0	156457.0	454069.0
мужчины	357601.0	-	2898.0	7993.0	13610.0	33135.0	77760.0	222205.0
женщины	372908.0	-	2957.0	8583.0	14802.0	36005.0	78697.0	231864.0
Краснодарский край								
Число сельских населенных пунктов	1708.0	48.0	504.0	402.0	248.0	242.0	157.0	107.0
численность населения	2384677.0	286.0	48563.0	129125.0	173647.0	355363.0	484552.0	1193141.0
мужчины	1122014.0	143.0	23368.0	61565.0	82416.0	167207.0	229985.0	557330.0
женщины	1262663.0	143.0	25195.0	67560.0	91231.0	188156.0	254567.0	635811.0
Ставропольский край								
Число сельских населенных пунктов	731.0	8.0	141.0	188.0	89.0	128.0	120.0	57.0
численность населения	1204548.0	45.0	16483.0	61792.0	63117.0	183640.0	358311.0	521160.0
мужчины	574368.0	23.0	8068.0	30152.0	30353.0	88190.0	169227.0	248355.0
женщины	630180.0	22.0	8415.0	31640.0	32764.0	95450.0	189084.0	272805.0
Астраханская область								
Число сельских населенных пунктов	419.0	16.0	136.0	96.0	66.0	67.0	32.0	6.0
численность населения	324835.0	84.0	11660.0	31958.0	49340.0	92228.0	91660.0	47905.0
мужчины	156521.0	48.0	5888.0	15681.0	24001.0	44321.0	43947.0	22635.0
женщины	168314.0	36.0	5772.0	16277.0	25339.0	47907.0	47713.0	25270.0
Волгоградская область								
Число сельских населенных пунктов	1453.0	65.0	639.0	322.0	227.0	161.0	35.0	4.0
численность населения	669438.0	346.0	63454.0	100733.0	165376.0	216328.0	99043.0	24158.0
мужчины	319025.0	191.0	30904.0	48410.0	78713.0	102874.0	46734.0	11199.0
женщины	350413.0	155.0	32550.0	52323.0	86663.0	113454.0	52309.0	12959.0
Ростовская область								
Число сельских населенных пунктов	2253.0	61.0	907.0	554.0	398.0	223.0	73.0	37.0
численность населения	1426488.0	347.0	86876.0	178311.0	284492.0	304047.0	215257.0	357158.0
мужчины	679255.0	188.0	42194.0	85327.0	135275.0	144108.0	103668.0	168495.0
женщины	747233.0	159.0	44682.0	92984.0	149217.0	159939.0	111589.0	188663.0
Приволжский федеральный округ								
Число сельских населенных пунктов	32877.0	5016.0	16335.0	6676.0	3330.0	1069.0	319.0	132.0
численность населения	9107638.0	24429.0	1211783.0	2180587.0	2296101.0	1434287.0	989921.0	970530.0
мужчины	4336729.0	11580.0	574411.0	1039002.0	1089163.0	683796.0	477938.0	460839.0
женщины	4770909.0	12849.0	637372.0	1141585.0	1206938.0	750491.0	511983.0	509691.0
Республика Башкортостан								
Число сельских населенных пунктов	4502.0	279.0	2176.0	1283.0	581.0	118.0	36.0	29.0
численность населения	1477723.0	1425.0	186649.0	416187.0	392540.0	154614.0	111772.0	214536.0
мужчины	711102.0	705.0	90651.0	202203.0	189329.0	74147.0	53022.0	101045.0
женщины	766621.0	720.0	95998.0	213984.0	203211.0	80467.0	58750.0	113491.0
Республика Марий Эл								
Число сельских населенных пунктов	1559.0	168.0	1067.0	218.0	60.0	39.0	6.0	1.0
численность населения	268292.0	918.0	80991.0	68707.0	40429.0	54095.0	16170.0	6982.0
мужчины	129332.0	493.0	39107.0	33211.0	19712.0	25432.0	8258.0	3119.0
женщины	138960.0	425.0	41884.0	35496.0	20717.0	28663.0	7912.0	3863.0
Республика Мордовия								
Число сельских населенных пунктов	1284.0	181.0	620.0	297.0	131.0	34.0	17.0	4.0
численность населения	357288.0	944.0	43313.0	96415.0	89605.0	45221.0	56042.0	25748.0
мужчины	168634.0	415.0	19510.0	43823.0	40787.0	21738.0	30450.0	11911.0
женщины	188654.0	529.0	23803.0	52592.0	48818.0	23483.0	25592.0	13837.0
Республика Татарстан								
Число сельских населенных пунктов	3045.0	196.0	1377.0	936.0	411.0	84.0	30.0	11.0
численность населения	988604.0	1026.0	124798.0	306202.0	278671.0	112634.0	87966.0	77307.0
мужчины	469685.0	476.0	59037.0	145879.0	132748.0	53663.0	41564.0	36318.0
женщины	518919.0	550.0	65761.0	160323.0	145923.0	58971.0	46402.0	40989.0
Удмуртская Республика								
Число сельских населенных пунктов	1910.0	260.0	1107.0	330.0	134.0	46.0	22.0	11.0
численность населения	475978.0	1300.0	79766.0	110117.0	92221.0	61505.0	63275.0	67794.0
мужчины	230065.0	642.0	38683.0	52817.0	44282.0	30577.0	31602.0	31462.0
женщины	245913.0	658.0	41083.0	57300.0	47939.0	30928.0	31673.0	36332.0
Чувашская Республика								
Число сельских населенных пунктов	1709.0	32.0	906.0	495.0	209.0	51.0	13.0	3.0
численность населения	517558.0	180.0	93956.0	155227.0	141493.0	66836.0	42623.0	17243.0
мужчины	247118.0	80.0	44512.0	74132.0	67829.0	32059.0	20337.0	8169.0
женщины	270440.0	100.0	49444.0	81095.0	73664.0	34777.0	22286.0	9074.0
Кировская область								
Число сельских населенных пунктов	3784.0	1479.0	1686.0	414.0	145.0	51.0	9.0	-
численность населения	424505.0	6561.0	94757.0	133005.0	99832.0	65596.0	24754.0	-
мужчины	201872.0	3094.0	45059.0	63381.0	46902.0	31974.0	11462.0	-
женщины	222633.0	3467.0	49698.0	69624.0	52930.0	33622.0	13292.0	-
Нижегородская область								
Число сельских населенных пунктов	4427.0	1020.0	2499.0	531.0	243.0	94.0	32.0	8.0
численность населения	769031.0	5107.0	141777.0	171356.0	166712.0	132119.0	93528.0	58432.0
мужчины	358324.0	2196.0	62327.0	78450.0	76400.0	62378.0	46892.0	29681.0
женщины	410707.0	2911.0	79450.0	92906.0	90312.0	69741.0	46636.0	28751.0
Оренбургская область								
Число сельских населенных пунктов	1715.0	78.0	648.0	498.0	326.0	114.0	27.0	24.0
численность населения	919423.0	381.0	65163.0	164793.0	234163.0	149554.0	88379.0	216990.0
мужчины	443180.0	197.0	31801.0	79575.0	112465.0	71096.0	41870.0	106176.0
женщины	476243.0	184.0	33362.0	85218.0	121698.0	78458.0	46509.0	110814.0
Пензенская область								
Число сельских населенных пунктов	1444.0	143.0	715.0	296.0	188.0	72.0	22.0	8.0
численность населения	507727.0	680.0	52557.0	100581.0	127857.0	100176.0	73650.0	52226.0
мужчины	235716.0	318.0	24184.0	46514.0	59000.0	46665.0	34657.0	24378.0
женщины	272011.0	362.0	28373.0	54067.0	68857.0	53511.0	38993.0	27848.0
Пермская область								
Число сельских населенных пунктов	3619.0	859.0	1981.0	473.0	185.0	76.0	36.0	9.0
численность населения	697774.0	4254.0	123579.0	155020.0	127645.0	104852.0	123068.0	59356.0
мужчины	337950.0	2135.0	60460.0	75313.0	62119.0	51983.0	58056.0	27884.0
женщины	359824.0	2119.0	63119.0	79707.0	65526.0	52869.0	65012.0	31472.0
Коми-Пермяцкий автономный округ								
Число сельских населенных пунктов	688.0	99.0	478.0	76.0	22.0	7.0	6.0	-
численность населения	100336.0	575.0	29632.0	23423.0	15532.0	8653.0	22521.0	-
мужчины	48949.0	296.0	14653.0	11585.0	7609.0	4048.0	10758.0	-
женщины	51387.0	279.0	14979.0	11838.0	7923.0	4605.0	11763.0	-
Самарская область								
Число сельских населенных пунктов	1251.0	130.0	514.0	282.0	189.0	86.0	31.0	19.0
численность населения	628057.0	671.0	38052.0	92891.0	132628.0	121403.0	100966.0	141446.0
мужчины	297225.0	328.0	18148.0	44218.0	62716.0	57336.0	49002.0	65477.0
женщины	330832.0	343.0	19904.0	48673.0	69912.0	64067.0	51964.0	75969.0
Саратовская область								
Число сельских населенных пунктов	1697.0	125.0	678.0	380.0	351.0	136.0	23.0	4.0
численность населения	704452.0	626.0	57437.0	125926.0	250527.0	177049.0	65652.0	27235.0
мужчины	333859.0	330.0	27617.0	60194.0	118386.0	83528.0	31050.0	12754.0
женщины	370593.0	296.0	29820.0	65732.0	132141.0	93521.0	34602.0	14481.0
Ульяновская область								
Число сельских населенных пунктов	931.0	66.0	361.0	243.0	177.0	68.0	15.0	1.0
численность населения	371226.0	356.0	28988.0	84160.0	121778.0	88633.0	42076.0	5235.0
мужчины	172667.0	171.0	13315.0	39292.0	56488.0	41220.0	19716.0	2465.0
женщины	198559.0	185.0	15673.0	44868.0	65290.0	47413.0	22360.0	2770.0
Уральский федеральный округ								
Число сельских населенных пунктов	5663.0	407.0	2506.0	1480.0	776.0	332.0	116.0	46.0
численность населения	2382141.0	1961.0	228869.0	474132.0	541734.0	456468.0	351737.0	327240.0
мужчины	1144990.0	1067.0	111094.0	227937.0	258295.0	216503.0	170549.0	159545.0
женщины	1237151.0	894.0	117775.0	246195.0	283439.0	239965.0	181188.0	167695.0
Курганская область								
Число сельских населенных пунктов	1216.0	44.0	559.0	366.0	185.0	42.0	14.0	6.0
численность населения	445151.0	208.0	56856.0	120501.0	127695.0	55790.0	48105.0	35996.0
мужчины	211167.0	109.0	27031.0	57107.0	59889.0	26094.0	22718.0	18219.0
женщины	233984.0	99.0	29825.0	63394.0	67806.0	29696.0	25387.0	17777.0
Свердловская область								
Число сельских населенных пунктов	1668.0	204.0	815.0	328.0	205.0	82.0	30.0	4.0
численность населения	542685.0	895.0	67281.0	104329.0	145932.0	110549.0	86870.0	26829.0
мужчины	262558.0	480.0	32591.0	50205.0	69701.0	51960.0	43105.0	14516.0
женщины	280127.0	415.0	34690.0	54124.0	76231.0	58589.0	43765.0	12313.0
Тюменская область								
Число сельских населенных пунктов	1543.0	111.0	724.0	340.0	211.0	89.0	46.0	22.0
численность населения	738708.0	602.0	65416.0	109372.0	142011.0	123398.0	142981.0	154928.0
мужчины	361508.0	348.0	32447.0	53211.0	68849.0	60431.0	70144.0	76078.0
женщины	377200.0	254.0	32969.0	56161.0	73162.0	62967.0	72837.0	78850.0
Ханты-Мансийский автономный округ - Югра								
Число сельских населенных пунктов	169.0	9.0	55.0	37.0	31.0	24.0	9.0	4.0
численность населения	130893.0	56.0	4612.0	12533.0	20758.0	34284.0	27751.0	30899.0
мужчины	68246.0	33.0	2395.0	6279.0	10364.0	17331.0	14850.0	16994.0
женщины	62647.0	23.0	2217.0	6254.0	10394.0	16953.0	12901.0	13905.0
Ямало-Ненецкий автономный округ								
Число сельских населенных пунктов	83.0	5.0	28.0	12.0	11.0	13.0	12.0	2.0
численность населения	84180.0	28.0	2036.0	4049.0	7566.0	19548.0	35370.0	15583.0
мужчины	42745.0	16.0	1065.0	2112.0	3884.0	9753.0	17557.0	8358.0
женщины	41435.0	12.0	971.0	1937.0	3682.0	9795.0	17813.0	7225.0
Челябинская область								
Число сельских населенных пунктов	1236.0	48.0	408.0	446.0	175.0	119.0	26.0	14.0
численность населения	655597.0	256.0	39316.0	139930.0	126096.0	166731.0	73781.0	109487.0
мужчины	309757.0	130.0	19025.0	67414.0	59856.0	78018.0	34582.0	50732.0
женщины	345840.0	126.0	20291.0	72516.0	66240.0	88713.0	39199.0	58755.0
Сибирский федеральный округ								
Число сельских населенных пунктов	11525.0	617.0	4580.0	2998.0	1902.0	1038.0	274.0	116.0
численность населения	5790061.0	3032.0	439846.0	963952.0	1357285.0	1384054.0	814877.0	827015.0
мужчины	2792773.0	1658.0	217067.0	471788.0	655111.0	665662.0	391922.0	389565.0
женщины	2997288.0	1374.0	222779.0	492164.0	702174.0	718392.0	422955.0	437450.0
Республика Алтай								
Число сельских населенных пунктов	242.0	15.0	68.0	82.0	45.0	21.0	7.0	4.0
численность населения	149409.0	76.0	6092.0	26005.0	31070.0	29405.0	24856.0	31905.0
мужчины	72576.0	44.0	3051.0	12742.0	15005.0	14287.0	11830.0	15617.0
женщины	76833.0	32.0	3041.0	13263.0	16065.0	15118.0	13026.0	16288.0
Республика Бурятия								
Число сельских населенных пунктов	606.0	18.0	177.0	183.0	125.0	70.0	22.0	11.0
численность населения	396268.0	88.0	16767.0	60356.0	88616.0	91840.0	63625.0	74976.0
мужчины	192974.0	48.0	8421.0	29862.0	43366.0	45279.0	30744.0	35254.0
женщины	203294.0	40.0	8346.0	30494.0	45250.0	46561.0	32881.0	39722.0
Республика Тыва								
Число сельских населенных пунктов	343.0	44.0	178.0	25.0	51.0	32.0	12.0	1.0
численность населения	148211.0	261.0	10150.0	9349.0	39438.0	42983.0	40984.0	5046.0
мужчины	71528.0	139.0	5189.0	4572.0	19117.0	20775.0	19304.0	2432.0
женщины	76683.0	122.0	4961.0	4777.0	20321.0	22208.0	21680.0	2614.0
Республика Хакасия								
Число сельских населенных пунктов	253.0	3.0	100.0	62.0	37.0	40.0	6.0	5.0
численность населения	159207.0	14.0	9353.0	18490.0	27582.0	52780.0	17787.0	33201.0
мужчины	75725.0	7.0	4641.0	9003.0	13118.0	25072.0	8345.0	15539.0
женщины	83482.0	7.0	4712.0	9487.0	14464.0	27708.0	9442.0	17662.0
Алтайский край								
Число сельских населенных пунктов	1604.0	53.0	486.0	389.0	326.0	258.0	58.0	34.0
численность населения	1220661.0	262.0	51803.0	126405.0	235037.0	342284.0	186288.0	278582.0
