1. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ЗАНЯТИЯМ И ВОЗРАСТНЫМ ГРУППАМ  													
													
													
	Всего	в том числе в возрасте, лет										В трудоспособном возрасте	Средний возраст
занятые на военной службе	489366.0	1965.0	73256.0	95678.0	86809.0	86951.0	84332.0	39472.0	14091.0	4723.0	2089.0	487270.0	34.7
лица, неточно указавшие или не указавшие  занятия 	739220.0	19842.0	85196.0	101908.0	98419.0	96632.0	110646.0	93837.0	75038.0	36940.0	20762.0	717673.0	38.4
Женщины в возрасте 15-64 лет, занятые в экономике 	29449153.0	624330.0	2916087.0	3552839.0	3503204.0	3895714.0	5001837.0	4660949.0	3634769.0	1064324.0	595100.0	27783885.0	39.3
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	2970829.0	15074.0	149881.0	259707.0	314481.0	407746.0	575370.0	568977.0	465398.0	148183.0	66012.0	2756507.0	42.0
специалисты высшего уровня квалификации	6038092.0	43696.0	555476.0	789947.0	757272.0	801958.0	970285.0	895025.0	749717.0	306638.0	168078.0	5563095.0	39.9
специалисты среднего уровня квалификации	5196321.0	85620.0	563502.0	680673.0	672617.0	694049.0	852520.0	774254.0	614287.0	170449.0	88350.0	4937129.0	38.8
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	1428195.0	54824.0	197055.0	180551.0	159252.0	170164.0	223703.0	210756.0	162489.0	45392.0	24009.0	1358657.0	37.9
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	5427453.0	246892.0	791145.0	800391.0	713486.0	720050.0	836091.0	694585.0	465483.0	103187.0	56143.0	5266089.0	36.2
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	572205.0	10102.0	37604.0	59088.0	69614.0	88823.0	118619.0	107540.0	69164.0	7873.0	3778.0	560230.0	39.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	2295010.0	58601.0	219192.0	257261.0	253398.0	300880.0	420168.0	404939.0	295347.0	61423.0	23801.0	2209349.0	39.3
операторы, аппаратчики, машинисты установок и машин	1430463.0	22132.0	107426.0	144530.0	155861.0	193651.0	276186.0	270417.0	195411.0	45607.0	19242.0	1365486.0	40.4
неквалифицированные рабочие	3349535.0	71997.0	228318.0	295956.0	317342.0	415543.0	595449.0	619543.0	530235.0	147100.0	128052.0	3072832.0	41.6
занятые на военной службе	126864.0	768.0	7452.0	14211.0	18321.0	24844.0	31690.0	19555.0	7440.0	1840.0	743.0	124280.0	38.8
лица, неточно указавшие или не указавшие  занятия 	614186.0	14624.0	59036.0	70524.0	71560.0	78006.0	101756.0	95358.0	79798.0	26632.0	16892.0	570231.0	39.7
Городское население в возрасте 15-64 лет, занятое в экономике 	46988595.0	959557.0	4956697.0	6134590.0	5781941.0	5973120.0	7445852.0	6879935.0	5566067.0	2087795.0	1203041.0	44848207.0	39.2
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	5897414.0	25121.0	307639.0	623094.0	720288.0	813887.0	1036852.0	988656.0	843537.0	350125.0	188215.0	5580186.0	41.7
специалисты высшего уровня квалификации	7575256.0	50883.0	714963.0	1048046.0	929649.0	954645.0	1146537.0	1072848.0	937097.0	435368.0	285220.0	7020612.0	40.1
специалисты среднего уровня квалификации	6080559.0	109844.0	708490.0	859238.0	802132.0	772038.0	920724.0	842285.0	695375.0	239219.0	131214.0	5803685.0	38.5
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	1291231.0	55197.0	190816.0	171874.0	146203.0	145774.0	188507.0	180331.0	143568.0	44170.0	24791.0	1227191.0	37.5
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	6326942.0	266002.0	996062.0	1025405.0	899994.0	815795.0	884475.0	716620.0	499890.0	142599.0	80100.0	6154919.0	35.7
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	170507.0	3856.0	16503.0	20794.0	19545.0	22768.0	30559.0	29096.0	19833.0	5352.0	2201.0	166258.0	39.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	7968525.0	207743.0	909530.0	1002893.0	876600.0	936053.0	1265438.0	1230140.0	1004804.0	361464.0	173860.0	7735173.0	39.1
операторы, аппаратчики, машинисты установок и машин	6104445.0	67354.0	538085.0	742860.0	776715.0	841423.0	1101802.0	987735.0	710043.0	240135.0	98293.0	5963996.0	39.6
неквалифицированные рабочие	3875841.0	142290.0	387316.0	401299.0	374863.0	425355.0	588053.0	615348.0	554613.0	204849.0	181855.0	3563100.0	40.5
занятые на военной службе	499618.0	2233.0	61590.0	86571.0	84624.0	91313.0	95914.0	50117.0	18930.0	5853.0	2473.0	495507.0	35.9
лица, неточно указавшие или не указавшие  занятия 	1198257.0	29034.0	125703.0	152516.0	151328.0	154069.0	186991.0	166759.0	138377.0	58661.0	34819.0	1137580.0	39.1
Мужчины в возрасте 15-64 лет, занятые в экономике 	23394993.0	462250.0	2594395.0	3255577.0	3007082.0	2950910.0	3532132.0	3165725.0	2592440.0	1162080.0	672402.0	22715398.0	38.9
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	3423446.0	12234.0	176334.0	397033.0	456430.0	482259.0	570632.0	522201.0	455605.0	221359.0	129359.0	3293960.0	41.4
специалисты высшего уровня квалификации	2430562.0	14802.0	241715.0	367937.0	295036.0	288810.0	329292.0	307266.0	286377.0	166414.0	132913.0	2297437.0	40.2
специалисты среднего уровня квалификации	1979873.0	40446.0	257805.0	310380.0	278949.0	245346.0	263193.0	233671.0	201833.0	94295.0	53955.0	1925525.0	37.9
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	121687.0	7222.0	21550.0	19573.0	16504.0	12979.0	13784.0	11522.0	9798.0	5093.0	3662.0	117973.0	35.7
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	1945263.0	63423.0	348269.0	371260.0	319786.0	247310.0	226609.0	163978.0	120575.0	53213.0	30840.0	1913649.0	34.7
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	100628.0	2659.0	11195.0	13812.0	12311.0	13131.0	16929.0	15454.0	10431.0	3426.0	1280.0	99249.0	38.2
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	5964809.0	160007.0	724103.0	780739.0	657949.0	675538.0	900317.0	872142.0	738479.0	303990.0	151545.0	5811579.0	39.0
операторы, аппаратчики, машинисты установок и машин	4852810.0	48738.0	444926.0	616312.0	640893.0	673831.0	861872.0	750600.0	536544.0	198305.0	80789.0	4771768.0	39.3
неквалифицированные рабочие	1529042.0	94712.0	239406.0	213584.0	171825.0	155181.0	182301.0	173036.0	154030.0	78006.0	66961.0	1459097.0	37.3
занятые на военной службе	396763.0	1619.0	55696.0	75199.0	69980.0	71254.0	70381.0	33999.0	12550.0	4216.0	1869.0	394893.0	35.1
лица, неточно указавшие или не указавшие  занятия 	650110.0	16388.0	73396.0	89748.0	87419.0	85271.0	96822.0	81856.0	66218.0	33763.0	19229.0	630268.0	38.6
Женщины в возрасте 15-64 лет, занятые в экономике 	23593602.0	497307.0	2362302.0	2879013.0	2774859.0	3022210.0	3913720.0	3714210.0	2973627.0	925715.0	530639.0	22132809.0	39.4
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	2473968.0	12887.0	131305.0	226061.0	263858.0	331628.0	466220.0	466455.0	387932.0	128766.0	58856.0	2286226.0	42.0
специалисты высшего уровня квалификации	5144694.0	36081.0	473248.0	680109.0	634613.0	665835.0	817245.0	765582.0	650720.0	268954.0	152307.0	4723175.0	40.0
специалисты среднего уровня квалификации	4100686.0	69398.0	450685.0	548858.0	523183.0	526692.0	657531.0	608614.0	493542.0	144924.0	77259.0	3878160.0	38.8
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	1169544.0	47975.0	169266.0	152301.0	129699.0	132795.0	174723.0	168809.0	133770.0	39077.0	21129.0	1109218.0	37.7
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	4381679.0	202579.0	647793.0	654145.0	580208.0	568485.0	657866.0	552642.0	379315.0	89386.0	49260.0	4241270.0	36.2
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	69879.0	1197.0	5308.0	6982.0	7234.0	9637.0	13630.0	13642.0	9402.0	1926.0	921.0	67009.0	40.3
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	2003716.0	47736.0	185427.0	222154.0	218651.0	260515.0	365121.0	357998.0	266325.0	57474.0	22315.0	1923594.0	39.5
операторы, аппаратчики, машинисты установок и машин	1251635.0	18616.0	93159.0	126548.0	135822.0	167592.0	239930.0	237135.0	173499.0	41830.0	17504.0	1192228.0	40.5
неквалифицированные рабочие	2346799.0	47578.0	147910.0	187715.0	203038.0	270174.0	405752.0	442312.0	400583.0	126843.0	114894.0	2104003.0	42.5
занятые на военной службе	102855.0	614.0	5894.0	11372.0	14644.0	20059.0	25533.0	16118.0	6380.0	1637.0	604.0	100614.0	38.9
лица, неточно указавшие или не указавшие  занятия 	548147.0	12646.0	52307.0	62768.0	63909.0	68798.0	90169.0	84903.0	72159.0	24898.0	15590.0	507312.0	39.8
Сельское население в возрасте 15-64 лет, занятое в экономике 	12663842.0	295187.0	1283702.0	1513147.0	1556719.0	1818506.0	2262966.0	1947418.0	1400702.0	424063.0	161432.0	12358192.0	38.8
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	1028462.0	3742.0	40460.0	75838.0	105315.0	152139.0	215526.0	202056.0	159639.0	51953.0	21794.0	987229.0	42.5
специалисты высшего уровня квалификации	1295183.0	10053.0	120681.0	159168.0	166433.0	190059.0	219656.0	188603.0	150087.0	60872.0	29571.0	1227882.0	39.6
специалисты среднего уровня квалификации	1498537.0	22384.0	159538.0	184047.0	200493.0	221264.0	258259.0	223393.0	167383.0	43559.0	18217.0	1454667.0	38.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	288158.0	7502.0	30879.0	31885.0	33115.0	41159.0	53636.0	46229.0	32165.0	7818.0	3770.0	278039.0	38.8
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	1433647.0	52775.0	217098.0	218276.0	191930.0	202631.0	227239.0	177272.0	111467.0	24147.0	10812.0	1408691.0	36.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	897042.0	22724.0	69930.0	97936.0	110062.0	137387.0	177857.0	153658.0	99570.0	20345.0	7573.0	882681.0	39.2
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	1564033.0	48410.0	182725.0	196284.0	180908.0	202384.0	265952.0	239519.0	176472.0	55345.0	16034.0	1543385.0	38.3
операторы, аппаратчики, машинисты установок и машин	2425370.0	42928.0	225400.0	284166.0	312853.0	370814.0	467229.0	373951.0	245067.0	81835.0	21127.0	2400100.0	38.8
неквалифицированные рабочие	1961649.0	78737.0	199344.0	222313.0	216453.0	259618.0	332093.0	311391.0	239792.0	72568.0	29340.0	1909151.0	38.9
занятые на военной службе	116612.0	500.0	19118.0	23318.0	20506.0	20482.0	20108.0	8910.0	2601.0	710.0	359.0	116043.0	34.2
лица, неточно указавшие или не указавшие  занятия 	155149.0	5432.0	18529.0	19916.0	18651.0	20569.0	25411.0	22436.0	16459.0	4911.0	2835.0	150324.0	38.1
Мужчины в возрасте 15-64 лет, занятые в экономике 	6808291.0	168164.0	729917.0	839321.0	828374.0	945002.0	1174849.0	1000679.0	739560.0	285454.0	96971.0	6707116.0	38.7
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	531601.0	1555.0	21884.0	42192.0	54692.0	76021.0	106376.0	99534.0	82173.0	32536.0	14638.0	516948.0	42.6
специалисты высшего уровня квалификации	401785.0	2438.0	38453.0	49330.0	43774.0	53936.0	66616.0	59160.0	51090.0	23188.0	13800.0	387962.0	40.4
специалисты среднего уровня квалификации	402902.0	6162.0	46721.0	52232.0	51059.0	53907.0	63270.0	57753.0	46638.0	18034.0	7126.0	395698.0	38.8
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	29507.0	653.0	3090.0	3635.0	3562.0	3790.0	4656.0	4282.0	3446.0	1503.0	890.0	28600.0	39.4
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	387873.0	8462.0	73746.0	72030.0	58652.0	51066.0	49014.0	35329.0	25299.0	10346.0	3929.0	383872.0	34.9
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	394716.0	13819.0	37634.0	45830.0	47682.0	58201.0	72868.0	59760.0	39808.0	14398.0	4716.0	389460.0	38.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	1272739.0	37545.0	148960.0	161177.0	146161.0	162019.0	210905.0	192578.0	147450.0	51396.0	14548.0	1257630.0	38.5
операторы, аппаратчики, машинисты установок и машин	2246542.0	39412.0	211133.0	266184.0	292814.0	344755.0	430973.0	340669.0	223155.0	78058.0	19389.0	2226842.0	38.8
неквалифицированные рабочие	958913.0	54318.0	118936.0	114072.0	102149.0	114249.0	142396.0	134160.0	110140.0	52311.0	16182.0	940322.0	38.2
занятые на военной службе	92603.0	346.0	17560.0	20479.0	16829.0	15697.0	13951.0	5473.0	1541.0	507.0	220.0	92377.0	33.2
лица, неточно указавшие или не указавшие  занятия 	89110.0	3454.0	11800.0	12160.0	11000.0	11361.0	13824.0	11981.0	8820.0	3177.0	1533.0	87405.0	37.5
Женщины в возрасте 15-64 лет, занятые в экономике 	5855551.0	127023.0	553785.0	673826.0	728345.0	873504.0	1088117.0	946739.0	661142.0	138609.0	64461.0	5651076.0	38.9
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	496861.0	2187.0	18576.0	33646.0	50623.0	76118.0	109150.0	102522.0	77466.0	19417.0	7156.0	470281.0	42.3
специалисты высшего уровня квалификации	893398.0	7615.0	82228.0	109838.0	122659.0	136123.0	153040.0	129443.0	98997.0	37684.0	15771.0	839920.0	39.3
специалисты среднего уровня квалификации	1095635.0	16222.0	112817.0	131815.0	149434.0	167357.0	194989.0	165640.0	120745.0	25525.0	11091.0	1058969.0	38.5
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	258651.0	6849.0	27789.0	28250.0	29553.0	37369.0	48980.0	41947.0	28719.0	6315.0	2880.0	249439.0	38.7
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	1045774.0	44313.0	143352.0	146246.0	133278.0	151565.0	178225.0	141943.0	86168.0	13801.0	6883.0	1024819.0	36.4
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	502326.0	8905.0	32296.0	52106.0	62380.0	79186.0	104989.0	93898.0	59762.0	5947.0	2857.0	493221.0	39.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	291294.0	10865.0	33765.0	35107.0	34747.0	40365.0	55047.0	46941.0	29022.0	3949.0	1486.0	285755.0	37.7
операторы, аппаратчики, машинисты установок и машин	178828.0	3516.0	14267.0	17982.0	20039.0	26059.0	36256.0	33282.0	21912.0	3777.0	1738.0	173258.0	39.7
неквалифицированные рабочие	1002736.0	24419.0	80408.0	108241.0	114304.0	145369.0	189697.0	177231.0	129652.0	20257.0	13158.0	968829.0	39.5
занятые на военной службе	24009.0	154.0	1558.0	2839.0	3677.0	4785.0	6157.0	3437.0	1060.0	203.0	139.0	23666.0	38.1
лица, неточно указавшие или не указавшие  занятия 	66039.0	1978.0	6729.0	7756.0	7651.0	9208.0	11587.0	10455.0	7639.0	1734.0	1302.0	62919.0	38.8
