3.3. МУЖЧИНЫ И ЖЕНЩИНЫ ПО ВОЗРАСТНЫМ ГРУППАМ И СОСТОЯНИЮ В БРАКЕ (на 1000 человек соответствующего пола и возраста)														
														
	Мужчины							Женщины						
16 – 17	4.0	2.0	2.0	973.0	0.0	0.0	23.0	17.0	8.0	9.0	962.0	0.0	1.0	20.0
18 – 19	24.0	15.0	9.0	961.0	0.0	1.0	14.0	106.0	72.0	34.0	878.0	0.0	4.0	12.0
20 – 24	233.0	183.0	50.0	739.0	0.0	13.0	15.0	400.0	326.0	74.0	548.0	3.0	35.0	14.0
25 – 29	572.0	485.0	87.0	347.0	2.0	63.0	16.0	633.0	545.0	88.0	231.0	10.0	112.0	14.0
30 – 34	702.0	612.0	90.0	164.0	4.0	113.0	17.0	681.0	602.0	79.0	116.0	21.0	168.0	14.0
35 – 39	759.0	680.0	79.0	92.0	6.0	128.0	15.0	697.0	636.0	61.0	74.0	35.0	182.0	12.0
40 – 44	787.0	721.0	66.0	61.0	11.0	128.0	13.0	697.0	646.0	51.0	55.0	54.0	183.0	11.0
45 – 49	803.0	744.0	59.0	45.0	18.0	123.0	11.0	677.0	632.0	45.0	49.0	83.0	181.0	10.0
50 – 54	813.0	761.0	52.0	33.0	31.0	112.0	11.0	638.0	599.0	39.0	45.0	133.0	173.0	11.0
55 – 59	815.0	769.0	46.0	25.0	47.0	100.0	13.0	583.0	551.0	32.0	41.0	198.0	166.0	12.0
60 – 64	808.0	766.0	42.0	20.0	86.0	76.0	10.0	503.0	478.0	25.0	33.0	318.0	136.0	10.0
65 – 69	803.0	766.0	37.0	14.0	118.0	56.0	9.0	430.0	410.0	20.0	33.0	420.0	108.0	9.0
70 и более	700.0	673.0	27.0	10.0	252.0	29.0	9.0	223.0	213.0	10.0	44.0	659.0	64.0	10.0
возраст не указан	230.0	205.0	25.0	45.0	6.0	18.0	701.0	231.0	210.0	21.0	40.0	20.0	21.0	688.0
Сельское население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке 	650.0	573.0	77.0	244.0	39.0	65.0	2.0	569.0	502.0	67.0	147.0	212.0	70.0	2.0
в том числе в возрасте, лет:														
  до 16	847.0	417.0	430.0		85.0	68.0		965.0	254.0	711.0		14.0	21.0	
16 – 17	5.0	2.0	3.0	984.0	0.0	0.0	11.0	37.0	16.0	21.0	952.0	0.0	1.0	10.0
18 – 19	33.0	20.0	13.0	961.0	0.0	1.0	5.0	191.0	128.0	63.0	797.0	1.0	7.0	4.0
20 – 24	256.0	196.0	60.0	728.0	0.0	13.0	3.0	504.0	402.0	102.0	450.0	5.0	39.0	2.0
25 – 29	589.0	487.0	102.0	352.0	2.0	55.0	2.0	725.0	614.0	111.0	176.0	14.0	84.0	1.0
30 – 34	727.0	625.0	102.0	180.0	3.0	88.0	2.0	786.0	688.0	98.0	85.0	26.0	102.0	1.0
35 – 39	776.0	682.0	94.0	121.0	6.0	96.0	1.0	803.0	719.0	84.0	52.0	42.0	102.0	1.0
40 – 44	795.0	705.0	90.0	96.0	10.0	98.0	1.0	794.0	715.0	79.0	39.0	62.0	104.0	1.0
45 – 49	800.0	712.0	88.0	78.0	18.0	103.0	1.0	765.0	685.0	80.0	35.0	95.0	104.0	1.0
50 – 54	807.0	721.0	86.0	61.0	31.0	100.0	1.0	718.0	641.0	77.0	34.0	148.0	99.0	1.0
55 – 59	816.0	729.0	87.0	47.0	48.0	88.0	1.0	657.0	588.0	69.0	31.0	225.0	86.0	1.0
60 – 64	819.0	740.0	79.0	34.0	85.0	61.0	1.0	565.0	513.0	52.0	30.0	339.0	65.0	1.0
65 – 69	822.0	755.0	67.0	22.0	117.0	38.0	1.0	477.0	434.0	43.0	36.0	437.0	49.0	1.0
70 и более	736.0	682.0	54.0	12.0	233.0	18.0	1.0	242.0	220.0	22.0	69.0	656.0	32.0	1.0
возраст не указан	289.0	237.0	52.0	117.0	25.0	40.0	529.0	371.0	317.0	54.0	62.0	78.0	28.0	461.0
