3. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ												
(на 1000 человек соответствующей возрастной группы)												
												
												
	Всего	В возрасте, лет										В трудоспо-собном возрасте
образование	32.0	24.0	25.0	25.0	25.0	28.0	30.0	34.0	41.0	56.0	91.0	31.0
здравоохранение и предоставление социальных услуг	24.0	14.0	18.0	21.0	23.0	25.0	24.0	26.0	28.0	32.0	44.0	24.0
предоставление прочих коммунальных, социальных и персональных услуг	38.0	47.0	34.0	33.0	34.0	36.0	37.0	40.0	44.0	51.0	58.0	38.0
предоставление услуг по ведению домашнего хозяйства	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
деятельность экстерриториальных организаций	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	23.0	24.0	23.0	23.0	24.0	23.0	23.0	22.0	23.0	27.0	31.0	23.0
Женщины в возрасте 15-64 лет, занятые в экономике 	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по видам экономической деятельности:												
сельское хозяйство, охота и лесное хозяйство	54.0	47.0	38.0	42.0	49.0	59.0	64.0	66.0	60.0	31.0	26.0	55.0
рыболовство, рыбоводство	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
добыча полезных ископаемых	11.0	3.0	7.0	9.0	9.0	11.0	12.0	13.0	12.0	9.0	7.0	11.0
обрабатывающие производства	167.0	150.0	150.0	144.0	142.0	159.0	176.0	191.0	200.0	180.0	138.0	168.0
производство и распределение электроэнергии, газа и воды	15.0	4.0	8.0	10.0	12.0	14.0	17.0	19.0	21.0	20.0	15.0	15.0
строительство	29.0	21.0	23.0	22.0	22.0	27.0	33.0	36.0	36.0	32.0	27.0	29.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	168.0	301.0	241.0	210.0	194.0	178.0	157.0	133.0	110.0	81.0	69.0	173.0
гостиницы и рестораны	35.0	81.0	47.0	35.0	33.0	33.0	34.0	34.0	32.0	26.0	23.0	36.0
транспорт и связь	57.0	38.0	44.0	49.0	53.0	57.0	62.0	67.0	68.0	56.0	44.0	58.0
финансовая деятельность	20.0	13.0	22.0	27.0	25.0	21.0	19.0	18.0	17.0	14.0	8.0	21.0
операции с недвижимым имуществом, аренда и предоставление услуг	43.0	35.0	43.0	38.0	36.0	38.0	41.0	45.0	50.0	62.0	71.0	41.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	54.0	50.0	57.0	57.0	55.0	56.0	56.0	52.0	49.0	51.0	41.0	54.0
образование	148.0	102.0	137.0	156.0	164.0	152.0	140.0	135.0	140.0	199.0	216.0	145.0
здравоохранение и предоставление социальных услуг	124.0	67.0	110.0	131.0	133.0	123.0	117.0	117.0	126.0	149.0	205.0	121.0
предоставление прочих коммунальных, социальных и персональных услуг	53.0	65.0	51.0	50.0	52.0	51.0	51.0	53.0	56.0	63.0	80.0	52.0
предоставление услуг по ведению домашнего хозяйства	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
деятельность экстерриториальных организаций	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	20.0	21.0	20.0	19.0	19.0	19.0	19.0	19.0	21.0	25.0	28.0	19.0
Городское население в возрасте 15-64 лет, занятое в экономике	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по видам экономической деятельности:												
сельское хозяйство, охота и лесное хозяйство	17.0	18.0	15.0	14.0	14.0	16.0	19.0	20.0	20.0	17.0	15.0	17.0
рыболовство, рыбоводство	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
добыча полезных ископаемых	24.0	10.0	19.0	22.0	23.0	25.0	28.0	29.0	26.0	20.0	15.0	25.0
обрабатывающие производства	216.0	209.0	207.0	194.0	182.0	196.0	216.0	239.0	256.0	254.0	240.0	215.0
производство и распределение электроэнергии, газа и воды	25.0	9.0	16.0	20.0	21.0	23.0	27.0	31.0	33.0	34.0	31.0	25.0
строительство	77.0	79.0	74.0	72.0	70.0	77.0	83.0	83.0	80.0	76.0	62.0	78.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	147.0	255.0	197.0	183.0	181.0	164.0	138.0	115.0	93.0	69.0	54.0	151.0
гостиницы и рестораны	23.0	58.0	32.0	23.0	22.0	22.0	22.0	22.0	21.0	16.0	13.0	23.0
транспорт и связь	102.0	63.0	83.0	94.0	105.0	108.0	112.0	111.0	107.0	101.0	78.0	104.0
финансовая деятельность	16.0	9.0	17.0	21.0	20.0	17.0	15.0	14.0	13.0	10.0	7.0	16.0
операции с недвижимым имуществом, аренда и предоставление услуг	54.0	48.0	57.0	53.0	50.0	49.0	50.0	54.0	59.0	71.0	85.0	53.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	67.0	50.0	82.0	86.0	84.0	76.0	64.0	51.0	45.0	46.0	41.0	68.0
образование	82.0	61.0	71.0	78.0	81.0	80.0	79.0	81.0	87.0	112.0	142.0	79.0
здравоохранение и предоставление социальных услуг	74.0	41.0	60.0	72.0	74.0	73.0	72.0	74.0	80.0	84.0	114.0	71.0
предоставление прочих коммунальных, социальных и персональных услуг	48.0	62.0	44.0	42.0	45.0	46.0	47.0	49.0	52.0	58.0	69.0	47.0
предоставление услуг по ведению домашнего хозяйства	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
деятельность экстерриториальных организаций	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	25.0	26.0	24.0	24.0	25.0	25.0	25.0	24.0	25.0	29.0	31.0	25.0
Мужчины в возрасте 15-64 лет, занятые в экономике 	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по видам экономической деятельности:												
сельское хозяйство, охота и лесное хозяйство	23.0	28.0	20.0	19.0	19.0	22.0	25.0	27.0	26.0	23.0	19.0	23.0
рыболовство, рыбоводство	3.0	1.0	2.0	3.0	4.0	4.0	4.0	4.0	3.0	3.0	2.0	3.0
добыча полезных ископаемых	36.0	16.0	30.0	34.0	34.0	37.0	44.0	44.0	40.0	28.0	20.0	37.0
обрабатывающие производства	241.0	264.0	247.0	224.0	200.0	207.0	229.0	261.0	287.0	297.0	313.0	239.0
производство и распределение электроэнергии, газа и воды	34.0	14.0	23.0	28.0	29.0	31.0	36.0	41.0	45.0	45.0	43.0	34.0
строительство	121.0	139.0	118.0	113.0	112.0	123.0	132.0	133.0	126.0	109.0	89.0	122.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	114.0	186.0	144.0	146.0	151.0	132.0	104.0	83.0	67.0	57.0	42.0	116.0
гостиницы и рестораны	11.0	33.0	18.0	12.0	11.0	9.0	8.0	7.0	7.0	6.0	5.0	11.0
транспорт и связь	144.0	86.0	115.0	132.0	151.0	157.0	163.0	158.0	148.0	135.0	104.0	145.0
финансовая деятельность	10.0	4.0	10.0	13.0	13.0	10.0	9.0	8.0	7.0	7.0	5.0	10.0
операции с недвижимым имуществом, аренда и предоставление услуг	60.0	58.0	66.0	61.0	57.0	55.0	54.0	57.0	63.0	74.0	92.0	59.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	80.0	46.0	104.0	111.0	110.0	96.0	73.0	51.0	41.0	43.0	42.0	81.0
образование	29.0	24.0	22.0	22.0	22.0	24.0	27.0	31.0	38.0	55.0	89.0	28.0
здравоохранение и предоставление социальных услуг	25.0	16.0	18.0	21.0	23.0	26.0	25.0	26.0	28.0	33.0	43.0	24.0
предоставление прочих коммунальных, социальных и персональных услуг	41.0	55.0	37.0	35.0	37.0	39.0	40.0	43.0	47.0	54.0	59.0	41.0
предоставление услуг по ведению домашнего хозяйства	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
деятельность экстерриториальных организаций	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	27.0	29.0	26.0	26.0	27.0	28.0	27.0	26.0	27.0	31.0	33.0	27.0
Женщины в возрасте 15-64 лет, занятые в экономике 	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по видам экономической деятельности:												
сельское хозяйство, охота и лесное хозяйство	11.0	9.0	9.0	9.0	9.0	11.0	13.0	14.0	14.0	11.0	10.0	12.0
рыболовство, рыбоводство	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
добыча полезных ископаемых	12.0	3.0	8.0	10.0	11.0	12.0	14.0	15.0	14.0	10.0	7.0	12.0
обрабатывающие производства	190.0	158.0	163.0	160.0	162.0	185.0	204.0	220.0	228.0	199.0	148.0	191.0
производство и распределение электроэнергии, газа и воды	17.0	5.0	8.0	11.0	13.0	16.0	19.0	22.0	23.0	21.0	16.0	16.0
строительство	33.0	23.0	26.0	25.0	26.0	32.0	38.0	41.0	40.0	35.0	28.0	33.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	180.0	320.0	256.0	226.0	213.0	195.0	169.0	142.0	116.0	84.0	70.0	187.0
гостиницы и рестораны	36.0	80.0	47.0	34.0	33.0	34.0	35.0	35.0	33.0	27.0	23.0	36.0
транспорт и связь	60.0	41.0	47.0	51.0	56.0	60.0	65.0	70.0	72.0	58.0	45.0	60.0
финансовая деятельность	22.0	14.0	25.0	30.0	28.0	24.0	21.0	20.0	18.0	14.0	8.0	23.0
операции с недвижимым имуществом, аренда и предоставление услуг	48.0	39.0	48.0	43.0	41.0	44.0	47.0	51.0	56.0	67.0	76.0	47.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	54.0	53.0	58.0	57.0	56.0	57.0	56.0	51.0	48.0	50.0	40.0	55.0
образование	135.0	96.0	125.0	142.0	145.0	134.0	127.0	125.0	130.0	183.0	210.0	131.0
здравоохранение и предоставление социальных услуг	122.0	65.0	105.0	129.0	130.0	120.0	115.0	116.0	125.0	148.0	205.0	119.0
предоставление прочих коммунальных, социальных и персональных услуг	55.0	69.0	52.0	51.0	53.0	52.0	53.0	54.0	57.0	64.0	82.0	54.0
предоставление услуг по ведению домашнего хозяйства	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
деятельность экстерриториальных организаций	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	23.0	24.0	22.0	21.0	22.0	22.0	22.0	22.0	24.0	27.0	30.0	22.0
Сельское население в возрасте 15-64 лет, занятое в экономике	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по видам экономической деятельности:												
сельское хозяйство, охота и лесное хозяйство	327.0	383.0	263.0	280.0	301.0	329.0	349.0	361.0	364.0	369.0	282.0	330.0
рыболовство, рыбоводство	3.0	4.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	3.0
добыча полезных ископаемых	13.0	6.0	12.0	13.0	13.0	14.0	15.0	14.0	14.0	12.0	10.0	13.0
обрабатывающие производства	87.0	124.0	112.0	94.0	80.0	76.0	81.0	84.0	85.0	78.0	80.0	87.0
производство и распределение электроэнергии, газа и воды	19.0	7.0	13.0	16.0	17.0	18.0	20.0	23.0	24.0	27.0	25.0	19.0
строительство	47.0	54.0	57.0	50.0	45.0	44.0	45.0	45.0	44.0	44.0	35.0	47.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	82.0	135.0	115.0	96.0	87.0	84.0	77.0	68.0	58.0	42.0	43.0	83.0
гостиницы и рестораны	18.0	43.0	25.0	20.0	18.0	17.0	17.0	17.0	14.0	9.0	11.0	18.0
транспорт и связь	73.0	39.0	64.0	72.0	78.0	77.0	78.0	76.0	71.0	64.0	59.0	73.0
финансовая деятельность	7.0	4.0	7.0	8.0	7.0	7.0	7.0	7.0	7.0	5.0	4.0	7.0
операции с недвижимым имуществом, аренда и предоставление услуг	26.0	20.0	28.0	26.0	23.0	23.0	24.0	27.0	30.0	34.0	43.0	26.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	63.0	31.0	86.0	85.0	74.0	64.0	56.0	48.0	45.0	46.0	47.0	63.0
образование	116.0	65.0	102.0	118.0	131.0	123.0	111.0	107.0	114.0	141.0	169.0	113.0
здравоохранение и предоставление социальных услуг	73.0	38.0	68.0	75.0	78.0	76.0	71.0	72.0	77.0	71.0	115.0	72.0
предоставление прочих коммунальных, социальных и персональных услуг	37.0	35.0	34.0	34.0	36.0	36.0	36.0	38.0	41.0	44.0	56.0	37.0
предоставление услуг по ведению домашнего хозяйства	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
деятельность экстерриториальных организаций	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	9.0	11.0	11.0	10.0	9.0	9.0	9.0	9.0	9.0	10.0	17.0	9.0
Мужчины в возрасте 15-64 лет, занятые в экономике 	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по видам экономической деятельности:												
сельское хозяйство, охота и лесное хозяйство	416.0	524.0	341.0	356.0	390.0	424.0	442.0	449.0	452.0	468.0	365.0	416.0
рыболовство, рыбоводство	5.0	6.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
добыча полезных ископаемых	21.0	8.0	18.0	20.0	21.0	22.0	23.0	23.0	20.0	15.0	14.0	21.0
обрабатывающие производства	96.0	129.0	126.0	107.0	90.0	83.0	86.0	91.0	94.0	88.0	96.0	96.0
производство и распределение электроэнергии, газа и воды	28.0	10.0	19.0	24.0	26.0	27.0	29.0	33.0	35.0	34.0	35.0	28.0
строительство	76.0	84.0	91.0	83.0	77.0	74.0	76.0	73.0	69.0	59.0	50.0	76.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	50.0	64.0	66.0	61.0	58.0	52.0	47.0	42.0	36.0	31.0	32.0	51.0
гостиницы и рестораны	4.0	12.0	9.0	6.0	4.0	4.0	3.0	3.0	3.0	3.0	4.0	5.0
транспорт и связь	96.0	47.0	88.0	98.0	108.0	104.0	102.0	97.0	86.0	76.0	71.0	96.0
финансовая деятельность	3.0	1.0	3.0	4.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0
операции с недвижимым имуществом, аренда и предоставление услуг	32.0	22.0	35.0	32.0	29.0	28.0	29.0	33.0	36.0	37.0	50.0	31.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	70.0	26.0	110.0	110.0	95.0	75.0	56.0	42.0	37.0	39.0	46.0	70.0
образование	42.0	21.0	34.0	38.0	39.0	42.0	41.0	43.0	52.0	63.0	107.0	42.0
здравоохранение и предоставление социальных услуг	23.0	11.0	19.0	20.0	20.0	23.0	23.0	24.0	28.0	30.0	56.0	22.0
предоставление прочих коммунальных, социальных и персональных услуг	28.0	25.0	25.0	25.0	25.0	25.0	27.0	30.0	35.0	40.0	50.0	28.0
предоставление услуг по ведению домашнего хозяйства	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
деятельность экстерриториальных организаций	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	10.0	10.0	11.0	11.0	10.0	10.0	9.0	10.0	10.0	10.0	16.0	10.0
Женщины в возрасте 15-64 лет, занятые в экономике 	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по видам экономической деятельности:												
сельское хозяйство, охота и лесное хозяйство	225.0	196.0	161.0	185.0	201.0	226.0	249.0	268.0	266.0	165.0	156.0	227.0
рыболовство, рыбоводство	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0
добыча полезных ископаемых	5.0	3.0	3.0	4.0	4.0	5.0	6.0	6.0	6.0	5.0	3.0	5.0
обрабатывающие производства	75.0	118.0	94.0	77.0	68.0	69.0	74.0	76.0	73.0	59.0	55.0	76.0
производство и распределение электроэнергии, газа и воды	9.0	2.0	5.0	7.0	7.0	9.0	11.0	12.0	13.0	12.0	10.0	9.0
строительство	12.0	16.0	12.0	10.0	9.0	10.0	12.0	15.0	15.0	13.0	12.0	12.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	118.0	229.0	179.0	140.0	121.0	118.0	110.0	97.0	82.0	64.0	60.0	120.0
гостиницы и рестораны	34.0	84.0	48.0	38.0	33.0	32.0	32.0	31.0	27.0	21.0	23.0	35.0
транспорт и связь	47.0	27.0	32.0	39.0	43.0	48.0	53.0	54.0	54.0	41.0	41.0	47.0
финансовая деятельность	12.0	8.0	11.0	13.0	12.0	12.0	12.0	12.0	12.0	10.0	6.0	12.0
операции с недвижимым имуществом, аренда и предоставление услуг	19.0	18.0	20.0	17.0	16.0	17.0	19.0	21.0	23.0	26.0	34.0	19.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	54.0	39.0	55.0	53.0	50.0	53.0	56.0	55.0	54.0	60.0	49.0	54.0
образование	201.0	124.0	191.0	218.0	236.0	212.0	188.0	175.0	183.0	300.0	262.0	198.0
здравоохранение и предоставление социальных услуг	132.0	74.0	131.0	143.0	143.0	133.0	123.0	123.0	132.0	157.0	203.0	130.0
предоставление прочих коммунальных, социальных и персональных услуг	47.0	49.0	47.0	46.0	48.0	47.0	46.0	46.0	49.0	54.0	65.0	47.0
предоставление услуг по ведению домашнего хозяйства	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
деятельность экстерриториальных организаций	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	9.0	11.0	10.0	9.0	8.0	8.0	8.0	8.0	9.0	11.0	18.0	8.0
