2. ЖЕНЩИНЫ, СОСТОЯЩИЕ В БРАКЕ, ПО ВОЗРАСТНЫМ ГРУППАМ И ЧИСЛУ РОЖДЕННЫХ ДЕТЕЙ													
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
	Всего	Женщины, указавшие число рожденных детей	из них женщины с числом рожденных детей								Общее число рожденных детей	Среднее число рожденных детей (на 1000 женщин)	Женщины, не указавшие число рожденных детей
50 – 54	38147.0	37585.0	1145.0	9061.0	21497.0	4579.0	689.0	369.0	122.0	123.0	72122.0	1919.0	562.0
55 – 59	18252.0	17953.0	697.0	4235.0	9941.0	2356.0	383.0	188.0	62.0	91.0	34740.0	1935.0	299.0
60 – 64	31373.0	30894.0	1454.0	6544.0	16013.0	5053.0	1117.0	469.0	112.0	132.0	62302.0	2017.0	479.0
65 – 69	19602.0	19258.0	1097.0	3777.0	9249.0	3571.0	880.0	432.0	112.0	140.0	40428.0	2099.0	344.0
70 и более	26411.0	26004.0	1989.0	4566.0	10442.0	5284.0	2079.0	1021.0	261.0	362.0	59199.0	2277.0	407.0
Городские населенные пункты													
Женщины в возрасте 15 лет и более	242468.0	238474.0	17955.0	90305.0	110639.0	15749.0	2199.0	734.0	247.0	646.0	377944.0	1585.0	3994.0
в том числе в возрасте, лет:													
15 – 17	324.0	315.0	197.0	114.0	4.0	-	-	-	-	-	122.0	387.0	9.0
18 – 19	2308.0	2238.0	1213.0	1006.0	19.0	-	-	-	-	-	1044.0	466.0	70.0
20 – 24	18126.0	17571.0	5733.0	10830.0	918.0	57.0	8.0	-	12.0	13.0	13032.0	742.0	555.0
25 – 29	24886.0	24424.0	3175.0	16599.0	4314.0	219.0	45.0	28.0	4.0	40.0	26564.0	1088.0	462.0
30 – 34	23752.0	23428.0	1239.0	12969.0	8347.0	672.0	109.0	24.0	8.0	60.0	32835.0	1402.0	324.0
35 – 39	27721.0	27286.0	895.0	10521.0	14134.0	1416.0	152.0	41.0	49.0	78.0	44749.0	1640.0	435.0
40 – 44	35708.0	35234.0	1027.0	10161.0	20983.0	2531.0	295.0	79.0	29.0	129.0	62413.0	1771.0	474.0
45 – 49	32078.0	31676.0	897.0	7795.0	19661.0	2828.0	318.0	77.0	28.0	72.0	58002.0	1831.0	402.0
50 – 54	26437.0	26040.0	779.0	7193.0	15267.0	2376.0	264.0	93.0	20.0	48.0	46896.0	1801.0	397.0
55 – 59	11677.0	11487.0	467.0	3208.0	6528.0	1007.0	145.0	54.0	29.0	49.0	20688.0	1801.0	190.0
60 – 64	17495.0	17229.0	880.0	4787.0	9521.0	1743.0	206.0	48.0	16.0	28.0	30454.0	1768.0	266.0
65 – 69	10159.0	9971.0	613.0	2532.0	5396.0	1118.0	188.0	68.0	20.0	36.0	18190.0	1824.0	188.0
70 и более	11797.0	11575.0	840.0	2590.0	5547.0	1782.0	469.0	222.0	32.0	93.0	22955.0	1983.0	222.0
Сельские населенные пункты													
Женщины в возрасте 15 лет и более	131636.0	129699.0	7135.0	29549.0	61327.0	21624.0	5760.0	2663.0	792.0	849.0	264943.0	2043.0	1937.0
в том числе в возрасте, лет:													
15 – 17	301.0	286.0	178.0	108.0	-	-	-	-	-	-	108.0	378.0	15.0
18 – 19	1275.0	1248.0	553.0	655.0	27.0	13.0	-	-	-	-	748.0	599.0	27.0
20 – 24	7662.0	7426.0	1540.0	4697.0	1108.0	61.0	16.0	-	-	4.0	7188.0	968.0	236.0
25 – 29	11115.0	10930.0	690.0	5483.0	4166.0	465.0	71.0	31.0	4.0	20.0	15845.0	1450.0	185.0
30 – 34	12382.0	12257.0	358.0	3854.0	6575.0	1137.0	209.0	80.0	20.0	24.0	21955.0	1791.0	125.0
35 – 39	14036.0	13889.0	322.0	2690.0	8277.0	1959.0	404.0	127.0	45.0	65.0	28165.0	2028.0	147.0
40 – 44	15630.0	15424.0	351.0	2266.0	9094.0	2654.0	659.0	214.0	89.0	97.0	33427.0	2167.0	206.0
45 – 49	13015.0	12847.0	340.0	1923.0	7197.0	2518.0	525.0	217.0	82.0	45.0	27899.0	2172.0	168.0
50 – 54	11710.0	11545.0	366.0	1868.0	6230.0	2203.0	425.0	276.0	102.0	75.0	25226.0	2185.0	165.0
55 – 59	6575.0	6466.0	230.0	1027.0	3413.0	1349.0	238.0	134.0	33.0	42.0	14052.0	2173.0	109.0
60 – 64	13878.0	13665.0	574.0	1757.0	6492.0	3310.0	911.0	421.0	96.0	104.0	31848.0	2331.0	213.0
65 – 69	9443.0	9287.0	484.0	1245.0	3853.0	2453.0	692.0	364.0	92.0	104.0	22238.0	2395.0	156.0
70 и более	14614.0	14429.0	1149.0	1976.0	4895.0	3502.0	1610.0	799.0	229.0	269.0	36244.0	2512.0	185.0
Брянская область													
Городские и сельские населенные пункты													
Женщины в возрасте 15 лет и более	325258.0	321807.0	21082.0	98346.0	147465.0	36883.0	9596.0	4801.0	1844.0	1790.0	591567.0	1838.0	3451.0
в том числе в возрасте, лет:													
15 – 17	466.0	458.0	314.0	144.0	-	-	-	-	-	-	144.0	314.0	8.0
18 – 19	2764.0	2677.0	1403.0	1214.0	52.0	8.0	-	-	-	-	1342.0	501.0	87.0
20 – 24	22399.0	21824.0	6776.0	12953.0	1887.0	152.0	28.0	16.0	4.0	8.0	17455.0	800.0	575.0
25 – 29	31503.0	31001.0	3229.0	19253.0	7583.0	705.0	142.0	44.0	8.0	37.0	37649.0	1214.0	502.0
30 – 34	32877.0	32544.0	1490.0	14536.0	14230.0	1772.0	296.0	68.0	36.0	116.0	50980.0	1566.0	333.0
35 – 39	35438.0	35127.0	966.0	10927.0	19019.0	3153.0	669.0	155.0	125.0	113.0	63548.0	1809.0	311.0
40 – 44	42694.0	42382.0	1046.0	9899.0	25156.0	4712.0	907.0	319.0	147.0	196.0	81980.0	1934.0	312.0
45 – 49	39005.0	38764.0	915.0	8156.0	23057.0	4989.0	820.0	382.0	177.0	268.0	77589.0	2002.0	241.0
50 – 54	33266.0	32962.0	984.0	7162.0	18696.0	4586.0	779.0	411.0	164.0	180.0	65959.0	2001.0	304.0
55 – 59	16065.0	15908.0	576.0	3294.0	8630.0	2387.0	509.0	332.0	100.0	80.0	32639.0	2052.0	157.0
60 – 64	24281.0	24067.0	1022.0	4403.0	11975.0	4264.0	1197.0	850.0	205.0	151.0	52535.0	2183.0	214.0
65 – 69	18378.0	18187.0	826.0	2898.0	8106.0	3973.0	1259.0	760.0	231.0	134.0	42334.0	2328.0	191.0
70 и более	26122.0	25906.0	1535.0	3507.0	9074.0	6182.0	2990.0	1464.0	647.0	507.0	67413.0	2602.0	216.0
Городские населенные пункты													
Женщины в возрасте 15 лет и более	224947.0	222323.0	15720.0	79193.0	105134.0	17173.0	2919.0	1030.0	423.0	731.0	366097.0	1647.0	2624.0
в том числе в возрасте, лет:													
15 – 17	293.0	288.0	193.0	95.0	-	-	-	-	-	-	95.0	330.0	5.0
18 – 19	1940.0	1897.0	1066.0	808.0	19.0	4.0	-	-	-	-	858.0	452.0	43.0
20 – 24	16453.0	16005.0	5382.0	9579.0	950.0	66.0	12.0	8.0	4.0	4.0	11817.0	738.0	448.0
25 – 29	22613.0	22232.0	2497.0	15186.0	4147.0	284.0	65.0	20.0	-	33.0	24939.0	1122.0	381.0
30 – 34	22891.0	22642.0	1150.0	11816.0	8774.0	686.0	112.0	20.0	8.0	76.0	32650.0	1442.0	249.0
35 – 39	24565.0	24346.0	739.0	8989.0	12823.0	1434.0	223.0	36.0	41.0	61.0	40754.0	1674.0	219.0
40 – 44	30856.0	30639.0	792.0	8520.0	18482.0	2259.0	305.0	105.0	68.0	108.0	55238.0	1803.0	217.0
45 – 49	28970.0	28777.0	690.0	6897.0	17703.0	2805.0	345.0	125.0	56.0	156.0	54243.0	1885.0	193.0
50 – 54	24840.0	24584.0	731.0	6112.0	14735.0	2522.0	252.0	114.0	49.0	69.0	45591.0	1854.0	256.0
55 – 59	11396.0	11271.0	436.0	2811.0	6655.0	1094.0	178.0	45.0	16.0	36.0	20708.0	1837.0	125.0
60 – 64	15655.0	15474.0	704.0	3599.0	8823.0	1842.0	289.0	145.0	28.0	44.0	29148.0	1884.0	181.0
65 – 69	10760.0	10622.0	505.0	2369.0	5812.0	1447.0	303.0	138.0	24.0	24.0	20560.0	1936.0	138.0
70 и более	13715.0	13546.0	835.0	2412.0	6211.0	2730.0	835.0	274.0	129.0	120.0	29496.0	2177.0	169.0
Сельские населенные пункты													
Женщины в возрасте 15 лет и более	100311.0	99484.0	5362.0	19153.0	42331.0	19710.0	6677.0	3771.0	1421.0	1059.0	225470.0	2266.0	827.0
в том числе в возрасте, лет:													
15 – 17	173.0	170.0	121.0	49.0	-	-	-	-	-	-	49.0	288.0	3.0
18 – 19	824.0	780.0	337.0	406.0	33.0	4.0	-	-	-	-	484.0	621.0	44.0
20 – 24	5946.0	5819.0	1394.0	3374.0	937.0	86.0	16.0	8.0	-	4.0	5638.0	969.0	127.0
25 – 29	8890.0	8769.0	732.0	4067.0	3436.0	421.0	77.0	24.0	8.0	4.0	12710.0	1449.0	121.0
30 – 34	9986.0	9902.0	340.0	2720.0	5456.0	1086.0	184.0	48.0	28.0	40.0	18330.0	1851.0	84.0
35 – 39	10873.0	10781.0	227.0	1938.0	6196.0	1719.0	446.0	119.0	84.0	52.0	22794.0	2114.0	92.0
40 – 44	11838.0	11743.0	254.0	1379.0	6674.0	2453.0	602.0	214.0	79.0	88.0	26742.0	2277.0	95.0
45 – 49	10035.0	9987.0	225.0	1259.0	5354.0	2184.0	475.0	257.0	121.0	112.0	23346.0	2338.0	48.0
50 – 54	8426.0	8378.0	253.0	1050.0	3961.0	2064.0	527.0	297.0	115.0	111.0	20368.0	2431.0	48.0
55 – 59	4669.0	4637.0	140.0	483.0	1975.0	1293.0	331.0	287.0	84.0	44.0	11931.0	2573.0	32.0
60 – 64	8626.0	8593.0	318.0	804.0	3152.0	2422.0	908.0	705.0	177.0	107.0	23387.0	2722.0	33.0
65 – 69	7618.0	7565.0	321.0	529.0	2294.0	2526.0	956.0	622.0	207.0	110.0	21774.0	2878.0	53.0
70 и более	12407.0	12360.0	700.0	1095.0	2863.0	3452.0	2155.0	1190.0	518.0	387.0	37917.0	3068.0	47.0
Владимирская область													
Городские и сельские населенные пункты													
Женщины в возрасте 15 лет и более	362771.0	353795.0	24156.0	135259.0	159283.0	25243.0	5014.0	2489.0	937.0	1414.0	579123.0	1637.0	8976.0
в том числе в возрасте, лет:													
15 – 17	440.0	379.0	253.0	126.0	-	-	-	-	-	-	126.0	332.0	61.0
18 – 19	2934.0	2650.0	1557.0	1032.0	61.0	-	-	-	-	-	1154.0	435.0	284.0
20 – 24	24049.0	22750.0	7247.0	13892.0	1471.0	88.0	24.0	4.0	8.0	16.0	17374.0	764.0	1299.0
25 – 29	33596.0	32558.0	3830.0	22026.0	6065.0	475.0	83.0	19.0	20.0	40.0	36468.0	1120.0	1038.0
30 – 34	33437.0	32784.0	1622.0	17944.0	11538.0	1329.0	202.0	57.0	20.0	72.0	46776.0	1427.0	653.0
35 – 39	37765.0	37087.0	1180.0	15253.0	17682.0	2276.0	421.0	122.0	57.0	96.0	60825.0	1640.0	678.0
40 – 44	48392.0	47440.0	1279.0	13659.0	27387.0	3920.0	644.0	256.0	102.0	193.0	86273.0	1819.0	952.0
45 – 49	46223.0	45377.0	1355.0	12640.0	25582.0	4385.0	754.0	375.0	79.0	207.0	83960.0	1850.0	846.0
50 – 54	39025.0	38223.0	1217.0	11477.0	21275.0	3188.0	500.0	315.0	86.0	165.0	68997.0	1805.0	802.0
55 – 59	19946.0	19457.0	803.0	6489.0	10364.0	1351.0	221.0	128.0	48.0	53.0	33554.0	1725.0	489.0
60 – 64	29757.0	28973.0	1200.0	8810.0	15455.0	2574.0	404.0	269.0	100.0	161.0	52377.0	1808.0	784.0
65 – 69	21790.0	21359.0	1159.0	5965.0	11003.0	2218.0	498.0	280.0	111.0	125.0	39676.0	1858.0	431.0
70 и более	25417.0	24758.0	1454.0	5946.0	11400.0	3439.0	1263.0	664.0	306.0	286.0	51563.0	2083.0	659.0
Городские населенные пункты													
Женщины в возрасте 15 лет и более	290822.0	283424.0	20802.0	116911.0	125201.0	15777.0	2534.0	1051.0	351.0	797.0	438628.0	1548.0	7398.0
в том числе в возрасте, лет:													
15 – 17	323.0	291.0	195.0	96.0	-	-	-	-	-	-	96.0	330.0	32.0
18 – 19	2313.0	2094.0	1316.0	743.0	35.0	-	-	-	-	-	813.0	388.0	219.0
20 – 24	19761.0	18673.0	6320.0	11309.0	965.0	43.0	12.0	4.0	4.0	16.0	13572.0	727.0	1088.0
25 – 29	27929.0	27082.0	3467.0	18868.0	4387.0	280.0	24.0	-	20.0	36.0	29006.0	1071.0	847.0
30 – 34	27397.0	26838.0	1474.0	15767.0	8610.0	779.0	112.0	36.0	8.0	52.0	36400.0	1356.0	559.0
35 – 39	30387.0	29805.0	981.0	13553.0	13584.0	1292.0	227.0	64.0	32.0	72.0	46589.0	1563.0	582.0
40 – 44	38715.0	37930.0	1092.0	12054.0	21818.0	2371.0	338.0	121.0	35.0	101.0	65826.0	1735.0	785.0
45 – 49	37433.0	36720.0	1177.0	11143.0	20719.0	2941.0	410.0	165.0	43.0	122.0	65088.0	1773.0	713.0
50 – 54	32107.0	31403.0	1049.0	10173.0	17473.0	2163.0	274.0	143.0	20.0	108.0	54403.0	1732.0	704.0
55 – 59	16420.0	15999.0	684.0	5794.0	8432.0	869.0	114.0	51.0	27.0	28.0	26418.0	1651.0	421.0
60 – 64	23165.0	22535.0	961.0	7578.0	12023.0	1559.0	187.0	103.0	36.0	88.0	38544.0	1710.0	630.0
65 – 69	16431.0	16104.0	943.0	5033.0	8396.0	1339.0	216.0	85.0	12.0	80.0	27824.0	1728.0	327.0
70 и более	18441.0	17950.0	1143.0	4800.0	8759.0	2141.0	620.0	279.0	114.0	94.0	34049.0	1897.0	491.0
Сельские населенные пункты													
Женщины в возрасте 15 лет и более	71949.0	70371.0	3354.0	18348.0	34082.0	9466.0	2480.0	1438.0	586.0	617.0	140495.0	1996.0	1578.0
в том числе в возрасте, лет:													
15 – 17	117.0	88.0	58.0	30.0	-	-	-	-	-	-	30.0	341.0	29.0
18 – 19	621.0	556.0	241.0	289.0	26.0	-	-	-	-	-	341.0	613.0	65.0
20 – 24	4288.0	4077.0	927.0	2583.0	506.0	45.0	12.0	-	4.0	-	3802.0	933.0	211.0
25 – 29	5667.0	5476.0	363.0	3158.0	1678.0	195.0	59.0	19.0	-	4.0	7462.0	1363.0	191.0
30 – 34	6040.0	5946.0	148.0	2177.0	2928.0	550.0	90.0	21.0	12.0	20.0	10376.0	1745.0	94.0
35 – 39	7378.0	7282.0	199.0	1700.0	4098.0	984.0	194.0	58.0	25.0	24.0	14236.0	1955.0	96.0
40 – 44	9677.0	9510.0	187.0	1605.0	5569.0	1549.0	306.0	135.0	67.0	92.0	20447.0	2150.0	167.0
45 – 49	8790.0	8657.0	178.0	1497.0	4863.0	1444.0	344.0	210.0	36.0	85.0	18872.0	2180.0	133.0
50 – 54	6918.0	6820.0	168.0	1304.0	3802.0	1025.0	226.0	172.0	66.0	57.0	14594.0	2140.0	98.0
55 – 59	3526.0	3458.0	119.0	695.0	1932.0	482.0	107.0	77.0	21.0	25.0	7136.0	2064.0	68.0
60 – 64	6592.0	6438.0	239.0	1232.0	3432.0	1015.0	217.0	166.0	64.0	73.0	13833.0	2149.0	154.0
65 – 69	5359.0	5255.0	216.0	932.0	2607.0	879.0	282.0	195.0	99.0	45.0	11852.0	2255.0	104.0
70 и более	6976.0	6808.0	311.0	1146.0	2641.0	1298.0	643.0	385.0	192.0	192.0	17514.0	2573.0	168.0
Воронежская область													
Городские и сельские населенные пункты													
Женщины в возрасте 15 лет и более	589121.0	574815.0	41614.0	208517.0	252484.0	51433.0	11200.0	5190.0	1807.0	2570.0	970748.0	1689.0	14306.0
в том числе в возрасте, лет:													
15 – 17	1055.0	967.0	623.0	336.0	8.0	-	-	-	-	-	352.0	364.0	88.0
18 – 19	5438.0	4941.0	2757.0	2038.0	146.0	-	-	-	-	-	2330.0	472.0	497.0
20 – 24	38805.0	36711.0	11583.0	22065.0	2718.0	252.0	53.0	4.0	12.0	24.0	28729.0	783.0	2094.0
25 – 29	53804.0	52213.0	6257.0	32859.0	11727.0	1009.0	172.0	40.0	32.0	117.0	61355.0	1175.0	1591.0
30 – 34	54981.0	53760.0	2676.0	26726.0	21084.0	2530.0	446.0	137.0	45.0	116.0	80115.0	1490.0	1221.0
35 – 39	62218.0	61242.0	2057.0	23307.0	29980.0	4482.0	824.0	282.0	109.0	201.0	103784.0	1695.0	976.0
40 – 44	77545.0	76223.0	2025.0	22622.0	42362.0	6870.0	1398.0	490.0	176.0	280.0	139358.0	1828.0	1322.0
45 – 49	71047.0	69827.0	2190.0	18923.0	39059.0	7240.0	1278.0	647.0	205.0	285.0	130633.0	1871.0	1220.0
50 – 54	60707.0	59430.0	2124.0	17743.0	31420.0	6092.0	1025.0	543.0	179.0	304.0	109264.0	1839.0	1277.0
55 – 59	30855.0	30082.0	1213.0	9368.0	15183.0	3204.0	556.0	353.0	81.0	124.0	54877.0	1824.0	773.0
60 – 64	50935.0	49680.0	2345.0	13559.0	24364.0	6614.0	1478.0	823.0	236.0	261.0	95704.0	1926.0	1255.0
65 – 69	34412.0	33576.0	2113.0	8632.0	15440.0	4972.0	1299.0	681.0	205.0	234.0	66407.0	1978.0	836.0
70 и более	47319.0	46163.0	3651.0	10339.0	18993.0	8168.0	2671.0	1190.0	527.0	624.0	97840.0	2119.0	1156.0
Городские населенные пункты													
Женщины в возрасте 15 лет и более	360707.0	350164.0	29129.0	151106.0	146788.0	18165.0	2830.0	946.0	391.0	809.0	524140.0	1497.0	10543.0
в том числе в возрасте, лет:													
15 – 17	494.0	426.0	301.0	125.0	-	-	-	-	-	-	125.0	293.0	68.0
18 – 19	3198.0	2904.0	1797.0	1079.0	28.0	-	-	-	-	-	1135.0	391.0	294.0
20 – 24	25031.0	23391.0	8758.0	13577.0	942.0	53.0	41.0	-	8.0	12.0	15916.0	680.0	1640.0
25 – 29	34646.0	33456.0	4967.0	23028.0	5041.0	274.0	45.0	4.0	20.0	77.0	34867.0	1042.0	1190.0
30 – 34	34595.0	33613.0	2104.0	19838.0	10661.0	793.0	101.0	40.0	12.0	64.0	44691.0	1330.0	982.0
35 – 39	38632.0	37906.0	1439.0	17899.0	16571.0	1582.0	259.0	48.0	24.0	84.0	57923.0	1528.0	726.0
40 – 44	49285.0	48304.0	1423.0	17482.0	25959.0	2710.0	402.0	112.0	72.0	144.0	81282.0	1683.0	981.0
45 – 49	46663.0	45724.0	1600.0	14875.0	25441.0	3035.0	423.0	161.0	44.0	145.0	78778.0	1723.0	939.0
50 – 54	39555.0	38557.0	1549.0	13644.0	20209.0	2524.0	343.0	136.0	48.0	104.0	64814.0	1681.0	998.0
55 – 59	19422.0	18838.0	878.0	7260.0	9240.0	1204.0	129.0	67.0	16.0	44.0	30683.0	1629.0	584.0
60 – 64	27631.0	26723.0	1390.0	9648.0	13410.0	1829.0	269.0	125.0	20.0	32.0	44028.0	1648.0	908.0
65 – 69	18281.0	17716.0	1188.0	6076.0	8592.0	1508.0	225.0	63.0	36.0	28.0	29483.0	1664.0	565.0
70 и более	23274.0	22606.0	1735.0	6575.0	10694.0	2653.0	593.0	190.0	91.0	75.0	40415.0	1788.0	668.0
Сельские населенные пункты													
Женщины в возрасте 15 лет и более	228414.0	224651.0	12485.0	57411.0	105696.0	33268.0	8370.0	4244.0	1416.0	1761.0	446608.0	1988.0	3763.0
в том числе в возрасте, лет:													
15 – 17	561.0	541.0	322.0	211.0	8.0	-	-	-	-	-	227.0	420.0	20.0
