5.2. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И ПОЛОЖЕНИЮ В ЗАНЯТИИ								
								
	Всего		в том числе					
65 и более	670906.0	644673.0	24659.0	4449.0	15189.0	3652.0	1369.0	1574.0
Возраст не указан	15611.0	14324.0	1119.0	382.0	356.0	309.0	72.0	168.0
Мужчины в возрасте 15 лет и более	24590626.0	23022262.0	1542660.0	523527.0	858807.0	104461.0	55865.0	25704.0
в том числе в возрасте, лет:								
15 – 19	765472.0	744876.0	19990.0	3336.0	12987.0	2596.0	1071.0	606.0
20 – 29	6211550.0	5876881.0	328525.0	93690.0	196501.0	25631.0	12703.0	6144.0
30 – 39	6041825.0	5519158.0	516034.0	193022.0	276210.0	29853.0	16949.0	6633.0
40 – 49	6751221.0	6280393.0	464001.0	166337.0	253135.0	28425.0	16104.0	6827.0
50 – 54	2604123.0	2473140.0	128433.0	42083.0	71935.0	9362.0	5053.0	2550.0
55 – 59	1165389.0	1114877.0	49217.0	15394.0	27522.0	4171.0	2130.0	1295.0
60 – 64	673715.0	649732.0	23045.0	6576.0	12787.0	2546.0	1136.0	938.0
65 и более	377331.0	363205.0	13415.0	3089.0	7730.0	1877.0	719.0	711.0
Возраст не указан	9102.0	8308.0	697.0	260.0	198.0	195.0	44.0	97.0
Женщины в возрасте 15 лет и более	23941517.0	22804554.0	1113453.0	282475.0	703754.0	81999.0	45225.0	23510.0
в том числе в возрасте, лет:								
15 – 19	499210.0	481359.0	17304.0	2557.0	11652.0	2124.0	971.0	547.0
20 – 29	5259350.0	5039313.0	215049.0	50080.0	138050.0	17528.0	9391.0	4988.0
30 – 39	5814058.0	5479720.0	328714.0	93970.0	201702.0	20709.0	12333.0	5624.0
40 – 49	7641163.0	7256505.0	377707.0	98649.0	239338.0	25142.0	14578.0	6951.0
50 – 54	2976650.0	2859316.0	114647.0	25911.0	74439.0	9391.0	4906.0	2687.0
55 – 59	926408.0	894667.0	30666.0	6778.0	19305.0	3118.0	1465.0	1075.0
60 – 64	531103.0	512206.0	18122.0	3170.0	11809.0	2212.0	931.0	775.0
65 и более	293575.0	281468.0	11244.0	1360.0	7459.0	1775.0	650.0	863.0
Возраст не указан	6509.0	6016.0	422.0	122.0	158.0	114.0	28.0	71.0
Сельское население в возрасте 15 лет и более	13051567.0	12477438.0	568983.0	118183.0	361593.0	64891.0	24316.0	5146.0
в том числе в возрасте, лет:								
15 – 19	382738.0	373196.0	9387.0	1001.0	6219.0	1600.0	567.0	155.0
20 – 29	2920676.0	2817666.0	101918.0	16399.0	68369.0	12222.0	4928.0	1092.0
30 – 39	3423588.0	3250340.0	171985.0	37262.0	109381.0	18414.0	6928.0	1263.0
40 – 49	4247360.0	4043960.0	201775.0	45855.0	125597.0	22098.0	8225.0	1625.0
50 – 54	1409553.0	1354133.0	54877.0	11783.0	33845.0	6976.0	2273.0	543.0
55 – 59	426566.0	410464.0	15897.0	3486.0	9633.0	2071.0	707.0	205.0
60 – 64	162877.0	155356.0	7397.0	1608.0	4716.0	720.0	353.0	124.0
65 и более	78209.0	72323.0	5747.0	789.0	3833.0	790.0	335.0	139.0
Возраст не указан	1498.0	1437.0	52.0	13.0	32.0	3.0	4.0	9.0
Мужчины в возрасте 15 лет и более	7124091.0	6757681.0	363663.0	78813.0	227807.0	42304.0	14739.0	2747.0
в том числе в возрасте, лет:								
15 – 19	254706.0	249027.0	5588.0	588.0	3593.0	1069.0	338.0	91.0
20 – 29	1681952.0	1615968.0	65363.0	10658.0	43553.0	8164.0	2988.0	621.0
30 – 39	1809666.0	1698155.0	110850.0	24670.0	69781.0	12154.0	4245.0	661.0
40 – 49	2201733.0	2073731.0	127151.0	30520.0	77805.0	13947.0	4879.0	851.0
50 – 54	745708.0	710776.0	34658.0	8023.0	20900.0	4379.0	1356.0	274.0
55 – 59	287366.0	275215.0	12022.0	2604.0	7177.0	1715.0	526.0	129.0
60 – 64	98041.0	93251.0	4733.0	1158.0	2870.0	484.0	221.0	57.0
65 и более	44919.0	41558.0	3298.0	592.0	2128.0	392.0	186.0	63.0
Возраст не указан	817.0	781.0	29.0	7.0	17.0	1.0	4.0	7.0
Женщины в возрасте 15 лет и более	5927476.0	5719757.0	205320.0	39370.0	133786.0	22587.0	9577.0	2399.0
в том числе в возрасте, лет:								
15 – 19	128032.0	124169.0	3799.0	413.0	2626.0	531.0	229.0	64.0
20 – 29	1238724.0	1201698.0	36555.0	5741.0	24816.0	4058.0	1940.0	471.0
30 – 39	1613922.0	1552185.0	61135.0	12592.0	39600.0	6260.0	2683.0	602.0
40 – 49	2045627.0	1970229.0	74624.0	15335.0	47792.0	8151.0	3346.0	774.0
50 – 54	663845.0	643357.0	20219.0	3760.0	12945.0	2597.0	917.0	269.0
55 – 59	139200.0	135249.0	3875.0	882.0	2456.0	356.0	181.0	76.0
60 – 64	64836.0	62105.0	2664.0	450.0	1846.0	236.0	132.0	67.0
65 и более	33290.0	30765.0	2449.0	197.0	1705.0	398.0	149.0	76.0
Возраст не указан	681.0	656.0	23.0	6.0	15.0	2.0	-	2.0
