4. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ  ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ											
											
	Всего	Имеющие образование								Не имеющие начального общего образования	Не указавшие уровень образования
Экономически неактивные	288437.0	274.0	20762.0	7722.0	55170.0	32763.0	67074.0	83517.0	18369.0	1779.0	1007.0
Городское население	844364.0	2119.0	140025.0	22236.0	264679.0	121417.0	165260.0	99567.0	15366.0	1046.0	12649.0
Экономически активные	597471.0	1860.0	121250.0	15000.0	217826.0	96688.0	107445.0	33013.0	3596.0	141.0	652.0
в том числе:											
занятые в экономике	546202.0	1801.0	116306.0	13244.0	202556.0	87340.0	94490.0	26815.0	3016.0	101.0	533.0
из них:											
учащиеся	23532.0	77.0	1470.0	5399.0	6982.0	1680.0	7030.0	866.0	20.0	-	8.0
безработные	51269.0	59.0	4944.0	1756.0	15270.0	9348.0	12955.0	6198.0	580.0	40.0	119.0
из них:											
учащиеся	6287.0	12.0	90.0	1150.0	850.0	261.0	2589.0	1268.0	46.0	-	21.0
Экономически неактивные	224093.0	236.0	17992.0	6979.0	44889.0	23657.0	55269.0	62512.0	10792.0	864.0	903.0
Сельское население	196773.0	153.0	15319.0	2430.0	50885.0	40117.0	37552.0	38063.0	10539.0	1076.0	639.0
Экономически активные	127256.0	115.0	12393.0	1627.0	39966.0	30361.0	24934.0	15270.0	2409.0	77.0	104.0
в том числе:											
занятые в экономике	111206.0	102.0	11761.0	1475.0	36194.0	26554.0	21218.0	11907.0	1854.0	67.0	74.0
из них:											
учащиеся	2749.0	5.0	90.0	417.0	969.0	267.0	826.0	165.0	9.0	-	1.0
безработные	16050.0	13.0	632.0	152.0	3772.0	3807.0	3716.0	3363.0	555.0	10.0	30.0
из них:											
учащиеся	673.0	-	7.0	32.0	73.0	41.0	219.0	266.0	35.0	-	-
Экономически неактивные	64344.0	38.0	2770.0	743.0	10281.0	9106.0	11805.0	21005.0	7577.0	915.0	104.0
Воронежская область											
Городское и сельское  население	1604658.0	4523.0	281915.0	50234.0	435554.0	209595.0	372432.0	189826.0	44063.0	4998.0	11518.0
Экономически активные	1012463.0	3800.0	230877.0	26204.0	326564.0	151554.0	217134.0	48277.0	6393.0	518.0	1142.0
в том числе:											
занятые в экономике	895008.0	3614.0	215071.0	21429.0	292505.0	132515.0	185632.0	37882.0	4994.0	380.0	986.0
из них:											
учащиеся	25869.0	174.0	1933.0	7674.0	6656.0	1394.0	7343.0	650.0	36.0	-	9.0
безработные	117455.0	186.0	15806.0	4775.0	34059.0	19039.0	31502.0	10395.0	1399.0	138.0	156.0
из них:											
учащиеся	9971.0	22.0	199.0	2772.0	1207.0	306.0	4265.0	1134.0	53.0	-	13.0
Экономически неактивные	542468.0	629.0	47211.0	21983.0	102338.0	55193.0	144992.0	130004.0	34289.0	4094.0	1735.0
Городское население	1039213.0	4052.0	233718.0	42807.0	297273.0	114393.0	231007.0	89912.0	13625.0	1638.0	10788.0
Экономически активные	686450.0	3425.0	193147.0	21930.0	227308.0	86095.0	133300.0	18031.0	2069.0	178.0	967.0
в том числе:											
занятые в экономике	611396.0	3268.0	180141.0	17704.0	204282.0	75868.0	113755.0	13772.0	1631.0	133.0	842.0
из них:											
учащиеся	21737.0	168.0	1772.0	6716.0	5343.0	1127.0	6098.0	479.0	28.0	-	6.0
безработные	75054.0	157.0	13006.0	4226.0	23026.0	10227.0	19545.0	4259.0	438.0	45.0	125.0
из них:											
учащиеся	8609.0	20.0	196.0	2593.0	968.0	235.0	3748.0	825.0	16.0	-	8.0
Экономически неактивные	315735.0	538.0	37164.0	18961.0	64926.0	26476.0	90062.0	64908.0	10075.0	1289.0	1336.0
Сельское население	565445.0	471.0	48197.0	7427.0	138281.0	95202.0	141425.0	99914.0	30438.0	3360.0	730.0
Экономически активные	326013.0	375.0	37730.0	4274.0	99256.0	65459.0	83834.0	30246.0	4324.0	340.0	175.0
в том числе:											
занятые в экономике	283612.0	346.0	34930.0	3725.0	88223.0	56647.0	71877.0	24110.0	3363.0	247.0	144.0
из них:											
учащиеся	4132.0	6.0	161.0	958.0	1313.0	267.0	1245.0	171.0	8.0	-	3.0
безработные	42401.0	29.0	2800.0	549.0	11033.0	8812.0	11957.0	6136.0	961.0	93.0	31.0
из них:											
учащиеся	1362.0	2.0	3.0	179.0	239.0	71.0	517.0	309.0	37.0	-	5.0
Экономически неактивные	226733.0	91.0	10047.0	3022.0	37412.0	28717.0	54930.0	65096.0	24214.0	2805.0	399.0
Ивановская область											
Городское и сельское  население	774080.0	2060.0	118788.0	20480.0	222661.0	126691.0	145558.0	100715.0	17752.0	1911.0	17464.0
Экономически активные	526122.0	1811.0	101505.0	11872.0	180876.0	98975.0	90792.0	35630.0	3698.0	194.0	769.0
в том числе:											
занятые в экономике	477036.0	1763.0	97095.0	10329.0	167680.0	88695.0	79507.0	28499.0	2930.0	145.0	393.0
из них:											
учащиеся	15693.0	80.0	1213.0	3755.0	3995.0	1036.0	4998.0	594.0	16.0	-	6.0
безработные	49086.0	48.0	4410.0	1543.0	13196.0	10280.0	11285.0	7131.0	768.0	49.0	376.0
из них:											
учащиеся	4647.0	12.0	84.0	912.0	411.0	171.0	2176.0	852.0	29.0	-	-
Экономически неактивные	230620.0	226.0	16683.0	8422.0	40501.0	26934.0	53406.0	62674.0	13352.0	1665.0	6757.0
Городское население	646413.0	1950.0	107323.0	18966.0	189787.0	99336.0	123407.0	75826.0	11554.0	1017.0	17247.0
Экономически активные	443384.0	1720.0	92027.0	10937.0	154852.0	78243.0	76578.0	25730.0	2426.0	131.0	740.0
в том числе:											
занятые в экономике	404360.0	1679.0	88184.0	9495.0	144004.0	70664.0	67337.0	20583.0	1950.0	100.0	364.0
из них:											
учащиеся	14315.0	73.0	1148.0	3523.0	3578.0	904.0	4549.0	523.0	11.0	-	6.0
безработные	39024.0	41.0	3843.0	1442.0	10848.0	7579.0	9241.0	5147.0	476.0	31.0	376.0
из них:											
учащиеся	4310.0	12.0	82.0	885.0	367.0	151.0	2008.0	776.0	29.0	-	-
Экономически неактивные	187801.0	210.0	14781.0	7871.0	33966.0	20557.0	45794.0	48430.0	8679.0	856.0	6657.0
Сельское население	127667.0	110.0	11465.0	1514.0	32874.0	27355.0	22151.0	24889.0	6198.0	894.0	217.0
Экономически активные	82738.0	91.0	9478.0	935.0	26024.0	20732.0	14214.0	9900.0	1272.0	63.0	29.0
в том числе:											
занятые в экономике	72676.0	84.0	8911.0	834.0	23676.0	18031.0	12170.0	7916.0	980.0	45.0	29.0
из них:											
учащиеся	1378.0	7.0	65.0	232.0	417.0	132.0	449.0	71.0	5.0	-	-
безработные	10062.0	7.0	567.0	101.0	2348.0	2701.0	2044.0	1984.0	292.0	18.0	-
из них:											
учащиеся	337.0	-	2.0	27.0	44.0	20.0	168.0	76.0	-	-	-
Экономически неактивные	42819.0	16.0	1902.0	551.0	6535.0	6377.0	7612.0	14244.0	4673.0	809.0	100.0
Калужская область											
Городское и сельское  население	717289.0	1653.0	124281.0	19525.0	241560.0	99027.0	126416.0	84489.0	15491.0	1546.0	3301.0
Экономически активные	503092.0	1439.0	107033.0	12863.0	197607.0	77080.0	76723.0	26426.0	3229.0	235.0	457.0
в том числе:											
занятые в экономике	461716.0	1412.0	102412.0	11258.0	184120.0	69697.0	67736.0	21816.0	2686.0	175.0	404.0
из них:											
учащиеся	17508.0	36.0	995.0	4554.0	5358.0	1042.0	4970.0	530.0	14.0	-	9.0
безработные	41376.0	27.0	4621.0	1605.0	13487.0	7383.0	8987.0	4610.0	543.0	60.0	53.0
из них:											
учащиеся	4511.0	-	73.0	990.0	544.0	154.0	2088.0	636.0	26.0	-	-
Экономически неактивные	207440.0	209.0	16894.0	6494.0	42962.0	21607.0	48853.0	56569.0	11848.0	1271.0	733.0
Городское население	553228.0	1509.0	109664.0	17239.0	195698.0	66032.0	97306.0	54866.0	7220.0	687.0	3007.0
Экономически активные	398390.0	1331.0	94944.0	11345.0	161695.0	52612.0	58748.0	15597.0	1643.0	105.0	370.0
в том числе:											
занятые в экономике	368089.0	1304.0	91010.0	9954.0	151217.0	47969.0	52050.0	12818.0	1378.0	72.0	317.0
из них:											
учащиеся	15647.0	35.0	908.0	4170.0	4682.0	924.0	4449.0	460.0	11.0	-	8.0
безработные	30301.0	27.0	3934.0	1391.0	10478.0	4643.0	6698.0	2779.0	265.0	33.0	53.0
из них:											
учащиеся	4161.0	-	64.0	936.0	500.0	148.0	1917.0	579.0	17.0	-	-
Экономически неактивные	149286.0	173.0	14390.0	5745.0	33169.0	13176.0	37911.0	38266.0	5354.0	553.0	549.0
Сельское население	164061.0	144.0	14617.0	2286.0	45862.0	32995.0	29110.0	29623.0	8271.0	859.0	294.0
Экономически активные	104702.0	108.0	12089.0	1518.0	35912.0	24468.0	17975.0	10829.0	1586.0	130.0	87.0
в том числе:											
занятые в экономике	93627.0	108.0	11402.0	1304.0	32903.0	21728.0	15686.0	8998.0	1308.0	103.0	87.0
из них:											
учащиеся	1861.0	1.0	87.0	384.0	676.0	118.0	521.0	70.0	3.0	-	1.0
безработные	11075.0	-	687.0	214.0	3009.0	2740.0	2289.0	1831.0	278.0	27.0	-
из них:											
учащиеся	350.0	-	9.0	54.0	44.0	6.0	171.0	57.0	9.0	-	-
Экономически неактивные	58154.0	36.0	2504.0	749.0	9793.0	8431.0	10942.0	18303.0	6494.0	718.0	184.0
Костромская область											
Городское и сельское  население	495333.0	772.0	72067.0	10643.0	172047.0	74038.0	74730.0	69511.0	15357.0	1488.0	4680.0
Экономически активные	340473.0	707.0	62218.0	6532.0	141328.0	57334.0	44936.0	23777.0	3266.0	172.0	203.0
в том числе:											
занятые в экономике	312787.0	687.0	59755.0	5715.0	132138.0	51821.0	39775.0	19833.0	2758.0	129.0	176.0
из них:											
учащиеся	10200.0	33.0	666.0	2201.0	3581.0	814.0	2476.0	411.0	14.0	-	4.0
безработные	27686.0	20.0	2463.0	817.0	9190.0	5513.0	5161.0	3944.0	508.0	43.0	27.0
из них:											
учащиеся	2389.0	-	28.0	498.0	288.0	138.0	1046.0	379.0	12.0	-	-
Экономически неактивные	147901.0	56.0	9667.0	4077.0	30082.0	16333.0	29318.0	44535.0	11634.0	1288.0	911.0
Городское население	343817.0	625.0	59336.0	8634.0	126045.0	44524.0	51393.0	41091.0	7070.0	575.0	4524.0
Экономически активные	240703.0	581.0	51354.0	5361.0	104007.0	35445.0	29589.0	12690.0	1450.0	56.0	170.0
в том числе:											
занятые в экономике	222316.0	561.0	49300.0	4674.0	97563.0	32100.0	26117.0	10556.0	1242.0	53.0	150.0
из них:											
учащиеся	8462.0	30.0	596.0	1862.0	2907.0	689.0	2050.0	317.0	10.0	-	1.0
безработные	18387.0	20.0	2054.0	687.0	6444.0	3345.0	3472.0	2134.0	208.0	3.0	20.0
из них:											
учащиеся	1976.0	-	25.0	421.0	238.0	99.0	879.0	302.0	12.0	-	-
Экономически неактивные	97810.0	38.0	7849.0	3247.0	21683.0	8916.0	21510.0	27787.0	5443.0	500.0	837.0
Сельское население	151516.0	147.0	12731.0	2009.0	46002.0	29514.0	23337.0	28420.0	8287.0	913.0	156.0
Экономически активные	99770.0	126.0	10864.0	1171.0	37321.0	21889.0	15347.0	11087.0	1816.0	116.0	33.0
в том числе:											
занятые в экономике	90471.0	126.0	10455.0	1041.0	34575.0	19721.0	13658.0	9277.0	1516.0	76.0	26.0
из них:											
учащиеся	1738.0	3.0	70.0	339.0	674.0	125.0	426.0	94.0	4.0	-	3.0
безработные	9299.0	-	409.0	130.0	2746.0	2168.0	1689.0	1810.0	300.0	40.0	7.0
из них:											
учащиеся	413.0	-	3.0	77.0	50.0	39.0	167.0	77.0	-	-	-
Экономически неактивные	50091.0	18.0	1818.0	830.0	8399.0	7417.0	7808.0	16748.0	6191.0	788.0	74.0
Курская область											
Городское и сельское  население	831402.0	1860.0	125682.0	20835.0	238100.0	150162.0	151755.0	108655.0	29008.0	2765.0	2580.0
Экономически активные	536398.0	1590.0	106823.0	11864.0	185543.0	111642.0	85296.0	28357.0	4481.0	232.0	570.0
в том числе:											
занятые в экономике	477108.0	1524.0	100030.0	9972.0	166484.0	98976.0	73123.0	22773.0	3622.0	150.0	454.0
из них:											
учащиеся	16655.0	74.0	1502.0	4245.0	5192.0	1531.0	3790.0	303.0	14.0	-	4.0
безработные	59290.0	66.0	6793.0	1892.0	19059.0	12666.0	12173.0	5584.0	859.0	82.0	116.0
из них:											
учащиеся	5038.0	5.0	135.0	1029.0	837.0	222.0	2075.0	666.0	53.0	-	16.0
Экономически неактивные	281941.0	240.0	18062.0	8709.0	50517.0	37188.0	64214.0	76468.0	23198.0	2395.0	950.0
Городское население	542918.0	1656.0	103254.0	17687.0	167786.0	88614.0	99287.0	52599.0	8944.0	946.0	2145.0
Экономически активные	372797.0	1423.0	88483.0	9856.0	133867.0	69997.0	55513.0	11730.0	1406.0	91.0	431.0
в том числе:											
занятые в экономике	331100.0	1375.0	82704.0	8207.0	119837.0	61773.0	46961.0	8778.0	1068.0	73.0	324.0
из них:											
учащиеся	14280.0	68.0	1381.0	3706.0	4350.0	1332.0	3194.0	238.0	9.0	-	2.0
безработные	41697.0	48.0	5779.0	1649.0	14030.0	8224.0	8552.0	2952.0	338.0	18.0	107.0
из них:											
учащиеся	4398.0	4.0	129.0	951.0	691.0	181.0	1881.0	516.0	33.0	-	12.0
Экономически неактивные	162160.0	214.0	14140.0	7623.0	32631.0	17947.0	42282.0	38792.0	7036.0	813.0	682.0
Сельское население	288484.0	204.0	22428.0	3148.0	70314.0	61548.0	52468.0	56056.0	20064.0	1819.0	435.0
Экономически активные	163601.0	167.0	18340.0	2008.0	51676.0	41645.0	29783.0	16627.0	3075.0	141.0	139.0
в том числе:											
занятые в экономике	146008.0	149.0	17326.0	1765.0	46647.0	37203.0	26162.0	13995.0	2554.0	77.0	130.0
из них:											
учащиеся	2375.0	6.0	121.0	539.0	842.0	199.0	596.0	65.0	5.0	-	2.0
безработные	17593.0	18.0	1014.0	243.0	5029.0	4442.0	3621.0	2632.0	521.0	64.0	9.0
из них:											
учащиеся	640.0	1.0	6.0	78.0	146.0	41.0	194.0	150.0	20.0	-	4.0
Экономически неактивные	119781.0	26.0	3922.0	1086.0	17886.0	19241.0	21932.0	37676.0	16162.0	1582.0	268.0
Липецкая область											
Городское и сельское  население	833827.0	1327.0	127636.0	20193.0	266131.0	151089.0	131586.0	100341.0	25777.0	2652.0	7095.0
Экономически активные	540080.0	1136.0	107525.0	11725.0	207996.0	112521.0	68204.0	25787.0	4335.0	290.0	561.0
в том числе:											
занятые в экономике	489163.0	1112.0	101948.0	10147.0	190591.0	100970.0	58616.0	21505.0	3590.0	204.0	480.0
из них:											
учащиеся	14187.0	21.0	711.0	3742.0	3846.0	1369.0	4106.0	367.0	21.0	-	4.0
безработные	50917.0	24.0	5577.0	1578.0	17405.0	11551.0	9588.0	4282.0	745.0	86.0	81.0
из них:											
учащиеся	4205.0	-	62.0	833.0	553.0	225.0	1805.0	686.0	36.0	-	5.0
Экономически неактивные	273774.0	165.0	19072.0	8008.0	55770.0	37191.0	60710.0	69977.0	19970.0	2253.0	658.0
Городское население	559875.0	1198.0	103159.0	16891.0	193430.0	93415.0	81960.0	52346.0	9738.0	907.0	6831.0
Экономически активные	379566.0	1034.0	87659.0	9924.0	154253.0	71802.0	41335.0	11119.0	1859.0	118.0	463.0
в том числе:											
занятые в экономике	345077.0	1010.0	83000.0	8528.0	141723.0	64791.0	35073.0	8892.0	1566.0	95.0	399.0
из них:											
учащиеся	11812.0	21.0	624.0	3282.0	3041.0	1078.0	3448.0	297.0	18.0	-	3.0
безработные	34489.0	24.0	4659.0	1396.0	12530.0	7011.0	6262.0	2227.0	293.0	23.0	64.0
из них:											
учащиеся	3698.0	-	58.0	775.0	414.0	182.0	1656.0	580.0	28.0	-	5.0
Экономически неактивные	164639.0	138.0	14617.0	6602.0	37239.0	20591.0	38647.0	38358.0	7156.0	764.0	527.0
Сельское население	273952.0	129.0	24477.0	3302.0	72701.0	57674.0	49626.0	47995.0	16039.0	1745.0	264.0
Экономически активные	160514.0	102.0	19866.0	1801.0	53743.0	40719.0	26869.0	14668.0	2476.0	172.0	98.0
в том числе:											
занятые в экономике	144086.0	102.0	18948.0	1619.0	48868.0	36179.0	23543.0	12613.0	2024.0	109.0	81.0
из них:											
учащиеся	2375.0	-	87.0	460.0	805.0	291.0	658.0	70.0	3.0	-	1.0
безработные	16428.0	-	918.0	182.0	4875.0	4540.0	3326.0	2055.0	452.0	63.0	17.0
из них:											
учащиеся	507.0	-	4.0	58.0	139.0	43.0	149.0	106.0	8.0	-	-
Экономически неактивные	109135.0	27.0	4455.0	1406.0	18531.0	16600.0	22063.0	31619.0	12814.0	1489.0	131.0
Московская область											
Городское и сельское  население	4612918.0	22357.0	1014187.0	191670.0	1383287.0	464579.0	859143.0	459133.0	71245.0	6171.0	141146.0
Экономически активные	3284475.0	19546.0	872140.0	123558.0	1137798.0	372051.0	563455.0	164857.0	19253.0	1630.0	10187.0
в том числе:											
занятые в экономике	3061673.0	18721.0	834899.0	111642.0	1072093.0	344548.0	510712.0	142005.0	16916.0	1487.0	8650.0
из них:											
учащиеся	120654.0	709.0	9147.0	35906.0	26900.0	6025.0	37412.0	4048.0	303.0	20.0	184.0
безработные	222802.0	825.0	37241.0	11916.0	65705.0	27503.0	52743.0	22852.0	2337.0	143.0	1537.0
из них:											
учащиеся	25458.0	71.0	612.0	5945.0	2757.0	918.0	10991.0	3772.0	282.0	-	110.0
Экономически неактивные	1071876.0	2423.0	125661.0	60145.0	218926.0	84372.0	264524.0	256649.0	43270.0	3563.0	12343.0
Городское население	3686413.0	19444.0	881701.0	165045.0	1108280.0	333004.0	666569.0	329607.0	46397.0	4306.0	132060.0
Экономически активные	2628037.0	16997.0	760167.0	106763.0	910870.0	266350.0	431799.0	112329.0	12646.0	1216.0	8900.0
в том числе:											
занятые в экономике	2450886.0	16293.0	727539.0	96320.0	857966.0	246673.0	390211.0	96159.0	11143.0	1104.0	7478.0
из них:											
учащиеся	101592.0	623.0	7816.0	31401.0	21813.0	4873.0	31371.0	3290.0	246.0	14.0	145.0
безработные	177151.0	704.0	32628.0	10443.0	52904.0	19677.0	41588.0	16170.0	1503.0	112.0	1422.0
из них:											
учащиеся	21891.0	62.0	550.0	5299.0	2313.0	784.0	9558.0	3021.0	212.0	-	92.0
Экономически неактивные	842206.0	2131.0	107851.0	51732.0	176272.0	60934.0	210651.0	190714.0	28185.0	2347.0	11389.0
