9. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И ПОЛОЖЕНИЮ В ЗАНЯТИИ							
(на 1000 человек в возрасте 15-64 лет, занятых в соответствующей группе занятий)							
							
							
	Положение в занятии						Не указавшие положение в занятии
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	850.0	149.0	74.0	67.0	4.0	4.0	1.0
специалисты высшего уровня квалификации	980.0	19.0	2.0	13.0	3.0	1.0	1.0
специалисты среднего уровня квалификации	982.0	17.0	3.0	11.0	2.0	1.0	1.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	986.0	13.0	1.0	9.0	2.0	1.0	1.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	918.0	81.0	9.0	65.0	4.0	3.0	1.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	939.0	61.0	6.0	43.0	10.0	2.0	0.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	973.0	26.0	2.0	19.0	3.0	2.0	1.0
операторы, аппаратчики, машинисты установок и машин	986.0	13.0	1.0	9.0	2.0	1.0	1.0
неквалифицированные рабочие	985.0	15.0	1.0	10.0	3.0	1.0	0.0
занятые на военной службе	1000.0						0.0
лица, неточно указавшие или не указавшие  занятия 	948.0	44.0	8.0	23.0	8.0	5.0	8.0
Городское население, занятое в экономике 	943.0	56.0	17.0	33.0	4.0	2.0	1.0
в том числе по группам занятий:							
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	818.0	181.0	101.0	70.0	6.0	4.0	1.0
специалисты высшего уровня квалификации	974.0	25.0	4.0	16.0	4.0	1.0	1.0
специалисты среднего уровня квалификации	975.0	24.0	4.0	16.0	3.0	1.0	1.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	983.0	16.0	3.0	10.0	2.0	1.0	1.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	908.0	91.0	11.0	72.0	5.0	3.0	1.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	857.0	142.0	27.0	102.0	8.0	5.0	1.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	971.0	28.0	3.0	21.0	3.0	1.0	1.0
операторы, аппаратчики, машинисты установок и машин	962.0	37.0	3.0	29.0	3.0	2.0	1.0
неквалифицированные рабочие	978.0	21.0	2.0	14.0	3.0	2.0	1.0
занятые на военной службе	1000.0						-
лица, неточно указавшие или не указавшие  занятия 	937.0	55.0	13.0	27.0	10.0	5.0	8.0
Мужчины, занятые в экономике 	934.0	65.0	22.0	36.0	5.0	2.0	1.0
в том числе по группам занятий:							
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	801.0	198.0	117.0	70.0	6.0	5.0	1.0
специалисты высшего уровня квалификации	964.0	35.0	7.0	21.0	5.0	2.0	1.0
специалисты среднего уровня квалификации	964.0	35.0	8.0	22.0	3.0	2.0	1.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	969.0	30.0	10.0	16.0	3.0	1.0	1.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	895.0	104.0	13.0	82.0	6.0	3.0	1.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	814.0	185.0	38.0	131.0	10.0	6.0	1.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	970.0	29.0	4.0	21.0	3.0	1.0	1.0
операторы, аппаратчики, машинисты установок и машин	956.0	43.0	4.0	34.0	3.0	2.0	1.0
неквалифицированные рабочие	970.0	29.0	4.0	19.0	4.0	2.0	1.0
занятые на военной службе	1000.0						-
лица, неточно указавшие или не указавшие  занятия 	928.0	64.0	17.0	31.0	11.0	5.0	8.0
Женщины, занятые в экономике 	952.0	47.0	12.0	30.0	3.0	2.0	1.0
в том числе по группам занятий:							
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	842.0	157.0	78.0	70.0	5.0	4.0	1.0
специалисты высшего уровня квалификации	978.0	21.0	3.0	14.0	3.0	1.0	1.0
специалисты среднего уровня квалификации	980.0	19.0	3.0	13.0	2.0	1.0	1.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	985.0	15.0	2.0	10.0	2.0	1.0	0.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	914.0	85.0	10.0	67.0	5.0	3.0	1.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	920.0	80.0	10.0	61.0	6.0	3.0	0.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	974.0	25.0	2.0	19.0	3.0	1.0	1.0
операторы, аппаратчики, машинисты установок и машин	986.0	14.0	1.0	10.0	2.0	1.0	0.0
неквалифицированные рабочие	984.0	15.0	2.0	10.0	2.0	1.0	1.0
занятые на военной службе	1000.0						-
лица, неточно указавшие или не указавшие  занятия 	947.0	44.0	8.0	23.0	8.0	5.0	9.0
Сельское население, занятое в экономике 	956.0	44.0	9.0	28.0	5.0	2.0	0.0
в том числе по группам занятий:							
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	860.0	140.0	68.0	63.0	5.0	4.0	0.0
специалисты высшего уровня квалификации	987.0	13.0	2.0	8.0	2.0	1.0	0.0
специалисты среднего уровня квалификации	987.0	13.0	2.0	7.0	3.0	1.0	0.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	991.0	9.0	1.0	5.0	3.0	0.0	0.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	926.0	74.0	7.0	60.0	4.0	3.0	0.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	881.0	119.0	21.0	83.0	12.0	3.0	0.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	971.0	29.0	3.0	21.0	4.0	1.0	0.0
операторы, аппаратчики, машинисты установок и машин	970.0	30.0	2.0	20.0	6.0	2.0	0.0
неквалифицированные рабочие	979.0	21.0	1.0	12.0	7.0	1.0	0.0
занятые на военной службе	1000.0						0.0
лица, неточно указавшие или не указавшие  занятия 	945.0	52.0	7.0	30.0	10.0	5.0	3.0
Мужчины, занятые в экономике 	947.0	53.0	12.0	33.0	6.0	2.0	0.0
в том числе по группам занятий:							
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	831.0	169.0	85.0	73.0	7.0	4.0	0.0
специалисты высшего уровня квалификации	980.0	20.0	3.0	12.0	4.0	1.0	0.0
специалисты среднего уровня квалификации	980.0	20.0	4.0	12.0	3.0	1.0	0.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	979.0	21.0	3.0	13.0	5.0	0.0	0.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	907.0	93.0	9.0	77.0	4.0	3.0	0.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	803.0	197.0	41.0	138.0	13.0	5.0	0.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	971.0	29.0	3.0	20.0	4.0	2.0	0.0
операторы, аппаратчики, машинисты установок и машин	968.0	32.0	2.0	22.0	6.0	2.0	0.0
неквалифицированные рабочие	973.0	27.0	2.0	15.0	8.0	2.0	0.0
занятые на военной службе	1000.0						0.0
лица, неточно указавшие или не указавшие  занятия 	938.0	59.0	9.0	34.0	12.0	4.0	3.0
Женщины, занятые в экономике 	965.0	35.0	7.0	22.0	4.0	2.0	0.0
в том числе по группам занятий:							
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	892.0	108.0	50.0	51.0	4.0	3.0	0.0
специалисты высшего уровня квалификации	990.0	10.0	1.0	6.0	2.0	1.0	0.0
специалисты среднего уровня квалификации	990.0	10.0	1.0	6.0	2.0	1.0	0.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	992.0	8.0	1.0	4.0	2.0	1.0	0.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	933.0	67.0	7.0	53.0	4.0	3.0	0.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	942.0	58.0	5.0	41.0	10.0	2.0	0.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	970.0	30.0	3.0	23.0	3.0	1.0	0.0
операторы, аппаратчики, машинисты установок и машин	990.0	10.0	1.0	6.0	2.0	1.0	0.0
неквалифицированные рабочие	986.0	14.0	1.0	8.0	4.0	1.0	0.0
занятые на военной службе	1000.0						0.0
лица, неточно указавшие или не указавшие  занятия 	955.0	42.0	6.0	25.0	7.0	4.0	3.0
