													
4. НАСЕЛЕНИЕ, УКАЗАВШЕЕ ОДИН ИСТОЧНИК СРЕДСТВ К СУЩЕСТВОВАНИЮ, ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Население, указавшее один источник средств к существованию	в том числе указали источником средств к существованию											
55 – 59	150289.0	44774.0	8685.0	-	72918.0	14491.0	103.0	469.0	530.0	133.0	48.0	4892.0	3246.0
60 – 64	297277.0	5335.0	918.0	-	276057.0	13352.0	67.0	-	698.0	29.0	4.0	493.0	324.0
65 и более	1012011.0	1707.0	1110.0	-	971488.0	34513.0	207.0	-	1935.0	17.0	5.0	773.0	256.0
возраст не указан	825.0	334.0	33.0	6.0	207.0	21.0	6.0	3.0	57.0	-	1.0	107.0	50.0
Мужчины	2112729.0	972640.0	115678.0	7475.0	405027.0	105212.0	20640.0	6897.0	22944.0	2244.0	520.0	397133.0	56319.0
из них в возрасте, лет:													
до 15	180523.0	90.0	16.0	53.0	668.0	1023.0	16131.0	-	4330.0	1.0	30.0	157986.0	195.0
15 – 19	161491.0	40934.0	1592.0	5876.0	995.0	2637.0	3187.0	265.0	3678.0	21.0	22.0	100499.0	1785.0
20 – 29	364384.0	263880.0	15737.0	1522.0	257.0	8465.0	262.0	1261.0	6441.0	387.0	63.0	56115.0	9994.0
30 – 49	761657.0	527660.0	72508.0	22.0	9148.0	40477.0	760.0	3956.0	6069.0	1397.0	268.0	66256.0	33136.0
50 – 54	161417.0	97859.0	16775.0	-	8782.0	16651.0	146.0	945.0	805.0	302.0	88.0	11286.0	7778.0
55 – 59	76712.0	37301.0	8086.0	-	12826.0	9965.0	70.0	469.0	395.0	114.0	44.0	4409.0	3033.0
60 – 64	117685.0	3751.0	570.0	-	104786.0	7506.0	30.0	-	462.0	18.0	3.0	295.0	264.0
65 и более	288461.0	986.0	381.0	-	267499.0	18481.0	52.0	-	722.0	4.0	1.0	228.0	107.0
возраст не указан	399.0	179.0	13.0	2.0	66.0	7.0	2.0	1.0	42.0	-	1.0	59.0	27.0
Женщины	2438644.0	807933.0	103583.0	6920.0	961883.0	72231.0	33016.0	11562.0	9477.0	1331.0	430.0	404990.0	25288.0
из них в возрасте, лет:													
до 15	170178.0	33.0	17.0	23.0	686.0	634.0	15659.0	-	3013.0	1.0	26.0	149924.0	162.0
15 – 19	139948.0	25146.0	1757.0	5242.0	951.0	1399.0	4199.0	542.0	1316.0	27.0	24.0	98090.0	1255.0
20 – 29	310240.0	191724.0	18767.0	1626.0	614.0	4773.0	8159.0	2718.0	1509.0	218.0	59.0	74203.0	5870.0
30 – 49	685251.0	491306.0	66020.0	25.0	5225.0	25580.0	4474.0	6477.0	1703.0	849.0	226.0	69070.0	14296.0
50 – 54	155882.0	89791.0	15326.0	-	18914.0	13427.0	296.0	1823.0	337.0	193.0	86.0	12429.0	3260.0
55 – 59	73577.0	7473.0	599.0	-	60092.0	4526.0	33.0	-	135.0	19.0	4.0	483.0	213.0
60 – 64	179592.0	1584.0	348.0	-	171271.0	5846.0	37.0	-	236.0	11.0	1.0	198.0	60.0
65 и более	723550.0	721.0	729.0	-	703989.0	16032.0	155.0	-	1213.0	13.0	4.0	545.0	149.0
возраст не указан	426.0	155.0	20.0	4.0	141.0	14.0	4.0	2.0	15.0	-	-	48.0	23.0
Белгородская область													
Городское и сельское население	1018320.0	463653.0	19741.0	2446.0	239237.0	39350.0	6693.0	3151.0	5696.0	1798.0	168.0	228930.0	7457.0
из него в возрасте, лет:													
до 15	85885.0	22.0	5.0	7.0	109.0	237.0	2951.0	-	1191.0	-	10.0	81292.0	61.0
15 – 19	78217.0	8590.0	335.0	1773.0	178.0	561.0	740.0	46.0	758.0	13.0	10.0	64981.0	232.0
20 – 29	168696.0	115759.0	3103.0	655.0	192.0	2342.0	1632.0	559.0	1958.0	355.0	29.0	40585.0	1527.0
30 – 49	353281.0	276266.0	12497.0	10.0	4416.0	14469.0	1174.0	1957.0	1514.0	1176.0	84.0	35238.0	4480.0
50 – 54	77392.0	50731.0	2917.0	-	8766.0	7491.0	124.0	516.0	134.0	175.0	27.0	5644.0	867.0
55 – 59	33638.0	10312.0	693.0	-	18226.0	3100.0	20.0	72.0	36.0	60.0	4.0	883.0	232.0
60 – 64	61803.0	1467.0	99.0	-	56893.0	3141.0	18.0	-	34.0	7.0	-	111.0	33.0
65 и более	159260.0	428.0	90.0	-	150433.0	8003.0	33.0	-	67.0	11.0	4.0	171.0	20.0
возраст не указан	148.0	78.0	2.0	1.0	24.0	6.0	1.0	1.0	4.0	1.0	-	25.0	5.0
Мужчины	464619.0	236859.0	10478.0	1184.0	76668.0	20425.0	2129.0	1136.0	4388.0	1062.0	85.0	105564.0	4641.0
из них в возрасте, лет:													
до 15	43917.0	15.0	2.0	4.0	48.0	141.0	1505.0	-	674.0	-	7.0	41485.0	36.0
15 – 19	38268.0	4517.0	158.0	901.0	82.0	355.0	311.0	9.0	520.0	8.0	4.0	31272.0	131.0
20 – 29	85464.0	62687.0	1528.0	275.0	67.0	1508.0	61.0	208.0	1729.0	217.0	13.0	16304.0	867.0
30 – 49	170555.0	134499.0	6559.0	4.0	2774.0	7719.0	184.0	684.0	1264.0	681.0	43.0	13364.0	2780.0
50 – 54	36728.0	25536.0	1511.0	-	2945.0	3479.0	40.0	163.0	109.0	104.0	13.0	2249.0	579.0
55 – 59	15891.0	8302.0	627.0	-	3905.0	1914.0	12.0	72.0	33.0	43.0	4.0	767.0	212.0
60 – 64	24300.0	1000.0	64.0	-	21515.0	1603.0	8.0	-	30.0	5.0	-	52.0	23.0
65 и более	49430.0	264.0	29.0	-	45325.0	3703.0	8.0	-	27.0	3.0	1.0	60.0	10.0
возраст не указан	66.0	39.0	-	-	7.0	3.0	-	-	2.0	1.0	-	11.0	3.0
Женщины	553701.0	226794.0	9263.0	1262.0	162569.0	18925.0	4564.0	2015.0	1308.0	736.0	83.0	123366.0	2816.0
из них в возрасте, лет:													
до 15	41968.0	7.0	3.0	3.0	61.0	96.0	1446.0	-	517.0	-	3.0	39807.0	25.0
15 – 19	39949.0	4073.0	177.0	872.0	96.0	206.0	429.0	37.0	238.0	5.0	6.0	33709.0	101.0
20 – 29	83232.0	53072.0	1575.0	380.0	125.0	834.0	1571.0	351.0	229.0	138.0	16.0	24281.0	660.0
30 – 49	182726.0	141767.0	5938.0	6.0	1642.0	6750.0	990.0	1273.0	250.0	495.0	41.0	21874.0	1700.0
50 – 54	40664.0	25195.0	1406.0	-	5821.0	4012.0	84.0	353.0	25.0	71.0	14.0	3395.0	288.0
55 – 59	17747.0	2010.0	66.0	-	14321.0	1186.0	8.0	-	3.0	17.0	-	116.0	20.0
60 – 64	37503.0	467.0	35.0	-	35378.0	1538.0	10.0	-	4.0	2.0	-	59.0	10.0
65 и более	109830.0	164.0	61.0	-	105108.0	4300.0	25.0	-	40.0	8.0	3.0	111.0	10.0
возраст не указан	82.0	39.0	2.0	1.0	17.0	3.0	1.0	1.0	2.0	-	-	14.0	2.0
Городское население	753398.0	368282.0	3830.0	2063.0	148841.0	26213.0	4185.0	2812.0	5423.0	1472.0	136.0	184703.0	5438.0
из него в возрасте, лет:													
до 15	70426.0	14.0	1.0	6.0	81.0	169.0	1492.0	-	1146.0	-	9.0	67458.0	50.0
15 – 19	62612.0	6030.0	44.0	1461.0	137.0	298.0	373.0	40.0	725.0	10.0	7.0	53322.0	165.0
20 – 29	131200.0	91119.0	481.0	587.0	135.0	1457.0	1253.0	503.0	1902.0	292.0	26.0	32265.0	1180.0
30 – 49	271457.0	220482.0	2571.0	8.0	3569.0	9632.0	916.0	1749.0	1437.0	976.0	71.0	26770.0	3276.0
50 – 54	59251.0	40969.0	578.0	-	6924.0	5250.0	101.0	458.0	116.0	142.0	19.0	4114.0	580.0
55 – 59	24450.0	8020.0	121.0	-	13353.0	2076.0	16.0	61.0	32.0	40.0	2.0	578.0	151.0
60 – 64	41296.0	1226.0	22.0	-	37835.0	2084.0	14.0	-	30.0	3.0	-	64.0	18.0
65 и более	92598.0	359.0	12.0	-	86794.0	5245.0	19.0	-	33.0	8.0	2.0	113.0	13.0
возраст не указан	108.0	63.0	-	1.0	13.0	2.0	1.0	1.0	2.0	1.0	-	19.0	5.0
Мужчины	344153.0	183909.0	2096.0	982.0	49298.0	13030.0	1166.0	995.0	4294.0	865.0	72.0	84235.0	3211.0
из них в возрасте, лет:													
до 15	36036.0	10.0	1.0	4.0	38.0	103.0	761.0	-	649.0	-	7.0	34433.0	30.0
15 – 19	30112.0	3067.0	23.0	730.0	62.0	180.0	148.0	9.0	502.0	6.0	3.0	25288.0	94.0
20 – 29	65525.0	48458.0	256.0	245.0	51.0	923.0	54.0	184.0	1719.0	174.0	12.0	12798.0	651.0
30 – 49	127389.0	104783.0	1381.0	3.0	2240.0	4906.0	152.0	596.0	1242.0	566.0	37.0	9569.0	1914.0
50 – 54	27565.0	20229.0	309.0	-	2352.0	2366.0	29.0	145.0	101.0	82.0	10.0	1575.0	367.0
55 – 59	11470.0	6301.0	105.0	-	3045.0	1251.0	11.0	61.0	30.0	31.0	2.0	498.0	135.0
60 – 64	16050.0	812.0	16.0	-	14096.0	1052.0	7.0	-	26.0	2.0	-	28.0	11.0
65 и более	29961.0	220.0	5.0	-	27412.0	2248.0	4.0	-	24.0	3.0	1.0	38.0	6.0
возраст не указан	45.0	29.0	-	-	2.0	1.0	-	-	1.0	1.0	-	8.0	3.0
Женщины	409245.0	184373.0	1734.0	1081.0	99543.0	13183.0	3019.0	1817.0	1129.0	607.0	64.0	100468.0	2227.0
из них в возрасте, лет:													
до 15	34390.0	4.0	-	2.0	43.0	66.0	731.0	-	497.0	-	2.0	33025.0	20.0
15 – 19	32500.0	2963.0	21.0	731.0	75.0	118.0	225.0	31.0	223.0	4.0	4.0	28034.0	71.0
20 – 29	65675.0	42661.0	225.0	342.0	84.0	534.0	1199.0	319.0	183.0	118.0	14.0	19467.0	529.0
30 – 49	144068.0	115699.0	1190.0	5.0	1329.0	4726.0	764.0	1153.0	195.0	410.0	34.0	17201.0	1362.0
50 – 54	31686.0	20740.0	269.0	-	4572.0	2884.0	72.0	313.0	15.0	60.0	9.0	2539.0	213.0
55 – 59	12980.0	1719.0	16.0	-	10308.0	825.0	5.0	-	2.0	9.0	-	80.0	16.0
60 – 64	25246.0	414.0	6.0	-	23739.0	1032.0	7.0	-	4.0	1.0	-	36.0	7.0
65 и более	62637.0	139.0	7.0	-	59382.0	2997.0	15.0	-	9.0	5.0	1.0	75.0	7.0
возраст не указан	63.0	34.0	-	1.0	11.0	1.0	1.0	1.0	1.0	-	-	11.0	2.0
Сельское население	264922.0	95371.0	15911.0	383.0	90396.0	13137.0	2508.0	339.0	273.0	326.0	32.0	44227.0	2019.0
из него в возрасте, лет:													
до 15	15459.0	8.0	4.0	1.0	28.0	68.0	1459.0	-	45.0	-	1.0	13834.0	11.0
15 – 19	15605.0	2560.0	291.0	312.0	41.0	263.0	367.0	6.0	33.0	3.0	3.0	11659.0	67.0
20 – 29	37496.0	24640.0	2622.0	68.0	57.0	885.0	379.0	56.0	56.0	63.0	3.0	8320.0	347.0
30 – 49	81824.0	55784.0	9926.0	2.0	847.0	4837.0	258.0	208.0	77.0	200.0	13.0	8468.0	1204.0
50 – 54	18141.0	9762.0	2339.0	-	1842.0	2241.0	23.0	58.0	18.0	33.0	8.0	1530.0	287.0
55 – 59	9188.0	2292.0	572.0	-	4873.0	1024.0	4.0	11.0	4.0	20.0	2.0	305.0	81.0
60 – 64	20507.0	241.0	77.0	-	19058.0	1057.0	4.0	-	4.0	4.0	-	47.0	15.0
65 и более	66662.0	69.0	78.0	-	63639.0	2758.0	14.0	-	34.0	3.0	2.0	58.0	7.0
возраст не указан	40.0	15.0	2.0	-	11.0	4.0	-	-	2.0	-	-	6.0	-
Мужчины	120466.0	52950.0	8382.0	202.0	27370.0	7395.0	963.0	141.0	94.0	197.0	13.0	21329.0	1430.0
из них в возрасте, лет:													
до 15	7881.0	5.0	1.0	-	10.0	38.0	744.0	-	25.0	-	-	7052.0	6.0
15 – 19	8156.0	1450.0	135.0	171.0	20.0	175.0	163.0	-	18.0	2.0	1.0	5984.0	37.0
20 – 29	19939.0	14229.0	1272.0	30.0	16.0	585.0	7.0	24.0	10.0	43.0	1.0	3506.0	216.0
30 – 49	43166.0	29716.0	5178.0	1.0	534.0	2813.0	32.0	88.0	22.0	115.0	6.0	3795.0	866.0
50 – 54	9163.0	5307.0	1202.0	-	593.0	1113.0	11.0	18.0	8.0	22.0	3.0	674.0	212.0
55 – 59	4421.0	2001.0	522.0	-	860.0	663.0	1.0	11.0	3.0	12.0	2.0	269.0	77.0
60 – 64	8250.0	188.0	48.0	-	7419.0	551.0	1.0	-	4.0	3.0	-	24.0	12.0
65 и более	19469.0	44.0	24.0	-	17913.0	1455.0	4.0	-	3.0	-	-	22.0	4.0
возраст не указан	21.0	10.0	-	-	5.0	2.0	-	-	1.0	-	-	3.0	-
Женщины	144456.0	42421.0	7529.0	181.0	63026.0	5742.0	1545.0	198.0	179.0	129.0	19.0	22898.0	589.0
из них в возрасте, лет:													
до 15	7578.0	3.0	3.0	1.0	18.0	30.0	715.0	-	20.0	-	1.0	6782.0	5.0
15 – 19	7449.0	1110.0	156.0	141.0	21.0	88.0	204.0	6.0	15.0	1.0	2.0	5675.0	30.0
20 – 29	17557.0	10411.0	1350.0	38.0	41.0	300.0	372.0	32.0	46.0	20.0	2.0	4814.0	131.0
30 – 49	38658.0	26068.0	4748.0	1.0	313.0	2024.0	226.0	120.0	55.0	85.0	7.0	4673.0	338.0
50 – 54	8978.0	4455.0	1137.0	-	1249.0	1128.0	12.0	40.0	10.0	11.0	5.0	856.0	75.0
55 – 59	4767.0	291.0	50.0	-	4013.0	361.0	3.0	-	1.0	8.0	-	36.0	4.0
60 – 64	12257.0	53.0	29.0	-	11639.0	506.0	3.0	-	-	1.0	-	23.0	3.0
65 и более	47193.0	25.0	54.0	-	45726.0	1303.0	10.0	-	31.0	3.0	2.0	36.0	3.0
возраст не указан	19.0	5.0	2.0	-	6.0	2.0	-	-	1.0	-	-	3.0	-
Брянская область													
Городское и сельское население	885502.0	408459.0	21243.0	3017.0	238054.0	33293.0	9415.0	8222.0	7041.0	603.0	152.0	150671.0	5332.0
из него в возрасте, лет:													
до 15	46377.0	6.0	15.0	8.0	176.0	211.0	4772.0	-	1514.0	-	11.0	39625.0	39.0
15 – 19	56572.0	9010.0	420.0	2384.0	358.0	572.0	1080.0	282.0	617.0	9.0	8.0	41607.0	225.0
20 – 29	150747.0	105497.0	3698.0	613.0	197.0	2559.0	1877.0	1933.0	2170.0	130.0	28.0	30886.0	1159.0
30 – 49	320131.0	242697.0	13757.0	12.0	5497.0	13143.0	1489.0	4956.0	1909.0	387.0	87.0	33094.0	3103.0
50 – 54	69132.0	41673.0	2595.0	-	13010.0	5364.0	144.0	948.0	193.0	64.0	12.0	4570.0	559.0
55 – 59	31185.0	8328.0	608.0	-	18800.0	2317.0	23.0	103.0	82.0	13.0	5.0	763.0	143.0
60 – 64	51595.0	982.0	68.0	-	48134.0	2182.0	6.0	-	120.0	-	-	54.0	49.0
65 и более	159728.0	262.0	81.0	-	151877.0	6945.0	16.0	-	433.0	-	-	69.0	45.0
возраст не указан	35.0	4.0	1.0	-	5.0	-	8.0	-	3.0	-	1.0	3.0	10.0
Мужчины	403624.0	204012.0	12338.0	1753.0	71732.0	19083.0	3544.0	3433.0	5665.0	380.0	81.0	77936.0	3667.0
из них в возрасте, лет:													
до 15	24003.0	3.0	11.0	4.0	86.0	126.0	2400.0	-	960.0	-	6.0	20385.0	22.0
15 – 19	27991.0	4448.0	209.0	1410.0	190.0	370.0	465.0	107.0	445.0	6.0	1.0	20221.0	119.0
20 – 29	78595.0	55481.0	1933.0	332.0	50.0	1697.0	160.0	771.0	1982.0	90.0	14.0	15349.0	736.0
30 – 49	159611.0	115791.0	7956.0	7.0	2535.0	7916.0	428.0	2090.0	1753.0	242.0	49.0	18645.0	2199.0
50 – 54	32870.0	20784.0	1586.0	-	3922.0	2983.0	61.0	362.0	172.0	30.0	5.0	2566.0	399.0
55 – 59	14990.0	6650.0	566.0	-	5240.0	1499.0	16.0	103.0	76.0	12.0	5.0	705.0	118.0
60 – 64	19560.0	712.0	45.0	-	17510.0	1126.0	3.0	-	87.0	-	-	36.0	41.0
65 и более	45991.0	142.0	32.0	-	42198.0	3366.0	6.0	-	188.0	-	-	28.0	31.0
возраст не указан	13.0	1.0	-	-	1.0	-	5.0	-	2.0	-	1.0	1.0	2.0
Женщины	481878.0	204447.0	8905.0	1264.0	166322.0	14210.0	5871.0	4789.0	1376.0	223.0	71.0	72735.0	1665.0
из них в возрасте, лет:													
до 15	22374.0	3.0	4.0	4.0	90.0	85.0	2372.0	-	554.0	-	5.0	19240.0	17.0
15 – 19	28581.0	4562.0	211.0	974.0	168.0	202.0	615.0	175.0	172.0	3.0	7.0	21386.0	106.0
20 – 29	72152.0	50016.0	1765.0	281.0	147.0	862.0	1717.0	1162.0	188.0	40.0	14.0	15537.0	423.0
30 – 49	160520.0	126906.0	5801.0	5.0	2962.0	5227.0	1061.0	2866.0	156.0	145.0	38.0	14449.0	904.0
50 – 54	36262.0	20889.0	1009.0	-	9088.0	2381.0	83.0	586.0	21.0	34.0	7.0	2004.0	160.0
55 – 59	16195.0	1678.0	42.0	-	13560.0	818.0	7.0	-	6.0	1.0	-	58.0	25.0
60 – 64	32035.0	270.0	23.0	-	30624.0	1056.0	3.0	-	33.0	-	-	18.0	8.0
65 и более	113737.0	120.0	49.0	-	109679.0	3579.0	10.0	-	245.0	-	-	41.0	14.0
возраст не указан	22.0	3.0	1.0	-	4.0	-	3.0	-	1.0	-	-	2.0	8.0
Городское население	680747.0	338078.0	4226.0	2376.0	170369.0	23693.0	5602.0	6763.0	6006.0	511.0	118.0	119529.0	3476.0
из него в возрасте, лет:													
