13. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ СЕВЕРА		
В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ		
ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМНС		
		
	Численность населения	
неквалифицированные рабочие	64.0	14.8
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	3.0	0.7
Корякский автономный округ		
Население, занятое в экономике 	404.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	48.0	11.9
специалисты высшего уровня квалификации	58.0	14.4
специалисты среднего уровня квалификации	58.0	14.4
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	11.0	2.7
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	54.0	13.4
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	19.0	4.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	40.0	9.9
операторы, аппаратчики, машинисты установок и машин	53.0	13.1
неквалифицированные рабочие	62.0	15.3
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	1.0	0.2
Магаданская область		
Население, занятое в экономике 	89.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	9.0	10.1
специалисты высшего уровня квалификации	8.0	9.0
специалисты среднего уровня квалификации	14.0	15.7
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	1.0	1.1
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	15.0	16.9
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	6.0	6.8
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	8.0	9.0
операторы, аппаратчики, машинисты установок и машин	5.0	5.6
неквалифицированные рабочие	22.0	24.7
занятые на военной службе	1.0	1.1
лица, неточно указавшие или не указавшие  занятия	-	-
КЕТЫ		
Красноярский край		
Население, занятое в экономике 	243.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	14.0	5.8
специалисты высшего уровня квалификации	10.0	4.1
специалисты среднего уровня квалификации	41.0	16.9
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	5.0	2.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	26.0	10.7
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	17.0	7.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	16.0	6.6
операторы, аппаратчики, машинисты установок и машин	17.0	7.0
неквалифицированные рабочие	41.0	16.9
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	56.0	23.0
КОРЯКИ		
Территории преимущественного проживания КМНС		
Население, занятое в экономике 	2204.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	156.0	7.1
специалисты высшего уровня квалификации	205.0	9.3
специалисты среднего уровня квалификации	285.0	12.9
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	54.0	2.5
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	316.0	14.3
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	209.0	9.5
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	250.0	11.3
операторы, аппаратчики, машинисты установок и машин	184.0	8.4
неквалифицированные рабочие	534.0	24.2
занятые на военной службе	1.0	0.0
лица, неточно указавшие или не указавшие  занятия	10.0	0.5
Камчатская область		
Население, занятое в экономике 	2022.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	148.0	7.3
специалисты высшего уровня квалификации	184.0	9.1
специалисты среднего уровня квалификации	263.0	13.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	52.0	2.6
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	290.0	14.3
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	192.0	9.5
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	229.0	11.3
операторы, аппаратчики, машинисты установок и машин	174.0	8.6
неквалифицированные рабочие	483.0	23.9
занятые на военной службе	1.0	0.1
лица, неточно указавшие или не указавшие  занятия	6.0	0.3
Корякский автономный округ		
Население, занятое в экономике 	1984.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	146.0	7.4
специалисты высшего уровня квалификации	180.0	9.1
специалисты среднего уровня квалификации	255.0	12.9
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	51.0	2.6
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	284.0	14.3
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	190.0	9.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	229.0	11.5
операторы, аппаратчики, машинисты установок и машин	171.0	8.6
неквалифицированные рабочие	471.0	23.7
занятые на военной службе	1.0	0.0
лица, неточно указавшие или не указавшие  занятия	6.0	0.3
Магаданская область		
Население, занятое в экономике 	158.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	8.0	5.1
специалисты высшего уровня квалификации	18.0	11.4
специалисты среднего уровня квалификации	18.0	11.4
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	2.0	1.3
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	25.0	15.8
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	16.0	10.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	16.0	10.1
операторы, аппаратчики, машинисты установок и машин	7.0	4.4
неквалифицированные рабочие	46.0	29.1
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	2.0	1.3
Чукотский автономный округ		
Население, занятое в экономике 	24.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	-	-
специалисты высшего уровня квалификации	3.0	12.5
специалисты среднего уровня квалификации	4.0	16.7
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	1.0	4.2
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	1.0	4.2
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	5.0	20.8
операторы, аппаратчики, машинисты установок и машин	3.0	12.5
неквалифицированные рабочие	5.0	20.8
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	2.0	8.3
КУМАНДИНЦЫ		
Территории преимущественного проживания КМНС		
Население, занятое в экономике 	235.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	14.0	6.0
специалисты высшего уровня квалификации	21.0	8.9
специалисты среднего уровня квалификации	33.0	14.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	7.0	3.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	23.0	9.8
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	23.0	9.8
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	29.0	12.3
операторы, аппаратчики, машинисты установок и машин	35.0	14.9
неквалифицированные рабочие	50.0	21.3
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
Алтайский край		
Население, занятое в экономике 	171.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	9.0	5.3
специалисты высшего уровня квалификации	11.0	6.4
специалисты среднего уровня квалификации	16.0	9.4
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	3.0	1.7
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	15.0	8.8
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	22.0	12.9
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	24.0	14.0
операторы, аппаратчики, машинисты установок и машин	31.0	18.1
неквалифицированные рабочие	40.0	23.4
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
Республика Алтай		
Население, занятое в экономике 	60.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	4.0	6.7
специалисты высшего уровня квалификации	8.0	13.3
специалисты среднего уровня квалификации	17.0	28.3
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	4.0	6.7
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	8.0	13.3
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	1.0	1.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	5.0	8.3
операторы, аппаратчики, машинисты установок и машин	4.0	6.7
неквалифицированные рабочие	9.0	15.0
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
Кемеровская область		
Население, занятое в экономике 	4.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	1.0	25.0
специалисты высшего уровня квалификации	2.0	50.0
специалисты среднего уровня квалификации	-	-
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	-	-
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	-	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	-	-
операторы, аппаратчики, машинисты установок и машин	-	-
неквалифицированные рабочие	1.0	25.0
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
МАНСИ		
Территории преимущественного проживания КМНС		
Население, занятое в экономике 	2072.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	132.0	6.4
специалисты высшего уровня квалификации	245.0	11.8
специалисты среднего уровня квалификации	325.0	15.7
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	66.0	3.2
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	263.0	12.7
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	164.0	7.9
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	183.0	8.8
операторы, аппаратчики, машинисты установок и машин	203.0	9.8
неквалифицированные рабочие	417.0	20.1
занятые на военной службе	2.0	0.1
лица, неточно указавшие или не указавшие  занятия	72.0	3.5
Тюменская область		
Население, занятое в экономике 	2070.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	132.0	6.4
специалисты высшего уровня квалификации	245.0	11.8
специалисты среднего уровня квалификации	324.0	15.7
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	66.0	3.2
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	263.0	12.7
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	164.0	7.9
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	183.0	8.8
операторы, аппаратчики, машинисты установок и машин	203.0	9.8
неквалифицированные рабочие	416.0	20.1
занятые на военной службе	2.0	0.1
лица, неточно указавшие или не указавшие  занятия	72.0	3.5
Ханты-Мансийский автономный округ – Югра		
Население, занятое в экономике 	2017.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	131.0	6.5
специалисты высшего уровня квалификации	239.0	11.8
специалисты среднего уровня квалификации	316.0	15.7
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	62.0	3.1
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	256.0	12.7
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	162.0	8.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	171.0	8.5
операторы, аппаратчики, машинисты установок и машин	199.0	9.9
неквалифицированные рабочие	408.0	20.2
занятые на военной службе	2.0	0.1
лица, неточно указавшие или не указавшие  занятия	71.0	3.5
Свердловская область		
Население, занятое в экономике 	2.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	-	-
специалисты высшего уровня квалификации	-	-
специалисты среднего уровня квалификации	1.0	50.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	-	-
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	-	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	-	-
операторы, аппаратчики, машинисты установок и машин	-	-
неквалифицированные рабочие	1.0	50.0
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
НАНАЙЦЫ		
Территории преимущественного проживания КМНС		
Население, занятое в экономике 	2130.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	177.0	8.3
специалисты высшего уровня квалификации	287.0	13.5
специалисты среднего уровня квалификации	280.0	13.1
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	55.0	2.6
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	279.0	13.1
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	145.0	6.8
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	277.0	13.0
операторы, аппаратчики, машинисты установок и машин	236.0	11.1
неквалифицированные рабочие	372.0	17.5
занятые на военной службе	9.0	0.4
лица, неточно указавшие или не указавшие  занятия	13.0	0.6
Хабаровский край		
Население, занятое в экономике 	2019.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	166.0	8.2
специалисты высшего уровня квалификации	276.0	13.7
специалисты среднего уровня квалификации	271.0	13.4
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	53.0	2.6
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	265.0	13.1
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	135.0	6.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	269.0	13.3
операторы, аппаратчики, машинисты установок и машин	218.0	10.8
неквалифицированные рабочие	344.0	17.0
занятые на военной службе	9.0	0.5
лица, неточно указавшие или не указавшие  занятия	13.0	0.7
Приморский край		
Население, занятое в экономике 	91.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	10.0	11.0
специалисты высшего уровня квалификации	8.0	8.8
специалисты среднего уровня квалификации	8.0	8.8
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	2.0	2.2
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	12.0	13.2
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	7.0	7.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	5.0	5.5
операторы, аппаратчики, машинисты установок и машин	14.0	15.4
неквалифицированные рабочие	25.0	27.4
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
Сахалинская область		
Население, занятое в экономике 	20.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	1.0	5.0
специалисты высшего уровня квалификации	3.0	15.0
специалисты среднего уровня квалификации	1.0	5.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	2.0	10.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	3.0	15.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	3.0	15.0
операторы, аппаратчики, машинисты установок и машин	4.0	20.0
неквалифицированные рабочие	3.0	15.0
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
НГАНАСАНЫ		
Красноярский край		
Население, занятое в экономике 	205.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	8.0	3.9
специалисты высшего уровня квалификации	10.0	4.9
специалисты среднего уровня квалификации	21.0	10.3
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	7.0	3.4
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	13.0	6.3
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	31.0	15.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	33.0	16.1
операторы, аппаратчики, машинисты установок и машин	5.0	2.4
неквалифицированные рабочие	77.0	37.6
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
Таймырский (Долгано-Ненецкий) автономный округ		
Население, занятое в экономике 	199.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	7.0	3.5
специалисты высшего уровня квалификации	10.0	5.0
специалисты среднего уровня квалификации	21.0	10.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	7.0	3.5
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	13.0	6.5
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	31.0	15.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	32.0	16.1
операторы, аппаратчики, машинисты установок и машин	3.0	1.5
неквалифицированные рабочие	75.0	37.7
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
НЕГИДАЛЬЦЫ		
Хабаровский край		
Население, занятое в экономике 	107.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	13.0	12.1
специалисты высшего уровня квалификации	5.0	4.7
специалисты среднего уровня квалификации	22.0	20.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	5.0	4.7
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	9.0	8.4
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	16.0	14.9
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	11.0	10.3
операторы, аппаратчики, машинисты установок и машин	3.0	2.8
неквалифицированные рабочие	21.0	19.6
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	2.0	1.9
НЕНЦЫ		
Территории преимущественного проживания КМНС		
Население, занятое в экономике 	10306.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	406.0	3.9
специалисты высшего уровня квалификации	606.0	5.9
специалисты среднего уровня квалификации	1123.0	10.9
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	150.0	1.5
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	833.0	8.1
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	3565.0	34.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	938.0	9.1
операторы, аппаратчики, машинисты установок и машин	413.0	4.0
неквалифицированные рабочие	2121.0	20.6
занятые на военной службе	3.0	0.0
лица, неточно указавшие или не указавшие  занятия	148.0	1.4
Ямало-Ненецкий автономный округ		
Население, занятое в экономике 	6693.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	203.0	3.0
специалисты высшего уровня квалификации	325.0	4.9
специалисты среднего уровня квалификации	689.0	10.3
