																			
2. НАСЕЛЕНИЕ ПО ПОЛУ, ВОЗРАСТНЫМ ГРУППАМ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																			
																			
																			
	Все население	Всего указали источников средств к существова-нию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения указали			
трудоспособном	305982.0	353051.0	210238.0	22343.0	10437.0	13546.0	14498.0	4845.0	1522.0	8012.0	1352.0	238.0	61513.0	4507.0	2127.0	257141.0	44307.0	2332.0	75.0
старше трудоспособного	59453.0	73232.0	6035.0	7404.0	-	53903.0	4441.0	485.0	-	480.0	128.0	37.0	253.0	66.0	274.0	46011.0	12307.0	841.0	20.0
Женщины	532514.0	654248.0	219000.0	35833.0	12090.0	127200.0	19563.0	59216.0	3078.0	3786.0	1218.0	487.0	169131.0	3646.0	3367.0	409245.0	114826.0	4958.0	118.0
из них в возрасте:																			
моложе трудоспособного	84068.0	128514.0	39.0	318.0	846.0	907.0	842.0	42592.0	-	1154.0	12.0	35.0	81582.0	187.0	539.0	39541.0	43012.0	956.0	20.0
трудоспособном	323894.0	377716.0	208904.0	22269.0	11243.0	10986.0	12299.0	15707.0	3077.0	1959.0	1016.0	240.0	86673.0	3343.0	2147.0	268778.0	50050.0	2842.0	77.0
старше трудоспособного	124335.0	147923.0	10011.0	13244.0	-	115289.0	6419.0	912.0	-	671.0	190.0	212.0	861.0	114.0	543.0	100863.0	21748.0	1160.0	21.0
Сельское население	526036.0	798125.0	173505.0	180171.0	5404.0	168259.0	27089.0	87994.0	739.0	2488.0	1023.0	1989.0	146020.0	3444.0	442.0	264922.0	249032.0	11432.0	208.0
из него в возрасте:																			
моложе трудоспособного	93445.0	172695.0	63.0	2011.0	575.0	1260.0	1364.0	75746.0	-	560.0	4.0	60.0	90933.0	119.0	128.0	17375.0	72570.0	3311.0	61.0
трудоспособном	265356.0	380579.0	168313.0	107335.0	4829.0	8571.0	18405.0	12075.0	739.0	1253.0	724.0	1023.0	54067.0	3245.0	194.0	155571.0	103886.0	5591.0	114.0
старше трудоспособного	167113.0	244744.0	5104.0	70805.0	-	158407.0	7315.0	161.0	-	671.0	295.0	906.0	1000.0	80.0	71.0	91936.0	72544.0	2529.0	33.0
Мужчины	240439.0	365182.0	94197.0	81043.0	2736.0	54449.0	15266.0	41774.0	253.0	1315.0	544.0	882.0	70397.0	2326.0	197.0	120466.0	114709.0	4975.0	92.0
из них в возрасте:																			
моложе трудоспособного	47698.0	88226.0	48.0	1065.0	344.0	611.0	843.0	38510.0	-	309.0	2.0	26.0	46403.0	65.0	65.0	8915.0	36884.0	1795.0	39.0
трудоспособном	139171.0	196612.0	92066.0	55670.0	2392.0	4392.0	10790.0	3211.0	253.0	838.0	418.0	571.0	23779.0	2232.0	97.0	83811.0	53027.0	2199.0	37.0
старше трудоспособного	53517.0	80296.0	2068.0	24302.0	-	49439.0	3631.0	47.0	-	166.0	124.0	285.0	205.0	29.0	16.0	27719.0	24786.0	980.0	16.0
Женщины	285597.0	432943.0	79308.0	99128.0	2668.0	113810.0	11823.0	46220.0	486.0	1173.0	479.0	1107.0	75623.0	1118.0	245.0	144456.0	134323.0	6457.0	116.0
из них в возрасте:																			
моложе трудоспособного	45747.0	84469.0	15.0	946.0	231.0	649.0	521.0	37236.0	-	251.0	2.0	34.0	44530.0	54.0	63.0	8460.0	35686.0	1516.0	22.0
трудоспособном	126185.0	183967.0	76247.0	51665.0	2437.0	4179.0	7615.0	8864.0	486.0	415.0	306.0	452.0	30288.0	1013.0	97.0	71760.0	50859.0	3392.0	77.0
старше трудоспособного	113596.0	164448.0	3036.0	46503.0	-	108968.0	3684.0	114.0	-	505.0	171.0	621.0	795.0	51.0	55.0	64217.0	47758.0	1549.0	17.0
Брянская область																			
Городское и сельское население	1378941.0	1890151.0	535595.0	222865.0	32326.0	360997.0	52452.0	236332.0	13956.0	13933.0	1838.0	814.0	410480.0	8563.0	1925.0	885502.0	470316.0	20782.0	416.0
из него в возрасте:																			
моложе трудоспособного	247088.0	446578.0	122.0	3067.0	3407.0	5216.0	2592.0	191896.0	-	3080.0	7.0	220.0	236681.0	290.0	321.0	53755.0	186321.0	6584.0	107.0
трудоспособном	803692.0	1012135.0	517060.0	137066.0	28919.0	45510.0	35855.0	41744.0	13956.0	9103.0	1368.0	435.0	173101.0	8018.0	1272.0	604194.0	187001.0	10967.0	258.0
старше трудоспособного	328041.0	431390.0	18407.0	82731.0	-	310265.0	14003.0	2683.0	-	1746.0	462.0	156.0	694.0	243.0	252.0	227518.0	96991.0	3230.0	50.0
Мужчины	629601.0	862955.0	263855.0	98699.0	16744.0	115377.0	30143.0	109886.0	5488.0	10323.0	972.0	364.0	205488.0	5616.0	880.0	403624.0	216130.0	8801.0	166.0
из них в возрасте:																			
моложе трудоспособного	126750.0	228994.0	77.0	1584.0	2095.0	2713.0	1491.0	97750.0	-	1862.0	3.0	106.0	121162.0	151.0	160.0	27822.0	95195.0	3510.0	63.0
трудоспособном	403660.0	500174.0	257111.0	69986.0	14649.0	21231.0	22092.0	11343.0	5488.0	7726.0	809.0	228.0	84165.0	5346.0	598.0	310238.0	88621.0	4122.0	81.0
старше трудоспособного	99132.0	133772.0	6665.0	27129.0	-	91432.0	6559.0	788.0	-	733.0	160.0	29.0	160.0	117.0	77.0	65551.0	32313.0	1169.0	22.0
Женщины	749340.0	1027196.0	271740.0	124166.0	15582.0	245620.0	22309.0	126446.0	8468.0	3610.0	866.0	450.0	204992.0	2947.0	1045.0	481878.0	254186.0	11981.0	250.0
из них в возрасте:																			
моложе трудоспособного	120338.0	217584.0	45.0	1483.0	1312.0	2503.0	1101.0	94146.0	-	1218.0	4.0	114.0	115519.0	139.0	161.0	25933.0	91126.0	3074.0	44.0
трудоспособном	400032.0	511961.0	259949.0	67080.0	14270.0	24279.0	13763.0	30401.0	8468.0	1377.0	559.0	207.0	88936.0	2672.0	674.0	293956.0	98380.0	6845.0	177.0
старше трудоспособного	228909.0	297618.0	11742.0	55602.0	-	218833.0	7444.0	1895.0	-	1013.0	302.0	127.0	534.0	126.0	175.0	161967.0	64678.0	2061.0	28.0
Городское население	943382.0	1213296.0	402974.0	64859.0	24586.0	221303.0	33957.0	150173.0	10817.0	11351.0	1323.0	606.0	285972.0	5375.0	1765.0	680747.0	250267.0	10403.0	200.0
из него в возрасте:																			
моложе трудоспособного	166611.0	292562.0	70.0	1219.0	2662.0	3179.0	1616.0	120693.0	-	2507.0	4.0	120.0	160270.0	222.0	289.0	43610.0	119233.0	3430.0	49.0
трудоспособном	579682.0	686722.0	387082.0	43317.0	21924.0	33179.0	22953.0	27879.0	10817.0	7940.0	1109.0	347.0	125210.0	4965.0	1179.0	476002.0	96919.0	5452.0	130.0
старше трудоспособного	197005.0	233978.0	15817.0	20323.0	-	184943.0	9386.0	1592.0	-	901.0	210.0	138.0	490.0	178.0	242.0	161110.0	34112.0	1520.0	21.0
Мужчины	428935.0	554209.0	193807.0	29096.0	12654.0	72061.0	18820.0	69215.0	4298.0	8907.0	731.0	256.0	140991.0	3373.0	804.0	306786.0	116703.0	4555.0	87.0
из них в возрасте:																			
моложе трудоспособного	85491.0	150072.0	39.0	626.0	1657.0	1645.0	948.0	61473.0	-	1516.0	2.0	53.0	81991.0	122.0	142.0	22532.0	60942.0	1844.0	31.0
трудоспособном	283908.0	331640.0	187954.0	21698.0	10997.0	15679.0	13813.0	7283.0	4298.0	7019.0	657.0	179.0	58898.0	3165.0	558.0	237268.0	43923.0	2114.0	45.0
старше трудоспособного	59497.0	72486.0	5812.0	6772.0	-	54737.0	4058.0	454.0	-	371.0	72.0	24.0	102.0	84.0	75.0	46977.0	11837.0	597.0	11.0
Женщины	514447.0	659087.0	209167.0	35763.0	11932.0	149242.0	15137.0	80958.0	6519.0	2444.0	592.0	350.0	144981.0	2002.0	961.0	373961.0	133564.0	5848.0	113.0
из них в возрасте:																			
моложе трудоспособного	81120.0	142490.0	31.0	593.0	1005.0	1534.0	668.0	59220.0	-	991.0	2.0	67.0	78279.0	100.0	147.0	21078.0	58291.0	1586.0	18.0
трудоспособном	295774.0	355082.0	199128.0	21619.0	10927.0	17500.0	9140.0	20596.0	6519.0	921.0	452.0	168.0	66312.0	1800.0	621.0	238734.0	52996.0	3338.0	85.0
старше трудоспособного	137508.0	161492.0	10005.0	13551.0	-	130206.0	5328.0	1138.0	-	530.0	138.0	114.0	388.0	94.0	167.0	114133.0	22275.0	923.0	10.0
Сельское население	435559.0	676855.0	132621.0	158006.0	7740.0	139694.0	18495.0	86159.0	3139.0	2582.0	515.0	208.0	124508.0	3188.0	160.0	204755.0	220049.0	10379.0	216.0
из него в возрасте:																			
моложе трудоспособного	80477.0	154016.0	52.0	1848.0	745.0	2037.0	976.0	71203.0	-	573.0	3.0	100.0	76411.0	68.0	32.0	10145.0	67088.0	3154.0	58.0
трудоспособном	224010.0	325413.0	129978.0	93749.0	6995.0	12331.0	12902.0	13865.0	3139.0	1163.0	259.0	88.0	47891.0	3053.0	93.0	128192.0	90082.0	5515.0	128.0
старше трудоспособного	131036.0	197412.0	2590.0	62408.0	-	125322.0	4617.0	1091.0	-	845.0	252.0	18.0	204.0	65.0	10.0	66408.0	62879.0	1710.0	29.0
Мужчины	200666.0	308746.0	70048.0	69603.0	4090.0	43316.0	11323.0	40671.0	1190.0	1416.0	241.0	108.0	64497.0	2243.0	76.0	96838.0	99427.0	4246.0	79.0
из них в возрасте:																			
моложе трудоспособного	41259.0	78922.0	38.0	958.0	438.0	1068.0	543.0	36277.0	-	346.0	1.0	53.0	39171.0	29.0	18.0	5290.0	34253.0	1666.0	32.0
трудоспособном	119752.0	168534.0	69157.0	48288.0	3652.0	5552.0	8279.0	4060.0	1190.0	707.0	152.0	49.0	25267.0	2181.0	40.0	72970.0	44698.0	2008.0	36.0
старше трудоспособного	39635.0	61286.0	853.0	20357.0	-	36695.0	2501.0	334.0	-	362.0	88.0	5.0	58.0	33.0	2.0	18574.0	20476.0	572.0	11.0
Женщины	234893.0	368109.0	62573.0	88403.0	3650.0	96378.0	7172.0	45488.0	1949.0	1166.0	274.0	100.0	60011.0	945.0	84.0	107917.0	120622.0	6133.0	137.0
из них в возрасте:																			
моложе трудоспособного	39218.0	75094.0	14.0	890.0	307.0	969.0	433.0	34926.0	-	227.0	2.0	47.0	37240.0	39.0	14.0	4855.0	32835.0	1488.0	26.0
трудоспособном	104258.0	156879.0	60821.0	45461.0	3343.0	6779.0	4623.0	9805.0	1949.0	456.0	107.0	39.0	22624.0	872.0	53.0	55222.0	45384.0	3507.0	92.0
старше трудоспособного	91401.0	136126.0	1737.0	42051.0	-	88627.0	2116.0	757.0	-	483.0	164.0	13.0	146.0	32.0	8.0	47834.0	42403.0	1138.0	18.0
Владимирская область																			
Городское и сельское население	1523990.0	1926150.0	683016.0	166519.0	32585.0	383430.0	56666.0	158900.0	16484.0	20770.0	2566.0	818.0	381165.0	23231.0	18352.0	1104181.0	382726.0	18412.0	319.0
из него в возрасте:																			
моложе трудоспособного	244578.0	379259.0	298.0	1428.0	3297.0	4488.0	2451.0	129517.0	-	3569.0	38.0	176.0	233370.0	627.0	2451.0	109391.0	128420.0	4237.0	79.0
трудоспособном	909176.0	1078856.0	645543.0	100307.0	29286.0	38150.0	35222.0	29060.0	16483.0	14668.0	1988.0	515.0	145608.0	22026.0	11484.0	725801.0	162816.0	8881.0	194.0
старше трудоспособного	369018.0	467776.0	37072.0	64770.0	-	340738.0	18990.0	306.0	-	2519.0	540.0	127.0	2145.0	569.0	3423.0	268799.0	91457.0	5293.0	46.0
Мужчины	690012.0	869038.0	337009.0	71577.0	16204.0	120839.0	30067.0	70922.0	6179.0	14353.0	1318.0	389.0	185578.0	14603.0	8422.0	502167.0	171545.0	7733.0	145.0
из них в возрасте:																			
моложе трудоспособного	124652.0	193048.0	196.0	719.0	1994.0	2306.0	1406.0	65324.0	-	1964.0	24.0	95.0	118703.0	317.0	1272.0	55999.0	65137.0	2202.0	42.0
трудоспособном	455103.0	532553.0	323699.0	49820.0	14209.0	19455.0	20531.0	5509.0	6179.0	11320.0	1131.0	260.0	66373.0	14067.0	5695.0	369921.0	75914.0	3489.0	84.0
старше трудоспособного	109696.0	143308.0	13062.0	21032.0	-	99057.0	8130.0	82.0	-	1057.0	163.0	34.0	478.0	213.0	1006.0	76151.0	30479.0	2041.0	19.0
Женщины	833978.0	1057112.0	346007.0	94942.0	16381.0	262591.0	26599.0	87978.0	10305.0	6417.0	1248.0	429.0	195587.0	8628.0	9930.0	602014.0	211181.0	10679.0	174.0
из них в возрасте:																			
моложе трудоспособного	119926.0	186211.0	102.0	709.0	1303.0	2182.0	1045.0	64193.0	-	1605.0	14.0	81.0	114667.0	310.0	1179.0	53392.0	63283.0	2035.0	37.0
трудоспособном	454073.0	546303.0	321844.0	50487.0	15077.0	18695.0	14691.0	23551.0	10304.0	3348.0	857.0	255.0	79235.0	7959.0	5789.0	355880.0	86902.0	5392.0	110.0
старше трудоспособного	259322.0	324468.0	24010.0	43738.0	-	241681.0	10860.0	224.0	-	1462.0	377.0	93.0	1667.0	356.0	2417.0	192648.0	60978.0	3252.0	27.0
Городское население	1213865.0	1481325.0	568135.0	82954.0	27697.0	292014.0	42652.0	117630.0	12223.0	14586.0	2095.0	683.0	304898.0	15758.0	17298.0	924814.0	258976.0	12553.0	224.0
из него в возрасте:																			
моложе трудоспособного	193532.0	291178.0	197.0	776.0	2633.0	3035.0	1833.0	94329.0	-	2663.0	34.0	133.0	185028.0	517.0	2301.0	94017.0	94523.0	2649.0	42.0
трудоспособном	739532.0	849196.0	534547.0	51009.0	25062.0	32102.0	26031.0	23023.0	12223.0	10300.0	1692.0	436.0	117910.0	14861.0	10900.0	614404.0	108037.0	6050.0	141.0
старше трудоспособного	279691.0	340771.0	33310.0	31163.0	-	256846.0	14785.0	266.0	-	1611.0	369.0	114.0	1934.0	373.0	3147.0	216253.0	56396.0	3854.0	41.0
Мужчины	548505.0	668114.0	277923.0	35603.0	13838.0	92693.0	22075.0	51859.0	4613.0	11071.0	1089.0	311.0	147512.0	9527.0	7954.0	418483.0	116677.0	5288.0	103.0
из них в возрасте:																			
моложе трудоспособного	98627.0	148315.0	131.0	388.0	1621.0	1553.0	1050.0	47642.0	-	1459.0	22.0	72.0	94117.0	260.0	1184.0	48008.0	48022.0	1389.0	24.0
трудоспособном	366639.0	415382.0	265942.0	24777.0	12216.0	16657.0	14898.0	4140.0	4613.0	8881.0	957.0	208.0	52951.0	9142.0	5405.0	309565.0	49254.0	2352.0	63.0
старше трудоспособного	82732.0	104335.0	11812.0	10437.0	-	74471.0	6127.0	74.0	-	721.0	110.0	31.0	431.0	121.0	934.0	60840.0	19395.0	1547.0	16.0
Женщины	665360.0	813211.0	290212.0	47351.0	13859.0	199321.0	20577.0	65771.0	7610.0	3515.0	1006.0	372.0	157386.0	6231.0	9344.0	506331.0	142299.0	7265.0	121.0
из них в возрасте:																			
моложе трудоспособного	94905.0	142863.0	66.0	388.0	1012.0	1482.0	783.0	46687.0	-	1204.0	12.0	61.0	90911.0	257.0	1117.0	46009.0	46501.0	1260.0	18.0
трудоспособном	372893.0	433814.0	268605.0	26232.0	12846.0	15445.0	11133.0	18883.0	7610.0	1419.0	735.0	228.0	64959.0	5719.0	5495.0	304839.0	58783.0	3698.0	78.0
