							
2. НАСЕЛЕНИЕ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ							
							
							
	Мужчины и женщины	Мужчины	Женщины	В процентах к итогу			Женщин на 1000 мужчин
80 – 84	513758.0	108271.0	405487.0	1.4	0.6	2.0	3745.0
85 и более	361346.0	61646.0	299700.0	0.899999976158	0.300000011921	1.5	4862.0
возраст не указан	49295.0	25952.0	23343.0	0.1	0.1	0.1	899.0
Медианный возраст	39.9	36.7	42.5				
Из общей численности - население в возрасте:							
моложе трудоспособного	5824878.0	2987206.0	2837672.0	15.3	17.1	13.9	950.0
трудоспособном	23135025.0	11781327.0	11353698.0	60.9	67.1	55.5	964.0
старше трудоспособного	8991453.0	2753097.0	6238356.0	23.7	15.7	30.5	2266.0
0 – 13 лет	4676291.0	2400977.0	2275314.0	12.3	13.7	11.1	948.0
0 – 17 лет	6984224.0	3577110.0	3407114.0	18.4	20.4	16.7	952.0
16 – 29 лет	7914068.0	4037150.0	3876918.0	20.8	23.0	19.0	960.0
Городское население	30366977.0	14019994.0	16346983.0	100.0	100.0	100.0	1166.0
в том числе в возрасте, лет:							
0 – 4	1099105.0	564285.0	534820.0	3.6	4.0	3.3	948.0
5 – 9	1180655.0	606932.0	573723.0	3.9	4.3	3.5	945.0
10 – 14	1786545.0	914680.0	871865.0	5.9	6.5	5.3	953.0
15 – 19	2432026.0	1238818.0	1193208.0	8.0	8.8	7.3	963.0
20 – 24	2381536.0	1215175.0	1166361.0	7.8	8.7	7.1	960.0
25 – 29	2259804.0	1144181.0	1115623.0	7.4	8.2	6.8	975.0
30 – 34	2178743.0	1103781.0	1074962.0	7.2	7.9	6.6	974.0
35 – 39	2209918.0	1088533.0	1121385.0	7.3	7.8	6.9	1030.0
40 – 44	2714449.0	1303621.0	1410828.0	8.9	9.3	8.6	1082.0
45 – 49	2526717.0	1178668.0	1348049.0	8.3	8.4	8.2	1144.0
50 – 54	2252149.0	1020895.0	1231254.0	7.4	7.3	7.5	1206.0
55 – 59	1283994.0	564470.0	719524.0	4.2	4.0	4.4	1275.0
60 – 64	1788447.0	718071.0	1070376.0	5.9	5.1	6.59999990463	1491.0
65 – 69	1373993.0	515957.0	858036.0	4.5	3.7	5.30000019073	1663.0
70 – 74	1293451.0	433710.0	859741.0	4.3	3.1	5.3	1982.0
75 – 79	920521.0	249604.0	670917.0	3.0	1.8	4.1	2688.0
80 – 84	378500.0	84328.0	294172.0	1.29999995232	0.6	1.8	3488.0
85 и более	259706.0	49567.0	210139.0	0.9	0.300000011921	1.3	4239.0
возраст не указан	46718.0	24718.0	22000.0	0.2	0.2	0.1	890.0
Медианный возраст	39.3	36.1	41.9				
Из общей численности - население в возрасте:							
моложе трудоспособного	4530848.0	2322284.0	2208564.0	14.9	16.6	13.5	951.0
трудоспособном	19055269.0	9621755.0	9433514.0	62.7	68.6	57.7	980.0
старше трудоспособного	6734142.0	2051237.0	4682905.0	22.2	14.6	28.7	2283.0
0 – 13 лет	3634898.0	1866332.0	1768566.0	12.0	13.3	10.8	948.0
0 – 17 лет	5469322.0	2795973.0	2673349.0	18.0	19.9	16.4	956.0
16 – 29 лет	6608823.0	3361787.0	3247036.0	21.8	24.0	19.9	966.0
Сельское население	7633674.0	3527588.0	4106086.0	100.0	100.0	100.0	1164.0
в том числе в возрасте, лет:							
0 – 4	289735.0	148837.0	140898.0	3.8	4.2	3.4	947.0
5 – 9	345593.0	177236.0	168357.0	4.5	5.0	4.1	950.0
10 – 14	530928.0	272589.0	258339.0	6.90000009537	7.7	6.3	948.0
15 – 19	541516.0	281939.0	259577.0	7.1	8.0	6.3	921.0
20 – 24	455013.0	236490.0	218523.0	6.0	6.7	5.3	924.0
25 – 29	436490.0	223194.0	213296.0	5.7	6.3	5.2	956.0
30 – 34	441560.0	225647.0	215913.0	5.8	6.4	5.3	957.0
35 – 39	507843.0	262068.0	245775.0	6.59999990463	7.4	6.0	938.0
40 – 44	635640.0	333111.0	302529.0	8.3	9.5	7.4	908.0
45 – 49	576046.0	298295.0	277751.0	7.5	8.5	6.8	931.0
50 – 54	493333.0	244999.0	248334.0	6.5	7.0	6.0	1014.0
55 – 59	265529.0	120089.0	145440.0	3.5	3.4	3.5	1211.0
60 – 64	539114.0	219594.0	319520.0	7.1	6.2	7.8	1455.0
65 – 69	470074.0	184730.0	285344.0	6.2	5.2	7.0	1545.0
70 – 74	523953.0	180347.0	343606.0	6.9	5.1	8.4	1905.0
75 – 79	341832.0	81167.0	260665.0	4.5	2.3	6.3	3211.0
80 – 84	135258.0	23943.0	111315.0	1.8	0.7	2.7	4649.0
85 и более	101640.0	12079.0	89561.0	1.3	0.40000000596	2.2	7415.0
возраст не указан	2577.0	1234.0	1343.0	0.0	0.0	0.0	1088.0
Медианный возраст	42.2	38.9	45.5				
Из общей численности - население в возрасте:							
моложе трудоспособного	1294030.0	664922.0	629108.0	17.0	18.9	15.3	946.0
трудоспособном	4079756.0	2159572.0	1920184.0	53.4	61.2	46.8	889.0
старше трудоспособного	2257311.0	701860.0	1555451.0	29.6	19.9	37.9	2216.0
0 – 13 лет	1041393.0	534645.0	506748.0	13.6	15.2	12.3	948.0
0 – 17 лет	1514902.0	781137.0	733765.0	19.8	22.1	17.9	939.0
16 – 29 лет	1305245.0	675363.0	629882.0	17.1	19.1	15.3	933.0
Белгородская область							
Все население	1511620.0	693509.0	818111.0	100.0	100.0	100.0	1180.0
в том числе в возрасте, лет:							
0 – 4	59690.0	30507.0	29183.0	3.9	4.4	3.6	957.0
5 – 9	71387.0	36552.0	34835.0	4.7	5.3	4.3	953.0
10 – 14	106744.0	54328.0	52416.0	7.1	7.8	6.4	965.0
15 – 19	131160.0	64612.0	66548.0	8.7	9.3	8.1	1030.0
20 – 24	107324.0	52434.0	54890.0	7.1	7.6	6.7	1047.0
25 – 29	102837.0	50419.0	52418.0	6.8	7.3	6.4	1040.0
30 – 34	96529.0	47270.0	49259.0	6.4	6.8	6.0	1042.0
35 – 39	106828.0	51466.0	55362.0	7.1	7.4	6.8	1076.0
40 – 44	132492.0	64062.0	68430.0	8.8	9.2	8.4	1068.0
45 – 49	118658.0	56812.0	61846.0	7.8	8.2	7.6	1089.0
50 – 54	104002.0	49295.0	54707.0	6.9	7.1	6.7	1110.0
55 – 59	50908.0	22544.0	28364.0	3.4	3.3	3.5	1258.0
60 – 64	95119.0	39093.0	56026.0	6.3	5.6	6.8	1433.0
65 – 69	69799.0	28586.0	41213.0	4.6	4.1	5.0	1442.0
70 – 74	72630.0	25827.0	46803.0	4.8	3.7	5.7	1812.0
75 – 79	48827.0	12892.0	35935.0	3.2	1.9	4.4	2787.0
80 – 84	20075.0	4144.0	15931.0	1.3	0.6	1.9	3844.0
85 и более	16087.0	2428.0	13659.0	1.1	0.4	1.7	5626.0
возраст не указан	524.0	238.0	286.0	0.0	0.0	0.0	1202.0
Медианный возраст	38.9	36.1	41.0				
Из общей численности - население в возрасте:							
моложе трудоспособного	264963.0	135148.0	129815.0	17.6	19.5	15.9	961.0
трудоспособном	895232.0	445153.0	450079.0	59.2	64.2	55.0	1011.0
старше трудоспособного	350901.0	112970.0	237931.0	23.2	16.3	29.1	2106.0
0 – 13 лет	212164.0	108304.0	103860.0	14.0	15.6	12.7	959.0
0 – 17 лет	318633.0	162249.0	156384.0	21.1	23.4	19.1	964.0
16 – 29 лет	314179.0	153704.0	160475.0	20.8	22.2	19.6	1044.0
Городское население	985584.0	453070.0	532514.0	100.0	100.0	100.0	1175.0
в том числе в возрасте, лет:							
0 – 4	38792.0	19822.0	18970.0	3.9	4.4	3.6	957.0
5 – 9	45375.0	23318.0	22057.0	4.6	5.1	4.1	946.0
10 – 14	68990.0	35134.0	33856.0	7.0	7.8	6.4	964.0
15 – 19	95923.0	46437.0	49486.0	9.7	10.2	9.3	1066.0
20 – 24	78956.0	37995.0	40961.0	8.0	8.4	7.7	1078.0
25 – 29	73798.0	35994.0	37804.0	7.5	7.9	7.1	1050.0
30 – 34	65983.0	32047.0	33936.0	6.7	7.1	6.4	1059.0
35 – 39	71665.0	33415.0	38250.0	7.3	7.4	7.2	1145.0
40 – 44	91188.0	42221.0	48967.0	9.3	9.3	9.2	1160.0
45 – 49	83491.0	38558.0	44933.0	8.5	8.5	8.4	1165.0
50 – 54	72388.0	33646.0	38742.0	7.3	7.4	7.3	1151.0
55 – 59	33495.0	14845.0	18650.0	3.4	3.3	3.5	1256.0
60 – 64	54378.0	22262.0	32116.0	5.5	4.9	6.0	1443.0
65 – 69	37255.0	15221.0	22034.0	3.8	3.4	4.1	1448.0
70 – 74	33917.0	12089.0	21828.0	3.4	2.7	4.1	1806.0
75 – 79	23317.0	6490.0	16827.0	2.4	1.4	3.2	2593.0
80 – 84	9499.0	2198.0	7301.0	1.0	0.5	1.4	3322.0
85 и более	6772.0	1193.0	5579.0	0.7	0.3	1.0	4676.0
возраст не указан	402.0	185.0	217.0	0.0	0.0	0.0	1173.0
Медианный возраст	36.9	34.3	39.0				
Из общей численности - население в возрасте:							
моложе трудоспособного	171518.0	87450.0	84068.0	17.4	19.3	15.8	961.0
трудоспособном	629876.0	305982.0	323894.0	63.9	67.6	60.8	1059.0
старше трудоспособного	183788.0	59453.0	124335.0	18.7	13.1	23.4	2091.0
0 – 13 лет	136318.0	69710.0	66608.0	13.8	15.4	12.5	956.0
0 – 17 лет	210485.0	106767.0	103718.0	21.4	23.6	19.5	971.0
16 – 29 лет	230316.0	111250.0	119066.0	23.4	24.6	22.4	1070.0
Сельское население	526036.0	240439.0	285597.0	100.0	100.0	100.0	1188.0
в том числе в возрасте, лет:							
0 – 4	20898.0	10685.0	10213.0	4.0	4.4	3.6	956.0
5 – 9	26012.0	13234.0	12778.0	4.9	5.5	4.5	966.0
10 – 14	37754.0	19194.0	18560.0	7.2	8.0	6.5	967.0
15 – 19	35237.0	18175.0	17062.0	6.7	7.6	6.0	939.0
20 – 24	28368.0	14439.0	13929.0	5.4	6.0	4.9	965.0
25 – 29	29039.0	14425.0	14614.0	5.5	6.0	5.1	1013.0
30 – 34	30546.0	15223.0	15323.0	5.8	6.3	5.4	1007.0
35 – 39	35163.0	18051.0	17112.0	6.7	7.5	6.0	948.0
40 – 44	41304.0	21841.0	19463.0	7.9	9.1	6.8	891.0
45 – 49	35167.0	18254.0	16913.0	6.7	7.6	5.9	927.0
50 – 54	31614.0	15649.0	15965.0	6.0	6.5	5.6	1020.0
55 – 59	17413.0	7699.0	9714.0	3.3	3.2	3.4	1262.0
60 – 64	40741.0	16831.0	23910.0	7.7	7.0	8.4	1421.0
65 – 69	32544.0	13365.0	19179.0	6.2	5.6	6.7	1435.0
70 – 74	38713.0	13738.0	24975.0	7.4	5.7	8.7	1818.0
75 – 79	25510.0	6402.0	19108.0	4.8	2.7	6.7	2985.0
80 – 84	10576.0	1946.0	8630.0	2.0	0.8	3.0	4435.0
85 и более	9315.0	1235.0	8080.0	1.8	0.5	2.8	6543.0
возраст не указан	122.0	53.0	69.0	0.0	0.0	0.0	1302.0
Медианный возраст	42.4	39.2	46.0				
Из общей численности - население в возрасте:							
моложе трудоспособного	93445.0	47698.0	45747.0	17.8	19.8	16.0	959.0
трудоспособном	265356.0	139171.0	126185.0	50.4	57.9	44.2	907.0
старше трудоспособного	167113.0	53517.0	113596.0	31.8	22.3	39.8	2123.0
0 – 13 лет	75846.0	38594.0	37252.0	14.4	16.1	13.0	965.0
0 – 17 лет	108148.0	55482.0	52666.0	20.6	23.1	18.4	949.0
16 – 29 лет	83863.0	42454.0	41409.0	15.9	17.7	14.5	975.0
Брянская область							
Все население	1378941.0	629601.0	749340.0	100.0	100.0	100.0	1190.0
в том числе в возрасте, лет:							
0 – 4	55439.0	28416.0	27023.0	4.0	4.5	3.6	951.0
5 – 9	67449.0	34375.0	33074.0	4.9	5.5	4.4	962.0
10 – 14	99747.0	51447.0	48300.0	7.2	8.2	6.5	939.0
15 – 19	112889.0	55663.0	57226.0	8.2	8.8	7.6	1028.0
20 – 24	96164.0	46794.0	49370.0	7.0	7.4	6.6	1055.0
25 – 29	92898.0	46131.0	46767.0	6.7	7.3	6.2	1014.0
30 – 34	90440.0	44950.0	45490.0	6.6	7.1	6.1	1012.0
35 – 39	96481.0	47929.0	48552.0	7.0	7.6	6.5	1013.0
40 – 44	116465.0	57586.0	58879.0	8.5	9.1	7.9	1022.0
45 – 49	107431.0	51996.0	55435.0	7.8	8.3	7.4	1066.0
50 – 54	94184.0	43930.0	50254.0	6.8	7.0	6.7	1144.0
55 – 59	47803.0	21193.0	26610.0	3.5	3.4	3.6	1256.0
60 – 64	78841.0	31565.0	47276.0	5.7	5.0	6.3	1498.0
65 – 69	66479.0	24943.0	41536.0	4.8	4.0	5.5	1665.0
70 – 74	74509.0	24956.0	49553.0	5.4	4.0	6.6	1986.0
75 – 79	49322.0	11794.0	37528.0	3.6	1.9	5.0	3182.0
80 – 84	19847.0	3971.0	15876.0	1.4	0.6	2.1	3998.0
85 и более	12433.0	1903.0	10530.0	0.9	0.3	1.4	5533.0
возраст не указан	120.0	59.0	61.0	0.0	0.0	0.0	1034.0
Медианный возраст	39.0	35.8	41.6				
Из общей численности - население в возрасте:							
моложе трудоспособного	247088.0	126750.0	120338.0	17.9	20.1	16.1	949.0
трудоспособном	803692.0	403660.0	400032.0	58.3	64.1	53.4	991.0
старше трудоспособного	328041.0	99132.0	228909.0	23.8	15.8	30.5	2309.0
0 – 13 лет	199669.0	102454.0	97215.0	14.5	16.3	13.0	949.0
0 – 17 лет	293692.0	150370.0	143322.0	21.3	23.9	19.1	953.0
16 – 29 лет	277498.0	136076.0	141422.0	20.1	21.6	18.9	1039.0
Городское население	943382.0	428935.0	514447.0	100.0	100.0	100.0	1199.0
в том числе в возрасте, лет:							
0 – 4	37656.0	19305.0	18351.0	4.0	4.5	3.6	951.0
5 – 9	44640.0	22858.0	21782.0	4.7	5.3	4.2	953.0
10 – 14	67237.0	34645.0	32592.0	7.1	8.1	6.3	941.0
15 – 19	82476.0	40352.0	42124.0	8.7	9.4	8.2	1044.0
20 – 24	70760.0	34151.0	36609.0	7.5	8.0	7.1	1072.0
25 – 29	67945.0	33411.0	34534.0	7.2	7.8	6.7	1034.0
30 – 34	63935.0	31183.0	32752.0	6.8	7.3	6.4	1050.0
35 – 39	67146.0	32270.0	34876.0	7.1	7.5	6.8	1081.0
40 – 44	82344.0	38869.0	43475.0	8.7	9.1	8.39999961853	1119.0
45 – 49	77933.0	36072.0	41861.0	8.3	8.4	8.1	1160.0
50 – 54	69346.0	31408.0	37938.0	7.4	7.3	7.4	1208.0
55 – 59	33996.0	14875.0	19121.0	3.6	3.5	3.7	1285.0
60 – 64	51695.0	20467.0	31228.0	5.5	4.8	6.1	1526.0
65 – 69	40096.0	14987.0	25109.0	4.2	3.5	4.9	1675.0
70 – 74	40443.0	13496.0	26947.0	4.3	3.1	5.2	1997.0
75 – 79	27916.0	6983.0	20933.0	3.0	1.6	4.1	2998.0
80 – 84	10917.0	2347.0	8570.0	1.2	0.5	1.7	3651.0
85 и более	6817.0	1217.0	5600.0	0.7	0.3	1.1	4601.0
возраст не указан	84.0	39.0	45.0	0.0	0.0	0.0	1154.0
Медианный возраст	37.9	34.8	40.4				
Из общей численности - население в возрасте:							
моложе трудоспособного	166611.0	85491.0	81120.0	17.7	19.9	15.8	949.0
трудоспособном	579682.0	283908.0	295774.0	61.4	66.2	57.5	1042.0
старше трудоспособного	197005.0	59497.0	137508.0	20.9	13.9	26.7	2311.0
0 – 13 лет	133771.0	68780.0	64991.0	14.2	16.0	12.6	945.0
0 – 17 лет	200376.0	102416.0	97960.0	21.2	23.9	19.0	956.0
16 – 29 лет	204103.0	99231.0	104872.0	21.6	23.1	20.4	1057.0
Сельское население	435559.0	200666.0	234893.0	100.0	100.0	100.0	1171.0
в том числе в возрасте, лет:							
0 – 4	17783.0	9111.0	8672.0	4.1	4.59999990463	3.7	952.0
5 – 9	22809.0	11517.0	11292.0	5.30000019073	5.7	4.8	980.0
10 – 14	32510.0	16802.0	15708.0	7.5	8.4	6.7	935.0
15 – 19	30413.0	15311.0	15102.0	7.0	7.6	6.4	986.0
20 – 24	25404.0	12643.0	12761.0	5.8	6.3	5.4	1009.0
25 – 29	24953.0	12720.0	12233.0	5.7	6.3	5.2	962.0
30 – 34	26505.0	13767.0	12738.0	6.1	6.9	5.4	925.0
35 – 39	29335.0	15659.0	13676.0	6.7	7.8	5.8	873.0
40 – 44	34121.0	18717.0	15404.0	7.8	9.3	6.6	823.0
45 – 49	29498.0	15924.0	13574.0	6.8	7.9	5.8	852.0
50 – 54	24838.0	12522.0	12316.0	5.7	6.2	5.30000019073	984.0
55 – 59	13807.0	6318.0	7489.0	3.2	3.20000004768	3.2	1185.0
60 – 64	27146.0	11098.0	16048.0	6.2	5.5	6.8	1446.0
65 – 69	26383.0	9956.0	16427.0	6.1	5.0	7.0	1650.0
70 – 74	34066.0	11460.0	22606.0	7.8	5.7	9.6	1973.0
75 – 79	21406.0	4811.0	16595.0	4.9	2.4	7.1	3449.0
80 – 84	8930.0	1624.0	7306.0	2.0	0.8	3.1	4499.0
85 и более	5616.0	686.0	4930.0	1.3	0.40000000596	2.1	7187.0
возраст не указан	36.0	20.0	16.0	0.0	0.0	0.0	800.0
Медианный возраст	41.2	37.8	45.0				
Из общей численности - население в возрасте:							
моложе трудоспособного	80477.0	41259.0	39218.0	18.5	20.6	16.7	951.0
трудоспособном	224010.0	119752.0	104258.0	51.4	59.7	44.4	871.0
старше трудоспособного	131036.0	39635.0	91401.0	30.1	19.7	38.9	2306.0
0 – 13 лет	65898.0	33674.0	32224.0	15.1	16.8	13.7	957.0
0 – 17 лет	93316.0	47954.0	45362.0	21.4	23.9	19.3	946.0
16 – 29 лет	73395.0	36845.0	36550.0	16.9	18.4	15.6	992.0
Владимирская область							
Все население	1523990.0	690012.0	833978.0	100.0	100.0	100.0	1209.0
в том числе в возрасте, лет:							
0 – 4	57416.0	29404.0	28012.0	3.8	4.3	3.4	953.0
5 – 9	61983.0	31776.0	30207.0	4.1	4.6	3.6	951.0
10 – 14	99405.0	50435.0	48970.0	6.5	7.3	5.9	971.0
15 – 19	126243.0	64796.0	61447.0	8.3	9.4	7.4	948.0
20 – 24	110493.0	55951.0	54542.0	7.2	8.1	6.5	975.0
25 – 29	103924.0	52388.0	51536.0	6.8	7.6	6.2	984.0
30 – 34	96013.0	47346.0	48667.0	6.3	6.9	5.8	1028.0
35 – 39	103811.0	50103.0	53708.0	6.8	7.3	6.4	1072.0
40 – 44	131198.0	62485.0	68713.0	8.6	9.0	8.2	1100.0
45 – 49	126546.0	59025.0	67521.0	8.3	8.5	8.1	1144.0
50 – 54	111210.0	50534.0	60676.0	7.3	7.3	7.3	1201.0
55 – 59	59603.0	25512.0	34091.0	3.9	3.7	4.1	1336.0
60 – 64	96451.0	37283.0	59168.0	6.3	5.4	7.1	1587.0
65 – 69	80492.0	29718.0	50774.0	5.3	4.3	6.1	1709.0
70 – 74	75451.0	24548.0	50903.0	5.0	3.6	6.1	2074.0
75 – 79	51196.0	12943.0	38253.0	3.4	1.9	4.6	2955.0
80 – 84	19039.0	3576.0	15463.0	1.2	0.5	1.79999995232	4324.0
85 и более	12298.0	1628.0	10670.0	0.8	0.2	1.3	6554.0
