5. ОБЕСПЕЧЕННОСТЬ РАЗЛИЧНЫМИ ВИДАМИ БЛАГОУСТРОЙСТВА ЖИЛОГО ПОМЕЩЕНИЯ НАСЕЛЕНИЯ ЧАСТНЫХ ДОМОХОЗЯЙСТВ,
ПРОЖИВАЮЩИХ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ1) ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																
																
	Всего домохозяйств	число домохозяйств, проживающих в помещениях, оборудованных														Число домохозяйств, не указавших виды благоустройства
Домохозяйства, проживающие в индивидуальных домах и квартирах	511438.0	509166.0	49811.0	430359.0	12588.0	239039.0	229210.0	35391.0	334072.0	319415.0	303651.0	171548.0	95151.0	260069.0	159.0	1346.0
в том числе:																
в индивидуальных домах	240892.0	240045.0	2438.0	212191.0	11070.0	3410.0	199679.0	32466.0	76973.0	64786.0	53441.0	1658.0	29480.0	28828.0	146.0	307.0
в отдельных квартирах	267382.0	266071.0	47123.0	215554.0	1428.0	234365.0	28022.0	2704.0	255040.0	252789.0	248533.0	169021.0	65028.0	229845.0	11.0	933.0
в коммунальных квартирах	3164.0	3050.0	250.0	2614.0	90.0	1264.0	1509.0	221.0	2059.0	1840.0	1677.0	869.0	643.0	1396.0	2.0	106.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	318392.0	316767.0	47762.0	263210.0	2556.0	227213.0	80502.0	7238.0	272799.0	264308.0	256370.0	166483.0	74047.0	234980.0	56.0	1084.0
в том числе:																
в индивидуальных домах	76389.0	76059.0	667.0	71530.0	1771.0	2142.0	66852.0	5907.0	37688.0	30892.0	26108.0	1065.0	17047.0	16609.0	50.0	136.0
в отдельных квартирах	239373.0	238166.0	46866.0	189467.0	731.0	223899.0	12470.0	1180.0	233255.0	231760.0	228747.0	164582.0	56433.0	217066.0	4.0	866.0
в коммунальных квартирах	2630.0	2542.0	229.0	2213.0	54.0	1172.0	1180.0	151.0	1856.0	1656.0	1515.0	836.0	567.0	1305.0	2.0	82.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	193046.0	192399.0	2049.0	167149.0	10032.0	11826.0	148708.0	28153.0	61273.0	55107.0	47281.0	5065.0	21104.0	25089.0	103.0	262.0
в том числе:																
в индивидуальных домах	164503.0	163986.0	1771.0	140661.0	9299.0	1268.0	132827.0	26559.0	39285.0	33894.0	27333.0	593.0	12433.0	12219.0	96.0	171.0
в отдельных квартирах	28009.0	27905.0	257.0	26087.0	697.0	10466.0	15552.0	1524.0	21785.0	21029.0	19786.0	4439.0	8595.0	12779.0	7.0	67.0
в коммунальных квартирах	534.0	508.0	21.0	401.0	36.0	92.0	329.0	70.0	203.0	184.0	162.0	33.0	76.0	91.0	-	24.0
Брянская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	487702.0	486243.0	8316.0	343607.0	116777.0	200556.0	157501.0	127459.0	316668.0	268074.0	242239.0	105278.0	120496.0	217739.0	79.0	560.0
в том числе:																
в индивидуальных домах	241730.0	241137.0	1296.0	121432.0	103780.0	2274.0	124258.0	114679.0	90449.0	52571.0	37039.0	820.0	29069.0	26467.0	62.0	122.0
в отдельных квартирах	243009.0	242166.0	6973.0	219557.0	12775.0	196604.0	32370.0	12427.0	223826.0	213458.0	203806.0	103858.0	90641.0	190026.0	17.0	419.0
в коммунальных квартирах	2963.0	2940.0	47.0	2618.0	222.0	1678.0	873.0	353.0	2393.0	2045.0	1394.0	600.0	786.0	1246.0	-	19.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	317886.0	316934.0	7439.0	280214.0	22646.0	184528.0	102808.0	27967.0	259926.0	227020.0	209500.0	100124.0	100316.0	194197.0	47.0	403.0
в том числе:																
в индивидуальных домах	107454.0	107192.0	727.0	83498.0	17783.0	1658.0	82423.0	22153.0	60315.0	34562.0	24281.0	614.0	19895.0	18076.0	31.0	61.0
в отдельных квартирах	207684.0	207017.0	6665.0	194225.0	4722.0	181279.0	19574.0	5525.0	197369.0	190530.0	183896.0	98936.0	79667.0	174930.0	16.0	323.0
в коммунальных квартирах	2748.0	2725.0	47.0	2491.0	141.0	1591.0	811.0	289.0	2242.0	1928.0	1323.0	574.0	754.0	1191.0	-	19.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	169816.0	169309.0	877.0	63393.0	94131.0	16028.0	54693.0	99492.0	56742.0	41054.0	32739.0	5154.0	20180.0	23542.0	32.0	157.0
в том числе:																
в индивидуальных домах	134276.0	133945.0	569.0	37934.0	85997.0	616.0	41835.0	92526.0	30134.0	18009.0	12758.0	206.0	9174.0	8391.0	31.0	61.0
в отдельных квартирах	35325.0	35149.0	308.0	25332.0	8053.0	15325.0	12796.0	6902.0	26457.0	22928.0	19910.0	4922.0	10974.0	15096.0	1.0	96.0
в коммунальных квартирах	215.0	215.0	-	127.0	81.0	87.0	62.0	64.0	151.0	117.0	71.0	26.0	32.0	55.0	-	-
Владимирская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	556998.0	553957.0	15279.0	399160.0	120741.0	367490.0	83038.0	103172.0	456762.0	414823.0	380091.0	242414.0	79050.0	312200.0	54.0	1904.0
в том числе:																
в индивидуальных домах	117956.0	117281.0	2532.0	39314.0	66194.0	3116.0	45965.0	69063.0	45559.0	20880.0	13691.0	934.0	7009.0	6314.0	27.0	322.0
в отдельных квартирах	429070.0	426866.0	12139.0	351984.0	53623.0	356606.0	35920.0	33273.0	402367.0	385715.0	361545.0	238439.0	70677.0	301854.0	27.0	1434.0
в коммунальных квартирах	9972.0	9810.0	608.0	7862.0	924.0	7768.0	1153.0	836.0	8836.0	8228.0	4855.0	3041.0	1364.0	4032.0	-	148.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	435599.0	433179.0	12642.0	371054.0	42660.0	337622.0	57315.0	37028.0	391436.0	366497.0	339317.0	230401.0	72082.0	294470.0	42.0	1597.0
в том числе:																
в индивидуальных домах	56210.0	55880.0	1496.0	31513.0	20055.0	2211.0	32888.0	20815.0	27681.0	13605.0	9276.0	722.0	5346.0	4852.0	18.0	167.0
в отдельных квартирах	370178.0	368240.0	10557.0	331985.0	21984.0	328020.0	23417.0	15612.0	355394.0	345064.0	325439.0	226777.0	65394.0	285731.0	24.0	1292.0
в коммунальных квартирах	9211.0	9059.0	589.0	7556.0	621.0	7391.0	1010.0	601.0	8361.0	7828.0	4602.0	2902.0	1342.0	3887.0	-	138.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	121399.0	120778.0	2637.0	28106.0	78081.0	29868.0	25723.0	66144.0	65326.0	48326.0	40774.0	12013.0	6968.0	17730.0	12.0	307.0
в том числе:																
в индивидуальных домах	61746.0	61401.0	1036.0	7801.0	46139.0	905.0	13077.0	48248.0	17878.0	7275.0	4415.0	212.0	1663.0	1462.0	9.0	155.0
в отдельных квартирах	58892.0	58626.0	1582.0	19999.0	31639.0	28586.0	12503.0	17661.0	46973.0	40651.0	36106.0	11662.0	5283.0	16123.0	3.0	142.0
в коммунальных квартирах	761.0	751.0	19.0	306.0	303.0	377.0	143.0	235.0	475.0	400.0	253.0	139.0	22.0	145.0	-	10.0
Воронежская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	848759.0	842005.0	44115.0	504505.0	258194.0	340278.0	244650.0	247719.0	532648.0	499848.0	465802.0	213193.0	177062.0	374143.0	204.0	4596.0
в том числе:																
в индивидуальных домах	400711.0	398231.0	11101.0	150539.0	209718.0	3616.0	176478.0	212184.0	128179.0	106146.0	89171.0	1784.0	48640.0	44995.0	163.0	1209.0
в отдельных квартирах	436412.0	432546.0	32769.0	344224.0	47612.0	331682.0	62897.0	34697.0	394417.0	384276.0	368289.0	209917.0	122120.0	322038.0	36.0	3010.0
в коммунальных квартирах	11636.0	11228.0	245.0	9742.0	864.0	4980.0	5275.0	838.0	10052.0	9426.0	8342.0	1492.0	6302.0	7110.0	5.0	377.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	498682.0	493820.0	33710.0	404008.0	43719.0	322949.0	122925.0	42391.0	430801.0	412702.0	390896.0	207137.0	147970.0	341569.0	80.0	3759.0
в том числе:																
в индивидуальных домах	115019.0	113976.0	2979.0	76537.0	27418.0	2113.0	78485.0	30494.0	66200.0	55221.0	46543.0	1053.0	31422.0	28806.0	44.0	664.0
в отдельных квартирах	373068.0	369624.0	30514.0	318294.0	15815.0	315970.0	39700.0	11400.0	354968.0	348384.0	336301.0	204659.0	110358.0	305809.0	31.0	2749.0
в коммунальных квартирах	10595.0	10220.0	217.0	9177.0	486.0	4866.0	4740.0	497.0	9633.0	9097.0	8052.0	1425.0	6190.0	6954.0	5.0	346.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	350077.0	348185.0	10405.0	100497.0	214475.0	17329.0	121725.0	205328.0	101847.0	87146.0	74906.0	6056.0	29092.0	32574.0	124.0	837.0
в том числе:																
в индивидуальных домах	285692.0	284255.0	8122.0	74002.0	182300.0	1503.0	97993.0	181690.0	61979.0	50925.0	42628.0	731.0	17218.0	16189.0	119.0	545.0
в отдельных квартирах	63344.0	62922.0	2255.0	25930.0	31797.0	15712.0	23197.0	23297.0	39449.0	35892.0	31988.0	5258.0	11762.0	16229.0	5.0	261.0
в коммунальных квартирах	1041.0	1008.0	28.0	565.0	378.0	114.0	535.0	341.0	419.0	329.0	290.0	67.0	112.0	156.0	-	31.0
Ивановская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	438168.0	426315.0	14964.0	302167.0	76293.0	263593.0	91704.0	74563.0	293172.0	278699.0	249602.0	120794.0	101593.0	211874.0	65.0	10717.0
в том числе:																
в индивидуальных домах	123404.0	121860.0	3787.0	50970.0	53283.0	3145.0	66513.0	55298.0	19997.0	10454.0	6413.0	899.0	3054.0	2931.0	44.0	1034.0
в отдельных квартирах	305783.0	295702.0	10985.0	243493.0	22578.0	254348.0	23185.0	18625.0	266434.0	261734.0	239964.0	117865.0	97313.0	206304.0	21.0	9476.0
в коммунальных квартирах	8981.0	8753.0	192.0	7704.0	432.0	6100.0	2006.0	640.0	6741.0	6511.0	3225.0	2030.0	1226.0	2639.0	-	207.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	359902.0	348696.0	12140.0	282565.0	32673.0	242815.0	72297.0	33377.0	261302.0	252073.0	227464.0	114668.0	93854.0	198975.0	41.0	10504.0
в том числе:																
в индивидуальных домах	80217.0	79014.0	2778.0	46148.0	22820.0	2442.0	53325.0	23587.0	12517.0	6415.0	3730.0	764.0	1977.0	1870.0	26.0	948.0
в отдельных квартирах	270903.0	261126.0	9171.0	228797.0	9494.0	234340.0	17044.0	9212.0	242136.0	239225.0	220563.0	111885.0	90669.0	194487.0	15.0	9350.0
в коммунальных квартирах	8782.0	8556.0	191.0	7620.0	359.0	6033.0	1928.0	578.0	6649.0	6433.0	3171.0	2019.0	1208.0	2618.0	-	206.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	78266.0	77619.0	2824.0	19602.0	43620.0	20778.0	19407.0	41186.0	31870.0	26626.0	22138.0	6126.0	7739.0	12899.0	24.0	213.0
в том числе:																
в индивидуальных домах	43187.0	42846.0	1009.0	4822.0	30463.0	703.0	13188.0	31711.0	7480.0	4039.0	2683.0	135.0	1077.0	1061.0	18.0	86.0
в отдельных квартирах	34880.0	34576.0	1814.0	14696.0	13084.0	20008.0	6141.0	9413.0	24298.0	22509.0	19401.0	5980.0	6644.0	11817.0	6.0	126.0
в коммунальных квартирах	199.0	197.0	1.0	84.0	73.0	67.0	78.0	62.0	92.0	78.0	54.0	11.0	18.0	21.0	-	1.0
Калужская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	370267.0	369117.0	11479.0	262724.0	87435.0	235844.0	52799.0	80210.0	282071.0	270549.0	255331.0	123005.0	117755.0	236403.0	45.0	601.0
в том числе:																
в индивидуальных домах	82587.0	82297.0	1157.0	23900.0	52086.0	1619.0	26121.0	54821.0	20194.0	13499.0	9070.0	462.0	6455.0	6187.0	31.0	86.0
в отдельных квартирах	283565.0	282749.0	10083.0	235514.0	34901.0	231202.0	25989.0	25036.0	258402.0	253758.0	243495.0	121417.0	109708.0	227594.0	14.0	478.0
в коммунальных квартирах	4115.0	4071.0	239.0	3310.0	448.0	3023.0	689.0	353.0	3475.0	3292.0	2766.0	1126.0	1592.0	2622.0	-	37.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	267860.0	267152.0	9414.0	233036.0	23336.0	213828.0	34014.0	18858.0	236706.0	231585.0	221731.0	113864.0	99982.0	210503.0	12.0	441.0
в том числе:																
в индивидуальных домах	30963.0	30880.0	481.0	18889.0	10717.0	1132.0	18938.0	10836.0	11104.0	7944.0	5608.0	340.0	4291.0	4125.0	8.0	38.0
в отдельных квартирах	233164.0	232575.0	8712.0	210971.0	12365.0	209836.0	14443.0	7822.0	222367.0	220561.0	213512.0	112498.0	94154.0	203899.0	4.0	373.0
в коммунальных квартирах	3733.0	3697.0	221.0	3176.0	254.0	2860.0	633.0	200.0	3235.0	3080.0	2611.0	1026.0	1537.0	2479.0	-	30.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	102407.0	101965.0	2065.0	29688.0	64099.0	22016.0	18785.0	61352.0	45365.0	38964.0	33600.0	9141.0	17773.0	25900.0	33.0	160.0
в том числе:																
в индивидуальных домах	51624.0	51417.0	676.0	5011.0	41369.0	487.0	7183.0	43985.0	9090.0	5555.0	3462.0	122.0	2164.0	2062.0	23.0	48.0
в отдельных квартирах	50401.0	50174.0	1371.0	24543.0	22536.0	21366.0	11546.0	17214.0	36035.0	33197.0	29983.0	8919.0	15554.0	23695.0	10.0	105.0
в коммунальных квартирах	382.0	374.0	18.0	134.0	194.0	163.0	56.0	153.0	240.0	212.0	155.0	100.0	55.0	143.0	-	7.0
Костромская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	274689.0	273438.0	14296.0	127010.0	117420.0	134517.0	35878.0	106603.0	190252.0	154678.0	136853.0	93358.0	30158.0	120047.0	24.0	720.0
в том числе:																
в индивидуальных домах	68156.0	67779.0	1525.0	13479.0	44190.0	1876.0	17474.0	50892.0	24379.0	9819.0	5787.0	422.0	3205.0	3072.0	12.0	151.0
в отдельных квартирах	203673.0	202845.0	12552.0	111450.0	72752.0	130592.0	17979.0	55385.0	163371.0	142559.0	129832.0	92320.0	26407.0	115928.0	12.0	528.0
в коммунальных квартирах	2860.0	2814.0	219.0	2081.0	478.0	2049.0	425.0	326.0	2502.0	2300.0	1234.0	616.0	546.0	1047.0	-	41.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	180692.0	179939.0	12765.0	111015.0	51394.0	120982.0	24616.0	36097.0	147027.0	132557.0	119456.0	86705.0	25674.0	109415.0	8.0	530.0
в том числе:																
в индивидуальных домах	27743.0	27610.0	1089.0	8557.0	15633.0	1419.0	11096.0	16643.0	11979.0	5710.0	3388.0	337.0	2045.0	1966.0	2.0	71.0
в отдельных квартирах	150313.0	149737.0	11472.0	100495.0	35362.0	117624.0	13143.0	19190.0	132730.0	124695.0	114943.0	85810.0	23100.0	106473.0	6.0	418.0
в коммунальных квартирах	2636.0	2592.0	204.0	1963.0	399.0	1939.0	377.0	264.0	2318.0	2152.0	1125.0	558.0	529.0	976.0	-	41.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	93997.0	93499.0	1531.0	15995.0	66026.0	13535.0	11262.0	70506.0	43225.0	22121.0	17397.0	6653.0	4484.0	10632.0	16.0	190.0
в том числе:																
в индивидуальных домах	40413.0	40169.0	436.0	4922.0	28557.0	457.0	6378.0	34249.0	12400.0	4109.0	2399.0	85.0	1160.0	1106.0	10.0	80.0
в отдельных квартирах	53360.0	53108.0	1080.0	10955.0	37390.0	12968.0	4836.0	36195.0	30641.0	17864.0	14889.0	6510.0	3307.0	9455.0	6.0	110.0
в коммунальных квартирах	224.0	222.0	15.0	118.0	79.0	110.0	48.0	62.0	184.0	148.0	109.0	58.0	17.0	71.0	-	-
Курская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	434741.0	432046.0	30678.0	226511.0	155580.0	176047.0	100170.0	151079.0	273332.0	250346.0	236885.0	137852.0	56506.0	186248.0	137.0	1447.0
в том числе:																
в индивидуальных домах	214601.0	213323.0	5185.0	65317.0	128133.0	2255.0	74128.0	133791.0	68434.0	51137.0	44307.0	969.0	23720.0	21787.0	113.0	421.0
в отдельных квартирах	216639.0	215285.0	24625.0	159130.0	27112.0	171598.0	25148.0	16970.0	201871.0	196389.0	189938.0	135056.0	32202.0	162267.0	21.0	973.0
в коммунальных квартирах	3501.0	3438.0	868.0	2064.0	335.0	2194.0	894.0	318.0	3027.0	2820.0	2640.0	1827.0	584.0	2194.0	3.0	53.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	248282.0	246685.0	23360.0	182038.0	35798.0	164621.0	51663.0	28241.0	216629.0	204328.0	195573.0	131118.0	42240.0	166887.0	68.0	1074.0
в том числе:																
в индивидуальных домах	56352.0	56007.0	1384.0	31908.0	20226.0	1186.0	34497.0	19289.0	34178.0	26067.0	22678.0	562.0	14438.0	13002.0	46.0	135.0
в отдельных квартирах	188829.0	187633.0	21206.0	148170.0	15370.0	161374.0	16380.0	8771.0	179696.0	175702.0	170508.0	128853.0	27282.0	151865.0	19.0	891.0
в коммунальных квартирах	3101.0	3045.0	770.0	1960.0	202.0	2061.0	786.0	181.0	2755.0	2559.0	2387.0	1703.0	520.0	2020.0	3.0	48.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	186459.0	185361.0	7318.0	44473.0	119782.0	11426.0	48507.0	122838.0	56703.0	46018.0	41312.0	6734.0	14266.0	19361.0	69.0	373.0
в том числе:																
в индивидуальных домах	158249.0	157316.0	3801.0	33409.0	107907.0	1069.0	39631.0	114502.0	34256.0	25070.0	21629.0	407.0	9282.0	8785.0	67.0	286.0
в отдельных квартирах	27810.0	27652.0	3419.0	10960.0	11742.0	10224.0	8768.0	8199.0	22175.0	20687.0	19430.0	6203.0	4920.0	10402.0	2.0	82.0
в коммунальных квартирах	400.0	393.0	98.0	104.0	133.0	133.0	108.0	137.0	272.0	261.0	253.0	124.0	64.0	174.0	-	5.0
Липецкая область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	435351.0	432985.0	14165.0	358995.0	37489.0	205506.0	166536.0	53804.0	327769.0	306895.0	285734.0	172611.0	88624.0	248626.0	105.0	1301.0
в том числе:																
в индивидуальных домах	165150.0	164475.0	1534.0	116191.0	29893.0	2578.0	112624.0	44304.0	74690.0	59879.0	50122.0	1010.0	36442.0	33496.0	78.0	269.0
в отдельных квартирах	266506.0	264870.0	12542.0	239529.0	7399.0	200718.0	52776.0	9337.0	250043.0	244184.0	233355.0	170302.0	51515.0	213298.0	27.0	984.0
в коммунальных квартирах	3695.0	3640.0	89.0	3275.0	197.0	2210.0	1136.0	163.0	3036.0	2832.0	2257.0	1299.0	667.0	1832.0	-	48.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	267768.0	265985.0	12579.0	241549.0	5779.0	197612.0	56772.0	8153.0	239041.0	228521.0	217055.0	168551.0	40463.0	199839.0	47.0	1107.0
в том числе:																
в индивидуальных домах	48162.0	47856.0	465.0	40866.0	3168.0	1726.0	38154.0	5413.0	27521.0	20333.0	17153.0	725.0	12591.0	11484.0	30.0	165.0
в отдельных квартирах	216280.0	214858.0	12031.0	197696.0	2474.0	193711.0	17728.0	2651.0	208731.0	205581.0	197845.0	166548.0	27332.0	186664.0	17.0	894.0
в коммунальных квартирах	3326.0	3271.0	83.0	2987.0	137.0	2175.0	890.0	89.0	2789.0	2607.0	2057.0	1278.0	540.0	1691.0	-	48.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	167583.0	167000.0	1586.0	117446.0	31710.0	7894.0	109764.0	45651.0	88728.0	78374.0	68679.0	4060.0	48161.0	48787.0	58.0	194.0
в том числе:																
в индивидуальных домах	116988.0	116619.0	1069.0	75325.0	26725.0	852.0	74470.0	38891.0	47169.0	39546.0	32969.0	285.0	23851.0	22012.0	48.0	104.0
в отдельных квартирах	50226.0	50012.0	511.0	41833.0	4925.0	7007.0	35048.0	6686.0	41312.0	38603.0	35510.0	3754.0	24183.0	26634.0	10.0	90.0
в коммунальных квартирах	369.0	369.0	6.0	288.0	60.0	35.0	246.0	74.0	247.0	225.0	200.0	21.0	127.0	141.0	-	-
Московская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	2364520.0	2339734.0	216784.0	1982224.0	109839.0	2015498.0	215220.0	91103.0	2186263.0	2118744.0	2049796.0	1657551.0	344208.0	1933575.0	269.0	18467.0
в том числе:																
в индивидуальных домах	252191.0	248948.0	5320.0	161887.0	64078.0	11039.0	156524.0	72717.0	121604.0	73138.0	60116.0	6109.0	48323.0	41794.0	154.0	2237.0
в отдельных квартирах	2042703.0	2023138.0	207888.0	1758923.0	44031.0	1947016.0	50744.0	17149.0	2000668.0	1984066.0	1939961.0	1620944.0	276113.0	1846453.0	107.0	14487.0
в коммунальных квартирах	69626.0	67648.0	3576.0	61414.0	1730.0	57443.0	7952.0	1237.0	63991.0	61540.0	49719.0	30498.0	19772.0	45328.0	8.0	1743.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	1874063.0	1854193.0	187592.0	1636190.0	21701.0	1693748.0	133207.0	17103.0	1810182.0	1768367.0	1714817.0	1384233.0	309032.0	1639350.0	128.0	15250.0
в том числе:																
в индивидуальных домах	111852.0	110262.0	1630.0	95240.0	9855.0	6346.0	90418.0	10223.0	77222.0	47925.0	39964.0	3871.0	35069.0	29423.0	58.0	1221.0
в отдельных квартирах	1701312.0	1684718.0	183156.0	1485809.0	11081.0	1635948.0	36237.0	6362.0	1675885.0	1665436.0	1630728.0	1354402.0	254961.0	1569396.0	66.0	12552.0
в коммунальных квартирах	60899.0	59213.0	2806.0	55141.0	765.0	51454.0	6552.0	518.0	57075.0	55006.0	44125.0	25960.0	19002.0	40531.0	4.0	1477.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	490457.0	485541.0	29192.0	346034.0	88138.0	321750.0	82013.0	74000.0	376081.0	350377.0	334979.0	273318.0	35176.0	294225.0	141.0	3217.0
в том числе:																
в индивидуальных домах	140339.0	138686.0	3690.0	66647.0	54223.0	4693.0	66106.0	62494.0	44382.0	25213.0	20152.0	2238.0	13254.0	12371.0	96.0	1016.0
в отдельных квартирах	341391.0	338420.0	24732.0	273114.0	32950.0	311068.0	14507.0	10787.0	324783.0	318630.0	309233.0	266542.0	21152.0	277057.0	41.0	1935.0
в коммунальных квартирах	8727.0	8435.0	770.0	6273.0	965.0	5989.0	1400.0	719.0	6916.0	6534.0	5594.0	4538.0	770.0	4797.0	4.0	266.0
Орловская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	301655.0	300161.0	5659.0	228907.0	54396.0	138430.0	96878.0	62018.0	207012.0	196286.0	179068.0	83936.0	70837.0	150708.0	63.0	836.0
в том числе:																
в индивидуальных домах	127866.0	127294.0	1812.0	68811.0	47646.0	1184.0	69938.0	54117.0	47816.0	39698.0	30729.0	238.0	19003.0	17790.0	52.0	237.0
в отдельных квартирах	171237.0	170379.0	3480.0	158215.0	6625.0	135472.0	26417.0	7716.0	157113.0	154567.0	146807.0	82671.0	51385.0	131543.0	11.0	540.0
