8. ГРУППИРОВКА СЕЛЬСКИХ АДМИНИСТРАЦИЙ ПО ЧИСЛЕННОСТИ НАСЕЛЕНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
	Всего	из них с числом жителей								
численность населения	895731.0	5441.0	111136.0	149948.0	137102.0	166372.0	88217.0	59231.0	87426.0	90858.0
мужчины	412853.0	2502.0	50939.0	68977.0	62963.0	76824.0	40213.0	28248.0	40272.0	41915.0
женщины	482878.0	2939.0	60197.0	80971.0	74139.0	89548.0	48004.0	30983.0	47154.0	48943.0
Ивановская область										
Число сельских администраций	205.0	55.0	85.0	37.0	15.0	5.0	5.0	2.0	-	1.0
численность населения	198295.0	19211.0	61171.0	45124.0	25737.0	10437.0	16747.0	8608.0	-	11260.0
мужчины	92972.0	8843.0	28087.0	20898.0	11917.0	5795.0	8221.0	3968.0	-	5243.0
женщины	105323.0	10368.0	33084.0	24226.0	13820.0	4642.0	8526.0	4640.0	-	6017.0
Калужская область										
Число сельских администраций	329.0	160.0	106.0	28.0	16.0	8.0	4.0	5.0	1.0	1.0
численность населения	257022.0	52866.0	72289.0	32777.0	26982.0	19081.0	14401.0	21816.0	5449.0	11361.0
мужчины	117952.0	24149.0	33289.0	15019.0	12333.0	8859.0	6690.0	9936.0	2427.0	5250.0
женщины	139070.0	28717.0	39000.0	17758.0	14649.0	10222.0	7711.0	11880.0	3022.0	6111.0
Костромская область										
Число сельских администраций	274.0	127.0	87.0	21.0	14.0	11.0	7.0	3.0	2.0	2.0
численность населения	239266.0	37759.0	60826.0	25734.0	23608.0	25743.0	25272.0	14085.0	10431.0	15808.0
мужчины	111946.0	18052.0	28669.0	12304.0	10708.0	11898.0	11959.0	5925.0	5108.0	7323.0
женщины	127320.0	19707.0	32157.0	13430.0	12900.0	13845.0	13313.0	8160.0	5323.0	8485.0
Курская область										
Число сельских администраций	479.0	100.0	239.0	70.0	30.0	21.0	13.0	2.0	3.0	1.0
численность населения	477962.0	39700.0	171920.0	83735.0	51502.0	52097.0	42353.0	9219.0	17284.0	10152.0
мужчины	220253.0	18331.0	79360.0	38160.0	23618.0	23868.0	19370.0	4261.0	8064.0	5221.0
женщины	257709.0	21369.0	92560.0	45575.0	27884.0	28229.0	22983.0	4958.0	9220.0	4931.0
Липецкая область										
Число сельских администраций	303.0	23.0	131.0	72.0	25.0	22.0	12.0	7.0	9.0	2.0
численность населения	433286.0	9623.0	98128.0	88912.0	42578.0	52064.0	39291.0	31769.0	52609.0	18312.0
мужчины	198792.0	4397.0	45161.0	40549.0	19459.0	23878.0	18063.0	14715.0	24093.0	8477.0
женщины	234494.0	5226.0	52967.0	48363.0	23119.0	28186.0	21228.0	17054.0	28516.0	9835.0
Московская область										
Число сельских администраций	471.0	25.0	58.0	101.0	68.0	68.0	58.0	27.0	32.0	34.0
численность населения	1320901.0	9577.0	46099.0	123805.0	116371.0	166569.0	198316.0	119811.0	188191.0	352162.0
мужчины	615887.0	4259.0	21029.0	57037.0	53852.0	76473.0	90804.0	56032.0	88166.0	168235.0
женщины	705014.0	5318.0	25070.0	66768.0	62519.0	90096.0	107512.0	63779.0	100025.0	183927.0
Орловская область										
Число сельских администраций	223.0	18.0	90.0	52.0	21.0	24.0	9.0	3.0	5.0	1.0
численность населения	313784.0	7361.0	67800.0	62724.0	37630.0	57961.0	29474.0	13426.0	29430.0	7978.0
мужчины	144952.0	3386.0	31430.0	29191.0	17455.0	27005.0	12806.0	6296.0	13716.0	3667.0
женщины	168832.0	3975.0	36370.0	33533.0	20175.0	30956.0	16668.0	7130.0	15714.0	4311.0
Рязанская область										
Число сельских администраций	482.0	192.0	183.0	55.0	22.0	23.0	5.0	1.0	-	1.0
численность населения	379089.0	63713.0	126563.0	66521.0	36721.0	55035.0	17021.0	4280.0	-	9235.0
мужчины	173005.0	28913.0	56986.0	29827.0	16812.0	26447.0	7686.0	2122.0	-	4212.0
женщины	206084.0	34800.0	69577.0	36694.0	19909.0	28588.0	9335.0	2158.0	-	5023.0
Смоленская область										
Число сельских администраций	405.0	198.0	134.0	35.0	15.0	12.0	3.0	7.0	1.0	-
численность населения	303357.0	68599.0	91345.0	42519.0	25488.0	28453.0	10557.0	31063.0	5333.0	-
мужчины	140759.0	31485.0	41851.0	19405.0	11703.0	14468.0	4967.0	14308.0	2572.0	-
женщины	162598.0	37114.0	49494.0	23114.0	13785.0	13985.0	5590.0	16755.0	2761.0	-
Тамбовская область										
Число сельских администраций	309.0	14.0	108.0	77.0	53.0	27.0	12.0	6.0	7.0	5.0
численность населения	498733.0	5574.0	82531.0	94125.0	89469.0	65116.0	41374.0	27629.0	40506.0	52409.0
мужчины	233065.0	2612.0	38126.0	43704.0	41376.0	32128.0	19043.0	12935.0	18844.0	24297.0
женщины	265668.0	2962.0	44405.0	50421.0	48093.0	32988.0	22331.0	14694.0	21662.0	28112.0
Тверская область										
Число сельских администраций	614.0	342.0	182.0	40.0	25.0	17.0	4.0	3.0	1.0	-
численность населения	395663.0	111071.0	123063.0	47423.0	43122.0	39542.0	13322.0	12956.0	5164.0	-
мужчины	183058.0	51090.0	56564.0	21677.0	20087.0	18710.0	6798.0	5808.0	2324.0	-
женщины	212605.0	59981.0	66499.0	25746.0	23035.0	20832.0	6524.0	7148.0	2840.0	-
Тульская область										
Число сельских администраций	341.0	98.0	154.0	43.0	19.0	19.0	5.0	2.0	1.0	-
численность населения	308317.0	38082.0	109433.0	50927.0	32449.0	45498.0	16670.0	9561.0	5697.0	-
мужчины	141622.0	17427.0	50369.0	23436.0	14954.0	20709.0	7659.0	4385.0	2683.0	-
женщины	166695.0	20655.0	59064.0	27491.0	17495.0	24789.0	9011.0	5176.0	3014.0	-
Ярославская область										
Число сельских администраций	226.0	49.0	92.0	35.0	17.0	21.0	6.0	4.0	2.0	-
численность населения	260019.0	18127.0	67790.0	42570.0	29097.0	51264.0	20908.0	18286.0	11977.0	-
мужчины	119799.0	8455.0	31346.0	20032.0	13134.0	23583.0	9452.0	8358.0	5439.0	-
женщины	140220.0	9672.0	36444.0	22538.0	15963.0	27681.0	11456.0	9928.0	6538.0	-
г. Москва										
Число сельских администраций	-	-	-	-	-	-	-	-	-	-
Северо-Западный федеральный округ										
Число сельских администраций	1769.0	407.0	592.0	282.0	186.0	150.0	65.0	34.0	32.0	21.0
численность населения	2352814.0	136680.0	429862.0	347209.0	320311.0	367540.0	223009.0	150182.0	185422.0	192599.0
мужчины	1122502.0	64368.0	203169.0	165297.0	151273.0	177835.0	108191.0	71692.0	89040.0	91637.0
женщины	1230312.0	72312.0	226693.0	181912.0	169038.0	189705.0	114818.0	78490.0	96382.0	100962.0
Республика Карелия										
Число сельских администраций	131.0	32.0	31.0	21.0	22.0	15.0	9.0	1.0	-	-
численность населения	170438.0	10743.0	22560.0	27345.0	37719.0	37456.0	30397.0	4218.0	-	-
мужчины	81314.0	5192.0	10979.0	13023.0	17978.0	17815.0	14318.0	2009.0	-	-
женщины	89124.0	5551.0	11581.0	14322.0	19741.0	19641.0	16079.0	2209.0	-	-
Республика Коми										
Число сельских администраций	190.0	40.0	64.0	42.0	16.0	12.0	9.0	2.0	2.0	3.0
численность населения	244490.0	13766.0	47127.0	49718.0	28760.0	28211.0	30494.0	8860.0	11217.0	26337.0
мужчины	121413.0	6780.0	23236.0	24375.0	14159.0	15454.0	15684.0	4160.0	5326.0	12239.0
женщины	123077.0	6986.0	23891.0	25343.0	14601.0	12757.0	14810.0	4700.0	5891.0	14098.0
Архангельская область										
Число сельских администраций	243.0	47.0	87.0	50.0	24.0	19.0	4.0	6.0	6.0	-
численность населения	306078.0	15875.0	65759.0	62050.0	41048.0	46370.0	12720.0	26409.0	35847.0	-
мужчины	149078.0	7885.0	31854.0	29970.0	19633.0	23648.0	6532.0	12724.0	16832.0	-
женщины	157000.0	7990.0	33905.0	32080.0	21415.0	22722.0	6188.0	13685.0	19015.0	-
Ненецкий автономный округ										
Число сельских администраций	17.0	4.0	8.0	3.0	2.0	-	-	-	-	-
численность населения	15304.0	1550.0	6720.0	3612.0	3422.0	-	-	-	-	-
мужчины	7845.0	837.0	3436.0	1816.0	1756.0	-	-	-	-	-
женщины	7459.0	713.0	3284.0	1796.0	1666.0	-	-	-	-	-
Вологодская область										
Число сельских администраций	369.0	101.0	150.0	49.0	29.0	19.0	9.0	6.0	5.0	1.0
численность населения	390682.0	34360.0	107512.0	58719.0	49595.0	46871.0	30155.0	26864.0	29325.0	7281.0
мужчины	185403.0	16182.0	50843.0	28006.0	23502.0	22023.0	14809.0	12701.0	13890.0	3447.0
женщины	205279.0	18178.0	56669.0	30713.0	26093.0	24848.0	15346.0	14163.0	15435.0	3834.0
Калининградская область										
Число сельских администраций	98.0	-	13.0	26.0	22.0	25.0	5.0	2.0	3.0	2.0
численность населения	201256.0	-	10556.0	33481.0	36862.0	61210.0	18665.0	8517.0	16044.0	15921.0
мужчины	98923.0	-	5142.0	16397.0	17828.0	30138.0	9314.0	4241.0	8137.0	7726.0
женщины	102333.0	-	5414.0	17084.0	19034.0	31072.0	9351.0	4276.0	7907.0	8195.0
Ленинградская область										
Число сельских администраций	204.0	17.0	29.0	33.0	31.0	34.0	21.0	11.0	13.0	15.0
численность населения	545783.0	5642.0	22386.0	41004.0	53045.0	85209.0	72986.0	47491.0	74960.0	143060.0
мужчины	255065.0	2612.0	10381.0	19004.0	24361.0	39559.0	34063.0	21741.0	35119.0	68225.0
женщины	290718.0	3030.0	12005.0	22000.0	28684.0	45650.0	38923.0	25750.0	39841.0	74835.0
Мурманская область										
Число сельских администраций	15.0	2.0	5.0	1.0	2.0	2.0	2.0	-	1.0	-
численность населения	28465.0	211.0	3960.0	1479.0	3537.0	5079.0	7528.0	-	6671.0	-
мужчины	15530.0	119.0	1933.0	790.0	1706.0	3069.0	3852.0	-	4061.0	-
женщины	12935.0	92.0	2027.0	689.0	1831.0	2010.0	3676.0	-	2610.0	-
Новгородская область										
Число сельских администраций	272.0	123.0	96.0	15.0	20.0	13.0	4.0	1.0	-	-
численность населения	209324.0	38228.0	66722.0	18864.0	35547.0	31898.0	13320.0	4745.0	-	-
мужчины	96069.0	17378.0	30508.0	8554.0	16447.0	14535.0	6069.0	2578.0	-	-
женщины	113255.0	20850.0	36214.0	10310.0	19100.0	17363.0	7251.0	2167.0	-	-
Псковская область										
Число сельских администраций	247.0	45.0	117.0	45.0	20.0	11.0	2.0	5.0	2.0	-
численность населения	256298.0	17855.0	83280.0	54549.0	34198.0	25236.0	6744.0	23078.0	11358.0	-
мужчины	119707.0	8220.0	38293.0	25178.0	15659.0	11594.0	3550.0	11538.0	5675.0	-
женщины	136591.0	9635.0	44987.0	29371.0	18539.0	13642.0	3194.0	11540.0	5683.0	-
г. Санкт-Петербург										
Число сельских администраций	-	-	-	-	-	-	-	-	-	-
Южный федеральный округ										
Число сельских администраций	3127.0	184.0	474.0	496.0	463.0	540.0	294.0	144.0	253.0	279.0
численность населения	9599602.0	59673.0	358894.0	612715.0	799200.0	1307348.0	1008336.0	643024.0	1467989.0	3342423.0
мужчины	4582645.0	29057.0	173392.0	294571.0	384178.0	625254.0	483021.0	308980.0	697263.0	1586929.0
женщины	5016957.0	30616.0	185502.0	318144.0	415022.0	682094.0	525315.0	334044.0	770726.0	1755494.0
Республика Адыгея										
Число сельских администраций	50.0	-	1.0	2.0	8.0	11.0	11.0	6.0	5.0	6.0
численность населения	199448.0	-	880.0	2624.0	13526.0	26435.0	37120.0	26820.0	28878.0	63165.0
мужчины	94518.0	-	418.0	1244.0	6619.0	12467.0	17801.0	12660.0	13508.0	29801.0
женщины	104930.0	-	462.0	1380.0	6907.0	13968.0	19319.0	14160.0	15370.0	33364.0
Республика Дагестан										
Число сельских администраций	701.0	71.0	146.0	112.0	126.0	103.0	66.0	20.0	32.0	25.0
численность населения	1473954.0	25583.0	108266.0	134846.0	217553.0	252709.0	226942.0	88847.0	186641.0	232567.0
мужчины	712548.0	12162.0	51672.0	64939.0	105400.0	122732.0	109878.0	42956.0	89874.0	112935.0
женщины	761406.0	13421.0	56594.0	69907.0	112153.0	129977.0	117064.0	45891.0	96767.0	119632.0
Республика Ингушетия										
Число сельских администраций	32.0	4.0	2.0	2.0	1.0	3.0	1.0	3.0	5.0	11.0
численность населения	268798.0	1174.0	1625.0	2381.0	1834.0	7840.0	3651.0	13657.0	30906.0	205730.0
мужчины	124279.0	576.0	699.0	1149.0	897.0	3536.0	1730.0	6415.0	14250.0	95027.0
женщины	144519.0	598.0	926.0	1232.0	937.0	4304.0	1921.0	7242.0	16656.0	110703.0
Кабардино-Балкарская Республика										
Число сельских администраций	115.0	8.0	13.0	15.0	15.0	17.0	14.0	6.0	15.0	12.0
численность населения	390246.0	3196.0	10492.0	19028.0	26009.0	40248.0	48224.0	26060.0	89259.0	127730.0
мужчины	188885.0	1523.0	5112.0	9203.0	12577.0	19519.0	23175.0	12651.0	44012.0	61113.0
женщины	201361.0	1673.0	5380.0	9825.0	13432.0	20729.0	25049.0	13409.0	45247.0	66617.0
Республика Калмыкия										
Число сельских администраций	112.0	17.0	51.0	23.0	3.0	6.0	1.0	4.0	5.0	2.0
численность населения	158614.0	6277.0	39071.0	26920.0	4882.0	13213.0	3307.0	17625.0	29575.0	17744.0
мужчины	78693.0	3307.0	19952.0	13678.0	2398.0	6389.0	1668.0	8297.0	14091.0	8913.0
женщины	79921.0	2970.0	19119.0	13242.0	2484.0	6824.0	1639.0	9328.0	15484.0	8831.0
Карачаево-Черкесская Республика										
Число сельских администраций	80.0	4.0	9.0	11.0	11.0	18.0	8.0	6.0	9.0	4.0
численность населения	242363.0	1577.0	6739.0	13405.0	18833.0	43397.0	26695.0	26293.0	52270.0	53154.0
мужчины	116155.0	784.0	3275.0	6557.0	9063.0	20819.0	12672.0	12684.0	24858.0	25443.0
женщины	126208.0	793.0	3464.0	6848.0	9770.0	22578.0	14023.0	13609.0	27412.0	27711.0
Республика Северная Осетия-Алания										
Число сельских администраций	96.0	21.0	10.0	17.0	13.0	12.0	6.0	1.0	4.0	12.0
численность населения	244912.0	5815.0	7228.0	21437.0	22611.0	29453.0	20769.0	4371.0	22903.0	110325.0
мужчины	117737.0	2907.0	3494.0	10401.0	10925.0	14287.0	9886.0	2108.0	10753.0	52976.0
женщины	127175.0	2908.0	3734.0	11036.0	11686.0	15166.0	10883.0	2263.0	12150.0	57349.0
Чеченская Республика										
Число сельских администраций	213.0	33.0	24.0	23.0	24.0	30.0	14.0	11.0	21.0	33.0
численность населения	730509.0	6367.0	17809.0	27445.0	40648.0	70263.0	45802.0	50437.0	115522.0	356216.0
мужчины	357601.0	3140.0	8593.0	13258.0	19411.0	33503.0	23170.0	26045.0	55442.0	175039.0
женщины	372908.0	3227.0	9216.0	14187.0	21237.0	36760.0	22632.0	24392.0	60080.0	181177.0
Краснодарский край										
Число сельских администраций	390.0	-	10.0	22.0	35.0	73.0	46.0	34.0	71.0	99.0
численность населения	2303622.0	-	7166.0	28825.0	62299.0	175972.0	159455.0	152680.0	416944.0	1300281.0
мужчины	1081269.0	-	3435.0	13643.0	29329.0	82892.0	75507.0	73092.0	196116.0	607255.0
женщины	1222353.0	-	3731.0	15182.0	32970.0	93080.0	83948.0	79588.0	220828.0	693026.0
Ставропольский край										
Число сельских администраций	284.0	-	3.0	15.0	49.0	76.0	46.0	17.0	46.0	32.0
численность населения	1196265.0	-	2486.0	18709.0	83417.0	185209.0	157321.0	74085.0	266148.0	408890.0
мужчины	570432.0	-	1188.0	8963.0	40176.0	88780.0	74471.0	34777.0	126317.0	195760.0
женщины	625833.0	-	1298.0	9746.0	43241.0	96429.0	82850.0	39308.0	139831.0	213130.0
Астраханская область										
Число сельских администраций	151.0	6.0	25.0	39.0	23.0	29.0	16.0	4.0	3.0	6.0
численность населения	323094.0	2441.0	18240.0	46460.0	40298.0	71453.0	55723.0	18185.0	15986.0	54308.0
мужчины	155668.0	1219.0	8951.0	22490.0	19553.0	34599.0	26931.0	8624.0	7657.0	25644.0
женщины	167426.0	1222.0	9289.0	23970.0	20745.0	36854.0	28792.0	9561.0	8329.0	28664.0
Волгоградская область										
Число сельских администраций	449.0	19.0	143.0	130.0	76.0	46.0	20.0	8.0	5.0	2.0
численность населения	660885.0	6782.0	106649.0	162889.0	129375.0	107497.0	67712.0	35427.0	27953.0	16601.0
мужчины	314833.0	3214.0	51216.0	77495.0	61799.0	51130.0	32560.0	16387.0	12989.0	8043.0
женщины	346052.0	3568.0	55433.0	85394.0	67576.0	56367.0	35152.0	19040.0	14964.0	8558.0
Ростовская область										
Число сельских администраций	454.0	1.0	37.0	85.0	79.0	116.0	45.0	24.0	32.0	35.0
численность населения	1406892.0	461.0	32243.0	107746.0	137915.0	283659.0	155615.0	108537.0	185004.0	395712.0
мужчины	670027.0	225.0	15387.0	51551.0	66031.0	134601.0	73572.0	52284.0	87396.0	188980.0
женщины	736865.0	236.0	16856.0	56195.0	71884.0	149058.0	82043.0	56253.0	97608.0	206732.0
Приволжский федеральный округ										
Число сельских администраций	6996.0	1058.0	2702.0	1580.0	753.0	469.0	154.0	96.0	110.0	74.0
численность населения	8993003.0	380074.0	1996009.0	1923762.0	1288396.0	1116040.0	525540.0	430685.0	644108.0	688389.0
мужчины	4281443.0	179022.0	943777.0	914936.0	613655.0	533775.0	250726.0	210100.0	306079.0	329373.0
женщины	4711560.0	201052.0	1052232.0	1008826.0	674741.0	582265.0	274814.0	220585.0	338029.0	359016.0
Республика Башкортостан										
Число сельских администраций	945.0	56.0	280.0	296.0	152.0	92.0	23.0	13.0	15.0	18.0
численность населения	1467382.0	22308.0	213028.0	363473.0	257857.0	217069.0	80295.0	58891.0	90219.0	164242.0
мужчины	706200.0	10868.0	103420.0	175325.0	124605.0	105092.0	38570.0	28168.0	42525.0	77627.0
женщины	761182.0	11440.0	109608.0	188148.0	133252.0	111977.0	41725.0	30723.0	47694.0	86615.0
Республика Марий Эл										
Число сельских администраций	180.0	10.0	64.0	46.0	21.0	27.0	6.0	4.0	1.0	1.0
численность населения	263595.0	3391.0	49639.0	57430.0	35958.0	64505.0	18846.0	18192.0	5045.0	10589.0
мужчины	127090.0	1610.0	24071.0	27655.0	17199.0	31299.0	8779.0	9293.0	2339.0	4845.0
женщины	136505.0	1781.0	25568.0	29775.0	18759.0	33206.0	10067.0	8899.0	2706.0	5744.0
Республика Мордовия										
Число сельских администраций	422.0	161.0	183.0	41.0	16.0	4.0	8.0	2.0	5.0	2.0
численность населения	344770.0	51482.0	124582.0	49670.0	26882.0	11124.0	27546.0	8939.0	28529.0	16016.0
мужчины	162737.0	23167.0	56501.0	22847.0	12306.0	5133.0	13691.0	4153.0	17515.0	7424.0
женщины	182033.0	28315.0	68081.0	26823.0	14576.0	5991.0	13855.0	4786.0	11014.0	8592.0
Республика Татарстан										
Число сельских администраций	910.0	121.0	445.0	207.0	78.0	27.0	12.0	8.0	4.0	8.0
численность населения	985270.0	45049.0	329933.0	246901.0	134096.0	65890.0	41082.0	36099.0	23015.0	63205.0
мужчины	468075.0	21303.0	156636.0	117490.0	64354.0	31201.0	19477.0	17047.0	10845.0	29722.0
женщины	517195.0	23746.0	173297.0	129411.0	69742.0	34689.0	21605.0	19052.0	12170.0	33483.0
Удмуртская Республика										
Число сельских администраций	313.0	26.0	122.0	68.0	33.0	34.0	15.0	3.0	8.0	4.0
численность населения	470538.0	10572.0	94088.0	83723.0	56603.0	80838.0	51029.0	13448.0	48642.0	31595.0
мужчины	227472.0	5160.0	45297.0	40223.0	26968.0	40202.0	25731.0	6382.0	22709.0	14800.0
женщины	243066.0	5412.0	48791.0	43500.0	29635.0	40636.0	25298.0	7066.0	25933.0	16795.0
Чувашская Республика										
Число сельских администраций	350.0	22.0	102.0	98.0	70.0	36.0	6.0	8.0	8.0	-
численность населения	516898.0	7028.0	79859.0	119971.0	119939.0	88423.0	21166.0	35127.0	45385.0	-
мужчины	246797.0	3278.0	37773.0	57313.0	57601.0	42396.0	10112.0	16656.0	21668.0	-
женщины	270101.0	3750.0	42086.0	62658.0	62338.0	46027.0	11054.0	18471.0	23717.0	-
Кировская область										
Число сельских администраций	564.0	261.0	180.0	72.0	28.0	14.0	5.0	2.0	2.0	-
численность населения	416815.0	85250.0	124642.0	88310.0	48721.0	34018.0	16294.0	8204.0	11376.0	-
мужчины	197548.0	40463.0	59062.0	41692.0	22904.0	16795.0	7518.0	3829.0	5285.0	-
женщины	219267.0	44787.0	65580.0	46618.0	25817.0	17223.0	8776.0	4375.0	6091.0	-
Нижегородская область										
Число сельских администраций	540.0	51.0	240.0	108.0	53.0	47.0	13.0	13.0	10.0	5.0
численность населения	743609.0	18654.0	177138.0	133105.0	92368.0	114290.0	43840.0	58479.0	58539.0	47196.0
мужчины	346630.0	8454.0	80444.0	59858.0	41668.0	53111.0	20184.0	31528.0	27107.0	24276.0
женщины	396979.0	10200.0	96694.0	73247.0	50700.0	61179.0	23656.0	26951.0	31432.0	22920.0
Оренбургская область										
Число сельских администраций	606.0	79.0	221.0	144.0	73.0	37.0	19.0	7.0	10.0	16.0
численность населения	918178.0	30757.0	167103.0	175000.0	124954.0	87818.0	65181.0	31595.0	59976.0	175794.0
мужчины	442568.0	14693.0	80132.0	84294.0	59937.0	42209.0	31218.0	14922.0	28426.0	86737.0
женщины	475610.0	16064.0	86971.0	90706.0	65017.0	45609.0	33963.0	16673.0	31550.0	89057.0
Пензенская область										
Число сельских администраций	376.0	35.0	172.0	77.0	39.0	27.0	5.0	8.0	10.0	3.0
численность населения	501696.0	14739.0	125459.0	92526.0	67670.0	62979.0	16783.0	36848.0	57015.0	27677.0
мужчины	232946.0	6810.0	58129.0	42849.0	31479.0	28958.0	7770.0	17442.0	26777.0	12732.0
женщины	268750.0	7929.0	67330.0	49677.0	36191.0	34021.0	9013.0	19406.0	30238.0	14945.0
Пермская область										
Число сельских администраций	519.0	98.0	198.0	99.0	37.0	48.0	10.0	9.0	16.0	4.0
численность населения	683216.0	35357.0	142867.0	121600.0	63543.0	113445.0	35530.0	40726.0	93234.0	36914.0
мужчины	330429.0	17129.0	69049.0	60100.0	32292.0	53982.0	16812.0	19881.0	43779.0	17405.0
женщины	352787.0	18228.0	73818.0	61500.0	31251.0	59463.0	18718.0	20845.0	49455.0	19509.0
Коми-Пермяцкий автономный округ										
Число сельских администраций	75.0	12.0	27.0	16.0	6.0	7.0	3.0	2.0	2.0	-
численность населения	100240.0	4752.0	18905.0	19920.0	9952.0	15563.0	11046.0	9392.0	10710.0	-
мужчины	48896.0	2349.0	9299.0	9815.0	4873.0	7561.0	5259.0	4478.0	5262.0	-
женщины	51344.0	2403.0	9606.0	10105.0	5079.0	8002.0	5787.0	4914.0	5448.0	-
Самарская область										
Число сельских администраций	331.0	20.0	89.0	85.0	50.0	40.0	12.0	8.0	15.0	12.0
численность населения	624680.0	7712.0	64901.0	104503.0	86652.0	92512.0	40979.0	34766.0	87487.0	105168.0
мужчины	295536.0	3601.0	30802.0	49950.0	40909.0	43397.0	19553.0	17927.0	40250.0	49147.0
женщины	329144.0	4111.0	34099.0	54553.0	45743.0	49115.0	21426.0	16839.0	47237.0	56021.0
Саратовская область										
Число сельских администраций	614.0	74.0	269.0	154.0	68.0	26.0	13.0	5.0	4.0	1.0
численность населения	694297.0	30560.0	201895.0	186192.0	114389.0	60297.0	44254.0	22533.0	24184.0	9993.0
мужчины	329056.0	14555.0	95834.0	88171.0	54249.0	29139.0	20773.0	10307.0	11370.0	4658.0
женщины	365241.0	16005.0	106061.0	98021.0	60140.0	31158.0	23481.0	12226.0	12814.0	5335.0
Ульяновская область										
Число сельских администраций	326.0	44.0	137.0	85.0	35.0	10.0	7.0	6.0	2.0	-
численность населения	362059.0	17215.0	100875.0	101358.0	58764.0	22832.0	22715.0	26838.0	11462.0	-
мужчины	168359.0	7931.0	46627.0	47169.0	27184.0	10861.0	10538.0	12565.0	5484.0	-
женщины	193700.0	9284.0	54248.0	54189.0	31580.0	11971.0	12177.0	14273.0	5978.0	-
Уральский федеральный округ										
Число сельских администраций	1537.0	229.0	514.0	320.0	168.0	154.0	53.0	29.0	47.0	23.0
численность населения	2295624.0	78817.0	379830.0	385799.0	293519.0	368716.0	180566.0	129289.0	272309.0	206779.0
мужчины	1103843.0	38096.0	181543.0	184201.0	140703.0	177492.0	88498.0	61039.0	130682.0	101589.0
женщины	1191781.0	40721.0	198287.0	201598.0	152816.0	191224.0	92068.0	68250.0	141627.0	105190.0
Курганская область										
Число сельских администраций	420.0	83.0	190.0	87.0	27.0	18.0	2.0	5.0	7.0	1.0
численность населения	441455.0	33734.0	136995.0	103426.0	46292.0	41602.0	6275.0	23439.0	42118.0	7574.0
мужчины	209416.0	16031.0	64708.0	48576.0	21640.0	19465.0	3544.0	10849.0	21094.0	3509.0
женщины	232039.0	17703.0	72287.0	54850.0	24652.0	22137.0	2731.0	12590.0	21024.0	4065.0
Свердловская область										
Число сельских администраций	431.0	98.0	138.0	96.0	39.0	36.0	11.0	7.0	5.0	1.0
