3.7. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ТИПАМ И РАЗМЕРУ								
								
	Число частных домохозяйств	В них чис-ленность членов домохозяйств	Из общего числа домохозяйств – домохозяйства, состоящие из					Средний размер домохозяйства, человек
Домохозяйства, состоящие из двух супружеских пар, родственников (или без них) и не родственников (или без них)	923053.0	5149799.0			131845.0	371572.0	419636.0	5.6
Домохозяйства, состоящие из супружеской пары с детьми и без детей, с обоими  родителями одного из супругов  с детьми и без детей	724973.0	3838018.0			124396.0	338010.0	262567.0	5.3
Домохозяйства, состоящие из супружеской пары с детьми и без детей, с обоими родителями одного из супругов с детьми и без детей, прочих родственников (или без них) и не родственников (или без них)	133895.0	888659.0				20402.0	113493.0	6.6
Прочие домохозяйства, состоящие из двух супружеских пар	64185.0	423122.0			7449.0	13160.0	43576.0	6.6
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	29440.0	265510.0					29440.0	9.0
Домохозяйства, состоящие из матери с детьми	4462183.0	10142479.0	3421221.0	904750.0	109508.0	17712.0	8992.0	2.3
Домохозяйства, состоящие из отца с детьми	505886.0	1122946.0	411714.0	81302.0	10239.0	1716.0	915.0	2.2
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	955667.0	3093313.0		756244.0	177942.0	17511.0	3970.0	3.2
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери (отца) (или без него), прочих родственников (или без них) и не родственников (или без них)	1158398.0	4496497.0		484602.0	452562.0	147485.0	73749.0	3.9
Прочие домохозяйства	2220107.0	6012654.0	1618947.0	339868.0	131416.0	37414.0	92462.0	2.7
Сельские населенные пункты								
Все домохозяйства	10501914.0	35200400.0	3663486.0	2733986.0	2328892.0	997610.0	777940.0	3.4
в том числе:								
Домохозяйства, состоящие из одной супружеской пары,
родственников (или без них) и не
родственников (или без них)	7835363.0	26454591.0	2385482.0	2152763.0	2043406.0	794851.0	458861.0	3.4
Домохозяйства, состоящие из одной супружеской пары с детьми и без детей	6412856.0	19935288.0	2385482.0	1835442.0	1596472.0	410536.0	184924.0	3.1
Домохозяйства, состоящие из одной супружеской пары с детьми и без детей и одного из родителей супругов	571146.0	2471974.0		144467.0	186706.0	174123.0	65850.0	4.3
Домохозяйства, состоящие из одной супружеской пары с детьми и без детей и матери (отца) с детьми	282584.0	1435175.0			109218.0	96077.0	77289.0	5.1
Прочие домохозяйства, состоящие из одной супружеской пары	568777.0	2612154.0		172854.0	151010.0	114115.0	130798.0	4.6
Домохозяйства, состоящие из двух супружеских пар, родственников (или без них) и не родственников (или без них)	391636.0	2387389.0			38607.0	115957.0	237072.0	6.1
Домохозяйства, состоящие из супружеской пары с детьми и без детей, с обоими  родителями одного из супругов  с детьми и без детей	303770.0	1731799.0			36844.0	107004.0	159922.0	5.7
Домохозяйства, состоящие из супружеской пары с детьми и без детей, с обоими родителями одного из супругов с детьми и без детей, прочих родственников (или без них) и не родственников (или без них)	58208.0	422905.0				5249.0	52959.0	7.3
Прочие домохозяйства, состоящие из двух супружеских пар	29658.0	232685.0			1763.0	3704.0	24191.0	7.8
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	19668.0	201927.0					19668.0	10.3
Домохозяйства, состоящие из матери с детьми	1163740.0	2837342.0	799042.0	267122.0	67983.0	18660.0	10933.0	2.4
Домохозяйства, состоящие из отца с детьми	128631.0	304650.0	95061.0	24562.0	6069.0	1828.0	1111.0	2.4
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	196711.0	672744.0		133889.0	48767.0	10173.0	3882.0	3.4
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери (отца) (или без него), прочих родственников (или без них) и не родственников (или без них)	297494.0	1256398.0		99923.0	106881.0	50645.0	40045.0	4.2
Прочие домохозяйства	468671.0	1085359.0	383901.0	55727.0	17179.0	5496.0	6368.0	2.3
