10. ГРУППИРОВКА РАЙОНОВ (КРОМЕ ГОРОДСКИХ) ПО ЧИСЛУ СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ                                                                                                         ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ									
	Всего	в том числе с числом сельских населенных пунктов							
Число районов	17.0	-	-	-	-	-	2.0	5.0	10.0
численность сельского населения	260593.0	-	-	-	-	-	19001.0	43595.0	197997.0
мужчины	120062.0	-	-	-	-	-	8667.0	20501.0	90894.0
женщины	140531.0	-	-	-	-	-	10334.0	23094.0	107103.0
г. Москва									
Число районов	-	-	-	-	-	-	-	-	-
Северо-Западный федеральный округ									
Число районов	155.0	9.0	12.0	14.0	16.0	26.0	18.0	29.0	31.0
численность сельского населения	2347458.0	33865.0	141950.0	181315.0	232175.0	474645.0	261838.0	482517.0	539153.0
мужчины	1121479.0	19116.0	68558.0	90730.0	111305.0	225014.0	124566.0	228048.0	254142.0
женщины	1225979.0	14749.0	73392.0	90585.0	120870.0	249631.0	137272.0	254469.0	285011.0
Республика Карелия									
Число районов	16.0	3.0	6.0	2.0	4.0	1.0	-	-	-
численность сельского населения	168989.0	13602.0	66166.0	18540.0	57374.0	13307.0	-	-	-
мужчины	80544.0	6465.0	31288.0	8824.0	27509.0	6458.0	-	-	-
женщины	88445.0	7137.0	34878.0	9716.0	29865.0	6849.0	-	-	-
Республика Коми									
Число районов	12.0	-	4.0	5.0	3.0	-	-	-	-
численность сельского населения	214487.0	-	55698.0	84987.0	73802.0	-	-	-	-
мужчины	106649.0	-	27412.0	43804.0	35433.0	-	-	-	-
женщины	107838.0	-	28286.0	41183.0	38369.0	-	-	-	-
Архангельская область									
Число районов	21.0	2.0	-	2.0	2.0	2.0	3.0	6.0	4.0
численность сельского населения	313291.0	3684.0	-	16582.0	25569.0	44950.0	30759.0	110089.0	81658.0
мужчины	154018.0	2522.0	-	8042.0	12360.0	21992.0	14572.0	55075.0	39455.0
женщины	159273.0	1162.0	-	8540.0	13209.0	22958.0	16187.0	55014.0	42203.0
Ненецкий автономный округ									
Число районов	-	-	-	-	-	-	-	-	-
Вологодская область									
Число районов	26.0	-	-	-	1.0	2.0	4.0	9.0	10.0
численность сельского населения	392996.0	-	-	-	4614.0	26708.0	32355.0	125112.0	204207.0
мужчины	186475.0	-	-	-	2125.0	12860.0	15442.0	59444.0	96604.0
женщины	206521.0	-	-	-	2489.0	13848.0	16913.0	65668.0	107603.0
Калининградская область									
Число районов	13.0	-	1.0	5.0	2.0	5.0	-	-	-
численность сельского населения	202543.0	-	8994.0	61206.0	38604.0	93739.0	-	-	-
мужчины	99523.0	-	4276.0	30060.0	19174.0	46013.0	-	-	-
женщины	103020.0	-	4718.0	31146.0	19430.0	47726.0	-	-	-
Ленинградская область									
Число районов	17.0	-	-	-	3.0	5.0	4.0	4.0	1.0
численность сельского населения	559890.0	-	-	-	25468.0	225257.0	111482.0	159176.0	38507.0
мужчины	261744.0	-	-	-	11567.0	105478.0	54177.0	73272.0	17250.0
женщины	298146.0	-	-	-	13901.0	119779.0	57305.0	85904.0	21257.0
Мурманская область									
Число районов	5.0	4.0	1.0	-	-	-	-	-	-
численность сельского населения	27671.0	16579.0	11092.0	-	-	-	-	-	-
мужчины	15711.0	10129.0	5582.0	-	-	-	-	-	-
женщины	11960.0	6450.0	5510.0	-	-	-	-	-	-
Новгородская область									
Число районов	21.0	-	-	-	1.0	9.0	5.0	5.0	1.0
численность сельского населения	209435.0	-	-	-	6744.0	61473.0	73064.0	49069.0	19085.0
мужчины	96119.0	-	-	-	3137.0	28081.0	33841.0	22342.0	8718.0
женщины	113316.0	-	-	-	3607.0	33392.0	39223.0	26727.0	10367.0
Псковская область									
Число районов	24.0	-	-	-	-	2.0	2.0	5.0	15.0
численность сельского населения	258156.0	-	-	-	-	9211.0	14178.0	39071.0	195696.0
мужчины	120696.0	-	-	-	-	4132.0	6534.0	17915.0	92115.0
женщины	137460.0	-	-	-	-	5079.0	7644.0	21156.0	103581.0
г. Санкт-Петербург									
Число районов	-	-	-	-	-	-	-	-	-
Южный федеральный округ									
Число районов	256.0	59.0	108.0	56.0	30.0	3.0	-	-	-
численность сельского населения	9364474.0	1939479.0	3813626.0	2293243.0	1168214.0	149912.0	-	-	-
мужчины	4470551.0	924618.0	1821870.0	1100695.0	553649.0	69719.0	-	-	-
женщины	4893923.0	1014861.0	1991756.0	1192548.0	614565.0	80193.0	-	-	-
Республика Адыгея									
Число районов	7.0	-	6.0	1.0	-	-	-	-	-
численность сельского населения	191028.0	-	150625.0	40403.0	-	-	-	-	-
мужчины	90998.0	-	71861.0	19137.0	-	-	-	-	-
женщины	100030.0	-	78764.0	21266.0	-	-	-	-	-
Республика Дагестан									
Число районов	41.0	12.0	12.0	8.0	9.0	-	-	-	-
численность сельского населения	1452810.0	345926.0	449151.0	294800.0	362933.0	-	-	-	-
мужчины	701857.0	166691.0	219307.0	141387.0	174472.0	-	-	-	-
женщины	750953.0	179235.0	229844.0	153413.0	188461.0	-	-	-	-
Республика Ингушетия									
Число районов	4.0	4.0	-	-	-	-	-	-	-
численность сельского населения	268798.0	268798.0	-	-	-	-	-	-	-
мужчины	124279.0	124279.0	-	-	-	-	-	-	-
женщины	144519.0	144519.0	-	-	-	-	-	-	-
Кабардино-Балкарская Республика									
Число районов	9.0	6.0	3.0	-	-	-	-	-	-
численность сельского населения	367308.0	217811.0	149497.0	-	-	-	-	-	-
мужчины	178079.0	105923.0	72156.0	-	-	-	-	-	-
женщины	189229.0	111888.0	77341.0	-	-	-	-	-	-
Республика Калмыкия									
Число районов	13.0	6.0	7.0	-	-	-	-	-	-
численность сельского населения	158614.0	58671.0	99943.0	-	-	-	-	-	-
мужчины	78693.0	28843.0	49850.0	-	-	-	-	-	-
женщины	79921.0	29828.0	50093.0	-	-	-	-	-	-
Карачаево-Черкесская Республика									
Число районов	8.0	6.0	2.0	-	-	-	-	-	-
численность сельского населения	242363.0	179527.0	62836.0	-	-	-	-	-	-
мужчины	116155.0	86111.0	30044.0	-	-	-	-	-	-
женщины	126208.0	93416.0	32792.0	-	-	-	-	-	-
Республика Северная Осетия-Алания									
Число районов	8.0	4.0	3.0	-	1.0	-	-	-	-
численность сельского населения	242932.0	66822.0	164467.0	-	11643.0	-	-	-	-
мужчины	116632.0	31871.0	78952.0	-	5809.0	-	-	-	-
женщины	126300.0	34951.0	85515.0	-	5834.0	-	-	-	-
Чеченская Республика									
Число районов	15.0	9.0	4.0	2.0	-	-	-	-	-
численность сельского населения	730509.0	425106.0	137921.0	167482.0	-	-	-	-	-
мужчины	357601.0	202500.0	70071.0	85030.0	-	-	-	-	-
женщины	372908.0	222606.0	67850.0	82452.0	-	-	-	-	-
Краснодарский край									
Число районов	38.0	2.0	22.0	11.0	3.0	-	-	-	-
численность сельского населения	2137951.0	72293.0	1225952.0	652844.0	186862.0	-	-	-	-
мужчины	1003562.0	33555.0	575630.0	306697.0	87680.0	-	-	-	-
женщины	1134389.0	38738.0	650322.0	346147.0	99182.0	-	-	-	-
Ставропольский край									
Число районов	26.0	6.0	14.0	6.0	-	-	-	-	-
численность сельского населения	1177972.0	204905.0	597103.0	375964.0	-	-	-	-	-
мужчины	561574.0	96863.0	283884.0	180827.0	-	-	-	-	-
женщины	616398.0	108042.0	313219.0	195137.0	-	-	-	-	-
Астраханская область									
Число районов	11.0	2.0	5.0	3.0	1.0	-	-	-	-
численность сельского населения	324713.0	43952.0	142702.0	100261.0	37798.0	-	-	-	-
мужчины	156471.0	21490.0	68420.0	48245.0	18316.0	-	-	-	-
женщины	168242.0	22462.0	74282.0	52016.0	19482.0	-	-	-	-
Волгоградская область									
Число районов	33.0	-	16.0	12.0	4.0	1.0	-	-	-
численность сельского населения	663045.0	-	286758.0	263647.0	82025.0	30615.0	-	-	-
мужчины	315901.0	-	136929.0	126076.0	38666.0	14230.0	-	-	-
женщины	347144.0	-	149829.0	137571.0	43359.0	16385.0	-	-	-
Ростовская область									
Число районов	43.0	2.0	14.0	13.0	12.0	2.0	-	-	-
численность сельского населения	1406431.0	55668.0	346671.0	397842.0	486953.0	119297.0	-	-	-
мужчины	668749.0	26492.0	164766.0	193296.0	228706.0	55489.0	-	-	-
женщины	737682.0	29176.0	181905.0	204546.0	258247.0	63808.0	-	-	-
Приволжский федеральный округ									
Число районов	448.0	10.0	65.0	124.0	168.0	49.0	18.0	12.0	2.0
численность сельского населения	8884115.0	113057.0	942431.0	2331589.0	3564238.0	1259110.0	295992.0	319349.0	58349.0
мужчины	4229342.0	56529.0	446281.0	1106618.0	1701547.0	601653.0	139853.0	150411.0	26450.0
женщины	4654773.0	56528.0	496150.0	1224971.0	1862691.0	657457.0	156139.0	168938.0	31899.0
Республика Башкортостан									
Число районов	54.0	-	1.0	8.0	35.0	10.0	-	-	-
численность сельского населения	1463077.0	-	16839.0	181151.0	957548.0	307539.0	-	-	-
мужчины	704091.0	-	8410.0	87103.0	460758.0	147820.0	-	-	-
женщины	758986.0	-	8429.0	94048.0	496790.0	159719.0	-	-	-
Республика Марий Эл									
Число районов	14.0	-	-	2.0	5.0	4.0	2.0	1.0	-
численность сельского населения	243846.0	-	-	18367.0	69861.0	98889.0	27526.0	29203.0	-
мужчины	117120.0	-	-	8722.0	33870.0	47346.0	13573.0	13609.0	-
женщины	126726.0	-	-	9645.0	35991.0	51543.0	13953.0	15594.0	-
Республика Мордовия									
Число районов	22.0	-	5.0	8.0	8.0	1.0	-	-	-
численность сельского населения	350334.0	-	62675.0	97882.0	164289.0	25488.0	-	-	-
мужчины	165434.0	-	29271.0	44861.0	79685.0	11617.0	-	-	-
женщины	184900.0	-	33404.0	53021.0	84604.0	13871.0	-	-	-
Республика Татарстан									
Число районов	43.0	-	4.0	10.0	24.0	5.0	-	-	-
численность сельского населения	984823.0	-	50957.0	166400.0	580283.0	187183.0	-	-	-
мужчины	467912.0	-	24106.0	78939.0	276355.0	88512.0	-	-	-
женщины	516911.0	-	26851.0	87461.0	303928.0	98671.0	-	-	-
Удмуртская Республика									
Число районов	25.0	1.0	3.0	2.0	13.0	6.0	-	-	-
численность сельского населения	475978.0	5129.0	36264.0	40503.0	230074.0	164008.0	-	-	-
мужчины	230065.0	2456.0	17272.0	19074.0	110145.0	81118.0	-	-	-
женщины	245913.0	2673.0	18992.0	21429.0	119929.0	82890.0	-	-	-
Чувашская Республика									
Число районов	21.0	-	3.0	7.0	4.0	5.0	2.0	-	-
численность сельского населения	516313.0	-	52479.0	166006.0	69077.0	144516.0	84235.0	-	-
мужчины	246530.0	-	24807.0	79632.0	32777.0	69350.0	39964.0	-	-
женщины	269783.0	-	27672.0	86374.0	36300.0	75166.0	44271.0	-	-
Кировская область									
Число районов	39.0	-	1.0	8.0	12.0	7.0	6.0	5.0	-
численность сельского населения	401873.0	-	3584.0	61737.0	94475.0	92743.0	54884.0	94450.0	-
мужчины	191444.0	-	1654.0	29884.0	45808.0	43891.0	25882.0	44325.0	-
женщины	210429.0	-	1930.0	31853.0	48667.0	48852.0	29002.0	50125.0	-
Нижегородская область									
Число районов	48.0	1.0	1.0	14.0	17.0	7.0	4.0	2.0	2.0
численность сельского населения	762630.0	19977.0	11297.0	159919.0	268503.0	164774.0	60616.0	19195.0	58349.0
мужчины	355399.0	12197.0	5374.0	73393.0	126952.0	74506.0	27684.0	8843.0	26450.0
женщины	407231.0	7780.0	5923.0	86526.0	141551.0	90268.0	32932.0	10352.0	31899.0
Оренбургская область									
Число районов	35.0	2.0	10.0	14.0	9.0	-	-	-	-
численность сельского населения	893723.0	25796.0	201083.0	372049.0	294795.0	-	-	-	-
мужчины	430867.0	12386.0	95659.0	182506.0	140316.0	-	-	-	-
женщины	462856.0	13410.0	105424.0	189543.0	154479.0	-	-	-	-
Пензенская область									
Число районов	28.0	-	8.0	10.0	9.0	1.0	-	-	-
численность сельского населения	506473.0	-	92088.0	195546.0	199718.0	19121.0	-	-	-
мужчины	235173.0	-	42840.0	90850.0	92691.0	8792.0	-	-	-
женщины	271300.0	-	49248.0	104696.0	107027.0	10329.0	-	-	-
Пермская область									
Число районов	33.0	1.0	-	7.0	14.0	3.0	4.0	4.0	-
численность сельского населения	613124.0	2084.0	-	93736.0	217223.0	54849.0	68731.0	176501.0	-
мужчины	296803.0	1071.0	-	45075.0	105572.0	28701.0	32750.0	83634.0	-
женщины	316321.0	1013.0	-	48661.0	111651.0	26148.0	35981.0	92867.0	-
Коми-Пермяцкий автономный округ									
Число районов	6.0	-	-	2.0	2.0	-	1.0	1.0	-
численность сельского населения	100336.0	-	-	25892.0	25018.0	-	19898.0	29528.0	-
мужчины	48949.0	-	-	12680.0	12466.0	-	9618.0	14185.0	-
женщины	51387.0	-	-	13212.0	12552.0	-	10280.0	15343.0	-
Самарская область									
Число районов	27.0	1.0	9.0	11.0	6.0	-	-	-	-
численность сельского населения	622655.0	12858.0	152116.0	285589.0	172092.0	-	-	-	-
мужчины	294599.0	6067.0	72046.0	135348.0	81138.0	-	-	-	-
женщины	328056.0	6791.0	80070.0	150241.0	90954.0	-	-	-	-
Саратовская область									
Число районов	38.0	4.0	12.0	14.0	8.0	-	-	-	-
численность сельского населения	699591.0	47213.0	174358.0	302691.0	175329.0	-	-	-	-
мужчины	331567.0	22352.0	83589.0	142907.0	82719.0	-	-	-	-
женщины	368024.0	24861.0	90769.0	159784.0	92610.0	-	-	-	-
Ульяновская область									
Число районов	21.0	-	8.0	9.0	4.0	-	-	-	-
численность сельского населения	349675.0	-	88691.0	190013.0	70971.0	-	-	-	-
мужчины	162338.0	-	41253.0	88324.0	32761.0	-	-	-	-
женщины	187337.0	-	47438.0	101689.0	38210.0	-	-	-	-
Уральский федеральный округ									
Число районов	116.0	14.0	36.0	38.0	24.0	4.0	-	-	-
численность сельского населения	2200361.0	139844.0	537666.0	715725.0	707907.0	99219.0	-	-	-
мужчины	1058321.0	70317.0	259349.0	343915.0	336859.0	47881.0	-	-	-
женщины	1142040.0	69527.0	278317.0	371810.0	371048.0	51338.0	-	-	-
Курганская область									
Число районов	24.0	1.0	6.0	11.0	6.0	-	-	-	-
численность сельского населения	445151.0	11755.0	85442.0	175471.0	172483.0	-	-	-	-
мужчины	211167.0	5459.0	40503.0	82655.0	82550.0	-	-	-	-
женщины	233984.0	6296.0	44939.0	92816.0	89933.0	-	-	-	-
Свердловская область									
Число районов	30.0	1.0	9.0	11.0	7.0	2.0	-	-	-
численность сельского населения	460551.0	1896.0	111655.0	143590.0	152431.0	50979.0	-	-	-
мужчины	223200.0	871.0	52919.0	73220.0	72076.0	24114.0	-	-	-
женщины	237351.0	1025.0	58736.0	70370.0	80355.0	26865.0	-	-	-
Тюменская область									
Число районов	38.0	11.0	12.0	7.0	6.0	2.0	-	-	-
численность сельского населения	680633.0	122612.0	194161.0	137019.0	178601.0	48240.0	-	-	-
мужчины	334047.0	62284.0	96929.0	65542.0	85525.0	23767.0	-	-	-
женщины	346586.0	60328.0	97232.0	71477.0	93076.0	24473.0	-	-	-
Ханты-Мансийский автономный округ – Югра									
Число районов	9.0	5.0	4.0	-	-	-	-	-	-
численность сельского населения	129915.0	55325.0	74590.0	-	-	-	-	-	-
мужчины	67752.0	28080.0	39672.0	-	-	-	-	-	-
женщины	62163.0	27245.0	34918.0	-	-	-	-	-	-
Ямало-Ненецкий автономный округ									
Число районов	7.0	6.0	1.0	-	-	-	-	-	-
численность сельского населения	76846.0	67287.0	9559.0	-	-	-	-	-	-
мужчины	38948.0	34204.0	4744.0	-	-	-	-	-	-
женщины	37898.0	33083.0	4815.0	-	-	-	-	-	-
Челябинская область									
Число районов	24.0	1.0	9.0	9.0	5.0	-	-	-	-
численность сельского населения	614026.0	3581.0	146408.0	259645.0	204392.0	-	-	-	-
мужчины	289907.0	1703.0	68998.0	122498.0	96708.0	-	-	-	-
женщины	324119.0	1878.0	77410.0	137147.0	107684.0	-	-	-	-
Сибирский федеральный округ									
Число районов	324.0	66.0	154.0	71.0	29.0	4.0	-	-	-
численность сельского населения	5721126.0	667865.0	2538601.0	1512032.0	815813.0	186815.0	-	-	-
мужчины	2758485.0	322705.0	1224237.0	729066.0	393385.0	89092.0	-	-	-
женщины	2962641.0	345160.0	1314364.0	782966.0	422428.0	97723.0	-	-	-
Республика Алтай									
Число районов	10.0	3.0	6.0	1.0	-	-	-	-	-
численность сельского населения	149409.0	37957.0	93971.0	17481.0	-	-	-	-	-
мужчины	72576.0	18348.0	45681.0	8547.0	-	-	-	-	-
женщины	76833.0	19609.0	48290.0	8934.0	-	-	-	-	-
Республика Бурятия									
Число районов	21.0	3.0	15.0	3.0	-	-	-	-	-
численность сельского населения	384805.0	9935.0	299774.0	75096.0	-	-	-	-	-
мужчины	187463.0	4927.0	146418.0	36118.0	-	-	-	-	-
женщины	197342.0	5008.0	153356.0	38978.0	-	-	-	-	-
Республика Тыва									
Число районов	17.0	12.0	2.0	2.0	1.0	-	-	-	-
численность сельского населения	148211.0	94848.0	16452.0	25004.0	11907.0	-	-	-	-
мужчины	71528.0	45722.0	7927.0	12093.0	5786.0	-	-	-	-
женщины	76683.0	49126.0	8525.0	12911.0	6121.0	-	-	-	-
Республика Хакасия									
Число районов	8.0	1.0	6.0	1.0	-	-	-	-	-
численность сельского населения	159207.0	23894.0	103234.0	32079.0	-	-	-	-	-
мужчины	75725.0	11227.0	49173.0	15325.0	-	-	-	-	-
женщины	83482.0	12667.0	54061.0	16754.0	-	-	-	-	-
Алтайский край									
Число районов	60.0	17.0	37.0	6.0	-	-	-	-	-
численность сельского населения	1191319.0	263221.0	747199.0	180899.0	-	-	-	-	-
мужчины	565317.0	124967.0	354068.0	86282.0	-	-	-	-	-
женщины	626002.0	138254.0	393131.0	94617.0	-	-	-	-	-
Красноярский край									
Число районов	47.0	7.0	26.0	12.0	2.0	-	-	-	-
численность сельского населения	714919.0	34525.0	403182.0	234595.0	42617.0	-	-	-	-
мужчины	348600.0	17318.0	195209.0	114920.0	21153.0	-	-	-	-
женщины	366319.0	17207.0	207973.0	119675.0	21464.0	-	-	-	-
Таймырский (Долгано-Ненецкий) автономный округ									
Число районов	2.0	2.0	-	-	-	-	-	-	-
численность сельского населения	11146.0	11146.0	-	-	-	-	-	-	-
мужчины	5620.0	5620.0	-	-	-	-	-	-	-
женщины	5526.0	5526.0	-	-	-	-	-	-	-
Эвенкийский автономный округ									
Число районов	3.0	3.0	-	-	-	-	-	-	-
численность сельского населения	11861.0	11861.0	-	-	-	-	-	-	-
мужчины	6065.0	6065.0	-	-	-	-	-	-	-
женщины	5796.0	5796.0	-	-	-	-	-	-	-
Иркутская область									
Число районов	33.0	6.0	11.0	6.0	9.0	1.0	-	-	-
численность сельского населения	534091.0	30254.0	114280.0	125109.0	239850.0	24598.0	-	-	-
мужчины	260910.0	14910.0	55862.0	60467.0	117757.0	11914.0	-	-	-
женщины	273181.0	15344.0	58418.0	64642.0	122093.0	12684.0	-	-	-
Усть-Ордынский Бурятский автономный округ									
Число районов	6.0	-	2.0	2.0	2.0	-	-	-	-
численность сельского населения	135327.0	-	38171.0	43517.0	53639.0	-	-	-	-
мужчины	65007.0	-	18473.0	20849.0	25685.0	-	-	-	-
женщины	70320.0	-	19698.0	22668.0	27954.0	-	-	-	-
Кемеровская область									
Число районов	19.0	1.0	6.0	6.0	5.0	1.0	-	-	-
численность сельского населения	372707.0	2658.0	71233.0	137874.0	118014.0	42928.0	-	-	-
мужчины	179323.0	1602.0	34528.0	66019.0	56564.0	20610.0	-	-	-
женщины	193384.0	1056.0	36705.0	71855.0	61450.0	22318.0	-	-	-
Новосибирская область									
Число районов	30.0	1.0	7.0	14.0	7.0	1.0	-	-	-
численность сельского населения	670560.0	16301.0	119172.0	275402.0	226284.0	33401.0	-	-	-
мужчины	321225.0	7812.0	56813.0	133277.0	107400.0	15923.0	-	-	-
женщины	349335.0	8489.0	62359.0	142125.0	118884.0	17478.0	-	-	-
Омская область									
Число районов	32.0	2.0	10.0	15.0	5.0	-	-	-	-
численность сельского населения	650647.0	28359.0	155207.0	289940.0	177141.0	-	-	-	-
мужчины	311307.0	13356.0	74778.0	138448.0	84725.0	-	-	-	-
женщины	339340.0	15003.0	80429.0	151492.0	92416.0	-	-	-	-
Томская область									
Число районов	16.0	3.0	9.0	3.0	-	1.0	-	-	-
численность сельского населения	329118.0	28572.0	159787.0	54871.0	-	85888.0	-	-	-
мужчины	158206.0	14198.0	76902.0	26461.0	-	40645.0	-	-	-
женщины	170912.0	14374.0	82885.0	28410.0	-	45243.0	-	-	-
Читинская область									
Число районов	31.0	10.0	19.0	2.0	-	-	-	-	-
численность сельского населения	416133.0	97341.0	255110.0	63682.0	-	-	-	-	-
мужчины	206305.0	48318.0	126878.0	31109.0	-	-	-	-	-
женщины	209828.0	49023.0	128232.0	32573.0	-	-	-	-	-
Агинский Бурятский автономный округ									
Число районов	3.0	1.0	2.0	-	-	-	-	-	-
численность сельского населения	46703.0	15316.0	31387.0	-	-	-	-	-	-
мужчины	23109.0	7416.0	15693.0	-	-	-	-	-	-
женщины	23594.0	7900.0	15694.0	-	-	-	-	-	-
Дальневосточный федеральный округ									
Число районов	143.0	85.0	53.0	4.0	1.0	-	-	-	-
