5. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ПОЛУ И СОСТОЯНИЮ В БРАКЕ ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМН																
																
	Мужчины в возрасте 16 лет и более, включая мужчин до 16 лет, указавших состояние в браке	в том числе							Женщины в возрасте 16 лет и более, включая женщин до 16 лет, указавших состояние в браке	в том числе						
Городское население	1090.0	781.0	692.0	89.0	200.0	45.0	64.0	-	1863.0	833.0	750.0	83.0	338.0	505.0	187.0	-
Сельское население	626.0	392.0	348.0	44.0	147.0	33.0	54.0	-	820.0	395.0	332.0	63.0	93.0	276.0	56.0	-
Ленинградская область																
Городское и сельское население	759.0	531.0	494.0	37.0	92.0	80.0	54.0	2.0	1183.0	557.0	520.0	37.0	85.0	475.0	66.0	-
Городское население	180.0	121.0	111.0	10.0	17.0	23.0	18.0	1.0	311.0	152.0	144.0	8.0	26.0	105.0	28.0	-
Сельское население	579.0	410.0	383.0	27.0	75.0	57.0	36.0	1.0	872.0	405.0	376.0	29.0	59.0	370.0	38.0	-
ДОЛГАНЫ																
Территории преимущественного проживания КМН																
Городское и сельское население	1932.0	950.0	729.0	221.0	799.0	96.0	86.0	1.0	2583.0	1299.0	953.0	346.0	769.0	355.0	160.0	-
Городское население	279.0	110.0	84.0	26.0	144.0	8.0	17.0	-	586.0	217.0	155.0	62.0	254.0	60.0	55.0	-
Сельское население	1653.0	840.0	645.0	195.0	655.0	88.0	69.0	1.0	1997.0	1082.0	798.0	284.0	515.0	295.0	105.0	-
Красноярский край																
Городское и сельское население	1634.0	781.0	574.0	207.0	694.0	85.0	73.0	1.0	2149.0	1054.0	738.0	316.0	636.0	316.0	143.0	-
Городское население	231.0	87.0	64.0	23.0	120.0	8.0	16.0	-	514.0	188.0	134.0	54.0	222.0	55.0	49.0	-
Сельское население	1403.0	694.0	510.0	184.0	574.0	77.0	57.0	1.0	1635.0	866.0	604.0	262.0	414.0	261.0	94.0	-
Таймырский (Долгано-Ненецкий) автономный округ																
Городское и сельское население	1542.0	751.0	552.0	199.0	639.0	85.0	66.0	1.0	2002.0	982.0	681.0	301.0	583.0	304.0	133.0	-
Городское население	154.0	61.0	44.0	17.0	75.0	8.0	10.0	-	385.0	129.0	83.0	46.0	173.0	43.0	40.0	-
Сельское население	1388.0	690.0	508.0	182.0	564.0	77.0	56.0	1.0	1617.0	853.0	598.0	255.0	410.0	261.0	93.0	-
Республика Саха (Якутия)																
Городское и сельское население	298.0	169.0	155.0	14.0	105.0	11.0	13.0	-	434.0	245.0	215.0	30.0	133.0	39.0	17.0	-
Городское население	48.0	23.0	20.0	3.0	24.0	-	1.0	-	72.0	29.0	21.0	8.0	32.0	5.0	6.0	-
Сельское население	250.0	146.0	135.0	11.0	81.0	11.0	12.0	-	362.0	216.0	194.0	22.0	101.0	34.0	11.0	-
ИЖОРЦЫ																
Ленинградская область																
Городское и сельское население	42.0	33.0	29.0	4.0	1.0	4.0	4.0	-	132.0	33.0	32.0	1.0	11.0	71.0	16.0	1.0
Городское население	17.0	12.0	10.0	2.0	1.0	2.0	2.0	-	29.0	8.0	8.0	-	4.0	13.0	3.0	1.0
Сельское население	25.0	21.0	19.0	2.0	-	2.0	2.0	-	103.0	25.0	24.0	1.0	7.0	58.0	13.0	-
ИТЕЛЬМЕНЫ																
Территории преимущественного проживания КМН																
Городское и сельское население	978.0	464.0	337.0	127.0	414.0	25.0	74.0	1.0	1183.0	635.0	476.0	159.0	258.0	159.0	129.0	2.0
Городское население	317.0	161.0	118.0	43.0	129.0	3.0	23.0	1.0	460.0	231.0	171.0	60.0	128.0	44.0	57.0	-
Сельское население	661.0	303.0	219.0	84.0	285.0	22.0	51.0	-	723.0	404.0	305.0	99.0	130.0	115.0	72.0	2.0
Камчатская область																
Городское и сельское население	781.0	368.0	277.0	91.0	330.0	22.0	61.0	-	930.0	501.0	387.0	114.0	200.0	133.0	94.0	2.0
Городское население	200.0	98.0	76.0	22.0	85.0	2.0	15.0	-	280.0	137.0	110.0	27.0	80.0	33.0	30.0	-
Сельское население	581.0	270.0	201.0	69.0	245.0	20.0	46.0	-	650.0	364.0	277.0	87.0	120.0	100.0	64.0	2.0
Корякский автономный округ																
Городское и сельское население	382.0	178.0	130.0	48.0	173.0	10.0	21.0	-	435.0	245.0	175.0	70.0	86.0	70.0	34.0	-
Городское население	46.0	23.0	21.0	2.0	21.0	-	2.0	-	63.0	29.0	23.0	6.0	20.0	9.0	5.0	-
Сельское население	336.0	155.0	109.0	46.0	152.0	10.0	19.0	-	372.0	216.0	152.0	64.0	66.0	61.0	29.0	-
Магаданская область																
Городское и сельское население	197.0	96.0	60.0	36.0	84.0	3.0	13.0	1.0	253.0	134.0	89.0	45.0	58.0	26.0	35.0	-
Городское население	117.0	63.0	42.0	21.0	44.0	1.0	8.0	1.0	180.0	94.0	61.0	33.0	48.0	11.0	27.0	-
Сельское население	80.0	33.0	18.0	15.0	40.0	2.0	5.0	-	73.0	40.0	28.0	12.0	10.0	15.0	8.0	-
КАМЧАДАЛЫ																
Камчатская область																
Городское и сельское население	654.0	341.0	268.0	73.0	206.0	24.0	83.0	-	746.0	404.0	325.0	79.0	144.0	112.0	85.0	1.0
Городское население	357.0	191.0	152.0	39.0	116.0	10.0	40.0	-	414.0	233.0	182.0	51.0	76.0	60.0	44.0	1.0
Сельское население	297.0	150.0	116.0	34.0	90.0	14.0	43.0	-	332.0	171.0	143.0	28.0	68.0	52.0	41.0	-
Корякский автономный округ																
Городское и сельское население	45.0	28.0	22.0	6.0	7.0	-	10.0	-	58.0	33.0	30.0	3.0	5.0	11.0	9.0	-
Городское население	26.0	16.0	13.0	3.0	3.0	-	7.0	-	35.0	22.0	19.0	3.0	3.0	7.0	3.0	-
Сельское население	19.0	12.0	9.0	3.0	4.0	-	3.0	-	23.0	11.0	11.0	-	2.0	4.0	6.0	-
КЕТЫ																
Красноярский край																
Городское и сельское население	366.0	115.0	64.0	51.0	211.0	16.0	24.0	-	434.0	242.0	162.0	80.0	108.0	59.0	25.0	-
Городское население	44.0	13.0	8.0	5.0	27.0	2.0	2.0	-	111.0	64.0	50.0	14.0	25.0	12.0	10.0	-
Сельское население	322.0	102.0	56.0	46.0	184.0	14.0	22.0	-	323.0	178.0	112.0	66.0	83.0	47.0	15.0	-
КОРЯКИ																
Территории преимущественного проживания КМН																
Городское и сельское население	2634.0	972.0	652.0	320.0	1372.0	134.0	151.0	5.0	2936.0	1496.0	972.0	524.0	888.0	344.0	201.0	7.0
Городское население	660.0	227.0	161.0	66.0	365.0	16.0	48.0	4.0	928.0	411.0	280.0	131.0	337.0	96.0	79.0	5.0
Сельское население	1974.0	745.0	491.0	254.0	1007.0	118.0	103.0	1.0	2008.0	1085.0	692.0	393.0	551.0	248.0	122.0	2.0
Камчатская область																
Городское и сельское население	2341.0	853.0	584.0	269.0	1224.0	122.0	138.0	4.0	2599.0	1319.0	873.0	446.0	783.0	309.0	181.0	7.0
Городское население	557.0	191.0	139.0	52.0	304.0	15.0	44.0	3.0	789.0	343.0	240.0	103.0	289.0	84.0	68.0	5.0
Сельское население	1784.0	662.0	445.0	217.0	920.0	107.0	94.0	1.0	1810.0	976.0	633.0	343.0	494.0	225.0	113.0	2.0
Корякский автономный округ																
Городское и сельское население	2110.0	799.0	546.0	253.0	1077.0	114.0	118.0	2.0	2339.0	1199.0	792.0	407.0	690.0	284.0	159.0	7.0
Городское население	403.0	158.0	117.0	41.0	201.0	13.0	29.0	2.0	621.0	271.0	195.0	76.0	222.0	70.0	53.0	5.0
Сельское население	1707.0	641.0	429.0	212.0	876.0	101.0	89.0	-	1718.0	928.0	597.0	331.0	468.0	214.0	106.0	2.0
Магаданская область																
Городское и сельское население	273.0	109.0	59.0	50.0	139.0	12.0	12.0	1.0	315.0	169.0	94.0	75.0	96.0	31.0	19.0	-
Городское население	94.0	32.0	19.0	13.0	57.0	1.0	3.0	1.0	130.0	64.0	36.0	28.0	44.0	11.0	11.0	-
Сельское население	179.0	77.0	40.0	37.0	82.0	11.0	9.0	-	185.0	105.0	58.0	47.0	52.0	20.0	8.0	-
Чукотский автономный округ																
Городское и сельское население	20.0	10.0	9.0	1.0	9.0	-	1.0	-	22.0	8.0	5.0	3.0	9.0	4.0	1.0	-
Городское население	9.0	4.0	3.0	1.0	4.0	-	1.0	-	9.0	4.0	4.0	-	4.0	1.0	-	-
Сельское население	11.0	6.0	6.0	-	5.0	-	-	-	13.0	4.0	1.0	3.0	5.0	3.0	1.0	-
КУМАНДИНЦЫ																
Территории преимущественного проживания КМН																
Городское и сельское население	1077.0	623.0	467.0	156.0	317.0	50.0	85.0	2.0	1350.0	665.0	472.0	193.0	306.0	249.0	130.0	-
Городское население	565.0	308.0	255.0	53.0	186.0	28.0	43.0	-	752.0	325.0	246.0	79.0	203.0	136.0	88.0	-
Сельское население	512.0	315.0	212.0	103.0	131.0	22.0	42.0	2.0	598.0	340.0	226.0	114.0	103.0	113.0	42.0	-
Алтайский край																
Городское и сельское население	625.0	351.0	254.0	97.0	194.0	29.0	50.0	1.0	793.0	390.0	270.0	120.0	194.0	129.0	80.0	-
Городское население	310.0	155.0	127.0	28.0	118.0	16.0	21.0	-	415.0	180.0	133.0	47.0	122.0	58.0	55.0	-
Сельское население	315.0	196.0	127.0	69.0	76.0	13.0	29.0	1.0	378.0	210.0	137.0	73.0	72.0	71.0	25.0	-
Республика Алтай																
Городское и сельское население	339.0	201.0	155.0	46.0	96.0	15.0	26.0	1.0	403.0	194.0	135.0	59.0	91.0	83.0	35.0	-
Городское население	161.0	97.0	81.0	16.0	43.0	6.0	15.0	-	209.0	81.0	57.0	24.0	63.0	45.0	20.0	-
Сельское население	178.0	104.0	74.0	30.0	53.0	9.0	11.0	1.0	194.0	113.0	78.0	35.0	28.0	38.0	15.0	-
Кемеровская область																
Городское и сельское население	113.0	71.0	58.0	13.0	27.0	6.0	9.0	-	154.0	81.0	67.0	14.0	21.0	37.0	15.0	-
Городское население	94.0	56.0	47.0	9.0	25.0	6.0	7.0	-	128.0	64.0	56.0	8.0	18.0	33.0	13.0	-
Сельское население	19.0	15.0	11.0	4.0	2.0	-	2.0	-	26.0	17.0	11.0	6.0	3.0	4.0	2.0	-
МАНСИ																
Территории преимущественного проживания КМН																
Городское и сельское население	3020.0	1475.0	1157.0	318.0	1257.0	109.0	161.0	18.0	4118.0	2234.0	1778.0	456.0	1039.0	504.0	329.0	12.0
Городское население	1469.0	754.0	624.0	130.0	587.0	34.0	92.0	2.0	2246.0	1190.0	967.0	223.0	602.0	231.0	219.0	4.0
Сельское население	1551.0	721.0	533.0	188.0	670.0	75.0	69.0	16.0	1872.0	1044.0	811.0	233.0	437.0	273.0	110.0	8.0
Тюменская область																
Городское и сельское население	2915.0	1437.0	1131.0	306.0	1205.0	104.0	152.0	17.0	4010.0	2182.0	1737.0	445.0	1006.0	492.0	319.0	11.0
Городское население	1421.0	738.0	612.0	126.0	562.0	33.0	86.0	2.0	2183.0	1157.0	939.0	218.0	583.0	228.0	212.0	3.0
Сельское население	1494.0	699.0	519.0	180.0	643.0	71.0	66.0	15.0	1827.0	1025.0	798.0	227.0	423.0	264.0	107.0	8.0
Ханты-Мансийский автономный округ – Югра																
Городское и сельское население	2694.0	1338.0	1054.0	284.0	1098.0	102.0	139.0	17.0	3675.0	2017.0	1602.0	415.0	902.0	455.0	290.0	11.0
Городское население	1249.0	666.0	557.0	109.0	474.0	31.0	76.0	2.0	1940.0	1048.0	851.0	197.0	495.0	204.0	190.0	3.0
Сельское население	1445.0	672.0	497.0	175.0	624.0	71.0	63.0	15.0	1735.0	969.0	751.0	218.0	407.0	251.0	100.0	8.0
Свердловская область																
Городское и сельское население	105.0	38.0	26.0	12.0	52.0	5.0	9.0	1.0	108.0	52.0	41.0	11.0	33.0	12.0	10.0	1.0
Городское население	48.0	16.0	12.0	4.0	25.0	1.0	6.0	-	63.0	33.0	28.0	5.0	19.0	3.0	7.0	1.0
Сельское население	57.0	22.0	14.0	8.0	27.0	4.0	3.0	1.0	45.0	19.0	13.0	6.0	14.0	9.0	3.0	-
НАГАЙБАКИ																
Челябинская область																
Городское и сельское население	3360.0	2464.0	2273.0	191.0	629.0	128.0	139.0	-	4199.0	2374.0	2188.0	186.0	641.0	938.0	246.0	-
Городское население	567.0	404.0	367.0	37.0	125.0	15.0	23.0	-	782.0	404.0	383.0	21.0	166.0	153.0	59.0	-
Сельское население	2793.0	2060.0	1906.0	154.0	504.0	113.0	116.0	-	3417.0	1970.0	1805.0	165.0	475.0	785.0	187.0	-
НАНАЙЦЫ																
Территории преимущественного проживания КМН																
Городское и сельское население	3808.0	1907.0	1449.0	458.0	1533.0	134.0	227.0	7.0	4608.0	2439.0	1764.0	675.0	1267.0	523.0	372.0	7.0
Городское население	1079.0	488.0	397.0	91.0	476.0	34.0	78.0	3.0	1522.0	667.0	513.0	154.0	532.0	150.0	170.0	3.0
Сельское население	2729.0	1419.0	1052.0	367.0	1057.0	100.0	149.0	4.0	3086.0	1772.0	1251.0	521.0	735.0	373.0	202.0	4.0
Хабаровский край																
Городское и сельское население	3611.0	1797.0	1357.0	440.0	1466.0	126.0	216.0	6.0	4358.0	2298.0	1660.0	638.0	1213.0	491.0	350.0	6.0
Городское население	989.0	436.0	357.0	79.0	447.0	30.0	74.0	2.0	1388.0	602.0	464.0	138.0	494.0	133.0	157.0	2.0
Сельское население	2622.0	1361.0	1000.0	361.0	1019.0	96.0	142.0	4.0	2970.0	1696.0	1196.0	500.0	719.0	358.0	193.0	4.0
Приморский край																
Городское и сельское население	150.0	83.0	73.0	10.0	50.0	7.0	9.0	1.0	179.0	106.0	80.0	26.0	35.0	21.0	16.0	1.0
Городское население	55.0	33.0	28.0	5.0	15.0	3.0	3.0	1.0	68.0	34.0	28.0	6.0	19.0	6.0	8.0	1.0
Сельское население	95.0	50.0	45.0	5.0	35.0	4.0	6.0	-	111.0	72.0	52.0	20.0	16.0	15.0	8.0	-
Сахалинская область																
Городское и сельское население	47.0	27.0	19.0	8.0	17.0	1.0	2.0	-	71.0	35.0	24.0	11.0	19.0	11.0	6.0	-
Городское население	35.0	19.0	12.0	7.0	14.0	1.0	1.0	-	66.0	31.0	21.0	10.0	19.0	11.0	5.0	-
Сельское население	12.0	8.0	7.0	1.0	3.0	-	1.0	-	5.0	4.0	3.0	1.0	-	-	1.0	-
НГАНАСАНЫ																
Красноярский край																
Городское и сельское население	229.0	81.0	45.0	36.0	127.0	16.0	5.0	-	290.0	117.0	77.0	40.0	111.0	46.0	16.0	-
Городское население	41.0	11.0	7.0	4.0	29.0	1.0	-	-	62.0	19.0	14.0	5.0	27.0	9.0	7.0	-
Сельское население	188.0	70.0	38.0	32.0	98.0	15.0	5.0	-	228.0	98.0	63.0	35.0	84.0	37.0	9.0	-
Таймырский (Долгано-Ненецкий) автономный округ																
Городское и сельское население	213.0	76.0	42.0	34.0	116.0	16.0	5.0	-	270.0	109.0	71.0	38.0	103.0	45.0	13.0	-
Городское население	31.0	9.0	5.0	4.0	21.0	1.0	-	-	43.0	12.0	9.0	3.0	19.0	8.0	4.0	-
Сельское население	182.0	67.0	37.0	30.0	95.0	15.0	5.0	-	227.0	97.0	62.0	35.0	84.0	37.0	9.0	-
НЕГИДАЛЬЦЫ																
Хабаровский край																
Городское и сельское население	151.0	71.0	47.0	24.0	68.0	5.0	6.0	1.0	209.0	104.0	77.0	27.0	50.0	39.0	16.0	-
Городское население	31.0	16.0	7.0	9.0	11.0	3.0	1.0	-	60.0	23.0	19.0	4.0	20.0	11.0	6.0	-
Сельское население	120.0	55.0	40.0	15.0	57.0	2.0	5.0	1.0	149.0	81.0	58.0	23.0	30.0	28.0	10.0	-
НЕНЦЫ																
Территории преимущественного проживания КМН																
Городское и сельское население	10701.0	5530.0	4494.0	1036.0	4437.0	442.0	257.0	35.0	13445.0	7059.0	5609.0	1450.0	3937.0	1926.0	484.0	39.0
Городское население	1584.0	689.0	542.0	147.0	752.0	51.0	85.0	7.0	2954.0	1318.0	960.0	358.0	1093.0	312.0	224.0	7.0
Сельское население	9117.0	4841.0	3952.0	889.0	3685.0	391.0	172.0	28.0	10491.0	5741.0	4649.0	1092.0	2844.0	1614.0	260.0	32.0
Ямало-Ненецкий автономный округ																
Городское и сельское население	6875.0	3778.0	3163.0	615.0	2620.0	294.0	152.0	31.0	8602.0	4492.0	3651.0	841.0	2572.0	1210.0	294.0	34.0
Городское население	769.0	328.0	264.0	64.0	369.0	19.0	47.0	6.0	1575.0	662.0	480.0	182.0	635.0	152.0	122.0	4.0
Сельское население	6106.0	3450.0	2899.0	551.0	2251.0	275.0	105.0	25.0	7027.0	3830.0	3171.0	659.0	1937.0	1058.0	172.0	30.0
Архангельская область																
Городское и сельское население	2448.0	1052.0	840.0	212.0	1237.0	96.0	62.0	1.0	3069.0	1585.0	1250.0	335.0	901.0	461.0	121.0	1.0
Городское население	460.0	207.0	165.0	42.0	218.0	17.0	18.0	-	808.0	379.0	288.0	91.0	269.0	95.0	64.0	1.0
Сельское население	1988.0	845.0	675.0	170.0	1019.0	79.0	44.0	1.0	2261.0	1206.0	962.0	244.0	632.0	366.0	57.0	-
Ненецкий автономный округ																
Городское и сельское население	2266.0	986.0	785.0	201.0	1139.0	86.0	54.0	1.0	2767.0	1414.0	1112.0	302.0	829.0	421.0	102.0	1.0
Городское население	380.0	181.0	144.0	37.0	172.0	12.0	15.0	-	664.0	304.0	228.0	76.0	226.0	80.0	53.0	1.0
Сельское население	1886.0	805.0	641.0	164.0	967.0	74.0	39.0	1.0	2103.0	1110.0	884.0	226.0	603.0	341.0	49.0	-
Таймырский (Долгано-Ненецкий) автономный округ																
Городское и сельское население	786.0	400.0	271.0	129.0	338.0	25.0	22.0	1.0	1000.0	552.0	380.0	172.0	279.0	139.0	30.0	-
Городское население	78.0	32.0	21.0	11.0	36.0	1.0	8.0	1.0	182.0	74.0	44.0	30.0	78.0	17.0	13.0	-
Сельское население	708.0	368.0	250.0	118.0	302.0	24.0	14.0	-	818.0	478.0	336.0	142.0	201.0	122.0	17.0	-
Ханты-Мансийский автономный округ – Югра 																
Городское и сельское население	379.0	215.0	163.0	52.0	135.0	12.0	15.0	2.0	488.0	277.0	217.0	60.0	116.0	71.0	21.0	3.0
Городское население	92.0	49.0	41.0	8.0	34.0	2.0	7.0	-	151.0	79.0	59.0	20.0	49.0	12.0	10.0	1.0
Сельское население	287.0	166.0	122.0	44.0	101.0	10.0	8.0	2.0	337.0	198.0	158.0	40.0	67.0	59.0	11.0	2.0
Республика Коми																
Городское и сельское население	213.0	85.0	57.0	28.0	107.0	15.0	6.0	-	286.0	153.0	111.0	42.0	69.0	45.0	18.0	1.0
Городское население	185.0	73.0	51.0	22.0	95.0	12.0	5.0	-	238.0	124.0	89.0	35.0	62.0	36.0	15.0	1.0
Сельское население	28.0	12.0	6.0	6.0	12.0	3.0	1.0	-	48.0	29.0	22.0	7.0	7.0	9.0	3.0	-
НИВХИ																
Территории преимущественного проживания КМН																
Городское и сельское население	1500.0	656.0	420.0	236.0	692.0	58.0	91.0	3.0	1906.0	903.0	534.0	369.0	617.0	227.0	156.0	3.0
Городское население	704.0	270.0	184.0	86.0	361.0	25.0	48.0	-	973.0	419.0	253.0	166.0	347.0	107.0	98.0	2.0
Сельское население	796.0	386.0	236.0	150.0	331.0	33.0	43.0	3.0	933.0	484.0	281.0	203.0	270.0	120.0	58.0	1.0
Хабаровский край																
Городское и сельское население	767.0	349.0	219.0	130.0	347.0	32.0	37.0	2.0	955.0	460.0	268.0	192.0	302.0	113.0	80.0	-
Городское население	288.0	114.0	77.0	37.0	151.0	12.0	11.0	-	430.0	180.0	114.0	66.0	169.0	39.0	42.0	-
Сельское население	479.0	235.0	142.0	93.0	196.0	20.0	26.0	2.0	525.0	280.0	154.0	126.0	133.0	74.0	38.0	-
Сахалинская область																
Городское и сельское население	733.0	307.0	201.0	106.0	345.0	26.0	54.0	1.0	951.0	443.0	266.0	177.0	315.0	114.0	76.0	3.0
Городское население	416.0	156.0	107.0	49.0	210.0	13.0	37.0	-	543.0	239.0	139.0	100.0	178.0	68.0	56.0	2.0
Сельское население	317.0	151.0	94.0	57.0	135.0	13.0	17.0	1.0	408.0	204.0	127.0	77.0	137.0	46.0	20.0	1.0
ОРОЧИ																
Хабаровский край																
Городское и сельское население	134.0	37.0	26.0	11.0	84.0	6.0	6.0	1.0	167.0	79.0	51.0	28.0	56.0	18.0	14.0	-
Городское население	39.0	10.0	9.0	1.0	25.0	1.0	3.0	-	63.0	27.0	21.0	6.0	22.0	7.0	7.0	-
Сельское население	95.0	27.0	17.0	10.0	59.0	5.0	3.0	1.0	104.0	52.0	30.0	22.0	34.0	11.0	7.0	-
СААМЫ																
Мурманская область																
Городское и сельское население	576.0	259.0	196.0	63.0	254.0	20.0	43.0	-	732.0	359.0	295.0	64.0	163.0	117.0	93.0	-
Городское население	205.0	98.0	77.0	21.0	80.0	7.0	20.0	-	324.0	164.0	138.0	26.0	73.0	45.0	42.0	-
Сельское население	371.0	161.0	119.0	42.0	174.0	13.0	23.0	-	408.0	195.0	157.0	38.0	90.0	72.0	51.0	-
СЕЛЬКУПЫ																
Территории преимущественного проживания КМН																
Городское и сельское население	1368.0	614.0	421.0	193.0	596.0	59.0	93.0	6.0	1579.0	872.0	579.0	293.0	386.0	213.0	104.0	4.0
Городское население	227.0	104.0	84.0	20.0	96.0	7.0	20.0	-	308.0	138.0	100.0	38.0	105.0	37.0	28.0	-
Сельское население	1141.0	510.0	337.0	173.0	500.0	52.0	73.0	6.0	1271.0	734.0	479.0	255.0	281.0	176.0	76.0	4.0
Тюменская область																
Городское и сельское население	590.0	212.0	134.0	78.0	321.0	26.0	25.0	6.0	695.0	366.0	243.0	123.0	206.0	84.0	35.0	4.0
Городское население	86.0	33.0	24.0	9.0	45.0	2.0	6.0	-	126.0	50.0	41.0	9.0	53.0	13.0	10.0	-
Сельское население	504.0	179.0	110.0	69.0	276.0	24.0	19.0	6.0	569.0	316.0	202.0	114.0	153.0	71.0	25.0	4.0
Ямало-Ненецкий автономный округ																
Городское и сельское население	566.0	204.0	128.0	76.0	308.0	25.0	23.0	6.0	664.0	351.0	231.0	120.0	194.0	82.0	33.0	4.0
Городское население	66.0	25.0	18.0	7.0	35.0	2.0	4.0	-	104.0	43.0	35.0	8.0	42.0	11.0	8.0	-
Сельское население	500.0	179.0	110.0	69.0	273.0	23.0	19.0	6.0	560.0	308.0	196.0	112.0	152.0	71.0	25.0	4.0
Томская область																
Городское и сельское население	669.0	351.0	262.0	89.0	225.0	29.0	64.0	-	733.0	414.0	284.0	130.0	140.0	113.0	66.0	-
Городское население	125.0	63.0	54.0	9.0	46.0	4.0	12.0	-	147.0	73.0	49.0	24.0	36.0	21.0	17.0	-
Сельское население	544.0	288.0	208.0	80.0	179.0	25.0	52.0	-	586.0	341.0	235.0	106.0	104.0	92.0	49.0	-
Красноярский край																
Городское и сельское население	109.0	51.0	25.0	26.0	50.0	4.0	4.0	-	151.0	92.0	52.0	40.0	40.0	16.0	3.0	-
Городское население	16.0	8.0	6.0	2.0	5.0	1.0	2.0	-	35.0	15.0	10.0	5.0	16.0	3.0	1.0	-
Сельское население	93.0	43.0	19.0	24.0	45.0	3.0	2.0	-	116.0	77.0	42.0	35.0	24.0	13.0	2.0	-
СОЙОТЫ																
Республика Бурятия																
Городское и сельское население	910.0	504.0	453.0	51.0	362.0	17.0	19.0	8.0	957.0	474.0	417.0	57.0	333.0	102.0	37.0	11.0
Городское население	81.0	23.0	23.0	-	56.0	-	2.0	-	114.0	29.0	22.0	7.0	71.0	3.0	11.0	-
Сельское население	829.0	481.0	430.0	51.0	306.0	17.0	17.0	8.0	843.0	445.0	395.0	50.0	262.0	99.0	26.0	11.0
ТАЗЫ																
Приморский край																
Городское и сельское население	98.0	67.0	61.0	6.0	25.0	2.0	4.0	-	105.0	62.0	45.0	17.0	15.0	19.0	9.0	-
Городское население	38.0	24.0	22.0	2.0	11.0	1.0	2.0	-	40.0	17.0	14.0	3.0	9.0	6.0	8.0	-
Сельское население	60.0	43.0	39.0	4.0	14.0	1.0	2.0	-	65.0	45.0	31.0	14.0	6.0	13.0	1.0	-
ТЕЛЕНГИТЫ																
Республика Алтай																
Городское и сельское население	718.0	434.0	378.0	56.0	228.0	33.0	23.0	-	807.0	426.0	363.0	63.0	237.0	114.0	30.0	-
Городское население	28.0	12.0	10.0	2.0	14.0	-	2.0	-	43.0	13.0	9.0	4.0	26.0	4.0	-	-
Сельское население	690.0	422.0	368.0	54.0	214.0	33.0	21.0	-	764.0	413.0	354.0	59.0	211.0	110.0	30.0	-
ТЕЛЕУТЫ																
Кемеровская область 																
