7. НАСЕЛЕНИЕ, ЗАНЯТОЕ В ЭКОНОМИКЕ, ПО УРОВНЮ ОБРАЗОВАНИЯ, ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ												
												
												
	Всего	Имеющие образование								Не имеющие 
Мужчины, занятые в экономике, в возрасте 15 лет и более	8671096.0	67209.0	2152363.0	291332.0	2720787.0	1354630.0	1481253.0	492401.0	75856.0	6390.0	1490.0	28875.0
в том числе в возрасте, лет:												
15–17	36624.0	-	-	184.0	2123.0	3118.0	11709.0	16957.0	2070.0	117.0	43.0	346.0
18–19 	205571.0	-	219.0	7958.0	60816.0	37411.0	62941.0	32419.0	3064.0	191.0	59.0	552.0
20–24 	948553.0	2557.0	135272.0	71601.0	308045.0	157805.0	185513.0	76679.0	7460.0	757.0	223.0	2864.0
25–29 	1110860.0	7766.0	275588.0	50857.0	349451.0	171343.0	179705.0	65971.0	5791.0	805.0	178.0	3583.0
30–34 	1083881.0	6619.0	269989.0	40913.0	381960.0	166146.0	169846.0	38822.0	4420.0	839.0	168.0	4327.0
35–39 	1087600.0	6862.0	288972.0	32231.0	374226.0	168606.0	175899.0	32154.0	4088.0	696.0	142.0	3866.0
40–44 	1300230.0	8340.0	332986.0	30500.0	426075.0	213466.0	235666.0	42597.0	5192.0	867.0	192.0	4541.0
45–49 	1139633.0	8443.0	293359.0	23013.0	350052.0	194454.0	206594.0	52937.0	6565.0	670.0	143.0	3546.0
50–54 	920332.0	8164.0	248537.0	18076.0	266017.0	148041.0	157072.0	62179.0	8956.0	597.0	149.0	2693.0
55–59 	432126.0	5938.0	139314.0	9171.0	113126.0	58819.0	59786.0	34898.0	9365.0	373.0	87.0	1336.0
60–64 	248830.0	5821.0	98151.0	4481.0	57671.0	24059.0	25954.0	23072.0	8623.0	243.0	57.0	755.0
65–69 	106072.0	3813.0	47746.0	1662.0	22223.0	7942.0	7640.0	9024.0	5617.0	132.0	34.0	273.0
70 и более	50784.0	2886.0	22230.0	685.0	9002.0	3420.0	2928.0	4692.0	4645.0	103.0	15.0	193.0
Возраст не указан	5975.0	41.0	868.0	286.0	1956.0	1188.0	827.0	392.0	42.0	14.0	3.0	361.0
Из общей численности занятых - мужчины в возрасте:												
трудоспособном	8262321.0	54689.0	1984236.0	284504.0	2631891.0	1319112.0	1444663.0	453300.0	56478.0	5894.0	1379.0	27554.0
старше трудоспособного	405686.0	12520.0	168127.0	6828.0	88896.0	35421.0	36522.0	36788.0	18885.0	478.0	106.0	1221.0
16-29 лет	2298519.0	10323.0	411079.0	130600.0	720435.0	369580.0	439800.0	189713.0	17892.0	1852.0	498.0	7245.0
Женщины, занятые в экономике, в возрасте 15 лет и более	8236205.0	45420.0	2353729.0	285524.0	3151052.0	885593.0	1152026.0	291702.0	42972.0	5044.0	1015.0	23143.0
в том числе в возрасте, лет:												
15–17	26319.0	-	-	307.0	1632.0	1666.0	13008.0	8599.0	733.0	53.0	14.0	321.0
18–19 	146077.0	-	258.0	13815.0	41862.0	20073.0	57587.0	11251.0	702.0	94.0	26.0	435.0
20–24 	765383.0	2167.0	162397.0	87271.0	267337.0	86072.0	125340.0	30334.0	2026.0	396.0	87.0	2043.0
25–29 	932324.0	6018.0	297318.0	45439.0	330269.0	101266.0	114747.0	32053.0	2096.0	529.0	112.0	2589.0
30–34 	956766.0	5717.0	295131.0	33651.0	388251.0	103937.0	104574.0	20018.0	1912.0	525.0	93.0	3050.0
35–39 	1067325.0	5510.0	329636.0	27688.0	442912.0	117402.0	120714.0	17809.0	1911.0	575.0	103.0	3168.0
40–44 	1370934.0	6590.0	396984.0	28593.0	564590.0	156374.0	185698.0	24800.0	2777.0	715.0	111.0	3813.0
45–49 	1277128.0	6100.0	353611.0	21655.0	511033.0	147243.0	191562.0	38183.0	3796.0	683.0	105.0	3262.0
50–54 	1026422.0	5164.0	281673.0	16497.0	398244.0	104202.0	160496.0	51196.0	5772.0	570.0	112.0	2608.0
55–59 	330481.0	2910.0	120827.0	5954.0	110753.0	25322.0	42162.0	18286.0	3181.0	203.0	50.0	883.0
60–64 	207275.0	2667.0	71661.0	2889.0	62745.0	14068.0	24872.0	21535.0	6119.0	201.0	45.0	518.0
65–69 	86884.0	1462.0	30406.0	1064.0	23350.0	5480.0	7670.0	11195.0	5794.0	202.0	68.0	261.0
70 и более	42887.0	1115.0	13827.0	701.0	8074.0	2488.0	3596.0	6443.0	6153.0	298.0	89.0	192.0
Возраст не указан	3775.0	17.0	717.0	187.0	1258.0	582.0	508.0	209.0	22.0	16.0	2.0	259.0
Из общей численности занятых - женщины в возрасте:												
трудоспособном	7566881.0	37266.0	2117008.0	274916.0	2946130.0	838198.0	1073669.0	232876.0	21494.0	4129.0	759.0	21195.0
старше трудоспособного	667527.0	8154.0	236721.0	10608.0	204922.0	47358.0	78300.0	57459.0	21247.0	904.0	252.0	1854.0
16-29 лет	1868306.0	8185.0	459973.0	146832.0	641100.0	209040.0	310625.0	80870.0	5326.0	1061.0	235.0	5294.0
Городское население, занятое в экономике, в возрасте 15 лет и более	14186319.0	107607.0	4149843.0	534843.0	4961221.0	1652396.0	2117376.0	527391.0	76775.0	9261.0	1495.0	49606.0
в том числе в возрасте, лет:												
15–17	47750.0	-	-	488.0	3275.0	3402.0	21357.0	17105.0	1389.0	113.0	28.0	621.0
18–19 	289255.0	-	469.0	20670.0	85895.0	44540.0	103272.0	31168.0	2117.0	210.0	46.0	914.0
20–24 	1437057.0	4525.0	273733.0	148398.0	486595.0	185778.0	256167.0	70642.0	5631.0	913.0	189.0	4675.0
25–29 	1734602.0	13216.0	533408.0	89272.0	581709.0	204426.0	235883.0	64617.0	5100.0	1081.0	184.0	5890.0
30–34 	1717273.0	11829.0	522351.0	69208.0	649205.0	197966.0	216201.0	37848.0	4449.0	1138.0	166.0	7078.0
35–39 	1777953.0	11689.0	564717.0	55179.0	677437.0	202381.0	224352.0	30423.0	4022.0	1043.0	138.0	6710.0
40–44 	2200405.0	14149.0	666374.0	54273.0	823362.0	262406.0	324981.0	40520.0	5052.0	1333.0	176.0	7955.0
45–49 	2008561.0	13824.0	592726.0	40902.0	723489.0	248181.0	318605.0	57224.0	5998.0	1144.0	151.0	6468.0
50–54 	1639749.0	12738.0	486422.0	31750.0	567283.0	188150.0	262756.0	76154.0	8474.0	949.0	153.0	5073.0
55–59 	663661.0	8504.0	241445.0	13973.0	197725.0	65793.0	88186.0	38443.0	7024.0	442.0	76.0	2126.0
60–64 	408931.0	8156.0	159342.0	6861.0	108369.0	32330.0	45533.0	36292.0	10460.0	369.0	67.0	1219.0
65–69 	175182.0	5073.0	74160.0	2579.0	41194.0	11729.0	13987.0	17153.0	8560.0	238.0	61.0	509.0
70 и более	85940.0	3904.0	34696.0	1290.0	15683.0	5314.0	6096.0	9802.0	8499.0	288.0	60.0	368.0
Возраст не указан	9308.0	56.0	1526.0	464.0	3091.0	1683.0	1255.0	550.0	59.0	30.0	5.0	594.0
Из общей численности занятых - население в возрасте:												
трудоспособном	13218612.0	87678.0	3770474.0	518629.0	4697724.0	1581155.0	2014332.0	447360.0	46605.0	8178.0	1273.0	46477.0
старше трудоспособного	964095.0	19929.0	379369.0	16214.0	263497.0	71129.0	102921.0	77294.0	29732.0	1061.0	217.0	2949.0
16-29 лет	3505052.0	17741.0	807610.0	258828.0	1157474.0	438034.0	616556.0	180795.0	13799.0	2295.0	442.0	11920.0
Мужчины, занятые в экономике, в возрасте 15 лет и более	7225746.0	64184.0	1993710.0	272115.0	2331308.0	973124.0	1180508.0	331310.0	46916.0	5086.0	868.0	27485.0
в том числе в возрасте, лет:												
15–17	26314.0	-	-	184.0	1845.0	2147.0	9899.0	10897.0	956.0	70.0	18.0	316.0
18–19 	168429.0	-	217.0	7613.0	51566.0	29510.0	53345.0	23785.0	1752.0	138.0	32.0	503.0
20–24 	788531.0	2449.0	123727.0	67443.0	264584.0	119592.0	151488.0	51561.0	4381.0	573.0	129.0	2733.0
25–29 	941234.0	7450.0	257201.0	47606.0	305032.0	127497.0	144194.0	44459.0	3727.0	655.0	117.0	3413.0
30–34 	914477.0	6331.0	252364.0	38397.0	330310.0	119653.0	133853.0	25608.0	3119.0	699.0	112.0	4143.0
35–39 	894770.0	6469.0	266570.0	30003.0	316852.0	116055.0	131984.0	19874.0	2719.0	564.0	73.0	3680.0
40–44 	1059153.0	7893.0	305837.0	28261.0	358325.0	145460.0	179572.0	25554.0	3199.0	719.0	110.0	4333.0
45–49	932873.0	8022.0	269770.0	21098.0	295331.0	134496.0	163503.0	33049.0	3693.0	553.0	79.0	3358.0
50–54 	763139.0	7795.0	228376.0	16593.0	227023.0	104917.0	128808.0	41635.0	4954.0	469.0	84.0	2569.0
55–59 	369619.0	5708.0	130274.0	8489.0	99474.0	44037.0	50881.0	24396.0	4811.0	276.0	47.0	1273.0
60–64 	223319.0	5576.0	92363.0	4191.0	52337.0	19943.0	23304.0	18781.0	5909.0	195.0	35.0	720.0
65–69 	96864.0	3678.0	45509.0	1591.0	20302.0	6789.0	6948.0	7621.0	4065.0	99.0	21.0	262.0
70 и более	47024.0	2813.0	21502.0	646.0	8327.0	3028.0	2729.0	4090.0	3631.0	76.0	11.0	182.0
Возраст не указан	5746.0	39.0	844.0	282.0	1902.0	1134.0	786.0	360.0	39.0	14.0	3.0	346.0
Из общей численности занятых - мужчины в возрасте:												
трудоспособном	6856364.0	52117.0	1834336.0	265687.0	2250342.0	943284.0	1147460.0	299176.0	33028.0	4704.0	799.0	26230.0
старше трудоспособного	367207.0	12067.0	159374.0	6428.0	80966.0	29760.0	32981.0	30492.0	13605.0	370.0	67.0	1164.0
16-29 лет	1922333.0	9899.0	381145.0	122846.0	623027.0	278666.0	358859.0	129060.0	10533.0	1424.0	294.0	6874.0
Женщины, занятые в экономике, в возрасте 15 лет и более	6960573.0	43423.0	2156133.0	262728.0	2629913.0	679272.0	936868.0	196081.0	29859.0	4175.0	627.0	22121.0
в том числе в возрасте, лет:												
15–17	21436.0	-	-	304.0	1430.0	1255.0	11458.0	6208.0	433.0	43.0	10.0	305.0
18–19 	120826.0	-	252.0	13057.0	34329.0	15030.0	49927.0	7383.0	365.0	72.0	14.0	411.0
20–24 	648526.0	2076.0	150006.0	80955.0	222011.0	66186.0	104679.0	19081.0	1250.0	340.0	60.0	1942.0
25–29 	793368.0	5766.0	276207.0	41666.0	276677.0	76929.0	91689.0	20158.0	1373.0	426.0	67.0	2477.0
30–34 	802796.0	5498.0	269987.0	30811.0	318895.0	78313.0	82348.0	12240.0	1330.0	439.0	54.0	2935.0
35–39 	883183.0	5220.0	298147.0	25176.0	360585.0	86326.0	92368.0	10549.0	1303.0	479.0	65.0	3030.0
40–44 	1141252.0	6256.0	360537.0	26012.0	465037.0	116946.0	145409.0	14966.0	1853.0	614.0	66.0	3622.0
45–49 	1075688.0	5802.0	322956.0	19804.0	428158.0	113685.0	155102.0	24175.0	2305.0	591.0	72.0	3110.0
50–54 	876610.0	4943.0	258046.0	15157.0	340260.0	83233.0	133948.0	34519.0	3520.0	480.0	69.0	2504.0
55–59 	294042.0	2796.0	111171.0	5484.0	98251.0	21756.0	37305.0	14047.0	2213.0	166.0	29.0	853.0
60–64 	185612.0	2580.0	66979.0	2670.0	56032.0	12387.0	22229.0	17511.0	4551.0	174.0	32.0	499.0
65–69 	78318.0	1395.0	28651.0	988.0	20892.0	4940.0	7039.0	9532.0	4495.0	139.0	40.0	247.0
70 и более	38916.0	1091.0	13194.0	644.0	7356.0	2286.0	3367.0	5712.0	4868.0	212.0	49.0	186.0
Возраст не указан	3562.0	17.0	682.0	182.0	1189.0	549.0	469.0	190.0	20.0	16.0	2.0	248.0
Из общей численности занятых - женщины в возрасте:												
трудоспособном	6362248.0	35561.0	1936138.0	252942.0	2447382.0	637871.0	866872.0	148184.0	13577.0	3474.0	474.0	20247.0
старше трудоспособного	596888.0	7862.0	219995.0	9786.0	182531.0	41369.0	69940.0	46802.0	16127.0	691.0	150.0	1785.0
16-29 лет	1582719.0	7842.0	426465.0	135982.0	534447.0	159368.0	257697.0	51735.0	3266.0	871.0	148.0	5046.0
Сельское население, занятое в экономике, в возрасте 15 лет и более	2720982.0	5022.0	356249.0	42013.0	910618.0	587827.0	515903.0	256712.0	42053.0	2173.0	1010.0	2412.0
в том числе в возрасте, лет:												
15–17	15193.0	-	-	3.0	480.0	1382.0	3360.0	8451.0	1414.0	57.0	29.0	46.0
18–19 	62393.0	-	8.0	1103.0	16783.0	12944.0	17256.0	12502.0	1649.0	75.0	39.0	73.0
20–24 	276879.0	199.0	23936.0	10474.0	88787.0	58099.0	54686.0	36371.0	3855.0	240.0	121.0	232.0
25–29 	308582.0	568.0	39498.0	7024.0	98011.0	68183.0	58569.0	33407.0	2787.0	253.0	106.0	282.0
30–34 	323374.0	507.0	42769.0	5356.0	121006.0	72117.0	58219.0	20992.0	1883.0	226.0	95.0	299.0
35–39 	376972.0	683.0	53891.0	4740.0	139701.0	83627.0	72261.0	19540.0	1977.0	228.0	107.0	324.0
40–44 	470759.0	781.0	63596.0	4820.0	167303.0	107434.0	96383.0	26877.0	2917.0	249.0	127.0	399.0
45–49 	408200.0	719.0	54244.0	3766.0	137596.0	93516.0	79551.0	33896.0	4363.0	209.0	97.0	340.0
50–54 	307005.0	590.0	43788.0	2823.0	96978.0	64093.0	54812.0	37221.0	6254.0	218.0	108.0	228.0
55–59 	98946.0	344.0	18696.0	1152.0	26154.0	18348.0	13762.0	14741.0	5522.0	134.0	61.0	93.0
60–64 	47174.0	332.0	10470.0	509.0	12047.0	5797.0	5293.0	8315.0	4282.0	75.0	35.0	54.0
65–69 	17774.0	202.0	3992.0	147.0	4379.0	1693.0	1323.0	3066.0	2851.0	96.0	41.0	25.0
70 и более	7731.0	97.0	1361.0	96.0	1393.0	594.0	428.0	1333.0	2299.0	113.0	44.0	17.0
Возраст не указан	442.0	2.0	59.0	9.0	123.0	87.0	80.0	51.0	5.0	-	-	26.0
Из общей численности занятых - население в возрасте:												
трудоспособном	2610590.0	4277.0	330770.0	40791.0	880297.0	576155.0	504000.0	238816.0	31367.0	1845.0	865.0	2272.0
старше трудоспособного	109118.0	745.0	25479.0	1222.0	30321.0	11650.0	11901.0	16953.0	10400.0	321.0	141.0	126.0
16-29 лет	661773.0	767.0	63442.0	18604.0	204061.0	140586.0	133869.0	89788.0	9419.0	618.0	291.0	619.0
Мужчины, занятые в экономике, в возрасте 15 лет и более	1445350.0	3025.0	158653.0	19217.0	389479.0	381506.0	300745.0	161091.0	28940.0	1304.0	622.0	1390.0
в том числе в возрасте, лет:												
15–17	10310.0	-	-	-	278.0	971.0	1810.0	6060.0	1114.0	47.0	25.0	30.0
18–19 	37142.0	-	2.0	345.0	9250.0	7901.0	9596.0	8634.0	1312.0	53.0	27.0	49.0
20–24 	160022.0	108.0	11545.0	4158.0	43461.0	38213.0	34025.0	25118.0	3079.0	184.0	94.0	131.0
25–29 	169626.0	316.0	18387.0	3251.0	44419.0	43846.0	35511.0	21512.0	2064.0	150.0	61.0	170.0
30–34 	169404.0	288.0	17625.0	2516.0	51650.0	46493.0	35993.0	13214.0	1301.0	140.0	56.0	184.0
35–39 	192830.0	393.0	22402.0	2228.0	57374.0	52551.0	43915.0	12280.0	1369.0	132.0	69.0	186.0
40–44 	241077.0	447.0	27149.0	2239.0	67750.0	68006.0	56094.0	17043.0	1993.0	148.0	82.0	208.0
45–49 	206760.0	421.0	23589.0	1915.0	54721.0	59958.0	43091.0	19888.0	2872.0	117.0	64.0	188.0
50–54 	157193.0	369.0	20161.0	1483.0	38994.0	43124.0	28264.0	20544.0	4002.0	128.0	65.0	124.0
55–59 	62507.0	230.0	9040.0	682.0	13652.0	14782.0	8905.0	10502.0	4554.0	97.0	40.0	63.0
60–64 	25511.0	245.0	5788.0	290.0	5334.0	4116.0	2650.0	4291.0	2714.0	48.0	22.0	35.0
65–69 	9208.0	135.0	2237.0	71.0	1921.0	1153.0	692.0	1403.0	1552.0	33.0	13.0	11.0
70 и более	3760.0	73.0	728.0	39.0	675.0	392.0	199.0	602.0	1014.0	27.0	4.0	11.0
Возраст не указан	229.0	2.0	24.0	4.0	54.0	54.0	41.0	32.0	3.0	-	-	15.0
Из общей численности занятых - мужчины в возрасте:												
трудоспособном	1405957.0	2572.0	149900.0	18817.0	381549.0	375828.0	297203.0	154124.0	23450.0	1190.0	580.0	1324.0
старше трудоспособного	38479.0	453.0	8753.0	400.0	7930.0	5661.0	3541.0	6296.0	5280.0	108.0	39.0	57.0
16-29 лет	376186.0	424.0	29934.0	7754.0	97408.0	90914.0	80941.0	60653.0	7359.0	428.0	204.0	371.0
Женщины, занятые в экономике, в возрасте 15 лет и более	1275632.0	1997.0	197596.0	22796.0	521139.0	206321.0	215158.0	95621.0	13113.0	869.0	388.0	1022.0
в том числе в возрасте, лет:												
15–17	4883.0	-	-	3.0	202.0	411.0	1550.0	2391.0	300.0	10.0	4.0	16.0
18–19 	25251.0	-	6.0	758.0	7533.0	5043.0	7660.0	3868.0	337.0	22.0	12.0	24.0
20–24 	116857.0	91.0	12391.0	6316.0	45326.0	19886.0	20661.0	11253.0	776.0	56.0	27.0	101.0
25–29 	138956.0	252.0	21111.0	3773.0	53592.0	24337.0	23058.0	11895.0	723.0	103.0	45.0	112.0
30–34 	153970.0	219.0	25144.0	2840.0	69356.0	25624.0	22226.0	7778.0	582.0	86.0	39.0	115.0
35–39 	184142.0	290.0	31489.0	2512.0	82327.0	31076.0	28346.0	7260.0	608.0	96.0	38.0	138.0
40–44 	229682.0	334.0	36447.0	2581.0	99553.0	39428.0	40289.0	9834.0	924.0	101.0	45.0	191.0
45–49 	201440.0	298.0	30655.0	1851.0	82875.0	33558.0	36460.0	14008.0	1491.0	92.0	33.0	152.0
50–54 	149812.0	221.0	23627.0	1340.0	57984.0	20969.0	26548.0	16677.0	2252.0	90.0	43.0	104.0
55–59 	36439.0	114.0	9656.0	470.0	12502.0	3566.0	4857.0	4239.0	968.0	37.0	21.0	30.0
60–64 	21663.0	87.0	4682.0	219.0	6713.0	1681.0	2643.0	4024.0	1568.0	27.0	13.0	19.0
65–69 	8566.0	67.0	1755.0	76.0	2458.0	540.0	631.0	1663.0	1299.0	63.0	28.0	14.0
70 и более	3971.0	24.0	633.0	57.0	718.0	202.0	229.0	731.0	1285.0	86.0	40.0	6.0
Возраст не указан	213.0	-	35.0	5.0	69.0	33.0	39.0	19.0	2.0	-	-	11.0
Из общей численности занятых - женщины в возрасте:												
трудоспособном	1204633.0	1705.0	180870.0	21974.0	498748.0	200327.0	206797.0	84692.0	7917.0	655.0	285.0	948.0
старше трудоспособного	70639.0	292.0	16726.0	822.0	22391.0	5989.0	8360.0	10657.0	5120.0	213.0	102.0	69.0
16-29 лет	285587.0	343.0	33508.0	10850.0	106653.0	49672.0	52928.0	29135.0	2060.0	190.0	87.0	248.0
Белгородская область												
Все население, занятое в экономике, в возрасте 15 лет и более	605045.0	1532.0	128427.0	13666.0	246127.0	96511.0	92808.0	21887.0	3249.0	269.0	116.0	569.0
в том числе в возрасте, лет:												
15–17	1752.0	-	-	-	80.0	159.0	670.0	768.0	62.0	5.0	1.0	8.0
18–19 	9624.0	-	-	275.0	3137.0	1972.0	3143.0	992.0	88.0	7.0	4.0	10.0
20–24 	60878.0	55.0	9834.0	3718.0	24105.0	10072.0	9861.0	2962.0	183.0	29.0	14.0	59.0
25–29 	77000.0	241.0	17655.0	2803.0	30385.0	12163.0	10508.0	2998.0	161.0	22.0	4.0	64.0
30–34 	74943.0	179.0	16311.0	1876.0	33201.0	11789.0	9662.0	1673.0	147.0	35.0	18.0	70.0
35–39 	84141.0	197.0	18680.0	1414.0	37270.0	12952.0	11880.0	1482.0	140.0	23.0	11.0	103.0
40–44 	104380.0	248.0	22017.0	1471.0	44512.0	17075.0	16664.0	2008.0	253.0	36.0	15.0	96.0
45–49 	89903.0	233.0	18696.0	1004.0	36924.0	15057.0	14948.0	2655.0	285.0	31.0	13.0	70.0
50–54 	69134.0	183.0	15001.0	730.0	26568.0	11169.0	11468.0	3406.0	522.0	33.0	18.0	54.0
55–59 	19704.0	71.0	5410.0	229.0	6338.0	2893.0	2761.0	1501.0	478.0	7.0	3.0	16.0
60–64 	9169.0	64.0	3251.0	102.0	2559.0	889.0	947.0	936.0	403.0	7.0	1.0	11.0
65–69 	3142.0	51.0	1195.0	32.0	802.0	243.0	218.0	313.0	266.0	16.0	8.0	6.0
70 и более	1275.0	10.0	377.0	12.0	246.0	78.0	78.0	193.0	261.0	18.0	6.0	2.0
Возраст не указан	101.0	-	20.0	1.0	33.0	6.0	10.0	7.0	2.0	-	-	22.0
Из общей численности занятых - население в возрасте:												
трудоспособном	584153.0	1391.0	121076.0	13456.0	239869.0	94704.0	90729.0	19949.0	2207.0	227.0	101.0	545.0
старше трудоспособного	20774.0	141.0	7351.0	210.0	6258.0	1805.0	2079.0	1842.0	1026.0	42.0	15.0	20.0
16-29 лет	149136.0	296.0	27489.0	6796.0	57707.0	24364.0	24182.0	7624.0	478.0	63.0	23.0	137.0
Мужчины, занятые в экономике, в возрасте 15 лет и более	308690.0	846.0	56685.0	6609.0	113773.0	59499.0	55180.0	13631.0	2046.0	134.0	58.0	287.0
в том числе в возрасте, лет:												
15–17	1120.0	-	-	-	47.0	85.0	389.0	562.0	29.0	2.0	1.0	6.0
18–19 	5076.0	-	-	94.0	1557.0	1102.0	1570.0	689.0	56.0	4.0	2.0	4.0
20–24 	33182.0	25.0	4169.0	1532.0	12584.0	6599.0	6081.0	2011.0	131.0	21.0	9.0	29.0
25–29 	40775.0	134.0	7745.0	1379.0	15094.0	7779.0	6524.0	1965.0	114.0	9.0	1.0	32.0
30–34 	38301.0	92.0	6877.0	934.0	15672.0	7366.0	6130.0	1081.0	94.0	19.0	9.0	36.0
35–39 	40977.0	88.0	7582.0	722.0	16564.0	7499.0	7526.0	851.0	86.0	12.0	5.0	47.0
40–44 	50532.0	116.0	9165.0	749.0	19260.0	9916.0	9899.0	1191.0	172.0	24.0	11.0	40.0
45–49 	43435.0	119.0	8136.0	513.0	15728.0	8887.0	8265.0	1550.0	182.0	16.0	8.0	39.0
50–54 	34811.0	115.0	7188.0	423.0	11639.0	7107.0	6162.0	1831.0	298.0	17.0	9.0	31.0
55–59 	12516.0	55.0	2882.0	165.0	3687.0	2298.0	1925.0	1101.0	382.0	6.0	3.0	15.0
60–64 	5497.0	47.0	1973.0	69.0	1374.0	656.0	547.0	570.0	256.0	1.0	-	4.0
65–69 	1837.0	46.0	743.0	21.0	432.0	164.0	126.0	151.0	150.0	1.0	-	3.0
70 и более	631.0	9.0	225.0	8.0	135.0	41.0	36.0	78.0	96.0	2.0	-	1.0
Возраст не указан	45.0	-	8.0	1.0	13.0	2.0	8.0	5.0	1.0	-	-	7.0
Из общей численности занятых - мужчины в возрасте:												
трудоспособном	300639.0	744.0	53744.0	6511.0	111832.0	58637.0	54471.0	12761.0	1534.0	130.0	58.0	275.0
старше трудоспособного	7965.0	102.0	2941.0	98.0	1941.0	861.0	709.0	799.0	502.0	4.0	-	8.0
16-29 лет	80067.0	159.0	11914.0	3005.0	29282.0	15564.0	14564.0	5156.0	320.0	36.0	13.0	67.0
Женщины, занятые в экономике, в возрасте 15 лет и более	296355.0	686.0	71742.0	7057.0	132354.0	37012.0	37628.0	8256.0	1203.0	135.0	58.0	282.0
в том числе в возрасте, лет:												
15–17	632.0	-	-	-	33.0	74.0	281.0	206.0	33.0	3.0	-	2.0
18–19 	4548.0	-	-	181.0	1580.0	870.0	1573.0	303.0	32.0	3.0	2.0	6.0
20–24 	27696.0	30.0	5665.0	2186.0	11521.0	3473.0	3780.0	951.0	52.0	8.0	5.0	30.0
25–29	36225.0	107.0	9910.0	1424.0	15291.0	4384.0	3984.0	1033.0	47.0	13.0	3.0	32.0
30–34 	36642.0	87.0	9434.0	942.0	17529.0	4423.0	3532.0	592.0	53.0	16.0	9.0	34.0
35–39 	43164.0	109.0	11098.0	692.0	20706.0	5453.0	4354.0	631.0	54.0	11.0	6.0	56.0
40–44 	53848.0	132.0	12852.0	722.0	25252.0	7159.0	6765.0	817.0	81.0	12.0	4.0	56.0
45–49 	46468.0	114.0	10560.0	491.0	21196.0	6170.0	6683.0	1105.0	103.0	15.0	5.0	31.0
50–54 	34323.0	68.0	7813.0	307.0	14929.0	4062.0	5306.0	1575.0	224.0	16.0	9.0	23.0
55–59 	7188.0	16.0	2528.0	64.0	2651.0	595.0	836.0	400.0	96.0	1.0	-	1.0
60–64 	3672.0	17.0	1278.0	33.0	1185.0	233.0	400.0	366.0	147.0	6.0	1.0	7.0
65–69 	1305.0	5.0	452.0	11.0	370.0	79.0	92.0	162.0	116.0	15.0	8.0	3.0
