5.5. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ						
ПО ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ И ПОЛУ						
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Мужчины и женщины	Мужчины	Женщины	В процентах ко всему населению		
учащиеся	25458.0	11971.0	13487.0	0.6	0.6	0.6
пенсионеры	30169.0	17672.0	12497.0	0.7	0.8	0.5
Экономически неактивное население	1071876.0	408729.0	663147.0	23.2	18.9	27.1
Орловская область						
Все население в возрасте 15-64 лет	580690.0	273423.0	307267.0	100.0	100.0	100.0
Экономически активное население	377577.0	186974.0	190603.0	65.0	68.4	62.0
в том числе:						
занятые в экономике	343744.0	168811.0	174933.0	59.2	61.7	56.9
из них:						
учащиеся	10282.0	4240.0	6042.0	1.8	1.6	2.0
пенсионеры	18917.0	7374.0	11543.0	3.3	2.7	3.8
безработные	33833.0	18163.0	15670.0	5.8	6.7	5.1
из них:						
учащиеся	3171.0	1441.0	1730.0	0.5	0.5	0.6
пенсионеры	2620.0	1336.0	1284.0	0.5	0.5	0.4
Экономически неактивное население	190254.0	80731.0	109523.0	32.8	29.5	35.6
Рязанская область						
Все население в возрасте 15-64 лет	824612.0	388029.0	436583.0	100.0	100.0	100.0
Экономически активное население	531401.0	265669.0	265732.0	64.4	68.5	60.9
в том числе:						
занятые в экономике	486985.0	241732.0	245253.0	59.0	62.3	56.2
из них:						
учащиеся	19055.0	7632.0	11423.0	2.3	2.0	2.6
пенсионеры	29919.0	12689.0	17230.0	3.6	3.3	3.9
безработные	44416.0	23937.0	20479.0	5.4	6.2	4.7
из них:						
учащиеся	4264.0	1917.0	2347.0	0.5	0.5	0.5
пенсионеры	3949.0	2198.0	1751.0	0.5	0.6	0.4
Экономически неактивное население	277073.0	115373.0	161700.0	33.6	29.7	37.0
Смоленская область						
Все население в возрасте 15-64 лет	712146.0	334136.0	378010.0	100.0	100.0	100.0
Экономически активное население	471750.0	232675.0	239075.0	66.2	69.6	63.2
в том числе:						
занятые в экономике	427752.0	208916.0	218836.0	60.0	62.5	57.9
из них:						
учащиеся	16049.0	6685.0	9364.0	2.3	2.0	2.5
пенсионеры	24186.0	10449.0	13737.0	3.4	3.1	3.6
безработные	43998.0	23759.0	20239.0	6.2	7.1	5.3
из них:						
учащиеся	4215.0	1823.0	2392.0	0.6	0.5	0.6
пенсионеры	4108.0	2233.0	1875.0	0.6	0.7	0.5
Экономически неактивное население	227169.0	95692.0	131477.0	31.9	28.6	34.8
Тамбовская область						
Все население в возрасте 15-64 лет	791506.0	375758.0	415748.0	100.0	100.0	100.0
Экономически активное население	480602.0	241684.0	238918.0	60.7	64.3	57.5
в том числе:						
занятые в экономике	412683.0	205830.0	206853.0	52.1	54.8	49.8
из них:						
учащиеся	10055.0	4243.0	5812.0	1.3	1.1	1.4
пенсионеры	21863.0	9299.0	12564.0	2.8	2.5	3.0
безработные	67919.0	35854.0	32065.0	8.6	9.5	7.7
из них:						
учащиеся	4340.0	1939.0	2401.0	0.5	0.5	0.6
пенсионеры	5736.0	3023.0	2713.0	0.7	0.8	0.7
Экономически неактивное население	300241.0	129527.0	170714.0	37.9	34.5	41.1
Тверская область						
Все население в возрасте 15-64 лет	980308.0	459428.0	520880.0	100.0	100.0	100.0
Экономически активное население	665182.0	329890.0	335292.0	67.9	71.8	64.4
в том числе:						
занятые в экономике	612371.0	301626.0	310745.0	62.5	65.7	59.7
из них:						
учащиеся	22293.0	9034.0	13259.0	2.3	2.0	2.5
пенсионеры	40455.0	17207.0	23248.0	4.1	3.7	4.5
безработные	52811.0	28264.0	24547.0	5.4	6.1	4.7
из них:						
учащиеся	5123.0	2147.0	2976.0	0.5	0.5	0.6
пенсионеры	5242.0	2911.0	2331.0	0.5	0.6	0.4
Экономически неактивное население	283710.0	116303.0	167407.0	28.9	25.3	32.1
Тульская область						
Все население в возрасте 15-64 лет	1135313.0	530437.0	604876.0	100.0	100.0	100.0
Экономически активное население	757947.0	373549.0	384398.0	66.8	70.4	63.5
в том числе:						
занятые в экономике	690360.0	336803.0	353557.0	60.8	63.5	58.4
из них:						
учащиеся	21378.0	8252.0	13126.0	1.9	1.6	2.2
пенсионеры	53824.0	20575.0	33249.0	4.7	3.9	5.5
безработные	67587.0	36746.0	30841.0	6.0	6.9	5.1
из них:						
учащиеся	5019.0	2251.0	2768.0	0.4	0.4	0.5
пенсионеры	7814.0	3969.0	3845.0	0.7	0.7	0.6
Экономически неактивное население	356788.0	148277.0	208511.0	31.4	28.0	34.5
Ярославская область						
Все население в возрасте 15-64 лет	939919.0	436924.0	502995.0	100.0	100.0	100.0
Экономически активное население	667671.0	324413.0	343258.0	71.0	74.2	68.2
в том числе:						
занятые в экономике	618059.0	298318.0	319741.0	65.7	68.3	63.5
из них:						
учащиеся	28497.0	11216.0	17281.0	3.0	2.6	3.4
пенсионеры	48422.0	19439.0	28983.0	5.2	4.4	5.8
безработные	49612.0	26095.0	23517.0	5.3	5.9	4.7
из них:						
учащиеся	6769.0	2976.0	3793.0	0.7	0.7	0.8
пенсионеры	5804.0	2825.0	2979.0	0.6	0.6	0.6
Экономически неактивное население	223362.0	90618.0	132744.0	23.8	20.7	26.4
г. Москва						
Все население в возрасте 15-64 лет	7662730.0	3795320.0	3867410.0	100.0	100.0	100.0
Экономически активное население	5228241.0	2791792.0	2436449.0	68.2	73.6	63.0
в том числе:						
занятые в экономике	4850351.0	2589618.0	2260733.0	63.3	68.3	58.5
из них:						
учащиеся	183769.0	86328.0	97441.0	2.4	2.3	2.5
пенсионеры	224024.0	94909.0	129115.0	2.9	2.5	3.3
безработные	377890.0	202174.0	175716.0	4.9	5.3	4.5
из них:						
учащиеся	65910.0	34425.0	31485.0	0.9	0.9	0.8
пенсионеры	41157.0	22732.0	18425.0	0.5	0.6	0.5
Экономически неактивное население	1887921.0	743227.0	1144694.0	24.6	19.6	29.6
Северо-Западный федеральный округ						
Все население в возрасте 15-64 лет	9752492.0	4575267.0	5177225.0	100.0	100.0	100.0
Экономически активное население	6663381.0	3312336.0	3351045.0	68.3	72.4	64.7
в том числе:						
занятые в экономике	6032334.0	2994747.0	3037587.0	61.8	65.5	58.7
из них:						
учащиеся	279259.0	120528.0	158731.0	2.9	2.6	3.1
пенсионеры	517479.0	214975.0	302504.0	5.3	4.7	5.8
безработные	631047.0	317589.0	313458.0	6.5	6.9	6.0
из них:						
учащиеся	85676.0	39245.0	46431.0	0.9	0.9	0.9
пенсионеры	72687.0	37226.0	35461.0	0.7	0.8	0.7
Экономически неактивное население	2722708.0	1094863.0	1627845.0	27.9	23.9	31.4
Республика Карелия						
Все население в возрасте 15-64 лет	501263.0	235204.0	266059.0	100.0	100.0	100.0
Экономически активное население	354723.0	174667.0	180056.0	70.8	74.3	67.7
в том числе:						
занятые в экономике	315839.0	154326.0	161513.0	63.0	65.6	60.7
из них:						
учащиеся	17033.0	7351.0	9682.0	3.4	3.1	3.6
пенсионеры	39484.0	14120.0	25364.0	7.9	6.0	9.5
безработные	38884.0	20341.0	18543.0	7.8	8.7	7.0
из них:						
учащиеся	4290.0	1863.0	2427.0	0.9	0.8	0.9
пенсионеры	5087.0	2569.0	2518.0	1.0	1.1	0.9
Экономически неактивное население	143317.0	59057.0	84260.0	28.6	25.1	31.7
Республика Коми						
Все население в возрасте 15-64 лет	732319.0	348889.0	383430.0	100.0	100.0	100.0
Экономически активное население	515644.0	256616.0	259028.0	70.4	73.6	67.6
в том числе:						
занятые в экономике	461771.0	229488.0	232283.0	63.0	65.8	60.6
из них:						
учащиеся	26243.0	11593.0	14650.0	3.6	3.3	3.8
пенсионеры	52175.0	19410.0	32765.0	7.1	5.6	8.5
безработные	53873.0	27128.0	26745.0	7.4	7.8	7.0
из них:						
учащиеся	6431.0	2646.0	3785.0	0.9	0.8	1.0
пенсионеры	6573.0	3319.0	3254.0	0.9	1.0	0.8
Экономически неактивное население	211621.0	89933.0	121688.0	28.9	25.8	31.7
Архангельская область						
Все население в возрасте 15-64 лет	929368.0	441626.0	487742.0	100.0	100.0	100.0
Экономически активное население	648889.0	324248.0	324641.0	69.8	73.4	66.6
в том числе:						
занятые в экономике	580608.0	289183.0	291425.0	62.5	65.5	59.8
из них:						
учащиеся	35979.0	14768.0	21211.0	3.9	3.3	4.3
пенсионеры	71198.0	26821.0	44377.0	7.7	6.1	9.1
безработные	68281.0	35065.0	33216.0	7.3	7.9	6.8
из них:						
учащиеся	7621.0	3085.0	4536.0	0.8	0.7	0.9
пенсионеры	6883.0	3474.0	3409.0	0.7	0.8	0.7
Экономически неактивное население	277529.0	115945.0	161584.0	29.9	26.3	33.1
Ненецкий автономный округ						
Все население в возрасте 15-64 лет	28820.0	14464.0	14356.0	100.0	100.0	100.0
Экономически активное население	21102.0	10818.0	10284.0	73.2	74.8	71.6
в том числе:						
занятые в экономике	19277.0	9734.0	9543.0	66.9	67.3	66.5
из них:						
учащиеся	1139.0	409.0	730.0	4.0	2.8	5.1
пенсионеры	2467.0	885.0	1582.0	8.6	6.1	11.0
безработные	1825.0	1084.0	741.0	6.3	7.5	5.1
из них:						
учащиеся	152.0	57.0	95.0	0.5	0.4	0.7
пенсионеры	121.0	70.0	51.0	0.4	0.5	0.4
Экономически неактивное население	7165.0	3380.0	3785.0	24.9	23.4	26.4
Вологодская область						
Все население в возрасте 15-64 лет	864000.0	412777.0	451223.0	100.0	100.0	100.0
Экономически активное население	610926.0	302940.0	307986.0	70.7	73.4	68.3
в том числе:						
занятые в экономике	559827.0	275851.0	283976.0	64.8	66.8	63.0
из них:						
учащиеся	26992.0	11082.0	15910.0	3.1	2.7	3.5
пенсионеры	35787.0	14938.0	20849.0	4.1	3.6	4.6
безработные	51099.0	27089.0	24010.0	5.9	6.6	5.3
из них:						
учащиеся	5882.0	2466.0	3416.0	0.7	0.6	0.8
пенсионеры	4115.0	2224.0	1891.0	0.5	0.5	0.4
Экономически неактивное население	244322.0	105678.0	138644.0	28.3	25.6	30.7
Калининградская область						
Все население в возрасте 15-64 лет	662919.0	317012.0	345907.0	100.0	100.0	100.0
Экономически активное население	457912.0	234866.0	223046.0	69.1	74.1	64.5
в том числе:						
занятые в экономике	400793.0	206022.0	194771.0	60.5	65.0	56.3
из них:						
учащиеся	13389.0	5695.0	7694.0	2.0	1.8	2.2
пенсионеры	29723.0	15480.0	14243.0	4.5	4.9	4.1
безработные	57119.0	28844.0	28275.0	8.6	9.1	8.2
из них:						
учащиеся	5246.0	2477.0	2769.0	0.8	0.8	0.8
пенсионеры	6068.0	3524.0	2544.0	0.9	1.1	0.7
Экономически неактивное население	194373.0	77396.0	116977.0	29.3	24.4	33.8
Ленинградская область						
Все население в возрасте 15-64 лет	1154021.0	544988.0	609033.0	100.0	100.0	100.0
Экономически активное население	797041.0	399498.0	397543.0	69.1	73.3	65.3
в том числе:						
занятые в экономике	726562.0	363798.0	362764.0	63.0	66.8	59.6
из них:						
учащиеся	26129.0	10459.0	15670.0	2.3	1.9	2.6
пенсионеры	52730.0	24385.0	28345.0	4.6	4.5	4.7
безработные	70479.0	35700.0	34779.0	6.1	6.5	5.7
из них:						
учащиеся	6639.0	2905.0	3734.0	0.6	0.5	0.6
пенсионеры	8924.0	4679.0	4245.0	0.8	0.9	0.7
Экономически неактивное население	317342.0	127210.0	190132.0	27.5	23.3	31.2
Мурманская область						
Все население в возрасте 15-64 лет	649027.0	309720.0	339307.0	100.0	100.0	100.0
Экономически активное население	478712.0	241704.0	237008.0	73.8	78.0	69.9
в том числе:						
занятые в экономике	426181.0	215447.0	210734.0	65.7	69.5	62.1
из них:						
учащиеся	26233.0	11672.0	14561.0	4.0	3.8	4.3
пенсионеры	61719.0	24892.0	36827.0	9.5	8.0	10.9
безработные	52531.0	26257.0	26274.0	8.1	8.5	7.8
из них:						
учащиеся	5446.0	2189.0	3257.0	0.8	0.7	1.0
пенсионеры	6747.0	3468.0	3279.0	1.0	1.1	1.0
Экономически неактивное население	161722.0	63783.0	97939.0	24.9	20.6	28.9
Новгородская область						
Все население в возрасте 15-64 лет	465950.0	217687.0	248263.0	100.0	100.0	100.0
Экономически активное население	312588.0	152599.0	159989.0	67.1	70.1	64.4
в том числе:						
занятые в экономике	283471.0	137134.0	146337.0	60.8	63.0	58.9
из них:						
учащиеся	11837.0	4513.0	7324.0	2.5	2.1	3.0
пенсионеры	18578.0	7810.0	10768.0	4.0	3.6	4.3
безработные	29117.0	15465.0	13652.0	6.3	7.1	5.5
из них:						
учащиеся	3583.0	1557.0	2026.0	0.8	0.7	0.8
пенсионеры	2889.0	1421.0	1468.0	0.6	0.7	0.6
Экономически неактивное население	148224.0	62826.0	85398.0	31.8	28.9	34.4
Псковская область						
Все население в возрасте 15-64 лет	503044.0	237756.0	265288.0	100.0	100.0	100.0
Экономически активное население	333655.0	163608.0	170047.0	66.3	68.8	64.1
в том числе:						
занятые в экономике	298914.0	145278.0	153636.0	59.4	61.1	57.9
из них:						
учащиеся	12069.0	4741.0	7328.0	2.4	2.0	2.8
пенсионеры	19106.0	8564.0	10542.0	3.8	3.6	4.0
безработные	34741.0	18330.0	16411.0	6.9	7.7	6.2
из них:						
учащиеся	2935.0	1292.0	1643.0	0.6	0.5	0.6
пенсионеры	3313.0	1777.0	1536.0	0.7	0.7	0.6
Экономически неактивное население	164783.0	72126.0	92657.0	32.8	30.3	34.9
г. Санкт-Петербург						
Все население в возрасте 15-64 лет	3290581.0	1509608.0	1780973.0	100.0	100.0	100.0
Экономически активное население	2153291.0	1061590.0	1091701.0	65.4	70.3	61.3
в том числе:						
занятые в экономике	1978368.0	978220.0	1000148.0	60.1	64.8	56.2
из них:						
учащиеся	83355.0	38654.0	44701.0	2.5	2.6	2.5
пенсионеры	136979.0	58555.0	78424.0	4.2	3.9	4.4
безработные	174923.0	83370.0	91553.0	5.3	5.5	5.1
из них:						
учащиеся	37603.0	18765.0	18838.0	1.1	1.2	1.1
пенсионеры	22088.0	10771.0	11317.0	0.7	0.7	0.6
Экономически неактивное население	859475.0	320909.0	538566.0	26.1	21.3	30.2
Южный федеральный округ						
Все население в возрасте 15-64 лет	14736077.0	6934750.0	7801327.0	100.0	100.0	100.0
Экономически активное население	9163495.0	4713486.0	4450009.0	62.2	68.0	57.0
в том числе:						
занятые в экономике	7469671.0	3872248.0	3597423.0	50.7	55.9	46.1
из них:						
учащиеся	255976.0	113355.0	142621.0	1.7	1.6	1.8
пенсионеры	363962.0	165325.0	198637.0	2.5	2.4	2.5
безработные	1693824.0	841238.0	852586.0	11.5	12.1	10.9
из них:						
учащиеся	150078.0	72361.0	77717.0	1.0	1.0	1.0
пенсионеры	128806.0	62361.0	66445.0	0.9	0.9	0.9
Экономически неактивное население	5525111.0	2200125.0	3324986.0	37.5	31.7	42.6
Республика Адыгея						
Все население в возрасте 15-64 лет	299226.0	140022.0	159204.0	100.0	100.0	100.0
Экономически активное население	174086.0	88490.0	85596.0	58.2	63.2	53.8
в том числе:						
занятые в экономике	142257.0	71495.0	70762.0	47.6	51.1	44.5
из них:						
учащиеся	5677.0	2416.0	3261.0	1.9	1.7	2.0
пенсионеры	6991.0	3089.0	3902.0	2.3	2.2	2.5
безработные	31829.0	16995.0	14834.0	10.6	12.1	9.3
из них:						
учащиеся	2174.0	996.0	1178.0	0.7	0.7	0.7
пенсионеры	2097.0	1093.0	1004.0	0.7	0.8	0.6
Экономически неактивное население	123935.0	50961.0	72974.0	41.4	36.4	45.8
Республика Дагестан						
Все население в возрасте 15-64 лет	1641698.0	782939.0	858759.0	100.0	100.0	100.0
Экономически активное население	967017.0	505686.0	461331.0	58.9	64.6	53.7
в том числе:						
занятые в экономике	547282.0	304132.0	243150.0	33.3	38.9	28.3
из них:						
учащиеся	11710.0	5947.0	5763.0	0.7	0.8	0.7
пенсионеры	19083.0	8958.0	10125.0	1.2	1.1	1.2
безработные	419735.0	201554.0	218181.0	25.6	25.7	25.4
из них:						
учащиеся	30381.0	16002.0	14379.0	1.9	2.0	1.7
пенсионеры	26081.0	11836.0	14245.0	1.6	1.5	1.7
Экономически неактивное население	671935.0	276013.0	395922.0	40.9	35.3	46.1
Республика Ингушетия						
Все население в возрасте 15-64 лет	282735.0	129662.0	153073.0	100.0	100.0	100.0
Экономически активное население	162117.0	80985.0	81132.0	57.3	62.5	53.0
в том числе:						
занятые в экономике	39965.0	22396.0	17569.0	14.1	17.3	11.5
из них:						
учащиеся	2174.0	1166.0	1008.0	0.8	0.9	0.7
пенсионеры	850.0	407.0	443.0	0.3	0.3	0.3
безработные	122152.0	58589.0	63563.0	43.2	45.2	41.5
из них:						
учащиеся	12910.0	6327.0	6583.0	4.6	4.9	4.3
пенсионеры	7265.0	3160.0	4105.0	2.6	2.4	2.7
Экономически неактивное население	107904.0	43157.0	64747.0	38.2	33.3	42.3
Кабардино–Балкарская Республика						
Все население в возрасте 15-64 лет	611954.0	285133.0	326821.0	100.0	100.0	100.0
Экономически активное население	373138.0	190234.0	182904.0	61.0	66.7	56.0
в том числе:						
занятые в экономике	282515.0	144705.0	137810.0	46.2	50.7	42.2
из них:						
учащиеся	7182.0	3217.0	3965.0	1.2	1.1	1.2
пенсионеры	12410.0	5013.0	7397.0	2.0	1.8	2.3
безработные	90623.0	45529.0	45094.0	14.8	16.0	13.8
из них:						
учащиеся	5686.0	2756.0	2930.0	0.9	1.0	0.9
пенсионеры	4844.0	2124.0	2720.0	0.8	0.7	0.8
Экономически неактивное население	238769.0	94891.0	143878.0	39.0	33.3	44.0
Республика Калмыкия						
Все население в возрасте 15-64 лет	197950.0	94572.0	103378.0	100.0	100.0	100.0
Экономически активное население	122462.0	61365.0	61097.0	61.9	64.9	59.1
в том числе:						
занятые в экономике	97282.0	47621.0	49661.0	49.2	50.4	48.0
из них:						
учащиеся	4587.0	1820.0	2767.0	2.3	1.9	2.7
пенсионеры	4940.0	1728.0	3212.0	2.5	1.8	3.1
безработные	25180.0	13744.0	11436.0	12.7	14.5	11.1
из них:						
учащиеся	1672.0	705.0	967.0	0.8	0.7	0.9
пенсионеры	1432.0	671.0	761.0	0.7	0.7	0.7
Экономически неактивное население	75165.0	33059.0	42106.0	38.0	35.0	40.7
Карачаево-Черкесская Республика						
Все население в возрасте 15-64 лет	293978.0	137766.0	156212.0	100.0	100.0	100.0
Экономически активное население	164526.0	83119.0	81407.0	56.0	60.3	52.1
в том числе:						
занятые в экономике	108924.0	54919.0	54005.0	37.1	39.8	34.6
из них:						
учащиеся	3398.0	1455.0	1943.0	1.2	1.1	1.2
пенсионеры	4619.0	1891.0	2728.0	1.6	1.4	1.7
безработные	55602.0	28200.0	27402.0	18.9	20.5	17.5
из них:						
учащиеся	3106.0	1497.0	1609.0	1.1	1.1	1.0
пенсионеры	3819.0	1725.0	2094.0	1.3	1.3	1.3
Экономически неактивное население	129308.0	54581.0	74727.0	44.0	39.6	47.8
Республика Северная Осетия – Алания						
Все население в возрасте 15-64 лет	460193.0	213174.0	247019.0	100.0	100.0	100.0
Экономически активное население	271492.0	136757.0	134735.0	59.0	64.2	54.5
в том числе:						
занятые в экономике	191905.0	96373.0	95532.0	41.7	45.2	38.7
из них:						
учащиеся	4471.0	2292.0	2179.0	1.0	1.1	0.9
пенсионеры	11404.0	4277.0	7127.0	2.5	2.0	2.9
