9. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ПОЛУ И СОСТОЯНИЮ В БРАКЕ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																
																
																
	Мужчины в возрасте 16 лет и более, включая мужчин до 16 лет, указавших состояние в браке	в том числе							Женщины в возрасте 16 лет и более, включая женщин до 16 лет, указавших состояние в браке	в том числе						
Евреи	1052.0	799.0	781.0	18.0	101.0	87.0	64.0	1.0	1195.0	543.0	529.0	14.0	163.0	347.0	141.0	1.0
Городское население	343448.0	222954.0	209554.0	13400.0	77827.0	12097.0	29589.0	981.0	433334.0	225027.0	211622.0	13405.0	72297.0	81713.0	53267.0	1030.0
Русские	327678.0	211224.0	198781.0	12443.0	75788.0	11417.0	28649.0	600.0	416536.0	215097.0	202404.0	12693.0	70776.0	78524.0	51582.0	557.0
Украинцы	6434.0	5200.0	4904.0	296.0	485.0	350.0	388.0	11.0	7619.0	4689.0	4456.0	233.0	481.0	1638.0	802.0	9.0
Белорусы	2245.0	1803.0	1711.0	92.0	189.0	99.0	154.0	-	3273.0	1935.0	1840.0	95.0	243.0	736.0	355.0	4.0
Евреи	1028.0	780.0	766.0	14.0	98.0	87.0	62.0	1.0	1173.0	528.0	515.0	13.0	161.0	342.0	141.0	1.0
Сельское население	159410.0	100683.0	91434.0	9249.0	36825.0	7707.0	13852.0	343.0	195682.0	100344.0	91165.0	9179.0	29138.0	52325.0	13590.0	285.0
Русские	153803.0	96510.0	87946.0	8564.0	35967.0	7520.0	13491.0	315.0	189618.0	96263.0	87653.0	8610.0	28526.0	51414.0	13155.0	260.0
Украинцы	2243.0	1764.0	1541.0	223.0	233.0	89.0	151.0	6.0	2792.0	1909.0	1695.0	214.0	192.0	484.0	201.0	6.0
Белорусы	821.0	634.0	556.0	78.0	90.0	39.0	58.0	-	1057.0	722.0	652.0	70.0	54.0	209.0	72.0	-
Евреи	24.0	19.0	15.0	4.0	3.0	-	2.0	-	22.0	15.0	14.0	1.0	2.0	5.0	-	-
Владимирская область																
Все население	565389.0	361046.0	336067.0	24979.0	132074.0	21741.0	44153.0	6375.0	714091.0	363492.0	338628.0	24864.0	115374.0	151534.0	76241.0	7450.0
Русские	532464.0	339813.0	316717.0	23096.0	127059.0	20713.0	42521.0	2358.0	676497.0	343509.0	320200.0	23309.0	111725.0	145953.0	72956.0	2354.0
Татары	3445.0	2251.0	2050.0	201.0	767.0	141.0	271.0	15.0	4487.0	2378.0	2199.0	179.0	563.0	967.0	564.0	15.0
Белорусы	2310.0	1848.0	1749.0	99.0	190.0	126.0	146.0	-	3132.0	1885.0	1788.0	97.0	220.0	711.0	298.0	18.0
Городское население	449899.0	288346.0	269344.0	19002.0	104670.0	16265.0	34768.0	5850.0	570481.0	291103.0	272150.0	18953.0	93429.0	113594.0	65437.0	6918.0
Русские	422827.0	271252.0	253634.0	17618.0	100677.0	15486.0	33448.0	1964.0	540075.0	275439.0	257585.0	17854.0	90637.0	109245.0	62749.0	2005.0
Татары	2890.0	1875.0	1720.0	155.0	645.0	118.0	239.0	13.0	3835.0	2011.0	1872.0	139.0	488.0	832.0	490.0	14.0
Белорусы	1860.0	1493.0	1422.0	71.0	147.0	101.0	119.0	-	2493.0	1497.0	1431.0	66.0	176.0	553.0	250.0	17.0
Сельское население	115490.0	72700.0	66723.0	5977.0	27404.0	5476.0	9385.0	525.0	143610.0	72389.0	66478.0	5911.0	21945.0	37940.0	10804.0	532.0
Русские	109637.0	68561.0	63083.0	5478.0	26382.0	5227.0	9073.0	394.0	136422.0	68070.0	62615.0	5455.0	21088.0	36708.0	10207.0	349.0
Татары	555.0	376.0	330.0	46.0	122.0	23.0	32.0	2.0	652.0	367.0	327.0	40.0	75.0	135.0	74.0	1.0
Белорусы	450.0	355.0	327.0	28.0	43.0	25.0	27.0	-	639.0	388.0	357.0	31.0	44.0	158.0	48.0	1.0
Воронежская область																
Все население	890658.0	585388.0	546185.0	39203.0	195086.0	35606.0	66883.0	7695.0	1102909.0	589811.0	550598.0	39213.0	165687.0	227910.0	111251.0	8250.0
Русские	833369.0	545309.0	509800.0	35509.0	185999.0	33408.0	63833.0	4820.0	1039704.0	553314.0	517319.0	35995.0	159105.0	215755.0	106647.0	4883.0
Украинцы	29815.0	22672.0	21193.0	1479.0	3658.0	1505.0	1896.0	84.0	37666.0	21826.0	20286.0	1540.0	3499.0	9232.0	3030.0	79.0
Городское население	552521.0	356536.0	335993.0	20543.0	127845.0	19427.0	42040.0	6673.0	689407.0	361219.0	340642.0	20577.0	114711.0	123445.0	82637.0	7395.0
Русские	521099.0	335294.0	316367.0	18927.0	123096.0	18273.0	40490.0	3946.0	656431.0	343215.0	323857.0	19358.0	111557.0	117649.0	79829.0	4181.0
Украинцы	13720.0	10782.0	10244.0	538.0	1337.0	725.0	830.0	46.0	17305.0	10083.0	9532.0	551.0	1325.0	4072.0	1777.0	48.0
Сельское население	338137.0	228852.0	210192.0	18660.0	67241.0	16179.0	24843.0	1022.0	413502.0	228592.0	209956.0	18636.0	50976.0	104465.0	28614.0	855.0
Русские	312270.0	210015.0	193433.0	16582.0	62903.0	15135.0	23343.0	874.0	383273.0	210099.0	193462.0	16637.0	47548.0	98106.0	26818.0	702.0
Украинцы	16095.0	11890.0	10949.0	941.0	2321.0	780.0	1066.0	38.0	20361.0	11743.0	10754.0	989.0	2174.0	5160.0	1253.0	31.0
Ивановская область																
Все население	422642.0	265191.0	240148.0	25043.0	97661.0	17463.0	34891.0	7436.0	545677.0	267111.0	242422.0	24689.0	89933.0	119312.0	60026.0	9295.0
Русские	393622.0	248505.0	225511.0	22994.0	93538.0	16814.0	33661.0	1104.0	512261.0	250932.0	227837.0	23095.0	87169.0	115473.0	57600.0	1087.0
Украинцы	4497.0	3615.0	3321.0	294.0	406.0	200.0	273.0	3.0	5564.0	3512.0	3248.0	264.0	411.0	961.0	673.0	7.0
Татары	3368.0	2194.0	1954.0	240.0	756.0	127.0	285.0	6.0	4160.0	2122.0	1940.0	182.0	578.0	945.0	511.0	4.0
Городское население	346431.0	217086.0	196921.0	20165.0	79963.0	13888.0	28278.0	7216.0	456041.0	220061.0	199878.0	20183.0	76858.0	97101.0	52887.0	9134.0
Русские	321148.0	202963.0	184394.0	18569.0	76570.0	13346.0	27331.0	938.0	426333.0	206214.0	187266.0	18948.0	74500.0	93843.0	50797.0	979.0
Украинцы	3682.0	2997.0	2764.0	233.0	317.0	167.0	199.0	2.0	4754.0	3012.0	2801.0	211.0	351.0	810.0	576.0	5.0
Татары	2973.0	1944.0	1735.0	209.0	668.0	112.0	244.0	5.0	3753.0	1875.0	1724.0	151.0	534.0	868.0	472.0	4.0
Сельское население	76211.0	48105.0	43227.0	4878.0	17698.0	3575.0	6613.0	220.0	89636.0	47050.0	42544.0	4506.0	13075.0	22211.0	7139.0	161.0
Русские	72474.0	45542.0	41117.0	4425.0	16968.0	3468.0	6330.0	166.0	85928.0	44718.0	40571.0	4147.0	12669.0	21630.0	6803.0	108.0
Украинцы	815.0	618.0	557.0	61.0	89.0	33.0	74.0	1.0	810.0	500.0	447.0	53.0	60.0	151.0	97.0	2.0
Татары	395.0	250.0	219.0	31.0	88.0	15.0	41.0	1.0	407.0	247.0	216.0	31.0	44.0	77.0	39.0	-
Калужская область																
Все население	388050.0	246671.0	226553.0	20118.0	91591.0	15339.0	32656.0	1793.0	482078.0	247313.0	227254.0	20059.0	78101.0	97835.0	56876.0	1953.0
Русские	358111.0	225007.0	207069.0	17938.0	86942.0	14285.0	30893.0	984.0	452790.0	229883.0	211415.0	18468.0	74808.0	93235.0	53749.0	1115.0
Украинцы	10378.0	8322.0	7751.0	571.0	915.0	462.0	659.0	20.0	11608.0	7052.0	6563.0	489.0	912.0	2223.0	1398.0	23.0
Белорусы	2909.0	2279.0	2107.0	172.0	296.0	140.0	190.0	4.0	3370.0	2024.0	1902.0	122.0	261.0	716.0	367.0	2.0
Городское население	291184.0	186685.0	173133.0	13552.0	68407.0	10448.0	24061.0	1583.0	362270.0	187869.0	174311.0	13558.0	60933.0	64723.0	46974.0	1771.0
Русские	269267.0	170677.0	158553.0	12124.0	65224.0	9664.0	22834.0	868.0	340589.0	175111.0	162560.0	12551.0	58574.0	61400.0	44523.0	981.0
Украинцы	8083.0	6536.0	6164.0	372.0	672.0	362.0	498.0	15.0	8998.0	5452.0	5130.0	322.0	701.0	1689.0	1136.0	20.0
Белорусы	2204.0	1754.0	1635.0	119.0	213.0	103.0	131.0	3.0	2533.0	1555.0	1480.0	75.0	187.0	492.0	297.0	2.0
Сельское население	96866.0	59986.0	53420.0	6566.0	23184.0	4891.0	8595.0	210.0	119808.0	59444.0	52943.0	6501.0	17168.0	33112.0	9902.0	182.0
Русские	88844.0	54330.0	48516.0	5814.0	21718.0	4621.0	8059.0	116.0	112201.0	54772.0	48855.0	5917.0	16234.0	31835.0	9226.0	134.0
Украинцы	2295.0	1786.0	1587.0	199.0	243.0	100.0	161.0	5.0	2610.0	1600.0	1433.0	167.0	211.0	534.0	262.0	3.0
Белорусы	705.0	525.0	472.0	53.0	83.0	37.0	59.0	1.0	837.0	469.0	422.0	47.0	74.0	224.0	70.0	-
Костромская область																
Все население	272199.0	176086.0	160828.0	15258.0	62912.0	10951.0	20057.0	2193.0	338004.0	177210.0	162078.0	15132.0	55614.0	70194.0	32314.0	2672.0
Русские	257828.0	166326.0	152241.0	14085.0	60850.0	10499.0	19309.0	844.0	324322.0	169500.0	155174.0	14326.0	54253.0	68454.0	31190.0	925.0
Украинцы	3903.0	3178.0	2888.0	290.0	321.0	169.0	231.0	4.0	3630.0	2392.0	2227.0	165.0	280.0	592.0	365.0	1.0
Городское население	182366.0	117473.0	108485.0	8988.0	42405.0	6709.0	13801.0	1978.0	231204.0	118358.0	109508.0	8850.0	40170.0	44677.0	25543.0	2456.0
Русские	171679.0	110449.0	102154.0	8295.0	40898.0	6400.0	13268.0	664.0	220879.0	112864.0	104474.0	8390.0	39189.0	43419.0	24665.0	742.0
Украинцы	2766.0	2281.0	2137.0	144.0	209.0	116.0	158.0	2.0	2712.0	1764.0	1670.0	94.0	223.0	431.0	293.0	1.0
Сельское население	89833.0	58613.0	52343.0	6270.0	20507.0	4242.0	6256.0	215.0	106800.0	58852.0	52570.0	6282.0	15444.0	25517.0	6771.0	216.0
Русские	86149.0	55877.0	50087.0	5790.0	19952.0	4099.0	6041.0	180.0	103443.0	56636.0	50700.0	5936.0	15064.0	25035.0	6525.0	183.0
Украинцы	1137.0	897.0	751.0	146.0	112.0	53.0	73.0	2.0	918.0	628.0	557.0	71.0	57.0	161.0	72.0	-
Курская область																
Все население	455767.0	300976.0	280480.0	20496.0	98960.0	18810.0	35312.0	1709.0	567636.0	302970.0	282441.0	20529.0	84196.0	124318.0	54357.0	1795.0
Русские	434792.0	285974.0	266950.0	19024.0	95389.0	18126.0	34145.0	1158.0	545095.0	288928.0	269671.0	19257.0	81828.0	120859.0	52399.0	1081.0
Украинцы	8274.0	6573.0	6067.0	506.0	828.0	327.0	536.0	10.0	11328.0	7369.0	6789.0	580.0	739.0	2106.0	1103.0	11.0
Городское население	277901.0	183905.0	173846.0	10059.0	61837.0	9328.0	21546.0	1285.0	349855.0	186028.0	175877.0	10151.0	59748.0	60756.0	41917.0	1406.0
Русские	263979.0	173954.0	164670.0	9284.0	59620.0	8854.0	20761.0	790.0	335276.0	177529.0	167918.0	9611.0	58139.0	58389.0	40486.0	733.0
Украинцы	5684.0	4572.0	4333.0	239.0	507.0	234.0	368.0	3.0	7298.0	4529.0	4325.0	204.0	507.0	1449.0	808.0	5.0
Сельское население	177866.0	117071.0	106634.0	10437.0	37123.0	9482.0	13766.0	424.0	217781.0	116942.0	106564.0	10378.0	24448.0	63562.0	12440.0	389.0
Русские	170813.0	112020.0	102280.0	9740.0	35769.0	9272.0	13384.0	368.0	209819.0	111399.0	101753.0	9646.0	23689.0	62470.0	11913.0	348.0
Украинцы	2590.0	2001.0	1734.0	267.0	321.0	93.0	168.0	7.0	4030.0	2840.0	2464.0	376.0	232.0	657.0	295.0	6.0
Липецкая область																
Все население	450606.0	294126.0	273409.0	20717.0	96973.0	17461.0	38542.0	3504.0	558011.0	295031.0	274521.0	20510.0	85200.0	113841.0	60000.0	3939.0
Русские	429521.0	279943.0	260844.0	19099.0	93837.0	16875.0	37372.0	1494.0	537015.0	282944.0	263753.0	19191.0	83111.0	111046.0	58384.0	1530.0
Украинцы	5679.0	4492.0	4088.0	404.0	488.0	272.0	421.0	6.0	6915.0	4288.0	3866.0	422.0	445.0	1429.0	737.0	16.0
Городское население	291335.0	188819.0	177939.0	10880.0	63045.0	10131.0	26209.0	3131.0	360517.0	189743.0	179070.0	10673.0	58639.0	62101.0	46447.0	3587.0
Русские	277024.0	179629.0	169547.0	10082.0	61140.0	9698.0	25400.0	1157.0	346846.0	182813.0	172666.0	10147.0	57308.0	60167.0	45347.0	1211.0
Украинцы	3782.0	3018.0	2850.0	168.0	270.0	209.0	283.0	2.0	4132.0	2330.0	2210.0	120.0	288.0	1001.0	502.0	11.0
Сельское население	159271.0	105307.0	95470.0	9837.0	33928.0	7330.0	12333.0	373.0	197494.0	105288.0	95451.0	9837.0	26561.0	51740.0	13553.0	352.0
Русские	152497.0	100314.0	91297.0	9017.0	32697.0	7177.0	11972.0	337.0	190169.0	100131.0	91087.0	9044.0	25803.0	50879.0	13037.0	319.0
Украинцы	1897.0	1474.0	1238.0	236.0	218.0	63.0	138.0	4.0	2783.0	1958.0	1656.0	302.0	157.0	428.0	235.0	5.0
Московская область																
Все население	2522021.0	1533452.0	1449083.0	84369.0	613317.0	96537.0	208892.0	69823.0	3083948.0	1545926.0	1460495.0	85431.0	487688.0	586082.0	388135.0	76117.0
Русские	2259859.0	1374248.0	1299587.0	74661.0	578442.0	89199.0	195830.0	22140.0	2818133.0	1413698.0	1336090.0	77608.0	463948.0	553209.0	365238.0	22040.0
Украинцы	69028.0	54682.0	52275.0	2407.0	6683.0	2959.0	4354.0	350.0	70133.0	43513.0	41536.0	1977.0	5833.0	12079.0	8359.0	349.0
Татары	22073.0	13690.0	12912.0	778.0	5741.0	800.0	1669.0	173.0	25630.0	13661.0	12928.0	733.0	3474.0	4969.0	3375.0	151.0
Белорусы	18597.0	14673.0	14112.0	561.0	1791.0	833.0	1219.0	81.0	21583.0	12992.0	12479.0	513.0	1520.0	4516.0	2497.0	58.0
Армяне	17241.0	12223.0	11210.0	1013.0	3550.0	349.0	941.0	178.0	13025.0	8392.0	7703.0	689.0	2312.0	1252.0	957.0	112.0
Мордва	8961.0	6643.0	6267.0	376.0	1352.0	324.0	617.0	25.0	11592.0	6827.0	6474.0	353.0	1161.0	2345.0	1213.0	46.0
Азербайджанцы	7000.0	5339.0	4819.0	520.0	1099.0	102.0	374.0	86.0	3517.0	2680.0	2491.0	189.0	451.0	164.0	192.0	30.0
Чуваши	4967.0	3241.0	3101.0	140.0	1242.0	175.0	293.0	16.0	6624.0	3984.0	3733.0	251.0	826.0	925.0	863.0	26.0
Молдаване	4965.0	3712.0	3238.0	474.0	773.0	103.0	311.0	66.0	4108.0	2782.0	2410.0	372.0	507.0	271.0	521.0	27.0
Евреи	4924.0	3602.0	3500.0	102.0	512.0	424.0	332.0	54.0	4592.0	2049.0	1981.0	68.0	651.0	1369.0	503.0	20.0
Городское население	1992534.0	1214054.0	1148758.0	65296.0	477124.0	75127.0	163711.0	62518.0	2458523.0	1229798.0	1163475.0	66323.0	390626.0	449290.0	318598.0	70211.0
Русские	1778486.0	1087056.0	1029225.0	57831.0	450078.0	69227.0	153541.0	18584.0	2238427.0	1123951.0	1063739.0	60212.0	371685.0	423472.0	300237.0	19082.0
Украинцы	55074.0	43792.0	41997.0	1795.0	5256.0	2374.0	3400.0	252.0	56631.0	35141.0	33589.0	1552.0	4755.0	9683.0	6754.0	298.0
Татары	18139.0	11275.0	10642.0	633.0	4636.0	684.0	1404.0	140.0	21374.0	11230.0	10645.0	585.0	2883.0	4264.0	2865.0	132.0
Белорусы	14465.0	11485.0	11076.0	409.0	1385.0	630.0	908.0	57.0	16591.0	10070.0	9692.0	378.0	1204.0	3318.0	1952.0	47.0
Армяне	13912.0	9841.0	9022.0	819.0	2869.0	282.0	776.0	144.0	10637.0	6824.0	6257.0	567.0	1871.0	1039.0	803.0	100.0
Мордва	4389.0	3296.0	3129.0	167.0	599.0	183.0	302.0	9.0	5991.0	3426.0	3267.0	159.0	541.0	1265.0	735.0	24.0
Азербайджанцы	5799.0	4437.0	4011.0	426.0	904.0	84.0	303.0	71.0	3008.0	2291.0	2130.0	161.0	386.0	139.0	166.0	26.0
Чуваши	3232.0	2100.0	2015.0	85.0	792.0	132.0	200.0	8.0	4087.0	2420.0	2288.0	132.0	484.0	606.0	563.0	14.0
Молдаване	3524.0	2594.0	2287.0	307.0	574.0	82.0	222.0	52.0	3093.0	2088.0	1827.0	261.0	385.0	201.0	396.0	23.0
Евреи	4411.0	3250.0	3159.0	91.0	448.0	385.0	301.0	27.0	4242.0	1889.0	1830.0	59.0	593.0	1282.0	461.0	17.0
Сельское население	529487.0	319398.0	300325.0	19073.0	136193.0	21410.0	45181.0	7305.0	625425.0	316128.0	297020.0	19108.0	97062.0	136792.0	69537.0	5906.0
Русские	481373.0	287192.0	270362.0	16830.0	128364.0	19972.0	42289.0	3556.0	579706.0	289747.0	272351.0	17396.0	92263.0	129737.0	65001.0	2958.0
Украинцы	13954.0	10890.0	10278.0	612.0	1427.0	585.0	954.0	98.0	13502.0	8372.0	7947.0	425.0	1078.0	2396.0	1605.0	51.0
Татары	3934.0	2415.0	2270.0	145.0	1105.0	116.0	265.0	33.0	4256.0	2431.0	2283.0	148.0	591.0	705.0	510.0	19.0
Белорусы	4132.0	3188.0	3036.0	152.0	406.0	203.0	311.0	24.0	4992.0	2922.0	2787.0	135.0	316.0	1198.0	545.0	11.0
Армяне	3329.0	2382.0	2188.0	194.0	681.0	67.0	165.0	34.0	2388.0	1568.0	1446.0	122.0	441.0	213.0	154.0	12.0
Мордва	4572.0	3347.0	3138.0	209.0	753.0	141.0	315.0	16.0	5601.0	3401.0	3207.0	194.0	620.0	1080.0	478.0	22.0
Азербайджанцы	1201.0	902.0	808.0	94.0	195.0	18.0	71.0	15.0	509.0	389.0	361.0	28.0	65.0	25.0	26.0	4.0
Чуваши	1735.0	1141.0	1086.0	55.0	450.0	43.0	93.0	8.0	2537.0	1564.0	1445.0	119.0	342.0	319.0	300.0	12.0
Молдаване	1441.0	1118.0	951.0	167.0	199.0	21.0	89.0	14.0	1015.0	694.0	583.0	111.0	122.0	70.0	125.0	4.0
Евреи	513.0	352.0	341.0	11.0	64.0	39.0	31.0	27.0	350.0	160.0	151.0	9.0	58.0	87.0	42.0	3.0
Орловская область																
Все население	318104.0	206228.0	190674.0	15554.0	71019.0	12585.0	25979.0	2293.0	397170.0	207696.0	192123.0	15573.0	61597.0	83651.0	41553.0	2673.0
Русские	301555.0	195187.0	180977.0	14210.0	68314.0	12120.0	25102.0	832.0	380035.0	198102.0	183597.0	14505.0	59669.0	81401.0	40136.0	727.0
Украинцы	4801.0	3772.0	3407.0	365.0	496.0	208.0	319.0	6.0	5673.0	3524.0	3183.0	341.0	460.0	1086.0	597.0	6.0
Городское население	202569.0	130846.0	123296.0	7550.0	46546.0	6783.0	16428.0	1966.0	256143.0	132061.0	124558.0	7503.0	44080.0	45779.0	31840.0	2383.0
Русские	192573.0	124585.0	117590.0	6995.0	45059.0	6474.0	15923.0	532.0	245863.0	127018.0	119892.0	7126.0	43022.0	44402.0	30954.0	467.0
Украинцы	3029.0	2402.0	2282.0	120.0	293.0	144.0	188.0	2.0	3481.0	2057.0	1948.0	109.0	297.0	729.0	395.0	3.0
Сельское население	115535.0	75382.0	67378.0	8004.0	24473.0	5802.0	9551.0	327.0	141027.0	75635.0	67565.0	8070.0	17517.0	37872.0	9713.0	290.0
Русские	108982.0	70602.0	63387.0	7215.0	23255.0	5646.0	9179.0	300.0	134172.0	71084.0	63705.0	7379.0	16647.0	36999.0	9182.0	260.0
Украинцы	1772.0	1370.0	1125.0	245.0	203.0	64.0	131.0	4.0	2192.0	1467.0	1235.0	232.0	163.0	357.0	202.0	3.0
Рязанская область																
Все население	461722.0	298698.0	277026.0	21672.0	105425.0	18263.0	34662.0	4674.0	572351.0	299559.0	278173.0	21386.0	83456.0	127090.0	56663.0	5583.0
Русские	433274.0	280409.0	260641.0	19768.0	100795.0	17516.0	33378.0	1176.0	543696.0	283877.0	264084.0	19793.0	80842.0	123267.0	54567.0	1143.0
Украинцы	5830.0	4680.0	4367.0	313.0	558.0	246.0	340.0	6.0	6163.0	3881.0	3575.0	306.0	397.0	1241.0	633.0	11.0
Мордва	2923.0	2184.0	1976.0	208.0	435.0	110.0	189.0	5.0	3798.0	2362.0	2157.0	205.0	371.0	711.0	349.0	5.0
Городское население	318955.0	206652.0	193896.0	12756.0	74411.0	10650.0	22790.0	4452.0	394330.0	208367.0	195786.0	12581.0	62841.0	72567.0	45148.0	5407.0
Русские	299013.0	194549.0	182842.0	11707.0	71296.0	10163.0	22018.0	987.0	374941.0	198759.0	186970.0	11789.0	61144.0	70313.0	43721.0	1004.0
Украинцы	4165.0	3417.0	3266.0	151.0	354.0	172.0	216.0	6.0	4207.0	2601.0	2460.0	141.0	285.0	841.0	471.0	9.0
Мордва	1326.0	997.0	925.0	72.0	182.0	52.0	93.0	2.0	1621.0	956.0	904.0	52.0	169.0	311.0	183.0	2.0
Сельское население	142767.0	92046.0	83130.0	8916.0	31014.0	7613.0	11872.0	222.0	178021.0	91192.0	82387.0	8805.0	20615.0	54523.0	11515.0	176.0
Русские	134261.0	85860.0	77799.0	8061.0	29499.0	7353.0	11360.0	189.0	168755.0	85118.0	77114.0	8004.0	19698.0	52954.0	10846.0	139.0
Украинцы	1665.0	1263.0	1101.0	162.0	204.0	74.0	124.0	-	1956.0	1280.0	1115.0	165.0	112.0	400.0	162.0	2.0
Мордва	1597.0	1187.0	1051.0	136.0	253.0	58.0	96.0	3.0	2177.0	1406.0	1253.0	153.0	202.0	400.0	166.0	3.0
Смоленская область																
Все население	390686.0	244919.0	222276.0	22643.0	91636.0	16153.0	33325.0	4653.0	489199.0	245700.0	223257.0	22443.0	78845.0	104004.0	55378.0	5272.0
Русские	360365.0	224736.0	204197.0	20539.0	87411.0	15195.0	31520.0	1503.0	457093.0	228032.0	207154.0	20878.0	75720.0	99281.0	52502.0	1558.0
Украинцы	8008.0	6344.0	5792.0	552.0	724.0	329.0	594.0	17.0	8367.0	5261.0	4880.0	381.0	644.0	1522.0	916.0	24.0
Белорусы	6513.0	4986.0	4598.0	388.0	741.0	281.0	492.0	13.0	8984.0	5538.0	5103.0	435.0	785.0	1742.0	905.0	14.0
Городское население	274584.0	173932.0	160342.0	13590.0	63917.0	9781.0	22714.0	4240.0	349706.0	175492.0	161948.0	13544.0	59443.0	64977.0	44819.0	4975.0
Русские	251752.0	159093.0	146834.0	12259.0	60913.0	9124.0	21495.0	1127.0	325371.0	162818.0	150233.0	12585.0	57110.0	61563.0	42580.0	1300.0
Украинцы	5635.0	4543.0	4249.0	294.0	468.0	216.0	396.0	12.0	5944.0	3660.0	3467.0	193.0	468.0	1089.0	708.0	19.0
Белорусы	4741.0	3701.0	3475.0	226.0	516.0	185.0	328.0	11.0	6524.0	3913.0	3661.0	252.0	632.0	1239.0	726.0	14.0
Сельское население	116102.0	70987.0	61934.0	9053.0	27719.0	6372.0	10611.0	413.0	139493.0	70208.0	61309.0	8899.0	19402.0	39027.0	10559.0	297.0
Русские	108613.0	65643.0	57363.0	8280.0	26498.0	6071.0	10025.0	376.0	131722.0	65214.0	56921.0	8293.0	18610.0	37718.0	9922.0	258.0
Украинцы	2373.0	1801.0	1543.0	258.0	256.0	113.0	198.0	5.0	2423.0	1601.0	1413.0	188.0	176.0	433.0	208.0	5.0
Белорусы	1772.0	1285.0	1123.0	162.0	225.0	96.0	164.0	2.0	2460.0	1625.0	1442.0	183.0	153.0	503.0	179.0	-
Тамбовская область																
Все население	437988.0	288993.0	270101.0	18892.0	95465.0	17962.0	33175.0	2393.0	543145.0	290188.0	271389.0	18799.0	77499.0	122310.0	50623.0	2525.0
Русские	420915.0	277106.0	259537.0	17569.0	92641.0	17423.0	32401.0	1344.0	525600.0	279496.0	261860.0	17636.0	75736.0	119691.0	49457.0	1220.0
Украинцы	4446.0	3597.0	3315.0	282.0	352.0	221.0	267.0	9.0	5841.0	3804.0	3455.0	349.0	304.0	1230.0	488.0	15.0
Городское население	247184.0	163803.0	155183.0	8620.0	53833.0	8991.0	18916.0	1641.0	316821.0	166003.0	157363.0	8640.0	49809.0	62520.0	36661.0	1828.0
