5.4. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ ПО ВОЗРАСТНЫМ ГРУППАМ,								
ПОЛУ И ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ								
								
	Все население	Экономически активное население			в том числе		Экономически неактивное население	из него пенсионеры
30 – 39	2503650.0	2072149.0	1773376.0	16681.0	298773.0	9347.0	424700.0	84184.0
40 – 49	3098187.0	2482816.0	2175528.0	53615.0	307288.0	18391.0	605486.0	189127.0
50 – 59	1675255.0	1156990.0	1025014.0	77244.0	131976.0	18626.0	510163.0	290988.0
60 – 64	920709.0	115873.0	96971.0	78314.0	18902.0	17814.0	789131.0	783731.0
Из общей численности -								
население в трудоспособном возрасте	10798219.0	7930632.0	6707116.0	159061.0	1223516.0	57490.0	2815919.0	681882.0
учащиеся	1191852.0	161039.0	115100.0	1218.0	45939.0	1466.0	1002080.0	49220.0
Женщины в возрасте  15-64 лет	12355347.0	6977688.0	5855551.0	338691.0	1122137.0	77419.0	5273399.0	2232506.0
в том числе в возрасте, лет:								
15 – 19	1454948.0	261269.0	127023.0	980.0	134246.0	3256.0	1161860.0	66675.0
20 – 29	2389175.0	1565642.0	1227611.0	4806.0	338031.0	4814.0	810161.0	47998.0
30 – 39	2441377.0	1867447.0	1601849.0	12452.0	265598.0	8718.0	565346.0	71059.0
40 – 49	2967472.0	2304023.0	2034856.0	60378.0	269167.0	13784.0	653931.0	152674.0
50 – 59	1815725.0	898018.0	799751.0	201771.0	98267.0	30334.0	904037.0	719505.0
60 – 64	1286650.0	81289.0	64461.0	58304.0	16828.0	16513.0	1178064.0	1174595.0
Из общей численности -								
население в трудоспособном возрасте	10072957.0	6732319.0	5651076.0	177145.0	1081243.0	45338.0	3283455.0	567890.0
учащиеся	1319312.0	250695.0	192937.0	1316.0	57758.0	1496.0	1038747.0	48583.0
