1. ЖЕНЩИНЫ ПО ВОЗРАСТНЫМ ГРУППАМ И ЧИСЛУ РОЖДЕННЫХ ДЕТЕЙ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
	Всего	Женщины, указавшие число рожденных детей	из них женщины с числом рожденных детей								Общее число рожденных детей	Среднее число рожденных детей (на 1000 женщин)	Женщины, не указавшие число рожденных детей
45 – 49	61754.0	60775.0	3005.0	15344.0	33743.0	6805.0	1161.0	387.0	152.0	178.0	112139.0	1845.0	979.0
50 – 54	54610.0	53608.0	2787.0	14828.0	28049.0	6056.0	1029.0	506.0	156.0	197.0	98259.0	1833.0	1002.0
55 – 59	28314.0	27785.0	1613.0	7501.0	14086.0	3449.0	586.0	289.0	102.0	159.0	51696.0	1861.0	529.0
60 – 64	55902.0	54827.0	3488.0	13221.0	26516.0	8402.0	1854.0	856.0	237.0	253.0	106640.0	1945.0	1075.0
65 – 69	41100.0	40325.0	3282.0	9158.0	17945.0	6879.0	1735.0	790.0	271.0	265.0	80336.0	1992.0	775.0
70 и более	111444.0	109054.0	13097.0	24538.0	36371.0	19542.0	8301.0	3873.0	1612.0	1720.0	231955.0	2127.0	2390.0
Городские населенные пункты													
Женщины в возрасте 15 лет и более	455591.0	441540.0	99881.0	145801.0	158630.0	27759.0	5331.0	1960.0	822.0	1356.0	593232.0	1344.0	14051.0
в том числе в возрасте, лет:													
15 – 17	28455.0	25770.0	25466.0	276.0	28.0	-	-	-	-	-	332.0	13.0	2685.0
18 – 19	20421.0	19167.0	17788.0	1346.0	29.0	4.0	-	-	-	-	1416.0	74.0	1254.0
20 – 24	40893.0	38492.0	23814.0	13428.0	1122.0	62.0	12.0	-	29.0	25.0	16255.0	422.0	2401.0
25 – 29	37769.0	36491.0	9516.0	21697.0	4845.0	267.0	53.0	37.0	16.0	60.0	33193.0	910.0	1278.0
30 – 34	33874.0	33127.0	3748.0	18655.0	9656.0	804.0	122.0	41.0	20.0	81.0	41924.0	1266.0	747.0
35 – 39	38179.0	37416.0	2569.0	15713.0	16921.0	1789.0	206.0	54.0	49.0	115.0	57216.0	1529.0	763.0
40 – 44	48870.0	48040.0	2736.0	15883.0	25548.0	3197.0	374.0	100.0	33.0	169.0	80020.0	1666.0	830.0
45 – 49	44850.0	44124.0	2325.0	12502.0	24951.0	3648.0	440.0	105.0	53.0	100.0	76751.0	1739.0	726.0
50 – 54	38653.0	37899.0	2044.0	11994.0	20083.0	3130.0	397.0	138.0	36.0	77.0	64671.0	1706.0	754.0
55 – 59	18607.0	18261.0	1141.0	5657.0	9495.0	1581.0	216.0	65.0	37.0	69.0	31368.0	1718.0	346.0
60 – 64	32014.0	31337.0	2126.0	9644.0	15822.0	3089.0	407.0	149.0	48.0	52.0	53652.0	1712.0	677.0
65 – 69	21953.0	21521.0	1625.0	6143.0	10609.0	2389.0	465.0	141.0	73.0	76.0	38143.0	1772.0	432.0
70 и более	51053.0	49895.0	4983.0	12863.0	19521.0	7799.0	2639.0	1130.0	428.0	532.0	98291.0	1970.0	1158.0
Сельские населенные пункты													
Женщины в возрасте 15 лет и более	243432.0	237043.0	37751.0	51411.0	89620.0	36841.0	11742.0	5527.0	2034.0	2117.0	444985.0	1877.0	6389.0
в том числе в возрасте, лет:													
15 – 17	11090.0	9898.0	9733.0	157.0	8.0	-	-	-	-	-	173.0	17.0	1192.0
18 – 19	5943.0	5440.0	4598.0	799.0	30.0	13.0	-	-	-	-	898.0	165.0	503.0
20 – 24	13920.0	13041.0	5896.0	5802.0	1230.0	81.0	20.0	-	4.0	8.0	8665.0	664.0	879.0
25 – 29	14605.0	14192.0	2012.0	6974.0	4554.0	503.0	94.0	31.0	4.0	20.0	18318.0	1291.0	413.0
30 – 34	15314.0	15072.0	947.0	5134.0	7310.0	1286.0	246.0	89.0	20.0	40.0	25465.0	1690.0	242.0
35 – 39	17106.0	16905.0	737.0	3602.0	9500.0	2276.0	504.0	164.0	49.0	73.0	33155.0	1961.0	201.0
40 – 44	19460.0	19158.0	800.0	3156.0	10759.0	3185.0	776.0	270.0	102.0	110.0	40162.0	2096.0	302.0
45 – 49	16904.0	16651.0	680.0	2842.0	8792.0	3157.0	721.0	282.0	99.0	78.0	35388.0	2125.0	253.0
50 – 54	15957.0	15709.0	743.0	2834.0	7966.0	2926.0	632.0	368.0	120.0	120.0	33588.0	2138.0	248.0
55 – 59	9707.0	9524.0	472.0	1844.0	4591.0	1868.0	370.0	224.0	65.0	90.0	20328.0	2134.0	183.0
60 – 64	23888.0	23490.0	1362.0	3577.0	10694.0	5313.0	1447.0	707.0	189.0	201.0	52988.0	2256.0	398.0
65 – 69	19147.0	18804.0	1657.0	3015.0	7336.0	4490.0	1270.0	649.0	198.0	189.0	42193.0	2244.0	343.0
70 и более	60391.0	59159.0	8114.0	11675.0	16850.0	11743.0	5662.0	2743.0	1184.0	1188.0	133664.0	2259.0	1232.0
Брянская область													
Городские и сельские населенные пункты													
Женщины в возрасте 15 лет и более	639029.0	626301.0	125792.0	169254.0	221664.0	67375.0	21355.0	11709.0	4553.0	4599.0	1022427.0	1632.0	12728.0
в том числе в возрасте, лет:													
15 – 17	34717.0	32638.0	32391.0	247.0	-	-	-	-	-	-	247.0	8.0	2079.0
18 – 19	22253.0	21088.0	19382.0	1637.0	61.0	8.0	-	-	-	-	1783.0	85.0	1165.0
20 – 24	49315.0	46797.0	28281.0	16062.0	2179.0	187.0	40.0	16.0	16.0	16.0	21429.0	458.0	2518.0
25 – 29	46692.0	45446.0	10068.0	25574.0	8671.0	827.0	159.0	58.0	24.0	65.0	46966.0	1033.0	1246.0
30 – 34	45421.0	44743.0	4690.0	20926.0	16320.0	2093.0	396.0	105.0	60.0	153.0	63542.0	1420.0	678.0
35 – 39	48478.0	47869.0	3086.0	16899.0	22767.0	3832.0	793.0	207.0	141.0	144.0	80150.0	1674.0	609.0
40 – 44	58771.0	58094.0	2924.0	15832.0	31400.0	5884.0	1212.0	434.0	177.0	231.0	106172.0	1828.0	677.0
45 – 49	55325.0	54833.0	2652.0	13880.0	29654.0	6385.0	1139.0	519.0	238.0	366.0	103797.0	1893.0	492.0
50 – 54	50145.0	49566.0	2731.0	12753.0	25629.0	6260.0	1109.0	605.0	214.0	265.0	93675.0	1890.0	579.0
55 – 59	26547.0	26230.0	1464.0	6455.0	12959.0	3736.0	771.0	517.0	168.0	160.0	51542.0	1965.0	317.0
60 – 64	47157.0	46674.0	3053.0	10397.0	21161.0	7863.0	2075.0	1416.0	380.0	329.0	96512.0	2068.0	483.0
65 – 69	41433.0	40985.0	3053.0	7862.0	16991.0	8122.0	2614.0	1555.0	457.0	331.0	89773.0	2190.0	448.0
70 и более	112775.0	111338.0	12017.0	20730.0	33872.0	22178.0	11047.0	6277.0	2678.0	2539.0	266839.0	2397.0	1437.0
Городские населенные пункты													
Женщины в возрасте 15 лет и более	440588.0	430970.0	91199.0	134879.0	158557.0	32809.0	7442.0	3125.0	1229.0	1730.0	616875.0	1431.0	9618.0
в том числе в возрасте, лет:													
15 – 17	25062.0	23562.0	23407.0	155.0	-	-	-	-	-	-	155.0	7.0	1500.0
18 – 19	16847.0	15954.0	14849.0	1073.0	28.0	4.0	-	-	-	-	1141.0	72.0	893.0
20 – 24	36577.0	34670.0	21701.0	11713.0	1114.0	90.0	24.0	8.0	12.0	8.0	14475.0	418.0	1907.0
25 – 29	34490.0	33498.0	7981.0	20223.0	4776.0	347.0	77.0	29.0	12.0	53.0	31740.0	948.0	992.0
30 – 34	32712.0	32180.0	3655.0	17202.0	10194.0	799.0	161.0	36.0	24.0	109.0	41859.0	1301.0	532.0
35 – 39	34825.0	34374.0	2490.0	14163.0	15493.0	1761.0	278.0	61.0	48.0	80.0	52781.0	1535.0	451.0
40 – 44	43411.0	42870.0	2235.0	13634.0	23351.0	2877.0	439.0	126.0	77.0	131.0	72827.0	1699.0	541.0
45 – 49	41798.0	41406.0	2054.0	11865.0	22910.0	3643.0	489.0	162.0	81.0	202.0	73405.0	1773.0	392.0
50 – 54	37865.0	37383.0	2182.0	10959.0	20010.0	3505.0	374.0	177.0	56.0	120.0	65155.0	1743.0	482.0
55 – 59	19089.0	18852.0	1123.0	5517.0	9955.0	1799.0	274.0	80.0	36.0	68.0	33076.0	1755.0	237.0
60 – 64	31174.0	30799.0	2072.0	8573.0	15677.0	3526.0	563.0	240.0	56.0	92.0	55005.0	1786.0	375.0
65 – 69	25057.0	24730.0	1883.0	6113.0	12249.0	3376.0	690.0	295.0	56.0	68.0	45834.0	1853.0	327.0
70 и более	61681.0	60692.0	5567.0	13689.0	22800.0	11082.0	4073.0	1911.0	771.0	799.0	129422.0	2132.0	989.0
Сельские населенные пункты													
Женщины в возрасте 15 лет и более	198441.0	195331.0	34593.0	34375.0	63107.0	34566.0	13913.0	8584.0	3324.0	2869.0	405552.0	2076.0	3110.0
в том числе в возрасте, лет:													
15 – 17	9655.0	9076.0	8984.0	92.0	-	-	-	-	-	-	92.0	10.0	579.0
18 – 19	5406.0	5134.0	4533.0	564.0	33.0	4.0	-	-	-	-	642.0	125.0	272.0
20 – 24	12738.0	12127.0	6580.0	4349.0	1065.0	97.0	16.0	8.0	4.0	8.0	6954.0	573.0	611.0
25 – 29	12202.0	11948.0	2087.0	5351.0	3895.0	480.0	82.0	29.0	12.0	12.0	15226.0	1274.0	254.0
30 – 34	12709.0	12563.0	1035.0	3724.0	6126.0	1294.0	235.0	69.0	36.0	44.0	21683.0	1726.0	146.0
35 – 39	13653.0	13495.0	596.0	2736.0	7274.0	2071.0	515.0	146.0	93.0	64.0	27369.0	2028.0	158.0
40 – 44	15360.0	15224.0	689.0	2198.0	8049.0	3007.0	773.0	308.0	100.0	100.0	33345.0	2190.0	136.0
45 – 49	13527.0	13427.0	598.0	2015.0	6744.0	2742.0	650.0	357.0	157.0	164.0	30392.0	2263.0	100.0
50 – 54	12280.0	12183.0	549.0	1794.0	5619.0	2755.0	735.0	428.0	158.0	145.0	28520.0	2341.0	97.0
55 – 59	7458.0	7378.0	341.0	938.0	3004.0	1937.0	497.0	437.0	132.0	92.0	18466.0	2503.0	80.0
60 – 64	15983.0	15875.0	981.0	1824.0	5484.0	4337.0	1512.0	1176.0	324.0	237.0	41507.0	2615.0	108.0
65 – 69	16376.0	16255.0	1170.0	1749.0	4742.0	4746.0	1924.0	1260.0	401.0	263.0	43939.0	2703.0	121.0
70 и более	51094.0	50646.0	6450.0	7041.0	11072.0	11096.0	6974.0	4366.0	1907.0	1740.0	137417.0	2713.0	448.0
Владимирская область													
Городские и сельские населенные пункты													
Женщины в возрасте 15 лет и более	722383.0	688778.0	132288.0	234052.0	247934.0	49415.0	12497.0	6284.0	2715.0	3593.0	1004797.0	1459.0	33605.0
в том числе в возрасте, лет:													
15 – 17	36913.0	31417.0	31136.0	277.0	4.0	-	-	-	-	-	285.0	9.0	5496.0
18 – 19	24257.0	21311.0	19775.0	1459.0	73.0	4.0	-	-	-	-	1617.0	76.0	2946.0
20 – 24	54229.0	48705.0	28966.0	17695.0	1832.0	120.0	36.0	4.0	32.0	20.0	22215.0	456.0	5524.0
25 – 29	51164.0	48424.0	11701.0	29021.0	6919.0	552.0	95.0	19.0	41.0	76.0	45873.0	947.0	2740.0
30 – 34	48367.0	46651.0	5160.0	25810.0	13612.0	1605.0	284.0	68.0	28.0	84.0	60137.0	1289.0	1716.0
35 – 39	53449.0	51970.0	3565.0	22787.0	21833.0	2897.0	552.0	142.0	69.0	125.0	79459.0	1529.0	1479.0
40 – 44	68473.0	66576.0	3865.0	21856.0	34197.0	5090.0	854.0	321.0	135.0	258.0	113482.0	1705.0	1897.0
45 – 49	67264.0	65512.0	3616.0	20675.0	33371.0	5803.0	998.0	567.0	171.0	311.0	115144.0	1758.0	1752.0
50 – 54	60429.0	58677.0	3694.0	19729.0	29001.0	4539.0	829.0	457.0	184.0	244.0	100017.0	1705.0	1752.0
55 – 59	33955.0	32837.0	2446.0	11846.0	15431.0	2280.0	375.0	260.0	77.0	122.0	53849.0	1640.0	1118.0
60 – 64	58936.0	57167.0	4016.0	19177.0	27220.0	4812.0	885.0	549.0	188.0	320.0	98105.0	1716.0	1769.0
65 – 69	50548.0	49155.0	3751.0	14964.0	22647.0	5333.0	1311.0	626.0	251.0	272.0	88411.0	1799.0	1393.0
70 и более	114399.0	110376.0	10597.0	28756.0	41794.0	16380.0	6278.0	3271.0	1539.0	1761.0	226203.0	2049.0	4023.0
Городские населенные пункты													
Женщины в возрасте 15 лет и более	578548.0	551513.0	110496.0	201700.0	195017.0	31494.0	6797.0	2837.0	1192.0	1980.0	750776.0	1361.0	27035.0
в том числе в возрасте, лет:													
15 – 17	29720.0	25653.0	25417.0	232.0	4.0	-	-	-	-	-	240.0	9.0	4067.0
18 – 19	19951.0	17604.0	16460.0	1096.0	44.0	4.0	-	-	-	-	1196.0	68.0	2347.0
20 – 24	44832.0	40337.0	24709.0	14311.0	1173.0	68.0	24.0	4.0	28.0	20.0	17285.0	429.0	4495.0
25 – 29	42822.0	40532.0	10192.0	24829.0	5063.0	313.0	33.0	-	37.0	65.0	36797.0	908.0	2290.0
30 – 34	40303.0	38840.0	4558.0	22791.0	10236.0	987.0	152.0	40.0	12.0	64.0	47592.0	1225.0	1463.0
35 – 39	43792.0	42525.0	3067.0	20332.0	16862.0	1739.0	311.0	77.0	36.0	101.0	61929.0	1456.0	1267.0
40 – 44	55753.0	54143.0	3343.0	19294.0	27471.0	3193.0	483.0	162.0	55.0	142.0	88082.0	1627.0	1610.0
45 – 49	55175.0	53692.0	3122.0	18368.0	27220.0	3889.0	569.0	250.0	83.0	191.0	90016.0	1677.0	1483.0
50 – 54	50124.0	48607.0	3233.0	17536.0	23835.0	3070.0	485.0	222.0	71.0	155.0	79129.0	1628.0	1517.0
55 – 59	28126.0	27157.0	2084.0	10568.0	12593.0	1487.0	204.0	94.0	47.0	80.0	42491.0	1565.0	969.0
60 – 64	46419.0	44970.0	3368.0	16627.0	21161.0	2906.0	466.0	179.0	68.0	195.0	72455.0	1611.0	1449.0
65 – 69	38424.0	37310.0	3079.0	12673.0	17302.0	3263.0	557.0	204.0	71.0	161.0	62060.0	1663.0	1114.0
70 и более	83107.0	80143.0	7864.0	23043.0	32053.0	10575.0	3513.0	1605.0	684.0	806.0	151504.0	1890.0	2964.0
Сельские населенные пункты													
Женщины в возрасте 15 лет и более	143835.0	137265.0	21792.0	32352.0	52917.0	17921.0	5700.0	3447.0	1523.0	1613.0	254021.0	1851.0	6570.0
в том числе в возрасте, лет:													
15 – 17	7193.0	5764.0	5719.0	45.0	-	-	-	-	-	-	45.0	8.0	1429.0
18 – 19	4306.0	3707.0	3315.0	363.0	29.0	-	-	-	-	-	421.0	114.0	599.0
20 – 24	9397.0	8368.0	4257.0	3384.0	659.0	52.0	12.0	-	4.0	-	4930.0	589.0	1029.0
25 – 29	8342.0	7892.0	1509.0	4192.0	1856.0	239.0	62.0	19.0	4.0	11.0	9076.0	1150.0	450.0
30 – 34	8064.0	7811.0	602.0	3019.0	3376.0	618.0	132.0	28.0	16.0	20.0	12545.0	1606.0	253.0
35 – 39	9657.0	9445.0	498.0	2455.0	4971.0	1158.0	241.0	65.0	33.0	24.0	17530.0	1856.0	212.0
40 – 44	12720.0	12433.0	522.0	2562.0	6726.0	1897.0	371.0	159.0	80.0	116.0	25400.0	2043.0	287.0
45 – 49	12089.0	11820.0	494.0	2307.0	6151.0	1914.0	429.0	317.0	88.0	120.0	25128.0	2126.0	269.0
50 – 54	10305.0	10070.0	461.0	2193.0	5166.0	1469.0	344.0	235.0	113.0	89.0	20888.0	2074.0	235.0
55 – 59	5829.0	5680.0	362.0	1278.0	2838.0	793.0	171.0	166.0	30.0	42.0	11358.0	2000.0	149.0
60 – 64	12517.0	12197.0	648.0	2550.0	6059.0	1906.0	419.0	370.0	120.0	125.0	25650.0	2103.0	320.0
65 – 69	12124.0	11845.0	672.0	2291.0	5345.0	2070.0	754.0	422.0	180.0	111.0	26351.0	2225.0	279.0
70 и более	31292.0	30233.0	2733.0	5713.0	9741.0	5805.0	2765.0	1666.0	855.0	955.0	74699.0	2471.0	1059.0
Воронежская область													
Городские и сельские населенные пункты													
Женщины в возрасте 15 лет и более	1117459.0	1064655.0	206339.0	346957.0	374103.0	90268.0	24219.0	11819.0	4641.0	6309.0	1601875.0	1505.0	52804.0
в том числе в возрасте, лет:													
15 – 17	57316.0	47071.0	46530.0	501.0	36.0	4.0	-	-	-	-	585.0	12.0	10245.0
18 – 19	38533.0	33183.0	30451.0	2559.0	165.0	8.0	-	-	-	-	2913.0	88.0	5350.0
20 – 24	82715.0	74144.0	44448.0	26232.0	3032.0	274.0	61.0	12.0	49.0	36.0	33968.0	458.0	8571.0
25 – 29	77615.0	73702.0	17317.0	41766.0	12931.0	1191.0	213.0	56.0	61.0	167.0	74091.0	1005.0	3913.0
30 – 34	74499.0	71771.0	7691.0	36577.0	23700.0	2911.0	515.0	158.0	53.0	166.0	97160.0	1354.0	2728.0
35 – 39	82523.0	80467.0	5458.0	33007.0	35015.0	5259.0	995.0	351.0	153.0	229.0	127386.0	1583.0	2056.0
40 – 44	103554.0	101103.0	5587.0	33568.0	50700.0	8323.0	1713.0	627.0	229.0	356.0	174198.0	1723.0	2451.0
45 – 49	97844.0	95514.0	5362.0	29587.0	48303.0	9149.0	1663.0	762.0	290.0	398.0	169032.0	1770.0	2330.0
50 – 54	88343.0	85941.0	5339.0	28292.0	41381.0	8078.0	1385.0	774.0	260.0	432.0	149882.0	1744.0	2402.0
55 – 59	49157.0	47657.0	3230.0	16259.0	21789.0	4584.0	878.0	544.0	142.0	231.0	82644.0	1734.0	1500.0
60 – 64	93235.0	90534.0	6176.0	27491.0	40920.0	10992.0	2634.0	1413.0	410.0	498.0	166399.0	1838.0	2701.0
65 – 69	73945.0	71731.0	6216.0	19997.0	30644.0	10003.0	2591.0	1333.0	455.0	492.0	135208.0	1885.0	2214.0
70 и более	198180.0	191837.0	22534.0	51121.0	65487.0	29492.0	11571.0	5789.0	2539.0	3304.0	388409.0	2025.0	6343.0
Городские населенные пункты													
Женщины в возрасте 15 лет и более	699037.0	659491.0	144171.0	249716.0	219145.0	33799.0	6969.0	2520.0	1204.0	1967.0	853024.0	1293.0	39546.0
в том числе в возрасте, лет:													
15 – 17	38270.0	31235.0	31015.0	188.0	28.0	4.0	-	-	-	-	256.0	8.0	7035.0
18 – 19	27867.0	23813.0	22449.0	1327.0	29.0	8.0	-	-	-	-	1409.0	59.0	4054.0
20 – 24	57959.0	51065.0	33695.0	16101.0	1098.0	61.0	45.0	4.0	41.0	20.0	19066.0	373.0	6894.0
25 – 29	52482.0	49309.0	13730.0	29438.0	5589.0	323.0	61.0	8.0	45.0	115.0	43095.0	874.0	3173.0
30 – 34	49334.0	47041.0	6065.0	27617.0	12142.0	935.0	121.0	44.0	20.0	97.0	56261.0	1196.0	2293.0
35 – 39	53842.0	52206.0	4191.0	25754.0	19823.0	1917.0	321.0	60.0	36.0	104.0	73819.0	1414.0	1636.0
40 – 44	68538.0	66598.0	4352.0	26398.0	31600.0	3337.0	503.0	132.0	92.0	184.0	104293.0	1566.0	1940.0
45 – 49	66395.0	64504.0	4229.0	23624.0	31776.0	3891.0	538.0	189.0	64.0	193.0	103845.0	1610.0	1891.0
50 – 54	59526.0	57607.0	4132.0	22155.0	26960.0	3475.0	446.0	191.0	72.0	176.0	91167.0	1583.0	1919.0
55 – 59	32077.0	30899.0	2475.0	12772.0	13506.0	1701.0	234.0	91.0	32.0	88.0	47210.0	1528.0	1178.0
60 – 64	52918.0	50889.0	4071.0	19912.0	22824.0	3240.0	485.0	193.0	52.0	112.0	79373.0	1560.0	2029.0
