5. ГРУППИРОВКА ГОРОДОВ И ПОСЕЛКОВ ГОРОДСКОГО ТИПА ПО ЧИСЛЕННОСТИ НАСЕЛЕНИЯ                                                                                          ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
	Всего	в том числе городские поселения с числом жителей1)  								
численность населения	1213865.0	49781.0	92034.0	210536.0	131215.0	131945.0	282400.0	315954.0	-	-
мужчины	548505.0	22333.0	42156.0	94412.0	58857.0	58355.0	129104.0	143288.0	-	-
женщины	665360.0	27448.0	49878.0	116124.0	72358.0	73590.0	153296.0	172666.0	-	-
Число городов	23.0	-	2.0	12.0	4.0	2.0	2.0	1.0	-	-
численность населения	1067240.0	-	17041.0	188685.0	131215.0	131945.0	282400.0	315954.0	-	-
мужчины	481756.0	-	7664.0	84488.0	58857.0	58355.0	129104.0	143288.0	-	-
женщины	585484.0	-	9377.0	104197.0	72358.0	73590.0	153296.0	172666.0	-	-
Число поселков городского типа	32.0	19.0	11.0	2.0	-	-	-	-	-	-
численность населения	146625.0	49781.0	74993.0	21851.0	-	-	-	-	-	-
мужчины	66749.0	22333.0	34492.0	9924.0	-	-	-	-	-	-
женщины	79876.0	27448.0	40501.0	11927.0	-	-	-	-	-	-
Воронежская область										
Число городских поселений	36.0	5.0	11.0	9.0	7.0	3.0	-	-	1.0	-
численность населения	1471799.0	21181.0	80387.0	139418.0	193853.0	188208.0	-	-	848752.0	-
мужчины	670318.0	9583.0	36651.0	64550.0	91031.0	86169.0	-	-	382334.0	-
женщины	801481.0	11598.0	43736.0	74868.0	102822.0	102039.0	-	-	466418.0	-
Число городов	15.0	-	1.0	3.0	7.0	3.0	-	-	1.0	-
численность населения	1283436.0	-	7640.0	44983.0	193853.0	188208.0	-	-	848752.0	-
мужчины	583834.0	-	3372.0	20928.0	91031.0	86169.0	-	-	382334.0	-
женщины	699602.0	-	4268.0	24055.0	102822.0	102039.0	-	-	466418.0	-
Число поселков городского типа	21.0	5.0	10.0	6.0	-	-	-	-	-	-
численность населения	188363.0	21181.0	72747.0	94435.0	-	-	-	-	-	-
мужчины	86484.0	9583.0	33279.0	43622.0	-	-	-	-	-	-
женщины	101879.0	11598.0	39468.0	50813.0	-	-	-	-	-	-
Ивановская область										
Число городских поселений	48.0	27.0	7.0	6.0	5.0	2.0	-	1.0	-	-
численность населения	949249.0	54381.0	49277.0	81733.0	174455.0	157682.0	-	431721.0	-	-
мужчины	421678.0	23958.0	24252.0	35898.0	78824.0	67825.0	-	190921.0	-	-
женщины	527571.0	30423.0	25025.0	45835.0	95631.0	89857.0	-	240800.0	-	-
Число городов	17.0	1.0	2.0	6.0	5.0	2.0	-	1.0	-	-
численность населения	865169.0	2790.0	16788.0	81733.0	174455.0	157682.0	-	431721.0	-	-
мужчины	382043.0	1069.0	7506.0	35898.0	78824.0	67825.0	-	190921.0	-	-
женщины	483126.0	1721.0	9282.0	45835.0	95631.0	89857.0	-	240800.0	-	-
Число поселков городского типа	31.0	26.0	5.0	-	-	-	-	-	-	-
численность населения	84080.0	51591.0	32489.0	-	-	-	-	-	-	-
мужчины	39635.0	22889.0	16746.0	-	-	-	-	-	-	-
женщины	44445.0	28702.0	15743.0	-	-	-	-	-	-	-
Калужская область										
Число городских поселений	29.0	6.0	9.0	8.0	4.0	-	1.0	1.0	-	-
численность населения	779481.0	18368.0	68117.0	116899.0	135640.0	-	105706.0	334751.0	-	-
мужчины	355621.0	8223.0	31356.0	55220.0	62137.0	-	48808.0	149877.0	-	-
женщины	423860.0	10145.0	36761.0	61679.0	73503.0	-	56898.0	184874.0	-	-
Число городов	19.0	2.0	5.0	6.0	4.0	-	1.0	1.0	-	-
численность населения	711874.0	8920.0	36540.0	90317.0	135640.0	-	105706.0	334751.0	-	-
мужчины	323862.0	3944.0	16998.0	42098.0	62137.0	-	48808.0	149877.0	-	-
женщины	388012.0	4976.0	19542.0	48219.0	73503.0	-	56898.0	184874.0	-	-
Число поселков городского типа	10.0	4.0	4.0	2.0	-	-	-	-	-	-
численность населения	67607.0	9448.0	31577.0	26582.0	-	-	-	-	-	-
мужчины	31759.0	4279.0	14358.0	13122.0	-	-	-	-	-	-
женщины	35848.0	5169.0	17219.0	13460.0	-	-	-	-	-	-
Костромская область										
Число городских поселений	20.0	5.0	6.0	5.0	3.0	-	-	1.0	-	-
численность населения	496145.0	18349.0	38898.0	81854.0	78294.0	-	-	278750.0	-	-
мужчины	224561.0	8874.0	17783.0	37250.0	35140.0	-	-	125514.0	-	-
женщины	271584.0	9475.0	21115.0	44604.0	43154.0	-	-	153236.0	-	-
Число городов	12.0	1.0	3.0	4.0	3.0	-	-	1.0	-	-
численность населения	449329.0	3700.0	20307.0	68278.0	78294.0	-	-	278750.0	-	-
мужчины	202812.0	1747.0	9322.0	31089.0	35140.0	-	-	125514.0	-	-
женщины	246517.0	1953.0	10985.0	37189.0	43154.0	-	-	153236.0	-	-
Число поселков городского типа	8.0	4.0	3.0	1.0	-	-	-	-	-	-
численность населения	46816.0	14649.0	18591.0	13576.0	-	-	-	-	-	-
мужчины	21749.0	7127.0	8461.0	6161.0	-	-	-	-	-	-
женщины	25067.0	7522.0	10130.0	7415.0	-	-	-	-	-	-
Курская область										
Число городских поселений	33.0	14.0	12.0	3.0	2.0	1.0	-	1.0	-	-
численность населения	756480.0	50508.0	76860.0	51803.0	69339.0	95528.0	-	412442.0	-	-
мужчины	343783.0	23097.0	34840.0	23538.0	33132.0	44128.0	-	185048.0	-	-
женщины	412697.0	27411.0	42020.0	28265.0	36207.0	51400.0	-	227394.0	-	-
Число городов	10.0	-	3.0	3.0	2.0	1.0	-	1.0	-	-
численность населения	650705.0	-	21593.0	51803.0	69339.0	95528.0	-	412442.0	-	-
мужчины	295490.0	-	9644.0	23538.0	33132.0	44128.0	-	185048.0	-	-
женщины	355215.0	-	11949.0	28265.0	36207.0	51400.0	-	227394.0	-	-
Число поселков городского типа	23.0	14.0	9.0	-	-	-	-	-	-	-
численность населения	105775.0	50508.0	55267.0	-	-	-	-	-	-	-
мужчины	48293.0	23097.0	25196.0	-	-	-	-	-	-	-
женщины	57482.0	27411.0	30071.0	-	-	-	-	-	-	-
Липецкая область										
Число городских поселений	10.0	-	1.0	3.0	4.0	-	1.0	-	1.0	-
численность населения	779983.0	-	9035.0	34282.0	113826.0	-	116726.0	-	506114.0	-
мужчины	357391.0	-	4151.0	15874.0	51780.0	-	53192.0	-	232394.0	-
женщины	422592.0	-	4884.0	18408.0	62046.0	-	63534.0	-	273720.0	-
Число городов	8.0	-	-	2.0	4.0	-	1.0	-	1.0	-
численность населения	760795.0	-	-	24129.0	113826.0	-	116726.0	-	506114.0	-
мужчины	348556.0	-	-	11190.0	51780.0	-	53192.0	-	232394.0	-
женщины	412239.0	-	-	12939.0	62046.0	-	63534.0	-	273720.0	-
Число поселков городского типа	2.0	-	1.0	1.0	-	-	-	-	-	-
численность населения	19188.0	-	9035.0	10153.0	-	-	-	-	-	-
мужчины	8835.0	-	4151.0	4684.0	-	-	-	-	-	-
женщины	10353.0	-	4884.0	5469.0	-	-	-	-	-	-
Московская область										
Число городских поселений	185.0	51.0	32.0	38.0	26.0	22.0	16.0	-	-	-
численность населения	5248534.0	141265.0	225326.0	536138.0	732690.0	1450212.0	2162903.0	-	-	-
мужчины	2400932.0	63744.0	105733.0	247505.0	337247.0	661865.0	984838.0	-	-	-
женщины	2847602.0	77521.0	119593.0	288633.0	395443.0	788347.0	1178065.0	-	-	-
Число городов	76.0	1.0	-	16.0	21.0	22.0	16.0	-	-	-
численность населения	4469306.0	4957.0	-	242914.0	608320.0	1450212.0	2162903.0	-	-	-
мужчины	2035512.0	2173.0	-	108814.0	277822.0	661865.0	984838.0	-	-	-
женщины	2433794.0	2784.0	-	134100.0	330498.0	788347.0	1178065.0	-	-	-
Число поселков городского типа	109.0	50.0	32.0	22.0	5.0	-	-	-	-	-
численность населения	779228.0	136308.0	225326.0	293224.0	124370.0	-	-	-	-	-
мужчины	365420.0	61571.0	105733.0	138691.0	59425.0	-	-	-	-	-
женщины	413808.0	74737.0	119593.0	154533.0	64945.0	-	-	-	-	-
Орловская область										
Число городских поселений	20.0	6.0	9.0	2.0	1.0	1.0	-	1.0	-	-
численность населения	546478.0	25455.0	62818.0	24247.0	47807.0	52841.0	-	333310.0	-	-
мужчины	247412.0	11549.0	29060.0	10994.0	21760.0	25040.0	-	149009.0	-	-
женщины	299066.0	13906.0	33758.0	13253.0	26047.0	27801.0	-	184301.0	-	-
Число городов	7.0	2.0	1.0	1.0	1.0	1.0	-	1.0	-	-
численность населения	460577.0	7979.0	6492.0	12148.0	47807.0	52841.0	-	333310.0	-	-
мужчины	207763.0	3629.0	2882.0	5443.0	21760.0	25040.0	-	149009.0	-	-
женщины	252814.0	4350.0	3610.0	6705.0	26047.0	27801.0	-	184301.0	-	-
Число поселков городского типа	13.0	4.0	8.0	1.0	-	-	-	-	-	-
численность населения	85901.0	17476.0	56326.0	12099.0	-	-	-	-	-	-
мужчины	39649.0	7920.0	26178.0	5551.0	-	-	-	-	-	-
женщины	46252.0	9556.0	30148.0	6548.0	-	-	-	-	-	-
Рязанская область										
Число городских поселений	38.0	18.0	10.0	4.0	5.0	-	-	-	1.0	-
численность населения	846180.0	58502.0	67174.0	63707.0	135237.0	-	-	-	521560.0	-
мужчины	386749.0	27939.0	30411.0	29094.0	61176.0	-	-	-	238129.0	-
женщины	459431.0	30563.0	36763.0	34613.0	74061.0	-	-	-	283431.0	-
Число городов	12.0	-	3.0	3.0	5.0	-	-	-	1.0	-
численность населения	726506.0	-	22574.0	47135.0	135237.0	-	-	-	521560.0	-
мужчины	331169.0	-	10237.0	21627.0	61176.0	-	-	-	238129.0	-
женщины	395337.0	-	12337.0	25508.0	74061.0	-	-	-	283431.0	-
Число поселков городского типа	26.0	18.0	7.0	1.0	-	-	-	-	-	-
численность населения	119674.0	58502.0	44600.0	16572.0	-	-	-	-	-	-
мужчины	55580.0	27939.0	20174.0	7467.0	-	-	-	-	-	-
женщины	64094.0	30563.0	24426.0	9105.0	-	-	-	-	-	-
Смоленская область										
Число городских поселений	30.0	13.0	7.0	3.0	3.0	3.0	-	1.0	-	-
численность населения	743599.0	47498.0	56707.0	37326.0	109068.0	167863.0	-	325137.0	-	-
мужчины	335436.0	21356.0	26105.0	16786.0	50046.0	75931.0	-	145212.0	-	-
женщины	408163.0	26142.0	30602.0	20540.0	59022.0	91932.0	-	179925.0	-	-
Число городов	15.0	1.0	5.0	2.0	3.0	3.0	-	1.0	-	-
численность населения	675042.0	4683.0	45243.0	23048.0	109068.0	167863.0	-	325137.0	-	-
мужчины	304564.0	2108.0	20818.0	10449.0	50046.0	75931.0	-	145212.0	-	-
женщины	370478.0	2575.0	24425.0	12599.0	59022.0	91932.0	-	179925.0	-	-
Число поселков городского типа	15.0	12.0	2.0	1.0	-	-	-	-	-	-
численность населения	68557.0	42815.0	11464.0	14278.0	-	-	-	-	-	-
мужчины	30872.0	19248.0	5287.0	6337.0	-	-	-	-	-	-
женщины	37685.0	23567.0	6177.0	7941.0	-	-	-	-	-	-
Тамбовская область										
Число городских поселений	20.0	2.0	7.0	5.0	4.0	1.0	-	1.0	-	-
численность населения	674095.0	7229.0	52179.0	70190.0	154746.0	96093.0	-	293658.0	-	-
мужчины	303560.0	3319.0	24049.0	32312.0	69572.0	42724.0	-	131584.0	-	-
женщины	370535.0	3910.0	28130.0	37878.0	85174.0	53369.0	-	162074.0	-	-
Число городов	8.0	-	-	2.0	4.0	1.0	-	1.0	-	-
численность населения	579560.0	-	-	35063.0	154746.0	96093.0	-	293658.0	-	-
мужчины	259970.0	-	-	16090.0	69572.0	42724.0	-	131584.0	-	-
женщины	319590.0	-	-	18973.0	85174.0	53369.0	-	162074.0	-	-
Число поселков городского типа	12.0	2.0	7.0	3.0	-	-	-	-	-	-
численность населения	94535.0	7229.0	52179.0	35127.0	-	-	-	-	-	-
мужчины	43590.0	3319.0	24049.0	16222.0	-	-	-	-	-	-
женщины	50945.0	3910.0	28130.0	18905.0	-	-	-	-	-	-
Тверская область										
Число городских поселений	54.0	22.0	13.0	8.0	7.0	3.0	-	1.0	-	-
численность населения	1075746.0	70065.0	94364.0	103298.0	225332.0	173784.0	-	408903.0	-	-
мужчины	479236.0	31763.0	42212.0	46500.0	101578.0	76667.0	-	180516.0	-	-
женщины	596510.0	38302.0	52152.0	56798.0	123754.0	97117.0	-	228387.0	-	-
Число городов	23.0	1.0	5.0	6.0	7.0	3.0	-	1.0	-	-
численность населения	934021.0	4350.0	40930.0	80722.0	225332.0	173784.0	-	408903.0	-	-
мужчины	414886.0	1972.0	18395.0	35758.0	101578.0	76667.0	-	180516.0	-	-
женщины	519135.0	2378.0	22535.0	44964.0	123754.0	97117.0	-	228387.0	-	-
Число поселков городского типа	31.0	21.0	8.0	2.0	-	-	-	-	-	-
численность населения	141725.0	65715.0	53434.0	22576.0	-	-	-	-	-	-
мужчины	64350.0	29791.0	23817.0	10742.0	-	-	-	-	-	-
женщины	77375.0	35924.0	29617.0	11834.0	-	-	-	-	-	-
Тульская область										
Число городских поселений	70.0	29.0	19.0	11.0	6.0	3.0	1.0	1.0	-	-
численность населения	1366818.0	72395.0	138498.0	159570.0	191551.0	189507.0	134081.0	481216.0	-	-
мужчины	613161.0	34703.0	62189.0	73464.0	85687.0	83752.0	60450.0	212916.0	-	-
женщины	753657.0	37692.0	76309.0	86106.0	105864.0	105755.0	73631.0	268300.0	-	-
Число городов	21.0	1.0	2.0	7.0	6.0	3.0	1.0	1.0	-	-
численность населения	1122462.0	1151.0	18613.0	106343.0	191551.0	189507.0	134081.0	481216.0	-	-
мужчины	500742.0	497.0	8306.0	49134.0	85687.0	83752.0	60450.0	212916.0	-	-
женщины	621720.0	654.0	10307.0	57209.0	105864.0	105755.0	73631.0	268300.0	-	-
Число поселков городского типа	49.0	28.0	17.0	4.0	-	-	-	-	-	-
численность населения	244356.0	71244.0	119885.0	53227.0	-	-	-	-	-	-
мужчины	112419.0	34206.0	53883.0	24330.0	-	-	-	-	-	-
женщины	131937.0	37038.0	66002.0	28897.0	-	-	-	-	-	-
Ярославская область										
Число городских поселений	24.0	7.0	9.0	2.0	4.0	-	1.0	-	1.0	-
численность населения	1106805.0	20499.0	55791.0	36350.0	158424.0	-	222653.0	-	613088.0	-
мужчины	497827.0	9201.0	25233.0	16347.0	72633.0	-	100408.0	-	274005.0	-
женщины	608978.0	11298.0	30558.0	20003.0	85791.0	-	122245.0	-	339083.0	-
Число городов	11.0	-	3.0	2.0	4.0	-	1.0	-	1.0	-
численность населения	1049818.0	-	19303.0	36350.0	158424.0	-	222653.0	-	613088.0	-
мужчины	472042.0	-	8649.0	16347.0	72633.0	-	100408.0	-	274005.0	-
женщины	577776.0	-	10654.0	20003.0	85791.0	-	122245.0	-	339083.0	-
Число поселков городского типа	13.0	7.0	6.0	-	-	-	-	-	-	-
численность населения	56987.0	20499.0	36488.0	-	-	-	-	-	-	-
мужчины	25785.0	9201.0	16584.0	-	-	-	-	-	-	-
женщины	31202.0	11298.0	19904.0	-	-	-	-	-	-	-
г. Москва										
Число городских поселений	5.0	-	1.0	1.0	1.0	-	1.0	-	-	1.0
численность населения	10382754.0	-	7803.0	12700.0	20100.0	-	215727.0	-	-	10126424.0
мужчины	4951819.0	-	3715.0	6853.0	9431.0	-	100415.0	-	-	4831405.0
женщины	5430935.0	-	4088.0	5847.0	10669.0	-	115312.0	-	-	5295019.0
Число городов	2.0	-	-	-	-	-	1.0	-	-	1.0
численность населения	10342151.0	-	-	-	-	-	215727.0	-	-	10126424.0
мужчины	4931820.0	-	-	-	-	-	100415.0	-	-	4831405.0
женщины	5410331.0	-	-	-	-	-	115312.0	-	-	5295019.0
Число поселков городского типа	3.0	-	1.0	1.0	1.0	-	-	-	-	-
численность населения	40603.0	-	7803.0	12700.0	20100.0	-	-	-	-	-
мужчины	19999.0	-	3715.0	6853.0	9431.0	-	-	-	-	-
женщины	20604.0	-	4088.0	5847.0	10669.0	-	-	-	-	-
Северо - Западный федеральный округ										
Число городских поселений	322.0	126.0	63.0	68.0	40.0	12.0	6.0	6.0	-	1.0
численность населения	11502402.0	352001.0	446277.0	910601.0	1301410.0	778111.0	1059517.0	1993266.0	-	4661219.0
мужчины	5268755.0	166815.0	209222.0	432616.0	609340.0	362496.0	481068.0	912362.0	-	2094836.0
женщины	6233647.0	185186.0	237055.0	477985.0	692070.0	415615.0	578449.0	1080904.0	-	2566383.0
Число городов	146.0	10.0	21.0	51.0	39.0	12.0	6.0	6.0	-	1.0
численность населения	10651804.0	35622.0	144414.0	699860.0	1279795.0	778111.0	1059517.0	1993266.0	-	4661219.0
мужчины	4860221.0	16685.0	67370.0	328176.0	597228.0	362496.0	481068.0	912362.0	-	2094836.0
женщины	5791583.0	18937.0	77044.0	371684.0	682567.0	415615.0	578449.0	1080904.0	-	2566383.0
Число поселков городского типа	176.0	116.0	42.0	17.0	1.0	-	-	-	-	-
численность населения	850598.0	316379.0	301863.0	210741.0	21615.0	-	-	-	-	-
мужчины	408534.0	150130.0	141852.0	104440.0	12112.0	-	-	-	-	-
женщины	442064.0	166249.0	160011.0	106301.0	9503.0	-	-	-	-	-
Республика Карелия										
Число городских поселений	24.0	7.0	4.0	8.0	4.0	-	-	1.0	-	-
численность населения	537395.0	23944.0	25439.0	101898.0	119954.0	-	-	266160.0	-	-
мужчины	246214.0	11169.0	12327.0	48464.0	56341.0	-	-	117913.0	-	-
женщины	291181.0	12775.0	13112.0	53434.0	63613.0	-	-	148247.0	-	-
Число городов	13.0	-	1.0	7.0	4.0	-	-	1.0	-	-
численность населения	485690.0	-	8751.0	90825.0	119954.0	-	-	266160.0	-	-
мужчины	220452.0	-	4096.0	42102.0	56341.0	-	-	117913.0	-	-
женщины	265238.0	-	4655.0	48723.0	63613.0	-	-	148247.0	-	-
Число поселков городского типа	11.0	7.0	3.0	1.0	-	-	-	-	-	-
численность населения	51705.0	23944.0	16688.0	11073.0	-	-	-	-	-	-
мужчины	25762.0	11169.0	8231.0	6362.0	-	-	-	-	-	-
женщины	25943.0	12775.0	8457.0	4711.0	-	-	-	-	-	-
Республика Коми										
Число городских поселений	41.0	22.0	5.0	7.0	4.0	1.0	2.0	-	-	-
численность населения	766587.0	49587.0	38077.0	95793.0	164862.0	84917.0	333351.0	-	-	-
мужчины	362627.0	24384.0	17730.0	47555.0	78167.0	40248.0	154543.0	-	-	-
женщины	403960.0	25203.0	20347.0	48238.0	86695.0	44669.0	178808.0	-	-	-
Число городов	10.0	-	-	3.0	4.0	1.0	2.0	-	-	-
численность населения	626021.0	-	-	42891.0	164862.0	84917.0	333351.0	-	-	-
мужчины	294478.0	-	-	21520.0	78167.0	40248.0	154543.0	-	-	-
женщины	331543.0	-	-	21371.0	86695.0	44669.0	178808.0	-	-	-
Число поселков городского типа	31.0	22.0	5.0	4.0	-	-	-	-	-	-
численность населения	140566.0	49587.0	38077.0	52902.0	-	-	-	-	-	-
мужчины	68149.0	24384.0	17730.0	26035.0	-	-	-	-	-	-
женщины	72417.0	25203.0	20347.0	26867.0	-	-	-	-	-	-
Архангельская область										
Число городских поселений	49.0	28.0	6.0	6.0	6.0	1.0	1.0	1.0	-	-
численность населения	999591.0	74940.0	39924.0	77492.0	188986.0	60647.0	201551.0	356051.0	-	-
мужчины	464138.0	35720.0	18916.0	35765.0	92335.0	27715.0	93573.0	160114.0	-	-
женщины	535453.0	39220.0	21008.0	41727.0	96651.0	32932.0	107978.0	195937.0	-	-
Число городов	14.0	2.0	1.0	2.0	6.0	1.0	1.0	1.0	-	-
численность населения	849895.0	6706.0	6151.0	29803.0	188986.0	60647.0	201551.0	356051.0	-	-
мужчины	393739.0	3083.0	2838.0	14081.0	92335.0	27715.0	93573.0	160114.0	-	-
женщины	456156.0	3623.0	3313.0	15722.0	96651.0	32932.0	107978.0	195937.0	-	-
Число поселков городского типа	35.0	26.0	5.0	4.0	-	-	-	-	-	-
численность населения	149696.0	68234.0	33773.0	47689.0	-	-	-	-	-	-
мужчины	70399.0	32637.0	16078.0	21684.0	-	-	-	-	-	-
женщины	79297.0	35597.0	17695.0	26005.0	-	-	-	-	-	-
Ненецкий автономный округ										
Число городских поселений	3.0	1.0	1.0	1.0	-	-	-	-	-	-
численность населения	26242.0	650.0	6981.0	18611.0	-	-	-	-	-	-
мужчины	12702.0	351.0	3461.0	8890.0	-	-	-	-	-	-
женщины	13540.0	299.0	3520.0	9721.0	-	-	-	-	-	-
Число городов	1.0	-	-	1.0	-	-	-	-	-	-
численность населения	18611.0	-	-	18611.0	-	-	-	-	-	-
мужчины	8890.0	-	-	8890.0	-	-	-	-	-	-
женщины	9721.0	-	-	9721.0	-	-	-	-	-	-
Число поселков городского типа	2.0	1.0	1.0	-	-	-	-	-	-	-
численность населения	7631.0	650.0	6981.0	-	-	-	-	-	-	-
мужчины	3812.0	351.0	3461.0	-	-	-	-	-	-	-
женщины	3819.0	299.0	3520.0	-	-	-	-	-	-	-
Вологодская область										
Число городских поселений	27.0	6.0	8.0	8.0	3.0	-	-	2.0	-	-
численность населения	876572.0	17582.0	60552.0	95447.0	98076.0	-	-	604915.0	-	-
мужчины	402084.0	8127.0	27716.0	44668.0	46651.0	-	-	274922.0	-	-
женщины	474488.0	9455.0	32836.0	50779.0	51425.0	-	-	329993.0	-	-
Число городов	15.0	-	4.0	7.0	2.0	-	-	2.0	-	-
численность населения	795476.0	-	30451.0	83649.0	76461.0	-	-	604915.0	-	-
мужчины	362686.0	-	14004.0	39221.0	34539.0	-	-	274922.0	-	-
женщины	432790.0	-	16447.0	44428.0	41922.0	-	-	329993.0	-	-
Число поселков городского типа	12.0	6.0	4.0	1.0	1.0	-	-	-	-	-
численность населения	81096.0	17582.0	30101.0	11798.0	21615.0	-	-	-	-	-
мужчины	39398.0	8127.0	13712.0	5447.0	12112.0	-	-	-	-	-
женщины	41698.0	9455.0	16389.0	6351.0	9503.0	-	-	-	-	-
Калининградская область										
Число городских поселений	27.0	8.0	7.0	6.0	5.0	-	-	1.0	-	-
численность населения	741487.0	23232.0	43767.0	73474.0	171011.0	-	-	430003.0	-	-
мужчины	350963.0	11009.0	21057.0	34891.0	81166.0	-	-	202840.0	-	-
женщины	390524.0	12223.0	22710.0	38583.0	89845.0	-	-	227163.0	-	-
Число городов	22.0	4.0	6.0	6.0	5.0	-	-	1.0	-	-
численность населения	726977.0	14177.0	38312.0	73474.0	171011.0	-	-	430003.0	-	-
мужчины	344041.0	6634.0	18510.0	34891.0	81166.0	-	-	202840.0	-	-
