13. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																			
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																			
																			
	Численность населения соответст-вующей националь-ности	Всего указали источников средств к существова-нию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения данной национальности указали			
Городское население	779481.0	955198.0	381025.0	28261.0	19553.0	179034.0	25329.0	84478.0	3136.0	7403.0	1546.0	593.0	214334.0	10506.0	3466.0	606993.0	159177.0	9534.0	311.0
Русские	730148.0	898991.0	356614.0	26538.0	19008.0	166694.0	23909.0	81505.0	2991.0	6953.0	1369.0	559.0	203319.0	9532.0	1375.0	568262.0	151108.0	9103.0	300.0
Украинцы	17887.0	21384.0	10102.0	772.0	151.0	6441.0	579.0	700.0	63.0	97.0	56.0	11.0	2201.0	211.0	30.0	14541.0	3108.0	205.0	3.0
Белорусы	4963.0	5887.0	2710.0	184.0	51.0	1827.0	184.0	191.0	12.0	24.0	16.0	5.0	623.0	60.0	9.0	4077.0	824.0	50.0	3.0
Сельское население	262160.0	376106.0	95768.0	52895.0	3635.0	80840.0	11334.0	50997.0	907.0	2573.0	615.0	150.0	69797.0	6595.0	331.0	161034.0	87894.0	12330.0	571.0
Русские	243441.0	351785.0	87463.0	49825.0	3440.0	77136.0	10739.0	48581.0	851.0	2496.0	564.0	140.0	64739.0	5811.0	173.0	147817.0	82947.0	11951.0	553.0
Украинцы	5275.0	6892.0	2639.0	1005.0	47.0	1632.0	189.0	422.0	20.0	20.0	10.0	1.0	779.0	128.0	7.0	3814.0	1292.0	155.0	7.0
Белорусы	1646.0	2166.0	716.0	324.0	18.0	596.0	68.0	142.0	7.0	9.0	5.0	-	231.0	50.0	5.0	1167.0	426.0	45.0	3.0
Костромская область																			
Все население	736641.0	987201.0	321857.0	119136.0	20118.0	182628.0	31426.0	81505.0	4773.0	11854.0	1272.0	416.0	200972.0	11244.0	6036.0	487819.0	229312.0	13147.0	327.0
Русские	704049.0	951519.0	308566.0	115224.0	19765.0	176411.0	30285.0	79607.0	4616.0	11130.0	1189.0	397.0	194074.0	10255.0	1273.0	467453.0	222230.0	12775.0	318.0
Украинцы	8011.0	10366.0	4330.0	1260.0	78.0	2538.0	367.0	288.0	50.0	134.0	21.0	5.0	1134.0	161.0	3.0	5774.0	2112.0	120.0	2.0
Городское население	496145.0	618338.0	229136.0	42449.0	15777.0	115920.0	19352.0	42338.0	2709.0	6557.0	957.0	311.0	136196.0	6636.0	5774.0	369171.0	114595.0	6448.0	157.0
Русские	471915.0	594746.0	219484.0	41054.0	15485.0	111274.0	18608.0	41382.0	2619.0	6136.0	887.0	297.0	131443.0	6077.0	1123.0	353379.0	111028.0	6234.0	151.0
Украинцы	5812.0	7167.0	3204.0	472.0	67.0	1950.0	261.0	171.0	27.0	89.0	20.0	5.0	817.0	84.0	1.0	4538.0	1192.0	79.0	2.0
Сельское население	240496.0	368863.0	92721.0	76687.0	4341.0	66708.0	12074.0	39167.0	2064.0	5297.0	315.0	105.0	64776.0	4608.0	262.0	118648.0	114717.0	6699.0	170.0
Русские	232134.0	356773.0	89082.0	74170.0	4280.0	65137.0	11677.0	38225.0	1997.0	4994.0	302.0	100.0	62631.0	4178.0	150.0	114074.0	111202.0	6541.0	167.0
Украинцы	2199.0	3199.0	1126.0	788.0	11.0	588.0	106.0	117.0	23.0	45.0	1.0	-	317.0	77.0	2.0	1236.0	920.0	41.0	-
Курская область																			
Все население	1235091.0	1656618.0	487307.0	217215.0	25503.0	321516.0	49162.0	167335.0	6761.0	11849.0	1711.0	697.0	360526.0	7036.0	2884.0	826209.0	388020.0	17548.0	430.0
Русские	1184049.0	1593142.0	466909.0	208942.0	24916.0	310254.0	47649.0	162273.0	6536.0	11203.0	1579.0	660.0	346078.0	6143.0	1130.0	790479.0	375072.0	16957.0	411.0
Украинцы	20920.0	26923.0	9896.0	3890.0	207.0	6845.0	732.0	1275.0	136.0	184.0	40.0	14.0	3564.0	140.0	11.0	15213.0	5388.0	298.0	10.0
Городское население	756480.0	934273.0	339004.0	44419.0	20740.0	159670.0	27735.0	89214.0	5847.0	8855.0	1081.0	548.0	233015.0	4145.0	2550.0	581972.0	163797.0	7938.0	223.0
Русские	724070.0	897435.0	325395.0	42393.0	20271.0	151660.0	26781.0	87070.0	5667.0	8313.0	986.0	522.0	224754.0	3623.0	892.0	556975.0	158360.0	7632.0	211.0
Украинцы	13579.0	16407.0	6755.0	1141.0	166.0	4918.0	478.0	610.0	109.0	149.0	35.0	12.0	1961.0	73.0	6.0	10918.0	2482.0	167.0	6.0
Сельское население	478611.0	722345.0	148303.0	172796.0	4763.0	161846.0	21427.0	78121.0	914.0	2994.0	630.0	149.0	127511.0	2891.0	334.0	244237.0	224223.0	9610.0	207.0
Русские	459979.0	695707.0	141514.0	166549.0	4645.0	158594.0	20868.0	75203.0	869.0	2890.0	593.0	138.0	121324.0	2520.0	238.0	233504.0	216712.0	9325.0	200.0
Украинцы	7341.0	10516.0	3141.0	2749.0	41.0	1927.0	254.0	665.0	27.0	35.0	5.0	2.0	1603.0	67.0	5.0	4295.0	2906.0	131.0	4.0
Липецкая область																			
Все население	1213499.0	1514088.0	500661.0	161612.0	25494.0	299697.0	45108.0	101513.0	4074.0	14842.0	1907.0	2382.0	339583.0	17215.0	8904.0	905668.0	288565.0	10165.0	197.0
Русские	1162878.0	1460254.0	483173.0	155314.0	25039.0	290598.0	43766.0	98428.0	3956.0	14070.0	1751.0	2316.0	326328.0	15515.0	1983.0	871785.0	279060.0	9858.0	192.0
Украинцы	13350.0	16639.0	6098.0	2333.0	77.0	4812.0	539.0	417.0	33.0	181.0	34.0	30.0	1879.0	206.0	8.0	10178.0	3032.0	131.0	1.0
Городское население	779983.0	889795.0	354920.0	28998.0	19203.0	169529.0	25540.0	42120.0	3408.0	11821.0	1354.0	677.0	221486.0	10739.0	8456.0	656991.0	110855.0	3631.0	50.0
Русские	747210.0	860441.0	344039.0	28109.0	18868.0	163094.0	24745.0	41345.0	3312.0	11116.0	1249.0	649.0	214220.0	9695.0	1604.0	634393.0	107639.0	3527.0	47.0
Украинцы	8224.0	9481.0	3836.0	427.0	55.0	3464.0	330.0	107.0	23.0	165.0	23.0	13.0	925.0	113.0	5.0	7009.0	1158.0	52.0	-
Сельское население	433516.0	624293.0	145741.0	132614.0	6291.0	130168.0	19568.0	59393.0	666.0	3021.0	553.0	1705.0	118097.0	6476.0	448.0	248677.0	177710.0	6534.0	147.0
Русские	415668.0	599813.0	139134.0	127205.0	6171.0	127504.0	19021.0	57083.0	644.0	2954.0	502.0	1667.0	112108.0	5820.0	379.0	237392.0	171421.0	6331.0	145.0
Украинцы	5126.0	7158.0	2262.0	1906.0	22.0	1348.0	209.0	310.0	10.0	16.0	11.0	17.0	954.0	93.0	3.0	3169.0	1874.0	79.0	1.0
Московская область																			
Все население	6618538.0	7548810.0	3263535.0	189357.0	128960.0	1572033.0	169323.0	426569.0	23150.0	57042.0	14472.0	4376.0	1622115.0	77878.0	178119.0	5369442.0	1035000.0	34866.0	1111.0
Русские	6022763.0	7035771.0	3016672.0	176756.0	123110.0	1461817.0	158963.0	409935.0	21741.0	52997.0	12768.0	4008.0	1527320.0	69684.0	27919.0	4988724.0	972530.0	32618.0	972.0
Украинцы	147808.0	172383.0	87611.0	4227.0	1600.0	47432.0	3603.0	3859.0	423.0	947.0	467.0	84.0	20471.0	1659.0	457.0	123299.0	23117.0	898.0	37.0
Татары	52851.0	60401.0	29105.0	1354.0	821.0	13563.0	1580.0	2165.0	212.0	498.0	176.0	33.0	10175.0	719.0	189.0	45173.0	7247.0	234.0	8.0
Белорусы	42212.0	49663.0	24297.0	1512.0	462.0	15141.0	1190.0	1093.0	117.0	269.0	111.0	30.0	5005.0	436.0	85.0	34880.0	6976.0	256.0	15.0
Армяне	39660.0	43389.0	17401.0	397.0	577.0	4149.0	451.0	1847.0	88.0	180.0	209.0	24.0	17069.0	997.0	211.0	35609.0	3744.0	94.0	2.0
Мордва	21856.0	25858.0	13431.0	1911.0	219.0	5115.0	706.0	878.0	136.0	109.0	53.0	10.0	3007.0	283.0	40.0	17925.0	3742.0	148.0	1.0
Азербайджанцы	14651.0	16030.0	6713.0	170.0	108.0	705.0	137.0	867.0	23.0	95.0	87.0	11.0	6646.0	468.0	92.0	13118.0	1411.0	30.0	-
Чуваши	12530.0	14561.0	8023.0	671.0	194.0	2329.0	327.0	572.0	69.0	99.0	39.0	12.0	2045.0	181.0	29.0	10530.0	1888.0	78.0	5.0
Молдаване	10418.0	11318.0	6631.0	274.0	55.0	670.0	146.0	402.0	30.0	105.0	50.0	8.0	2583.0	364.0	69.0	9412.0	907.0	28.0	2.0
Евреи	9899.0	11876.0	4517.0	154.0	125.0	5310.0	458.0	141.0	10.0	96.0	61.0	16.0	876.0	112.0	40.0	7925.0	1861.0	68.0	5.0
Городское население	5248534.0	5893831.0	2612917.0	81343.0	107377.0	1232736.0	125876.0	318524.0	18297.0	37379.0	12247.0	3460.0	1286242.0	57433.0	166989.0	4295485.0	760983.0	24202.0	875.0
Русские	4758338.0	5495686.0	2421264.0	76063.0	102543.0	1142704.0	118037.0	306192.0	17235.0	34648.0	10847.0	3184.0	1211766.0	51203.0	25065.0	3995192.0	714724.0	22592.0	765.0
Украинцы	118527.0	137747.0	70095.0	2179.0	1380.0	39132.0	2825.0	3003.0	341.0	679.0	381.0	60.0	16434.0	1238.0	391.0	99271.0	18153.0	682.0	30.0
Татары	43652.0	49448.0	23873.0	641.0	689.0	11742.0	1263.0	1708.0	174.0	292.0	150.0	26.0	8316.0	574.0	164.0	37725.0	5574.0	181.0	8.0
Белорусы	32615.0	38191.0	19067.0	665.0	397.0	11742.0	915.0	813.0	82.0	197.0	89.0	20.0	3910.0	294.0	69.0	27104.0	5254.0	176.0	12.0
Армяне	32086.0	35090.0	14070.0	178.0	478.0	3517.0	367.0	1523.0	84.0	137.0	176.0	20.0	13724.0	816.0	169.0	28820.0	3025.0	70.0	2.0
Мордва	10849.0	12272.0	6798.0	297.0	88.0	2997.0	322.0	273.0	62.0	67.0	26.0	6.0	1210.0	126.0	28.0	9417.0	1359.0	44.0	1.0
Азербайджанцы	12349.0	13426.0	5605.0	90.0	93.0	575.0	101.0	695.0	22.0	64.0	73.0	9.0	5707.0	392.0	79.0	11138.0	1108.0	24.0	-
Чуваши	7770.0	8805.0	4987.0	145.0	128.0	1741.0	194.0	251.0	35.0	60.0	34.0	8.0	1113.0	109.0	26.0	6737.0	958.0	45.0	4.0
Молдаване	7617.0	8229.0	4786.0	99.0	44.0	527.0	114.0	318.0	22.0	82.0	50.0	6.0	1941.0	240.0	62.0	6905.0	628.0	20.0	2.0
Евреи	8990.0	10741.0	4129.0	106.0	113.0	4886.0	388.0	131.0	10.0	44.0	54.0	14.0	789.0	77.0	36.0	7240.0	1650.0	60.0	4.0
Сельское население	1370004.0	1654979.0	650618.0	108014.0	21583.0	339297.0	43447.0	108045.0	4853.0	19663.0	2225.0	916.0	335873.0	20445.0	11130.0	1073957.0	274017.0	10664.0	236.0
Русские	1264425.0	1540085.0	595408.0	100693.0	20567.0	319113.0	40926.0	103743.0	4506.0	18349.0	1921.0	824.0	315554.0	18481.0	2854.0	993532.0	257806.0	10026.0	207.0
Украинцы	29281.0	34636.0	17516.0	2048.0	220.0	8300.0	778.0	856.0	82.0	268.0	86.0	24.0	4037.0	421.0	66.0	24028.0	4964.0	216.0	7.0
Татары	9199.0	10953.0	5232.0	713.0	132.0	1821.0	317.0	457.0	38.0	206.0	26.0	7.0	1859.0	145.0	25.0	7448.0	1673.0	53.0	-
Белорусы	9597.0	11472.0	5230.0	847.0	65.0	3399.0	275.0	280.0	35.0	72.0	22.0	10.0	1095.0	142.0	16.0	7776.0	1722.0	80.0	3.0
Армяне	7574.0	8299.0	3331.0	219.0	99.0	632.0	84.0	324.0	4.0	43.0	33.0	4.0	3345.0	181.0	42.0	6789.0	719.0	24.0	-
Мордва	11007.0	13586.0	6633.0	1614.0	131.0	2118.0	384.0	605.0	74.0	42.0	27.0	4.0	1797.0	157.0	12.0	8508.0	2383.0	104.0	-
Азербайджанцы	2302.0	2604.0	1108.0	80.0	15.0	130.0	36.0	172.0	1.0	31.0	14.0	2.0	939.0	76.0	13.0	1980.0	303.0	6.0	-
Чуваши	4760.0	5756.0	3036.0	526.0	66.0	588.0	133.0	321.0	34.0	39.0	5.0	4.0	932.0	72.0	3.0	3793.0	930.0	33.0	1.0
Молдаване	2801.0	3089.0	1845.0	175.0	11.0	143.0	32.0	84.0	8.0	23.0	-	2.0	642.0	124.0	7.0	2507.0	279.0	8.0	-
Евреи	909.0	1135.0	388.0	48.0	12.0	424.0	70.0	10.0	-	52.0	7.0	2.0	87.0	35.0	4.0	685.0	211.0	8.0	1.0
Орловская область																			
Все население	860262.0	1198203.0	355225.0	165263.0	25388.0	218484.0	30383.0	131908.0	4270.0	12903.0	1679.0	2509.0	239485.0	10706.0	5571.0	533582.0	299386.0	21069.0	654.0
Русские	820024.0	1148456.0	340496.0	156898.0	24804.0	211119.0	29389.0	126836.0	4130.0	12096.0	1542.0	2469.0	229034.0	9643.0	765.0	511610.0	286751.0	20272.0	626.0
Украинцы	11212.0	15293.0	5426.0	2699.0	130.0	3650.0	355.0	824.0	58.0	177.0	36.0	11.0	1747.0	180.0	1.0	7401.0	3545.0	258.0	7.0
Городское население	546478.0	701225.0	248747.0	47152.0	21274.0	122144.0	18208.0	68969.0	3662.0	7273.0	959.0	309.0	156595.0	5933.0	5353.0	390374.0	141666.0	8825.0	260.0
Русские	523374.0	678254.0	240345.0	45569.0	20835.0	117332.0	17669.0	67541.0	3549.0	6793.0	872.0	301.0	151934.0	5514.0	594.0	376376.0	137586.0	8568.0	250.0
Украинцы	6859.0	8549.0	3479.0	727.0	101.0	2496.0	210.0	323.0	51.0	104.0	18.0	2.0	954.0	84.0	-	5285.0	1461.0	110.0	3.0
Сельское население	313784.0	496978.0	106478.0	118111.0	4114.0	96340.0	12175.0	62939.0	608.0	5630.0	720.0	2200.0	82890.0	4773.0	218.0	143208.0	157720.0	12244.0	394.0
Русские	296650.0	470202.0	100151.0	111329.0	3969.0	93787.0	11720.0	59295.0	581.0	5303.0	670.0	2168.0	77100.0	4129.0	171.0	135234.0	149165.0	11704.0	376.0
Украинцы	4353.0	6744.0	1947.0	1972.0	29.0	1154.0	145.0	501.0	7.0	73.0	18.0	9.0	793.0	96.0	1.0	2116.0	2084.0	148.0	4.0
Рязанская область																			
Все население	1227910.0	1603885.0	502663.0	165969.0	29905.0	333151.0	59111.0	150888.0	4207.0	19419.0	2095.0	796.0	324463.0	11218.0	13872.0	844411.0	350011.0	19021.0	595.0
Русские	1161447.0	1532928.0	478768.0	157019.0	29064.0	321159.0	56826.0	145753.0	4037.0	17755.0	1920.0	757.0	309932.0	9938.0	1672.0	806063.0	334851.0	18287.0	574.0
Украинцы	12671.0	16207.0	6137.0	1932.0	130.0	4542.0	620.0	644.0	49.0	236.0	47.0	9.0	1737.0	124.0	7.0	9369.0	3053.0	236.0	6.0
Мордва	7252.0	10148.0	3766.0	2182.0	119.0	1599.0	421.0	547.0	27.0	81.0	7.0	4.0	1305.0	90.0	10.0	4452.0	2676.0	112.0	2.0
