2. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, ПРОЖИВАЮЩИЕ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ, ПО ТИПАМ ЖИЛЫХ ПОМЕЩЕНИЙ, ЧИСЛУ ЗАНИМАЕМЫХ КОМНАТ И РАЗМЕРУ ДОМОХОЗЯЙСТВ								
								
	Всего частных домохозяйств	в том числе домохозяйства, состоящие из						Средний размер домохозяйства, человек
часть комнаты	67.0	37.0	17.0	7.0	3.0	3.0	22.0	1.9
1 комнату	1280.0	501.0	336.0	270.0	108.0	65.0	382.0	2.2
2 комнаты	847.0	135.0	214.0	247.0	172.0	79.0	461.0	2.9
3 комнаты	353.0	41.0	59.0	91.0	95.0	67.0	376.0	3.4
4 и более комнат 	169.0	15.0	32.0	42.0	44.0	36.0	211.0	3.5
не указавшие число комнат	448.0	114.0	100.0	113.0	81.0	40.0	221.0	2.7
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	13227.0	2662.0	3427.0	3941.0	2180.0	1017.0	5706.0	2.7
Городские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	318392.0	57709.0	85569.0	86576.0	60328.0	28210.0	154557.0	2.8
в том числе проживают:								
в индивидуальных домах	76389.0	15732.0	20808.0	16357.0	13324.0	10168.0	56995.0	2.8
в них занимают:								
1 комнату	3499.0	1489.0	960.0	559.0	328.0	163.0	896.0	2.1
2 комнаты	13239.0	4265.0	3944.0	2423.0	1701.0	906.0	5000.0	2.4
3 комнаты	22678.0	4887.0	6690.0	4911.0	3718.0	2472.0	13673.0	2.7
4 и более комнат	36776.0	5058.0	9157.0	8418.0	7537.0	6606.0	37299.0	3.2
не указавшие число комнат	197.0	33.0	57.0	46.0	40.0	21.0	127.0	2.9
в отдельных квартирах	239373.0	41272.0	64116.0	69576.0	46594.0	17815.0	96256.0	2.8
в них занимают:								
часть комнаты	161.0	97.0	38.0	17.0	8.0	1.0	5.0	1.6
1 комнату	49374.0	18755.0	14763.0	11178.0	4033.0	645.0	3377.0	2.1
2 комнаты	95963.0	15916.0	30701.0	29756.0	15153.0	4437.0	23442.0	2.6
3 комнаты	74835.0	5119.0	15564.0	23678.0	21794.0	8680.0	46873.0	3.2
4 и более комнат 	17275.0	857.0	2591.0	4522.0	5334.0	3971.0	22096.0	3.6
не указавшие число комнат	1765.0	528.0	459.0	425.0	272.0	81.0	463.0	2.4
в коммунальных квартирах	2630.0	705.0	645.0	643.0	410.0	227.0	1306.0	2.6
в них занимают:								
часть комнаты	53.0	28.0	14.0	6.0	2.0	3.0	22.0	2.0
1 комнату	1076.0	427.0	290.0	228.0	83.0	48.0	278.0	2.1
2 комнаты	689.0	113.0	170.0	202.0	140.0	64.0	380.0	2.9
3 комнаты	305.0	37.0	56.0	80.0	73.0	59.0	329.0	3.3
4 и более комнат 	138.0	10.0	29.0	33.0	39.0	27.0	152.0	3.4
не указавшие число комнат	369.0	90.0	86.0	94.0	73.0	26.0	145.0	2.7
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	10760.0	2164.0	2869.0	3340.0	1699.0	688.0	3799.0	2.7
Сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	193046.0	50339.0	56034.0	34703.0	29211.0	22759.0	127501.0	2.6
в том числе проживают:								
в индивидуальных домах	164503.0	46094.0	49423.0	27202.0	22609.0	19175.0	107476.0	2.6
в них занимают:								
1 комнату	12065.0	6001.0	3432.0	1291.0	851.0	490.0	2692.0	1.9
2 комнаты	51094.0	19994.0	16954.0	6543.0	4371.0	3232.0	18069.0	2.1
3 комнаты	49275.0	11920.0	15257.0	9066.0	7242.0	5790.0	32260.0	2.7
4 и более комнат	51830.0	8098.0	13723.0	10273.0	10107.0	9629.0	54256.0	3.1
не указавшие число комнат	239.0	81.0	57.0	29.0	38.0	34.0	199.0	2.6
в отдельных квартирах	28009.0	4107.0	6498.0	7374.0	6509.0	3521.0	19658.0	3.0
в них занимают:								
часть комнаты	16.0	6.0	5.0	2.0	3.0	-	-	2.1
1 комнату	3610.0	1448.0	1003.0	708.0	331.0	120.0	670.0	2.1
2 комнаты	9531.0	1625.0	2637.0	2651.0	1894.0	724.0	3979.0	2.8
3 комнаты	11028.0	800.0	2263.0	3027.0	3048.0	1890.0	10565.0	3.4
4 и более комнат 	3719.0	210.0	566.0	964.0	1207.0	772.0	4362.0	3.6
не указавшие число комнат	105.0	18.0	24.0	22.0	26.0	15.0	82.0	3.0
в коммунальных квартирах	534.0	138.0	113.0	127.0	93.0	63.0	367.0	2.8
в них занимают:								
часть комнаты	14.0	9.0	3.0	1.0	1.0	-	-	1.6
1 комнату	204.0	74.0	46.0	42.0	25.0	17.0	104.0	2.4
2 комнаты	158.0	22.0	44.0	45.0	32.0	15.0	81.0	2.9
3 комнаты	48.0	4.0	3.0	11.0	22.0	8.0	47.0	3.7
4 и более комнат 	31.0	5.0	3.0	9.0	5.0	9.0	59.0	3.8
не указавшие число комнат	79.0	24.0	14.0	19.0	8.0	14.0	76.0	2.7
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	2467.0	498.0	558.0	601.0	481.0	329.0	1907.0	2.9
Брянская область								
Городские и сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	487702.0	114688.0	136319.0	112352.0	83351.0	40992.0	225652.0	2.6
в том числе проживают:								
в индивидуальных домах	241730.0	66745.0	69548.0	45535.0	37696.0	22206.0	123777.0	2.6
в них занимают:								
1 комнату	25161.0	13935.0	6719.0	2459.0	1336.0	712.0	4119.0	1.8
2 комнаты	88466.0	32999.0	30393.0	12701.0	7944.0	4429.0	24700.0	2.1
3 комнаты	73330.0	13829.0	20420.0	17178.0	14236.0	7667.0	42235.0	2.8
4 и более комнат	54632.0	5949.0	11979.0	13169.0	14157.0	9378.0	52560.0	3.3
не указавшие число комнат	141.0	33.0	37.0	28.0	23.0	20.0	163.0	3.2
в отдельных квартирах	243009.0	47031.0	65997.0	66110.0	45239.0	18632.0	101031.0	2.7
в них занимают:								
часть комнаты	181.0	110.0	40.0	18.0	11.0	2.0	10.0	1.6
1 комнату	50624.0	21261.0	15068.0	9981.0	3636.0	678.0	3603.0	2.0
2 комнаты	106308.0	18897.0	32815.0	30986.0	18054.0	5556.0	29577.0	2.6
3 комнаты	71089.0	5674.0	15514.0	21256.0	19307.0	9338.0	50646.0	3.2
4 и более комнат 	14274.0	901.0	2432.0	3742.0	4166.0	3033.0	16968.0	3.5
не указавшие число комнат	533.0	188.0	128.0	127.0	65.0	25.0	227.0	2.5
в коммунальных квартирах	2963.0	912.0	774.0	707.0	416.0	154.0	844.0	2.4
в них занимают:								
часть комнаты	58.0	35.0	13.0	6.0	2.0	2.0	11.0	1.7
1 комнату	1543.0	686.0	414.0	298.0	119.0	26.0	143.0	2.0
2 комнаты	788.0	123.0	213.0	247.0	147.0	58.0	306.0	2.8
3 комнаты	342.0	31.0	78.0	104.0	89.0	40.0	233.0	3.2
4 и более комнат 	125.0	7.0	24.0	25.0	46.0	23.0	124.0	3.5
не указавшие число комнат	107.0	30.0	32.0	27.0	13.0	5.0	27.0	2.4
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	9329.0	2034.0	2585.0	2819.0	1342.0	549.0	3066.0	2.6
Городские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	317886.0	64400.0	87942.0	82118.0	56955.0	26471.0	145152.0	2.7
в том числе проживают:								
в индивидуальных домах	107454.0	22370.0	28869.0	24440.0	20073.0	11702.0	65347.0	2.8
в них занимают:								
1 комнату	5584.0	2721.0	1430.0	782.0	439.0	212.0	1267.0	2.0
2 комнаты	22121.0	7492.0	7038.0	4033.0	2412.0	1146.0	6468.0	2.3
3 комнаты	41218.0	8022.0	11782.0	10106.0	7486.0	3822.0	21054.0	2.7
4 и более комнат	38454.0	4117.0	8601.0	9501.0	9723.0	6512.0	36462.0	3.3
не указавшие число комнат	77.0	18.0	18.0	18.0	13.0	10.0	96.0	3.3
в отдельных квартирах	207684.0	41179.0	58340.0	57024.0	36508.0	14633.0	79061.0	2.7
в них занимают:								
часть комнаты	163.0	98.0	38.0	15.0	10.0	2.0	10.0	1.7
1 комнату	45747.0	19124.0	13832.0	9011.0	3202.0	578.0	3071.0	2.0
2 комнаты	93609.0	16603.0	29592.0	27526.0	15227.0	4661.0	24748.0	2.6
3 комнаты	56629.0	4447.0	12794.0	17434.0	14925.0	7029.0	37983.0	3.2
4 и более комнат 	11121.0	739.0	1989.0	2950.0	3096.0	2347.0	13160.0	3.5
не указавшие число комнат	415.0	168.0	95.0	88.0	48.0	16.0	89.0	2.2
в коммунальных квартирах	2748.0	851.0	733.0	654.0	374.0	136.0	744.0	2.4
в них занимают:								
часть комнаты	45.0	28.0	8.0	5.0	2.0	2.0	11.0	1.7
1 комнату	1452.0	643.0	397.0	278.0	109.0	25.0	138.0	2.0
2 комнаты	728.0	116.0	203.0	231.0	130.0	48.0	251.0	2.7
3 комнаты	309.0	30.0	73.0	93.0	78.0	35.0	203.0	3.1
4 и более комнат 	118.0	7.0	24.0	23.0	42.0	22.0	119.0	3.5
не указавшие число комнат	96.0	27.0	28.0	24.0	13.0	4.0	22.0	2.4
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	7954.0	1695.0	2238.0	2469.0	1119.0	433.0	2405.0	2.6
Сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	169816.0	50288.0	48377.0	30234.0	26396.0	14521.0	80500.0	2.5
в том числе проживают:								
в индивидуальных домах	134276.0	44375.0	40679.0	21095.0	17623.0	10504.0	58430.0	2.4
в них занимают:								
1 комнату	19577.0	11214.0	5289.0	1677.0	897.0	500.0	2852.0	1.7
2 комнаты	66345.0	25507.0	23355.0	8668.0	5532.0	3283.0	18232.0	2.1
3 комнаты	32112.0	5807.0	8638.0	7072.0	6750.0	3845.0	21181.0	2.9
4 и более комнат	16178.0	1832.0	3378.0	3668.0	4434.0	2866.0	16098.0	3.3
не указавшие число комнат	64.0	15.0	19.0	10.0	10.0	10.0	67.0	3.0
в отдельных квартирах	35325.0	5852.0	7657.0	9086.0	8731.0	3999.0	21970.0	3.0
в них занимают:								
часть комнаты	18.0	12.0	2.0	3.0	1.0	-	-	1.6
1 комнату	4877.0	2137.0	1236.0	970.0	434.0	100.0	532.0	2.0
2 комнаты	12699.0	2294.0	3223.0	3460.0	2827.0	895.0	4829.0	2.8
3 комнаты	14460.0	1227.0	2720.0	3822.0	4382.0	2309.0	12663.0	3.3
4 и более комнат 	3153.0	162.0	443.0	792.0	1070.0	686.0	3808.0	3.7
не указавшие число комнат	118.0	20.0	33.0	39.0	17.0	9.0	138.0	3.5
в коммунальных квартирах	215.0	61.0	41.0	53.0	42.0	18.0	100.0	2.7
в них занимают:								
часть комнаты	13.0	7.0	5.0	1.0	-	-	-	1.5
1 комнату	91.0	43.0	17.0	20.0	10.0	1.0	5.0	2.0
2 комнаты	60.0	7.0	10.0	16.0	17.0	10.0	55.0	3.3
3 комнаты	33.0	1.0	5.0	11.0	11.0	5.0	30.0	3.6
4 и более комнат 	7.0	-	-	2.0	4.0	1.0	5.0	3.9
не указавшие число комнат	11.0	3.0	4.0	3.0	-	1.0	5.0	2.3
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	1375.0	339.0	347.0	350.0	223.0	116.0	661.0	2.6
Владимирская область								
Городские и сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	556998.0	134704.0	163759.0	136329.0	84983.0	37223.0	202920.0	2.5
в том числе проживают:								
в индивидуальных домах	117956.0	39467.0	36856.0	19776.0	13600.0	8257.0	46296.0	2.3
в них занимают:								
1 комнату	32045.0	15394.0	10308.0	3703.0	1763.0	877.0	4868.0	1.8
2 комнаты	54277.0	18941.0	18401.0	8692.0	5349.0	2894.0	15946.0	2.2
3 комнаты	22297.0	3860.0	6060.0	5302.0	4342.0	2733.0	15199.0	2.9
4 и более комнат	9081.0	1176.0	2006.0	2034.0	2123.0	1742.0	10213.0	3.3
не указавшие число комнат	256.0	96.0	81.0	45.0	23.0	11.0	70.0	2.2
в отдельных квартирах	429070.0	91604.0	124359.0	114335.0	70203.0	28569.0	154403.0	2.6
в них занимают:								
часть комнаты	302.0	174.0	69.0	39.0	18.0	2.0	10.0	1.7
1 комнату	97547.0	43334.0	29540.0	17694.0	5767.0	1212.0	6407.0	1.9
2 комнаты	208584.0	38248.0	68060.0	60176.0	32009.0	10091.0	53600.0	2.6
3 комнаты	110582.0	8577.0	24311.0	33334.0	29361.0	14999.0	81616.0	3.2
4 и более комнат 	10428.0	784.0	1915.0	2678.0	2847.0	2204.0	12419.0	3.5
не указавшие число комнат	1627.0	487.0	464.0	414.0	201.0	61.0	351.0	2.3
в коммунальных квартирах	9972.0	3633.0	2544.0	2218.0	1180.0	397.0	2221.0	2.2
в них занимают:								
часть комнаты	142.0	78.0	23.0	23.0	14.0	4.0	21.0	1.9
1 комнату	6162.0	2923.0	1583.0	1116.0	441.0	99.0	544.0	1.9
2 комнаты	2643.0	433.0	689.0	797.0	543.0	181.0	995.0	2.8
3 комнаты	358.0	41.0	74.0	111.0	81.0	51.0	279.0	3.1
4 и более комнат 	79.0	9.0	10.0	24.0	17.0	19.0	131.0	3.8
не указавшие число комнат	588.0	149.0	165.0	147.0	84.0	43.0	251.0	2.6
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	12925.0	2581.0	3721.0	4170.0	1862.0	591.0	3235.0	2.6
Городские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	435599.0	98196.0	128204.0	113275.0	67972.0	27952.0	151308.0	2.6
в том числе проживают:								
в индивидуальных домах	56210.0	15509.0	17001.0	11371.0	7837.0	4492.0	25052.0	2.5
в них занимают:								
1 комнату	11455.0	4933.0	3557.0	1770.0	858.0	337.0	1815.0	2.0
2 комнаты	24502.0	7321.0	8198.0	4683.0	2863.0	1437.0	7826.0	2.3
3 комнаты	13722.0	2393.0	3814.0	3413.0	2593.0	1509.0	8343.0	2.8
4 и более комнат	6354.0	801.0	1372.0	1475.0	1503.0	1203.0	7032.0	3.3
не указавшие число комнат	177.0	61.0	60.0	30.0	20.0	6.0	36.0	2.2
в отдельных квартирах	370178.0	79347.0	108847.0	99832.0	59049.0	23103.0	124255.0	2.6
в них занимают:								
часть комнаты	237.0	144.0	45.0	31.0	16.0	1.0	5.0	1.7
1 комнату	86031.0	38184.0	26403.0	15690.0	4825.0	929.0	4881.0	1.9
2 комнаты	181347.0	32989.0	60064.0	53030.0	26981.0	8283.0	43798.0	2.6
3 комнаты	91962.0	6871.0	20237.0	28355.0	24568.0	11931.0	64557.0	3.2
4 и более комнат 	9063.0	690.0	1666.0	2331.0	2467.0	1909.0	10733.0	3.5
не указавшие число комнат	1538.0	469.0	432.0	395.0	192.0	50.0	281.0	2.3
в коммунальных квартирах	9211.0	3340.0	2356.0	2072.0	1086.0	357.0	2001.0	2.2
в них занимают:								
часть комнаты	115.0	67.0	14.0	20.0	11.0	3.0	16.0	1.9
1 комнату	5735.0	2705.0	1478.0	1055.0	409.0	88.0	482.0	1.9
2 комнаты	2468.0	394.0	645.0	752.0	512.0	165.0	906.0	2.8
3 комнаты	340.0	38.0	70.0	107.0	78.0	47.0	257.0	3.1
4 и более комнат 	78.0	9.0	10.0	24.0	16.0	19.0	131.0	3.8
не указавшие число комнат	475.0	127.0	139.0	114.0	60.0	35.0	209.0	2.5
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	11433.0	2232.0	3332.0	3744.0	1635.0	490.0	2654.0	2.6
Сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	121399.0	36508.0	35555.0	23054.0	17011.0	9271.0	51612.0	2.4
в том числе проживают:								
в индивидуальных домах	61746.0	23958.0	19855.0	8405.0	5763.0	3765.0	21244.0	2.2
в них занимают:								
1 комнату	20590.0	10461.0	6751.0	1933.0	905.0	540.0	3053.0	1.8
2 комнаты	29775.0	11620.0	10203.0	4009.0	2486.0	1457.0	8120.0	2.1
3 комнаты	8575.0	1467.0	2246.0	1889.0	1749.0	1224.0	6856.0	3.0
4 и более комнат	2727.0	375.0	634.0	559.0	620.0	539.0	3181.0	3.3
не указавшие число комнат	79.0	35.0	21.0	15.0	3.0	5.0	34.0	2.1
в отдельных квартирах	58892.0	12257.0	15512.0	14503.0	11154.0	5466.0	30148.0	2.7
в них занимают:								
часть комнаты	65.0	30.0	24.0	8.0	2.0	1.0	5.0	1.8
1 комнату	11516.0	5150.0	3137.0	2004.0	942.0	283.0	1526.0	2.0
2 комнаты	27237.0	5259.0	7996.0	7146.0	5028.0	1808.0	9802.0	2.7
3 комнаты	18620.0	1706.0	4074.0	4979.0	4793.0	3068.0	17059.0	3.3
4 и более комнат 	1365.0	94.0	249.0	347.0	380.0	295.0	1686.0	3.5
не указавшие число комнат	89.0	18.0	32.0	19.0	9.0	11.0	70.0	2.8
в коммунальных квартирах	761.0	293.0	188.0	146.0	94.0	40.0	220.0	2.2
в них занимают:								
часть комнаты	27.0	11.0	9.0	3.0	3.0	1.0	5.0	2.0
1 комнату	427.0	218.0	105.0	61.0	32.0	11.0	62.0	1.9
2 комнаты	175.0	39.0	44.0	45.0	31.0	16.0	89.0	2.7
3 комнаты	18.0	3.0	4.0	4.0	3.0	4.0	22.0	3.2
4 и более комнат 	1.0	-	-	-	1.0	-	-	4.0
не указавшие число комнат	113.0	22.0	26.0	33.0	24.0	8.0	42.0	2.8
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	1492.0	349.0	389.0	426.0	227.0	101.0	581.0	2.6
Воронежская область								
Городские и сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	848759.0	199515.0	244384.0	199018.0	135553.0	70289.0	387106.0	2.6
в том числе проживают:								
в индивидуальных домах	400711.0	107662.0	119670.0	78179.0	58790.0	36410.0	202800.0	2.5
в них занимают:								
1 комнату	47765.0	23988.0	13205.0	5815.0	3175.0	1582.0	8772.0	1.9
2 комнаты	133551.0	47217.0	45143.0	21079.0	13175.0	6937.0	38549.0	2.2
3 комнаты	104089.0	20733.0	31679.0	23873.0	17689.0	10115.0	55830.0	2.7
4 и более комнат	114193.0	15318.0	29377.0	27219.0	24612.0	17667.0	99038.0	3.1
не указавшие число комнат	1113.0	406.0	266.0	193.0	139.0	109.0	611.0	2.4
в отдельных квартирах	436412.0	88659.0	121730.0	118109.0	75065.0	32849.0	178416.0	2.7
в них занимают:								
часть комнаты	464.0	346.0	82.0	28.0	5.0	3.0	18.0	1.4
