3. НАСЕЛЕНИЕ ПО УРОВНЮ ОБРАЗОВАНИЯ, ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 												
												
												
	Всего	Имеющие образование								Не имеющие 
16-29 лет	7914068.0	24162.0	1065085.0	702685.0	1855824.0	833284.0	2011118.0	1130439.0	89868.0	25803.0	15566.0	175800.0
Мужчины в возрасте 15 лет и более	14837071.0	87046.0	2817273.0	547424.0	3733307.0	2045249.0	2623473.0	1797519.0	786964.0	60648.0	30857.0	338168.0
в том числе в возрасте, лет:												
15–17	892551.0	-	-	4373.0	13091.0	18189.0	189619.0	574615.0	63293.0	4759.0	2493.0	24612.0
18–19 	628206.0	-	926.0	61128.0	102570.0	64429.0	288876.0	88235.0	8271.0	2322.0	1542.0	11449.0
20–24 	1451665.0	3806.0	165201.0	199285.0	386554.0	203484.0	316746.0	123193.0	16909.0	5023.0	3181.0	31464.0
25–29 	1367375.0	9064.0	298598.0	62282.0	402918.0	211776.0	231368.0	102288.0	11976.0	4198.0	2503.0	32907.0
30–34 	1329428.0	7325.0	290377.0	47427.0	444582.0	208573.0	218830.0	63344.0	9341.0	3844.0	2238.0	35785.0
35–39 	1350601.0	7528.0	316332.0	37828.0	440972.0	216724.0	230113.0	53707.0	8704.0	3619.0	2133.0	35074.0
40–44 	1636732.0	9190.0	373146.0	36557.0	506262.0	276227.0	309908.0	70638.0	11321.0	4087.0	2411.0	39396.0
45–49 	1476963.0	9497.0	341639.0	28389.0	426226.0	257177.0	276608.0	86597.0	13939.0	3460.0	1985.0	33431.0
50–54 	1265894.0	9403.0	303105.0	23820.0	344112.0	208164.0	222420.0	104145.0	18980.0	2817.0	1545.0	28928.0
55–59 	684559.0	7099.0	185528.0	13735.0	169785.0	98730.0	99579.0	68080.0	22825.0	1767.0	874.0	17431.0
60–64 	937665.0	8939.0	216598.0	13917.0	194533.0	117332.0	110174.0	152442.0	101456.0	3831.0	1899.0	18443.0
65–69 	700687.0	6713.0	148052.0	8126.0	132192.0	75770.0	57962.0	114277.0	140941.0	4889.0	2234.0	11765.0
70 и более	1114745.0	8482.0	177771.0	10557.0	169510.0	88674.0	71270.0	195958.0	359008.0	16032.0	5819.0	17483.0
Возраст не указан	25952.0	73.0	1122.0	455.0	2315.0	1323.0	1326.0	710.0	287.0	158.0	61.0	18183.0
Из общей численности – мужчины в возрасте:												
трудоспособном	11781327.0	62912.0	2274852.0	514824.0	3237072.0	1761186.0	2382281.0	1091887.0	141655.0	34081.0	20051.0	280577.0
старше трудоспособного	2753097.0	24134.0	542421.0	32600.0	496235.0	281776.0	239406.0	462677.0	601405.0	24752.0	9952.0	47691.0
16-29 лет	4037150.0	12870.0	464725.0	327068.0	905133.0	495591.0	1024823.0	645376.0	56545.0	14487.0	8865.0	90532.0
Женщины в возрасте 15 лет и более	17881724.0	66339.0	3458769.0	612609.0	5091703.0	1607918.0	2749994.0	2186096.0	1545782.0	202873.0	99970.0	359641.0
в том числе в возрасте, лет:												
15–17	859112.0	-	-	4772.0	11379.0	11812.0	209693.0	538565.0	55470.0	3822.0	1728.0	23599.0
18–19 	593673.0	-	1004.0	73258.0	86236.0	42023.0	318689.0	56294.0	3848.0	1724.0	1057.0	10597.0
20–24 	1384884.0	3424.0	223396.0	231441.0	402544.0	138558.0	277214.0	67004.0	7554.0	3776.0	2363.0	29973.0
25–29 	1328919.0	7868.0	375960.0	66146.0	450532.0	146816.0	182275.0	59443.0	5801.0	3524.0	2124.0	30554.0
30–34 	1290875.0	6979.0	361027.0	44909.0	504474.0	142803.0	154442.0	35948.0	5148.0	3172.0	1943.0	31973.0
35–39 	1367160.0	6439.0	389741.0	35316.0	545782.0	152646.0	167344.0	30186.0	4892.0	3259.0	2030.0	31555.0
40–44 	1713357.0	7473.0	457010.0	35617.0	679450.0	198657.0	246912.0	40532.0	6418.0	3741.0	2234.0	37547.0
45–49 	1625800.0	6872.0	408269.0	27440.0	626747.0	192296.0	257164.0	60765.0	8663.0	3377.0	1934.0	34207.0
50–54 	1479588.0	6080.0	346803.0	23379.0	547729.0	160240.0	250698.0	95665.0	14552.0	3114.0	1781.0	31328.0
55–59 	864964.0	4509.0	223288.0	15046.0	270972.0	79499.0	136446.0	88435.0	25866.0	2258.0	1234.0	18645.0
60–64 	1389896.0	5696.0	247448.0	15545.0	356028.0	112235.0	208738.0	279708.0	135077.0	5916.0	2987.0	23505.0
65–69 	1143380.0	4197.0	171346.0	10574.0	243693.0	81964.0	119060.0	247172.0	234014.0	14022.0	6417.0	17338.0
70 и более	2840116.0	6802.0	253477.0	29166.0	366137.0	148369.0	221319.0	586379.0	1038479.0	151168.0	72138.0	38820.0
Возраст не указан	23343.0	39.0	1060.0	350.0	1698.0	705.0	1027.0	560.0	384.0	175.0	73.0	17345.0
Из общей численности – женщины в возрасте:												
трудоспособном	11353698.0	45135.0	2563210.0	542278.0	3854873.0	1184335.0	2062855.0	748159.0	72996.0	27979.0	16623.0	251878.0
старше трудоспособного	6238356.0	21204.0	895559.0	70331.0	1236830.0	422067.0	685563.0	1201694.0	1433436.0	173364.0	82776.0	98308.0
16-29 лет	3876918.0	11292.0	600360.0	375617.0	950691.0	337693.0	986295.0	485063.0	33323.0	11316.0	6701.0	85268.0
Городское население в возрасте 15 лет и более	26253954.0	146335.0	5764742.0	1076104.0	7402590.0	2649922.0	4353323.0	2806874.0	1254120.0	120019.0	52338.0	679925.0
в том числе в возрасте, лет:												
15–17	1403017.0	-	-	9046.0	21925.0	23788.0	344809.0	868926.0	83255.0	5933.0	2228.0	45335.0
18–19 	1029009.0	-	1909.0	127593.0	157037.0	80885.0	525580.0	105142.0	7068.0	2408.0	1342.0	21387.0
20–24 	2381536.0	6926.0	356843.0	404309.0	661425.0	255849.0	493836.0	122549.0	14469.0	5164.0	2821.0	60166.0
25–29 	2259804.0	16250.0	627797.0	119234.0	724547.0	263543.0	326729.0	104230.0	10889.0	4585.0	2291.0	62000.0
30–34 	2178743.0	13720.0	602218.0	85589.0	793936.0	251655.0	289287.0	62392.0	9491.0	4195.0	1988.0	66260.0
35–39 	2209918.0	13209.0	644492.0	67045.0	810252.0	254013.0	294221.0	49374.0	8320.0	3849.0	1805.0	65143.0
40–44 	2714449.0	15782.0	756839.0	65973.0	975629.0	326473.0	419528.0	64216.0	10507.0	4334.0	1884.0	75168.0
45–49 	2526717.0	15544.0	685302.0	50663.0	873519.0	314623.0	416685.0	88227.0	12220.0	3832.0	1651.0	66102.0
50–54 	2252149.0	14748.0	593449.0	42779.0	748761.0	264846.0	381174.0	126185.0	17987.0	3288.0	1385.0	58932.0
55–59 	1283994.0	11126.0	376884.0	26161.0	379655.0	133742.0	195696.0	100118.0	22967.0	2182.0	860.0	35463.0
60–64 	1788447.0	13925.0	425615.0	26641.0	470752.0	168504.0	258519.0	271823.0	107289.0	4370.0	1735.0	41009.0
65–69 	1373993.0	10372.0	293848.0	16741.0	321020.0	118817.0	147252.0	248385.0	182129.0	7046.0	2737.0	28383.0
70 и более	2852178.0	14733.0	399546.0	34330.0	464132.0	193184.0	260007.0	595307.0	767529.0	68833.0	29611.0	54577.0
Возраст не указан	46718.0	105.0	2100.0	780.0	3805.0	1902.0	2179.0	1068.0	496.0	276.0	116.0	34007.0
Из общей численности – население в возрасте:												
трудоспособном	19055269.0	102991.0	4440577.0	984770.0	5912799.0	2102917.0	3571002.0	1257933.0	126494.0	36135.0	16974.0	519651.0
старше трудоспособного	6734142.0	43344.0	1324165.0	91334.0	1489791.0	543691.0	779074.0	1170174.0	1068816.0	81463.0	34602.0	142290.0
16-29 лет	6608823.0	23176.0	986549.0	660182.0	1564934.0	620751.0	1687707.0	822080.0	56871.0	15669.0	7920.0	170904.0
Мужчины в возрасте 15 лет и более	11909379.0	82988.0	2592765.0	511192.0	3158178.0	1431129.0	2103060.0	1259019.0	411058.0	30877.0	12683.0	329113.0
в том числе в возрасте, лет:												
15–17	710076.0	-	-	4331.0	11729.0	14210.0	163818.0	446512.0	43214.0	3175.0	1286.0	23087.0
18–19 	528742.0	-	917.0	58395.0	86723.0	49890.0	250402.0	65189.0	4780.0	1351.0	784.0	11095.0
20–24 	1215175.0	3648.0	151116.0	188204.0	330275.0	152687.0	263290.0	82251.0	10051.0	2879.0	1552.0	30774.0
25–29 	1144181.0	8706.0	278438.0	58312.0	349467.0	155320.0	183961.0	68077.0	7386.0	2462.0	1199.0	32052.0
30–34 	1103781.0	7005.0	270836.0	44395.0	380559.0	146926.0	169656.0	40998.0	6224.0	2279.0	1027.0	34903.0
35–39 	1088533.0	7099.0	290665.0	34976.0	368180.0	145024.0	168932.0	32143.0	5296.0	2020.0	903.0	34198.0
40–44 	1303621.0	8686.0	341057.0	33645.0	419594.0	182166.0	230420.0	40817.0	6597.0	2202.0	931.0	38437.0
45–49	1178668.0	9016.0	312364.0	25722.0	353468.0	171162.0	213274.0	51777.0	7372.0	1892.0	798.0	32621.0
50–54 	1020895.0	8952.0	276468.0	21528.0	287833.0	141969.0	177957.0	66424.0	10008.0	1491.0	585.0	28265.0
55–59 	564470.0	6812.0	171728.0	12539.0	145768.0	70556.0	82400.0	45459.0	11098.0	968.0	341.0	17142.0
60–64 	718071.0	8493.0	197849.0	12481.0	165102.0	80090.0	89829.0	98822.0	45743.0	1644.0	586.0	18018.0
65–69 	515957.0	6400.0	135985.0	7294.0	111870.0	52781.0	47593.0	75899.0	64790.0	1870.0	667.0	11475.0
70 и более	817209.0	8171.0	165342.0	9370.0	147610.0	68348.0	61528.0	144651.0	188499.0	6644.0	2024.0	17046.0
Возраст не указан	24718.0	68.0	1093.0	447.0	2231.0	1251.0	1243.0	604.0	223.0	136.0	55.0	17422.0
Из общей численности – мужчины в возрасте:												
трудоспособном	9621755.0	59924.0	2093589.0	482047.0	2733596.0	1227914.0	1902386.0	747932.0	81513.0	19462.0	8954.0	273392.0
старше трудоспособного	2051237.0	23064.0	499176.0	29145.0	424582.0	201219.0	198950.0	319372.0	299032.0	10158.0	3277.0	46539.0
16-29 лет	3361787.0	12354.0	430471.0	309242.0	778194.0	370111.0	859747.0	470314.0	34918.0	8610.0	4369.0	87826.0
Женщины в возрасте 15 лет и более	14344575.0	63347.0	3171977.0	564912.0	4244412.0	1218793.0	2250263.0	1547855.0	843062.0	89142.0	39655.0	350812.0
в том числе в возрасте, лет:												
15–17	692941.0	-	-	4715.0	10196.0	9578.0	180991.0	422414.0	40041.0	2758.0	942.0	22248.0
18–19 	500267.0	-	992.0	69198.0	70314.0	30995.0	275178.0	39953.0	2288.0	1057.0	558.0	10292.0
20–24 	1166361.0	3278.0	205727.0	216105.0	331150.0	103162.0	230546.0	40298.0	4418.0	2285.0	1269.0	29392.0
25–29 	1115623.0	7544.0	349359.0	60922.0	375080.0	108223.0	142768.0	36153.0	3503.0	2123.0	1092.0	29948.0
30–34 	1074962.0	6715.0	331382.0	41194.0	413377.0	104729.0	119631.0	21394.0	3267.0	1916.0	961.0	31357.0
35–39 	1121385.0	6110.0	353827.0	32069.0	442072.0	108989.0	125289.0	17231.0	3024.0	1829.0	902.0	30945.0
40–44 	1410828.0	7096.0	415782.0	32328.0	556035.0	144307.0	189108.0	23399.0	3910.0	2132.0	953.0	36731.0
45–49 	1348049.0	6528.0	372938.0	24941.0	520051.0	143461.0	203411.0	36450.0	4848.0	1940.0	853.0	33481.0
50–54 	1231254.0	5796.0	316981.0	21251.0	460928.0	122877.0	203217.0	59761.0	7979.0	1797.0	800.0	30667.0
55–59 	719524.0	4314.0	205156.0	13622.0	233887.0	63186.0	113296.0	54659.0	11869.0	1214.0	519.0	18321.0
60–64 	1070376.0	5432.0	227766.0	14160.0	305650.0	88414.0	168690.0	173001.0	61546.0	2726.0	1149.0	22991.0
65–69 	858036.0	3972.0	157863.0	9447.0	209150.0	66036.0	99659.0	172486.0	117339.0	5176.0	2070.0	16908.0
70 и более	2034969.0	6562.0	234204.0	24960.0	316522.0	124836.0	198479.0	450656.0	579030.0	62189.0	27587.0	37531.0
Возраст не указан	22000.0	37.0	1007.0	333.0	1574.0	651.0	936.0	464.0	273.0	140.0	61.0	16585.0
Из общей численности – женщины в возрасте:												
трудоспособном	9433514.0	43067.0	2346988.0	502723.0	3179203.0	875003.0	1668616.0	510001.0	44981.0	16673.0	8020.0	246259.0
старше трудоспособного	4682905.0	20280.0	824989.0	62189.0	1065209.0	342472.0	580124.0	850802.0	769784.0	71305.0	31325.0	95751.0
16-29 лет	3247036.0	10822.0	556078.0	350940.0	786740.0	250640.0	827960.0	351766.0	21953.0	7059.0	3551.0	83078.0
Сельское население в возрасте 15 лет и более	6464841.0	7050.0	511300.0	83929.0	1422420.0	1003245.0	1020144.0	1176741.0	1078626.0	143502.0	78489.0	17884.0
в том числе в возрасте, лет:												
15–17	348646.0	-	-	99.0	2545.0	6213.0	54503.0	244254.0	35508.0	2648.0	1993.0	2876.0
18–19 	192870.0	-	21.0	6793.0	31769.0	25567.0	81985.0	39387.0	5051.0	1638.0	1257.0	659.0
20–24 	455013.0	304.0	31754.0	26417.0	127673.0	86193.0	100124.0	67648.0	9994.0	3635.0	2723.0	1271.0
25–29 	436490.0	682.0	46761.0	9194.0	128903.0	95049.0	86914.0	57501.0	6888.0	3137.0	2336.0	1461.0
30–34 	441560.0	584.0	49186.0	6747.0	155120.0	99721.0	83985.0	36900.0	4998.0	2821.0	2193.0	1498.0
35–39 	507843.0	758.0	61581.0	6099.0	176502.0	115357.0	103236.0	34519.0	5276.0	3029.0	2358.0	1486.0
40–44 	635640.0	881.0	73317.0	6201.0	210083.0	148411.0	137292.0	46954.0	7232.0	3494.0	2761.0	1775.0
45–49 	576046.0	825.0	64606.0	5166.0	179454.0	134850.0	117087.0	59135.0	10382.0	3005.0	2268.0	1536.0
50–54 	493333.0	735.0	56459.0	4420.0	143080.0	103558.0	91944.0	73625.0	15545.0	2643.0	1941.0	1324.0
55–59 	265529.0	482.0	31932.0	2620.0	61102.0	44487.0	40329.0	56397.0	25724.0	1843.0	1248.0	613.0
60–64 	539114.0	710.0	38431.0	2821.0	79809.0	61063.0	60393.0	160327.0	129244.0	5377.0	3151.0	939.0
65–69 	470074.0	538.0	25550.0	1959.0	54865.0	38917.0	29770.0	113064.0	192826.0	11865.0	5914.0	720.0
70 и более	1102683.0	551.0	31702.0	5393.0	71515.0	43859.0	32582.0	187030.0	629958.0	98367.0	48346.0	1726.0
Возраст не указан	2577.0	7.0	82.0	25.0	208.0	126.0	174.0	202.0	175.0	57.0	18.0	1521.0
Из общей численности – население в возрасте:												
трудоспособном	4079756.0	5056.0	397485.0	72332.0	1179146.0	842604.0	874134.0	582113.0	88157.0	25925.0	19700.0	12804.0
старше трудоспособного	2257311.0	1994.0	113815.0	11597.0	243274.0	160152.0	145895.0	494197.0	966025.0	116653.0	58126.0	3709.0
16-29 лет	1305245.0	986.0	78536.0	42503.0	290890.0	212533.0	323411.0	308359.0	32997.0	10134.0	7646.0	4896.0
Мужчины в возрасте 15 лет и более	2927692.0	4058.0	224508.0	36232.0	575129.0	614120.0	520413.0	538500.0	375906.0	29771.0	18174.0	9055.0
в том числе в возрасте, лет:												
15–17	182475.0	-	-	42.0	1362.0	3979.0	25801.0	128103.0	20079.0	1584.0	1207.0	1525.0
18–19 	99464.0	-	9.0	2733.0	15847.0	14539.0	38474.0	23046.0	3491.0	971.0	758.0	354.0
20–24 	236490.0	158.0	14085.0	11081.0	56279.0	50797.0	53456.0	40942.0	6858.0	2144.0	1629.0	690.0
25–29 	223194.0	358.0	20160.0	3970.0	53451.0	56456.0	47407.0	34211.0	4590.0	1736.0	1304.0	855.0
30–34 	225647.0	320.0	19541.0	3032.0	64023.0	61647.0	49174.0	22346.0	3117.0	1565.0	1211.0	882.0
35–39 	262068.0	429.0	25667.0	2852.0	72792.0	71700.0	61181.0	21564.0	3408.0	1599.0	1230.0	876.0
40–44 	333111.0	504.0	32089.0	2912.0	86668.0	94061.0	79488.0	29821.0	4724.0	1885.0	1480.0	959.0
45–49 	298295.0	481.0	29275.0	2667.0	72758.0	86015.0	63334.0	34820.0	6567.0	1568.0	1187.0	810.0
50–54 	244999.0	451.0	26637.0	2292.0	56279.0	66195.0	44463.0	37721.0	8972.0	1326.0	960.0	663.0
55–59 	120089.0	287.0	13800.0	1196.0	24017.0	28174.0	17179.0	22621.0	11727.0	799.0	533.0	289.0
60–64 	219594.0	446.0	18749.0	1436.0	29431.0	37242.0	20345.0	53620.0	55713.0	2187.0	1313.0	425.0
65–69 	184730.0	313.0	12067.0	832.0	20322.0	22989.0	10369.0	38378.0	76151.0	3019.0	1567.0	290.0
70 и более	297536.0	311.0	12429.0	1187.0	21900.0	20326.0	9742.0	51307.0	170509.0	9388.0	3795.0	437.0
Возраст не указан	1234.0	5.0	29.0	8.0	84.0	72.0	83.0	106.0	64.0	22.0	6.0	761.0
Из общей численности – мужчины в возрасте:												
трудоспособном	2159572.0	2988.0	181263.0	32777.0	503476.0	533272.0	479895.0	343955.0	60142.0	14619.0	11097.0	7185.0
старше трудоспособного	701860.0	1070.0	43245.0	3455.0	71653.0	80557.0	40456.0	143305.0	302373.0	14594.0	6675.0	1152.0
16-29 лет	675363.0	516.0	34254.0	17826.0	126939.0	125480.0	165076.0	175062.0	21627.0	5877.0	4496.0	2706.0
Женщины в возрасте 15 лет и более	3537149.0	2992.0	286792.0	47697.0	847291.0	389125.0	499731.0	638241.0	702720.0	113731.0	60315.0	8829.0
в том числе в возрасте, лет:												
15–17	166171.0	-	-	57.0	1183.0	2234.0	28702.0	116151.0	15429.0	1064.0	786.0	1351.0
18–19 	93406.0	-	12.0	4060.0	15922.0	11028.0	43511.0	16341.0	1560.0	667.0	499.0	305.0
20–24 	218523.0	146.0	17669.0	15336.0	71394.0	35396.0	46668.0	26706.0	3136.0	1491.0	1094.0	581.0
25–29 	213296.0	324.0	26601.0	5224.0	75452.0	38593.0	39507.0	23290.0	2298.0	1401.0	1032.0	606.0
30–34 	215913.0	264.0	29645.0	3715.0	91097.0	38074.0	34811.0	14554.0	1881.0	1256.0	982.0	616.0
35–39 	245775.0	329.0	35914.0	3247.0	103710.0	43657.0	42055.0	12955.0	1868.0	1430.0	1128.0	610.0
40–44 	302529.0	377.0	41228.0	3289.0	123415.0	54350.0	57804.0	17133.0	2508.0	1609.0	1281.0	816.0
45–49 	277751.0	344.0	35331.0	2499.0	106696.0	48835.0	53753.0	24315.0	3815.0	1437.0	1081.0	726.0
50–54 	248334.0	284.0	29822.0	2128.0	86801.0	37363.0	47481.0	35904.0	6573.0	1317.0	981.0	661.0
55–59 	145440.0	195.0	18132.0	1424.0	37085.0	16313.0	23150.0	33776.0	13997.0	1044.0	715.0	324.0
60–64 	319520.0	264.0	19682.0	1385.0	50378.0	23821.0	40048.0	106707.0	73531.0	3190.0	1838.0	514.0
65–69 	285344.0	225.0	13483.0	1127.0	34543.0	15928.0	19401.0	74686.0	116675.0	8846.0	4347.0	430.0
70 и более	805147.0	240.0	19273.0	4206.0	49615.0	23533.0	22840.0	135723.0	459449.0	88979.0	44551.0	1289.0
Возраст не указан	1343.0	2.0	53.0	17.0	124.0	54.0	91.0	96.0	111.0	35.0	12.0	760.0
Из общей численности – женщины в возрасте:												
трудоспособном	1920184.0	2068.0	216222.0	39555.0	675670.0	309332.0	394239.0	238158.0	28015.0	11306.0	8603.0	5619.0
старше трудоспособного	1555451.0	924.0	70570.0	8142.0	171621.0	79595.0	105439.0	350892.0	663652.0	102059.0	51451.0	2557.0
16-29 лет	629882.0	470.0	44282.0	24677.0	163951.0	87053.0	158335.0	133297.0	11370.0	4257.0	3150.0	2190.0
Белгородская область												
Все население в возрасте 15 лет и более	1273275.0	2032.0	180721.0	29530.0	377879.0	158402.0	215701.0	162595.0	122036.0	17850.0	9817.0	6529.0
в том числе в возрасте, лет:												
15–17	80812.0	-	-	2.0	568.0	1045.0	18844.0	55024.0	4371.0	280.0	225.0	678.0
18–19 	50348.0	-	1.0	2567.0	7775.0	4592.0	28777.0	5847.0	361.0	174.0	141.0	254.0
20–24 	107324.0	88.0	13577.0	11956.0	36196.0	15289.0	22436.0	6211.0	612.0	356.0	278.0	603.0
25–29 	102837.0	281.0	21083.0	3694.0	39474.0	16319.0	15399.0	5285.0	450.0	266.0	210.0	586.0
30–34 	96529.0	209.0	18757.0	2339.0	41803.0	15465.0	13702.0	2992.0	412.0	271.0	211.0	579.0
35–39 	106828.0	214.0	21523.0	1779.0	46223.0	16837.0	16376.0	2536.0	398.0	289.0	237.0	653.0
40–44 	132492.0	276.0	25488.0	1839.0	54856.0	22104.0	22900.0	3387.0	608.0	359.0	282.0	675.0
45–49 	118658.0	266.0	22368.0	1367.0	47250.0	20208.0	21126.0	4515.0	673.0	282.0	212.0	603.0
50–54 	104002.0	216.0	19470.0	1140.0	38770.0	16823.0	18896.0	6601.0	1296.0	227.0	185.0	563.0
55–59 	50908.0	105.0	9621.0	595.0	15610.0	7165.0	8658.0	6385.0	2370.0	124.0	91.0	275.0
60–64 	95119.0	154.0	12140.0	666.0	20828.0	10127.0	13790.0	21910.0	14601.0	526.0	346.0	377.0
65–69 	69799.0	124.0	7681.0	423.0	12656.0	5792.0	6725.0	15010.0	19932.0	1212.0	628.0	244.0
70 и более	157619.0	99.0	9012.0	1163.0	15870.0	6636.0	8072.0	26892.0	75952.0	13484.0	6771.0	439.0
Возраст не указан	524.0	-	25.0	2.0	44.0	9.0	26.0	25.0	22.0	14.0	6.0	357.0
Из общей численности – население в возрасте:												
трудоспособном	895232.0	1622.0	146612.0	26975.0	319294.0	132871.0	182154.0	71315.0	6884.0	2458.0	1939.0	5047.0
старше трудоспособного	350901.0	410.0	34109.0	2555.0	58585.0	25431.0	33536.0	67827.0	111949.0	15302.0	7803.0	1197.0
16-29 лет	314179.0	369.0	34661.0	18219.0	84013.0	37145.0	85445.0	48914.0	2591.0	986.0	779.0	1836.0
Мужчины в возрасте 15 лет и более	571884.0	1106.0	78162.0	13074.0	161642.0	91921.0	107505.0	73385.0	39207.0	2823.0	1695.0	3059.0
в том числе в возрасте, лет:												
15–17	40862.0	-	-	2.0	299.0	619.0	8683.0	28517.0	2218.0	165.0	135.0	359.0
18–19 	23750.0	-	-	1056.0	3687.0	2492.0	12728.0	3316.0	232.0	97.0	84.0	142.0
20–24 	52434.0	45.0	5254.0	4980.0	16997.0	8892.0	11658.0	3728.0	385.0	205.0	160.0	290.0
25–29 	50419.0	148.0	8586.0	1680.0	17852.0	9606.0	8631.0	3206.0	295.0	134.0	104.0	281.0
30–34 	47270.0	100.0	7534.0	1102.0	18657.0	9196.0	8204.0	1817.0	241.0	131.0	104.0	288.0
35–39 	51466.0	97.0	8628.0	879.0	20053.0	9633.0	9985.0	1473.0	261.0	148.0	120.0	309.0
40–44 	64062.0	133.0	10628.0	916.0	23420.0	12703.0	13342.0	2040.0	380.0	177.0	134.0	323.0
45–49 	56812.0	139.0	9862.0	696.0	19610.0	11695.0	11377.0	2588.0	429.0	138.0	104.0	278.0
50–54 	49295.0	131.0	9298.0	616.0	15777.0	10029.0	9205.0	3206.0	673.0	96.0	77.0	264.0
55–59 	22544.0	72.0	4345.0	292.0	6379.0	4289.0	3709.0	2370.0	906.0	44.0	33.0	138.0
60–64 	39093.0	101.0	6163.0	364.0	8106.0	6115.0	4942.0	7523.0	5464.0	160.0	102.0	155.0
65–69 	28586.0	85.0	3888.0	200.0	5238.0	3490.0	2514.0	5544.0	7273.0	241.0	119.0	113.0
70 и более	45291.0	55.0	3976.0	291.0	5567.0	3162.0	2527.0	8057.0	20450.0	1087.0	419.0	119.0
Возраст не указан	238.0	-	10.0	2.0	17.0	3.0	14.0	14.0	8.0	4.0	-	166.0
Из общей численности – мужчины в возрасте:												
трудоспособном	445153.0	865.0	64135.0	12219.0	142731.0	79098.0	97515.0	40387.0	4395.0	1288.0	1013.0	2520.0
старше трудоспособного	112970.0	241.0	14027.0	855.0	18911.0	12767.0	9983.0	21124.0	33187.0	1488.0	640.0	387.0
16-29 лет	153704.0	193.0	13840.0	7718.0	38835.0	21553.0	41693.0	26893.0	1505.0	554.0	441.0	920.0
Женщины в возрасте 15 лет и более	701391.0	926.0	102559.0	16456.0	216237.0	66481.0	108196.0	89210.0	82829.0	15027.0	8122.0	3470.0
в том числе в возрасте, лет:												
15–17	39950.0	-	-	-	269.0	426.0	10161.0	26507.0	2153.0	115.0	90.0	319.0
18–19 	26598.0	-	1.0	1511.0	4088.0	2100.0	16049.0	2531.0	129.0	77.0	57.0	112.0
20–24 	54890.0	43.0	8323.0	6976.0	19199.0	6397.0	10778.0	2483.0	227.0	151.0	118.0	313.0
25–29	52418.0	133.0	12497.0	2014.0	21622.0	6713.0	6768.0	2079.0	155.0	132.0	106.0	305.0
30–34 	49259.0	109.0	11223.0	1237.0	23146.0	6269.0	5498.0	1175.0	171.0	140.0	107.0	291.0
