			
6. НАСЕЛЕНИЕ, УКАЗАВШЕЕ ДВА ИСТОЧНИКА СРЕДСТВ К СУЩЕСТВОВАНИЮ, ПО ПОЛУ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ			
			
			
	Городское и сельское население	Городское население	Сельское население
пособие (кроме пособия по безработице)	175.0	126.0	49.0
сбережения	5.0	4.0	1.0
доход от сдачи внаем или в аренду имущества	1.0	1.0	-
на иждивении отдельных лиц	23051.0	18806.0	4245.0
иной источник	37.0	32.0	5.0
пенсию и			
пособие	1789.0	1453.0	336.0
сбережения	293.0	203.0	90.0
доход от сдачи внаем или в аренду имущества	545.0	226.0	319.0
на иждивении отдельных лиц	6841.0	4524.0	2317.0
иной источник	215.0	173.0	42.0
пособие и			
сбережения	53.0	46.0	7.0
доход от сдачи внаем или в аренду имущества	103.0	48.0	55.0
на иждивении отдельных лиц	170897.0	93333.0	77564.0
иной источник	331.0	266.0	65.0
другие сочетания источников средств к существованию	8908.0	7333.0	1575.0
Мужчины, указавшие два источника средств к существованию	216072.0	101363.0	114709.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	50726.0	15003.0	35723.0
стипендию	238.0	216.0	22.0
пенсию (кроме пенсии по инвалидности)	9869.0	8239.0	1630.0
пенсию по инвалидности	2639.0	1895.0	744.0
пособие (кроме пособия по безработице)	1074.0	1009.0	65.0
пособие по безработице	16.0	16.0	-
другой вид государственного обеспечения	3082.0	2521.0	561.0
сбережения	154.0	133.0	21.0
доход от сдачи внаем или в аренду имущества	158.0	79.0	79.0
на иждивении отдельных лиц	1022.0	864.0	158.0
иной источник	502.0	407.0	95.0
личное подсобное хозяйство и			
стипендию	45.0	16.0	29.0
пенсию (кроме пенсии по инвалидности)	29884.0	6849.0	23035.0
пенсию по инвалидности	5880.0	1239.0	4641.0
пособие (кроме пособия по безработице)	145.0	50.0	95.0
пособие по безработице	137.0	86.0	51.0
другой вид государственного обеспечения	31.0	6.0	25.0
сбережения	171.0	69.0	102.0
доход от сдачи внаем или в аренду имущества	47.0	9.0	38.0
на иждивении отдельных лиц	6640.0	2121.0	4519.0
иной источник	652.0	135.0	517.0
стипендию и			
пенсию	86.0	68.0	18.0
пособие (кроме пособия по безработице)	76.0	57.0	19.0
сбережения	1.0	1.0	-
доход от сдачи внаем или в аренду имущества	1.0	1.0	-
на иждивении отдельных лиц	11061.0	8949.0	2112.0
иной источник	21.0	18.0	3.0
пенсию и			
пособие	686.0	549.0	137.0
сбережения	115.0	78.0	37.0
доход от сдачи внаем или в аренду имущества	136.0	39.0	97.0
на иждивении отдельных лиц	3058.0	1984.0	1074.0
иной источник	100.0	85.0	15.0
пособие и			
сбережения	17.0	15.0	2.0
доход от сдачи внаем или в аренду имущества	42.0	17.0	25.0
на иждивении отдельных лиц	82836.0	44523.0	38313.0
иной источник	111.0	85.0	26.0
другие сочетания источников средств к существованию	4613.0	3932.0	681.0
Женщины, указавшие два источника средств к существованию	249149.0	114826.0	134323.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	44495.0	14554.0	29941.0
стипендию	164.0	154.0	10.0
пенсию (кроме пенсии по инвалидности)	11972.0	9748.0	2224.0
пенсию по инвалидности	2188.0	1678.0	510.0
пособие (кроме пособия по безработице)	4870.0	3935.0	935.0
пособие по безработице	55.0	49.0	6.0
другой вид государственного обеспечения	420.0	397.0	23.0
сбережения	101.0	84.0	17.0
доход от сдачи внаем или в аренду имущества	121.0	79.0	42.0
на иждивении отдельных лиц	1270.0	1061.0	209.0
иной источник	370.0	325.0	45.0
личное подсобное хозяйство и			
стипендию	31.0	12.0	19.0
пенсию (кроме пенсии по инвалидности)	56658.0	12097.0	44561.0
пенсию по инвалидности	4767.0	1081.0	3686.0
пособие (кроме пособия по безработице)	1161.0	222.0	939.0
пособие по безработице	224.0	112.0	112.0
другой вид государственного обеспечения	86.0	23.0	63.0
сбережения	138.0	56.0	82.0
доход от сдачи внаем или в аренду имущества	63.0	10.0	53.0
на иждивении отдельных лиц	9229.0	2776.0	6453.0
иной источник	321.0	69.0	252.0
стипендию и			
пенсию	75.0	63.0	12.0
пособие (кроме пособия по безработице)	99.0	69.0	30.0
сбережения	4.0	3.0	1.0
доход от сдачи внаем или в аренду имущества	-	-	-
на иждивении отдельных лиц	11990.0	9857.0	2133.0
иной источник	16.0	14.0	2.0
пенсию и			
пособие	1103.0	904.0	199.0
сбережения	178.0	125.0	53.0
доход от сдачи внаем или в аренду имущества	409.0	187.0	222.0
на иждивении отдельных лиц	3783.0	2540.0	1243.0
иной источник	115.0	88.0	27.0
пособие и			
сбережения	36.0	31.0	5.0
доход от сдачи внаем или в аренду имущества	61.0	31.0	30.0
на иждивении отдельных лиц	88061.0	48810.0	39251.0
иной источник	220.0	181.0	39.0
другие сочетания источников средств к существованию	4295.0	3401.0	894.0
Брянская область			
Все население, указавшее два источника средств к существованию	470316.0	250267.0	220049.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	79478.0	26704.0	52774.0
стипендию	373.0	324.0	49.0
пенсию (кроме пенсии по инвалидности)	22505.0	20246.0	2259.0
пенсию по инвалидности	3121.0	2492.0	629.0
пособие (кроме пособия по безработице)	8606.0	6872.0	1734.0
пособие по безработице	111.0	86.0	25.0
другой вид государственного обеспечения	2374.0	2332.0	42.0
сбережения	154.0	139.0	15.0
доход от сдачи внаем или в аренду имущества	99.0	92.0	7.0
на иждивении отдельных лиц	1551.0	1320.0	231.0
иной источник	619.0	527.0	92.0
личное подсобное хозяйство и			
стипендию	294.0	142.0	152.0
пенсию (кроме пенсии по инвалидности)	83096.0	19961.0	63135.0
пенсию по инвалидности	7319.0	2180.0	5139.0
пособие (кроме пособия по безработице)	2512.0	679.0	1833.0
пособие по безработице	1526.0	711.0	815.0
другой вид государственного обеспечения	64.0	14.0	50.0
сбережения	118.0	63.0	55.0
доход от сдачи внаем или в аренду имущества	42.0	22.0	20.0
на иждивении отдельных лиц	13334.0	4757.0	8577.0
иной источник	922.0	314.0	608.0
стипендию и			
пенсию	318.0	233.0	85.0
пособие (кроме пособия по безработице)	300.0	234.0	66.0
сбережения	6.0	6.0	-
доход от сдачи внаем или в аренду имущества	5.0	4.0	1.0
на иждивении отдельных лиц	24423.0	18615.0	5808.0
иной источник	27.0	22.0	5.0
пенсию и			
пособие	3508.0	2441.0	1067.0
сбережения	176.0	108.0	68.0
доход от сдачи внаем или в аренду имущества	144.0	135.0	9.0
на иждивении отдельных лиц	5156.0	3608.0	1548.0
иной источник	119.0	98.0	21.0
пособие и			
сбережения	21.0	17.0	4.0
доход от сдачи внаем или в аренду имущества	172.0	99.0	73.0
на иждивении отдельных лиц	201127.0	129945.0	71182.0
иной источник	358.0	241.0	117.0
другие сочетания источников средств к существованию	6238.0	4484.0	1754.0
Мужчины, указавшие два источника средств к существованию	216130.0	116703.0	99427.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	40304.0	13034.0	27270.0
стипендию	221.0	189.0	32.0
пенсию (кроме пенсии по инвалидности)	9192.0	8333.0	859.0
пенсию по инвалидности	1775.0	1388.0	387.0
пособие (кроме пособия по безработице)	1767.0	1354.0	413.0
пособие по безработице	39.0	28.0	11.0
другой вид государственного обеспечения	2251.0	2232.0	19.0
сбережения	90.0	83.0	7.0
доход от сдачи внаем или в аренду имущества	54.0	50.0	4.0
на иждивении отдельных лиц	699.0	571.0	128.0
иной источник	388.0	318.0	70.0
личное подсобное хозяйство и			
стипендию	171.0	87.0	84.0
пенсию (кроме пенсии по инвалидности)	27329.0	6719.0	20610.0
пенсию по инвалидности	4393.0	1230.0	3163.0
пособие (кроме пособия по безработице)	680.0	238.0	442.0
пособие по безработице	589.0	288.0	301.0
другой вид государственного обеспечения	19.0	5.0	14.0
сбережения	73.0	39.0	34.0
доход от сдачи внаем или в аренду имущества	23.0	11.0	12.0
на иждивении отдельных лиц	7093.0	2601.0	4492.0
иной источник	645.0	206.0	439.0
стипендию и			
пенсию	152.0	107.0	45.0
пособие (кроме пособия по безработице)	148.0	115.0	33.0
сбережения	1.0	1.0	-
доход от сдачи внаем или в аренду имущества	3.0	2.0	1.0
на иждивении отдельных лиц	12481.0	9397.0	3084.0
иной источник	19.0	14.0	5.0
пенсию и			
пособие	1250.0	832.0	418.0
сбережения	61.0	40.0	21.0
доход от сдачи внаем или в аренду имущества	35.0	33.0	2.0
на иждивении отдельных лиц	2632.0	1787.0	845.0
иной источник	53.0	44.0	9.0
пособие и			
сбережения	4.0	4.0	-
доход от сдачи внаем или в аренду имущества	69.0	38.0	31.0
на иждивении отдельных лиц	97954.0	62807.0	35147.0
иной источник	143.0	98.0	45.0
другие сочетания источников средств к существованию	3330.0	2380.0	950.0
Женщины, указавшие два источника средств к существованию	254186.0	133564.0	120622.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	39174.0	13670.0	25504.0
стипендию	152.0	135.0	17.0
пенсию (кроме пенсии по инвалидности)	13313.0	11913.0	1400.0
пенсию по инвалидности	1346.0	1104.0	242.0
пособие (кроме пособия по безработице)	6839.0	5518.0	1321.0
пособие по безработице	72.0	58.0	14.0
другой вид государственного обеспечения	123.0	100.0	23.0
сбережения	64.0	56.0	8.0
доход от сдачи внаем или в аренду имущества	45.0	42.0	3.0
на иждивении отдельных лиц	852.0	749.0	103.0
иной источник	231.0	209.0	22.0
личное подсобное хозяйство и			
стипендию	123.0	55.0	68.0
пенсию (кроме пенсии по инвалидности)	55767.0	13242.0	42525.0
пенсию по инвалидности	2926.0	950.0	1976.0
пособие (кроме пособия по безработице)	1832.0	441.0	1391.0
пособие по безработице	937.0	423.0	514.0
другой вид государственного обеспечения	45.0	9.0	36.0
сбережения	45.0	24.0	21.0
доход от сдачи внаем или в аренду имущества	19.0	11.0	8.0
на иждивении отдельных лиц	6241.0	2156.0	4085.0
иной источник	277.0	108.0	169.0
стипендию и			
пенсию	166.0	126.0	40.0
пособие (кроме пособия по безработице)	152.0	119.0	33.0
сбережения	5.0	5.0	-
доход от сдачи внаем или в аренду имущества	2.0	2.0	-
на иждивении отдельных лиц	11942.0	9218.0	2724.0
иной источник	8.0	8.0	-
пенсию и			
пособие	2258.0	1609.0	649.0
сбережения	115.0	68.0	47.0
доход от сдачи внаем или в аренду имущества	109.0	102.0	7.0
на иждивении отдельных лиц	2524.0	1821.0	703.0
иной источник	66.0	54.0	12.0
пособие и			
сбережения	17.0	13.0	4.0
доход от сдачи внаем или в аренду имущества	103.0	61.0	42.0
на иждивении отдельных лиц	103173.0	67138.0	36035.0
иной источник	215.0	143.0	72.0
другие сочетания источников средств к существованию	2908.0	2104.0	804.0
Владимирская область			
Все население, указавшее два источника средств к существованию	382726.0	258976.0	123750.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	70538.0	38024.0	32514.0
стипендию	946.0	905.0	41.0
пенсию (кроме пенсии по инвалидности)	38764.0	35522.0	3242.0
пенсию по инвалидности	3889.0	3299.0	590.0
пособие (кроме пособия по безработице)	7106.0	6269.0	837.0
пособие по безработице	130.0	108.0	22.0
другой вид государственного обеспечения	4358.0	2888.0	1470.0
сбережения	252.0	230.0	22.0
доход от сдачи внаем или в аренду имущества	174.0	162.0	12.0
на иждивении отдельных лиц	2221.0	1982.0	239.0
иной источник	2089.0	1681.0	408.0
личное подсобное хозяйство и			
стипендию	124.0	76.0	48.0
пенсию (кроме пенсии по инвалидности)	59756.0	27632.0	32124.0
пенсию по инвалидности	5008.0	2220.0	2788.0
пособие (кроме пособия по безработице)	639.0	241.0	398.0
пособие по безработице	1886.0	674.0	1212.0
другой вид государственного обеспечения	95.0	40.0	55.0
сбережения	128.0	62.0	66.0
доход от сдачи внаем или в аренду имущества	32.0	20.0	12.0
на иждивении отдельных лиц	7099.0	3294.0	3805.0
иной источник	1528.0	443.0	1085.0
стипендию и			
пенсию	339.0	265.0	74.0
пособие (кроме пособия по безработице)	344.0	275.0	69.0
сбережения	3.0	2.0	1.0
доход от сдачи внаем или в аренду имущества	12.0	10.0	2.0
на иждивении отдельных лиц	23373.0	20112.0	3261.0
иной источник	61.0	57.0	4.0
пенсию и			
пособие	1133.0	763.0	370.0
сбережения	270.0	207.0	63.0
доход от сдачи внаем или в аренду имущества	107.0	94.0	13.0
на иждивении отдельных лиц	6816.0	5607.0	1209.0
иной источник	402.0	282.0	120.0
пособие и			
сбережения	43.0	37.0	6.0
доход от сдачи внаем или в аренду имущества	116.0	88.0	28.0
на иждивении отдельных лиц	133907.0	99158.0	34749.0
иной источник	498.0	414.0	84.0
другие сочетания источников средств к существованию	8540.0	5833.0	2707.0
Мужчины, указавшие два источника средств к существованию	171545.0	116677.0	54868.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	35233.0	18618.0	16615.0
стипендию	505.0	488.0	17.0
пенсию (кроме пенсии по инвалидности)	16082.0	14811.0	1271.0
пенсию по инвалидности	2117.0	1762.0	355.0
пособие (кроме пособия по безработице)	443.0	389.0	54.0
пособие по безработице	33.0	25.0	8.0
другой вид государственного обеспечения	3140.0	2630.0	510.0
сбережения	141.0	128.0	13.0
доход от сдачи внаем или в аренду имущества	81.0	76.0	5.0
на иждивении отдельных лиц	906.0	813.0	93.0
иной источник	1298.0	1000.0	298.0
личное подсобное хозяйство и			
стипендию	57.0	37.0	20.0
пенсию (кроме пенсии по инвалидности)	19175.0	9133.0	10042.0
пенсию по инвалидности	2748.0	1193.0	1555.0
пособие (кроме пособия по безработице)	105.0	37.0	68.0
пособие по безработице	720.0	293.0	427.0
другой вид государственного обеспечения	25.0	14.0	11.0
сбережения	70.0	38.0	32.0
доход от сдачи внаем или в аренду имущества	17.0	9.0	8.0
на иждивении отдельных лиц	3303.0	1468.0	1835.0
иной источник	1057.0	285.0	772.0
стипендию и			
пенсию	159.0	128.0	31.0
пособие (кроме пособия по безработице)	169.0	140.0	29.0
сбережения	1.0	1.0	-
доход от сдачи внаем или в аренду имущества	7.0	5.0	2.0
на иждивении отдельных лиц	11414.0	9843.0	1571.0
иной источник	33.0	31.0	2.0
пенсию и			
пособие	480.0	309.0	171.0
сбережения	80.0	60.0	20.0
доход от сдачи внаем или в аренду имущества	37.0	30.0	7.0
на иждивении отдельных лиц	3071.0	2467.0	604.0
иной источник	207.0	134.0	73.0
пособие и			
сбережения	18.0	17.0	1.0
доход от сдачи внаем или в аренду имущества	62.0	47.0	15.0
на иждивении отдельных лиц	64128.0	47232.0	16896.0
иной источник	148.0	124.0	24.0
другие сочетания источников средств к существованию	4275.0	2862.0	1413.0
Женщины, указавшие два источника средств к существованию	211181.0	142299.0	68882.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	35305.0	19406.0	15899.0
стипендию	441.0	417.0	24.0
пенсию (кроме пенсии по инвалидности)	22682.0	20711.0	1971.0
пенсию по инвалидности	1772.0	1537.0	235.0
пособие (кроме пособия по безработице)	6663.0	5880.0	783.0
пособие по безработице	97.0	83.0	14.0
другой вид государственного обеспечения	1218.0	258.0	960.0
сбережения	111.0	102.0	9.0
доход от сдачи внаем или в аренду имущества	93.0	86.0	7.0
на иждивении отдельных лиц	1315.0	1169.0	146.0
иной источник	791.0	681.0	110.0
личное подсобное хозяйство и			
стипендию	67.0	39.0	28.0
пенсию (кроме пенсии по инвалидности)	40581.0	18499.0	22082.0
пенсию по инвалидности	2260.0	1027.0	1233.0
пособие (кроме пособия по безработице)	534.0	204.0	330.0
пособие по безработице	1166.0	381.0	785.0
другой вид государственного обеспечения	70.0	26.0	44.0
сбережения	58.0	24.0	34.0
доход от сдачи внаем или в аренду имущества	15.0	11.0	4.0
на иждивении отдельных лиц	3796.0	1826.0	1970.0
иной источник	471.0	158.0	313.0
стипендию и			
пенсию	180.0	137.0	43.0
пособие (кроме пособия по безработице)	175.0	135.0	40.0
сбережения	2.0	1.0	1.0
доход от сдачи внаем или в аренду имущества	5.0	5.0	-
на иждивении отдельных лиц	11959.0	10269.0	1690.0
иной источник	28.0	26.0	2.0
пенсию и			
пособие	653.0	454.0	199.0
сбережения	190.0	147.0	43.0
доход от сдачи внаем или в аренду имущества	70.0	64.0	6.0
на иждивении отдельных лиц	3745.0	3140.0	605.0
иной источник	195.0	148.0	47.0
пособие и			
сбережения	25.0	20.0	5.0
доход от сдачи внаем или в аренду имущества	54.0	41.0	13.0
на иждивении отдельных лиц	69779.0	51926.0	17853.0
иной источник	350.0	290.0	60.0
другие сочетания источников средств к существованию	4265.0	2971.0	1294.0
Воронежская область			
Все население, указавшее два источника средств к существованию	497841.0	187252.0	310589.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	108577.0	20358.0	88219.0
стипендию	1067.0	1018.0	49.0
пенсию (кроме пенсии по инвалидности)	39438.0	33702.0	5736.0
пенсию по инвалидности	4787.0	3387.0	1400.0
пособие (кроме пособия по безработице)	3322.0	2371.0	951.0
пособие по безработице	153.0	122.0	31.0
другой вид государственного обеспечения	6516.0	4598.0	1918.0
сбережения	456.0	373.0	83.0
доход от сдачи внаем или в аренду имущества	562.0	196.0	366.0
на иждивении отдельных лиц	3092.0	2666.0	426.0
иной источник	4207.0	3279.0	928.0
личное подсобное хозяйство и			
стипендию	112.0	59.0	53.0
пенсию (кроме пенсии по инвалидности)	97878.0	14826.0	83052.0
пенсию по инвалидности	8999.0	1326.0	7673.0
пособие (кроме пособия по безработице)	1821.0	147.0	1674.0
пособие по безработице	1093.0	269.0	824.0
другой вид государственного обеспечения	172.0	43.0	129.0
сбережения	244.0	77.0	167.0
доход от сдачи внаем или в аренду имущества	334.0	14.0	320.0
на иждивении отдельных лиц	12647.0	2662.0	9985.0
иной источник	2985.0	507.0	2478.0
стипендию и			
пенсию	398.0	280.0	118.0
пособие (кроме пособия по безработице)	338.0	247.0	91.0
сбережения	13.0	9.0	4.0
доход от сдачи внаем или в аренду имущества	10.0	7.0	3.0
на иждивении отдельных лиц	29095.0	23396.0	5699.0
иной источник	135.0	115.0	20.0
пенсию и			
пособие	1313.0	666.0	647.0
сбережения	405.0	239.0	166.0
доход от сдачи внаем или в аренду имущества	1282.0	285.0	997.0
на иждивении отдельных лиц	6794.0	4166.0	2628.0
иной источник	676.0	531.0	145.0
пособие и			
сбережения	38.0	26.0	12.0
доход от сдачи внаем или в аренду имущества	84.0	29.0	55.0
на иждивении отдельных лиц	143969.0	55930.0	88039.0
иной источник	529.0	323.0	206.0
другие сочетания источников средств к существованию	14300.0	9003.0	5297.0
Мужчины, указавшие два источника средств к существованию	235989.0	89205.0	146784.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	58736.0	10432.0	48304.0
стипендию	612.0	585.0	27.0
пенсию (кроме пенсии по инвалидности)	18417.0	16167.0	2250.0
пенсию по инвалидности	2744.0	1870.0	874.0
пособие (кроме пособия по безработице)	255.0	176.0	79.0
пособие по безработице	51.0	43.0	8.0
другой вид государственного обеспечения	6092.0	4258.0	1834.0
сбережения	253.0	213.0	40.0
доход от сдачи внаем или в аренду имущества	314.0	83.0	231.0
на иждивении отдельных лиц	1329.0	1140.0	189.0
иной источник	2583.0	1928.0	655.0
личное подсобное хозяйство и			
стипендию	56.0	29.0	27.0
пенсию (кроме пенсии по инвалидности)	35111.0	5477.0	29634.0
пенсию по инвалидности	5340.0	771.0	4569.0
пособие (кроме пособия по безработице)	118.0	12.0	106.0
пособие по безработице	385.0	112.0	273.0
другой вид государственного обеспечения	35.0	10.0	25.0
сбережения	133.0	46.0	87.0
доход от сдачи внаем или в аренду имущества	157.0	9.0	148.0
на иждивении отдельных лиц	4613.0	926.0	3687.0
иной источник	1955.0	302.0	1653.0
стипендию и			
пенсию	187.0	126.0	61.0
пособие (кроме пособия по безработице)	146.0	103.0	43.0
сбережения	8.0	6.0	2.0
доход от сдачи внаем или в аренду имущества	7.0	5.0	2.0
на иждивении отдельных лиц	13761.0	10821.0	2940.0
