2.3. НАСЕЛЕНИЕ ПО УРОВНЮ ОБРАЗОВАНИЯ, ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ 									
(на 1000 человек соответствующего пола и возраста)									
									
	Имеющие образование								Не имеющие начального общего образования
20 – 24	1.0	54.0	42.0	194.0	200.0	258.0	200.0	41.0	9.0
25 – 29	1.0	82.0	19.0	202.0	234.0	248.0	178.0	27.0	8.0
30 – 34	1.0	77.0	14.0	257.0	260.0	254.0	112.0	17.0	7.0
35 – 39	1.0	89.0	12.0	263.0	264.0	261.0	89.0	14.0	6.0
40 – 44	1.0	89.0	10.0	252.0	279.0	251.0	95.0	17.0	5.0
45 – 49	1.0	93.0	9.0	238.0	292.0	207.0	125.0	29.0	5.0
50 – 54	2.0	105.0	10.0	229.0	277.0	168.0	157.0	46.0	5.0
55 – 59	2.0	110.0	10.0	203.0	244.0	129.0	185.0	109.0	7.0
60 – 64	1.0	83.0	6.0	139.0	176.0	83.0	224.0	275.0	12.0
65 – 69	1.0	62.0	5.0	112.0	127.0	54.0	190.0	425.0	23.0
70 и более	1.0	40.0	4.0	76.0	70.0	33.0	156.0	574.0	45.0
Возраст не указан	2.0	26.0	6.0	65.0	59.0	88.0	78.0	49.0	17.0
Женщины в возрасте 15 лет и более	1.0	75.0	14.0	236.0	119.0	165.0	188.0	169.0	32.0
в возрасте, лет:									
15 – 19	-	0.0	13.0	51.0	47.0	262.0	535.0	82.0	7.0
20 – 24	1.0	66.0	60.0	278.0	158.0	258.0	150.0	21.0	7.0
25 – 29	1.0	106.0	25.0	310.0	172.0	231.0	133.0	15.0	6.0
30 – 34	1.0	118.0	18.0	384.0	177.0	202.0	82.0	11.0	6.0
35 – 39	1.0	125.0	13.0	389.0	177.0	209.0	69.0	11.0	5.0
40 – 44	1.0	119.0	10.0	375.0	185.0	215.0	76.0	13.0	5.0
45 – 49	1.0	113.0	8.0	352.0	183.0	197.0	118.0	22.0	5.0
50 – 54	1.0	109.0	8.0	327.0	153.0	179.0	175.0	41.0	6.0
55 – 59	1.0	116.0	9.0	243.0	113.0	144.0	239.0	124.0	10.0
60 – 64	1.0	56.0	4.0	151.0	73.0	109.0	316.0	271.0	18.0
65 – 69	0.0	42.0	4.0	118.0	54.0	62.0	242.0	427.0	50.0
70 и более	0.0	21.0	5.0	61.0	29.0	28.0	155.0	565.0	135.0
Возраст не указан	2.0	33.0	10.0	102.0	41.0	91.0	76.0	79.0	24.0
