6. ЖЕНЩИНЫ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ЧИСЛУ РОЖДЕННЫХ ДЕТЕЙ										
										
	Всего женщин, указавших число рожденных детей	На 1000 женщин соответствующей национальности, указавших число рожденных детей								Среднее число рожденных детей (на 1000 женщин женщин соответствующей национальности)
Тувинцы	86378.0	288.0	192.0	199.0	132.0	73.0	49.0	27.0	40.0	1996.0
Турки	8377.0	256.0	105.0	182.0	190.0	112.0	60.0	33.0	62.0	2512.0
Туркмены	2624.0	246.0	204.0	289.0	145.0	52.0	27.0	17.0	20.0	1819.0
Удмурты	78005.0	178.0	215.0	346.0	147.0	47.0	35.0	16.0	16.0	1930.0
Узбеки	7385.0	224.0	260.0	302.0	132.0	47.0	20.0	7.0	8.0	1652.0
Украинцы	415682.0	118.0	304.0	413.0	110.0	29.0	14.0	5.0	7.0	1726.0
Финны	4682.0	197.0	303.0	346.0	95.0	35.0	12.0	5.0	7.0	1570.0
Хакасы	8477.0	242.0	226.0	269.0	130.0	53.0	40.0	18.0	22.0	1872.0
Ханты	8675.0	241.0	203.0	235.0	144.0	75.0	41.0	21.0	40.0	2002.0
Цыгане	14942.0	274.0	142.0	182.0	138.0	90.0	64.0	39.0	71.0	2451.0
Черкесы	21837.0	284.0	157.0	261.0	162.0	68.0	34.0	17.0	17.0	1807.0
Чеченцы	45721.0	357.0	101.0	146.0	137.0	103.0	65.0	39.0	52.0	2163.0
Чуваши	189819.0	210.0	213.0	326.0	131.0	46.0	39.0	17.0	18.0	1884.0
Чукчи	5220.0	221.0	204.0	224.0	150.0	86.0	56.0	26.0	33.0	2122.0
Шорцы	2334.0	207.0	212.0	275.0	143.0	62.0	47.0	23.0	31.0	2084.0
Эвенки	10224.0	247.0	200.0	220.0	141.0	84.0	48.0	23.0	37.0	1972.0
Эвены	6272.0	234.0	213.0	212.0	141.0	82.0	49.0	25.0	44.0	2151.0
Эстонцы	3950.0	137.0	270.0	364.0	141.0	39.0	27.0	8.0	14.0	1874.0
Якуты	61076.0	270.0	178.0	204.0	141.0	88.0	48.0	26.0	45.0	1972.0
