9. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ, СОСТОЯЩИХ ИЗ ОДНОГО ЧЕЛОВЕКА, ПО ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ				
				
	Всего	в том числе в возрасте		
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	21831.0	-	21419.0	412.0
личное подсобное хозяйство	2203.0	-	2167.0	36.0
стипендию	82.0	-	82.0	-
пенсию (кроме пенсии по инвалидности)	59565.0	2.0	2391.0	57171.0
пенсию по инвалидности	4724.0	2.0	2319.0	2403.0
пособие (кроме пособия по безработице)	197.0	3.0	185.0	9.0
пособие по безработице	831.0	-	831.0	-
другой вид государственного обеспечения	60.0	1.0	55.0	4.0
сбережения	96.0	-	95.0	1.0
доход от сдачи внаем или в аренду имущества	26.0	-	26.0	-
на иждивении отдельных лиц	4986.0	70.0	4899.0	17.0
иной источник	940.0	-	929.0	11.0
Указавшие два источника средств к существованию	30730.0	149.0	8697.0	21884.0
Указавшие три и более источника средств к существованию	1260.0	18.0	686.0	556.0
Владимирская область				
Население частных домохозяйств, состоящих из одного человека	144240.0	290.0	46196.0	97593.0
из них указали один источник средств к существованию	112746.0	126.0	38125.0	74468.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	28162.0	2.0	27327.0	821.0
личное подсобное хозяйство	827.0	-	701.0	125.0
стипендию	106.0	5.0	101.0	-
пенсию (кроме пенсии по инвалидности)	71506.0	6.0	1621.0	69866.0
пенсию по инвалидности	5915.0	1.0	2359.0	3555.0
пособие (кроме пособия по безработице)	138.0	3.0	116.0	19.0
пособие по безработице	911.0	-	911.0	-
другой вид государственного обеспечения	53.0	5.0	46.0	2.0
сбережения	199.0	-	198.0	1.0
доход от сдачи внаем или в аренду имущества	31.0	-	30.0	1.0
на иждивении отдельных лиц	2309.0	103.0	2175.0	31.0
иной источник	2589.0	1.0	2540.0	47.0
Указавшие два источника средств к существованию	27318.0	109.0	5959.0	21249.0
Указавшие три и более источника средств к существованию	1273.0	40.0	415.0	818.0
Воронежская область				
Население частных домохозяйств, состоящих из одного человека	219106.0	342.0	71960.0	146355.0
из них указали один источник средств к существованию	176976.0	222.0	59864.0	116837.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	38253.0	3.0	37180.0	1059.0
личное подсобное хозяйство	3220.0	1.0	3122.0	96.0
стипендию	501.0	6.0	495.0	-
пенсию (кроме пенсии по инвалидности)	113599.0	10.0	2286.0	111283.0
пенсию по инвалидности	7978.0	3.0	3772.0	4200.0
пособие (кроме пособия по безработице)	142.0	4.0	119.0	19.0
пособие по безработице	621.0	-	621.0	-
другой вид государственного обеспечения	71.0	1.0	44.0	26.0
сбережения	256.0	-	251.0	5.0
доход от сдачи внаем или в аренду имущества	57.0	-	56.0	1.0
на иждивении отдельных лиц	7774.0	192.0	7533.0	42.0
иной источник	4504.0	2.0	4385.0	106.0
Указавшие два источника средств к существованию	38220.0	94.0	10158.0	27955.0
Указавшие три и более источника средств к существованию	1501.0	9.0	551.0	939.0
Ивановская область				
Население частных домохозяйств, состоящих из одного человека	124090.0	265.0	41721.0	82051.0
из них указали один источник средств к существованию	93181.0	54.0	31173.0	61940.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	22400.0	5.0	21935.0	453.0
личное подсобное хозяйство	666.0	-	605.0	61.0
стипендию	76.0	-	76.0	-
пенсию (кроме пенсии по инвалидности)	60744.0	3.0	1242.0	59492.0
пенсию по инвалидности	3501.0	-	1606.0	1895.0
пособие (кроме пособия по безработице)	70.0	3.0	60.0	7.0
пособие по безработице	628.0	-	628.0	-
другой вид государственного обеспечения	24.0	1.0	22.0	1.0
сбережения	167.0	-	165.0	2.0
доход от сдачи внаем или в аренду имущества	22.0	-	21.0	1.0
на иждивении отдельных лиц	3000.0	42.0	2950.0	8.0
иной источник	1883.0	-	1863.0	20.0
Указавшие два источника средств к существованию	25326.0	126.0	7334.0	17865.0
Указавшие три и более источника средств к существованию	1165.0	29.0	462.0	674.0
Калужская область				
Население частных домохозяйств, состоящих из одного человека	99506.0	201.0	36421.0	62824.0
из них указали один источник средств к существованию	77335.0	88.0	29757.0	47475.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	22270.0	1.0	21713.0	552.0
личное подсобное хозяйство	477.0	-	455.0	22.0
стипендию	68.0	-	68.0	-
пенсию (кроме пенсии по инвалидности)	45896.0	3.0	1146.0	44740.0
пенсию по инвалидности	3629.0	1.0	1545.0	2083.0
пособие (кроме пособия по безработице)	104.0	2.0	81.0	21.0
пособие по безработице	230.0	-	230.0	-
другой вид государственного обеспечения	25.0	7.0	12.0	6.0
сбережения	127.0	-	123.0	4.0
доход от сдачи внаем или в аренду имущества	37.0	-	34.0	3.0
на иждивении отдельных лиц	2457.0	74.0	2365.0	17.0
иной источник	2015.0	-	1985.0	27.0
Указавшие два источника средств к существованию	19115.0	97.0	5610.0	13407.0
Указавшие три и более источника средств к существованию	2380.0	13.0	629.0	1738.0
Костромская область				
Население частных домохозяйств, состоящих из одного человека	76275.0	191.0	27020.0	48970.0
из них указали один источник средств к существованию	56064.0	71.0	19925.0	36044.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	13536.0	1.0	13282.0	238.0
личное подсобное хозяйство	398.0	-	391.0	7.0
стипендию	145.0	7.0	138.0	-
пенсию (кроме пенсии по инвалидности)	34621.0	2.0	627.0	33988.0
пенсию по инвалидности	3065.0	-	1286.0	1779.0
пособие (кроме пособия по безработице)	47.0	2.0	37.0	8.0
пособие по безработице	260.0	-	260.0	-
другой вид государственного обеспечения	20.0	2.0	16.0	2.0
сбережения	97.0	-	97.0	-
доход от сдачи внаем или в аренду имущества	14.0	-	14.0	-
на иждивении отдельных лиц	2245.0	57.0	2177.0	6.0
иной источник	1616.0	-	1600.0	16.0
Указавшие два источника средств к существованию	18132.0	95.0	5883.0	12151.0
Указавшие три и более источника средств к существованию	932.0	11.0	425.0	496.0
Курская область				
Население частных домохозяйств, состоящих из одного человека	107858.0	217.0	35326.0	72265.0
из них указали один источник средств к существованию	79590.0	88.0	28291.0	51203.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	17857.0	-	17407.0	447.0
личное подсобное хозяйство	2267.0	-	2210.0	57.0
стипендию	135.0	4.0	131.0	-
пенсию (кроме пенсии по инвалидности)	50042.0	2.0	1108.0	48930.0
пенсию по инвалидности	3652.0	1.0	1939.0	1712.0
пособие (кроме пособия по безработице)	93.0	3.0	76.0	14.0
пособие по безработице	372.0	-	372.0	-
другой вид государственного обеспечения	36.0	-	34.0	2.0
сбережения	115.0	-	114.0	1.0
доход от сдачи внаем или в аренду имущества	25.0	-	23.0	2.0
на иждивении отдельных лиц	4029.0	78.0	3922.0	27.0
иной источник	967.0	-	955.0	11.0
Указавшие два источника средств к существованию	26782.0	122.0	6506.0	20149.0
Указавшие три и более источника средств к существованию	1070.0	6.0	273.0	791.0
Липецкая область				
Население частных домохозяйств, состоящих из одного человека	109950.0	321.0	37513.0	72075.0
из них указали один источник средств к существованию	86310.0	130.0	31083.0	55091.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	21903.0	1.0	21239.0	662.0
личное подсобное хозяйство	1448.0	-	1403.0	45.0
стипендию	155.0	9.0	146.0	-
пенсию (кроме пенсии по инвалидности)	53421.0	8.0	1310.0	52098.0
пенсию по инвалидности	4317.0	-	2100.0	2217.0
пособие (кроме пособия по безработице)	67.0	5.0	49.0	13.0
пособие по безработице	242.0	-	242.0	-
другой вид государственного обеспечения	78.0	13.0	61.0	4.0
сбережения	156.0	-	155.0	1.0
доход от сдачи внаем или в аренду имущества	29.0	-	29.0	-
на иждивении отдельных лиц	2496.0	94.0	2381.0	21.0
иной источник	1998.0	-	1968.0	30.0
Указавшие два источника средств к существованию	21552.0	176.0	5267.0	16107.0
Указавшие три и более источника средств к существованию	622.0	1.0	155.0	466.0
Московская область				
Население частных домохозяйств, состоящих из одного человека	593290.0	1800.0	232270.0	357292.0
из них указали один источник средств к существованию	483019.0	1029.0	196040.0	285770.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	167199.0	17.0	160151.0	6951.0
личное подсобное хозяйство	1007.0	-	966.0	39.0
стипендию	959.0	15.0	941.0	-
пенсию (кроме пенсии по инвалидности)	274156.0	38.0	6392.0	267657.0
пенсию по инвалидности	17886.0	6.0	7224.0	10648.0
пособие (кроме пособия по безработице)	532.0	126.0	334.0	70.0
пособие по безработице	1498.0	-	1496.0	-
другой вид государственного обеспечения	265.0	31.0	187.0	46.0
сбережения	1224.0	1.0	1213.0	10.0
доход от сдачи внаем или в аренду имущества	224.0	1.0	214.0	9.0
на иждивении отдельных лиц	10019.0	776.0	9070.0	170.0
иной источник	8050.0	18.0	7852.0	170.0
Указавшие два источника средств к существованию	79062.0	473.0	17287.0	61274.0
Указавшие три и более источника средств к существованию	3282.0	19.0	1165.0	2091.0
Орловская область				
Население частных домохозяйств, состоящих из одного человека	78842.0	388.0	31363.0	47055.0
из них указали один источник средств к существованию	54003.0	126.0	21845.0	32018.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	13196.0	-	12899.0	289.0
личное подсобное хозяйство	1165.0	-	1151.0	14.0
стипендию	290.0	23.0	267.0	-
пенсию (кроме пенсии по инвалидности)	31290.0	3.0	895.0	30388.0
пенсию по инвалидности	2468.0	1.0	1174.0	1292.0
пособие (кроме пособия по безработице)	65.0	1.0	57.0	7.0
пособие по безработице	220.0	-	220.0	-
другой вид государственного обеспечения	21.0	1.0	15.0	5.0
сбережения	88.0	-	87.0	1.0
доход от сдачи внаем или в аренду имущества	12.0	-	11.0	1.0
на иждивении отдельных лиц	3682.0	96.0	3582.0	4.0
иной источник	1506.0	1.0	1487.0	17.0
Указавшие два источника средств к существованию	21607.0	204.0	8058.0	13341.0
Указавшие три и более источника средств к существованию	2201.0	41.0	759.0	1401.0
Рязанская область				
Население частных домохозяйств, состоящих из одного человека	126310.0	337.0	39879.0	86053.0
из них указали один источник средств к существованию	93871.0	67.0	30431.0	63368.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	20478.0	-	19987.0	489.0
личное подсобное хозяйство	1187.0	-	1154.0	33.0
стипендию	344.0	15.0	329.0	-
пенсию (кроме пенсии по инвалидности)	61013.0	2.0	1264.0	59745.0
пенсию по инвалидности	5621.0	-	2581.0	3040.0
пособие (кроме пособия по безработице)	82.0	2.0	65.0	15.0
пособие по безработице	227.0	-	227.0	-
другой вид государственного обеспечения	35.0	4.0	23.0	8.0
сбережения	158.0	-	157.0	1.0
доход от сдачи внаем или в аренду имущества	28.0	-	27.0	1.0
на иждивении отдельных лиц	3087.0	44.0	3027.0	16.0
иной источник	1611.0	-	1590.0	20.0
Указавшие два источника средств к существованию	28468.0	182.0	7464.0	20820.0
Указавшие три и более источника средств к существованию	1675.0	66.0	546.0	1063.0
Смоленская область				
Население частных домохозяйств, состоящих из одного человека	110395.0	546.0	42487.0	66459.0
из них указали один источник средств к существованию	88087.0	253.0	35427.0	52362.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	22620.0	5.0	22040.0	560.0
личное подсобное хозяйство	994.0	-	975.0	19.0
стипендию	395.0	38.0	357.0	-
пенсию (кроме пенсии по инвалидности)	50697.0	5.0	1255.0	49415.0
пенсию по инвалидности	4607.0	2.0	2322.0	2283.0
пособие (кроме пособия по безработице)	57.0	3.0	45.0	9.0
пособие по безработице	240.0	-	240.0	-
другой вид государственного обеспечения	109.0	3.0	97.0	8.0
сбережения	128.0	-	125.0	3.0
доход от сдачи внаем или в аренду имущества	23.0	-	22.0	1.0
на иждивении отдельных лиц	6042.0	197.0	5814.0	26.0
иной источник	2175.0	-	2135.0	38.0
Указавшие два источника средств к существованию	19714.0	266.0	6038.0	13404.0
Указавшие три и более источника средств к существованию	782.0	12.0	342.0	426.0
Тамбовская область				
Население частных домохозяйств, состоящих из одного человека	112328.0	169.0	34340.0	77722.0
из них указали один источник средств к существованию	90872.0	62.0	28359.0	62444.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	16770.0	1.0	16272.0	492.0
личное подсобное хозяйство	2277.0	-	2178.0	99.0
стипендию	94.0	3.0	91.0	-
пенсию (кроме пенсии по инвалидности)	60176.0	4.0	1409.0	58761.0
пенсию по инвалидности	5453.0	-	2436.0	3017.0
пособие (кроме пособия по безработице)	75.0	1.0	69.0	5.0
пособие по безработице	606.0	-	606.0	-
другой вид государственного обеспечения	19.0	-	14.0	5.0
сбережения	122.0	-	121.0	1.0
доход от сдачи внаем или в аренду имущества	17.0	-	17.0	-
на иждивении отдельных лиц	2699.0	53.0	2625.0	21.0
иной источник	2564.0	-	2521.0	43.0
Указавшие два источника средств к существованию	20019.0	102.0	5259.0	14655.0
Указавшие три и более источника средств к существованию	699.0	4.0	289.0	406.0
Тверская область				
Население частных домохозяйств, состоящих из одного человека	162743.0	368.0	50711.0	111548.0
из них указали один источник средств к существованию	127920.0	131.0	41546.0	86221.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	29330.0	2.0	28580.0	739.0
личное подсобное хозяйство	1311.0	-	1210.0	100.0
стипендию	259.0	5.0	254.0	-
пенсию (кроме пенсии по инвалидности)	84806.0	4.0	1682.0	83112.0
пенсию по инвалидности	4332.0	1.0	2197.0	2131.0
пособие (кроме пособия по безработице)	98.0	5.0	60.0	33.0
пособие по безработице	257.0	-	257.0	-
другой вид государственного обеспечения	70.0	13.0	34.0	23.0
сбережения	209.0	-	208.0	1.0
доход от сдачи внаем или в аренду имущества	29.0	-	28.0	1.0
на иждивении отдельных лиц	3476.0	96.0	3349.0	31.0
иной источник	3743.0	5.0	3687.0	50.0
Указавшие два источника средств к существованию	30982.0	179.0	7245.0	23550.0
Указавшие три и более источника средств к существованию	1314.0	37.0	445.0	831.0
Тульская область				
Население частных домохозяйств, состоящих из одного человека	169791.0	385.0	58741.0	110533.0
из них указали один источник средств к существованию	140948.0	184.0	50346.0	90407.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	35543.0	4.0	34541.0	994.0
личное подсобное хозяйство	932.0	-	909.0	23.0
стипендию	448.0	32.0	416.0	-
пенсию (кроме пенсии по инвалидности)	89710.0	8.0	3379.0	86319.0
пенсию по инвалидности	6061.0	-	3095.0	2966.0
пособие (кроме пособия по безработице)	235.0	7.0	205.0	23.0
пособие по безработице	567.0	-	567.0	-
другой вид государственного обеспечения	232.0	1.0	221.0	10.0
сбережения	246.0	-	242.0	4.0
доход от сдачи внаем или в аренду имущества	35.0	-	34.0	1.0
на иждивении отдельных лиц	3979.0	132.0	3826.0	21.0
иной источник	2960.0	-	2911.0	46.0
Указавшие два источника средств к существованию	26555.0	182.0	7397.0	18975.0
Указавшие три и более источника средств к существованию	1600.0	17.0	606.0	977.0
Ярославская область				
Население частных домохозяйств, состоящих из одного человека	146371.0	404.0	55556.0	89890.0
из них указали один источник средств к существованию	102968.0	141.0	40947.0	61826.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	29915.0	5.0	29214.0	670.0
личное подсобное хозяйство	1088.0	-	1063.0	25.0
стипендию	157.0	2.0	153.0	-
пенсию (кроме пенсии по инвалидности)	60156.0	6.0	1337.0	58796.0
пенсию по инвалидности	4351.0	-	2071.0	2278.0
пособие (кроме пособия по безработице)	108.0	4.0	87.0	17.0
пособие по безработице	600.0	-	600.0	-
другой вид государственного обеспечения	32.0	1.0	29.0	2.0
сбережения	268.0	-	267.0	1.0
доход от сдачи внаем или в аренду имущества	39.0	-	38.0	1.0
на иждивении отдельных лиц	5030.0	123.0	4888.0	15.0
иной источник	1224.0	-	1200.0	21.0
Указавшие два источника средств к существованию	38479.0	191.0	12134.0	26134.0
Указавшие три и более источника средств к существованию	2457.0	50.0	970.0	1437.0
г. Москва				
Население частных домохозяйств, состоящих из одного человека	1027589.0	4455.0	583044.0	436910.0
из них указали один источник средств к существованию	864487.0	2912.0	501570.0	359295.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	438999.0	73.0	422370.0	16136.0
личное подсобное хозяйство	958.0	2.0	871.0	81.0
стипендию	4713.0	19.0	4681.0	-
пенсию (кроме пенсии по инвалидности)	324118.0	91.0	10467.0	313439.0
пенсию по инвалидности	39225.0	11.0	11274.0	27924.0
пособие (кроме пособия по безработице)	719.0	47.0	587.0	84.0
пособие по безработице	2336.0	-	2335.0	-
другой вид государственного обеспечения	683.0	69.0	499.0	112.0
сбережения	3498.0	5.0	3399.0	88.0
доход от сдачи внаем или в аренду имущества	672.0	3.0	642.0	27.0
на иждивении отдельных лиц	25524.0	2531.0	22477.0	481.0
иной источник	23042.0	61.0	21968.0	923.0
Указавшие два источника средств к существованию	92842.0	417.0	32035.0	60316.0
Указавшие три и более источника средств к существованию	4175.0	17.0	2601.0	1536.0
Северо-Западный федеральный округ				
Население частных домохозяйств, состоящих из одного человека	1302093.0	4787.0	582569.0	709414.0
из них указали один источник средств к существованию	994555.0	2378.0	452689.0	538843.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	331944.0	30.0	323173.0	8374.0
личное подсобное хозяйство	6368.0	1.0	6204.0	158.0
стипендию	3868.0	75.0	3789.0	-
пенсию (кроме пенсии по инвалидности)	529025.0	63.0	23702.0	505100.0
пенсию по инвалидности	42927.0	21.0	18760.0	24121.0
пособие (кроме пособия по безработице)	1225.0	54.0	1047.0	122.0
пособие по безработице	7568.0	-	7565.0	-
другой вид государственного обеспечения	1138.0	213.0	809.0	115.0
сбережения	3031.0	1.0	2979.0	49.0
доход от сдачи внаем или в аренду имущества	360.0	2.0	337.0	19.0
на иждивении отдельных лиц	40093.0	1888.0	37771.0	390.0
иной источник	27008.0	30.0	26553.0	395.0
Указавшие два источника средств к существованию	234026.0	1531.0	84915.0	147522.0
Указавшие три и более источника средств к существованию	12625.0	212.0	6629.0	5771.0
Республика Карелия				
Население частных домохозяйств, состоящих из одного человека	68167.0	245.0	31560.0	36336.0
из них указали один источник средств к существованию	52387.0	94.0	23121.0	29166.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	14148.0	-	14014.0	130.0
личное подсобное хозяйство	159.0	-	154.0	5.0
стипендию	55.0	2.0	53.0	-
пенсию (кроме пенсии по инвалидности)	30487.0	2.0	2264.0	28220.0
пенсию по инвалидности	1681.0	-	894.0	787.0
пособие (кроме пособия по безработице)	58.0	-	56.0	2.0
пособие по безработице	657.0	-	657.0	-
другой вид государственного обеспечения	14.0	1.0	9.0	4.0
сбережения	131.0	-	131.0	-
доход от сдачи внаем или в аренду имущества	22.0	-	22.0	-
на иждивении отдельных лиц	3079.0	88.0	2981.0	10.0
иной источник	1896.0	1.0	1886.0	8.0
Указавшие два источника средств к существованию	13570.0	121.0	6950.0	6498.0
Указавшие три и более источника средств к существованию	1189.0	20.0	765.0	404.0
Республика Коми				
Население частных домохозяйств, состоящих из одного человека	86947.0	227.0	48295.0	38214.0
из них указали один источник средств к существованию	65950.0	99.0	37510.0	28290.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	25349.0	1.0	25053.0	273.0
личное подсобное хозяйство	511.0	-	509.0	2.0
стипендию	190.0	9.0	181.0	-
пенсию (кроме пенсии по инвалидности)	30416.0	2.0	3350.0	27048.0
пенсию по инвалидности	2869.0	1.0	1924.0	943.0
пособие (кроме пособия по безработице)	135.0	4.0	126.0	5.0
пособие по безработице	733.0	-	733.0	-
другой вид государственного обеспечения	111.0	11.0	99.0	1.0
сбережения	254.0	-	254.0	-
доход от сдачи внаем или в аренду имущества	11.0	-	11.0	-
на иждивении отдельных лиц	2672.0	69.0	2589.0	7.0
иной источник	2699.0	2.0	2681.0	11.0
Указавшие два источника средств к существованию	18763.0	104.0	9262.0	9390.0
Указавшие три и более источника средств к существованию	1229.0	16.0	810.0	403.0
Архангельская область				
Население частных домохозяйств, состоящих из одного человека	120153.0	410.0	53272.0	66443.0
из них указали один источник средств к существованию	93032.0	129.0	41447.0	51451.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	26664.0	1.0	26462.0	201.0
личное подсобное хозяйство	813.0	-	800.0	13.0
стипендию	129.0	11.0	118.0	-
пенсию (кроме пенсии по инвалидности)	54091.0	-	4386.0	49703.0
пенсию по инвалидности	3404.0	-	1896.0	1507.0
пособие (кроме пособия по безработице)	95.0	-	93.0	2.0
пособие по безработице	944.0	-	944.0	-
другой вид государственного обеспечения	18.0	1.0	14.0	3.0
сбережения	179.0	-	179.0	-
доход от сдачи внаем или в аренду имущества	23.0	-	23.0	-
на иждивении отдельных лиц	3636.0	116.0	3515.0	4.0
иной источник	3036.0	-	3017.0	18.0
Указавшие два источника средств к существованию	25343.0	262.0	10741.0	14337.0
Указавшие три и более источника средств к существованию	1475.0	18.0	874.0	583.0
Ненецкий автономный округ				
Население частных домохозяйств, состоящих из одного человека	2661.0	4.0	1635.0	1020.0
из них указали один источник средств к существованию	2135.0	2.0	1352.0	781.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	995.0	-	988.0	7.0
личное подсобное хозяйство	20.0	-	20.0	-
стипендию	-	-	-	-
пенсию (кроме пенсии по инвалидности)	825.0	-	91.0	734.0
пенсию по инвалидности	106.0	-	66.0	40.0
пособие (кроме пособия по безработице)	10.0	-	10.0	-
пособие по безработице	56.0	-	56.0	-
другой вид государственного обеспечения	1.0	-	1.0	-
сбережения	5.0	-	5.0	-
доход от сдачи внаем или в аренду имущества	1.0	-	1.0	-
на иждивении отдельных лиц	50.0	2.0	48.0	-
иной источник	66.0	-	66.0	-
Указавшие два источника средств к существованию	417.0	1.0	207.0	209.0
Указавшие три и более источника средств к существованию	10.0	-	6.0	4.0
Вологодская область				
Население частных домохозяйств, состоящих из одного человека	124878.0	428.0	47624.0	76390.0
из них указали один источник средств к существованию	83777.0	116.0	34780.0	48845.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	24337.0	3.0	23974.0	343.0
личное подсобное хозяйство	2053.0	-	2035.0	16.0
стипендию	215.0	17.0	198.0	-
пенсию (кроме пенсии по инвалидности)	47416.0	3.0	1202.0	46202.0
пенсию по инвалидности	4148.0	-	1899.0	2246.0
пособие (кроме пособия по безработице)	113.0	1.0	101.0	10.0
пособие по безработице	652.0	-	652.0	-
другой вид государственного обеспечения	78.0	1.0	74.0	3.0
сбережения	235.0	-	234.0	1.0
доход от сдачи внаем или в аренду имущества	29.0	-	27.0	1.0
на иждивении отдельных лиц	3203.0	90.0	3096.0	14.0
иной источник	1298.0	1.0	1288.0	9.0
Указавшие два источника средств к существованию	36748.0	227.0	10648.0	25864.0
Указавшие три и более источника средств к существованию	2453.0	68.0	1105.0	1280.0
Калининградская область				
Население частных домохозяйств, состоящих из одного человека	68111.0	179.0	29856.0	37975.0
из них указали один источник средств к существованию	56639.0	93.0	26240.0	30293.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	20095.0	2.0	19491.0	593.0
личное подсобное хозяйство	350.0	-	337.0	13.0
стипендию	111.0	3.0	108.0	-
пенсию (кроме пенсии по инвалидности)	29635.0	6.0	1072.0	28556.0
пенсию по инвалидности	1964.0	1.0	894.0	1068.0
пособие (кроме пособия по безработице)	61.0	3.0	56.0	2.0
пособие по безработице	399.0	-	399.0	-
другой вид государственного обеспечения	47.0	2.0	39.0	6.0
сбережения	270.0	-	265.0	5.0
доход от сдачи внаем или в аренду имущества	19.0	1.0	18.0	-
на иждивении отдельных лиц	1320.0	70.0	1226.0	24.0
иной источник	2368.0	5.0	2335.0	26.0
Указавшие два источника средств к существованию	9671.0	60.0	2547.0	7064.0
Указавшие три и более источника средств к существованию	398.0	6.0	91.0	301.0
Ленинградская область				
Население частных домохозяйств, состоящих из одного человека	159332.0	547.0	59613.0	98960.0
из них указали один источник средств к существованию	128215.0	270.0	49473.0	78440.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	38191.0	7.0	36903.0	1266.0
личное подсобное хозяйство	591.0	-	544.0	47.0
стипендию	286.0	13.0	273.0	-
пенсию (кроме пенсии по инвалидности)	75490.0	12.0	1890.0	73576.0
пенсию по инвалидности	6099.0	4.0	2746.0	3348.0
пособие (кроме пособия по безработице)	135.0	8.0	110.0	17.0
пособие по безработице	659.0	-	659.0	-
другой вид государственного обеспечения	97.0	7.0	71.0	19.0
сбережения	248.0	-	241.0	7.0
доход от сдачи внаем или в аренду имущества	36.0	1.0	34.0	1.0
