2.5. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО УРОВНЮ ОБРАЗОВАНИЯ И ПОЛУ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 									
(на 1000 занятых в возрасте 15 лет и более)									
									
	Имеющие образование								Не имеющие начального общего образования
1989.0	...	201.0	17.0	275.0	112.0	258.0	89.0	40.0	8.0
2002.0	5.0	318.0	29.0	355.0	104.0	169.0	17.0	2.0	-
Сельское население									
1989.0	...	62.0	7.0	174.0	154.0	250.0	179.0	153.0	21.0
2002.0	1.0	123.0	13.0	310.0	199.0	254.0	86.0	13.0	1.0
Мужчины									
1989.0	...	51.0	6.0	130.0	190.0	253.0	168.0	179.0	23.0
2002.0	2.0	96.0	11.0	247.0	239.0	282.0	104.0	17.0	1.0
Женщины									
1989.0	...	75.0	8.0	232.0	107.0	246.0	194.0	119.0	19.0
2002.0	1.0	155.0	15.0	385.0	153.0	217.0	64.0	8.0	1.0
Ивановская область									
Городское и сельское население									
1989.0	...	116.0	11.0	236.0	179.0	199.0	155.0	94.0	10.0
2002.0	4.0	201.0	22.0	349.0	186.0	167.0	63.0	7.0	-
Мужчины									
1989.0	...	105.0	11.0	185.0	209.0	204.0	165.0	111.0	10.0
2002.0	4.0	174.0	21.0	309.0	219.0	182.0	80.0	10.0	-
Женщины									
1989.0	...	127.0	11.0	287.0	149.0	194.0	145.0	76.0	11.0
2002.0	4.0	225.0	22.0	386.0	157.0	153.0	47.0	5.0	-
Городское население									
1989.0	...	128.0	12.0	243.0	174.0	205.0	147.0	82.0	9.0
2002.0	4.0	215.0	23.0	353.0	176.0	167.0	55.0	6.0	-
Мужчины									
1989.0	...	120.0	12.0	195.0	201.0	211.0	158.0	95.0	8.0
2002.0	5.0	190.0	23.0	319.0	204.0	181.0	69.0	8.0	-
Женщины									
1989.0	...	135.0	11.0	289.0	149.0	200.0	137.0	69.0	10.0
2002.0	4.0	237.0	23.0	385.0	150.0	155.0	41.0	4.0	-
Сельское население									
1989.0	...	62.0	7.0	201.0	200.0	169.0	194.0	151.0	16.0
2002.0	1.0	123.0	12.0	324.0	246.0	168.0	110.0	15.0	1.0
Мужчины									
1989.0	...	44.0	6.0	138.0	244.0	176.0	194.0	182.0	16.0
2002.0	1.0	90.0	11.0	256.0	298.0	189.0	134.0	20.0	1.0
Женщины									
1989.0	...	82.0	8.0	275.0	149.0	160.0	194.0	116.0	16.0
2002.0	2.0	156.0	13.0	394.0	194.0	147.0	85.0	9.0	-
Калужская область									
Городское и сельское население									
1989.0	...	143.0	10.0	257.0	180.0	188.0	132.0	79.0	11.0
2002.0	3.0	222.0	24.0	395.0	152.0	146.0	49.0	7.0	1.0
Мужчины									
1989.0	...	137.0	10.0	199.0	238.0	190.0	130.0	87.0	9.0
2002.0	4.0	205.0	23.0	354.0	191.0	153.0	59.0	9.0	1.0
Женщины									
1989.0	...	148.0	11.0	319.0	120.0	186.0	133.0	70.0	13.0
2002.0	3.0	239.0	25.0	436.0	111.0	140.0	40.0	5.0	-
Городское население									
1989.0	...	172.0	12.0	277.0	171.0	195.0	110.0	55.0	8.0
2002.0	4.0	247.0	27.0	406.0	132.0	141.0	37.0	5.0	-
Мужчины									
1989.0	...	171.0	12.0	222.0	220.0	199.0	112.0	58.0	6.0
2002.0	5.0	233.0	26.0	375.0	161.0	147.0	46.0	6.0	-
Женщины									
1989.0	...	173.0	11.0	332.0	122.0	192.0	109.0	51.0	10.0
2002.0	3.0	261.0	27.0	437.0	102.0	135.0	30.0	4.0	-
Сельское население									
1989.0	...	68.0	7.0	207.0	203.0	167.0	187.0	141.0	20.0
2002.0	1.0	122.0	14.0	350.0	231.0	167.0	97.0	16.0	1.0
Мужчины									
1989.0	...	58.0	6.0	143.0	279.0	167.0	173.0	156.0	18.0
2002.0	1.0	100.0	12.0	278.0	304.0	174.0	108.0	20.0	2.0
Женщины									
1989.0	...	79.0	8.0	281.0	114.0	168.0	203.0	124.0	23.0
2002.0	1.0	147.0	16.0	431.0	149.0	160.0	84.0	10.0	1.0
Костромская область									
Городское и сельское население									
1989.0	...	113.0	10.0	254.0	175.0	172.0	154.0	106.0	16.0
2002.0	2.0	189.0	18.0	419.0	166.0	128.0	66.0	10.0	1.0
Мужчины									
1989.0	...	99.0	10.0	182.0	220.0	189.0	158.0	127.0	15.0
2002.0	2.0	161.0	17.0	361.0	207.0	151.0	85.0	14.0	1.0
Женщины									
1989.0	...	127.0	11.0	330.0	128.0	154.0	149.0	85.0	16.0
2002.0	2.0	217.0	19.0	476.0	125.0	105.0	48.0	6.0	1.0
Городское население									
1989.0	...	133.0	12.0	273.0	165.0	177.0	143.0	86.0	11.0
2002.0	2.0	219.0	21.0	435.0	145.0	119.0	51.0	7.0	-
Мужчины									
1989.0	...	123.0	12.0	206.0	205.0	194.0	151.0	100.0	9.0
2002.0	3.0	194.0	20.0	390.0	177.0	139.0	66.0	10.0	-
Женщины									
1989.0	...	143.0	12.0	340.0	126.0	160.0	134.0	72.0	13.0
2002.0	2.0	243.0	21.0	478.0	115.0	100.0	35.0	5.0	-
Сельское население									
1989.0	...	62.0	7.0	205.0	200.0	161.0	181.0	157.0	27.0
2002.0	2.0	115.0	12.0	379.0	217.0	151.0	105.0	18.0	1.0
Мужчины									
1989.0	...	45.0	5.0	129.0	254.0	180.0	174.0	186.0	27.0
2002.0	2.0	84.0	9.0	294.0	276.0	182.0	126.0	26.0	1.0
Женщины									
1989.0	...	83.0	8.0	299.0	134.0	138.0	189.0	122.0	27.0
2002.0	1.0	149.0	14.0	471.0	155.0	118.0	80.0	11.0	1.0
Курская область									
Городское и сельское население									
1989.0	...	110.0	10.0	216.0	183.0	216.0	145.0	106.0	14.0
2002.0	3.0	209.0	21.0	348.0	207.0	153.0	49.0	9.0	-
Мужчины									
1989.0	...	94.0	10.0	162.0	233.0	219.0	142.0	126.0	14.0
2002.0	4.0	179.0	19.0	299.0	256.0	169.0	61.0	12.0	-
Женщины									
1989.0	...	128.0	11.0	278.0	127.0	212.0	148.0	83.0	13.0
2002.0	3.0	239.0	22.0	398.0	156.0	138.0	38.0	5.0	-
Городское население									
1989.0	...	148.0	13.0	258.0	189.0	230.0	105.0	50.0	7.0
2002.0	4.0	248.0	25.0	361.0	186.0	142.0	29.0	4.0	-
Мужчины									
1989.0	...	134.0	13.0	205.0	234.0	243.0	109.0	56.0	6.0
2002.0	5.0	219.0	24.0	324.0	226.0	159.0	37.0	5.0	-
Женщины									
1989.0	...	162.0	12.0	312.0	144.0	217.0	101.0	44.0	8.0
2002.0	4.0	276.0	25.0	395.0	148.0	127.0	21.0	3.0	-
Сельское население									
1989.0	...	48.0	6.0	147.0	174.0	193.0	211.0	197.0	24.0
2002.0	1.0	119.0	12.0	318.0	254.0	179.0	97.0	19.0	-
Мужчины									
1989.0	...	38.0	5.0	100.0	231.0	187.0	189.0	225.0	25.0
2002.0	1.0	97.0	10.0	247.0	320.0	188.0	110.0	25.0	1.0
Женщины									
1989.0	...	60.0	8.0	211.0	94.0	202.0	242.0	161.0	22.0
2002.0	1.0	145.0	15.0	404.0	174.0	168.0	80.0	12.0	-
Липецкая область									
Городское и сельское население									
1989.0	...	114.0	10.0	242.0	205.0	180.0	146.0	90.0	13.0
2002.0	2.0	208.0	21.0	387.0	206.0	121.0	46.0	8.0	-
Мужчины									
1989.0	...	98.0	10.0	194.0	242.0	190.0	150.0	104.0	12.0
2002.0	2.0	177.0	20.0	351.0	243.0	136.0	58.0	11.0	1.0
Женщины									
1989.0	...	131.0	10.0	296.0	164.0	170.0	141.0	75.0	13.0
2002.0	2.0	238.0	21.0	424.0	168.0	106.0	34.0	6.0	-
Городское население									
1989.0	...	140.0	11.0	273.0	217.0	177.0	117.0	57.0	8.0
2002.0	3.0	239.0	24.0	407.0	188.0	103.0	29.0	6.0	-
Мужчины									
1989.0	...	126.0	12.0	230.0	256.0	186.0	122.0	62.0	6.0
2002.0	3.0	210.0	24.0	384.0	220.0	114.0	36.0	7.0	1.0
Женщины									
1989.0	...	153.0	11.0	316.0	177.0	168.0	112.0	53.0	10.0
2002.0	3.0	267.0	24.0	429.0	156.0	95.0	21.0	4.0	-
Сельское население									
1989.0	...	62.0	7.0	181.0	180.0	187.0	205.0	157.0	21.0
2002.0	1.0	132.0	11.0	338.0	250.0	163.0	88.0	15.0	1.0
Мужчины									
1989.0	...	48.0	6.0	129.0	216.0	197.0	203.0	179.0	22.0
2002.0	1.0	102.0	9.0	273.0	298.0	187.0	108.0	20.0	1.0
Женщины									
1989.0	...	80.0	8.0	248.0	134.0	174.0	207.0	128.0	21.0
2002.0	1.0	165.0	13.0	410.0	198.0	137.0	66.0	9.0	1.0
Московская область									
Городское и сельское население									
1989.0	...	185.0	15.0	255.0	136.0	201.0	134.0	65.0	9.0
2002.0	6.0	269.0	35.0	349.0	112.0	166.0	51.0	8.0	1.0
Мужчины									
1989.0	...	192.0	15.0	201.0	168.0	211.0	135.0	71.0	7.0
2002.0	8.0	261.0	34.0	313.0	131.0	179.0	61.0	9.0	1.0
Женщины									
1989.0	...	179.0	15.0	307.0	104.0	191.0	133.0	60.0	11.0
2002.0	5.0	276.0	37.0	386.0	92.0	153.0	41.0	7.0	-
Городское население									
1989.0	...	205.0	16.0	262.0	128.0	200.0	124.0	57.0	8.0
2002.0	7.0	292.0	38.0	348.0	101.0	158.0	45.0	7.0	1.0
Мужчины									
1989.0	...	216.0	17.0	209.0	158.0	210.0	125.0	60.0	5.0
2002.0	9.0	286.0	38.0	316.0	118.0	170.0	52.0	8.0	-
Женщины									
1989.0	...	194.0	16.0	312.0	100.0	191.0	124.0	53.0	10.0
2002.0	5.0	299.0	39.0	381.0	84.0	147.0	35.0	6.0	1.0
Сельское население									
1989.0	...	100.0	10.0	225.0	169.0	203.0	175.0	104.0	13.0
2002.0	4.0	174.0	24.0	350.0	157.0	196.0	80.0	12.0	1.0
Мужчины									
1989.0	...	94.0	9.0	166.0	213.0	216.0	173.0	117.0	11.0
2002.0	5.0	165.0	22.0	301.0	185.0	212.0	93.0	14.0	1.0
Женщины									
1989.0	...	107.0	11.0	286.0	125.0	190.0	177.0	90.0	14.0
2002.0	3.0	183.0	27.0	405.0	127.0	178.0	64.0	10.0	1.0
Орловская область									
Городское и сельское население									
1989.0	...	119.0	11.0	226.0	192.0	201.0	151.0	89.0	11.0
2002.0	4.0	219.0	22.0	352.0	193.0	150.0	52.0	7.0	-
Мужчины									
1989.0	...	99.0	11.0	176.0	242.0	202.0	152.0	107.0	11.0
2002.0	4.0	182.0	23.0	313.0	237.0	166.0	64.0	10.0	-
Женщины									
1989.0	...	139.0	12.0	280.0	138.0	200.0	150.0	70.0	11.0
2002.0	4.0	255.0	21.0	391.0	150.0	135.0	39.0	4.0	-
Городское население									
1989.0	...	150.0	13.0	258.0	185.0	214.0	120.0	53.0	7.0
2002.0	5.0	260.0	26.0	370.0	162.0	141.0	31.0	4.0	-
Мужчины									
1989.0	...	132.0	13.0	212.0	230.0	222.0	124.0	61.0	6.0
2002.0	6.0	223.0	29.0	342.0	194.0	160.0	40.0	5.0	-
Женщины									
1989.0	...	167.0	13.0	303.0	142.0	206.0	114.0	46.0	9.0
2002.0	5.0	295.0	23.0	395.0	131.0	124.0	24.0	2.0	-
Сельское население									
1989.0	...	56.0	7.0	162.0	205.0	175.0	214.0	162.0	19.0
2002.0	1.0	122.0	12.0	311.0	267.0	171.0	99.0	15.0	1.0
Мужчины									
1989.0	...	44.0	6.0	116.0	262.0	167.0	198.0	187.0	20.0
2002.0	1.0	93.0	10.0	250.0	330.0	178.0	116.0	20.0	1.0
Женщины									
1989.0	...	72.0	8.0	224.0	130.0	185.0	236.0	128.0	17.0
2002.0	1.0	154.0	15.0	379.0	197.0	164.0	80.0	9.0	1.0
Рязанская область									
Городское и сельское население									
1989.0	...	119.0	11.0	243.0	175.0	191.0	160.0	90.0	11.0
2002.0	3.0	211.0	24.0	378.0	177.0	142.0	55.0	9.0	-
Мужчины									
1989.0	...	110.0	11.0	181.0	226.0	192.0	161.0	108.0	11.0
2002.0	3.0	195.0	23.0	321.0	221.0	153.0	70.0	12.0	1.0
Женщины									
1989.0	...	129.0	10.0	311.0	121.0	190.0	158.0	70.0	11.0
2002.0	2.0	228.0	24.0	436.0	132.0	130.0	41.0	6.0	-
Городское население									
1989.0	...	149.0	13.0	278.0	169.0	200.0	127.0	57.0	7.0
2002.0	4.0	243.0	27.0	398.0	151.0	135.0	36.0	5.0	-
Мужчины									
1989.0	...	144.0	14.0	216.0	215.0	207.0	132.0	66.0	6.0
2002.0	4.0	231.0	27.0	350.0	184.0	148.0	48.0	7.0	-
Женщины									
1989.0	...	153.0	11.0	338.0	125.0	194.0	122.0	48.0	9.0
2002.0	3.0	255.0	27.0	445.0	117.0	122.0	26.0	4.0	-
Сельское население									
1989.0	...	52.0	6.0	164.0	189.0	169.0	236.0	164.0	20.0
2002.0	1.0	113.0	12.0	316.0	258.0	165.0	114.0	20.0	1.0
Мужчины									
1989.0	...	42.0	5.0	108.0	251.0	161.0	222.0	191.0	20.0
2002.0	1.0	90.0	11.0	238.0	328.0	171.0	132.0	27.0	1.0
Женщины									
1989.0	...	65.0	7.0	236.0	108.0	180.0	256.0	129.0	19.0
2002.0	1.0	139.0	14.0	404.0	179.0	158.0	92.0	12.0	1.0
Смоленская область									
Городское и сельское население									
1989.0	...	116.0	11.0	260.0	165.0	189.0	167.0	82.0	10.0
2002.0	3.0	203.0	21.0	401.0	155.0	145.0	62.0	9.0	-
Мужчины									
1989.0	...	105.0	10.0	197.0	201.0	204.0	177.0	97.0	9.0
2002.0	3.0	179.0	20.0	346.0	188.0	169.0	82.0	12.0	-
Женщины									
1989.0	...	128.0	11.0	328.0	126.0	174.0	156.0	66.0	11.0
2002.0	3.0	227.0	22.0	454.0	124.0	120.0	43.0	6.0	-
Городское население									
1989.0	...	137.0	12.0	284.0	161.0	201.0	140.0	58.0	7.0
2002.0	3.0	229.0	24.0	419.0	135.0	138.0	44.0	6.0	-
Мужчины									
1989.0	...	129.0	12.0	225.0	194.0	220.0	151.0	64.0	5.0
2002.0	4.0	208.0	23.0	375.0	159.0	163.0	59.0	8.0	-
Женщины									
1989.0	...	146.0	12.0	343.0	129.0	182.0	129.0	51.0	8.0
2002.0	3.0	249.0	24.0	461.0	112.0	116.0	30.0	4.0	-
Сельское население									
1989.0	...	62.0	8.0	197.0	174.0	159.0	237.0	145.0	18.0
2002.0	1.0	118.0	12.0	339.0	226.0	161.0	123.0	19.0	1.0
Мужчины									
1989.0	...	51.0	6.0	133.0	216.0	166.0	237.0	173.0	18.0
2002.0	-	93.0	10.0	259.0	274.0	185.0	152.0	25.0	1.0
Женщины									
1989.0	...	77.0	10.0	280.0	119.0	150.0	237.0	110.0	17.0
2002.0	1.0	146.0	15.0	431.0	171.0	135.0	90.0	11.0	-
Тамбовская область									
Городское и сельское население									
1989.0	...	111.0	10.0	237.0	154.0	212.0	154.0	103.0	19.0
2002.0	3.0	206.0	18.0	372.0	173.0	160.0	58.0	8.0	1.0
Мужчины									
1989.0	...	95.0	9.0	180.0	197.0	219.0	157.0	123.0	20.0
2002.0	4.0	175.0	17.0	318.0	217.0	183.0	74.0	11.0	-
Женщины									
1989.0	...	130.0	10.0	299.0	107.0	205.0	151.0	81.0	17.0
2002.0	3.0	239.0	19.0	427.0	129.0	136.0	41.0	5.0	-
Городское население									
1989.0	...	145.0	12.0	280.0	147.0	223.0	122.0	61.0	10.0
2002.0	4.0	249.0	22.0	397.0	144.0	143.0	35.0	5.0	-
Мужчины									
1989.0	...	133.0	13.0	226.0	189.0	231.0	127.0	72.0	9.0
2002.0	5.0	224.0	23.0	355.0	177.0	163.0	46.0	6.0	-
Женщины									
1989.0	...	158.0	11.0	332.0	107.0	214.0	116.0	51.0	11.0
2002.0	3.0	273.0	22.0	436.0	112.0	124.0	26.0	3.0	-
Сельское население									
1989.0	...	61.0	6.0	173.0	164.0	197.0	203.0	165.0	31.0
2002.0	1.0	131.0	12.0	328.0	225.0	190.0	97.0	14.0	1.0
Мужчины									
1989.0	...	46.0	5.0	122.0	207.0	203.0	195.0	189.0	33.0
2002.0	1.0	98.0	10.0	260.0	279.0	214.0	117.0	19.0	1.0
Женщины									
1989.0	...	80.0	8.0	242.0	107.0	189.0	213.0	133.0	28.0
2002.0	1.0	170.0	14.0	410.0	161.0	161.0	72.0	9.0	1.0
Тверская область									
Городское и сельское население									
1989.0	...	116.0	11.0	263.0	174.0	186.0	147.0	92.0	11.0
2002.0	3.0	187.0	23.0	398.0	174.0	148.0	57.0	9.0	-
Мужчины									
1989.0	...	108.0	10.0	198.0	221.0	194.0	151.0	107.0	11.0
2002.0	3.0	170.0	21.0	338.0	218.0	164.0	71.0	13.0	1.0
Женщины									
1989.0	...	124.0	11.0	332.0	124.0	179.0	143.0	76.0	11.0
2002.0	3.0	203.0	24.0	458.0	132.0	131.0	42.0	6.0	-
Городское население									
1989.0	...	138.0	12.0	283.0	162.0	199.0	130.0	69.0	7.0
2002.0	4.0	213.0	25.0	411.0	151.0	147.0	42.0	6.0	-
Мужчины									
1989.0	...	134.0	12.0	223.0	204.0	210.0	135.0	76.0	6.0
2002.0	4.0	200.0	25.0	360.0	186.0	163.0	53.0	8.0	-
Женщины									
1989.0	...	142.0	12.0	343.0	121.0	188.0	124.0	61.0	9.0
2002.0	3.0	225.0	26.0	459.0	119.0	130.0	32.0	5.0	-
Сельское население									
1989.0	...	51.0	7.0	202.0	210.0	148.0	200.0	161.0	21.0
2002.0	1.0	90.0	13.0	350.0	260.0	152.0	110.0	22.0	1.0
Мужчины									
1989.0	...	40.0	6.0	131.0	268.0	149.0	193.0	191.0	22.0
2002.0	1.0	69.0	10.0	263.0	327.0	167.0	131.0	30.0	2.0
Женщины									
1989.0	...	65.0	9.0	293.0	135.0	147.0	208.0	124.0	19.0
2002.0	1.0	114.0	15.0	452.0	184.0	135.0	86.0	12.0	1.0
Тульская область									
Городское и сельское население									
1989.0	...	124.0	9.0	235.0	149.0	202.0	170.0	97.0	14.0
2002.0	3.0	205.0	23.0	377.0	148.0	171.0	62.0	10.0	-
Мужчины									
1989.0	...	114.0	9.0	179.0	198.0	207.0	171.0	110.0	12.0
2002.0	4.0	183.0	22.0	332.0	185.0	185.0	76.0	12.0	-
Женщины									
1989.0	...	134.0	9.0	292.0	99.0	196.0	169.0	85.0	16.0
2002.0	3.0	227.0	24.0	422.0	113.0	156.0	47.0	7.0	-
Городское население									
1989.0	...	138.0	10.0	247.0	147.0	207.0	156.0	82.0	13.0
2002.0	3.0	224.0	25.0	384.0	137.0	168.0	50.0	8.0	-
Мужчины									
