11. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ СЕВЕРА В  ВОЗРАСТЕ 15-64 ЛЕТ						
ПО ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ						
ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМНС						
						
	Мужчины и женщины		Мужчины		Женщины	
Экономически активные	24.0	61.6	15.0	83.3	9.0	42.9
в том числе:						
занятые в экономике	24.0	61.6	15.0	83.3	9.0	42.9
безработные	-	-	-	-	-	-
Экономически неактивные	13.0	33.3	3.0	16.7	10.0	47.6
 Не указавшие экономическую активность	2.0	5.1	-	-	2.0	9.5
КУМАНДИНЦЫ						
Территории преимущественного проживания КМНС						
 Все население	675.0	100.0	333.0	100.0	342.0	100.0
Экономически активные	321.0	47.6	166.0	49.8	155.0	45.3
в том числе:						
занятые в экономике	235.0	34.8	116.0	34.8	119.0	34.8
безработные	86.0	12.8	50.0	15.0	36.0	10.5
Экономически неактивные	354.0	52.4	167.0	50.2	187.0	54.7
 Не указавшие экономическую активность	-	-	-	-	-	-
Алтайский край						
 Все население	449.0	100.0	223.0	100.0	226.0	100.0
Экономически активные	232.0	51.7	126.0	56.5	106.0	46.9
в том числе:						
занятые в экономике	171.0	38.1	95.0	42.6	76.0	33.6
безработные	61.0	13.6	31.0	13.9	30.0	13.3
Экономически неактивные	217.0	48.3	97.0	43.5	120.0	53.1
 Не указавшие экономическую активность	-	-	-	-	-	-
Республика Алтай						
 Все население	218.0	100.0	106.0	100.0	112.0	100.0
Экономически активные	84.0	38.5	36.0	34.0	48.0	42.9
в том числе:						
занятые в экономике	60.0	27.5	18.0	17.0	42.0	37.5
безработные	24.0	11.0	18.0	17.0	6.0	5.4
Экономически неактивные	134.0	61.5	70.0	66.0	64.0	57.1
 Не указавшие экономическую активность	-	-	-	-	-	-
Кемеровская область						
 Все население	8.0	100.0	4.0	100.0	4.0	100.0
Экономически активные	5.0	62.5	4.0	100.0	1.0	25.0
в том числе:						
занятые в экономике	4.0	50.0	3.0	75.0	1.0	25.0
безработные	1.0	12.5	1.0	25.0	-	-
Экономически неактивные	3.0	37.5	-	-	3.0	75.0
 Не указавшие экономическую активность	-	-	-	-	-	-
МАНСИ						
Территории преимущественного проживания КМНС						
 Все население	4376.0	100.0	1944.0	100.0	2432.0	100.0
Экономически активные	2737.0	62.5	1191.0	61.3	1546.0	63.6
в том числе:						
занятые в экономике	2072.0	47.3	867.0	44.6	1205.0	49.6
безработные	665.0	15.2	324.0	16.7	341.0	14.0
Экономически неактивные	1525.0	34.9	715.0	36.8	810.0	33.3
 Не указавшие экономическую активность	114.0	2.6	38.0	1.9	76.0	3.1
Тюменская область						
 Все население	4323.0	100.0	1911.0	100.0	2412.0	100.0
Экономически активные	2733.0	63.2	1188.0	62.2	1545.0	64.1
в том числе:						
занятые в экономике	2070.0	47.9	866.0	45.3	1204.0	49.9
безработные	663.0	15.3	322.0	16.9	341.0	14.2
Экономически неактивные	1476.0	34.2	685.0	35.8	791.0	32.8
 Не указавшие экономическую активность	114.0	2.6	38.0	2.0	76.0	3.1
Ханты-Мансийский автономный округ – Югра						
 Все население	4236.0	100.0	1878.0	100.0	2358.0	100.0
Экономически активные	2673.0	63.1	1166.0	62.1	1507.0	63.9
в том числе:						
занятые в экономике	2017.0	47.6	846.0	45.1	1171.0	49.7
безработные	656.0	15.5	320.0	17.0	336.0	14.2
Экономически неактивные	1453.0	34.3	675.0	35.9	778.0	33.0
 Не указавшие экономическую активность	110.0	2.6	37.0	2.0	73.0	3.1
Свердловская область						
 Все население	53.0	100.0	33.0	100.0	20.0	100.0
Экономически активные	4.0	7.5	3.0	9.1	1.0	5.0
в том числе:						
занятые в экономике	2.0	3.7	1.0	3.0	1.0	5.0
безработные	2.0	3.8	2.0	6.1	-	-
Экономически неактивные	49.0	92.5	30.0	90.9	19.0	95.0
 Не указавшие экономическую активность	-	-	-	-	-	-
НАНАЙЦЫ						
Территории преимущественного проживания КМНС						
 Все население	5536.0	100.0	2614.0	100.0	2922.0	100.0
Экономически активные	2982.0	53.9	1363.0	52.2	1619.0	55.4
в том числе:						
занятые в экономике	2130.0	38.5	907.0	34.7	1223.0	41.9
безработные	852.0	15.4	456.0	17.5	396.0	13.5
Экономически неактивные	2469.0	44.6	1214.0	46.4	1255.0	43.0
 Не указавшие экономическую активность	85.0	1.5	37.0	1.4	48.0	1.6
Хабаровский край						
 Все население	5293.0	100.0	2507.0	100.0	2786.0	100.0
Экономически активные	2824.0	53.3	1290.0	51.5	1534.0	55.1
в том числе:						
занятые в экономике	2019.0	38.1	850.0	33.9	1169.0	42.0
безработные	805.0	15.2	440.0	17.6	365.0	13.1
Экономически неактивные	2386.0	45.1	1182.0	47.1	1204.0	43.2
 Не указавшие экономическую активность	83.0	1.6	35.0	1.4	48.0	1.7
Приморский край						
 Все население	188.0	100.0	86.0	100.0	102.0	100.0
Экономически активные	129.0	68.6	61.0	70.9	68.0	66.7
в том числе:						
занятые в экономике	91.0	48.4	49.0	57.0	42.0	41.2
безработные	38.0	20.2	12.0	13.9	26.0	25.5
Экономически неактивные	57.0	30.3	23.0	26.8	34.0	33.3
 Не указавшие экономическую активность	2.0	1.1	2.0	2.3	-	-
Сахалинская область						
 Все население	55.0	100.0	21.0	100.0	34.0	100.0
Экономически активные	29.0	52.7	12.0	57.1	17.0	50.0
в том числе:						
занятые в экономике	20.0	36.3	8.0	38.1	12.0	35.3
безработные	9.0	16.4	4.0	19.0	5.0	14.7
Экономически неактивные	26.0	47.3	9.0	42.9	17.0	50.0
 Не указавшие экономическую активность	-	-	-	-	-	-
НГАНАСАНЫ						
Красноярский край						
 Все население	488.0	100.0	211.0	100.0	277.0	100.0
Экономически активные	309.0	63.3	136.0	64.5	173.0	62.4
в том числе:						
занятые в экономике	205.0	42.0	79.0	37.5	126.0	45.5
безработные	104.0	21.3	57.0	27.0	47.0	16.9
Экономически неактивные	178.0	36.5	75.0	35.5	103.0	37.2
 Не указавшие экономическую активность	1.0	0.2	-	-	1.0	0.4
Таймырский (Долгано-Ненецкий) автономный округ						
 Все население	481.0	100.0	207.0	100.0	274.0	100.0
Экономически активные	303.0	63.0	132.0	63.8	171.0	62.4
в том числе:						
занятые в экономике	199.0	41.4	75.0	36.2	124.0	45.3
безработные	104.0	21.6	57.0	27.6	47.0	17.1
Экономически неактивные	177.0	36.8	75.0	36.2	102.0	37.2
 Не указавшие экономическую активность	1.0	0.2	-	-	1.0	0.4
НЕГИДАЛЬЦЫ						
Хабаровский край						
 Все население	277.0	100.0	130.0	100.0	147.0	100.0
Экономически активные	149.0	53.8	67.0	51.5	82.0	55.8
в том числе:						
занятые в экономике	107.0	38.6	42.0	32.3	65.0	44.2
безработные	42.0	15.2	25.0	19.2	17.0	11.6
Экономически неактивные	126.0	45.5	62.0	47.7	64.0	43.5
 Не указавшие экономическую активность	2.0	0.7	1.0	0.8	1.0	0.7
НЕНЦЫ						
Территории преимущественного проживания КМНС						
 Все население	21551.0	100.0	9839.0	100.0	11712.0	100.0
Экономически активные	12210.0	56.7	5901.0	60.0	6309.0	53.9
в том числе:						
занятые в экономике	10306.0	47.8	5058.0	51.4	5248.0	44.8
безработные	1904.0	8.9	843.0	8.6	1061.0	9.1
Экономически неактивные	9033.0	41.9	3834.0	39.0	5199.0	44.4
 Не указавшие экономическую активность	308.0	1.4	104.0	1.0	204.0	1.7
Ямало-Ненецкий автономный округ						
 Все население	14248.0	100.0	6496.0	100.0	7752.0	100.0
Экономически активные	7801.0	54.8	3894.0	60.0	3907.0	50.4
в том числе:						
занятые в экономике	6693.0	47.0	3423.0	52.7	3270.0	42.2
безработные	1108.0	7.8	471.0	7.3	637.0	8.2
Экономически неактивные	6169.0	43.3	2510.0	38.6	3659.0	47.2
 Не указавшие экономическую активность	278.0	1.9	92.0	1.4	186.0	2.4
Архангельская область						
Ненецкий автономный округ						
 Все население	4830.0	100.0	2247.0	100.0	2583.0	100.0
Экономически активные	3158.0	65.4	1480.0	65.9	1678.0	64.9
в том числе:						
занятые в экономике	2624.0	54.3	1214.0	54.0	1410.0	54.6
безработные	534.0	11.1	266.0	11.9	268.0	10.3
Экономически неактивные	1651.0	34.2	758.0	33.7	893.0	34.6
 Не указавшие экономическую активность	21.0	0.4	9.0	0.4	12.0	0.5
Таймырский (Долгано-Ненецкий) автономный округ						
 Все население	1780.0	100.0	784.0	100.0	996.0	100.0
Экономически активные	834.0	46.9	341.0	43.5	493.0	49.5
в том числе:						
занятые в экономике	658.0	37.0	278.0	35.5	380.0	38.2
безработные	176.0	9.9	63.0	8.0	113.0	11.3
Экономически неактивные	946.0	53.1	443.0	56.5	503.0	50.5
 Не указавшие экономическую активность	-	-	-	-	-	-
Ханты-Мансийский автономный округ – Югра						
 Все население	662.0	100.0	305.0	100.0	357.0	100.0
Экономически активные	399.0	60.3	181.0	59.3	218.0	61.1
в том числе:						
занятые в экономике	315.0	47.6	139.0	45.6	176.0	49.3
безработные	84.0	12.7	42.0	13.7	42.0	11.8
Экономически неактивные	256.0	38.7	121.0	39.7	135.0	37.8
 Не указавшие экономическую активность	7.0	1.0	3.0	1.0	4.0	1.1
Республика Коми						
 Все население	31.0	100.0	7.0	100.0	24.0	100.0
Экономически активные	18.0	58.1	5.0	71.4	13.0	54.2
в том числе:						
занятые в экономике	16.0	51.6	4.0	57.1	12.0	50.0
безработные	2.0	6.5	1.0	14.3	1.0	4.2
Экономически неактивные	11.0	35.5	2.0	28.6	9.0	37.5
 Не указавшие экономическую активность	2.0	6.4	-	-	2.0	8.3
НИВХИ						
Территории преимущественного проживания КМНС						
 Все население	2609.0	100.0	1195.0	100.0	1414.0	100.0
Экономически активные	1396.0	53.5	640.0	53.6	756.0	53.4
в том числе:						
занятые в экономике	983.0	37.7	444.0	37.2	539.0	38.1
безработные	413.0	15.8	196.0	16.4	217.0	15.3
Экономически неактивные	1200.0	46.0	550.0	46.0	650.0	46.0
 Не указавшие экономическую активность	13.0	0.5	5.0	0.4	8.0	0.6
Хабаровский край						
 Все население	1138.0	100.0	549.0	100.0	589.0	100.0
Экономически активные	619.0	54.4	295.0	53.7	324.0	55.0
в том числе:						
занятые в экономике	431.0	37.9	198.0	36.0	233.0	39.6
безработные	188.0	16.5	97.0	17.7	91.0	15.4
Экономически неактивные	514.0	45.2	252.0	45.9	262.0	44.5
 Не указавшие экономическую активность	5.0	0.4	2.0	0.4	3.0	0.5
Сахалинская область						
 Все население	1471.0	100.0	646.0	100.0	825.0	100.0
Экономически активные	777.0	52.8	345.0	53.4	432.0	52.4
в том числе:						
занятые в экономике	552.0	37.5	246.0	38.1	306.0	37.1
безработные	225.0	15.3	99.0	15.3	126.0	15.3
Экономически неактивные	686.0	46.6	298.0	46.1	388.0	47.0
 Не указавшие экономическую активность	8.0	0.6	3.0	0.5	5.0	0.6
ОРОЧИ						
Хабаровский край						
 Все население	209.0	100.0	96.0	100.0	113.0	100.0
Экономически активные	137.0	65.6	65.0	67.7	72.0	63.7
в том числе:						
занятые в экономике	112.0	53.6	53.0	55.2	59.0	52.2
безработные	25.0	12.0	12.0	12.5	13.0	11.5
Экономически неактивные	68.0	32.5	28.0	29.2	40.0	35.4
 Не указавшие экономическую активность	4.0	1.9	3.0	3.1	1.0	0.9
СААМЫ						
Мурманская область						
 Все население	874.0	100.0	416.0	100.0	458.0	100.0
Экономически активные	577.0	66.0	271.0	65.2	306.0	66.8
в том числе:						
занятые в экономике	417.0	47.7	193.0	46.4	224.0	48.9
безработные	160.0	18.3	78.0	18.8	82.0	17.9
Экономически неактивные	295.0	33.8	144.0	34.6	151.0	33.0
 Не указавшие экономическую активность	2.0	0.2	1.0	0.2	1.0	0.2
СЕЛЬКУПЫ						
Территории преимущественного проживания КМНС						
 Все население	2332.0	100.0	1103.0	100.0	1229.0	100.0
Экономически активные	1318.0	56.5	638.0	57.8	680.0	55.3
в том числе:						
занятые в экономике	920.0	39.4	447.0	40.5	473.0	38.5
безработные	398.0	17.1	191.0	17.3	207.0	16.8
Экономически неактивные	979.0	42.0	455.0	41.3	524.0	42.7
 Не указавшие экономическую активность	35.0	1.5	10.0	0.9	25.0	2.0
Тюменская область						
 Все население	1176.0	100.0	544.0	100.0	632.0	100.0
Экономически активные	692.0	58.8	327.0	60.1	365.0	57.8
в том числе:						
занятые в экономике	519.0	44.1	245.0	45.0	274.0	43.4
безработные	173.0	14.7	82.0	15.1	91.0	14.4
Экономически неактивные	468.0	39.8	212.0	39.0	256.0	40.5
 Не указавшие экономическую активность	16.0	1.4	5.0	0.9	11.0	1.7
Ямало-Ненецкий автономный округ						
 Все население	1172.0	100.0	543.0	100.0	629.0	100.0
Экономически активные	689.0	58.8	327.0	60.2	362.0	57.6
в том числе:						
занятые в экономике	518.0	44.2	245.0	45.1	273.0	43.4
безработные	171.0	14.6	82.0	15.1	89.0	14.2
Экономически неактивные	467.0	39.8	211.0	38.9	256.0	40.7
 Не указавшие экономическую активность	16.0	1.4	5.0	0.9	11.0	1.7
Томская область						
 Все население	952.0	100.0	467.0	100.0	485.0	100.0
Экономически активные	531.0	55.8	267.0	57.2	264.0	54.4
в том числе:						
занятые в экономике	314.0	33.0	159.0	34.1	155.0	31.9
безработные	217.0	22.8	108.0	23.1	109.0	22.5
Экономически неактивные	421.0	44.2	200.0	42.8	221.0	45.6
 Не указавшие экономическую активность	-	-	-	-	-	-
Красноярский край						
 Все население	204.0	100.0	92.0	100.0	112.0	100.0
Экономически активные	95.0	46.6	44.0	47.8	51.0	45.5
в том числе:						
занятые в экономике	87.0	42.7	43.0	46.7	44.0	39.3
безработные	8.0	3.9	1.0	1.1	7.0	6.2
Экономически неактивные	90.0	44.1	43.0	46.8	47.0	42.0
 Не указавшие экономическую активность	19.0	9.3	5.0	5.4	14.0	12.5
ТЕЛЕНГИТЫ						
Республика Алтай						
 Все население	4.0	100.0	1.0	100.0	3.0	100.0
Экономически активные	2.0	50.0	-	-	2.0	66.7
в том числе:						
занятые в экономике	2.0	50.0	-	-	2.0	66.7
безработные	-	-	-	-	-	-
Экономически неактивные	2.0	50.0	1.0	100.0	1.0	33.3
 Не указавшие экономическую активность	-	-	-	-	-	-
ТЕЛЕУТЫ						
Кемеровская область						
 Все население	972.0	100.0	448.0	100.0	524.0	100.0
Экономически активные	559.0	57.5	280.0	62.5	279.0	53.2
в том числе:						
занятые в экономике	459.0	47.2	227.0	50.7	232.0	44.3
безработные	100.0	10.3	53.0	11.8	47.0	8.9
Экономически неактивные	413.0	42.5	168.0	37.5	245.0	46.8
 Не указавшие экономическую активность	-	-	-	-	-	-
ТОФАЛАРЫ						
Иркутская область						
 Все население	447.0	100.0	222.0	100.0	225.0	100.0
Экономически активные	171.0	38.3	55.0	24.8	116.0	51.6
в том числе:						
занятые в экономике	86.0	19.3	29.0	13.1	57.0	25.4
безработные	85.0	19.0	26.0	11.7	59.0	26.2
Экономически неактивные	276.0	61.7	167.0	75.2	109.0	48.4
 Не указавшие экономическую активность	-	-	-	-	-	-
ТУБАЛАРЫ						
Республика Алтай						
 Все население	638.0	100.0	321.0	100.0	317.0	100.0
Экономически активные	289.0	45.3	142.0	44.2	147.0	46.4
в том числе:						
занятые в экономике	223.0	35.0	103.0	32.1	120.0	37.9
безработные	66.0	10.3	39.0	12.1	27.0	8.5
Экономически неактивные	349.0	54.7	179.0	55.8	170.0	53.6
 Не указавшие экономическую активность	-	-	-	-	-	-
ТУВИНЦЫ-ТОДЖИНЦЫ						
Республика Тыва						
 Все население	2822.0	100.0	1350.0	100.0	1472.0	100.0
Экономически активные	1104.0	39.1	498.0	36.9	606.0	41.2
в том числе:						
занятые в экономике	655.0	23.2	274.0	20.3	381.0	25.9
безработные	449.0	15.9	224.0	16.6	225.0	15.3
Экономически неактивные	1718.0	60.9	852.0	63.1	866.0	58.8
 Не указавшие экономическую активность	-	-	-	-	-	-
УДЭГЕЙЦЫ						
Территории преимущественного проживания КМНС						
 Все население	797.0	100.0	396.0	100.0	401.0	100.0
Экономически активные	486.0	61.0	225.0	56.8	261.0	65.1
в том числе:						
занятые в экономике	347.0	43.5	157.0	39.6	190.0	47.4
безработные	139.0	17.5	68.0	17.2	71.0	17.7
Экономически неактивные	305.0	38.3	166.0	41.9	139.0	34.7
 Не указавшие экономическую активность	6.0	0.7	5.0	1.3	1.0	0.2
Приморский край						
 Все население	525.0	100.0	273.0	100.0	252.0	100.0
Экономически активные	343.0	65.3	171.0	62.6	172.0	68.3
в том числе:						
занятые в экономике	231.0	44.0	109.0	39.9	122.0	48.4
безработные	112.0	21.3	62.0	22.7	50.0	19.9
Экономически неактивные	178.0	33.9	98.0	35.9	80.0	31.7
 Не указавшие экономическую активность	4.0	0.8	4.0	1.5	-	-
Хабаровский край						
 Все население	272.0	100.0	123.0	100.0	149.0	100.0
Экономически активные	143.0	52.6	54.0	43.9	89.0	59.7
в том числе:						
занятые в экономике	116.0	42.7	48.0	39.0	68.0	45.6
безработные	27.0	9.9	6.0	4.9	21.0	14.1
Экономически неактивные	127.0	46.7	68.0	55.3	59.0	39.6
 Не указавшие экономическую активность	2.0	0.7	1.0	0.8	1.0	0.7
УЛЬТА (ОРОКИ)						
Сахалинская область						
 Все население	195.0	100.0	96.0	100.0	99.0	100.0
Экономически активные	98.0	50.3	45.0	46.9	53.0	53.5
в том числе:						
занятые в экономике	66.0	33.9	29.0	30.2	37.0	37.4
безработные	32.0	16.4	16.0	16.7	16.0	16.1
Экономически неактивные	96.0	49.2	50.0	52.1	46.0	46.5
 Не указавшие экономическую активность	1.0	0.5	1.0	1.0	-	-
УЛЬЧИ						
Хабаровский край						
 Все население	1530.0	100.0	721.0	100.0	809.0	100.0
Экономически активные	818.0	53.5	352.0	48.8	466.0	57.6
в том числе:						
занятые в экономике	556.0	36.4	207.0	28.7	349.0	43.1
безработные	262.0	17.1	145.0	20.1	117.0	14.5
Экономически неактивные	703.0	45.9	367.0	50.9	336.0	41.5
 Не указавшие экономическую активность	9.0	0.6	2.0	0.3	7.0	0.9
ХАНТЫ						
Территории преимущественного проживания КМНС						
 Все население	13586.0	100.0	6101.0	100.0	7485.0	100.0
Экономически активные	8300.0	61.1	3791.0	62.1	4509.0	60.2
в том числе:						
занятые в экономике	6610.0	48.7	2944.0	48.2	3666.0	49.0
безработные	1690.0	12.4	847.0	13.9	843.0	11.2
Экономически неактивные	5145.0	37.9	2249.0	36.9	2896.0	38.7
 Не указавшие экономическую активность	141.0	1.0	61.0	1.0	80.0	1.1
Тюменская область						
 Все население	13134.0	100.0	5880.0	100.0	7254.0	100.0
Экономически активные	8052.0	61.3	3673.0	62.5	4379.0	60.4
в том числе:						
занятые в экономике	6470.0	49.3	2874.0	48.9	3596.0	49.6
безработные	1582.0	12.0	799.0	13.6	783.0	10.8
Экономически неактивные	4941.0	37.6	2146.0	36.5	2795.0	38.5
 Не указавшие экономическую активность	141.0	1.1	61.0	1.0	80.0	1.1
Ханты-Мансийский автономный округ – Югра						
 Все население	8137.0	100.0	3689.0	100.0	4448.0	100.0
Экономически активные	4689.0	57.6	2182.0	59.1	2507.0	56.4
в том числе:						
занятые в экономике	3701.0	45.5	1650.0	44.7	2051.0	46.1
безработные	988.0	12.1	532.0	14.4	456.0	10.3
Экономически неактивные	3337.0	41.0	1459.0	39.6	1878.0	42.2
 Не указавшие экономическую активность	111.0	1.4	48.0	1.3	63.0	1.4
Ямало-Ненецкий автономный округ 						
 Все население	4943.0	100.0	2167.0	100.0	2776.0	100.0
Экономически активные	3326.0	67.3	1474.0	68.0	1852.0	66.7
в том числе:						
занятые в экономике	2732.0	55.3	1207.0	55.7	1525.0	54.9
безработные	594.0	12.0	267.0	12.3	327.0	11.8
Экономически неактивные	1595.0	32.3	684.0	31.6	911.0	32.8
 Не указавшие экономическую активность	22.0	0.4	9.0	0.4	13.0	0.5
Томская область						
 Все население	450.0	100.0	220.0	100.0	230.0	100.0
Экономически активные	247.0	54.9	118.0	53.6	129.0	56.1
в том числе:						
занятые в экономике	140.0	31.1	70.0	31.8	70.0	30.4
безработные	107.0	23.8	48.0	21.8	59.0	25.7
Экономически неактивные	203.0	45.1	102.0	46.4	101.0	43.9
 Не указавшие экономическую активность	-	-	-	-	-	-
Республика Коми						
 Все население	2.0	100.0	1.0	100.0	1.0	100.0
Экономически активные	1.0	50.0	-	-	1.0	100.0
в том числе:						
занятые в экономике	-	-	-	-	-	-
безработные	1.0	50.0	-	-	1.0	100.0
Экономически неактивные	1.0	50.0	1.0	100.0	-	-
 Не указавшие экономическую активность	-	-	-	-	-	-
ЧЕЛКАНЦЫ						
Республика Алтай						
 Все население	435.0	100.0	194.0	100.0	241.0	100.0
Экономически активные	229.0	52.6	86.0	44.3	143.0	59.3
в том числе:						
занятые в экономике	171.0	39.3	63.0	32.5	108.0	44.8
безработные	58.0	13.3	23.0	11.8	35.0	14.5
Экономически неактивные	206.0	47.4	108.0	55.7	98.0	40.7
 Не указавшие экономическую активность	-	-	-	-	-	-
ЧУВАНЦЫ						
Территории преимущественного проживания КМНС						
