4. ДЕТИ В ВОЗРАСТЕ 3-9 ЛЕТ ПО ОБУЧЕНИЮ В ДОШКОЛЬНЫХ И ОБЩЕОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЯХ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ					
					
					
	Всего	в том числе дети		На 1000 детей     соответствующего  возраста	
8.0	13004.0	12721.0	83.0	978.0	7.0
9.0	13269.0	13004.0	66.0	980.0	5.0
Городское население					
Дети в возрасте 3-9 лет	66809.0	60667.0	4414.0	908.0	66.0
в том числе в возрасте, лет:					
3.0	8800.0	7140.0	1314.0	812.0	149.0
4.0	8999.0	7671.0	1057.0	852.0	118.0
5.0	9186.0	7837.0	1019.0	853.0	111.0
6.0	9271.0	8221.0	799.0	887.0	86.0
7.0	9883.0	9585.0	116.0	970.0	12.0
8.0	10304.0	10059.0	66.0	976.0	7.0
9.0	10366.0	10154.0	43.0	980.0	4.0
Сельское население					
Дети в возрасте 3-9 лет	17459.0	14096.0	3016.0	807.0	173.0
в том числе в возрасте, лет:					
3.0	2239.0	1340.0	819.0	598.0	366.0
4.0	2247.0	1425.0	762.0	634.0	339.0
5.0	2345.0	1437.0	826.0	613.0	352.0
6.0	2454.0	1895.0	510.0	772.0	208.0
7.0	2571.0	2487.0	59.0	967.0	23.0
8.0	2700.0	2662.0	17.0	986.0	6.0
9.0	2903.0	2850.0	23.0	982.0	8.0
Воронежская область					
Все население					
Дети в возрасте 3-9 лет	137272.0	105171.0	29656.0	766.0	216.0
в том числе в возрасте, лет:					
3.0	17307.0	8650.0	8212.0	500.0	474.0
4.0	17872.0	9851.0	7648.0	551.0	428.0
5.0	18072.0	10273.0	7297.0	568.0	404.0
6.0	19362.0	13634.0	5350.0	705.0	276.0
7.0	20825.0	19981.0	607.0	960.0	29.0
8.0	21775.0	21229.0	320.0	975.0	15.0
9.0	22059.0	21553.0	222.0	977.0	10.0
Городское население					
Дети в возрасте 3-9 лет	80259.0	67767.0	10718.0	844.0	134.0
в том числе в возрасте, лет:					
3.0	10226.0	6664.0	3228.0	652.0	316.0
4.0	10470.0	7605.0	2580.0	726.0	247.0
5.0	10654.0	7979.0	2334.0	749.0	219.0
6.0	11260.0	9077.0	1937.0	806.0	172.0
7.0	12263.0	11768.0	313.0	960.0	25.0
8.0	12554.0	12177.0	197.0	970.0	16.0
9.0	12832.0	12497.0	129.0	974.0	10.0
Сельское население					
Дети в возрасте 3-9 лет	57013.0	37404.0	18938.0	656.0	332.0
в том числе в возрасте, лет:					
3.0	7081.0	1986.0	4984.0	280.0	704.0
4.0	7402.0	2246.0	5068.0	303.0	685.0
5.0	7418.0	2294.0	4963.0	309.0	669.0
6.0	8102.0	4557.0	3413.0	562.0	421.0
7.0	8562.0	8213.0	294.0	959.0	34.0
8.0	9221.0	9052.0	123.0	982.0	13.0
9.0	9227.0	9056.0	93.0	982.0	10.0
Ивановская область					
Все население					
Дети в возрасте 3-9 лет	61911.0	54949.0	5168.0	888.0	83.0
в том числе в возрасте, лет:					
3.0	8029.0	6301.0	1512.0	785.0	188.0
4.0	8280.0	6722.0	1325.0	812.0	160.0
5.0	8174.0	6618.0	1231.0	810.0	150.0
6.0	8489.0	7454.0	744.0	878.0	88.0
7.0	9077.0	8663.0	164.0	954.0	18.0
8.0	9511.0	9183.0	102.0	965.0	11.0
9.0	10351.0	10008.0	90.0	967.0	9.0
Городское население					
Дети в возрасте 3-9 лет	50731.0	45956.0	3173.0	906.0	62.0
в том числе в возрасте, лет:					
3.0	6671.0	5509.0	967.0	826.0	145.0
4.0	6788.0	5804.0	784.0	855.0	116.0
5.0	6749.0	5736.0	725.0	850.0	107.0
6.0	6940.0	6238.0	445.0	899.0	64.0
7.0	7441.0	7099.0	113.0	954.0	15.0
8.0	7780.0	7503.0	76.0	964.0	10.0
9.0	8362.0	8067.0	63.0	965.0	7.0
Сельское население					
Дети в возрасте 3-9 лет	11180.0	8993.0	1995.0	804.0	179.0
в том числе в возрасте, лет:					
3.0	1358.0	792.0	545.0	583.0	401.0
4.0	1492.0	918.0	541.0	615.0	363.0
5.0	1425.0	882.0	506.0	619.0	355.0
6.0	1549.0	1216.0	299.0	785.0	193.0
7.0	1636.0	1564.0	51.0	956.0	31.0
8.0	1731.0	1680.0	26.0	971.0	15.0
9.0	1989.0	1941.0	27.0	975.0	14.0
Калужская область					
Все население					
Дети в возрасте 3-9 лет	59485.0	49503.0	9302.0	832.0	156.0
в том числе в возрасте, лет:					
3.0	7707.0	4854.0	2700.0	630.0	350.0
4.0	8043.0	5512.0	2411.0	685.0	300.0
5.0	7893.0	5458.0	2318.0	691.0	294.0
6.0	8228.0	6596.0	1521.0	802.0	185.0
7.0	9004.0	8738.0	207.0	970.0	23.0
8.0	9204.0	9066.0	83.0	985.0	9.0
9.0	9406.0	9279.0	62.0	987.0	6.0
Городское население					
Дети в возрасте 3-9 лет	43276.0	37840.0	4938.0	874.0	114.0
в том числе в возрасте, лет:					
3.0	5653.0	4037.0	1500.0	714.0	265.0
4.0	5910.0	4534.0	1283.0	767.0	217.0
5.0	5722.0	4466.0	1177.0	780.0	206.0
6.0	6004.0	5127.0	789.0	854.0	131.0
7.0	6593.0	6447.0	107.0	978.0	16.0
8.0	6663.0	6580.0	44.0	987.0	7.0
9.0	6731.0	6649.0	38.0	988.0	6.0
Сельское население					
Дети в возрасте 3-9 лет	16209.0	11663.0	4364.0	720.0	269.0
в том числе в возрасте, лет:					
3.0	2054.0	817.0	1200.0	398.0	584.0
4.0	2133.0	978.0	1128.0	458.0	529.0
5.0	2171.0	992.0	1141.0	457.0	526.0
6.0	2224.0	1469.0	732.0	661.0	329.0
7.0	2411.0	2291.0	100.0	950.0	42.0
8.0	2541.0	2486.0	39.0	979.0	15.0
9.0	2675.0	2630.0	24.0	983.0	9.0
Костромская область					
Все население					
Дети в возрасте 3-9 лет	43333.0	38526.0	4269.0	889.0	99.0
в том числе в возрасте, лет:					
3.0	5837.0	4528.0	1218.0	776.0	209.0
4.0	5797.0	4648.0	1071.0	802.0	185.0
5.0	5909.0	4796.0	1021.0	812.0	173.0
6.0	5991.0	5159.0	742.0	861.0	124.0
7.0	6196.0	6026.0	105.0	973.0	17.0
8.0	6745.0	6624.0	63.0	982.0	9.0
9.0	6858.0	6745.0	49.0	984.0	7.0
Городское население					
Дети в возрасте 3-9 лет	28728.0	26533.0	1767.0	923.0	62.0
в том числе в возрасте, лет:					
3.0	3976.0	3345.0	554.0	841.0	139.0
4.0	3905.0	3396.0	442.0	870.0	113.0
5.0	3969.0	3512.0	389.0	885.0	98.0
6.0	3974.0	3602.0	300.0	906.0	76.0
7.0	4101.0	4014.0	35.0	979.0	8.0
8.0	4389.0	4313.0	29.0	983.0	6.0
9.0	4414.0	4351.0	18.0	986.0	4.0
Сельское население					
Дети в возрасте 3-9 лет	14605.0	11993.0	2502.0	821.0	171.0
в том числе в возрасте, лет:					
3.0	1861.0	1183.0	664.0	636.0	357.0
4.0	1892.0	1252.0	629.0	662.0	332.0
5.0	1940.0	1284.0	632.0	662.0	326.0
6.0	2017.0	1557.0	442.0	772.0	219.0
7.0	2095.0	2012.0	70.0	961.0	33.0
8.0	2356.0	2311.0	34.0	981.0	14.0
9.0	2444.0	2394.0	31.0	979.0	13.0
Курская область					
Все население					
Дети в возрасте 3-9 лет	76928.0	57940.0	18065.0	753.0	235.0
в том числе в возрасте, лет:					
3.0	9943.0	4750.0	4983.0	478.0	501.0
4.0	10292.0	5248.0	4908.0	510.0	477.0
5.0	10196.0	5337.0	4684.0	524.0	459.0
6.0	10883.0	7614.0	3119.0	700.0	286.0
7.0	11309.0	10981.0	242.0	971.0	21.0
8.0	12083.0	11931.0	78.0	988.0	6.0
9.0	12222.0	12079.0	51.0	988.0	4.0
Городское население					
Дети в возрасте 3-9 лет	45703.0	38946.0	6223.0	852.0	136.0
в том числе в возрасте, лет:					
3.0	6128.0	4111.0	1890.0	671.0	308.0
4.0	6286.0	4538.0	1661.0	722.0	264.0
5.0	6027.0	4488.0	1443.0	745.0	239.0
6.0	6462.0	5315.0	1070.0	823.0	165.0
7.0	6654.0	6516.0	91.0	979.0	14.0
8.0	7041.0	6951.0	41.0	987.0	6.0
9.0	7105.0	7027.0	27.0	989.0	4.0
Сельское население					
Дети в возрасте 3-9 лет	31225.0	18994.0	11842.0	608.0	379.0
в том числе в возрасте, лет:					
3.0	3815.0	639.0	3093.0	167.0	811.0
4.0	4006.0	710.0	3247.0	177.0	811.0
5.0	4169.0	849.0	3241.0	204.0	777.0
6.0	4421.0	2299.0	2049.0	520.0	463.0
7.0	4655.0	4465.0	151.0	959.0	33.0
8.0	5042.0	4980.0	37.0	988.0	7.0
9.0	5117.0	5052.0	24.0	987.0	5.0
Липецкая область					
Все население					
Дети в возрасте 3-9 лет	73261.0	59182.0	12978.0	808.0	177.0
в том числе в возрасте, лет:					
3.0	9219.0	5374.0	3628.0	583.0	393.0
4.0	9778.0	6128.0	3490.0	627.0	357.0
5.0	9761.0	6275.0	3281.0	643.0	336.0
6.0	10265.0	8005.0	2092.0	780.0	204.0
7.0	10836.0	10476.0	260.0	967.0	24.0
8.0	11644.0	11391.0	123.0	978.0	11.0
9.0	11758.0	11533.0	104.0	981.0	9.0
Городское население					
Дети в возрасте 3-9 лет	45476.0	39547.0	5079.0	869.0	112.0
в том числе в возрасте, лет:					
3.0	5800.0	4124.0	1518.0	711.0	262.0
4.0	6124.0	4723.0	1265.0	771.0	207.0
5.0	6219.0	4935.0	1129.0	793.0	182.0
6.0	6396.0	5410.0	867.0	846.0	135.0
7.0	6674.0	6444.0	150.0	966.0	22.0
8.0	7121.0	6931.0	82.0	973.0	12.0
9.0	7142.0	6980.0	68.0	977.0	10.0
Сельское население					
Дети в возрасте 3-9 лет	27785.0	19635.0	7899.0	707.0	284.0
в том числе в возрасте, лет:					
3.0	3419.0	1250.0	2110.0	366.0	617.0
4.0	3654.0	1405.0	2225.0	384.0	609.0
5.0	3542.0	1340.0	2152.0	378.0	608.0
6.0	3869.0	2595.0	1225.0	671.0	316.0
7.0	4162.0	4032.0	110.0	969.0	26.0
8.0	4523.0	4460.0	41.0	986.0	9.0
9.0	4616.0	4553.0	36.0	986.0	8.0
Московская область					
Все население					
Дети в возрасте 3-9 лет	357718.0	305923.0	37098.0	855.0	104.0
в том числе в возрасте, лет:					
3.0	47270.0	32608.0	12032.0	690.0	254.0
4.0	48255.0	36761.0	9143.0	762.0	189.0
5.0	49416.0	38517.0	8305.0	779.0	168.0
6.0	51222.0	43204.0	5808.0	843.0	114.0
7.0	53807.0	51213.0	940.0	952.0	17.0
8.0	53559.0	51437.0	495.0	961.0	9.0
9.0	54189.0	52183.0	375.0	963.0	7.0
Городское население					
Дети в возрасте 3-9 лет	282076.0	241970.0	27040.0	858.0	96.0
в том числе в возрасте, лет:					
3.0	37269.0	25938.0	9024.0	696.0	242.0
4.0	38051.0	29426.0	6562.0	773.0	173.0
5.0	38884.0	30713.0	5902.0	790.0	152.0
6.0	40372.0	34294.0	4113.0	849.0	102.0
7.0	42676.0	40463.0	733.0	948.0	17.0
8.0	42323.0	40444.0	405.0	956.0	9.0
9.0	42501.0	40692.0	301.0	958.0	7.0
Сельское население					
Дети в возрасте 3-9 лет	75642.0	63953.0	10058.0	846.0	133.0
в том числе в возрасте, лет:					
3.0	10001.0	6670.0	3008.0	667.0	301.0
4.0	10204.0	7335.0	2581.0	719.0	253.0
5.0	10532.0	7804.0	2403.0	741.0	228.0
6.0	10850.0	8910.0	1695.0	821.0	156.0
7.0	11131.0	10750.0	207.0	965.0	19.0
8.0	11236.0	10993.0	90.0	978.0	8.0
9.0	11688.0	11491.0	74.0	983.0	6.0
Орловская область					
Все население					
Дети в возрасте 3-9 лет	52729.0	44089.0	7756.0	836.0	147.0
в том числе в возрасте, лет:					
3.0	6523.0	4084.0	2259.0	626.0	346.0
4.0	6849.0	4640.0	2060.0	677.0	301.0
5.0	6878.0	4727.0	1963.0	687.0	286.0
6.0	7454.0	5999.0	1316.0	804.0	177.0
7.0	7921.0	7757.0	100.0	979.0	13.0
8.0	8555.0	8447.0	28.0	987.0	3.0
9.0	8549.0	8435.0	30.0	987.0	3.0
Городское население					
Дети в возрасте 3-9 лет	31529.0	28656.0	2333.0	909.0	74.0
в том числе в возрасте, лет:					
3.0	3971.0	3074.0	796.0	774.0	201.0
4.0	4146.0	3473.0	595.0	838.0	143.0
5.0	4182.0	3546.0	519.0	848.0	124.0
6.0	4535.0	4076.0	371.0	899.0	82.0
7.0	4675.0	4602.0	35.0	984.0	8.0
8.0	5055.0	4987.0	7.0	986.0	2.0
9.0	4965.0	4898.0	10.0	987.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	21200.0	15433.0	5423.0	728.0	256.0
в том числе в возрасте, лет:					
3.0	2552.0	1010.0	1463.0	396.0	573.0
4.0	2703.0	1167.0	1465.0	432.0	542.0
5.0	2696.0	1181.0	1444.0	438.0	536.0
6.0	2919.0	1923.0	945.0	659.0	324.0
7.0	3246.0	3155.0	65.0	972.0	20.0
8.0	3500.0	3460.0	21.0	989.0	6.0
9.0	3584.0	3537.0	20.0	987.0	6.0
Рязанская область					
Все население					
Дети в возрасте 3-9 лет	68700.0	56004.0	11571.0	815.0	169.0
в том числе в возрасте, лет:					
3.0	8809.0	5279.0	3358.0	599.0	381.0
4.0	9163.0	5994.0	3009.0	654.0	328.0
5.0	9199.0	6151.0	2857.0	669.0	310.0
6.0	9649.0	7512.0	1966.0	778.0	204.0
7.0	10336.0	9982.0	225.0	966.0	22.0
8.0	10459.0	10226.0	78.0	978.0	7.0
9.0	11085.0	10860.0	78.0	980.0	7.0
Городское население					
Дети в возрасте 3-9 лет	46800.0	40661.0	5181.0	869.0	111.0
в том числе в возрасте, лет:					
3.0	6076.0	4263.0	1669.0	701.0	275.0
4.0	6307.0	4869.0	1309.0	772.0	208.0
5.0	6356.0	5031.0	1172.0	792.0	184.0
6.0	6589.0	5636.0	819.0	856.0	124.0
7.0	7069.0	6838.0	114.0	967.0	16.0
8.0	7012.0	6819.0	48.0	972.0	7.0
9.0	7391.0	7205.0	50.0	975.0	7.0
Сельское население					
Дети в возрасте 3-9 лет	21900.0	15343.0	6390.0	700.0	292.0
в том числе в возрасте, лет:					
3.0	2733.0	1016.0	1689.0	372.0	618.0
4.0	2856.0	1125.0	1700.0	394.0	595.0
5.0	2843.0	1120.0	1685.0	394.0	593.0
6.0	3060.0	1876.0	1147.0	613.0	375.0
7.0	3267.0	3144.0	111.0	962.0	34.0
8.0	3447.0	3407.0	30.0	988.0	9.0
9.0	3694.0	3655.0	28.0	989.0	8.0
Смоленская область					
Все население					
Дети в возрасте 3-9 лет	58545.0	48465.0	9043.0	828.0	154.0
в том числе в возрасте, лет:					
3.0	7130.0	4607.0	2343.0	646.0	329.0
4.0	7564.0	5032.0	2384.0	665.0	315.0
5.0	7819.0	5360.0	2290.0	685.0	293.0
6.0	8189.0	6215.0	1739.0	759.0	212.0
7.0	9160.0	8870.0	172.0	968.0	19.0
8.0	9261.0	9103.0	71.0	983.0	8.0
9.0	9422.0	9278.0	44.0	985.0	5.0
Городское население					
Дети в возрасте 3-9 лет	41283.0	36669.0	3819.0	888.0	93.0
в том числе в возрасте, лет:					
3.0	5190.0	3920.0	1125.0	755.0	217.0
4.0	5360.0	4271.0	965.0	797.0	180.0
5.0	5545.0	4533.0	875.0	817.0	158.0
6.0	5722.0	4855.0	710.0	848.0	124.0
7.0	6473.0	6292.0	86.0	972.0	13.0
8.0	6425.0	6325.0	33.0	985.0	5.0
9.0	6568.0	6473.0	25.0	985.0	4.0
Сельское население					
Дети в возрасте 3-9 лет	17262.0	11796.0	5224.0	683.0	303.0
в том числе в возрасте, лет:					
3.0	1940.0	687.0	1218.0	354.0	628.0
4.0	2204.0	761.0	1419.0	345.0	644.0
5.0	2274.0	827.0	1415.0	364.0	622.0
6.0	2467.0	1360.0	1029.0	551.0	417.0
7.0	2687.0	2578.0	86.0	959.0	32.0
8.0	2836.0	2778.0	38.0	980.0	13.0
9.0	2854.0	2805.0	19.0	982.0	7.0
Тамбовская область					
Все население					
Дети в возрасте 3-9 лет	70812.0	53647.0	16252.0	758.0	229.0
в том числе в возрасте, лет:					
3.0	8810.0	4159.0	4488.0	472.0	509.0
4.0	9196.0	4744.0	4325.0	516.0	470.0
5.0	9229.0	4918.0	4152.0	533.0	450.0
6.0	10011.0	6869.0	2983.0	686.0	298.0
7.0	10570.0	10261.0	192.0	971.0	18.0
8.0	11306.0	11147.0	67.0	986.0	6.0
9.0	11690.0	11549.0	45.0	988.0	4.0
Городское население					
Дети в возрасте 3-9 лет	38991.0	33254.0	5207.0	852.0	134.0
в том числе в возрасте, лет:					
3.0	4922.0	3190.0	1639.0	648.0	333.0
4.0	5151.0	3725.0	1349.0	723.0	262.0
5.0	5107.0	3749.0	1262.0	734.0	247.0
6.0	5503.0	4594.0	819.0	835.0	149.0
7.0	5808.0	5660.0	83.0	975.0	14.0
8.0	6165.0	6075.0	31.0	985.0	5.0
9.0	6335.0	6261.0	24.0	988.0	4.0
Сельское население					
Дети в возрасте 3-9 лет	31821.0	20393.0	11045.0	641.0	347.0
в том числе в возрасте, лет:					
3.0	3888.0	969.0	2849.0	249.0	733.0
4.0	4045.0	1019.0	2976.0	252.0	736.0
5.0	4122.0	1169.0	2890.0	284.0	701.0
6.0	4508.0	2275.0	2164.0	505.0	480.0
7.0	4762.0	4601.0	109.0	966.0	23.0
8.0	5141.0	5072.0	36.0	987.0	7.0
9.0	5355.0	5288.0	21.0	987.0	4.0
Тверская область					
Все население					
Дети в возрасте 3-9 лет	82357.0	69307.0	11075.0	842.0	134.0
в том числе в возрасте, лет:					
3.0	10950.0	7551.0	3004.0	690.0	274.0
4.0	11294.0	8047.0	2880.0	713.0	255.0
5.0	11028.0	7894.0	2743.0	716.0	249.0
6.0	11414.0	9179.0	1932.0	804.0	169.0
7.0	12188.0	11710.0	299.0	961.0	24.0
8.0	12451.0	12164.0	129.0	977.0	10.0
9.0	13032.0	12762.0	88.0	979.0	7.0
Городское население					
Дети в возрасте 3-9 лет	59876.0	53199.0	5111.0	889.0	85.0
в том числе в возрасте, лет:					
3.0	8089.0	6324.0	1462.0	782.0	181.0
4.0	8273.0	6694.0	1284.0	809.0	155.0
5.0	8011.0	6550.0	1146.0	818.0	143.0
6.0	8356.0	7231.0	891.0	865.0	107.0
7.0	8884.0	8554.0	184.0	963.0	21.0
8.0	9023.0	8795.0	91.0	975.0	10.0
9.0	9240.0	9051.0	53.0	979.0	6.0
Сельское население					
Дети в возрасте 3-9 лет	22481.0	16108.0	5964.0	717.0	265.0
в том числе в возрасте, лет:					
3.0	2861.0	1227.0	1542.0	429.0	539.0
4.0	3021.0	1353.0	1596.0	448.0	528.0
5.0	3017.0	1344.0	1597.0	446.0	529.0
6.0	3058.0	1948.0	1041.0	637.0	340.0
7.0	3304.0	3156.0	115.0	955.0	35.0
8.0	3428.0	3369.0	38.0	983.0	11.0
9.0	3792.0	3711.0	35.0	979.0	9.0
Тульская область					
Все население					
Дети в возрасте 3-9 лет	89915.0	77810.0	11122.0	865.0	124.0
в том числе в возрасте, лет:					
3.0	11530.0	7926.0	3371.0	688.0	292.0
4.0	12023.0	9025.0	2875.0	751.0	239.0
5.0	11937.0	9160.0	2602.0	767.0	218.0
6.0	12383.0	10457.0	1791.0	844.0	145.0
7.0	13306.0	12955.0	254.0	974.0	19.0
8.0	14087.0	13850.0	134.0	983.0	10.0
9.0	14649.0	14437.0	95.0	986.0	6.0
Городское население					
Дети в возрасте 3-9 лет	71703.0	64281.0	6612.0	897.0	92.0
в том числе в возрасте, лет:					
3.0	9259.0	6894.0	2164.0	744.0	234.0
4.0	9602.0	7848.0	1647.0	817.0	172.0
5.0	9512.0	7943.0	1423.0	835.0	150.0
6.0	9934.0	8767.0	1061.0	882.0	107.0
7.0	10627.0	10387.0	160.0	978.0	15.0
8.0	11171.0	10994.0	96.0	984.0	9.0
9.0	11598.0	11448.0	61.0	987.0	5.0
Сельское население					
Дети в возрасте 3-9 лет	18212.0	13529.0	4510.0	743.0	248.0
в том числе в возрасте, лет:					
3.0	2271.0	1032.0	1207.0	454.0	532.0
4.0	2421.0	1177.0	1228.0	486.0	507.0
5.0	2425.0	1217.0	1179.0	502.0	486.0
6.0	2449.0	1690.0	730.0	690.0	298.0
7.0	2679.0	2568.0	94.0	959.0	35.0
8.0	2916.0	2856.0	38.0	980.0	13.0
9.0	3051.0	2989.0	34.0	980.0	11.0
Ярославская область					
Все население					
Дети в возрасте 3-9 лет	74051.0	67133.0	5971.0	906.0	81.0
в том числе в возрасте, лет:					
3.0	9799.0	7925.0	1687.0	809.0	172.0
