3. НАСЕЛЕНИЕ ПО НАЦИОНАЛЬНОСТИ И ВЛАДЕНИЮ РУССКИМ ЯЗЫКОМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ		
		
		
	Численность лиц соответствующей национальности	из них владеют русским языком
Румыны 	56.0	56.0
Русины 	1.0	1.0
Русские 	1403977.0	1401498.0
Казаки 	99.0	99.0
Поморы 	2.0	2.0
Рутульцы 	19.0	19.0
Саамы 	1.0	1.0
Сербы	24.0	24.0
Словаки	4.0	4.0
Табасараны 	141.0	139.0
Таджики 	332.0	326.0
Татары 	3391.0	3385.0
Татары сибирские 	4.0	4.0
Татары крымские 	13.0	13.0
Таты 	4.0	4.0
Тувинцы 	3.0	3.0
Турки 	3984.0	3770.0
Турки-месхетинцы	104.0	100.0
Туркмены 	189.0	189.0
Удины 	8.0	8.0
Удмурты 	328.0	328.0
Узбеки 	688.0	682.0
Уйгуры	21.0	21.0
Украинцы 	57846.0	57714.0
Ульчи 	1.0	1.0
Финны 	44.0	44.0
Французы	8.0	7.0
Хакасы 	14.0	14.0
Ханты 	5.0	5.0
Цахуры 	51.0	50.0
Цыгане 	1772.0	1719.0
Черкесы 	3.0	3.0
Чехи 	23.0	23.0
Чеченцы 	261.0	260.0
Чеченцы-аккинцы 	1.0	1.0
Чуваши 	718.0	718.0
Чукчи 	3.0	3.0
Шорцы 	12.0	12.0
Эвенки 	6.0	6.0
Эвены 	2.0	2.0
Эстонцы 	85.0	85.0
Юкагиры 	3.0	3.0
Якуты 	39.0	39.0
Японцы 	1.0	1.0
Лица других национальностей (не перечисленных выше)	114.0	102.0
Лица, не указавшие национальность в переписном листе 	6919.0	2471.0
Брянская область	1378941.0	1375967.0
Абхазы 	30.0	30.0
Аварцы 	122.0	119.0
Агулы 	22.0	22.0
Адыгейцы 	15.0	15.0
Азербайджанцы 	2376.0	2253.0
Алеуты 	2.0	2.0
Американцы	3.0	3.0
Арабы 	17.0	17.0
Армяне 	3618.0	3559.0
Ассирийцы 	46.0	46.0
Балкарцы 	10.0	10.0
Башкиры 	151.0	151.0
Белорусы 	7733.0	7719.0
Болгары	162.0	161.0
Буряты 	18.0	18.0
Венгры 	19.0	19.0
Вепсы 	2.0	2.0
Вьетнамцы 	15.0	14.0
Гагаузы	81.0	80.0
Греки 	87.0	87.0
Грузины 	752.0	744.0
Лазы 	2.0	2.0
Даргинцы 	133.0	133.0
Дунгане 	2.0	2.0
Евреи 	2339.0	2336.0
Евреи горские 	5.0	5.0
Езиды 	108.0	102.0
Ингуши 	114.0	112.0
Испанцы	4.0	4.0
Итальянцы	5.0	5.0
Ительмены 	2.0	2.0
Кабардинцы 	36.0	36.0
Казахи 	190.0	190.0
Калмыки 	18.0	18.0
Караимы 	1.0	1.0
Каракалпаки 	6.0	6.0
Карачаевцы 	15.0	15.0
Карелы 	50.0	50.0
Киргизы 	20.0	20.0
Китайцы 	11.0	11.0
Коми 	85.0	84.0
Коми-ижемцы 	3.0	3.0
Коми-пермяки	34.0	34.0
Корейцы 	113.0	113.0
Коряки 	2.0	2.0
Кубинцы	2.0	2.0
Кумыки 	105.0	103.0
Курды 	31.0	29.0
Лакцы 	51.0	51.0
Латыши 	126.0	126.0
Латгальцы 	2.0	2.0
Лезгины 	173.0	172.0
Литовцы 	146.0	146.0
Манси 	1.0	1.0
Марийцы 	118.0	118.0
Горные марийцы 	1.0	1.0
Лугово-восточные марийцы 	1.0	1.0
Молдаване 	1157.0	1148.0
Мордва 	217.0	217.0
Мордва-мокша 	2.0	2.0
Нанайцы 	1.0	1.0
Немцы 	569.0	569.0
Ненцы 	6.0	6.0
Ногайцы	13.0	13.0
Осетины 	147.0	147.0
Персы 	2.0	2.0
Поляки 	308.0	307.0
Пуштуны	11.0	11.0
Румыны 	23.0	23.0
Русские 	1328448.0	1327208.0
Казаки 	50.0	50.0
Рутульцы 	3.0	3.0
Сербы	21.0	20.0
Табасараны 	77.0	76.0
Таджики 	375.0	368.0
Талыши 	3.0	3.0
Татары 	1173.0	1172.0
Кряшены 	6.0	6.0
Татары крымские 	2.0	2.0
Телеуты 	1.0	1.0
Тувинцы 	1.0	1.0
Турки 	19.0	17.0
Туркмены 	51.0	51.0
Удины 	1.0	1.0
Удмурты 	126.0	126.0
Узбеки 	369.0	368.0
Уйгуры	2.0	2.0
Украинцы 	20214.0	20164.0
Финны 	12.0	11.0
Французы	1.0	1.0
Хакасы 	5.0	5.0
Ханты 	1.0	1.0
Цахуры 	8.0	8.0
Цыгане 	3572.0	3474.0
Черкесы 	6.0	6.0
Чехи 	19.0	19.0
Чеченцы 	273.0	272.0
Чуваши 	355.0	355.0
Чукчи 	1.0	1.0
Эвенки 	1.0	1.0
Эвены 	1.0	1.0
Эстонцы 	54.0	54.0
Якуты 	20.0	20.0
Лица других национальностей (не перечисленных выше)	94.0	94.0
Лица, не указавшие национальность в переписном листе 	1851.0	517.0
Владимирская область	1523990.0	1507955.0
Абазины 	4.0	4.0
Абхазы 	20.0	20.0
Аварцы 	333.0	327.0
Дидойцы 	4.0	4.0
Агулы 	10.0	10.0
Адыгейцы 	22.0	22.0
Азербайджанцы 	3090.0	2964.0
Алеуты 	1.0	1.0
Алтайцы 	8.0	8.0
Американцы	17.0	8.0
Англичане	2.0	2.0
Арабы 	75.0	71.0
Арабы среднеазиатские 	2.0	2.0
Армяне 	4999.0	4932.0
Ассирийцы 	48.0	48.0
Балкарцы 	18.0	18.0
Башкиры 	724.0	722.0
Белорусы 	5682.0	5668.0
Болгары	160.0	159.0
Буряты 	62.0	61.0
Венгры 	19.0	18.0
Вепсы 	3.0	3.0
Вьетнамцы 	86.0	69.0
Гагаузы	173.0	173.0
Греки 	250.0	247.0
Грузины 	1044.0	1019.0
Мегрелы 	8.0	8.0
Даргинцы 	234.0	232.0
Долганы 	2.0	2.0
Дунгане 	2.0	2.0
Евреи 	718.0	718.0
Евреи горские 	25.0	24.0
Езиды 	174.0	167.0
Ингуши 	97.0	97.0
Индийцы хиндиязычные 	13.0	13.0
Испанцы	10.0	10.0
Итальянцы	3.0	3.0
Кабардинцы 	61.0	60.0
Казахи 	388.0	387.0
Калмыки 	27.0	27.0
Камчадалы 	2.0	2.0
Каракалпаки 	4.0	4.0
Карачаевцы 	24.0	23.0
Карелы 	86.0	84.0
Киргизы 	105.0	102.0
Китайцы 	84.0	60.0
Коми 	248.0	248.0
Коми-пермяки	364.0	361.0
Корейцы 	432.0	429.0
Коряки 	4.0	4.0
Крымчаки 	2.0	2.0
Кубинцы	15.0	15.0
Кумыки 	115.0	114.0
Курды 	21.0	20.0
Лакцы 	68.0	68.0
Латыши 	119.0	119.0
Латгальцы 	3.0	3.0
Лезгины 	440.0	435.0
Литовцы 	214.0	212.0
Манси 	4.0	4.0
Марийцы 	1010.0	993.0
Горные марийцы 	2.0	2.0
Лугово-восточные марийцы 	75.0	75.0
Молдаване 	2079.0	2059.0
Монголы 	10.0	10.0
Мордва 	3570.0	3521.0
Мордва-мокша 	8.0	8.0
Мордва-эрзя	9.0	9.0
Нагайбаки 	2.0	2.0
Нанайцы 	4.0	4.0
Немцы 	1435.0	1431.0
Ненцы 	5.0	5.0
Ногайцы	2.0	2.0
Орочи 	2.0	2.0
Осетины 	256.0	255.0
Персы 	22.0	22.0
Поляки 	410.0	408.0
Пуштуны	23.0	22.0
Румыны 	29.0	29.0
Русские 	1443857.0	1441335.0
Казаки 	85.0	85.0
Рутульцы 	62.0	62.0
Саамы 	2.0	2.0
Сербы	25.0	25.0
Словаки	4.0	4.0
Табасараны 	79.0	79.0
Таджики 	520.0	515.0
Тазы 	1.0	1.0
Талыши 	8.0	8.0
Татары 	8670.0	8621.0
Кряшены 	1.0	1.0
Татары сибирские 	5.0	5.0
Татары крымские 	16.0	15.0
Таты 	8.0	8.0
Тувинцы 	27.0	27.0
Турки 	37.0	31.0
Туркмены 	190.0	187.0
Удины 	51.0	51.0
Удмурты 	959.0	958.0
Узбеки 	798.0	785.0
Уйгуры	13.0	13.0
Украинцы 	16755.0	16707.0
Финны 	43.0	43.0
Хакасы 	19.0	19.0
Ханты 	10.0	10.0
Цахуры 	4.0	4.0
Цыгане 	2251.0	2168.0
Цыгане среднеазиатские 	8.0	3.0
Черкесы 	5.0	5.0
Чехи 	17.0	17.0
Чеченцы 	354.0	349.0
Чеченцы-аккинцы 	4.0	4.0
Чуванцы 	1.0	1.0
Чуваши 	2334.0	2328.0
Чукчи 	7.0	7.0
Шорцы 	13.0	13.0
Эвенки 	7.0	7.0
Эвены 	3.0	3.0
Эскимосы 	1.0	1.0
Эстонцы 	74.0	74.0
Якуты 	21.0	21.0
Японцы 	1.0	1.0
Лица других национальностей (не перечисленных выше)	284.0	274.0
Лица, не указавшие национальность в переписном листе 	16635.0	3784.0
Воронежская область	2378803.0	2363357.0
Абазины 	12.0	12.0
Абхазы 	121.0	121.0
Аварцы 	481.0	460.0
Андийцы 	3.0	3.0
Каратинцы 	1.0	1.0
Агулы 	76.0	76.0
Адыгейцы 	24.0	24.0
Азербайджанцы 	4177.0	3996.0
Алеуты 	1.0	1.0
Алтайцы 	7.0	7.0
Американцы	2.0	2.0
Англичане	6.0	6.0
Арабы 	325.0	311.0
Арабы среднеазиатские 	2.0	2.0
Армяне 	8813.0	8667.0
Ассирийцы 	95.0	95.0
Балкарцы 	21.0	21.0
Башкиры 	400.0	399.0
Белорусы 	5013.0	5000.0
Болгары	250.0	249.0
Буряты 	50.0	50.0
Венгры 	36.0	36.0
Вепсы 	5.0	5.0
Вьетнамцы 	140.0	114.0
Гагаузы	185.0	183.0
Греки 	450.0	447.0
Грузины 	1704.0	1680.0
Аджарцы 	1.0	1.0
Лазы 	32.0	30.0
Мегрелы 	6.0	6.0
Сваны	1.0	1.0
Даргинцы 	526.0	517.0
Долганы 	1.0	1.0
Дунгане 	13.0	13.0
Евреи 	1475.0	1471.0
Евреи горские 	43.0	43.0
Евреи среднеазиатские 	2.0	2.0
Езиды 	321.0	306.0
Ингуши 	218.0	217.0
Индийцы хиндиязычные 	11.0	11.0
Испанцы	10.0	10.0
Итальянцы	5.0	4.0
Ительмены 	1.0	1.0
Кабардинцы 	83.0	83.0
Казахи 	378.0	375.0
Калмыки 	38.0	38.0
Караимы 	5.0	5.0
Каракалпаки 	13.0	13.0
Карачаевцы 	103.0	103.0
Карелы 	57.0	57.0
Киргизы 	105.0	105.0
Китайцы 	151.0	130.0
Коми 	141.0	140.0
Коми-пермяки	77.0	77.0
Корейцы 	499.0	488.0
Коряки 	6.0	6.0
Крымчаки 	2.0	2.0
Кубинцы	12.0	11.0
Кумандинцы 	2.0	2.0
Кумыки 	207.0	205.0
Курды 	324.0	311.0
Лакцы 	70.0	69.0
Латыши 	139.0	139.0
Латгальцы 	2.0	2.0
Лезгины 	546.0	540.0
Литовцы 	225.0	225.0
Манси 	3.0	3.0
Марийцы 	336.0	336.0
Горные марийцы 	14.0	14.0
Лугово-восточные марийцы 	3.0	3.0
Молдаване 	1400.0	1389.0
Мордва 	1217.0	1217.0
Мордва-мокша 	33.0	33.0
Мордва-эрзя	2.0	2.0
Нагайбаки 	6.0	6.0
Нанайцы 	1.0	1.0
Негидальцы 	1.0	1.0
Немцы 	1958.0	1955.0
Ненцы 	6.0	6.0
Нивхи	1.0	1.0
Ногайцы	88.0	87.0
Орочи 	1.0	1.0
Осетины 	789.0	780.0
Персы 	26.0	26.0
Поляки 	539.0	538.0
Пуштуны	59.0	58.0
Румыны 	59.0	58.0
Русины 	1.0	1.0
Русские 	2239524.0	2232042.0
Казаки 	256.0	256.0
Рутульцы 	7.0	7.0
Саамы 	1.0	1.0
Сербы	25.0	25.0
Словаки	9.0	9.0
Табасараны 	394.0	385.0
Таджики 	802.0	785.0
Талыши 	8.0	7.0
Татары 	3486.0	3475.0
Астраханские татары 	2.0	2.0
Кряшены 	1.0	1.0
Татары сибирские 	6.0	6.0
Татары крымские 	15.0	15.0
Таты 	1.0	1.0
Тофалары 	1.0	1.0
Тувинцы 	7.0	7.0
Турки 	3436.0	3216.0
Турки-месхетинцы	88.0	87.0
Туркмены 	221.0	221.0
Удины 	1.0	1.0
Удмурты 	313.0	313.0
Удэгейцы 	1.0	1.0
Узбеки 	977.0	968.0
Уйгуры	19.0	19.0
Украинцы 	73716.0	73576.0
Финны 	33.0	33.0
Французы	10.0	9.0
Хакасы 	12.0	12.0
Ханты 	3.0	3.0
Хемшилы 	281.0	277.0
Цахуры 	23.0	22.0
Цыгане 	4779.0	4680.0
Цыгане среднеазиатские 	1.0	1.0
Черкесы 	36.0	36.0
Чехи 	26.0	26.0
Чеченцы 	1815.0	1753.0
Чеченцы-аккинцы 	4.0	4.0
Чуваши 	1705.0	1699.0
Чукчи 	12.0	12.0
Шорцы 	5.0	5.0
Эвенки 	5.0	5.0
Эвены 	1.0	1.0
Эскимосы 	1.0	1.0
Эстонцы 	95.0	95.0
Якуты 	36.0	35.0
Японцы 	2.0	1.0
Лица других национальностей (не перечисленных выше)	317.0	277.0
Лица, не указавшие национальность в переписном листе 	11857.0	5064.0
Ивановская область	1148329.0	1115418.0
Абазины 	3.0	3.0
Абхазы 	23.0	23.0
Аварцы 	491.0	462.0
Андийцы 	1.0	1.0
Дидойцы 	12.0	12.0
Агулы 	59.0	58.0
Адыгейцы 	14.0	13.0
Азербайджанцы 	3166.0	2982.0
Американцы	9.0	8.0
Англичане	1.0	1.0
Арабы 	51.0	49.0
Армяне 	4012.0	3874.0
Ассирийцы 	42.0	42.0
Балкарцы 	30.0	30.0
Башкиры 	490.0	480.0
Белорусы 	3483.0	3432.0
Болгары	156.0	154.0
Буряты 	36.0	36.0
Венгры 	20.0	20.0
Вьетнамцы 	92.0	82.0
Гагаузы	104.0	103.0
Греки 	216.0	211.0
Грузины 	977.0	938.0
Аджарцы 	1.0	1.0
Лазы 	1.0	1.0
Мегрелы 	2.0	1.0
Даргинцы 	201.0	197.0
Евреи 	526.0	522.0
Евреи горские 	20.0	19.0
Езиды 	221.0	206.0
Ижорцы 	1.0	1.0
Ингуши 	203.0	199.0
Индийцы хиндиязычные 	3.0	3.0
Испанцы	7.0	7.0
Ительмены 	1.0	1.0
Кабардинцы 	79.0	75.0
Казахи 	324.0	321.0
Калмыки 	22.0	22.0
Камчадалы 	2.0	2.0
Каракалпаки 	11.0	10.0
Карачаевцы 	26.0	25.0
Карелы 	53.0	52.0
Киргизы 	62.0	60.0
Китайцы 	60.0	50.0
Коми 	191.0	191.0
Коми-пермяки	406.0	404.0
Корейцы 	196.0	194.0
Кубинцы	7.0	7.0
Кумыки 	117.0	113.0
Курды 	18.0	18.0
Лакцы 	119.0	114.0
Латыши 	101.0	101.0
Лезгины 	307.0	298.0
Литовцы 	160.0	157.0
Манси 	6.0	6.0
Марийцы 	830.0	823.0
Горные марийцы 	10.0	10.0
Лугово-восточные марийцы 	49.0	49.0
Молдаване 	1246.0	1208.0
Монголы 	44.0	41.0
Мордва 	1948.0	1925.0
Мордва-мокша 	6.0	6.0
Мордва-эрзя	8.0	8.0
Нанайцы 	1.0	1.0
Нганасаны 	2.0	2.0
Немцы 	861.0	855.0
Ненцы 	4.0	4.0
Нивхи	2.0	2.0
Ногайцы	18.0	18.0
Осетины 	210.0	210.0
Персы 	26.0	25.0
Поляки 	285.0	282.0
Пуштуны	147.0	133.0
Румыны 	55.0	52.0
Русины 	2.0	2.0
Русские 	1075815.0	1065377.0
Казаки 	86.0	86.0
Поморы 	11.0	11.0
Рутульцы 	20.0	19.0
Сербы	3.0	3.0
Словаки	2.0	2.0
Табасараны 	453.0	434.0
Таджики 	325.0	319.0
Татары 	8205.0	8078.0
Кряшены 	2.0	2.0
Татары сибирские 	1.0	1.0
Татары крымские 	11.0	11.0
Таты 	4.0	3.0
Тувинцы 	15.0	15.0
Турки 	21.0	20.0
Турки-месхетинцы	1.0	1.0
Туркмены 	133.0	132.0
Удины 	81.0	77.0
Удмурты 	495.0	493.0
Узбеки 	698.0	682.0
Уйгуры	14.0	14.0
Украинцы 	10629.0	10486.0
Ульчи 	1.0	1.0
Финны 	24.0	24.0
Французы	6.0	6.0
Хакасы 	12.0	12.0
Ханты 	4.0	4.0
Цахуры 	28.0	27.0
Цыгане 	2031.0	1969.0
Цыгане среднеазиатские 	14.0	-
Черкесы 	17.0	17.0
Чехи 	8.0	8.0
Чеченцы 	633.0	590.0
Чуванцы 	1.0	1.0
Чуваши 	1648.0	1638.0
Чукчи 	2.0	2.0
Шорцы 	4.0	4.0
Эвенки 	8.0	8.0
Эвены 	2.0	2.0
Эскимосы 	3.0	3.0
Эстонцы 	61.0	60.0
Юкагиры 	5.0	5.0
Якуты 	20.0	18.0
Лица других национальностей (не перечисленных выше)	417.0	395.0
Лица, не указавшие национальность в переписном листе 	23849.0	2499.0
Калужская область	1041641.0	1038654.0
Абазины 	6.0	6.0
Абхазы 	64.0	64.0
Аварцы 	244.0	240.0
Агулы 	20.0	20.0
Адыгейцы 	18.0	18.0
Азербайджанцы 	3007.0	2907.0
Алтайцы 	9.0	9.0
Американцы	1.0	1.0
Англичане	4.0	3.0
Арабы 	10.0	10.0
Армяне 	7095.0	7011.0
Ассирийцы 	43.0	43.0
Балкарцы 	11.0	11.0
Башкиры 	451.0	451.0
Белорусы 	6609.0	6604.0
Бесермяне 	1.0	1.0
Болгары	200.0	200.0
Буряты 	35.0	35.0
Венгры 	18.0	17.0
Вепсы 	3.0	3.0
Вьетнамцы 	44.0	37.0
Гагаузы	323.0	323.0
Греки 	269.0	262.0
Грузины 	1071.0	1059.0
Ингилойцы 	6.0	6.0
Лазы 	1.0	1.0
Мегрелы 	2.0	2.0
Даргинцы 	456.0	454.0
Дунгане 	1.0	1.0
Евреи 	869.0	866.0
Евреи горские 	10.0	10.0
Езиды 	72.0	71.0
Ингуши 	234.0	234.0
Индийцы хиндиязычные 	6.0	5.0
Испанцы	8.0	8.0
Ительмены 	3.0	3.0
Кабардинцы 	84.0	84.0
Казахи 	378.0	375.0
Калмыки 	13.0	13.0
Камчадалы 	2.0	2.0
Караимы 	5.0	5.0
Каракалпаки 	14.0	14.0
Карачаевцы 	29.0	29.0
Карелы 	65.0	65.0
Киргизы 	48.0	48.0
Китайцы 	8.0	8.0
Коми 	114.0	114.0
Коми-ижемцы 	6.0	6.0
Коми-пермяки	93.0	93.0
Корейцы 	402.0	399.0
Коряки 	1.0	1.0
Крымчаки 	6.0	6.0
Кубинцы	3.0	3.0
Кумыки 	172.0	168.0
Курды 	66.0	63.0
Лакцы 	117.0	117.0
Латыши 	162.0	162.0
Лезгины 	644.0	638.0
Литовцы 	240.0	240.0
Манси 	5.0	5.0
Марийцы 	241.0	241.0
Горные марийцы 	4.0	4.0
Молдаване 	1443.0	1436.0
Монголы 	1.0	1.0
Мордва 	1413.0	1412.0
Мордва-мокша 	4.0	4.0
Мордва-эрзя	2.0	2.0
Нагайбаки 	3.0	3.0
Немцы 	1548.0	1546.0
Ненцы 	3.0	3.0
Нивхи	1.0	1.0
Ногайцы	78.0	78.0
Орочи 	1.0	1.0
Осетины 	420.0	420.0
Персы 	18.0	18.0
Поляки 	535.0	534.0
Пуштуны	14.0	14.0
Румыны 	100.0	84.0
Русины 	1.0	1.0
Русские 	973589.0	972648.0
Казаки 	72.0	72.0
Поморы 	1.0	1.0
Рутульцы 	27.0	27.0
Сербы	63.0	53.0
Словаки	1.0	1.0
Табасараны 	157.0	153.0
Таджики 	589.0	576.0
Талыши 	7.0	7.0
Татары 	4299.0	4294.0
Кряшены 	2.0	2.0
Татары сибирские 	2.0	2.0
Татары крымские 	14.0	14.0
Таты 	8.0	8.0
Тувинцы 	12.0	12.0
Тувинцы-тоджинцы 	1.0	1.0
Турки 	65.0	63.0
Туркмены 	188.0	187.0
Удины 	110.0	110.0
Удмурты 	304.0	303.0
Узбеки 	802.0	792.0
Уйгуры	22.0	22.0
Украинцы 	23162.0	23121.0
Ульта (ороки)	2.0	2.0
Финны 	34.0	34.0
Французы	2.0	2.0
Хакасы 	10.0	10.0
Ханты 	5.0	5.0
Хемшилы 	1.0	1.0
Цахуры 	14.0	12.0
Цыгане 	3187.0	3042.0
Черкесы 	12.0	12.0
Чехи 	47.0	47.0
Чеченцы 	466.0	458.0
Чеченцы-аккинцы 	4.0	4.0
Чуваши 	1108.0	1106.0
Чукчи 	2.0	2.0
Эвенки 	3.0	3.0
Эстонцы 	74.0	73.0
Якуты 	12.0	12.0
Лица других национальностей (не перечисленных выше)	58.0	57.0
Лица, не указавшие национальность в переписном листе 	3479.0	1953.0
Костромская область	736641.0	732199.0
Абхазы 	25.0	25.0
Аварцы 	243.0	238.0
Агулы 	12.0	12.0
Адыгейцы 	10.0	10.0
Азербайджанцы 	1438.0	1374.0
Алеуты 	1.0	1.0
Алтайцы 	4.0	4.0
Американцы	1.0	-
Англичане	1.0	1.0
Арабы 	10.0	10.0
Армяне 	1462.0	1449.0
Ассирийцы 	18.0	18.0
Балкарцы 	2.0	2.0
Башкиры 	203.0	203.0
Белорусы 	2354.0	2354.0
Болгары	69.0	69.0
Буряты 	25.0	25.0
Венгры 	21.0	21.0
Вьетнамцы 	88.0	78.0
Гагаузы	103.0	103.0
Греки 	125.0	123.0
Грузины 	546.0	539.0
Даргинцы 	274.0	267.0
Долганы 	1.0	1.0
Дунгане 	3.0	3.0
Евреи 	303.0	301.0
Евреи горские 	5.0	5.0
Езиды 	196.0	192.0
Ижорцы 	1.0	1.0
Ингуши 	345.0	343.0
Испанцы	3.0	3.0
Итальянцы	1.0	1.0
Ительмены 	2.0	2.0
Кабардинцы 	39.0	39.0
Казахи 	174.0	174.0
Калмыки 	8.0	8.0
Каракалпаки 	4.0	4.0
Карачаевцы 	17.0	17.0
Карелы 	36.0	35.0
Кеты 	5.0	5.0
Киргизы 	51.0	50.0
Китайцы 	49.0	46.0
Коми 	168.0	168.0
Коми-пермяки	49.0	49.0
Корейцы 	95.0	95.0
Кубинцы	1.0	1.0
Кумандинцы 	1.0	1.0
Кумыки 	78.0	77.0
Курды 	11.0	11.0
Лакцы 	30.0	30.0
Латыши 	63.0	63.0
Лезгины 	282.0	281.0
Литовцы 	125.0	124.0
Марийцы 	221.0	221.0
Горные марийцы 	2.0	2.0
Лугово-восточные марийцы 	15.0	15.0
Молдаване 	1036.0	1033.0
Монголы 	21.0	20.0
Мордва 	358.0	357.0
Мордва-мокша 	7.0	7.0
Мордва-эрзя	1.0	1.0
Нанайцы 	1.0	1.0
Немцы 	658.0	658.0
Ненцы 	4.0	4.0
Ногайцы	5.0	5.0
Осетины 	115.0	114.0
Персы 	7.0	7.0
Поляки 	213.0	212.0
Пуштуны	1.0	1.0
Румыны 	14.0	14.0
Русские 	704049.0	703062.0
Казаки 	28.0	28.0
Рутульцы 	27.0	26.0
Саамы 	2.0	2.0
Селькупы 	1.0	1.0
Сербы	8.0	8.0
Табасараны 	194.0	191.0
Таджики 	129.0	127.0
Талыши 	9.0	9.0
Татары 	2731.0	2722.0
Кряшены 	1.0	1.0
Татары крымские 	4.0	4.0
Тувинцы 	17.0	17.0
Турки 	41.0	38.0
Туркмены 	46.0	45.0
Удмурты 	222.0	221.0
Узбеки 	295.0	288.0
Уйгуры	9.0	9.0
Украинцы 	8011.0	8000.0
Ульчи 	2.0	2.0
Финны 	22.0	22.0
Французы	3.0	3.0
Хакасы 	3.0	3.0
Ханты 	4.0	4.0
Цахуры 	7.0	7.0
Цыгане 	1542.0	1493.0
Черкесы 	4.0	4.0
Чехи 	8.0	8.0
Чеченцы 	467.0	459.0
Чеченцы-аккинцы 	1.0	1.0
Чуванцы 	1.0	1.0
Чуваши 	943.0	943.0
Шорцы 	2.0	2.0
Эвенки 	3.0	3.0
Эскимосы 	1.0	1.0
Эстонцы 	43.0	43.0
Якуты 	10.0	10.0
Лица других национальностей (не перечисленных выше)	84.0	80.0
Лица, не указавшие национальность в переписном листе 	5862.0	2638.0
Курская область	1235091.0	1231685.0
Абазины 	5.0	5.0
Абхазы 	46.0	46.0
Аварцы 	211.0	210.0
Андийцы 	1.0	1.0
Агулы 	29.0	29.0
Адыгейцы 	17.0	17.0
Азербайджанцы 	1933.0	1884.0
Алеуты 	1.0	1.0
Алтайцы 	8.0	8.0
Американцы	7.0	7.0
Арабы 	164.0	150.0
Армяне 	5899.0	5810.0
Ассирийцы 	41.0	41.0
Балкарцы 	11.0	10.0
Башкиры 	177.0	177.0
Белорусы 	2878.0	2876.0
Болгары	252.0	251.0
Буряты 	25.0	25.0
Венгры 	28.0	28.0
Вепсы 	2.0	2.0
Вьетнамцы 	137.0	38.0
Гагаузы	101.0	101.0
Греки 	211.0	210.0
Грузины 	1042.0	1028.0
Лазы 	3.0	3.0
Мегрелы 	10.0	10.0
Даргинцы 	119.0	119.0
Дунгане 	1.0	1.0
Евреи 	877.0	877.0
Евреи горские 	11.0	11.0
Езиды 	717.0	687.0
Ингуши 	308.0	308.0
Индийцы хиндиязычные 	29.0	23.0
Испанцы	3.0	3.0
