2. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ  											
(на 1000 человек, занятых соответствующим видом экономической деятельности)											
											
											
	В возрасте,  лет										В трудоспособном возрасте
гостиницы и рестораны	64.0	192.0	162.0	133.0	115.0	120.0	94.0	74.0	31.0	15.0	985.0
транспорт и связь	12.0	90.0	127.0	135.0	140.0	173.0	149.0	111.0	44.0	19.0	981.0
финансовая деятельность	8.0	116.0	186.0	176.0	136.0	136.0	108.0	82.0	37.0	15.0	985.0
операции с недвижимым имуществом, аренда и предоставление услуг	19.0	121.0	139.0	120.0	116.0	138.0	131.0	116.0	59.0	41.0	959.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	11.0	149.0	194.0	175.0	150.0	138.0	86.0	57.0	26.0	14.0	986.0
образование	15.0	83.0	105.0	99.0	113.0	145.0	143.0	141.0	84.0	72.0	928.0
здравоохранение и предоставление социальных услуг	12.0	83.0	117.0	117.0	133.0	156.0	145.0	128.0	63.0	46.0	953.0
предоставление прочих коммунальных, социальных и персональных услуг	25.0	99.0	117.0	114.0	119.0	151.0	145.0	127.0	64.0	39.0	961.0
предоставление услуг по ведению домашнего хозяйства	27.0	104.0	135.0	120.0	131.0	155.0	136.0	110.0	56.0	26.0	973.0
деятельность экстерриториальных организаций	20.0	120.0	125.0	151.0	122.0	153.0	114.0	102.0	53.0	40.0	960.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	21.0	108.0	134.0	129.0	130.0	150.0	131.0	108.0	55.0	34.0	966.0
Женщины в возрасте 15-64 лет, занятые в экономике 	21.0	99.0	121.0	119.0	132.0	170.0	158.0	124.0	36.0	20.0	943.0
в том числе по видам экономической деятельности:											
сельское хозяйство, охота и лесное хозяйство	18.0	70.0	95.0	108.0	145.0	202.0	194.0	137.0	21.0	10.0	969.0
рыболовство, рыбоводство	16.0	83.0	108.0	101.0	128.0	178.0	185.0	142.0	37.0	22.0	941.0
добыча полезных ископаемых	7.0	65.0	99.0	104.0	135.0	203.0	198.0	143.0	32.0	14.0	954.0
обрабатывающие производства	19.0	89.0	104.0	101.0	125.0	178.0	181.0	147.0	39.0	17.0	944.0
производство и распределение электроэнергии, газа и воды	6.0	51.0	84.0	94.0	126.0	196.0	205.0	171.0	47.0	20.0	933.0
строительство	15.0	80.0	93.0	91.0	123.0	191.0	196.0	153.0	40.0	18.0	941.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	38.0	142.0	151.0	138.0	140.0	158.0	126.0	81.0	18.0	8.0	974.0
гостиницы и рестораны	49.0	131.0	119.0	111.0	125.0	164.0	151.0	110.0	27.0	13.0	960.0
транспорт и связь	14.0	76.0	102.0	110.0	131.0	185.0	184.0	147.0	35.0	16.0	949.0
финансовая деятельность	13.0	108.0	157.0	143.0	137.0	161.0	144.0	105.0	24.0	8.0	968.0
операции с недвижимым имуществом, аренда и предоставление услуг	17.0	99.0	108.0	100.0	118.0	162.0	166.0	144.0	52.0	34.0	914.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	20.0	105.0	126.0	121.0	137.0	176.0	153.0	113.0	34.0	15.0	950.0
образование	15.0	92.0	127.0	132.0	135.0	161.0	144.0	117.0	48.0	29.0	922.0
здравоохранение и предоставление социальных услуг	11.0	88.0	128.0	128.0	132.0	160.0	150.0	126.0	44.0	33.0	923.0
предоставление прочих коммунальных, социальных и персональных услуг	26.0	95.0	113.0	117.0	127.0	163.0	157.0	129.0	43.0	30.0	927.0
предоставление услуг по ведению домашнего хозяйства	38.0	97.0	93.0	98.0	121.0	178.0	171.0	140.0	39.0	25.0	935.0
деятельность экстерриториальных организаций	42.0	113.0	118.0	98.0	113.0	141.0	169.0	128.0	45.0	33.0	921.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	23.0	99.0	115.0	114.0	126.0	164.0	154.0	131.0	45.0	29.0	925.0
Городское население в возрасте 15-64 лет, занятое в экономике 	20.0	106.0	131.0	123.0	127.0	159.0	146.0	118.0	44.0	26.0	954.0
в том числе по видам экономической деятельности:											
сельское хозяйство, охота и лесное хозяйство	22.0	91.0	109.0	102.0	121.0	175.0	174.0	138.0	46.0	22.0	965.0
рыболовство, рыбоводство	9.0	81.0	128.0	134.0	146.0	173.0	154.0	115.0	39.0	21.0	973.0
добыча полезных ископаемых	8.0	84.0	122.0	116.0	130.0	186.0	174.0	127.0	37.0	16.0	976.0
обрабатывающие производства	20.0	101.0	117.0	104.0	115.0	159.0	162.0	141.0	52.0	29.0	953.0
производство и распределение электроэнергии, газа и воды	7.0	67.0	104.0	105.0	119.0	171.0	178.0	156.0	61.0	32.0	952.0
строительство	21.0	102.0	122.0	112.0	127.0	170.0	158.0	123.0	44.0	21.0	970.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	35.0	141.0	163.0	151.0	141.0	149.0	115.0	75.0	21.0	9.0	979.0
гостиницы и рестораны	51.0	144.0	128.0	115.0	120.0	152.0	139.0	106.0	30.0	15.0	962.0
транспорт и связь	13.0	85.0	120.0	127.0	134.0	173.0	159.0	125.0	44.0	20.0	969.0
финансовая деятельность	12.0	111.0	169.0	155.0	136.0	151.0	131.0	97.0	28.0	10.0	972.0
операции с недвижимым имуществом, аренда и предоставление услуг	18.0	111.0	127.0	112.0	116.0	146.0	144.0	128.0	58.0	40.0	936.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	15.0	129.0	168.0	155.0	145.0	151.0	112.0	79.0	30.0	16.0	970.0
образование	15.0	91.0	124.0	121.0	123.0	152.0	144.0	126.0	60.0	44.0	912.0
здравоохранение и предоставление социальных услуг	11.0	86.0	127.0	125.0	127.0	156.0	148.0	129.0	51.0	40.0	920.0
предоставление прочих коммунальных, социальных и персональных услуг	26.0	98.0	115.0	115.0	121.0	155.0	150.0	129.0	54.0	37.0	936.0
предоставление услуг по ведению домашнего хозяйства	32.0	98.0	107.0	106.0	123.0	171.0	160.0	131.0	46.0	26.0	947.0
деятельность экстерриториальных организаций	29.0	116.0	119.0	124.0	121.0	151.0	142.0	114.0	48.0	36.0	944.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	22.0	103.0	125.0	122.0	127.0	156.0	141.0	119.0	52.0	33.0	946.0
Мужчины в возрасте 15-64 лет, занятые в экономике 	20.0	111.0	139.0	128.0	126.0	151.0	135.0	111.0	50.0	29.0	971.0
в том числе по видам экономической деятельности:											
сельское хозяйство, охота и лесное хозяйство	24.0	97.0	115.0	107.0	121.0	170.0	163.0	129.0	50.0	24.0	976.0
рыболовство, рыбоводство	8.0	80.0	131.0	139.0	150.0	174.0	149.0	109.0	39.0	21.0	980.0
добыча полезных ископаемых	9.0	91.0	129.0	120.0	128.0	181.0	166.0	121.0	39.0	16.0	984.0
обрабатывающие производства	22.0	114.0	129.0	107.0	109.0	143.0	146.0	132.0	61.0	37.0	962.0
производство и распределение электроэнергии, газа и воды	8.0	75.0	114.0	111.0	116.0	160.0	165.0	148.0	67.0	36.0	963.0
строительство	23.0	108.0	130.0	118.0	128.0	164.0	148.0	115.0	45.0	21.0	979.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	32.0	139.0	178.0	170.0	145.0	137.0	98.0	65.0	25.0	11.0	989.0
гостиницы и рестораны	63.0	191.0	163.0	136.0	114.0	120.0	93.0	74.0	31.0	15.0	984.0
транспорт и связь	12.0	88.0	127.0	135.0	137.0	171.0	149.0	114.0	46.0	21.0	979.0
финансовая деятельность	8.0	114.0	186.0	179.0	137.0	136.0	106.0	82.0	37.0	15.0	985.0
операции с недвижимым имуществом, аренда и предоставление услуг	19.0	121.0	141.0	122.0	114.0	135.0	128.0	115.0	61.0	44.0	956.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	11.0	144.0	194.0	178.0	151.0	138.0	86.0	57.0	26.0	15.0	985.0
образование	16.0	82.0	103.0	94.0	103.0	137.0	140.0	145.0	93.0	87.0	913.0
здравоохранение и предоставление социальных услуг	12.0	81.0	119.0	119.0	131.0	153.0	142.0	127.0	66.0	50.0	950.0
предоставление прочих коммунальных, социальных и персональных услуг	26.0	100.0	119.0	115.0	118.0	148.0	142.0	126.0	65.0	41.0	958.0
предоставление услуг по ведению домашнего хозяйства	24.0	102.0	137.0	125.0	133.0	152.0	135.0	106.0	58.0	28.0	971.0
деятельность экстерриториальных организаций	20.0	118.0	123.0	147.0	127.0	156.0	116.0	103.0	52.0	38.0	962.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	21.0	107.0	133.0	130.0	130.0	150.0	130.0	108.0	56.0	35.0	965.0
Женщины в возрасте 15-64 лет, занятые в экономике 	21.0	100.0	122.0	118.0	128.0	166.0	157.0	126.0	39.0	23.0	938.0
в том числе по видам экономической деятельности:											
сельское хозяйство, охота и лесное хозяйство	16.0	80.0	96.0	93.0	120.0	186.0	198.0	155.0	37.0	19.0	943.0
рыболовство, рыбоводство	13.0	82.0	110.0	102.0	125.0	169.0	185.0	148.0	41.0	25.0	934.0
добыча полезных ископаемых	6.0	65.0	100.0	104.0	134.0	201.0	199.0	144.0	33.0	14.0	952.0
обрабатывающие производства	18.0	86.0	102.0	100.0	124.0	178.0	182.0	151.0	41.0	18.0	941.0
производство и распределение электроэнергии, газа и воды	6.0	51.0	84.0	94.0	124.0	194.0	205.0	172.0	49.0	21.0	929.0
строительство	14.0	79.0	93.0	91.0	123.0	191.0	195.0	154.0	41.0	19.0	939.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	38.0	142.0	153.0	139.0	139.0	156.0	125.0	81.0	18.0	9.0	973.0
гостиницы и рестораны	47.0	130.0	118.0	109.0	122.0	162.0	152.0	115.0	30.0	15.0	955.0
транспорт и связь	15.0	78.0	104.0	109.0	127.0	179.0	183.0	150.0	38.0	17.0	945.0
финансовая деятельность	13.0	110.0	162.0	145.0	136.0	157.0	141.0	103.0	25.0	8.0	967.0
операции с недвижимым имуществом, аренда и предоставление услуг	17.0	99.0	109.0	100.0	117.0	160.0	165.0	144.0	54.0	35.0	911.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	21.0	107.0	129.0	122.0	135.0	171.0	149.0	113.0	36.0	17.0	947.0
образование	15.0	92.0	128.0	127.0	127.0	156.0	145.0	122.0	53.0	35.0	912.0
здравоохранение и предоставление социальных услуг	11.0	86.0	129.0	126.0	127.0	157.0	149.0	129.0	48.0	38.0	914.0
предоставление прочих коммунальных, социальных и персональных услуг	26.0	96.0	113.0	115.0	123.0	159.0	156.0	132.0	46.0	34.0	920.0
предоставление услуг по ведению домашнего хозяйства	36.0	96.0	91.0	96.0	118.0	181.0	174.0	143.0	40.0	25.0	934.0
деятельность экстерриториальных организаций	41.0	112.0	115.0	98.0	114.0	145.0	172.0	127.0	43.0	33.0	923.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	22.0	98.0	115.0	113.0	125.0	163.0	154.0	133.0	47.0	30.0	923.0
Сельское население в возрасте 15-64 лет, занятое в экономике 	23.0	101.0	119.0	123.0	144.0	179.0	154.0	111.0	33.0	13.0	976.0
в том числе по видам экономической деятельности:											
сельское хозяйство, охота и лесное хозяйство	27.0	81.0	102.0	113.0	144.0	191.0	170.0	123.0	38.0	11.0	983.0
рыболовство, рыбоводство	26.0	105.0	116.0	120.0	143.0	180.0	154.0	106.0	35.0	15.0	980.0
добыча полезных ископаемых	10.0	89.0	113.0	123.0	150.0	197.0	167.0	113.0	29.0	9.0	987.0
обрабатывающие производства	34.0	132.0	129.0	113.0	127.0	166.0	149.0	108.0	30.0	12.0	980.0
производство и распределение электроэнергии, газа и воды	8.0	68.0	103.0	110.0	135.0	189.0	182.0	141.0	47.0	17.0	976.0
строительство	27.0	124.0	129.0	119.0	134.0	174.0	147.0	104.0	32.0	10.0	987.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	38.0	143.0	141.0	131.0	147.0	169.0	129.0	78.0	17.0	7.0	984.0
гостиницы и рестораны	55.0	141.0	130.0	118.0	135.0	167.0	141.0	88.0	17.0	8.0	979.0
транспорт и связь	12.0	89.0	117.0	131.0	151.0	192.0	161.0	107.0	30.0	10.0	984.0
финансовая деятельность	13.0	97.0	134.0	132.0	144.0	182.0	159.0	110.0	22.0	7.0	977.0
операции с недвижимым имуществом, аренда и предоставление услуг	18.0	111.0	118.0	108.0	127.0	166.0	160.0	127.0	44.0	21.0	967.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	12.0	139.0	162.0	146.0	148.0	161.0	119.0	80.0	24.0	9.0	980.0
образование	13.0	89.0	122.0	139.0	153.0	172.0	143.0	109.0	41.0	19.0	953.0
здравоохранение и предоставление социальных услуг	12.0	93.0	122.0	130.0	149.0	173.0	152.0	116.0	33.0	20.0	956.0
предоставление прочих коммунальных, социальных и персональных услуг	22.0	94.0	110.0	118.0	139.0	175.0	158.0	124.0	40.0	20.0	964.0
предоставление услуг по ведению домашнего хозяйства	51.0	113.0	120.0	106.0	132.0	161.0	143.0	118.0	35.0	21.0	965.0
деятельность экстерриториальных организаций	39.0	128.0	141.0	145.0	90.0	110.0	117.0	120.0	61.0	49.0	917.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	26.0	114.0	129.0	119.0	135.0	161.0	147.0	110.0	36.0	23.0	963.0
Мужчины в возрасте 15-64 лет, занятые в экономике 	25.0	107.0	123.0	122.0	139.0	172.0	147.0	109.0	42.0	14.0	985.0
в том числе по видам экономической деятельности:											
сельское хозяйство, охота и лесное хозяйство	31.0	88.0	106.0	114.0	141.0	183.0	159.0	118.0	47.0	13.0	986.0
рыболовство, рыбоводство	27.0	110.0	119.0	124.0	145.0	177.0	148.0	100.0	36.0	14.0	986.0
добыча полезных ископаемых	10.0	92.0	118.0	126.0	152.0	192.0	162.0	107.0	31.0	10.0	990.0
обрабатывающие производства	33.0	141.0	138.0	114.0	120.0	155.0	139.0	107.0	39.0	14.0	985.0
производство и распределение электроэнергии, газа и воды	9.0	72.0	108.0	114.0	133.0	182.0	175.0	137.0	52.0	18.0	982.0
строительство	27.0	128.0	135.0	123.0	135.0	172.0	140.0	98.0	33.0	9.0	990.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	32.0	141.0	150.0	139.0	144.0	160.0	122.0	77.0	26.0	9.0	990.0
гостиницы и рестораны	66.0	203.0	151.0	112.0	115.0	126.0	107.0	78.0	30.0	12.0	987.0
транспорт и связь	12.0	99.0	126.0	137.0	151.0	184.0	150.0	98.0	33.0	10.0	989.0
финансовая деятельность	7.0	135.0	189.0	149.0	123.0	138.0	125.0	84.0	35.0	15.0	985.0
операции с недвижимым имуществом, аренда и предоставление услуг	17.0	119.0	125.0	110.0	124.0	159.0	151.0	124.0	49.0	22.0	978.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	9.0	167.0	193.0	166.0	149.0	138.0	88.0	58.0	23.0	9.0	991.0
образование	12.0	86.0	109.0	111.0	136.0	166.0	150.0	132.0	62.0	36.0	964.0
здравоохранение и предоставление социальных услуг	12.0	90.0	110.0	107.0	137.0	169.0	156.0	131.0	54.0	34.0	965.0
предоставление прочих коммунальных, социальных и персональных услуг	22.0	94.0	109.0	107.0	124.0	166.0	158.0	135.0	59.0	26.0	974.0
предоставление услуг по ведению домашнего хозяйства	40.0	116.0	124.0	94.0	116.0	173.0	143.0	129.0	50.0	15.0	981.0
деятельность экстерриториальных организаций	25.0	140.0	140.0	194.0	74.0	124.0	88.0	94.0	58.0	63.0	937.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	25.0	119.0	137.0	120.0	131.0	157.0	141.0	107.0	40.0	23.0	976.0
Женщины в возрасте 15-64 лет, занятые в экономике 	22.0	94.0	115.0	124.0	149.0	186.0	162.0	113.0	24.0	11.0	965.0
в том числе по видам экономической деятельности:											
сельское хозяйство, охота и лесное хозяйство	19.0	68.0	95.0	111.0	150.0	206.0	193.0	134.0	17.0	7.0	974.0
рыболовство, рыбоводство	22.0	83.0	103.0	99.0	133.0	194.0	185.0	133.0	30.0	18.0	952.0
добыча полезных ископаемых	12.0	69.0	89.0	106.0	140.0	221.0	193.0	140.0	22.0	8.0	970.0
обрабатывающие производства	34.0	118.0	117.0	112.0	137.0	183.0	163.0	110.0	18.0	8.0	973.0
производство и распределение электроэнергии, газа и воды	5.0	53.0	83.0	96.0	140.0	215.0	210.0	156.0	30.0	12.0	957.0
строительство	28.0	96.0	93.0	92.0	127.0	192.0	195.0	141.0	25.0	11.0	964.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	42.0	143.0	137.0	127.0	149.0	173.0	132.0	78.0	13.0	6.0	981.0
гостиницы и рестораны	53.0	132.0	127.0	119.0	138.0	173.0	147.0	90.0	14.0	7.0	978.0
транспорт и связь	12.0	65.0	97.0	115.0	152.0	210.0	188.0	130.0	21.0	10.0	970.0
финансовая деятельность	14.0	88.0	121.0	128.0	149.0	192.0	168.0	116.0	19.0	5.0	975.0
операции с недвижимым имуществом, аренда и предоставление услуг	20.0	97.0	103.0	103.0	133.0	181.0	176.0	135.0	33.0	19.0	948.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	16.0	96.0	115.0	116.0	146.0	195.0	165.0	114.0	27.0	10.0	963.0
образование	13.0	90.0	125.0	146.0	158.0	174.0	141.0	103.0	36.0	14.0	950.0
здравоохранение и предоставление социальных услуг	12.0	94.0	125.0	135.0	151.0	174.0	151.0	113.0	28.0	17.0	955.0
предоставление прочих коммунальных, социальных и персональных услуг	23.0	93.0	111.0	125.0	149.0	182.0	159.0	116.0	27.0	15.0	958.0
предоставление услуг по ведению домашнего хозяйства	60.0	111.0	115.0	118.0	148.0	149.0	143.0	108.0	20.0	28.0	949.0
деятельность экстерриториальных организаций	51.0	117.0	143.0	100.0	104.0	98.0	143.0	143.0	64.0	37.0	900.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	29.0	107.0	118.0	117.0	140.0	168.0	156.0	112.0	30.0	23.0	946.0
