1. НАЦИОНАЛЬНЫЙ СОСТАВ НАСЕЛЕНИЯ									
									
									
	Городское и сельское население			Городское население			Сельское население		
Шапсуги	3231.0	1626.0	1605.0	810.0	417.0	393.0	2421.0	1209.0	1212.0
Шорцы (тадар-кижи с языком шорским, шор-кижи)	13975.0	6455.0	7520.0	9939.0	4524.0	5415.0	4036.0	1931.0	2105.0
Эвенки (илэ, манегры, мурчен, орочён с языком эвенкийским, тонгус, тунгусы с языком эвенкийским)	35527.0	17005.0	18522.0	8576.0	3862.0	4714.0	26951.0	13143.0	13808.0
Эвены (илкан, ламут, ламут-наматкан, мэнэ, овен, овон, ороч с языком эвенским, орочёл, орочель, орочён с языком эвенским, тунгусы с языком эвенским, тургэхал, ывын, эбэн, эвон, эвын, эвэн, эвэс)	19071.0	8059.0	11012.0	6116.0	2224.0	3892.0	12955.0	5835.0	7120.0
Энцы (могади, пэ-бай, эньчо)	237.0	122.0	115.0	51.0	23.0	28.0	186.0	99.0	87.0
Эскимосы (сиренигмит, уназигмит, юпагыт, юпит)	1750.0	835.0	915.0	557.0	237.0	320.0	1193.0	598.0	595.0
Эстонцы (чухонцы, эсты)	28113.0	12481.0	15632.0	18082.0	7869.0	10213.0	10031.0	4612.0	5419.0
Эстонцы-сету (полуверцы, сето, сету)	197.0	106.0	91.0	55.0	26.0	29.0	142.0	80.0	62.0
Юкагиры (алаи, ваду, деткиль, дудки, одул, омоки, хангайцы)	1509.0	722.0	787.0	685.0	328.0	357.0	824.0	394.0	430.0
Якуты (саха) 	443852.0	212911.0	230941.0	157825.0	72107.0	85718.0	286027.0	140804.0	145223.0
Японцы (нихондзин)	835.0	399.0	436.0	768.0	363.0	405.0	67.0	36.0	31.0
Лица других национальностей (не перечисленных выше)	42980.0	27185.0	15795.0	36169.0	23293.0	12876.0	6811.0	3892.0	2919.0
Лица, не указавшие национальность в переписном листе	1460751.0	709738.0	751013.0	1425408.0	691979.0	733429.0	35343.0	17759.0	17584.0
