10. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ						
						
	Численность членов частных домохозяйств	из них проживающие в домохозяйствах, состоящих из				
45 – 54	2612276.0	212563.0	688850.0	697713.0	505734.0	507416.0
55 – 64	1468154.0	158952.0	683993.0	284175.0	138323.0	202711.0
65 и более	1884796.0	245753.0	1074931.0	246123.0	109383.0	208606.0
возраст не указан	3526.0	570.0	779.0	657.0	682.0	838.0
Женщины	20166595.0	2043648.0	3912854.0	4166180.0	4703757.0	5340156.0
в том числе в возрасте, лет:						
 0 – 3	775398.0	56.0	13999.0	151339.0	231599.0	378405.0
 4 – 5	406292.0	39.0	10345.0	72799.0	135123.0	187986.0
 6 – 9	897736.0	111.0	25796.0	149730.0	322124.0	399975.0
10 – 14 	1592053.0	471.0	58551.0	293789.0	582727.0	656515.0
15 – 17 	974205.0	7705.0	51081.0	208112.0	327287.0	380020.0
18 – 24	1771223.0	28283.0	161608.0	447983.0	461383.0	671966.0
25 – 34 	2374212.0	31884.0	193479.0	602951.0	807338.0	738560.0
35 – 44 	2906816.0	60955.0	370243.0	765091.0	941872.0	768655.0
45 – 54	2615035.0	164524.0	778404.0	717593.0	465809.0	488705.0
55 – 64	1939695.0	357547.0	860138.0	310592.0	163248.0	248170.0
65 и более	3909910.0	1391476.0	1388290.0	445487.0	264492.0	420165.0
возраст не указан	4020.0	597.0	920.0	714.0	755.0	1034.0
