11. ГРУППИРОВКА СЕЛЬСКИХ АДМИНИСТРАЦИЙ ПО ЧИСЛУ СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ									
	Всего	в том числе с числом сельских населенных пунктов							
мужчины	173005	24410	65517	65129	13024	3721	1204	-	-
женщины	206084	27727	79474	77549	15338	4526	1470	-	-
Смоленская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	405	11	34	144	113	64	35	4	-
численность населения	303357	15510	19011	80449	74825	62549	46099	4914	-
мужчины	140759	7910	8786	37099	34769	28854	21051	2290	-
женщины	162598	7600	10225	43350	40056	33695	25048	2624	-
Тамбовская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	309	58	119	101	27	4	-	-	-
численность населения	498733	91591	168651	165592	58828	14071	-	-	-
мужчины	233065	43516	78533	77330	27018	6668	-	-	-
женщины	265668	48075	90118	88262	31810	7403	-	-	-
Тверская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	614	7	13	124	199	140	116	14	1
численность населения	395663	6677	8570	52558	105309	90760	110583	20312	894
мужчины	183058	3018	3988	24190	48674	42137	51284	9355	412
женщины	212605	3659	4582	28368	56635	48623	59299	10957	482
Тульская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	341	7	54	151	86	30	13	-	-
численность населения	308317	8258	33206	113892	84301	45831	22829	-	-
мужчины	141622	3749	15315	52370	38438	21148	10602	-	-
женщины	166695	4509	17891	61522	45863	24683	12227	-	-
Ярославская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	226	5	1	9	31	41	72	50	17
численность населения	260019	11670	286	11143	22198	34416	81648	71047	27611
мужчины	119799	5183	126	5001	10194	15987	37547	32806	12955
женщины	140220	6487	160	6142	12004	18429	44101	38241	14656
г. Москва	 	 	 	 	 	 	 	 	 
Число сельских администраций	-	-	-	-	-	-	-	-	-
Северо-Западный федеральный округ	 	 	 	 	 	 	 	 	 
Число сельских администраций	1769	179	251	324	279	227	250	201	58
численность населения	2352814	212992	347972	475276	353175	276167	310738	271086	105408
мужчины	1122502	104457	169828	225062	167354	130861	147015	128289	49636
женщины	1230312	108535	178144	250214	185821	145306	163723	142797	55772
Республика Карелия	 	 	 	 	 	 	 	 	 
Число сельских администраций	131	43	43	28	11	5	-	1	-
численность населения	170438	42877	59670	39485	18160	8777	-	1469	-
мужчины	81314	20518	28328	19017	8577	4140	-	734	-
женщины	89124	22359	31342	20468	9583	4637	-	735	-
Республика Коми	 	 	 	 	 	 	 	 	 
Число сельских администраций	190	80	78	28	2	1	1	-	-
численность населения	244490	89187	93536	49748	9557	1139	1323	-	-
мужчины	121413	44910	46992	23819	4497	554	641	-	-
женщины	123077	44277	46544	25929	5060	585	682	-	-
Архангельская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	243	21	50	47	36	25	32	27	5
численность населения	306078	18591	51315	56826	36932	40418	39377	51225	11394
мужчины	149078	9457	25433	27971	17763	19236	18796	24988	5434
женщины	157000	9134	25882	28855	19169	21182	20581	26237	5960
Ненецкий автономный округ	 	 	 	 	 	 	 	 	 
Число сельских администраций	17	10	6	1	-	-	-	-	-
численность населения	15304	6432	7071	1801	-	-	-	-	-
мужчины	7845	3323	3607	915	-	-	-	-	-
женщины	7459	3109	3464	886	-	-	-	-	-
Вологодская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	369	10	19	47	70	58	81	72	12
численность населения	390682	30509	24934	34132	65091	42515	75071	93847	24583
мужчины	185403	14587	11772	16088	30671	20411	35657	44742	11475
женщины	205279	15922	13162	18044	34420	22104	39414	49105	13108
Калининградская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	98	5	13	37	25	12	6	-	-
численность населения	201256	3892	23767	68855	53642	33072	18028	-	-
мужчины	98923	1880	11550	33585	26825	16226	8857	-	-
женщины	102333	2012	12217	35270	26817	16846	9171	-	-
Ленинградская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	204	4	25	61	42	34	29	9	-
численность населения	545783	4933	62980	168637	108194	85346	95174	20519	-
мужчины	255065	2320	29006	78167	50526	40024	45622	9400	-
женщины	290718	2613	33974	90470	57668	45322	49552	11119	-
Мурманская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	15	6	6	3	-	-	-	-	-
численность населения	28465	4731	15878	7856	-	-	-	-	-
мужчины	15530	2385	9436	3709	-	-	-	-	-
женщины	12935	2346	6442	4147	-	-	-	-	-
Новгородская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	272	10	16	71	76	54	36	9	-
численность населения	209324	18272	15476	48229	48232	40464	27936	10715	-
мужчины	96069	8400	7111	22027	22348	18766	12639	4778	-
женщины	113255	9872	8365	26202	25884	21698	15297	5937	-
Псковская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	247	-	1	2	17	38	65	83	41
численность населения	256298	-	416	1508	13367	24436	53829	93311	69431
мужчины	119707	-	200	679	6147	11504	24803	43647	32727
женщины	136591	-	216	829	7220	12932	29026	49664	36704
г. Санкт-Петербург	 	 	 	 	 	 	 	 	 
Число сельских администраций	-	-	-	-	-	-	-	-	-
Южный федеральный округ	 	 	 	 	 	 	 	 	 
Число сельских администраций	3127	1726	989	368	39	4	-	1	-
численность населения	9599602	4978526	2886353	1492225	213458	26734	-	2306	-
мужчины	4582645	2381371	1380200	706934	100505	12547	-	1088	-
женщины	5016957	2597155	1506153	785291	112953	14187	-	1218	-
Республика Адыгея	 	 	 	 	 	 	 	 	 
Число сельских администраций	50	14	23	12	1	-	-	-	-
численность населения	199448	32479	111402	52452	3115	-	-	-	-
мужчины	94518	15630	52329	25095	1464	-	-	-	-
женщины	104930	16849	59073	27357	1651	-	-	-	-
Республика Дагестан	 	 	 	 	 	 	 	 	 
Число сельских администраций	701	503	151	41	5	-	-	1	-
численность населения	1473954	1038591	333214	82409	17434	-	-	2306	-
мужчины	712548	502375	161141	39509	8435	-	-	1088	-
женщины	761406	536216	172073	42900	8999	-	-	1218	-
Республика Ингушетия	 	 	 	 	 	 	 	 	 
Число сельских администраций	32	30	2	-	-	-	-	-	-
численность населения	268798	267074	1724	-	-	-	-	-	-
мужчины	124279	123438	841	-	-	-	-	-	-
женщины	144519	143636	883	-	-	-	-	-	-
Кабардино-Балкарская Республика	 	 	 	 	 	 	 	 	 
Число сельских администраций	115	108	5	2	-	-	-	-	-
численность населения	390246	366533	18357	5356	-	-	-	-	-
мужчины	188885	177386	8960	2539	-	-	-	-	-
женщины	201361	189147	9397	2817	-	-	-	-	-
Республика Калмыкия	 	 	 	 	 	 	 	 	 
Число сельских администраций	112	71	39	2	-	-	-	-	-
численность населения	158614	101155	54377	3082	-	-	-	-	-
мужчины	78693	50144	26987	1562	-	-	-	-	-
женщины	79921	51011	27390	1520	-	-	-	-	-
Карачаево-Черкесская Республика	 	 	 	 	 	 	 	 	 
Число сельских администраций	80	63	17	-	-	-	-	-	-
численность населения	242363	186236	56127	-	-	-	-	-	-
мужчины	116155	89118	27037	-	-	-	-	-	-
женщины	126208	97118	29090	-	-	-	-	-	-
Республика Северная Осетия-Алания	 	 	 	 	 	 	 	 	 
Число сельских администраций	96	82	8	4	2	-	-	-	-
численность населения	244912	235792	8173	786	161	-	-	-	-
мужчины	117737	113036	4179	410	112	-	-	-	-
женщины	127175	122756	3994	376	49	-	-	-	-
Чеченская Республика	 	 	 	 	 	 	 	 	 
Число сельских администраций	213	182	28	3	-	-	-	-	-
численность населения	730509	632356	83414	14739	-	-	-	-	-
мужчины	357601	304371	46320	6910	-	-	-	-	-
женщины	372908	327985	37094	7829	-	-	-	-	-
Краснодарский край	 	 	 	 	 	 	 	 	 
Число сельских администраций	390	142	143	94	7	4	-	-	-
численность населения	2303622	719547	821160	647018	89163	26734	-	-	-
мужчины	1081269	337670	385006	304367	41679	12547	-	-	-
женщины	1222353	381877	436154	342651	47484	14187	-	-	-
Ставропольский край	 	 	 	 	 	 	 	 	 
Число сельских администраций	284	168	102	14	-	-	-	-	-
численность населения	1196265	683711	423804	88750	-	-	-	-	-
мужчины	570432	325614	202307	42511	-	-	-	-	-
женщины	625833	358097	221497	46239	-	-	-	-	-
Астраханская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	151	87	51	13	-	-	-	-	-
численность населения	323094	145037	135676	42381	-	-	-	-	-
мужчины	155668	69914	65269	20485	-	-	-	-	-
женщины	167426	75123	70407	21896	-	-	-	-	-
Волгоградская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	449	193	202	49	5	-	-	-	-
численность населения	660885	239272	302917	99645	19051	-	-	-	-
мужчины	314833	113707	144676	47475	8975	-	-	-	-
женщины	346052	125565	158241	52170	10076	-	-	-	-
Ростовская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	454	83	218	134	19	-	-	-	-
численность населения	1406892	330743	536008	455607	84534	-	-	-	-
мужчины	670027	158968	255148	216071	39840	-	-	-	-
женщины	736865	171775	280860	239536	44694	-	-	-	-
Приволжский федеральный округ	 	 	 	 	 	 	 	 	 
Число сельских администраций	6996	1985	2999	1459	347	109	74	21	2
численность населения	8993003	2156511	3684980	2250590	526577	188650	133146	46509	6040
мужчины	4281443	1029370	1754329	1072360	249858	88938	62498	21331	2759
женщины	4711560	1127141	1930651	1178230	276719	99712	70648	25178	3281
Республика Башкортостан	 	 	 	 	 	 	 	 	 
Число сельских администраций	945	163	474	285	20	2	1	-	-
численность населения	1467382	228892	668584	520381	42046	4478	3001	-	-
мужчины	706200	109389	322353	250463	20382	2174	1439	-	-
женщины	761182	119503	346231	269918	21664	2304	1562	-	-
Республика Марий Эл	 	 	 	 	 	 	 	 	 
Число сельских администраций	180	12	38	75	40	10	4	1	-
численность населения	263595	11741	44080	105653	67140	19355	10728	4898	-
мужчины	127090	5583	22188	50522	32371	9201	4948	2277	-
женщины	136505	6158	21892	55131	34769	10154	5780	2621	-
Республика Мордовия	 	 	 	 	 	 	 	 	 
Число сельских администраций	422	182	204	35	1	-	-	-	-
численность населения	344770	145710	164656	32669	1735	-	-	-	-
мужчины	162737	70042	76753	15150	792	-	-	-	-
женщины	182033	75668	87903	17519	943	-	-	-	-
Республика Татарстан	 	 	 	 	 	 	 	 	 
Число сельских администраций	910	312	502	96	-	-	-	-	-
численность населения	985270	302837	538451	143982	-	-	-	-	-
мужчины	468075	143812	255739	68524	-	-	-	-	-
женщины	517195	159025	282712	75458	-	-	-	-	-
Удмуртская Республика	 	 	 	 	 	 	 	 	 
Число сельских администраций	313	38	108	122	37	5	3	-	-
численность населения	470538	48329	139427	189586	74532	12071	6593	-	-
мужчины	227472	23446	67839	91708	35586	5687	3206	-	-
женщины	243066	24883	71588	97878	38946	6384	3387	-	-
Чувашская Республика	 	 	 	 	 	 	 	 	 
Число сельских администраций	350	83	144	104	17	2	-	-	-
численность населения	516898	101309	174849	193977	39516	7247	-	-	-
мужчины	246797	48342	83639	92732	18698	3386	-	-	-
женщины	270101	52967	91210	101245	20818	3861	-	-	-
Кировская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	564	82	178	170	71	30	26	7	-
численность населения	416815	39784	112483	111545	64021	36465	36778	15739	-
мужчины	197548	19251	53451	52970	29962	17230	17449	7235	-
женщины	219267	20533	59032	58575	34059	19235	19329	8504	-
Нижегородская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	540	62	153	186	71	30	25	11	2
численность населения	743609	61363	195466	286222	94474	41093	39414	19537	6040
мужчины	346630	27982	92516	134389	43238	18987	17951	8808	2759
женщины	396979	33381	102950	151833	51236	22106	21463	10729	3281
Оренбургская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	606	287	273	44	2	-	-	-	-
численность населения	918178	387641	429312	96676	4549	-	-	-	-
мужчины	442568	188290	205939	46131	2208	-	-	-	-
женщины	475610	199351	223373	50545	2341	-	-	-	-
Пензенская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	376	106	195	69	6	-	-	-	-
численность населения	501696	121898	248204	112808	18786	-	-	-	-
мужчины	232946	56778	115159	52379	8630	-	-	-	-
женщины	268750	65120	133045	60429	10156	-	-	-	-
Пермская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	519	78	169	153	73	29	15	2	-
численность населения	683216	71284	187610	222975	100833	57547	36632	6335	-
мужчины	330429	35655	90486	107391	48924	27457	17505	3011	-
женщины	352787	35629	97124	115584	51909	30090	19127	3324	-
Коми-Пермяцкий автономный округ	 	 	 	 	 	 	 	 	 
Число сельских администраций	75	8	15	28	12	7	4	1	-
численность населения	100240	12844	13234	28905	17032	13890	10824	3511	-
мужчины	48896	6137	6559	14110	8283	6833	5286	1688	-
женщины	51344	6707	6675	14795	8749	7057	5538	1823	-
Самарская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	331	103	160	62	5	1	-	-	-
численность населения	624680	166360	309973	127356	10597	10394	-	-	-
мужчины	295536	79877	145899	59907	5037	4816	-	-	-
женщины	329144	86483	164074	67449	5560	5578	-	-	-
Саратовская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	614	316	264	31	3	-	-	-	-
численность населения	694297	323184	313387	50481	7245	-	-	-	-
мужчины	329056	153272	148596	23670	3518	-	-	-	-
женщины	365241	169912	164791	26811	3727	-	-	-	-
Ульяновская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	326	161	137	27	1	-	-	-	-
численность населения	362059	146179	158498	56279	1103	-	-	-	-
мужчины	168359	67651	73772	26424	512	-	-	-	-
женщины	193700	78528	84726	29855	591	-	-	-	-
Уральский федеральный округ	 	 	 	 	 	 	 	 	 
Число сельских администраций	1537	525	760	237	15	-	-	-	-
численность населения	2295624	595831	1126688	533831	39274	-	-	-	-
мужчины	1103843	289567	540424	255030	18822	-	-	-	-
женщины	1191781	306264	586264	278801	20452	-	-	-	-
Курганская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	420	187	209	24	-	-	-	-	-
численность населения	441455	160135	243109	38211	-	-	-	-	-
мужчины	209416	77273	114283	17860	-	-	-	-	-
женщины	232039	82862	128826	20351	-	-	-	-	-
Свердловская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	431	136	222	69	4	-	-	-	-
численность населения	508831	102514	290661	109194	6462	-	-	-	-
мужчины	246255	48348	141892	52889	3126	-	-	-	-
женщины	262576	54166	148769	56305	3336	-	-	-	-
Тюменская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	429	146	214	64	5	-	-	-	-
численность населения	704772	238250	328752	130556	7214	-	-	-	-
мужчины	345586	119442	159422	63144	3578	-	-	-	-
женщины	359186	118808	169330	67412	3636	-	-	-	-
Ханты-Мансийский автономный округ – Югра	 	 	 	 	 	 	 	 	 
Число сельских администраций	70	47	21	2	-	-	-	-	-
численность населения	127860	77375	38315	12170	-	-	-	-	-
мужчины	66745	40663	20016	6066	-	-	-	-	-
женщины	61115	36712	18299	6104	-	-	-	-	-
Ямало-Ненецкий автономный округ	 	 	 	 	 	 	 	 	 
Число сельских администраций	42	25	16	1	-	-	-	-	-
численность населения	81819	47701	32768	1350	-	-	-	-	-
мужчины	41525	24719	16116	690	-	-	-	-	-
женщины	40294	22982	16652	660	-	-	-	-	-
Челябинская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	257	56	115	80	6	-	-	-	-
численность населения	640566	94932	264166	255870	25598	-	-	-	-
мужчины	302586	44504	124827	121137	12118	-	-	-	-
женщины	337980	50428	139339	134733	13480	-	-	-	-
Сибирский федеральный округ	 	 	 	 	 	 	 	 	 
Число сельских администраций	3628	1641	1551	410	23	2	1	-	-
численность населения	5663865	2069022	2545108	959281	76051	3330	11073	-	-
мужчины	2728880	995602	1226891	463162	36385	1649	5191	-	-
женщины	2934985	1073420	1318217	496119	39666	1681	5882	-	-
Республика Алтай	 	 	 	 	 	 	 	 	 
Число сельских администраций	90	51	31	8	-	-	-	-	-
численность населения	149409	69222	54991	25196	-	-	-	-	-
мужчины	72576	33349	26983	12244	-	-	-	-	-
женщины	76833	35873	28008	12952	-	-	-	-	-
Республика Бурятия	 	 	 	 	 	 	 	 	 
Число сельских администраций	226	129	90	7	-	-	-	-	-
численность населения	371956	156597	183845	31514	-	-	-	-	-
мужчины	180557	76051	89537	14969	-	-	-	-	-
женщины	191399	80546	94308	16545	-	-	-	-	-
Республика Тыва	 	 	 	 	 	 	 	 	 
Число сельских администраций	112	57	30	22	3	-	-	-	-
численность населения	147129	74749	36032	31469	4879	-	-	-	-
мужчины	71006	36047	17273	15324	2362	-	-	-	-
женщины	76123	38702	18759	16145	2517	-	-	-	-
Республика Хакасия	 	 	 	 	 	 	 	 	 
Число сельских администраций	79	34	39	6	-	-	-	-	-
численность населения	156936	66538	76629	13769	-	-	-	-	-
мужчины	74707	31411	36594	6702	-	-	-	-	-
женщины	82229	35127	40035	7067	-	-	-	-	-
Алтайский край	 	 	 	 	 	 	 	 	 
Число сельских администраций	726	475	233	18	-	-	-	-	-
численность населения	1212572	743197	426967	42408	-	-	-	-	-
мужчины	575679	352014	203372	20293	-	-	-	-	-
женщины	636893	391183	223595	22115	-	-	-	-	-
Красноярский край	 	 	 	 	 	 	 	 	 
Число сельских администраций	511	229	221	60	1	-	-	-	-
численность населения	707088	214954	368447	121834	1853	-	-	-	-
мужчины	344627	105309	178733	59733	852	-	-	-	-
женщины	362461	109645	189714	62101	1001	-	-	-	-
Таймырский (Долгано-Ненецкий) автономный округ	 	 	 	 	 	 	 	 	 
Число сельских администраций	20	20	-	-	-	-	-	-	-
численность населения	12569	12569	-	-	-	-	-	-	-
мужчины	6366	6366	-	-	-	-	-	-	-
женщины	6203	6203	-	-	-	-	-	-	-
Эвенкийский автономный округ	 	 	 	 	 	 	 	 	 
Число сельских администраций	22	22	-	-	-	-	-	-	-
численность населения	11861	11861	-	-	-	-	-	-	-
мужчины	6065	6065	-	-	-	-	-	-	-
женщины	5796	5796	-	-	-	-	-	-	-
Иркутская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	365	112	179	65	8	1	-	-	-
численность населения	514456	118582	231783	137756	24040	2295	-	-	-
мужчины	249869	57342	112728	67133	11529	1137	-	-	-
женщины	264587	61240	119055	70623	12511	1158	-	-	-
Усть-Ордынский Бурятский автономный округ	 	 	 	 	 	 	 	 	 
Число сельских администраций	77	14	47	15	1	-	-	-	-
численность населения	135327	36415	67979	29009	1924	-	-	-	-
мужчины	65007	17107	32882	14114	904	-	-	-	-
женщины	70320	19308	35097	14895	1020	-	-	-	-
Кемеровская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	235	56	120	53	5	1	-	-	-
численность населения	373274	64374	188791	107063	12011	1035	-	-	-
мужчины	179607	31060	90217	52073	5745	512	-	-	-
женщины	193667	33314	98574	54990	6266	523	-	-	-
Новосибирская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	428	128	236	62	2	-	-	-	-
численность населения	665662	151532	361018	149189	3923	-	-	-	-
мужчины	318901	72222	173334	71455	1890	-	-	-	-
женщины	346761	79310	187684	77734	2033	-	-	-	-
Омская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	359	63	222	74	-	-	-	-	-
численность населения	646803	83522	369368	193913	-	-	-	-	-
мужчины	309462	39836	177028	92598	-	-	-	-	-
женщины	337341	43686	192340	101315	-	-	-	-	-
Томская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	132	45	51	31	4	-	1	-	-
численность населения	308053	47996	120574	99065	29345	-	11073	-	-
мужчины	148316	23577	57982	47559	14007	-	5191	-	-
женщины	159737	24419	62592	51506	15338	-	5882	-	-
Читинская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	365	262	99	4	-	-	-	-	-
численность населения	410527	277759	126663	6105	-	-	-	-	-
мужчины	203573	137384	63110	3079	-	-	-	-	-
женщины	206954	140375	63553	3026	-	-	-	-	-
Агинский Бурятский автономный округ	 	 	 	 	 	 	 	 	 
Число сельских администраций	35	29	5	1	-	-	-	-	-
численность населения	46577	38432	6105	2040	-	-	-	-	-
мужчины	23039	18896	3038	1105	-	-	-	-	-
женщины	23538	19536	3067	935	-	-	-	-	-
Дальневосточный федеральный округ	 	 	 	 	 	 	 	 	 
Число сельских администраций	1271	949	308	14	-	-	-	-	-
численность населения	1524205	884029	604679	35497	-	-	-	-	-
мужчины	769884	445292	306935	17657	-	-	-	-	-
женщины	754321	438737	297744	17840	-	-	-	-	-
Республика Саха (Якутия)	 	 	 	 	 	 	 	 	 
Число сельских администраций	364	323	40	1	-	-	-	-	-
численность населения	326189	274273	51645	271	-	-	-	-	-
мужчины	161607	136003	25457	147	-	-	-	-	-
женщины	164582	138270	26188	124	-	-	-	-	-
Приморский край	 	 	 	 	 	 	 	 	 
Число сельских администраций	226	121	100	5	-	-	-	-	-
численность населения	441190	140440	276931	23819	-	-	-	-	-
мужчины	221944	69750	140422	11772	-	-	-	-	-
женщины	219246	70690	136509	12047	-	-	-	-	-
Хабаровский край	 	 	 	 	 	 	 	 	 
Число сельских администраций	186	140	42	4	-	-	-	-	-
численность населения	258223	157326	92493	8404	-	-	-	-	-
мужчины	134106	81648	48254	4204	-	-	-	-	-
женщины	124117	75678	44239	4200	-	-	-	-	-
Амурская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	289	206	82	1	-	-	-	-	-
численность населения	306058	196410	108995	653	-	-	-	-	-
мужчины	153032	98791	53920	321	-	-	-	-	-
женщины	153026	97619	55075	332	-	-	-	-	-
Камчатская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	24	17	7	-	-	-	-	-	-
численность населения	35389	16998	18391	-	-	-	-	-	-
мужчины	18060	8641	9419	-	-	-	-	-	-
женщины	17329	8357	8972	-	-	-	-	-	-
Корякский автономный округ	 	 	 	 	 	 	 	 	 
Число сельских администраций	12	12	-	-	-	-	-	-	-
численность населения	6057	6057	-	-	-	-	-	-	-
мужчины	3219	3219	-	-	-	-	-	-	-
женщины	2838	2838	-	-	-	-	-	-	-
Магаданская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	31	28	3	-	-	-	-	-	-
численность населения	11658	11077	581	-	-	-	-	-	-
мужчины	6174	5819	355	-	-	-	-	-	-
женщины	5484	5258	226	-	-	-	-	-	-
Сахалинская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	60	34	23	3	-	-	-	-	-
численность населения	66389	30640	33399	2350	-	-	-	-	-
мужчины	34303	15684	17406	1213	-	-	-	-	-
женщины	32086	14956	15993	1137	-	-	-	-	-
Еврейская автономная область	 	 	 	 	 	 	 	 	 
Число сельских администраций	47	36	11	-	-	-	-	-	-
численность населения	61154	38910	22244	-	-	-	-	-	-
мужчины	31543	19841	11702	-	-	-	-	-	-
женщины	29611	19069	10542	-	-	-	-	-	-
Чукотский автономный округ	 	 	 	 	 	 	 	 	 
Число сельских администраций	44	44	-	-	-	-	-	-	-
численность населения	17955	17955	-	-	-	-	-	-	-
мужчины	9115	9115	-	-	-	-	-	-	-
женщины	8840	8840	-	-	-	-	-	-	-
