4. СРЕДНЕЕ ЧИСЛО РОЖДЕННЫХ ДЕТЕЙ ЖЕНЩИНАМИ, ИМЕЮЩИМИ РАЗЛИЧНЫЙ 								
УРОВЕНЬ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
(на 1000 женщин соответствующего возраста и уровня образования, указавших число рожденных детей)								
								
	Среднее число рожденных детей	У женщин, имеющих образование						Среднее число рожденных детей женщинами, не имеющими
45 – 49 -" -	2351.0	1978.0	2137.0	2174.0	2409.0	2822.0	2980.0	1392.0
50 – 54 -" -	2367.0	1956.0	2127.0	2145.0	2374.0	2761.0	3135.0	1849.0
55 – 59 -" -	2417.0	1934.0	2141.0	2121.0	2319.0	2664.0	3039.0	2889.0
60 – 64 -" -	2532.0	1887.0	2054.0	2058.0	2324.0	2616.0	2910.0	3098.0
65 – 69 -" -	2674.0	1904.0	2247.0	2137.0	2386.0	2643.0	2924.0	3186.0
70 лет и более	2773.0	1982.0	2384.0	2316.0	2478.0	2695.0	2844.0	3013.0
Центральный федеральный округ								
Белгородская область								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1530.0	1349.0	810.0	1520.0	1387.0	1484.0	2149.0	2178.0
15 – 17 лет	14.0	-	-	85.0	17.0	12.0	18.0	49.0
18 – 19 -" -	94.0	-	30.0	106.0	76.0	199.0	582.0	0.0
20 – 24 -" -	484.0	347.0	240.0	517.0	537.0	808.0	587.0	579.0
25 – 29 -" -	1016.0	790.0	894.0	1016.0	1177.0	1311.0	1762.0	1275.0
30 – 34 -" -	1398.0	1195.0	1235.0	1389.0	1570.0	1761.0	1959.0	396.0
35 – 39 -" -	1664.0	1439.0	1625.0	1662.0	1868.0	1932.0	1586.0	886.0
40 – 44 -" -	1788.0	1561.0	1731.0	1782.0	1953.0	2169.0	2108.0	112.0
45 – 49 -" -	1845.0	1628.0	1736.0	1845.0	1938.0	2259.0	1821.0	1296.0
50 – 54 -" -	1833.0	1624.0	1806.0	1792.0	1914.0	2212.0	2097.0	583.0
55 – 59 -" -	1861.0	1649.0	1644.0	1775.0	1887.0	2129.0	2186.0	1629.0
60 – 64 -" -	1945.0	1573.0	1768.0	1742.0	1887.0	2106.0	2257.0	2142.0
65 – 69 -" -	1992.0	1608.0	1850.0	1773.0	1915.0	2071.0	2206.0	2073.0
70 лет и более	2127.0	1691.0	1994.0	1888.0	1923.0	2144.0	2198.0	2295.0
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1344.0	1287.0	730.0	1447.0	1192.0	1194.0	1920.0	2147.0
15 – 17 лет	13.0	-	-	103.0	17.0	10.0	15.0	82.0
18 – 19 -" -	74.0	-	35.0	112.0	58.0	149.0	270.0	0.0
20 – 24 -" -	422.0	328.0	222.0	497.0	445.0	638.0	684.0	742.0
25 – 29 -" -	910.0	754.0	841.0	949.0	1012.0	1095.0	1554.0	1925.0
30 – 34 -" -	1266.0	1124.0	1163.0	1291.0	1380.0	1493.0	1444.0	429.0
35 – 39 -" -	1529.0	1377.0	1558.0	1569.0	1633.0	1562.0	1515.0	2480.0
40 – 44 -" -	1666.0	1502.0	1609.0	1701.0	1758.0	1878.0	2099.0	138.0
45 – 49 -" -	1739.0	1565.0	1734.0	1773.0	1810.0	1968.0	1493.0	2000.0
50 – 54 -" -	1706.0	1562.0	1688.0	1719.0	1766.0	1893.0	1623.0	1000.0
55 – 59 -" -	1718.0	1590.0	1667.0	1708.0	1735.0	1912.0	1952.0	800.0
60 – 64 -" -	1712.0	1523.0	1602.0	1686.0	1721.0	1798.0	1891.0	1250.0
65 – 69 -" -	1772.0	1568.0	1806.0	1703.0	1756.0	1875.0	1885.0	1971.0
70 лет и более	1970.0	1636.0	1907.0	1808.0	1862.0	2001.0	2059.0	2285.0
Сельские населенные пункты								
Женщины в возрасте 15 лет и более	1877.0	1618.0	1156.0	1732.0	1753.0	1833.0	2272.0	2191.0
15 – 17 лет	17.0	-	-	0.0	20.0	16.0	24.0	0.0
18 – 19 -" -	165.0	-	0.0	86.0	151.0	286.0	1000.0	0.0
20 – 24 -" -	664.0	470.0	341.0	579.0	733.0	1014.0	518.0	356.0
25 – 29 -" -	1291.0	975.0	1131.0	1229.0	1413.0	1508.0	1919.0	765.0
30 – 34 -" -	1690.0	1485.0	1456.0	1633.0	1805.0	2003.0	2404.0	384.0
35 – 39 -" -	1961.0	1671.0	1814.0	1904.0	2148.0	2257.0	1621.0	0.0
40 – 44 -" -	2096.0	1835.0	2170.0	2014.0	2259.0	2441.0	2114.0	103.0
45 – 49 -" -	2125.0	1915.0	1742.0	2074.0	2171.0	2542.0	1969.0	733.0
50 – 54 -" -	2138.0	1887.0	2280.0	2019.0	2179.0	2532.0	2392.0	474.0
55 – 59 -" -	2134.0	1869.0	1541.0	1982.0	2144.0	2316.0	2307.0	2189.0
60 – 64 -" -	2256.0	1767.0	2304.0	1920.0	2148.0	2360.0	2438.0	2351.0
65 – 69 -" -	2244.0	1753.0	2023.0	1973.0	2179.0	2254.0	2378.0	2110.0
70 лет и более	2259.0	1896.0	2130.0	2117.0	2071.0	2315.0	2270.0	2298.0
Брянская область								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1632.0	1349.0	802.0	1512.0	1441.0	1626.0	2479.0	2500.0
15 – 17 лет	8.0	-	-	18.0	11.0	6.0	8.0	32.0
18 – 19 -" -	85.0	-	58.0	82.0	66.0	176.0	407.0	213.0
20 – 24 -" -	458.0	300.0	174.0	464.0	502.0	814.0	904.0	1273.0
25 – 29 -" -	1033.0	767.0	814.0	1031.0	1170.0	1276.0	1407.0	1168.0
30 – 34 -" -	1420.0	1171.0	1292.0	1422.0	1564.0	1706.0	1603.0	1523.0
35 – 39 -" -	1674.0	1417.0	1451.0	1658.0	1857.0	2042.0	1528.0	842.0
40 – 44 -" -	1828.0	1544.0	1643.0	1797.0	1975.0	2260.0	2042.0	966.0
45 – 49 -" -	1893.0	1617.0	1823.0	1833.0	2007.0	2250.0	2471.0	1713.0
50 – 54 -" -	1890.0	1606.0	1665.0	1827.0	1933.0	2255.0	2164.0	4031.0
55 – 59 -" -	1965.0	1658.0	1921.0	1770.0	1955.0	2263.0	2604.0	3395.0
60 – 64 -" -	2068.0	1580.0	1809.0	1747.0	1926.0	2272.0	2503.0	1914.0
65 – 69 -" -	2190.0	1602.0	1738.0	1773.0	1968.0	2231.0	2537.0	2418.0
70 лет и более	2397.0	1751.0	2013.0	1967.0	2071.0	2331.0	2550.0	2638.0
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1431.0	1299.0	744.0	1449.0	1319.0	1381.0	2116.0	2476.0
15 – 17 лет	7.0	-	-	0.0	11.0	4.0	8.0	51.0
18 – 19 -" -	72.0	-	60.0	86.0	55.0	133.0	488.0	414.0
20 – 24 -" -	418.0	300.0	167.0	452.0	463.0	696.0	955.0	1416.0
25 – 29 -" -	948.0	754.0	821.0	971.0	1057.0	1086.0	2014.0	1541.0
30 – 34 -" -	1301.0	1131.0	1184.0	1328.0	1405.0	1412.0	1543.0	2438.0
35 – 39 -" -	1535.0	1348.0	1369.0	1549.0	1689.0	1666.0	1440.0	1444.0
40 – 44 -" -	1699.0	1488.0	1575.0	1721.0	1817.0	1804.0	1340.0	1151.0
45 – 49 -" -	1773.0	1564.0	1729.0	1756.0	1885.0	1914.0	2442.0	3139.0
50 – 54 -" -	1743.0	1544.0	1541.0	1743.0	1785.0	1921.0	2035.0	6656.0
55 – 59 -" -	1755.0	1561.0	1784.0	1679.0	1832.0	1953.0	2025.0	2806.0
60 – 64 -" -	1786.0	1541.0	1638.0	1697.0	1786.0	1928.0	1965.0	1842.0
65 – 69 -" -	1853.0	1547.0	1594.0	1708.0	1823.0	1979.0	2024.0	2164.0
70 лет и более	2132.0	1704.0	1872.0	1884.0	1964.0	2139.0	2263.0	2619.0
Сельские населенные пункты								
Женщины в возрасте 15 лет и более	2076.0	1643.0	1039.0	1739.0	1740.0	2038.0	2727.0	2513.0
15 – 17 лет	10.0	-	-	71.0	11.0	10.0	7.0	0.0
18 – 19 -" -	125.0	-	47.0	72.0	102.0	271.0	340.0	87.0
20 – 24 -" -	573.0	296.0	206.0	504.0	592.0	946.0	869.0	1066.0
25 – 29 -" -	1274.0	858.0	784.0	1229.0	1375.0	1518.0	1096.0	556.0
30 – 34 -" -	1726.0	1372.0	1728.0	1689.0	1827.0	2067.0	1646.0	351.0
35 – 39 -" -	2028.0	1729.0	1829.0	1963.0	2160.0	2464.0	1619.0	508.0
40 – 44 -" -	2190.0	1865.0	2034.0	2060.0	2277.0	2738.0	2606.0	813.0
45 – 49 -" -	2263.0	1902.0	2157.0	2124.0	2324.0	2712.0	2489.0	545.0
50 – 54 -" -	2341.0	1999.0	2090.0	2182.0	2339.0	2692.0	2254.0	1406.0
55 – 59 -" -	2503.0	2199.0	2294.0	2213.0	2330.0	2632.0	2914.0	3925.0
60 – 64 -" -	2615.0	1874.0	2571.0	2020.0	2399.0	2720.0	2834.0	1952.0
65 – 69 -" -	2703.0	2050.0	2250.0	2158.0	2463.0	2673.0	2832.0	2552.0
70 лет и более	2713.0	2042.0	2283.0	2387.0	2577.0	2764.0	2754.0	2648.0
Владимирская область								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1459.0	1288.0	844.0	1439.0	1344.0	1428.0	2136.0	2256.0
15 – 17 лет	9.0	-	-	66.0	8.0	8.0	13.0	0.0
18 – 19 -" -	76.0	1000.0	37.0	85.0	58.0	141.0	315.0	70.0
20 – 24 -" -	456.0	341.0	193.0	468.0	500.0	670.0	606.0	750.0
25 – 29 -" -	947.0	718.0	826.0	967.0	1057.0	1099.0	1313.0	373.0
30 – 34 -" -	1289.0	1071.0	1220.0	1300.0	1397.0	1463.0	1432.0	1313.0
35 – 39 -" -	1529.0	1332.0	1421.0	1534.0	1654.0	1765.0	1565.0	1521.0
40 – 44 -" -	1705.0	1504.0	1546.0	1698.0	1821.0	1951.0	2018.0	1226.0
45 – 49 -" -	1758.0	1561.0	1809.0	1723.0	1815.0	2106.0	2395.0	1261.0
50 – 54 -" -	1705.0	1490.0	1646.0	1675.0	1752.0	1959.0	2212.0	2125.0
55 – 59 -" -	1640.0	1452.0	1580.0	1595.0	1657.0	1846.0	2029.0	522.0
60 – 64 -" -	1716.0	1460.0	1473.0	1599.0	1638.0	1859.0	2066.0	1844.0
65 – 69 -" -	1799.0	1481.0	1682.0	1621.0	1665.0	1827.0	2084.0	2199.0
70 лет и более	2049.0	1511.0	1863.0	1764.0	1833.0	1976.0	2250.0	2504.0
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1361.0	1262.0	785.0	1391.0	1278.0	1315.0	1924.0	2158.0
15 – 17 лет	9.0	-	-	87.0	9.0	8.0	18.0	0.0
18 – 19 -" -	68.0	-	38.0	82.0	54.0	124.0	250.0	0.0
20 – 24 -" -	429.0	337.0	187.0	462.0	473.0	618.0	538.0	231.0
25 – 29 -" -	908.0	713.0	818.0	948.0	1010.0	1013.0	1164.0	0.0
30 – 34 -" -	1225.0	1056.0	1191.0	1257.0	1311.0	1319.0	944.0	1231.0
35 – 39 -" -	1456.0	1307.0	1351.0	1471.0	1572.0	1586.0	1331.0	2179.0
40 – 44 -" -	1627.0	1475.0	1487.0	1637.0	1727.0	1755.0	1815.0	1528.0
45 – 49 -" -	1677.0	1527.0	1741.0	1664.0	1733.0	1927.0	1920.0	1000.0
50 – 54 -" -	1628.0	1458.0	1567.0	1626.0	1687.0	1780.0	1875.0	2194.0
55 – 59 -" -	1565.0	1411.0	1497.0	1541.0	1612.0	1713.0	1832.0	1750.0
60 – 64 -" -	1611.0	1442.0	1420.0	1550.0	1587.0	1739.0	1773.0	2179.0
65 – 69 -" -	1663.0	1459.0	1530.0	1565.0	1612.0	1708.0	1857.0	1981.0
70 лет и более	1890.0	1500.0	1740.0	1700.0	1766.0	1874.0	2052.0	2385.0
Сельские населенные пункты								
Женщины в возрасте 15 лет и более	1851.0	1531.0	1314.0	1690.0	1634.0	1766.0	2470.0	2365.0
15 – 17 лет	8.0	-	-	0.0	4.0	10.0	0.0	0.0
18 – 19 -" -	114.0	1000.0	30.0	98.0	80.0	187.0	379.0	138.0
20 – 24 -" -	589.0	388.0	274.0	501.0	615.0	779.0	669.0	1714.0
25 – 29 -" -	1150.0	779.0	897.0	1079.0	1250.0	1300.0	1457.0	826.0
30 – 34 -" -	1606.0	1249.0	1449.0	1530.0	1702.0	1823.0	1895.0	1667.0
35 – 39 -" -	1856.0	1569.0	1830.0	1824.0	1914.0	2182.0	1895.0	600.0
40 – 44 -" -	2043.0	1758.0	1950.0	1976.0	2138.0	2337.0	2388.0	1000.0
45 – 49 -" -	2126.0	1875.0	2147.0	2005.0	2153.0	2493.0	2942.0	1400.0
50 – 54 -" -	2074.0	1776.0	2123.0	1938.0	2062.0	2393.0	2703.0	2036.0
55 – 59 -" -	2000.0	1775.0	2091.0	1939.0	1899.0	2205.0	2263.0	0.0
60 – 64 -" -	2103.0	1609.0	1976.0	1897.0	1910.0	2154.0	2475.0	1506.0
65 – 69 -" -	2225.0	1647.0	2229.0	1928.0	1946.0	2221.0	2428.0	2370.0
70 лет и более	2471.0	1596.0	2368.0	2155.0	2278.0	2356.0	2574.0	2640.0
Воронежская область								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1505.0	1279.0	710.0	1463.0	1407.0	1539.0	2120.0	2198.0
15 – 17 лет	12.0	-	0.0	41.0	15.0	10.0	17.0	97.0
18 – 19 -" -	88.0	-	37.0	95.0	70.0	201.0	202.0	171.0
20 – 24 -" -	458.0	301.0	198.0	504.0	524.0	782.0	789.0	817.0
25 – 29 -" -	1005.0	749.0	809.0	1032.0	1137.0	1330.0	1494.0	1345.0
30 – 34 -" -	1354.0	1109.0	1210.0	1386.0	1471.0	1704.0	1914.0	1300.0
35 – 39 -" -	1583.0	1334.0	1447.0	1588.0	1725.0	2066.0	2077.0	1702.0
40 – 44 -" -	1723.0	1483.0	1583.0	1739.0	1830.0	2113.0	2430.0	1521.0
45 – 49 -" -	1770.0	1525.0	1636.0	1757.0	1862.0	2265.0	2256.0	1634.0
50 – 54 -" -	1744.0	1515.0	1624.0	1714.0	1810.0	2135.0	2244.0	703.0
55 – 59 -" -	1734.0	1476.0	1617.0	1618.0	1746.0	2133.0	2276.0	1948.0
60 – 64 -" -	1838.0	1454.0	1436.0	1587.0	1758.0	2084.0	2223.0	2169.0
65 – 69 -" -	1885.0	1450.0	1552.0	1628.0	1702.0	1993.0	2214.0	2061.0
70 лет и более	2025.0	1539.0	1722.0	1728.0	1755.0	2004.0	2160.0	2295.0
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1293.0	1218.0	621.0	1365.0	1234.0	1242.0	1823.0	2086.0
15 – 17 лет	8.0	-	0.0	24.0	11.0	6.0	12.0	0.0
18 – 19 -" -	59.0	-	29.0	89.0	49.0	117.0	216.0	89.0
20 – 24 -" -	373.0	293.0	180.0	473.0	411.0	600.0	786.0	1123.0
25 – 29 -" -	874.0	719.0	767.0	941.0	980.0	1030.0	1254.0	1286.0
30 – 34 -" -	1196.0	1054.0	1132.0	1252.0	1269.0	1391.0	1966.0	1854.0
35 – 39 -" -	1414.0	1267.0	1341.0	1472.0	1510.0	1560.0	1522.0	455.0
40 – 44 -" -	1566.0	1408.0	1522.0	1627.0	1640.0	1692.0	1958.0	1565.0
45 – 49 -" -	1610.0	1455.0	1540.0	1639.0	1691.0	1815.0	2062.0	2141.0
50 – 54 -" -	1583.0	1440.0	1533.0	1608.0	1632.0	1831.0	1724.0	556.0
55 – 59 -" -	1528.0	1394.0	1479.0	1504.0	1588.0	1758.0	1845.0	2275.0
60 – 64 -" -	1560.0	1398.0	1371.0	1496.0	1570.0	1751.0	1729.0	1664.0
65 – 69 -" -	1590.0	1395.0	1331.0	1540.0	1545.0	1697.0	1804.0	1583.0
70 лет и более	1796.0	1495.0	1649.0	1656.0	1672.0	1806.0	1933.0	2211.0
Сельские населенные пункты								
Женщины в возрасте 15 лет и более	1848.0	1572.0	1148.0	1671.0	1709.0	1838.0	2266.0	2240.0
15 – 17 лет	21.0	-	-	146.0	26.0	17.0	22.0	159.0
18 – 19 -" -	161.0	-	114.0	109.0	130.0	291.0	194.0	222.0
20 – 24 -" -	646.0	348.0	319.0	571.0	705.0	890.0	790.0	707.0
25 – 29 -" -	1271.0	914.0	984.0	1214.0	1347.0	1519.0	1623.0	1385.0
30 – 34 -" -	1654.0	1356.0	1511.0	1637.0	1729.0	1891.0	1880.0	1039.0
35 – 39 -" -	1895.0	1622.0	1809.0	1794.0	1987.0	2409.0	2547.0	2171.0
40 – 44 -" -	2026.0	1803.0	1758.0	1951.0	2104.0	2367.0	2633.0	1497.0
45 – 49 -" -	2102.0	1865.0	1942.0	2000.0	2149.0	2550.0	2345.0	1270.0
50 – 54 -" -	2072.0	1858.0	1911.0	1941.0	2134.0	2337.0	2467.0	750.0
55 – 59 -" -	2114.0	1805.0	2000.0	1914.0	2064.0	2365.0	2420.0	1719.0
60 – 64 -" -	2195.0	1748.0	1736.0	1819.0	2088.0	2310.0	2394.0	2311.0
65 – 69 -" -	2236.0	1713.0	1954.0	1896.0	2059.0	2281.0	2387.0	2171.0
70 лет и более	2250.0	1754.0	1902.0	1932.0	2034.0	2295.0	2281.0	2327.0
Ивановская область								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1414.0	1275.0	710.0	1442.0	1298.0	1402.0	1916.0	2140.0
15 – 17 лет	12.0	-	-	0.0	13.0	10.0	13.0	89.0
18 – 19 -" -	73.0	-	35.0	86.0	55.0	151.0	135.0	361.0
20 – 24 -" -	397.0	306.0	160.0	418.0	440.0	628.0	414.0	783.0
25 – 29 -" -	930.0	735.0	729.0	974.0	1011.0	1091.0	1104.0	747.0
30 – 34 -" -	1282.0	1105.0	1164.0	1308.0	1388.0	1424.0	1593.0	2000.0
35 – 39 -" -	1534.0	1356.0	1361.0	1537.0	1682.0	1684.0	1903.0	1376.0
40 – 44 -" -	1716.0	1524.0	1666.0	1702.0	1852.0	1932.0	1797.0	1211.0
45 – 49 -" -	1739.0	1526.0	1738.0	1725.0	1816.0	2045.0	1761.0	1210.0
50 – 54 -" -	1709.0	1489.0	1483.0	1691.0	1756.0	1988.0	1767.0	1545.0
55 – 59 -" -	1636.0	1479.0	1779.0	1610.0	1666.0	1776.0	1895.0	1292.0
60 – 64 -" -	1666.0	1434.0	1779.0	1572.0	1643.0	1782.0	1886.0	1381.0
65 – 69 -" -	1710.0	1390.0	1387.0	1620.0	1649.0	1743.0	1878.0	2150.0
70 лет и более	1881.0	1464.0	1745.0	1675.0	1764.0	1850.0	2009.0	2416.0
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1345.0	1241.0	665.0	1398.0	1248.0	1322.0	1810.0	2029.0
15 – 17 лет	12.0	-	-	0.0	11.0	11.0	19.0	0.0
18 – 19 -" -	64.0	-	37.0	94.0	48.0	132.0	111.0	0.0
20 – 24 -" -	376.0	309.0	156.0	417.0	421.0	564.0	505.0	439.0
25 – 29 -" -	895.0	726.0	723.0	950.0	977.0	1016.0	1074.0	444.0
30 – 34 -" -	1233.0	1077.0	1146.0	1268.0	1334.0	1338.0	1204.0	1719.0
35 – 39 -" -	1465.0	1319.0	1295.0	1477.0	1606.0	1511.0	1912.0	1622.0
40 – 44 -" -	1643.0	1474.0	1605.0	1642.0	1775.0	1791.0	1406.0	1302.0
45 – 49 -" -	1669.0	1484.0	1632.0	1670.0	1763.0	1871.0	1345.0	1082.0
50 – 54 -" -	1647.0	1443.0	1452.0	1649.0	1713.0	1855.0	1625.0	1125.0
55 – 59 -" -	1571.0	1444.0	1701.0	1560.0	1623.0	1690.0	1458.0	1917.0
60 – 64 -" -	1596.0	1406.0	1592.0	1537.0	1591.0	1701.0	1769.0	1286.0
65 – 69 -" -	1633.0	1367.0	1330.0	1581.0	1618.0	1686.0	1753.0	1665.0
70 лет и более	1791.0	1438.0	1685.0	1632.0	1730.0	1775.0	1908.0	2280.0
Сельские населенные пункты								
Женщины в возрасте 15 лет и более	1760.0	1603.0	1291.0	1696.0	1583.0	1702.0	2185.0	2382.0
15 – 17 лет	11.0	-	-	-	25.0	7.0	0.0	178.0
18 – 19 -" -	124.0	-	0.0	31.0	99.0	220.0	235.0	1625.0
20 – 24 -" -	524.0	281.0	245.0	421.0	549.0	821.0	298.0	1143.0
25 – 29 -" -	1160.0	872.0	855.0	1150.0	1189.0	1319.0	1164.0	1000.0
30 – 34 -" -	1584.0	1379.0	1389.0	1544.0	1682.0	1715.0	2327.0	2667.0
35 – 39 -" -	1873.0	1639.0	1941.0	1819.0	2035.0	2081.0	1875.0	1100.0
40 – 44 -" -	2053.0	1879.0	2526.0	1980.0	2169.0	2234.0	2796.0	1095.0
45 – 49 -" -	2092.0	1892.0	2589.0	1993.0	2087.0	2462.0	3271.0	1406.0
50 – 54 -" -	2067.0	1927.0	1705.0	1958.0	2019.0	2360.0	2108.0	2667.0
55 – 59 -" -	2020.0	1840.0	2393.0	1932.0	2003.0	2049.0	2680.0	667.0
60 – 64 -" -	1985.0	1709.0	2596.0	1812.0	1975.0	2041.0	2123.0	1571.0
65 – 69 -" -	2041.0	1616.0	1750.0	1886.0	1858.0	2003.0	2170.0	2951.0
70 лет и более	2252.0	1802.0	2116.0	1992.0	2050.0	2235.0	2284.0	2767.0
Калужская область								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1475.0	1321.0	771.0	1456.0	1315.0	1458.0	2255.0	2296.0
15 – 17 лет	13.0	-	-	61.0	16.0	11.0	11.0	0.0
18 – 19 -" -	77.0	-	25.0	89.0	57.0	173.0	181.0	420.0
20 – 24 -" -	427.0	324.0	185.0	453.0	449.0	726.0	783.0	474.0
25 – 29 -" -	944.0	706.0	798.0	957.0	1073.0	1207.0	1371.0	1211.0
30 – 34 -" -	1319.0	1109.0	1137.0	1330.0	1468.0	1603.0	2281.0	672.0
35 – 39 -" -	1557.0	1347.0	1449.0	1543.0	1778.0	1915.0	2213.0	1754.0
40 – 44 -" -	1709.0	1508.0	1593.0	1701.0	1849.0	2102.0	2279.0	1058.0
45 – 49 -" -	1765.0	1572.0	1568.0	1736.0	1883.0	2202.0	1790.0	121.0
50 – 54 -" -	1734.0	1532.0	1550.0	1684.0	1808.0	2105.0	2417.0	2500.0
55 – 59 -" -	1697.0	1488.0	1560.0	1644.0	1744.0	1998.0	2092.0	1175.0
60 – 64 -" -	1781.0	1503.0	1728.0	1637.0	1677.0	1977.0	2261.0	2366.0
65 – 69 -" -	1883.0	1527.0	1563.0	1651.0	1702.0	1983.0	2289.0	2226.0
70 лет и более	2114.0	1600.0	1853.0	1780.0	1893.0	2069.0	2347.0	2479.0
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1337.0	1285.0	722.0	1394.0	1213.0	1262.0	1983.0	2163.0
15 – 17 лет	11.0	-	-	81.0	17.0	9.0	6.0	0.0
18 – 19 -" -	59.0	-	27.0	92.0	46.0	103.0	0.0	459.0
20 – 24 -" -	383.0	315.0	174.0	435.0	408.0	591.0	829.0	286.0
25 – 29 -" -	879.0	688.0	800.0	920.0	1003.0	1046.0	1082.0	875.0
30 – 34 -" -	1229.0	1077.0	1054.0	1259.0	1364.0	1334.0	2094.0	600.0
35 – 39 -" -	1462.0	1307.0	1358.0	1471.0	1643.0	1722.0	2615.0	667.0
40 – 44 -" -	1606.0	1474.0	1532.0	1621.0	1712.0	1775.0	1809.0	1444.0
