3. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ЗАНЯТИЯМ И ВОЗРАСТНЫМ ГРУППАМ (на 1000 человек соответствующей возрастной группы)												
												
												
	Всего	В возрасте, лет										В трудоспособном возрасте
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	49.0	88.0	68.0	51.0	45.0	44.0	45.0	45.0	45.0	43.0	40.0	49.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	184.0	396.0	271.0	225.0	204.0	185.0	167.0	149.0	128.0	97.0	94.0	190.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	19.0	16.0	13.0	17.0	20.0	23.0	24.0	23.0	19.0	7.0	6.0	20.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	78.0	94.0	75.0	72.0	72.0	77.0	84.0	87.0	81.0	58.0	40.0	79.0
операторы, аппаратчики, машинисты установок и машин	49.0	36.0	37.0	41.0	45.0	50.0	55.0	58.0	54.0	43.0	32.0	49.0
неквалифицированные рабочие	114.0	115.0	78.0	83.0	91.0	107.0	119.0	133.0	146.0	138.0	215.0	111.0
занятые на военной службе	4.0	1.0	3.0	4.0	5.0	6.0	6.0	4.0	2.0	2.0	1.0	4.0
лица, неточно указавшие или не указавшие  занятия 	21.0	23.0	20.0	20.0	20.0	20.0	20.0	21.0	22.0	25.0	29.0	21.0
Городское население в возрасте 15-64 лет, занятое в экономике 	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по группам занятий:												
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	126.0	26.0	62.0	102.0	124.0	136.0	139.0	144.0	151.0	168.0	156.0	124.0
специалисты высшего уровня квалификации	161.0	53.0	144.0	171.0	161.0	160.0	154.0	156.0	168.0	208.0	237.0	157.0
специалисты среднего уровня квалификации	129.0	115.0	143.0	140.0	139.0	129.0	124.0	122.0	125.0	115.0	109.0	129.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	27.0	58.0	39.0	28.0	25.0	24.0	25.0	26.0	26.0	21.0	21.0	27.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	135.0	277.0	201.0	167.0	156.0	137.0	119.0	104.0	90.0	68.0	67.0	137.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	4.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	3.0	2.0	4.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	170.0	217.0	184.0	164.0	152.0	157.0	170.0	179.0	180.0	173.0	144.0	173.0
операторы, аппаратчики, машинисты установок и машин	130.0	70.0	109.0	121.0	134.0	141.0	148.0	144.0	128.0	115.0	82.0	133.0
неквалифицированные рабочие	82.0	148.0	78.0	65.0	65.0	71.0	79.0	90.0	100.0	98.0	151.0	80.0
занятые на военной службе	11.0	2.0	12.0	14.0	15.0	15.0	13.0	7.0	3.0	3.0	2.0	11.0
лица, неточно указавшие или не указавшие  занятия 	25.0	30.0	25.0	25.0	26.0	26.0	25.0	24.0	25.0	28.0	29.0	25.0
Мужчины в возрасте 15-64 лет, занятые в экономике 	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по группам занятий:												
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	146.0	26.0	68.0	122.0	152.0	163.0	162.0	165.0	176.0	190.0	192.0	145.0
специалисты высшего уровня квалификации	104.0	32.0	93.0	113.0	98.0	98.0	93.0	97.0	110.0	143.0	198.0	101.0
специалисты среднего уровня квалификации	85.0	88.0	100.0	95.0	93.0	83.0	74.0	74.0	78.0	81.0	80.0	85.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	5.0	16.0	8.0	6.0	6.0	4.0	4.0	3.0	4.0	4.0	5.0	5.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	83.0	137.0	134.0	114.0	106.0	84.0	64.0	52.0	46.0	46.0	46.0	84.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	4.0	6.0	4.0	4.0	4.0	5.0	5.0	5.0	4.0	3.0	2.0	4.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	255.0	346.0	279.0	240.0	219.0	229.0	255.0	275.0	285.0	262.0	225.0	256.0
операторы, аппаратчики, машинисты установок и машин	208.0	105.0	172.0	189.0	213.0	228.0	244.0	237.0	207.0	171.0	120.0	210.0
неквалифицированные рабочие	65.0	205.0	92.0	66.0	57.0	53.0	52.0	55.0	59.0	67.0	100.0	64.0
занятые на военной службе	17.0	4.0	22.0	23.0	23.0	24.0	20.0	11.0	5.0	4.0	3.0	18.0
лица, неточно указавшие или не указавшие  занятия 	28.0	35.0	28.0	28.0	29.0	29.0	27.0	26.0	26.0	29.0	29.0	28.0
Женщины в возрасте 15-64 лет, занятые в экономике 	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по группам занятий:												
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	105.0	26.0	56.0	79.0	95.0	110.0	119.0	126.0	130.0	139.0	111.0	103.0
специалисты высшего уровня квалификации	218.0	73.0	200.0	236.0	229.0	220.0	209.0	206.0	219.0	290.0	287.0	213.0
специалисты среднего уровня квалификации	174.0	140.0	191.0	191.0	188.0	174.0	168.0	164.0	166.0	157.0	146.0	175.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	50.0	97.0	72.0	53.0	47.0	44.0	45.0	45.0	45.0	42.0	40.0	50.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	186.0	407.0	274.0	227.0	209.0	188.0	168.0	149.0	128.0	97.0	93.0	192.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	3.0	2.0	2.0	2.0	3.0	3.0	3.0	4.0	3.0	2.0	2.0	3.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	85.0	96.0	78.0	77.0	79.0	86.0	93.0	96.0	90.0	62.0	42.0	87.0
операторы, аппаратчики, машинисты установок и машин	53.0	37.0	39.0	44.0	49.0	56.0	61.0	64.0	58.0	45.0	33.0	54.0
неквалифицированные рабочие	99.0	96.0	63.0	65.0	73.0	89.0	104.0	119.0	135.0	137.0	216.0	95.0
занятые на военной службе	4.0	1.0	3.0	4.0	5.0	7.0	7.0	4.0	2.0	2.0	1.0	5.0
лица, неточно указавшие или не указавшие  занятия 	23.0	25.0	22.0	22.0	23.0	23.0	23.0	23.0	24.0	27.0	29.0	23.0
Сельское население в возрасте 15-64 лет, занятое в экономике 	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по группам занятий:												
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	81.0	13.0	32.0	50.0	68.0	84.0	95.0	104.0	114.0	122.0	135.0	80.0
специалисты высшего уровня квалификации	102.0	34.0	94.0	105.0	107.0	104.0	97.0	97.0	107.0	144.0	183.0	99.0
специалисты среднего уровня квалификации	118.0	76.0	124.0	122.0	129.0	122.0	114.0	115.0	119.0	103.0	113.0	118.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	23.0	25.0	24.0	21.0	21.0	23.0	24.0	24.0	23.0	18.0	23.0	23.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	113.0	179.0	169.0	144.0	123.0	111.0	100.0	91.0	80.0	57.0	67.0	114.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	71.0	77.0	55.0	65.0	71.0	76.0	79.0	79.0	71.0	48.0	47.0	71.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	124.0	164.0	142.0	130.0	116.0	111.0	118.0	123.0	126.0	130.0	99.0	125.0
операторы, аппаратчики, машинисты установок и машин	192.0	145.0	176.0	188.0	201.0	204.0	206.0	192.0	175.0	193.0	131.0	194.0
неквалифицированные рабочие	155.0	267.0	155.0	147.0	139.0	143.0	147.0	160.0	171.0	171.0	182.0	155.0
занятые на военной службе	9.0	2.0	15.0	15.0	13.0	11.0	9.0	4.0	2.0	2.0	2.0	9.0
лица, неточно указавшие или не указавшие  занятия 	12.0	18.0	14.0	13.0	12.0	11.0	11.0	11.0	12.0	12.0	18.0	12.0
Мужчины в возрасте 15-64 лет, занятые в экономике 	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по группам занятий:												
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	78.0	9.0	30.0	50.0	66.0	80.0	90.0	100.0	111.0	114.0	151.0	77.0
специалисты высшего уровня квалификации	59.0	15.0	53.0	59.0	53.0	57.0	57.0	59.0	69.0	81.0	142.0	58.0
специалисты среднего уровня квалификации	59.0	37.0	64.0	62.0	62.0	57.0	54.0	58.0	63.0	63.0	73.0	59.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	9.0	4.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	57.0	50.0	101.0	86.0	71.0	54.0	42.0	35.0	34.0	36.0	41.0	57.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	58.0	82.0	52.0	55.0	58.0	62.0	62.0	60.0	54.0	51.0	49.0	58.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	187.0	223.0	204.0	192.0	176.0	171.0	179.0	192.0	199.0	180.0	150.0	188.0
операторы, аппаратчики, машинисты установок и машин	330.0	234.0	289.0	317.0	354.0	365.0	367.0	340.0	302.0	274.0	200.0	332.0
неквалифицированные рабочие	141.0	323.0	163.0	136.0	123.0	121.0	121.0	134.0	149.0	183.0	167.0	140.0
занятые на военной службе	14.0	2.0	24.0	24.0	20.0	17.0	12.0	6.0	2.0	2.0	2.0	14.0
лица, неточно указавшие или не указавшие  занятия 	13.0	21.0	16.0	15.0	13.0	12.0	12.0	12.0	12.0	11.0	16.0	13.0
Женщины в возрасте 15-64 лет, занятые в экономике 	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по группам занятий:												
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	85.0	17.0	34.0	50.0	69.0	87.0	100.0	108.0	117.0	140.0	111.0	83.0
специалисты высшего уровня квалификации	153.0	60.0	148.0	163.0	168.0	156.0	141.0	137.0	150.0	272.0	245.0	149.0
специалисты среднего уровня квалификации	187.0	128.0	204.0	196.0	205.0	192.0	179.0	175.0	183.0	184.0	172.0	187.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	44.0	54.0	50.0	42.0	41.0	43.0	45.0	44.0	43.0	46.0	45.0	44.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	179.0	349.0	259.0	217.0	183.0	173.0	164.0	150.0	130.0	100.0	107.0	181.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	86.0	70.0	58.0	77.0	86.0	91.0	96.0	99.0	90.0	43.0	44.0	87.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	50.0	85.0	61.0	52.0	48.0	46.0	51.0	50.0	44.0	28.0	23.0	51.0
операторы, аппаратчики, машинисты установок и машин	30.0	28.0	26.0	27.0	28.0	30.0	33.0	35.0	33.0	27.0	27.0	31.0
неквалифицированные рабочие	171.0	192.0	145.0	161.0	157.0	166.0	174.0	187.0	196.0	146.0	204.0	172.0
занятые на военной службе	4.0	1.0	3.0	4.0	5.0	5.0	6.0	4.0	2.0	1.0	2.0	4.0
лица, неточно указавшие или не указавшие  занятия 	11.0	16.0	12.0	11.0	10.0	11.0	11.0	11.0	12.0	13.0	20.0	11.0
