5. НАСЕЛЕНИЕ, ВРЕМЕННО НАХОДИВШЕЕСЯ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ					
С  ЦЕЛЬЮ РАБОТЫ, ПО СТРАНЕ ПОСТОЯННОГО ПРОЖИВАНИЯ И ВОЗРАСТНЫМ ГРУППАМ					
					
	Всего	в том числе в возрасте			Возраст не указан
территория не указана	2311.0	31.0	2169.0	62.0	49.0
Мужчины, временно находившиеся на территории Российской Федерации	24619.0	239.0	23703.0	369.0	308.0
из них постоянно проживают:					
в странах СНГ	18837.0	212.0	18059.0	308.0	258.0
Азербайджане	991.0	11.0	919.0	17.0	44.0
Армении	1482.0	22.0	1368.0	45.0	47.0
Белоруссии	1173.0	4.0	1141.0	26.0	2.0
Грузии	484.0	7.0	451.0	14.0	12.0
Казахстане	442.0	1.0	429.0	4.0	8.0
Киргизии	432.0	10.0	405.0	5.0	12.0
Молдавии	1374.0	38.0	1300.0	20.0	16.0
Таджикистане	3922.0	56.0	3781.0	48.0	37.0
Туркмении	32.0	-	32.0	-	-
Узбекистане	2875.0	32.0	2785.0	31.0	27.0
Украине	5630.0	31.0	5448.0	98.0	53.0
в странах Европы	288.0	-	287.0	1.0	-
в странах Азии	3477.0	6.0	3444.0	14.0	13.0
прочих странах	34.0	-	33.0	-	1.0
территория не указана	1983.0	21.0	1880.0	46.0	36.0
Женщины, временно находившиеся на территории Российской Федерации	3511.0	109.0	3154.0	187.0	61.0
из них постоянно проживают:					
в странах СНГ	2860.0	98.0	2551.0	163.0	48.0
Азербайджане	96.0	9.0	80.0	4.0	3.0
Армении	145.0	10.0	125.0	6.0	4.0
Белоруссии	46.0	1.0	38.0	6.0	1.0
Грузии	50.0	6.0	40.0	2.0	2.0
Казахстане	112.0	1.0	100.0	10.0	1.0
Киргизии	86.0	5.0	80.0	1.0	-
Молдавии	422.0	18.0	372.0	14.0	18.0
Таджикистане	326.0	18.0	293.0	12.0	3.0
Туркмении	8.0	-	7.0	1.0	-
Узбекистане	416.0	14.0	369.0	28.0	5.0
Украине	1153.0	16.0	1047.0	79.0	11.0
в странах Европы	21.0	-	19.0	2.0	-
в странах Азии	298.0	1.0	291.0	6.0	-
прочих странах	4.0	-	4.0	-	-
территория не указана	328.0	10.0	289.0	16.0	13.0
