12. НАСЕЛЕНИЕ КОЛЛЕКТИВНЫХ ДОМОХОЗЯЙСТВ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ					
					
	Население, проживающее в коллективных домохозяйствах	в том числе проживающие в			
  0 – 3	11795.0	408.0	847.0	8628.0	1912.0
  4 – 5	5936.0	658.0	146.0	4001.0	1131.0
  6 – 9	17859.0	2021.0	277.0	13051.0	2510.0
10 – 14 	50975.0	4977.0	472.0	40780.0	4746.0
15 – 17 	25106.0	2889.0	276.0	18121.0	3820.0
18 – 24	28741.0	6110.0	1877.0	2475.0	18279.0
25 – 34 	35809.0	7649.0	3393.0	392.0	24375.0
35 – 44 	30481.0	8472.0	4574.0	276.0	17159.0
45 – 54	27966.0	11571.0	6223.0	277.0	9895.0
55 – 64	21825.0	13172.0	5037.0	222.0	3394.0
65 и более	76616.0	60487.0	10849.0	722.0	4558.0
возраст не указан	565.0	111.0	159.0	54.0	241.0
Городское население	1713821.0	139373.0	41275.0	154879.0	1378294.0
в том числе в возрасте, лет:					
  0 – 3	24531.0	860.0	1794.0	19037.0	2840.0
  4 – 5	11233.0	1140.0	243.0	8173.0	1677.0
  6 – 9	30714.0	3669.0	386.0	22886.0	3773.0
10 – 14 	89976.0	9096.0	770.0	68894.0	11216.0
15 – 17 	79667.0	5310.0	472.0	28986.0	44899.0
18 – 24	826707.0	8053.0	2980.0	4443.0	811231.0
25 – 34 	288949.0	9554.0	5604.0	617.0	273174.0
35 – 44 	159446.0	10107.0	7648.0	393.0	141298.0
45 – 54	89285.0	14139.0	9025.0	412.0	65709.0
55 – 64	38467.0	18310.0	5484.0	310.0	14363.0
65 и более	73213.0	58971.0	6457.0	612.0	7173.0
возраст не указан	1633.0	164.0	412.0	116.0	941.0
Мужчины	1493739.0	66186.0	25988.0	88602.0	1312963.0
в том числе в возрасте, лет:					
  0 – 3	13769.0	488.0	1008.0	10840.0	1433.0
  4 – 5	6506.0	641.0	124.0	4864.0	877.0
  6 – 9	17611.0	2136.0	211.0	13234.0	2030.0
10 – 14 	53950.0	5479.0	485.0	40012.0	7974.0
15 – 17 	61296.0	3162.0	313.0	15876.0	41945.0
18 – 24	806320.0	4556.0	2003.0	2452.0	797309.0
25 – 34 	265498.0	5222.0	3995.0	360.0	255921.0
35 – 44 	140962.0	5599.0	5550.0	236.0	129577.0
45 – 54	73352.0	7946.0	6264.0	266.0	58876.0
55 – 64	26322.0	10724.0	3382.0	195.0	12021.0
65 и более	26975.0	20158.0	2382.0	194.0	4241.0
возраст не указан	1178.0	75.0	271.0	73.0	759.0
Женщины	220082.0	73187.0	15287.0	66277.0	65331.0
в том числе в возрасте, лет:					
  0 – 3	10762.0	372.0	786.0	8197.0	1407.0
  4 – 5	4727.0	499.0	119.0	3309.0	800.0
  6 – 9	13103.0	1533.0	175.0	9652.0	1743.0
10 – 14 	36026.0	3617.0	285.0	28882.0	3242.0
15 – 17 	18371.0	2148.0	159.0	13110.0	2954.0
18 – 24	20387.0	3497.0	977.0	1991.0	13922.0
25 – 34 	23451.0	4332.0	1609.0	257.0	17253.0
35 – 44 	18484.0	4508.0	2098.0	157.0	11721.0
45 – 54	15933.0	6193.0	2761.0	146.0	6833.0
55 – 64	12145.0	7586.0	2102.0	115.0	2342.0
65 и более	46238.0	38813.0	4075.0	418.0	2932.0
возраст не указан	455.0	89.0	141.0	43.0	182.0
Сельское население	556253.0	96567.0	44798.0	54424.0	360464.0
в том числе в возрасте, лет:					
  0 – 3	2231.0	89.0	119.0	966.0	1057.0
  4 – 5	2742.0	365.0	71.0	1634.0	672.0
  6 – 9	11067.0	1184.0	232.0	8007.0	1644.0
10 – 14 	36896.0	3528.0	477.0	29598.0	3293.0
15 – 17 	17998.0	1898.0	418.0	11800.0	3882.0
18 – 24	209124.0	6890.0	2816.0	1026.0	198392.0
25 – 34 	94241.0	9062.0	5505.0	238.0	79436.0
35 – 44 	63189.0	10704.0	7642.0	206.0	44637.0
45 – 54	44867.0	14625.0	10192.0	238.0	19812.0
55 – 64	26182.0	14405.0	7130.0	203.0	4444.0
65 и более	47295.0	33777.0	10132.0	472.0	2914.0
возраст не указан	421.0	40.0	64.0	36.0	281.0
Мужчины	442661.0	51229.0	25955.0	31702.0	333775.0
в том числе в возрасте, лет:					
  0 – 3	1198.0	53.0	58.0	535.0	552.0
  4 – 5	1533.0	206.0	44.0	942.0	341.0
  6 – 9	6311.0	696.0	130.0	4608.0	877.0
10 – 14 	21947.0	2168.0	290.0	17700.0	1789.0
15 – 17 	11263.0	1157.0	301.0	6789.0	3016.0
18 – 24	200770.0	4277.0	1916.0	542.0	194035.0
25 – 34 	81883.0	5745.0	3721.0	103.0	72314.0
35 – 44 	51192.0	6740.0	5166.0	87.0	39199.0
45 – 54	32834.0	9247.0	6730.0	107.0	16750.0
55 – 64	16502.0	8819.0	4195.0	96.0	3392.0
65 и более	16917.0	12103.0	3358.0	168.0	1288.0
возраст не указан	311.0	18.0	46.0	25.0	222.0
Женщины	113592.0	45338.0	18843.0	22722.0	26689.0
в том числе в возрасте, лет:					
  0 – 3	1033.0	36.0	61.0	431.0	505.0
  4 – 5	1209.0	159.0	27.0	692.0	331.0
  6 – 9	4756.0	488.0	102.0	3399.0	767.0
10 – 14 	14949.0	1360.0	187.0	11898.0	1504.0
15 – 17 	6735.0	741.0	117.0	5011.0	866.0
18 – 24	8354.0	2613.0	900.0	484.0	4357.0
25 – 34 	12358.0	3317.0	1784.0	135.0	7122.0
35 – 44 	11997.0	3964.0	2476.0	119.0	5438.0
45 – 54	12033.0	5378.0	3462.0	131.0	3062.0
55 – 64	9680.0	5586.0	2935.0	107.0	1052.0
65 и более	30378.0	21674.0	6774.0	304.0	1626.0
возраст не указан	110.0	22.0	18.0	11.0	59.0
