3. ОБЩАЯ ПЛОЩАДЬ, В СРЕДНЕМ ПРИХОДЯЩАЯСЯ НА ОДНОГО ЧЛЕНА ЧАСТНЫХ ДОМОХОЗЯЙСТВ, ПРОЖИВАЮЩИХ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ 1) ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
(кв. м на одного человека)						
						
	Средний размер общей площади, приходящейся на одного человека, проживающего	в частных домохозяйствах, состоящих из				
в коммунальных квартирах	13.0	24.0	12.0	10.0	10.0	10.0
Калужская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	43.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	25.0	50.0	28.0	20.0	16.0	12.0
в отдельных квартирах	18.0	40.0	23.0	17.0	13.0	11.0
в коммунальных квартирах	13.0	23.0	14.0	11.0	9.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	24.0	51.0	29.0	21.0	17.0	13.0
в отдельных квартирах	18.0	39.0	23.0	17.0	13.0	11.0
в коммунальных квартирах	13.0	23.0	14.0	11.0	9.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	21.0	46.0	25.0	18.0	14.0	10.0
в том числе:						
в индивидуальных домах	25.0	49.0	27.0	19.0	16.0	11.0
в отдельных квартирах	17.0	41.0	24.0	17.0	14.0	10.0
в коммунальных квартирах	14.0	23.0	16.0	12.0	11.0	9.0
Костромская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	42.0	24.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	23.0	47.0	26.0	20.0	16.0	12.0
в отдельных квартирах	19.0	40.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	22.0	14.0	11.0	9.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	23.0	48.0	27.0	20.0	17.0	13.0
в отдельных квартирах	19.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	22.0	14.0	11.0	9.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	21.0	44.0	25.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	24.0	46.0	25.0	19.0	15.0	11.0
в отдельных квартирах	19.0	41.0	25.0	18.0	14.0	11.0
в коммунальных квартирах	12.0	21.0	14.0	10.0	8.0	7.0
Курская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	46.0	26.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	23.0	50.0	28.0	21.0	16.0	12.0
в отдельных квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	12.0	22.0	14.0	11.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	43.0	25.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	23.0	52.0	30.0	22.0	18.0	14.0
в отдельных квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	12.0	21.0	14.0	11.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	22.0	49.0	27.0	19.0	16.0	11.0
в том числе:						
в индивидуальных домах	23.0	50.0	27.0	20.0	16.0	11.0
в отдельных квартирах	18.0	42.0	25.0	19.0	15.0	11.0
в коммунальных квартирах	12.0	26.0	13.0	11.0	11.0	8.0
Липецкая область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	44.0	26.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	24.0	49.0	29.0	22.0	17.0	13.0
в отдельных квартирах	18.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	23.0	16.0	12.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	42.0	24.0	18.0	14.0	12.0
в том числе:						
в индивидуальных домах	23.0	52.0	30.0	22.0	18.0	13.0
в отдельных квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	23.0	16.0	12.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	22.0	47.0	28.0	20.0	16.0	12.0
в том числе:						
в индивидуальных домах	24.0	48.0	28.0	21.0	17.0	12.0
в отдельных квартирах	18.0	43.0	26.0	19.0	15.0	11.0
в коммунальных квартирах	13.0	25.0	15.0	12.0	10.0	7.0
Московская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	42.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	29.0	55.0	31.0	25.0	21.0	16.0
в отдельных квартирах	18.0	41.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	24.0	15.0	12.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	28.0	58.0	33.0	26.0	21.0	16.0
в отдельных квартирах	19.0	41.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	24.0	15.0	12.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	46.0	25.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	29.0	53.0	30.0	25.0	21.0	16.0
в отдельных квартирах	18.0	41.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	15.0	12.0	10.0	8.0
Орловская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	45.0	26.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	24.0	51.0	29.0	22.0	17.0	13.0
в отдельных квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	22.0	15.0	12.0	10.0	9.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	42.0	25.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	24.0	53.0	31.0	24.0	19.0	14.0
в отдельных квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	22.0	15.0	12.0	10.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	22.0	49.0	28.0	20.0	16.0	12.0
в том числе:						
в индивидуальных домах	24.0	51.0	29.0	21.0	17.0	12.0
в отдельных квартирах	17.0	39.0	23.0	16.0	13.0	10.0
в коммунальных квартирах	12.0	20.0	16.0	10.0	10.0	6.0
Рязанская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	43.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	24.0	47.0	27.0	20.0	16.0	12.0
в отдельных квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	15.0	12.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	24.0	50.0	29.0	22.0	17.0	13.0
в отдельных квартирах	18.0	39.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	23.0	15.0	12.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	22.0	45.0	25.0	18.0	15.0	11.0
в том числе:						
в индивидуальных домах	25.0	46.0	26.0	19.0	16.0	11.0
в отдельных квартирах	18.0	41.0	24.0	17.0	14.0	10.0
в коммунальных квартирах	14.0	23.0	17.0	12.0	11.0	8.0
Смоленская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	44.0	25.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	24.0	48.0	27.0	20.0	16.0	12.0
в отдельных квартирах	19.0	41.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	23.0	15.0	11.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	42.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	24.0	49.0	28.0	21.0	17.0	13.0
в отдельных квартирах	19.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	15.0	11.0	10.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	22.0	46.0	26.0	18.0	15.0	11.0
в том числе:						
в индивидуальных домах	24.0	48.0	27.0	19.0	16.0	11.0
в отдельных квартирах	19.0	42.0	24.0	17.0	14.0	10.0
в коммунальных квартирах	12.0	20.0	13.0	10.0	9.0	7.0
Тамбовская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	21.0	44.0	25.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	23.0	48.0	28.0	21.0	17.0	13.0
в отдельных квартирах	18.0	39.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	23.0	15.0	12.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	42.0	24.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	23.0	50.0	29.0	22.0	18.0	13.0
в отдельных квартирах	18.0	39.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	22.0	15.0	12.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	22.0	46.0	27.0	19.0	15.0	12.0
в том числе:						
в индивидуальных домах	23.0	47.0	27.0	20.0	16.0	12.0
в отдельных квартирах	18.0	40.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	12.0	23.0	14.0	12.0	11.0	5.0
Тверская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	43.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	25.0	49.0	27.0	20.0	16.0	13.0
в отдельных квартирах	19.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	15.0	11.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	24.0	49.0	27.0	21.0	17.0	13.0
в отдельных квартирах	19.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	15.0	12.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	23.0	47.0	26.0	18.0	15.0	11.0
в том числе:						
в индивидуальных домах	25.0	49.0	27.0	20.0	16.0	12.0
в отдельных квартирах	19.0	41.0	24.0	17.0	14.0	10.0
в коммунальных квартирах	12.0	20.0	13.0	10.0	8.0	6.0
Тульская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	42.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	23.0	47.0	26.0	20.0	16.0	12.0
в отдельных квартирах	19.0	41.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	15.0	25.0	16.0	12.0	10.0	9.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	23.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	23.0	50.0	28.0	21.0	17.0	13.0
в отдельных квартирах	19.0	40.0	23.0	17.0	13.0	11.0
в коммунальных квартирах	15.0	25.0	16.0	12.0	10.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	21.0	44.0	25.0	18.0	15.0	11.0
в том числе:						
в индивидуальных домах	24.0	45.0	25.0	19.0	15.0	11.0
в отдельных квартирах	19.0	43.0	25.0	18.0	15.0	11.0
в коммунальных квартирах	13.0	21.0	16.0	12.0	10.0	7.0
Ярославская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	40.0	23.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	24.0	47.0	26.0	19.0	15.0	12.0
в отдельных квартирах	19.0	39.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	22.0	15.0	12.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	38.0	23.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	22.0	46.0	25.0	19.0	16.0	12.0
в отдельных квартирах	19.0	39.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	22.0	15.0	12.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	21.0	44.0	25.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	25.0	48.0	26.0	19.0	15.0	11.0
в отдельных квартирах	18.0	39.0	23.0	17.0	13.0	10.0
в коммунальных квартирах	13.0	22.0	14.0	11.0	10.0	7.0
г. Москва						
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	43.0	25.0	18.0	15.0	11.0
в том числе:						
в индивидуальных домах	23.0	53.0	30.0	22.0	19.0	13.0
в отдельных квартирах	20.0	44.0	25.0	19.0	15.0	12.0
в коммунальных квартирах	13.0	24.0	15.0	12.0	10.0	8.0
Северо-Западный федеральный округ						
Республика Карелия						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	42.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	25.0	53.0	30.0	22.0	18.0	14.0
в отдельных квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	22.0	15.0	12.0	11.0	10.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	24.0	50.0	29.0	23.0	19.0	14.0
в отдельных квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	22.0	15.0	12.0	11.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	21.0	44.0	25.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	26.0	54.0	30.0	22.0	18.0	14.0
в отдельных квартирах	19.0	40.0	23.0	16.0	13.0	10.0
в коммунальных квартирах	16.0	25.0	19.0	14.0	10.0	14.0
Республика Коми						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	43.0	25.0	18.0	14.0	12.0
в том числе:						
в индивидуальных домах	24.0	57.0	32.0	23.0	18.0	14.0
в отдельных квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	11.0	20.0	12.0	9.0	8.0	7.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	24.0	54.0	31.0	23.0	18.0	14.0
в отдельных квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	11.0	20.0	12.0	9.0	7.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	21.0	48.0	27.0	19.0	15.0	12.0
в том числе:						
в индивидуальных домах	24.0	58.0	32.0	23.0	18.0	14.0
в отдельных квартирах	18.0	40.0	23.0	17.0	13.0	10.0
в коммунальных квартирах	14.0	24.0	16.0	12.0	10.0	9.0
Архангельская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	43.0	25.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	27.0	57.0	31.0	22.0	18.0	13.0
в отдельных квартирах	18.0	40.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	16.0	12.0	11.0	10.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	40.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	24.0	50.0	28.0	20.0	17.0	12.0
в отдельных квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	15.0	12.0	11.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	22.0	50.0	28.0	19.0	15.0	12.0
в том числе:						
в индивидуальных домах	28.0	59.0	32.0	23.0	18.0	14.0
в отдельных квартирах	18.0	40.0	24.0	17.0	13.0	10.0
в коммунальных квартирах	17.0	26.0	19.0	14.0	12.0	11.0
Ненецкий автономный округ						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	42.0	24.0	17.0	14.0	10.0
в том числе:						
в индивидуальных домах	20.0	54.0	31.0	22.0	18.0	12.0
в отдельных квартирах	16.0	39.0	23.0	16.0	13.0	10.0
в коммунальных квартирах	13.0	20.0	18.0	12.0	10.0	7.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	24.0	55.0	32.0	25.0	21.0	15.0
в отдельных квартирах	17.0	40.0	23.0	17.0	13.0	10.0
в коммунальных квартирах	13.0	20.0	18.0	13.0	8.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	44.0	26.0	18.0	15.0	10.0
в том числе:						
в индивидуальных домах	20.0	54.0	31.0	21.0	17.0	12.0
в отдельных квартирах	14.0	35.0	21.0	15.0	12.0	9.0
в коммунальных квартирах	14.0	21.0	19.0	8.0	12.0	7.0
Вологодская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	44.0	25.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	27.0	52.0	29.0	21.0	17.0	13.0
в отдельных квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	22.0	15.0	11.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	40.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	24.0	48.0	27.0	20.0	17.0	12.0
в отдельных квартирах	19.0	40.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	22.0	15.0	11.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	22.0	48.0	27.0	19.0	15.0	11.0
в том числе:						
в индивидуальных домах	27.0	53.0	29.0	22.0	17.0	13.0
в отдельных квартирах	18.0	41.0	24.0	17.0	14.0	10.0
в коммунальных квартирах	15.0	23.0	17.0	11.0	11.0	8.0
Калининградская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	42.0	25.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	23.0	63.0	35.0	26.0	21.0	15.0
в отдельных квартирах	18.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	16.0	12.0	11.0	9.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	17.0	14.0	12.0
в том числе:						
в индивидуальных домах	27.0	63.0	37.0	30.0	25.0	18.0
в отдельных квартирах	18.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	16.0	12.0	11.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	50.0	28.0	20.0	16.0	12.0
в том числе:						
в индивидуальных домах	22.0	63.0	34.0	24.0	19.0	14.0
в отдельных квартирах	18.0	44.0	25.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	26.0	17.0	13.0	11.0	10.0
Ленинградская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	43.0	24.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	25.0	50.0	27.0	20.0	17.0	13.0
в отдельных квартирах	19.0	42.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	15.0	12.0	10.0	9.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	42.0	24.0	18.0	14.0	12.0
в том числе:						
в индивидуальных домах	24.0	51.0	28.0	21.0	17.0	13.0
в отдельных квартирах	19.0	42.0	24.0	18.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	15.0	12.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	44.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	25.0	49.0	26.0	20.0	16.0	12.0
в отдельных квартирах	18.0	41.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	15.0	12.0	9.0	9.0
Мурманская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	24.0	49.0	26.0	19.0	15.0	12.0
в отдельных квартирах	20.0	42.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	15.0	23.0	15.0	12.0	11.0	9.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	25.0	52.0	27.0	20.0	15.0	13.0
в отдельных квартирах	20.0	42.0	24.0	17.0	14.0	11.0
