7. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ И ПОЛУ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ									
									
									
	Городское и сельское			Городское население			Сельское население		
20 - 24	123405.0	61582.0	61823.0	71422.0	35229.0	36193.0	51983.0	26353.0	25630.0
25 - 29	109192.0	53859.0	55333.0	57813.0	27961.0	29852.0	51379.0	25898.0	25481.0
30 - 34	114875.0	56919.0	57956.0	55602.0	26251.0	29351.0	59273.0	30668.0	28605.0
35 - 39	144478.0	70315.0	74163.0	71142.0	32085.0	39057.0	73336.0	38230.0	35106.0
40 - 44	165145.0	80001.0	85144.0	85274.0	38477.0	46797.0	79871.0	41524.0	38347.0
45 - 49	123567.0	58899.0	64668.0	64832.0	29487.0	35345.0	58735.0	29412.0	29323.0
50 - 54	86715.0	40458.0	46257.0	44518.0	20059.0	24459.0	42197.0	20399.0	21798.0
55 - 59	40277.0	18142.0	22135.0	19811.0	8987.0	10824.0	20466.0	9155.0	11311.0
60 - 64	73955.0	31128.0	42827.0	29189.0	12430.0	16759.0	44766.0	18698.0	26068.0
65 - 69	66359.0	26650.0	39709.0	22689.0	9167.0	13522.0	43670.0	17483.0	26187.0
70 и более	116844.0	36365.0	80479.0	35068.0	11866.0	23202.0	81776.0	24499.0	57277.0
возраст не указан	207.0	99.0	108.0	121.0	62.0	59.0	86.0	37.0	49.0
Из общей численности - население в возрасте:									
моложе трудоспособного	379910.0	193555.0	186355.0	159289.0	81171.0	78118.0	220621.0	112384.0	108237.0
трудоспособном	1013979.0	505387.0	508592.0	537231.0	256332.0	280899.0	476748.0	249055.0	227693.0
старше трудоспособного	279293.0	94143.0	185150.0	97770.0	33463.0	64307.0	181523.0	60680.0	120843.0
Медианный возраст	   34,2	   32,1	   36,2	   32,9	   30,6	   34,7	   35,4	   33,3	   37,6
Чуваши	1637094.0	761472.0	875622.0	839848.0	384208.0	455640.0	797246.0	377264.0	419982.0
 в том числе в возрасте, лет:									
0 - 4	62222.0	32123.0	30099.0	26854.0	13787.0	13067.0	35368.0	18336.0	17032.0
5 - 9	73443.0	37732.0	35711.0	30806.0	15945.0	14861.0	42637.0	21787.0	20850.0
10 - 14	116530.0	59656.0	56874.0	53288.0	27160.0	26128.0	63242.0	32496.0	30746.0
15 - 17	81161.0	41373.0	39788.0	44519.0	21816.0	22703.0	36642.0	19557.0	17085.0
18 - 19	48516.0	24086.0	24430.0	32488.0	15609.0	16879.0	16028.0	8477.0	7551.0
20 - 24	107227.0	54207.0	53020.0	64156.0	31427.0	32729.0	43071.0	22780.0	20291.0
25 - 29	109756.0	54648.0	55108.0	60466.0	28954.0	31512.0	49290.0	25694.0	23596.0
30 - 34	117794.0	58244.0	59550.0	62587.0	28876.0	33711.0	55207.0	29368.0	25839.0
35 - 39	148489.0	72798.0	75691.0	82766.0	37391.0	45375.0	65723.0	35407.0	30316.0
40 - 44	168843.0	81507.0	87336.0	97350.0	43657.0	53693.0	71493.0	37850.0	33643.0
45 - 49	137408.0	65188.0	72220.0	79969.0	35874.0	44095.0	57439.0	29314.0	28125.0
50 - 54	108752.0	50107.0	58645.0	61401.0	27144.0	34257.0	47351.0	22963.0	24388.0
55 - 59	52030.0	22991.0	29039.0	27422.0	12057.0	15365.0	24608.0	10934.0	13674.0
60 - 64	89562.0	37409.0	52153.0	39781.0	16978.0	22803.0	49781.0	20431.0	29350.0
65 - 69	78946.0	30662.0	48284.0	30123.0	12352.0	17771.0	48823.0	18310.0	30513.0
70 и более	136280.0	38682.0	97598.0	45777.0	15139.0	30638.0	90503.0	23543.0	66960.0
возраст не указан	135.0	59.0	76.0	95.0	42.0	53.0	40.0	17.0	23.0
Из общей численности - население в возрасте:									
моложе трудоспособного	280314.0	143967.0	136347.0	124904.0	63967.0	60937.0	155410.0	80000.0	75410.0
трудоспособном	1022818.0	510693.0	512125.0	583803.0	275730.0	308073.0	439015.0	234963.0	204052.0
старше трудоспособного	333827.0	106753.0	227074.0	131046.0	44469.0	86577.0	202781.0	62284.0	140497.0
Медианный возраст	   38,6	   36,4	   40,4	   37,9	   36,3	   39,1	   39,4	   36,5	   42,5
Чеченцы	1360253.0	649801.0	710452.0	502362.0	239881.0	262481.0	857891.0	409920.0	447971.0
 в том числе в возрасте, лет:									
0 - 4	148082.0	73626.0	74456.0	52521.0	25809.0	26712.0	95561.0	47817.0	47744.0
5 - 9	146882.0	72843.0	74039.0	54662.0	26786.0	27876.0	92220.0	46057.0	46163.0
10 - 14	165940.0	82129.0	83811.0	61290.0	29987.0	31303.0	104650.0	52142.0	52508.0
15 - 17	92299.0	45088.0	47211.0	34293.0	16565.0	17728.0	58006.0	28523.0	29483.0
18 - 19	55283.0	26299.0	28984.0	20515.0	9919.0	10596.0	34768.0	16380.0	18388.0
20 - 24	123030.0	57324.0	65706.0	44918.0	20743.0	24175.0	78112.0	36581.0	41531.0
25 - 29	100688.0	46359.0	54329.0	36797.0	16687.0	20110.0	63891.0	29672.0	34219.0
30 - 34	97256.0	45170.0	52086.0	37882.0	17543.0	20339.0	59374.0	27627.0	31747.0
35 - 39	94953.0	44398.0	50555.0	36555.0	16971.0	19584.0	58398.0	27427.0	30971.0
40 - 44	99038.0	48058.0	50980.0	39016.0	19102.0	19914.0	60022.0	28956.0	31066.0
45 - 49	76869.0	37516.0	39353.0	28730.0	14231.0	14499.0	48139.0	23285.0	24854.0
50 - 54	48917.0	24107.0	24810.0	19030.0	9684.0	9346.0	29887.0	14423.0	15464.0
55 - 59	18060.0	8501.0	9559.0	7332.0	3498.0	3834.0	10728.0	5003.0	5725.0
60 - 64	27246.0	11667.0	15579.0	9816.0	4442.0	5374.0	17430.0	7225.0	10205.0
65 - 69	26922.0	11444.0	15478.0	8174.0	3531.0	4643.0	18748.0	7913.0	10835.0
70 и более	38140.0	15055.0	23085.0	10606.0	4294.0	6312.0	27534.0	10761.0	16773.0
возраст не указан	648.0	217.0	431.0	225.0	89.0	136.0	423.0	128.0	295.0
Из общей численности - население в возрасте:									
моложе трудоспособного	492283.0	244041.0	248242.0	180059.0	88231.0	91828.0	312224.0	155810.0	156414.0
трудоспособном	765455.0	367377.0	398078.0	289648.0	139294.0	150354.0	475807.0	228083.0	247724.0
старше трудоспособного	101867.0	38166.0	63701.0	32430.0	12267.0	20163.0	69437.0	25899.0	43538.0
Медианный возраст	   22,8	   22,1	   23,5	   22,9	   22,5	   23,4	   22,7	   21,9	   23,5
Армяне	1130491.0	620178.0	510313.0	805621.0	446424.0	359197.0	324870.0	173754.0	151116.0
 в том числе в возрасте, лет:									
0 - 4	59277.0	31631.0	27646.0	41434.0	22223.0	19211.0	17843.0	9408.0	8435.0
5 - 9	74453.0	39354.0	35099.0	51924.0	27499.0	24425.0	22529.0	11855.0	10674.0
10 - 14	101610.0	53467.0	48143.0	69077.0	36535.0	32542.0	32533.0	16932.0	15601.0
15 - 17	62080.0	33193.0	28887.0	42197.0	22543.0	19654.0	19883.0	10650.0	9233.0
18 - 19	38659.0	20263.0	18396.0	27459.0	14570.0	12889.0	11200.0	5693.0	5507.0
20 - 24	89514.0	48303.0	41211.0	64439.0	35013.0	29426.0	25075.0	13290.0	11785.0
25 - 29	86933.0	47589.0	39344.0	63536.0	35174.0	28362.0	23397.0	12415.0	10982.0
30 - 34	94470.0	53653.0	40817.0	70397.0	40576.0	29821.0	24073.0	13077.0	10996.0
35 - 39	102931.0	59493.0	43438.0	75044.0	44169.0	30875.0	27887.0	15324.0	12563.0
40 - 44	113889.0	66881.0	47008.0	82284.0	49114.0	33170.0	31605.0	17767.0	13838.0
45 - 49	83920.0	49418.0	34502.0	60225.0	35816.0	24409.0	23695.0	13602.0	10093.0
50 - 54	59146.0	34834.0	24312.0	43007.0	25527.0	17480.0	16139.0	9307.0	6832.0
55 - 59	29243.0	16626.0	12617.0	21689.0	12382.0	9307.0	7554.0	4244.0	3310.0
60 - 64	42550.0	22985.0	19565.0	29534.0	16028.0	13506.0	13016.0	6957.0	6059.0
65 - 69	34318.0	17758.0	16560.0	23214.0	11974.0	11240.0	11104.0	5784.0	5320.0
70 и более	57219.0	24558.0	32661.0	39910.0	17123.0	22787.0	17309.0	7435.0	9874.0
возраст не указан	279.0	172.0	107.0	251.0	158.0	93.0	28.0	14.0	14.0
Из общей численности - население в возрасте:									
моложе трудоспособного	256421.0	135685.0	120736.0	176520.0	93767.0	82753.0	79901.0	41918.0	37983.0
трудоспособном	727087.0	419020.0	308067.0	526885.0	307374.0	219511.0	200202.0	111646.0	88556.0
старше трудоспособного	146704.0	65301.0	81403.0	101965.0	45125.0	56840.0	44739.0	20176.0	24563.0
Медианный возраст	   32,8	   33,4	   32,0	   33,0	   33,7	   32,2	   32,1	   32,6	   31,5
Мордва	843350.0	384458.0	458892.0	439063.0	198645.0	240418.0	404287.0	185813.0	218474.0
 в том числе в возрасте, лет:									
0 - 4	17168.0	9053.0	8115.0	7173.0	3875.0	3298.0	9995.0	5178.0	4817.0
5 - 9	22867.0	11912.0	10955.0	8856.0	4619.0	4237.0	14011.0	7293.0	6718.0
10 - 14	38641.0	20206.0	18435.0	15888.0	8383.0	7505.0	22753.0	11823.0	10930.0
15 - 17	28456.0	14719.0	13737.0	14650.0	7412.0	7238.0	13806.0	7307.0	6499.0
18 - 19	17942.0	9235.0	8707.0	11676.0	5987.0	5689.0	6266.0	3248.0	3018.0
20 - 24	41836.0	21919.0	19917.0	24494.0	12724.0	11770.0	17342.0	9195.0	8147.0
25 - 29	44221.0	22861.0	21360.0	24631.0	12611.0	12020.0	19590.0	10250.0	9340.0
30 - 34	51495.0	26043.0	25452.0	26514.0	13029.0	13485.0	24981.0	13014.0	11967.0
35 - 39	73789.0	37168.0	36621.0	39889.0	18972.0	20917.0	33900.0	18196.0	15704.0
40 - 44	96375.0	48003.0	48372.0	54786.0	25852.0	28934.0	41589.0	22151.0	19438.0
45 - 49	86366.0	41886.0	44480.0	50526.0	23466.0	27060.0	35840.0	18420.0	17420.0
50 - 54	73983.0	34870.0	39113.0	43888.0	20098.0	23790.0	30095.0	14772.0	15323.0
55 - 59	32508.0	14545.0	17963.0	18193.0	8085.0	10108.0	14315.0	6460.0	7855.0
60 - 64	62377.0	25583.0	36794.0	29559.0	12294.0	17265.0	32818.0	13289.0	19529.0
65 - 69	50392.0	19281.0	31111.0	22720.0	8749.0	13971.0	27672.0	10532.0	17140.0
70 и более	104866.0	27140.0	77726.0	45582.0	12473.0	33109.0	59284.0	14667.0	44617.0
возраст не указан	68.0	34.0	34.0	38.0	16.0	22.0	30.0	18.0	12.0
Из общей численности - население в возрасте:									
моложе трудоспособного	88534.0	46300.0	42234.0	36399.0	19230.0	17169.0	52135.0	27070.0	25065.0
трудоспособном	519150.0	266120.0	253030.0	294657.0	145883.0	148774.0	224493.0	120237.0	104256.0
старше трудоспособного	235598.0	72004.0	163594.0	107969.0	33516.0	74453.0	127629.0	38488.0	89141.0
Медианный возраст	   44,4	   42,1	   46,9	   44,2	   42,3	   45,9	   44,7	   41,7	   48,5
Аварцы	814473.0	403610.0	410863.0	298315.0	153220.0	145095.0	516158.0	250390.0	265768.0
 в том числе в возрасте, лет:									
0 - 4	72028.0	36792.0	35236.0	23473.0	12115.0	11358.0	48555.0	24677.0	23878.0
5 - 9	79218.0	40366.0	38852.0	25305.0	12962.0	12343.0	53913.0	27404.0	26509.0
10 - 14	91894.0	46611.0	45283.0	30408.0	15429.0	14979.0	61486.0	31182.0	30304.0
15 - 17	55632.0	28225.0	27407.0	22600.0	11775.0	10825.0	33032.0	16450.0	16582.0
18 - 19	37653.0	19437.0	18216.0	19709.0	10653.0	9056.0	17944.0	8784.0	9160.0
20 - 24	76240.0	38523.0	37717.0	34145.0	17897.0	16248.0	42095.0	20626.0	21469.0
25 - 29	64178.0	31704.0	32474.0	24339.0	12178.0	12161.0	39839.0	19526.0	20313.0
30 - 34	65154.0	32300.0	32854.0	24456.0	12565.0	11891.0	40698.0	19735.0	20963.0
35 - 39	63729.0	31641.0	32088.0	23664.0	11911.0	11753.0	40065.0	19730.0	20335.0
40 - 44	58429.0	29661.0	28768.0	22325.0	11813.0	10512.0	36104.0	17848.0	18256.0
45 - 49	36447.0	18282.0	18165.0	14411.0	7415.0	6996.0	22036.0	10867.0	11169.0
50 - 54	25785.0	12707.0	13078.0	10173.0	5328.0	4845.0	15612.0	7379.0	8233.0
55 - 59	13009.0	6133.0	6876.0	4806.0	2451.0	2355.0	8203.0	3682.0	4521.0
60 - 64	20641.0	9443.0	11198.0	6537.0	3274.0	3263.0	14104.0	6169.0	7935.0
65 - 69	21718.0	9565.0	12153.0	5151.0	2522.0	2629.0	16567.0	7043.0	9524.0
70 и более	32684.0	12200.0	20484.0	6793.0	2919.0	3874.0	25891.0	9281.0	16610.0
возраст не указан	34.0	20.0	14.0	20.0	13.0	7.0	14.0	7.0	7.0
Из общей численности - население в возрасте:									
моложе трудоспособного	261487.0	133098.0	128389.0	85684.0	43918.0	41766.0	175803.0	89180.0	86623.0
трудоспособном	471033.0	239284.0	231749.0	191775.0	100574.0	91201.0	279258.0	138710.0	140548.0
старше трудоспособного	81919.0	31208.0	50711.0	20836.0	8715.0	12121.0	61083.0	22493.0	38590.0
Медианный возраст	   24,6	   23,8	   25,4	   23,8	   23,4	   24,1	   25,1	   24,0	   26,2
Белорусы	807970.0	376093.0	431877.0	623098.0	291781.0	331317.0	184872.0	84312.0	100560.0
 в том числе в возрасте, лет:									
0 - 4	7119.0	3864.0	3255.0	5230.0	2842.0	2388.0	1889.0	1022.0	867.0
5 - 9	10219.0	5399.0	4820.0	7424.0	3897.0	3527.0	2795.0	1502.0	1293.0
10 - 14	19199.0	10285.0	8914.0	13802.0	7429.0	6373.0	5397.0	2856.0	2541.0
15 - 17	15433.0	8052.0	7381.0	11485.0	5920.0	5565.0	3948.0	2132.0	1816.0
18 - 19	10134.0	5226.0	4908.0	8134.0	4193.0	3941.0	2000.0	1033.0	967.0
20 - 24	30560.0	15984.0	14576.0	24534.0	12791.0	11743.0	6026.0	3193.0	2833.0
25 - 29	40354.0	21090.0	19264.0	32241.0	16927.0	15314.0	8113.0	4163.0	3950.0
30 - 34	54083.0	27715.0	26368.0	42999.0	22098.0	20901.0	11084.0	5617.0	5467.0
35 - 39	72789.0	36828.0	35961.0	57150.0	28850.0	28300.0	15639.0	7978.0	7661.0
40 - 44	92681.0	45704.0	46977.0	72266.0	35269.0	36997.0	20415.0	10435.0	9980.0
45 - 49	81602.0	39907.0	41695.0	63615.0	30861.0	32754.0	17987.0	9046.0	8941.0
50 - 54	75537.0	34920.0	40617.0	59366.0	27104.0	32262.0	16171.0	7816.0	8355.0
55 - 59	51909.0	22902.0	29007.0	39942.0	17845.0	22097.0	11967.0	5057.0	6910.0
60 - 64	80166.0	35498.0	44668.0	60728.0	27543.0	33185.0	19438.0	7955.0	11483.0
65 - 69	66514.0	28668.0	37846.0	49387.0	21760.0	27627.0	17127.0	6908.0	10219.0
70 и более	99503.0	33967.0	65536.0	74650.0	26380.0	48270.0	24853.0	7587.0	17266.0
возраст не указан	168.0	84.0	84.0	145.0	72.0	73.0	23.0	12.0	11.0
Из общей численности - население в возрасте:									
моложе трудоспособного	41796.0	22288.0	19508.0	30248.0	16132.0	14116.0	11548.0	6156.0	5392.0
трудоспособном	490816.0	255588.0	235228.0	385843.0	199894.0	185949.0	104973.0	55694.0	49279.0
старше трудоспособного	275190.0	98133.0	177057.0	206862.0	75683.0	131179.0	68328.0	22450.0	45878.0
Медианный возраст	   48,0	   45,9	   50,2	   47,7	   45,8	   49,6	   49,1	   46,1	   52,4
Казахи	653962.0	326397.0	327565.0	212741.0	106389.0	106352.0	441221.0	220008.0	221213.0
 в том числе в возрасте, лет:									
0 - 4	38074.0	19737.0	18337.0	10070.0	5262.0	4808.0	28004.0	14475.0	13529.0
5 - 9	47548.0	24509.0	23039.0	12413.0	6460.0	5953.0	35135.0	18049.0	17086.0
10 - 14	67700.0	35022.0	32678.0	17790.0	9209.0	8581.0	49910.0	25813.0	24097.0
15 - 17	42225.0	21655.0	20570.0	15014.0	7318.0	7696.0	27211.0	14337.0	12874.0
18 - 19	25786.0	13121.0	12665.0	13214.0	6835.0	6379.0	12572.0	6286.0	6286.0
20 - 24	53502.0	26989.0	26513.0	21645.0	11021.0	10624.0	31857.0	15968.0	15889.0
25 - 29	50069.0	25109.0	24960.0	17877.0	8940.0	8937.0	32192.0	16169.0	16023.0
30 - 34	55091.0	27369.0	27722.0	19184.0	9249.0	9935.0	35907.0	18120.0	17787.0
35 - 39	64550.0	31749.0	32801.0	22158.0	10451.0	11707.0	42392.0	21298.0	21094.0
40 - 44	64087.0	31994.0	32093.0	21781.0	10431.0	11350.0	42306.0	21563.0	20743.0
45 - 49	44886.0	22937.0	21949.0	15002.0	7640.0	7362.0	29884.0	15297.0	14587.0
50 - 54	30061.0	15370.0	14691.0	9849.0	5226.0	4623.0	20212.0	10144.0	10068.0
55 - 59	14099.0	7127.0	6972.0	4141.0	2305.0	1836.0	9958.0	4822.0	5136.0
60 - 64	20434.0	9595.0	10839.0	4515.0	2377.0	2138.0	15919.0	7218.0	8701.0
65 - 69	14406.0	6433.0	7973.0	3062.0	1524.0	1538.0	11344.0	4909.0	6435.0
70 и более	21386.0	7652.0	13734.0	4989.0	2124.0	2865.0	16397.0	5528.0	10869.0
возраст не указан	58.0	29.0	29.0	37.0	17.0	20.0	21.0	12.0	9.0
Из общей численности - население в возрасте:									
моложе трудоспособного	167789.0	86644.0	81145.0	44582.0	23139.0	21443.0	123207.0	63505.0	59702.0
трудоспособном	422917.0	216044.0	206873.0	153720.0	77208.0	76512.0	269197.0	138836.0	130361.0
старше трудоспособного	63198.0	23680.0	39518.0	14402.0	6025.0	8377.0	48796.0	17655.0	31141.0
Медианный возраст	   30,2	   29,4	   31,0	   29,5	   29,0	   30,1	   30,6	   29,7	   31,4
Удмурты	636906.0	286517.0	350389.0	296976.0	129227.0	167749.0	339930.0	157290.0	182640.0
 в том числе в возрасте, лет:									
0 - 4	23018.0	11717.0	11301.0	7432.0	3858.0	3574.0	15586.0	7859.0	7727.0
5 - 9	25173.0	12894.0	12279.0	7766.0	3978.0	3788.0	17407.0	8916.0	8491.0
10 - 14	40913.0	20670.0	20243.0	13587.0	6774.0	6813.0	27326.0	13896.0	13430.0
15 - 17	29638.0	15042.0	14596.0	14107.0	6720.0	7387.0	15531.0	8322.0	7209.0
18 - 19	18369.0	9180.0	9189.0	10733.0	5178.0	5555.0	7636.0	4002.0	3634.0
20 - 24	42096.0	21025.0	21071.0	21961.0	10744.0	11217.0	20135.0	10281.0	9854.0
25 - 29	42052.0	20675.0	21377.0	20684.0	9784.0	10900.0	21368.0	10891.0	10477.0
30 - 34	41474.0	20108.0	21366.0	19032.0	8772.0	10260.0	22442.0	11336.0	11106.0
35 - 39	55721.0	26740.0	28981.0	25529.0	11344.0	14185.0	30192.0	15396.0	14796.0
40 - 44	72919.0	34359.0	38560.0	35877.0	15614.0	20263.0	37042.0	18745.0	18297.0
45 - 49	62066.0	28438.0	33628.0	33151.0	14209.0	18942.0	28915.0	14229.0	14686.0
50 - 54	45622.0	20308.0	25314.0	25351.0	10842.0	14509.0	20271.0	9466.0	10805.0
55 - 59	19396.0	8359.0	11037.0	10618.0	4532.0	6086.0	8778.0	3827.0	4951.0
