10. ЗАНЯТОЕ НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ В ВОЗРАСТЕ 15 ЛЕТ И БОЛЕЕ ПО ПОЛОЖЕНИЮ В ЗАНЯТИИ								
ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМН								
								
	Всего		в том числе по положению в занятии					
Сельское население	41.0	38.0	3.0	-	2.0	-	1.0	-
КАМЧАДАЛЫ								
Камчатская область								
Городское и сельское население	632.0	617.0	15.0	6.0	5.0	4.0	-	-
Городское население	385.0	376.0	9.0	3.0	2.0	4.0	-	-
Сельское население	247.0	241.0	6.0	3.0	3.0	-	-	-
Корякский автономный округ								
Городское и сельское население	67.0	65.0	2.0	1.0	-	1.0	-	-
Городское население	42.0	40.0	2.0	1.0	-	1.0	-	-
Сельское население	25.0	25.0	-	-	-	-	-	-
КЕТЫ								
Красноярский край								
Городское и сельское население	319.0	309.0	10.0	2.0	8.0	-	-	-
Городское население	73.0	69.0	4.0	1.0	3.0	-	-	-
Сельское население	246.0	240.0	6.0	1.0	5.0	-	-	-
КОРЯКИ								
Территории преимущественного проживания КМН								
Городское и сельское население	2393.0	2373.0	19.0	6.0	10.0	3.0	-	1.0
Городское население	727.0	717.0	9.0	2.0	5.0	2.0	-	1.0
Сельское население	1666.0	1656.0	10.0	4.0	5.0	1.0	-	-
Камчатская область								
Городское и сельское население	2185.0	2167.0	18.0	6.0	9.0	3.0	-	-
Городское население	630.0	621.0	9.0	2.0	5.0	2.0	-	-
Сельское население	1555.0	1546.0	9.0	4.0	4.0	1.0	-	-
Корякский автономный округ								
Городское и сельское население	2002.0	1991.0	11.0	5.0	4.0	2.0	-	-
Городское население	507.0	503.0	4.0	1.0	1.0	2.0	-	-
Сельское население	1495.0	1488.0	7.0	4.0	3.0	-	-	-
Магаданская область								
Городское и сельское население	183.0	181.0	1.0	-	1.0	-	-	1.0
Городское население	85.0	84.0	-	-	-	-	-	1.0
Сельское население	98.0	97.0	1.0	-	1.0	-	-	-
Чукотский автономный округ								
Городское и сельское население	25.0	25.0	-	-	-	-	-	-
Городское население	12.0	12.0	-	-	-	-	-	-
Сельское население	13.0	13.0	-	-	-	-	-	-
КУМАНДИНЦЫ								
Территории преимущественного проживания КМН								
Городское и сельское население	942.0	895.0	47.0	10.0	31.0	5.0	1.0	-
Городское население	597.0	559.0	38.0	7.0	27.0	4.0	-	-
Сельское население	345.0	336.0	9.0	3.0	4.0	1.0	1.0	-
Алтайский край								
Городское и сельское население	535.0	506.0	29.0	6.0	19.0	3.0	1.0	-
Городское население	320.0	297.0	23.0	3.0	18.0	2.0	-	-
Сельское население	215.0	209.0	6.0	3.0	1.0	1.0	1.0	-
Республика Алтай								
Городское и сельское население	283.0	270.0	13.0	3.0	9.0	1.0	-	-
Городское население	171.0	160.0	11.0	3.0	7.0	1.0	-	-
Сельское население	112.0	110.0	2.0	-	2.0	-	-	-
Кемеровская область								
Городское и сельское население	124.0	119.0	5.0	1.0	3.0	1.0	-	-
Городское население	106.0	102.0	4.0	1.0	2.0	1.0	-	-
Сельское население	18.0	17.0	1.0	-	1.0	-	-	-
МАНСИ								
Территории преимущественного проживания КМН								
Городское и сельское население	3463.0	3383.0	75.0	17.0	47.0	6.0	5.0	5.0
Городское население	1966.0	1922.0	42.0	12.0	24.0	4.0	2.0	2.0
Сельское население	1497.0	1461.0	33.0	5.0	23.0	2.0	3.0	3.0
Тюменская область								
Городское и сельское население	3386.0	3309.0	72.0	16.0	46.0	6.0	4.0	5.0
Городское население	1909.0	1868.0	39.0	11.0	23.0	4.0	1.0	2.0
Сельское население	1477.0	1441.0	33.0	5.0	23.0	2.0	3.0	3.0
Ханты-Мансийский автономный округ – Югра								
Городское и сельское население	3118.0	3048.0	65.0	13.0	42.0	6.0	4.0	5.0
Городское население	1706.0	1671.0	33.0	8.0	20.0	4.0	1.0	2.0
Сельское население	1412.0	1377.0	32.0	5.0	22.0	2.0	3.0	3.0
Свердловская область								
Городское и сельское население	77.0	74.0	3.0	1.0	1.0	-	1.0	-
Городское население	57.0	54.0	3.0	1.0	1.0	-	1.0	-
Сельское население	20.0	20.0	-	-	-	-	-	-
НАГАЙБАКИ								
Челябинская область								
Городское и сельское население	3653.0	3214.0	439.0	53.0	374.0	7.0	5.0	-
Городское население	684.0	649.0	35.0	8.0	24.0	3.0	-	-
Сельское население	2969.0	2565.0	404.0	45.0	350.0	4.0	5.0	-
НАНАЙЦЫ								
Территории преимущественного проживания КМН								
Городское и сельское население	3429.0	3316.0	112.0	37.0	60.0	8.0	7.0	1.0
Городское население	1227.0	1179.0	48.0	14.0	28.0	4.0	2.0	-
Сельское население	2202.0	2137.0	64.0	23.0	32.0	4.0	5.0	1.0
Хабаровский край								
Городское и сельское население	3215.0	3107.0	107.0	35.0	57.0	8.0	7.0	1.0
Городское население	1107.0	1063.0	44.0	12.0	26.0	4.0	2.0	-
Сельское население	2108.0	2044.0	63.0	23.0	31.0	4.0	5.0	1.0
Приморский край								
Городское и сельское население	161.0	158.0	3.0	1.0	2.0	-	-	-
Городское население	77.0	75.0	2.0	1.0	1.0	-	-	-
Сельское население	84.0	83.0	1.0	-	1.0	-	-	-
Сахалинская область								
Городское и сельское население	53.0	51.0	2.0	1.0	1.0	-	-	-
Городское население	43.0	41.0	2.0	1.0	1.0	-	-	-
Сельское население	10.0	10.0	-	-	-	-	-	-
НГАНАСАНЫ								
Красноярский край								
Городское и сельское население	217.0	216.0	1.0	-	1.0	-	-	-
Городское население	39.0	38.0	1.0	-	1.0	-	-	-
Сельское население	178.0	178.0	-	-	-	-	-	-
Таймырский (Долгано-Ненецкий) автономный округ								
Городское и сельское население	199.0	198.0	1.0	-	1.0	-	-	-
Городское население	26.0	25.0	1.0	-	1.0	-	-	-
Сельское население	173.0	173.0	-	-	-	-	-	-
НЕГИДАЛЬЦЫ								
Хабаровский край								
Городское и сельское население	131.0	125.0	6.0	4.0	1.0	1.0	-	-
Городское население	32.0	30.0	2.0	1.0	1.0	-	-	-
Сельское население	99.0	95.0	4.0	3.0	-	1.0	-	-
НЕНЦЫ								
Территории преимущественного проживания КМН								
Городское и сельское население	11268.0	10061.0	1203.0	33.0	900.0	253.0	17.0	4.0
Городское население	2384.0	2275.0	108.0	19.0	87.0	1.0	1.0	1.0
Сельское население	8884.0	7786.0	1095.0	14.0	813.0	252.0	16.0	3.0
Ямало-Ненецкий автономный округ								
Городское и сельское население	7081.0	6125.0	952.0	12.0	678.0	246.0	16.0	4.0
Городское население	1192.0	1178.0	13.0	8.0	4.0	-	1.0	1.0
Сельское население	5889.0	4947.0	939.0	4.0	674.0	246.0	15.0	3.0
Архангельская область								
Городское и сельское население	2893.0	2685.0	208.0	9.0	195.0	4.0	-	-
Городское население	777.0	700.0	77.0	7.0	70.0	-	-	-
Сельское население	2116.0	1985.0	131.0	2.0	125.0	4.0	-	-
Ненецкий автономный округ								
Городское и сельское население	2660.0	2463.0	197.0	6.0	191.0	-	-	-
Городское население	647.0	575.0	72.0	4.0	68.0	-	-	-
Сельское население	2013.0	1888.0	125.0	2.0	123.0	-	-	-
Таймырский (Долгано-Ненецкий) автономный округ								
Городское и сельское население	661.0	643.0	18.0	8.0	9.0	1.0	-	-
Городское население	102.0	96.0	6.0	1.0	4.0	1.0	-	-
Сельское население	559.0	547.0	12.0	7.0	5.0	-	-	-
Ханты-Мансийский автономный округ – Югра 								
Городское и сельское население	417.0	404.0	13.0	1.0	9.0	2.0	1.0	-
Городское население	132.0	131.0	1.0	-	1.0	-	-	-
Сельское население	285.0	273.0	12.0	1.0	8.0	2.0	1.0	-
Республика Коми								
Городское и сельское население	216.0	204.0	12.0	3.0	9.0	-	-	-
Городское население	181.0	170.0	11.0	3.0	8.0	-	-	-
Сельское население	35.0	34.0	1.0	-	1.0	-	-	-
НИВХИ								
Территории преимущественного проживания КМН								
Городское и сельское население	1345.0	1300.0	45.0	23.0	15.0	7.0	-	-
Городское население	747.0	715.0	32.0	13.0	14.0	5.0	-	-
Сельское население	598.0	585.0	13.0	10.0	1.0	2.0	-	-
Хабаровский край								
Городское и сельское население	684.0	668.0	16.0	7.0	5.0	4.0	-	-
Городское население	310.0	301.0	9.0	3.0	4.0	2.0	-	-
Сельское население	374.0	367.0	7.0	4.0	1.0	2.0	-	-
Сахалинская область								
Городское и сельское население	661.0	632.0	29.0	16.0	10.0	3.0	-	-
Городское население	437.0	414.0	23.0	10.0	10.0	3.0	-	-
Сельское население	224.0	218.0	6.0	6.0	-	-	-	-
ОРОЧИ								
Хабаровский край								
Городское и сельское население	145.0	133.0	12.0	2.0	10.0	-	-	-
Городское население	45.0	42.0	3.0	-	3.0	-	-	-
Сельское население	100.0	91.0	9.0	2.0	7.0	-	-	-
СААМЫ								
Мурманская область								
Городское и сельское население	616.0	496.0	120.0	4.0	7.0	108.0	1.0	-
Городское население	260.0	251.0	9.0	3.0	5.0	-	1.0	-
Сельское население	356.0	245.0	111.0	1.0	2.0	108.0	-	-
СЕЛЬКУПЫ								
Территории преимущественного проживания КМН								
Городское и сельское население	1118.0	1038.0	80.0	3.0	59.0	17.0	1.0	-
Городское население	231.0	224.0	7.0	3.0	4.0	-	-	-
Сельское население	887.0	814.0	73.0	-	55.0	17.0	1.0	-
Тюменская область								
Городское и сельское население	552.0	506.0	46.0	2.0	26.0	17.0	1.0	-
Городское население	87.0	84.0	3.0	2.0	1.0	-	-	-
Сельское население	465.0	422.0	43.0	-	25.0	17.0	1.0	-
Ямало-Ненецкий автономный округ								
Городское и сельское население	538.0	495.0	43.0	-	25.0	17.0	1.0	-
Городское население	78.0	78.0	-	-	-	-	-	-
Сельское население	460.0	417.0	43.0	-	25.0	17.0	1.0	-
Томская область								
Городское и сельское население	448.0	439.0	9.0	1.0	8.0	-	-	-
Городское население	113.0	110.0	3.0	1.0	2.0	-	-	-
Сельское население	335.0	329.0	6.0	-	6.0	-	-	-
Красноярский край								
Городское и сельское население	118.0	93.0	25.0	-	25.0	-	-	-
Городское население	31.0	30.0	1.0	-	1.0	-	-	-
Сельское население	87.0	63.0	24.0	-	24.0	-	-	-
СОЙОТЫ								
Республика Бурятия								
Городское и сельское население	841.0	632.0	207.0	5.0	197.0	4.0	1.0	2.0
Городское население	64.0	59.0	5.0	-	2.0	3.0	-	-
Сельское население	777.0	573.0	202.0	5.0	195.0	1.0	1.0	2.0
ТАЗЫ								
Приморский край								
Городское и сельское население	102.0	102.0	-	-	-	-	-	-
Городское население	45.0	45.0	-	-	-	-	-	-
Сельское население	57.0	57.0	-	-	-	-	-	-
ТЕЛЕНГИТЫ								
Республика Алтай								
Городское и сельское население	540.0	497.0	43.0	5.0	17.0	19.0	2.0	-
Городское население	20.0	18.0	2.0	1.0	1.0	-	-	-
Сельское население	520.0	479.0	41.0	4.0	16.0	19.0	2.0	-
ТЕЛЕУТЫ								
Кемеровская область 								
Городское и сельское население	899.0	846.0	53.0	15.0	38.0	-	-	-
Городское население	416.0	392.0	24.0	4.0	20.0	-	-	-
Сельское население	483.0	454.0	29.0	11.0	18.0	-	-	-
ТОФАЛАРЫ								
Иркутская область								
Городское и сельское население	108.0	102.0	6.0	-	4.0	1.0	1.0	-
Городское население	16.0	16.0	-	-	-	-	-	-
Сельское население	92.0	86.0	6.0	-	4.0	1.0	1.0	-
ТУБАЛАРЫ								
Республика Алтай								
Городское и сельское население	370.0	342.0	28.0	5.0	22.0	-	1.0	-
Городское население	51.0	46.0	5.0	1.0	4.0	-	-	-
Сельское население	319.0	296.0	23.0	4.0	18.0	-	1.0	-
ТУВИНЦЫ-ТОДЖИНЦЫ								
Республика Тыва								
Городское и сельское население	660.0	576.0	84.0	4.0	79.0	-	1.0	-
Городское население	2.0	1.0	1.0	1.0	-	-	-	-
Сельское население	658.0	575.0	83.0	3.0	79.0	-	1.0	-
УДЭГЕЙЦЫ								
Территории преимущественного проживания КМН								
Городское и сельское население	478.0	463.0	15.0	3.0	8.0	2.0	2.0	-
Городское население	145.0	136.0	9.0	1.0	5.0	1.0	2.0	-
Сельское население	333.0	327.0	6.0	2.0	3.0	1.0	-	-
Приморский край								
Городское и сельское население	277.0	274.0	3.0	-	2.0	-	1.0	-
Городское население	82.0	80.0	2.0	-	1.0	-	1.0	-
Сельское население	195.0	194.0	1.0	-	1.0	-	-	-
Хабаровский край								
Городское и сельское население	201.0	189.0	12.0	3.0	6.0	2.0	1.0	-
Городское население	63.0	56.0	7.0	1.0	4.0	1.0	1.0	-
Сельское население	138.0	133.0	5.0	2.0	2.0	1.0	-	-
УЛЬТА (ОРОКИ)								
Сахалинская область								
Городское и сельское население	74.0	69.0	5.0	1.0	3.0	1.0	-	-
Городское население	44.0	39.0	5.0	1.0	3.0	1.0	-	-
Сельское население	30.0	30.0	-	-	-	-	-	-
УЛЬЧИ								
Хабаровский край								
Городское и сельское население	702.0	681.0	21.0	5.0	11.0	4.0	1.0	-
Городское население	153.0	145.0	8.0	2.0	4.0	1.0	1.0	-
Сельское население	549.0	536.0	13.0	3.0	7.0	3.0	-	-
ХАНТЫ								
Территории преимущественного проживания КМН								
Городское и сельское население	8680.0	8421.0	255.0	32.0	201.0	15.0	7.0	4.0
Городское население	3403.0	3322.0	78.0	17.0	52.0	6.0	3.0	3.0
Сельское население	5277.0	5099.0	177.0	15.0	149.0	9.0	4.0	1.0
Тюменская область								
Городское и сельское население	8401.0	8150.0	247.0	31.0	195.0	15.0	6.0	4.0
Городское население	3286.0	3210.0	73.0	16.0	48.0	6.0	3.0	3.0
Сельское население	5115.0	4940.0	174.0	15.0	147.0	9.0	3.0	1.0
Ханты-Мансийский автономный округ – Югра 								
Городское и сельское население	5094.0	4940.0	152.0	18.0	122.0	11.0	1.0	2.0
Городское население	2450.0	2394.0	54.0	12.0	37.0	4.0	1.0	2.0
Сельское население	2644.0	2546.0	98.0	6.0	85.0	7.0	-	-
Ямало-Ненецкий автономный округ								
Городское и сельское население	2987.0	2905.0	81.0	10.0	67.0	1.0	3.0	1.0
Городское население	637.0	628.0	9.0	1.0	7.0	-	1.0	-
Сельское население	2350.0	2277.0	72.0	9.0	60.0	1.0	2.0	1.0
Томская область								
Городское и сельское население	236.0	228.0	8.0	1.0	6.0	-	1.0	-
Городское население	77.0	72.0	5.0	1.0	4.0	-	-	-
Сельское население	159.0	156.0	3.0	-	2.0	-	1.0	-
Республика Коми								
Городское и сельское население	43.0	43.0	-	-	-	-	-	-
Городское население	40.0	40.0	-	-	-	-	-	-
Сельское население	3.0	3.0	-	-	-	-	-	-
ЧЕЛКАНЦЫ								
Республика Алтай								
Городское и сельское население	233.0	224.0	9.0	6.0	3.0	-	-	-
Городское население	43.0	41.0	2.0	1.0	1.0	-	-	-
Сельское население	190.0	183.0	7.0	5.0	2.0	-	-	-
ЧУВАНЦЫ								
Территории преимущественного проживания КМН								
Городское и сельское население	415.0	413.0	2.0	1.0	1.0	-	-	-
Городское население	146.0	144.0	2.0	1.0	1.0	-	-	-
Сельское население	269.0	269.0	-	-	-	-	-	-
Чукотский автономный округ								
Городское и сельское население	401.0	399.0	2.0	1.0	1.0	-	-	-
Городское население	133.0	131.0	2.0	1.0	1.0	-	-	-
Сельское население	268.0	268.0	-	-	-	-	-	-
Магаданская область								
Городское и сельское население	14.0	14.0	-	-	-	-	-	-
Городское население	13.0	13.0	-	-	-	-	-	-
Сельское население	1.0	1.0	-	-	-	-	-	-
ЧУКЧИ								
Территории преимущественного проживания КМН								
Городское и сельское население	5119.0	5087.0	22.0	6.0	12.0	4.0	-	10.0
Городское население	908.0	892.0	12.0	2.0	10.0	-	-	4.0
Сельское население	4211.0	4195.0	10.0	4.0	2.0	4.0	-	6.0
Чукотский автономный округ								
Городское и сельское население	4785.0	4753.0	22.0	6.0	12.0	4.0	-	10.0
Городское население	889.0	873.0	12.0	2.0	10.0	-	-	4.0
Сельское население	3896.0	3880.0	10.0	4.0	2.0	4.0	-	6.0
Корякский автономный округ								
Городское и сельское население	334.0	334.0	-	-	-	-	-	-
Городское население	19.0	19.0	-	-	-	-	-	-
Сельское население	315.0	315.0	-	-	-	-	-	-
ЧУЛЫМЦЫ								
Территории преимущественного проживания КМН								
Городское и сельское население	101.0	94.0	7.0	-	7.0	-	-	-
Городское население	14.0	14.0	-	-	-	-	-	-
Сельское население	87.0	80.0	7.0	-	7.0	-	-	-
Томская область								
Городское и сельское население	74.0	71.0	3.0	-	3.0	-	-	-
Городское население	11.0	11.0	-	-	-	-	-	-
Сельское население	63.0	60.0	3.0	-	3.0	-	-	-
Красноярский край								
Городское и сельское население	27.0	23.0	4.0	-	4.0	-	-	-
Городское население	3.0	3.0	-	-	-	-	-	-
Сельское население	24.0	20.0	4.0	-	4.0	-	-	-
ШАПСУГИ								
Краснодарский край								
Городское и сельское население	1124.0	1082.0	42.0	12.0	27.0	2.0	1.0	-
Городское население	343.0	330.0	13.0	5.0	6.0	2.0	-	-
Сельское население	781.0	752.0	29.0	7.0	21.0	-	1.0	-
ШОРЦЫ								
Территории преимущественного проживания КМН								
Городское и сельское население	4320.0	4036.0	284.0	47.0	225.0	6.0	6.0	-
Городское население	3570.0	3425.0	145.0	40.0	101.0	4.0	-	-
Сельское население	750.0	611.0	139.0	7.0	124.0	2.0	6.0	-
Кемеровская область 								
Городское и сельское население	4013.0	3746.0	267.0	45.0	213.0	3.0	6.0	-
Городское население	3370.0	3234.0	136.0	39.0	96.0	1.0	-	-
Сельское население	643.0	512.0	131.0	6.0	117.0	2.0	6.0	-
Республика Хакасия								
Городское и сельское население	268.0	254.0	14.0	1.0	10.0	3.0	-	-
Городское население	193.0	184.0	9.0	1.0	5.0	3.0	-	-
Сельское население	75.0	70.0	5.0	-	5.0	-	-	-
Республика Алтай								
Городское и сельское население	39.0	36.0	3.0	1.0	2.0	-	-	-
Городское население	7.0	7.0	-	-	-	-	-	-
Сельское население	32.0	29.0	3.0	1.0	2.0	-	-	-
ЭВЕНКИ								
Территории преимущественного проживания КМН								
Городское и сельское население	11092.0	10520.0	571.0	64.0	405.0	81.0	21.0	1.0
Городское население	2935.0	2803.0	131.0	29.0	90.0	8.0	4.0	1.0
Сельское население	8157.0	7717.0	440.0	35.0	315.0	73.0	17.0	-
Республика Саха (Якутия)								
Городское и сельское население	6264.0	6034.0	229.0	36.0	173.0	14.0	6.0	1.0
Городское население	1593.0	1518.0	74.0	15.0	54.0	4.0	1.0	1.0
Сельское население	4671.0	4516.0	155.0	21.0	119.0	10.0	5.0	-
Красноярский край								
Городское и сельское население	1392.0	1292.0	100.0	12.0	86.0	1.0	1.0	-
Городское население	503.0	484.0	19.0	6.0	12.0	-	1.0	-
Сельское население	889.0	808.0	81.0	6.0	74.0	1.0	-	-
Эвенкийский автономный округ								
Городское и сельское население	1101.0	1028.0	73.0	8.0	63.0	1.0	1.0	-
Городское население	360.0	353.0	7.0	2.0	4.0	-	1.0	-
Сельское население	741.0	675.0	66.0	6.0	59.0	1.0	-	-
Хабаровский край								
Городское и сельское население	1347.0	1296.0	51.0	4.0	41.0	-	6.0	-
Городское население	271.0	267.0	4.0	1.0	3.0	-	-	-
Сельское население	1076.0	1029.0	47.0	3.0	38.0	-	6.0	-
Республика Бурятия								
Городское и сельское население	562.0	533.0	29.0	9.0	15.0	2.0	3.0	-
Городское население	212.0	197.0	15.0	5.0	7.0	2.0	1.0	-
Сельское население	350.0	336.0	14.0	4.0	8.0	-	2.0	-
Амурская область								
Городское и сельское население	520.0	516.0	4.0	-	4.0	-	-	-
Городское население	64.0	63.0	1.0	-	1.0	-	-	-
Сельское население	456.0	453.0	3.0	-	3.0	-	-	-
Читинская область								
Городское и сельское население	416.0	376.0	40.0	2.0	35.0	3.0	-	-
Городское население	77.0	71.0	6.0	1.0	4.0	1.0	-	-
Сельское население	339.0	305.0	34.0	1.0	31.0	2.0	-	-
Иркутская область								
Городское и сельское население	461.0	345.0	116.0	1.0	50.0	61.0	4.0	-
Городское население	154.0	144.0	10.0	1.0	8.0	1.0	-	-
Сельское население	307.0	201.0	106.0	-	42.0	60.0	4.0	-
Сахалинская область								
Городское и сельское население	70.0	70.0	-	-	-	-	-	-
Городское население	36.0	36.0	-	-	-	-	-	-
Сельское население	34.0	34.0	-	-	-	-	-	-
Томская область								
Городское и сельское население	22.0	20.0	2.0	-	1.0	-	1.0	-
Городское население	7.0	5.0	2.0	-	1.0	-	1.0	-
Сельское население	15.0	15.0	-	-	-	-	-	-
Тюменская область								
Городское и сельское население	38.0	38.0	-	-	-	-	-	-
Городское население	18.0	18.0	-	-	-	-	-	-
Сельское население	20.0	20.0	-	-	-	-	-	-
ЭВЕНЫ								
Территории преимущественного проживания КМН								
Городское и сельское население	6340.0	6104.0	233.0	35.0	126.0	66.0	6.0	3.0
Городское население	2178.0	2078.0	99.0	24.0	62.0	11.0	2.0	1.0
Сельское население	4162.0	4026.0	134.0	11.0	64.0	55.0	4.0	2.0
Республика Саха (Якутия)								
Городское и сельское население	4267.0	4105.0	161.0	17.0	76.0	63.0	5.0	1.0
Городское население	1390.0	1334.0	55.0	10.0	34.0	10.0	1.0	1.0
Сельское население	2877.0	2771.0	106.0	7.0	42.0	53.0	4.0	-
Магаданская область 								
Городское и сельское население	722.0	677.0	45.0	18.0	25.0	1.0	1.0	-
Городское население	431.0	394.0	37.0	14.0	22.0	-	1.0	-
Сельское население	291.0	283.0	8.0	4.0	3.0	1.0	-	-
Камчатская область 								
Городское и сельское население	552.0	536.0	16.0	-	15.0	1.0	-	-
Городское население	124.0	122.0	2.0	-	2.0	-	-	-
Сельское население	428.0	414.0	14.0	-	13.0	1.0	-	-
Корякский автономный округ								
Городское и сельское население	236.0	231.0	5.0	-	4.0	1.0	-	-
Городское население	46.0	46.0	-	-	-	-	-	-
Сельское население	190.0	185.0	5.0	-	4.0	1.0	-	-
Чукотский автономный округ								
Городское и сельское население	474.0	467.0	5.0	-	5.0	-	-	2.0
Городское население	129.0	127.0	2.0	-	2.0	-	-	-
Сельское население	345.0	340.0	3.0	-	3.0	-	-	2.0
Хабаровский край								
Городское и сельское население	325.0	319.0	6.0	-	5.0	1.0	-	-
Городское население	104.0	101.0	3.0	-	2.0	1.0	-	-
Сельское население	221.0	218.0	3.0	-	3.0	-	-	-
ЭНЦЫ								
Таймырский (Долгано-Ненецкий) автономный округ								
Городское и сельское население	63.0	62.0	1.0	-	1.0	-	-	-
Городское население	15.0	15.0	-	-	-	-	-	-
Сельское население	48.0	47.0	1.0	-	1.0	-	-	-
ЭСКИМОСЫ								
Чукотский автономный округ								
Городское и сельское население	577.0	569.0	5.0	-	4.0	1.0	-	3.0
Городское население	156.0	152.0	3.0	-	3.0	-	-	1.0
Сельское население	421.0	417.0	2.0	-	1.0	1.0	-	2.0
ЮКАГИРЫ								
Территории преимущественного проживания КМН								
Городское и сельское население	447.0	438.0	9.0	3.0	5.0	-	1.0	-
Городское население	195.0	191.0	4.0	-	4.0	-	-	-
Сельское население	252.0	247.0	5.0	3.0	1.0	-	1.0	-
Республика Саха (Якутия)								
Городское и сельское население	421.0	412.0	9.0	3.0	5.0	-	1.0	-
Городское население	170.0	166.0	4.0	-	4.0	-	-	-
Сельское население	251.0	246.0	5.0	3.0	1.0	-	1.0	-
Магаданская область								
Городское и сельское население	26.0	26.0	-	-	-	-	-	-
Городское население	25.0	25.0	-	-	-	-	-	-
Сельское население	1.0	1.0	-	-	-	-	-	-
