2. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ТИПАМ, РАЗМЕРУ И ЧИСЛУ ДЕТЕЙ МОЛОЖЕ 18 ЛЕТ								
								
	Число частных домохозяйств	В них чис-ленность членов домохозяйств	Из общего числа домохозяйств – домохозяйства, состоящие из					Средний размер домохозяйства, человек
с 1 ребенком	814962.0	3514647.0		166717.0	342080.0	221007.0	85158.0	4.3
с 2 детьми	335844.0	1822648.0			58579.0	135020.0	142245.0	5.4
с 3 и более детьми	143279.0	1023094.0				22213.0	121066.0	7.1
в них детей		504186.0				66639.0	437547.0	
Домохозяйства, состоящие из двух супружеских пар, родственников (или без них) и не родственников (или без них)	1314689.0	7537188.0			170452.0	487529.0	656708.0	5.7
из них домохозяйства, имеющие детей моложе 18 лет	1031389.0	6247846.0				405523.0	625866.0	6.1
в том числе домохозяйства:								
с 1 ребенком	611891.0	3315975.0				405523.0	206368.0	5.4
с 2 детьми	309640.0	1994670.0					309640.0	6.4
с 3 и более детьми	109858.0	937201.0					109858.0	8.5
в них детей		394918.0					394918.0	
Домохозяйства, состоящие из супружеской пары с детьми и без детей, с обоими  родителями одного из супругов  с детьми и без детей	1028743.0	5569817.0			161240.0	445014.0	422489.0	5.4
из них домохозяйства, имеющие детей моложе 18 лет	796873.0	4555514.0				387754.0	409119.0	5.7
в том числе домохозяйства:								
с 1 ребенком	504545.0	2653338.0				387754.0	116791.0	5.3
с 2 детьми	238042.0	1478922.0					238042.0	6.2
с 3 и более детьми	54286.0	423254.0					54286.0	7.8
в них детей		182395.0					182395.0	
Домохозяйства, состоящие из супружеской пары с детьми и без детей, с обоими родителями одного из супругов с детьми и без детей, прочих родственников (или без них) и не родственников (или без них)	192103.0	1311564.0				25651.0	166452.0	6.8
из них домохозяйства, имеющие детей моложе 18 лет	159872.0	1132858.0				5866.0	154006.0	7.1
в том числе домохозяйства:								
с 1 ребенком	81754.0	512335.0				5866.0	75888.0	6.3
с 2 детьми	50600.0	368849.0					50600.0	7.3
с 3 и более детьми	27518.0	251674.0					27518.0	9.1
в них детей		98196.0					98196.0	
Прочие домохозяйства, состоящие из двух супружеских пар	93843.0	655807.0			9212.0	16864.0	67767.0	7.0
из них домохозяйства, имеющие детей моложе 18 лет	74644.0	559474.0				11903.0	62741.0	7.5
в том числе домохозяйства:								
с 1 ребенком	25592.0	150302.0				11903.0	13689.0	5.9
с 2 детьми	20998.0	146899.0					20998.0	7.0
с 3 и более детьми	28054.0	262273.0					28054.0	9.3
в них детей		114327.0					114327.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	49108.0	467437.0					49108.0	9.5
из них домохозяйства, имеющие детей моложе 18 лет	43906.0	430553.0					43906.0	9.8
в том числе домохозяйства:								
с 1 ребенком	10371.0	79584.0					10371.0	7.7
с 2 детьми	13329.0	114708.0					13329.0	8.6
с 3 и более детьми	20206.0	236261.0					20206.0	11.7
в них детей		89268.0					89268.0	
Домохозяйства, состоящие из матери с детьми	5625923.0	12979821.0	4220263.0	1171872.0	177491.0	36372.0	19925.0	2.3
из них домохозяйства, имеющие детей моложе 18 лет	2709431.0	6751174.0	1662141.0	843180.0	152827.0	32961.0	18322.0	2.5
в том числе домохозяйства:								
с 1 ребенком	2060341.0	4568575.0	1662141.0	355424.0	37703.0	3810.0	1263.0	2.2
с 2 детьми	544695.0	1703759.0		487756.0	47288.0	7451.0	2200.0	3.1
с 3 и более детьми	104395.0	478840.0			67836.0	21700.0	14859.0	4.6
в них детей		349272.0			203508.0	78182.0	67582.0	
Домохозяйства, состоящие из отца с детьми	634517.0	1427596.0	506775.0	105864.0	16308.0	3544.0	2026.0	2.2
из них домохозяйства, имеющие детей моложе 18 лет	250781.0	608959.0	168788.0	64434.0	12718.0	3039.0	1802.0	2.4
в том числе домохозяйства:								
с 1 ребенком	202999.0	445714.0	168788.0	29630.0	3903.0	516.0	162.0	2.2
с 2 детьми	39762.0	125707.0		34804.0	3895.0	796.0	267.0	3.2
с 3 и более детьми	8020.0	37538.0			4920.0	1727.0	1373.0	4.7
в них детей		26922.0			14760.0	6128.0	6034.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	1152378.0	3766057.0		890133.0	226709.0	27684.0	7852.0	3.3
из них домохозяйства, имеющие детей моложе 18 лет	900145.0	2975953.0		669287.0	196981.0	26286.0	7591.0	3.3
в том числе домохозяйства:								
с 1 ребенком	733409.0	2269685.0		669287.0	59358.0	4295.0	469.0	3.1
с 2 детьми	145650.0	591926.0			137623.0	6928.0	1099.0	4.1
с 3 и более детьми	21086.0	114342.0				15063.0	6023.0	5.4
в них детей		69261.0				45189.0	24072.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери (отца) (или без него), прочих родственников (или без них) и не родственников (или без них)	1455892.0	5752895.0		584525.0	559443.0	198130.0	113794.0	4.0
из них домохозяйства, имеющие детей моложе 18 лет	1064823.0	4408706.0		321858.0	457621.0	179717.0	105627.0	4.1
в том числе домохозяйства:								
с 1 ребенком	709000.0	2639800.0		310177.0	313831.0	66063.0	18929.0	3.7
с 2 детьми	271007.0	1237288.0		11681.0	139546.0	87579.0	32201.0	4.6
с 3 и более детьми	84816.0	531618.0			4244.0	26075.0	54497.0	6.3
в них детей		292608.0			12732.0	79225.0	200651.0	
Прочие домохозяйства	2688778.0	7098013.0	2002848.0	395595.0	148595.0	42910.0	98830.0	2.6
из них домохозяйства, имеющие детей моложе 18 лет	463747.0	1417609.0	238630.0	124327.0	59229.0	17776.0	23785.0	3.1
в том числе домохозяйства:								
с 1 ребенком	335917.0	892499.0	212552.0	80989.0	27702.0	6794.0	7880.0	2.7
с 2 детьми	83009.0	275962.0	26078.0	31589.0	16114.0	4746.0	4482.0	3.3
с 3 и более детьми	44821.0	249148.0		11749.0	15413.0	6236.0	11423.0	5.6
в них детей		181883.0		35247.0	52916.0	23815.0	69905.0	
Городские населенные пункты								
Все домохозяйства	30468012.0	95812249.0	10871183.0	9802757.0	6614683.0	2034827.0	1144562.0	3.1
из них домохозяйства, имеющие детей моложе 18 лет	15558227.0	57418626.0	1744200.0	5844649.0	5178142.0	1787190.0	1004046.0	3.7
в том числе домохозяйства:								
с 1 ребенком	10885072.0	36236738.0	1720575.0	5411112.0	2589020.0	888557.0	275808.0	3.3
с 2 детьми	4014575.0	17205325.0	23625.0	422850.0	2532037.0	631022.0	405041.0	4.3
с 3 и более детьми	658580.0	3976563.0		10687.0	57085.0	267611.0	323197.0	6.0
в них детей		2235737.0		32061.0	177278.0	814020.0	1212378.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	20213278.0	65529051.0	5419301.0	7235991.0	5601171.0	1441417.0	515398.0	3.2
из них домохозяйства, имеющие детей моложе 18 лет	10484196.0	40250046.0		4202797.0	4502655.0	1297505.0	481239.0	3.8
в том числе домохозяйства:								
с 1 ребенком	7044035.0	24707089.0		4202797.0	2228285.0	517997.0	94956.0	3.5
с 2 детьми	3001731.0	12959012.0			2274370.0	553134.0	174227.0	4.3
с 3 и более детьми	438430.0	2583945.0				226374.0	212056.0	5.9
в них детей		1458243.0				679122.0	779121.0	
Домохозяйства, состоящие из одной супружеской пары с детьми и без детей	16068279.0	47908360.0	5419301.0	6241526.0	3866407.0	427217.0	113828.0	3.0
из них домохозяйства, имеющие детей моложе 18 лет	7872634.0	28079969.0		4085569.0	3278743.0	399583.0	108739.0	3.6
в том числе домохозяйства:								
с 1 ребенком	5220070.0	16895198.0		4085569.0	1044147.0	82407.0	7947.0	3.2
с 2 детьми	2355402.0	9563824.0			2234596.0	103766.0	17040.0	4.1
с 3 и более детьми	297162.0	1620947.0				213410.0	83752.0	5.5
в них детей		982967.0				640230.0	342737.0	
Домохозяйства, состоящие из одной супружеской пары с детьми и без детей и одного из родителей супругов	1458702.0	5988411.0		354563.0	666048.0	382488.0	55603.0	4.1
из них домохозяйства, имеющие детей моложе 18 лет	897330.0	4048111.0			505668.0	338681.0	52981.0	4.5
в том числе домохозяйства:								
с 1 ребенком	606261.0	2534267.0			505668.0	92608.0	7985.0	4.2
с 2 детьми	257793.0	1302238.0				246073.0	11720.0	5.1
с 3 и более детьми	33276.0	211606.0					33276.0	6.4
в них детей		108421.0					108421.0	
Домохозяйства, состоящие из одной супружеской пары с детьми и без детей и матери (отца) с детьми	853395.0	3934128.0			467074.0	289441.0	96880.0	4.6
из них домохозяйства, имеющие детей моложе 18 лет	784438.0	3644017.0			409694.0	280003.0	94741.0	4.6
в том числе домохозяйства:								
с 1 ребенком	592564.0	2570673.0			409694.0	167638.0	15232.0	4.3
с 2 детьми	158695.0	846341.0				112365.0	46330.0	5.3
с 3 и более детьми	33179.0	227003.0					33179.0	6.8
в них детей		111380.0					111380.0	
Прочие домохозяйства, состоящие из одной супружеской пары	1832902.0	7698152.0		639902.0	601642.0	342271.0	249087.0	4.2
из них домохозяйства, имеющие детей моложе 18 лет	929794.0	4477949.0		117228.0	308550.0	279238.0	224778.0	4.8
в том числе домохозяйства:								
с 1 ребенком	625140.0	2706951.0		117228.0	268776.0	175344.0	63792.0	4.3
с 2 детьми	229841.0	1246609.0			39774.0	90930.0	99137.0	5.4
с 3 и более детьми	74813.0	524389.0				12964.0	61849.0	7.0
в них детей		255475.0				38892.0	216583.0	
Домохозяйства, состоящие из двух супружеских пар, родственников (или без них) и не родственников (или без них)	923053.0	5149799.0			131845.0	371572.0	419636.0	5.6
из них домохозяйства, имеющие детей моложе 18 лет	703417.0	4151361.0				307255.0	396162.0	5.9
в том числе домохозяйства:								
с 1 ребенком	458429.0	2475201.0				307255.0	151174.0	5.4
с 2 детьми	194025.0	1245801.0					194025.0	6.4
с 3 и более детьми	50963.0	430359.0					50963.0	8.4
в них детей		179187.0					179187.0	
Домохозяйства, состоящие из супружеской пары с детьми и без детей, с обоими  родителями одного из супругов  с детьми и без детей	724973.0	3838018.0			124396.0	338010.0	262567.0	5.3
из них домохозяйства, имеющие детей моложе 18 лет	545887.0	3055447.0				293181.0	252706.0	5.6
в том числе домохозяйства:								
с 1 ребенком	377759.0	1980545.0				293181.0	84578.0	5.2
с 2 детьми	145418.0	899038.0					145418.0	6.2
с 3 и более детьми	22710.0	175864.0					22710.0	7.7
в них детей		75650.0					75650.0	
Домохозяйства, состоящие из супружеской пары с детьми и без детей, с обоими родителями одного из супругов с детьми и без детей, прочих родственников (или без них) и не родственников (или без них)	133895.0	888659.0				20402.0	113493.0	6.6
из них домохозяйства, имеющие детей моложе 18 лет	108823.0	749950.0				4927.0	103896.0	6.9
в том числе домохозяйства:								
с 1 ребенком	61048.0	380071.0				4927.0	56121.0	6.2
с 2 детьми	33612.0	242873.0					33612.0	7.2
с 3 и более детьми	14163.0	127006.0					14163.0	9.0
в них детей		49143.0					49143.0	
Прочие домохозяйства, состоящие из двух супружеских пар	64185.0	423122.0			7449.0	13160.0	43576.0	6.6
из них домохозяйства, имеющие детей моложе 18 лет	48707.0	345964.0				9147.0	39560.0	7.1
в том числе домохозяйства:								
с 1 ребенком	19622.0	114585.0				9147.0	10475.0	5.8
с 2 детьми	14995.0	103890.0					14995.0	6.9
с 3 и более детьми	14090.0	127489.0					14090.0	9.0
в них детей		54394.0					54394.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	29440.0	265510.0					29440.0	9.0
из них домохозяйства, имеющие детей моложе 18 лет	25364.0	236657.0					25364.0	9.3
в том числе домохозяйства:								
с 1 ребенком	7310.0	55608.0					7310.0	7.6
с 2 детьми	8677.0	73774.0					8677.0	8.5
с 3 и более детьми	9377.0	107275.0					9377.0	11.4
в них детей		39972.0					39972.0	
Домохозяйства, состоящие из матери с детьми	4462183.0	10142479.0	3421221.0	904750.0	109508.0	17712.0	8992.0	2.3
из них домохозяйства, имеющие детей моложе 18 лет	2177888.0	5284054.0	1406809.0	651646.0	94856.0	16255.0	8322.0	2.4
в том числе домохозяйства:								
с 1 ребенком	1723794.0	3796249.0	1406809.0	288787.0	25585.0	1998.0	615.0	2.2
с 2 детьми	399019.0	1239712.0		362859.0	31101.0	3999.0	1060.0	3.1
с 3 и более детьми	55075.0	248093.0			38170.0	10258.0	6647.0	4.5
в них детей		180971.0			114510.0	36607.0	29854.0	
Домохозяйства, состоящие из отца с детьми	505886.0	1122946.0	411714.0	81302.0	10239.0	1716.0	915.0	2.2
из них домохозяйства, имеющие детей моложе 18 лет	201252.0	476462.0	141365.0	49480.0	8099.0	1490.0	818.0	2.4
в том числе домохозяйства:								
с 1 ребенком	167920.0	365795.0	141365.0	23614.0	2600.0	260.0	81.0	2.2
с 2 детьми	29000.0	90838.0		25866.0	2600.0	413.0	121.0	3.1
с 3 и более детьми	4332.0	19829.0			2899.0	817.0	616.0	4.6
в них детей		14279.0			8697.0	2891.0	2691.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	955667.0	3093313.0		756244.0	177942.0	17511.0	3970.0	3.2
из них домохозяйства, имеющие детей моложе 18 лет	740935.0	2422249.0		567141.0	153391.0	16570.0	3833.0	3.3
в том числе домохозяйства:								
с 1 ребенком	619234.0	1913280.0		567141.0	48906.0	2940.0	247.0	3.1
с 2 детьми	109718.0	444834.0			104485.0	4604.0	629.0	4.1
с 3 и более детьми	11983.0	64135.0				9026.0	2957.0	5.4
в них детей		38685.0				27078.0	11607.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери (отца) (или без него), прочих родственников (или без них) и не родственников (или без них)	1158398.0	4496497.0		484602.0	452562.0	147485.0	73749.0	3.9
из них домохозяйства, имеющие детей моложе 18 лет	834351.0	3383755.0		267254.0	367113.0	132609.0	67375.0	4.1
в том числе домохозяйства:								
с 1 ребенком	582863.0	2160723.0		258262.0	258618.0	51934.0	14049.0	3.7
с 2 детьми	201737.0	915868.0		8992.0	105656.0	64766.0	22323.0	4.5
с 3 и более детьми	49751.0	307164.0			2839.0	15909.0	31003.0	6.2
в них детей		167887.0			8517.0	48261.0	111109.0	
Прочие домохозяйства	2220107.0	6012654.0	1618947.0	339868.0	131416.0	37414.0	92462.0	2.7
из них домохозяйства, имеющие детей моложе 18 лет	390824.0	1214042.0	196026.0	106331.0	52028.0	15506.0	20933.0	3.1
в том числе домохозяйства:								
с 1 ребенком	281487.0	762793.0	172401.0	70511.0	25026.0	6173.0	7376.0	2.7
с 2 детьми	70668.0	235486.0	23625.0	25133.0	13825.0	4106.0	3979.0	3.3
с 3 и более детьми	38669.0	215763.0		10687.0	13177.0	5227.0	9578.0	5.6
в них детей		156513.0		32061.0	45554.0	20061.0	58837.0	
Сельские населенные пункты								
Все домохозяйства	10501914.0	35200400.0	3663486.0	2733986.0	2328892.0	997610.0	777940.0	3.4
из них домохозяйства, имеющие детей моложе 18 лет	5637627.0	23336117.0	325359.0	1657215.0	1983395.0	923761.0	747897.0	4.1
в том числе домохозяйства:								
с 1 ребенком	2944069.0	10174341.0	322906.0	1513173.0	706732.0	290039.0	111219.0	3.5
с 2 детьми	1956060.0	8596316.0	2453.0	142980.0	1241335.0	331540.0	237752.0	4.4
с 3 и более детьми	737498.0	4565460.0		1062.0	35328.0	302182.0	398926.0	6.2
в них детей		2574052.0		3186.0	106638.0	915495.0	1548733.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	7835363.0	26454591.0	2385482.0	2152763.0	2043406.0	794851.0	458861.0	3.4
из них домохозяйства, имеющие детей моложе 18 лет	4247436.0	17663897.0		1275981.0	1779506.0	748144.0	443805.0	4.2
в том числе домохозяйства:								
с 1 ребенком	2121178.0	7492158.0		1275981.0	624970.0	173598.0	46629.0	3.5
с 2 детьми	1561812.0	6798609.0			1154536.0	301928.0	105348.0	4.4
с 3 и более детьми	564446.0	3373130.0				272618.0	291828.0	6.0
в них детей		1947414.0				817854.0	1129560.0	
Домохозяйства, состоящие из одной супружеской пары с детьми и без детей	6412856.0	19935288.0	2385482.0	1835442.0	1596472.0	410536.0	184924.0	3.1
из них домохозяйства, имеющие детей моложе 18 лет	3245565.0	12614136.0		1226492.0	1446717.0	392954.0	179402.0	3.9
в том числе домохозяйства:								
с 1 ребенком	1598863.0	5243640.0		1226492.0	310986.0	51468.0	9917.0	3.3
с 2 детьми	1235722.0	5071430.0			1135731.0	78117.0	21874.0	4.1
с 3 и более детьми	410980.0	2299066.0				263369.0	147611.0	5.6
в них детей		1407422.0				790107.0	617315.0	
Домохозяйства, состоящие из одной супружеской пары с детьми и без детей и одного из родителей супругов	571146.0	2471974.0		144467.0	186706.0	174123.0	65850.0	4.3
из них домохозяйства, имеющие детей моложе 18 лет	370871.0	1800738.0			143718.0	162750.0	64403.0	4.9
в том числе домохозяйства:								
с 1 ребенком	178590.0	755807.0			143718.0	29112.0	5760.0	4.2
с 2 детьми	143236.0	727872.0				133638.0	9598.0	5.1
с 3 и более детьми	49045.0	317059.0					49045.0	6.5
в них детей		164452.0					164452.0	
Домохозяйства, состоящие из одной супружеской пары с детьми и без детей и матери (отца) с детьми	282584.0	1435175.0			109218.0	96077.0	77289.0	5.1
из них домохозяйства, имеющие детей моложе 18 лет	266709.0	1366583.0			96962.0	93438.0	76309.0	5.1
в том числе домохозяйства:								
с 1 ребенком	153903.0	685015.0			96962.0	47355.0	9586.0	4.5
с 2 детьми	76851.0	423268.0				46083.0	30768.0	5.5
с 3 и более детьми	35955.0	258300.0					35955.0	7.2
в них детей		126829.0					126829.0	
Прочие домохозяйства, состоящие из одной супружеской пары	568777.0	2612154.0		172854.0	151010.0	114115.0	130798.0	4.6
из них домохозяйства, имеющие детей моложе 18 лет	364291.0	1882440.0		49489.0	92109.0	99002.0	123691.0	5.2
в том числе домохозяйства:								
с 1 ребенком	189822.0	807696.0		49489.0	73304.0	45663.0	21366.0	4.3
с 2 детьми	106003.0	576039.0			18805.0	44090.0	43108.0	5.4
с 3 и более детьми	68466.0	498705.0				9249.0	59217.0	7.3
в них детей		248711.0				27747.0	220964.0	
Домохозяйства, состоящие из двух супружеских пар, родственников (или без них) и не родственников (или без них)	391636.0	2387389.0			38607.0	115957.0	237072.0	6.1
из них домохозяйства, имеющие детей моложе 18 лет	327972.0	2096485.0				98268.0	229704.0	6.4
в том числе домохозяйства:								
с 1 ребенком	153462.0	840774.0				98268.0	55194.0	5.5
с 2 детьми	115615.0	748869.0					115615.0	6.5
с 3 и более детьми	58895.0	506842.0					58895.0	8.6
в них детей		215731.0					215731.0	
Домохозяйства, состоящие из супружеской пары с детьми и без детей, с обоими  родителями одного из супругов  с детьми и без детей	303770.0	1731799.0			36844.0	107004.0	159922.0	5.7
из них домохозяйства, имеющие детей моложе 18 лет	250986.0	1500067.0				94573.0	156413.0	6.0
в том числе домохозяйства:								
с 1 ребенком	126786.0	672793.0				94573.0	32213.0	5.3
с 2 детьми	92624.0	579884.0					92624.0	6.3
с 3 и более детьми	31576.0	247390.0					31576.0	7.8
в них детей		106745.0					106745.0	
Домохозяйства, состоящие из супружеской пары с детьми и без детей, с обоими родителями одного из супругов с детьми и без детей, прочих родственников (или без них) и не родственников (или без них)	58208.0	422905.0				5249.0	52959.0	7.3
из них домохозяйства, имеющие детей моложе 18 лет	51049.0	382908.0				939.0	50110.0	7.5
в том числе домохозяйства:								
с 1 ребенком	20706.0	132264.0				939.0	19767.0	6.4
с 2 детьми	16988.0	125976.0					16988.0	7.4
с 3 и более детьми	13355.0	124668.0					13355.0	9.3
в них детей		49053.0					49053.0	
Прочие домохозяйства, состоящие из двух супружеских пар	29658.0	232685.0			1763.0	3704.0	24191.0	7.8
из них домохозяйства, имеющие детей моложе 18 лет	25937.0	213510.0				2756.0	23181.0	8.2
в том числе домохозяйства:								
с 1 ребенком	5970.0	35717.0				2756.0	3214.0	6.0
с 2 детьми	6003.0	43009.0					6003.0	7.2
с 3 и более детьми	13964.0	134784.0					13964.0	9.7
в них детей		59933.0					59933.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	19668.0	201927.0					19668.0	10.3
из них домохозяйства, имеющие детей моложе 18 лет	18542.0	193896.0					18542.0	10.5
в том числе домохозяйства:								
с 1 ребенком	3061.0	23976.0					3061.0	7.8
с 2 детьми	4652.0	40934.0					4652.0	8.8
с 3 и более детьми	10829.0	128986.0					10829.0	11.9
в них детей		49296.0					49296.0	
Домохозяйства, состоящие из матери с детьми	1163740.0	2837342.0	799042.0	267122.0	67983.0	18660.0	10933.0	2.4
из них домохозяйства, имеющие детей моложе 18 лет	531543.0	1467120.0	255332.0	191534.0	57971.0	16706.0	10000.0	2.8
в том числе домохозяйства:								
с 1 ребенком	336547.0	772326.0	255332.0	66637.0	12118.0	1812.0	648.0	2.3
с 2 детьми	145676.0	464047.0		124897.0	16187.0	3452.0	1140.0	3.2
с 3 и более детьми	49320.0	230747.0			29666.0	11442.0	8212.0	4.7
в них детей		168301.0			88998.0	41575.0	37728.0	
Домохозяйства, состоящие из отца с детьми	128631.0	304650.0	95061.0	24562.0	6069.0	1828.0	1111.0	2.4
из них домохозяйства, имеющие детей моложе 18 лет	49529.0	132497.0	27423.0	14954.0	4619.0	1549.0	984.0	2.7
в том числе домохозяйства:								
с 1 ребенком	35079.0	79919.0	27423.0	6016.0	1303.0	256.0	81.0	2.3
с 2 детьми	10762.0	34869.0		8938.0	1295.0	383.0	146.0	3.2
с 3 и более детьми	3688.0	17709.0			2021.0	910.0	757.0	4.8
в них детей		12643.0			6063.0	3237.0	3343.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	196711.0	672744.0		133889.0	48767.0	10173.0	3882.0	3.4
из них домохозяйства, имеющие детей моложе 18 лет	159210.0	553704.0		102146.0	43590.0	9716.0	3758.0	3.5
в том числе домохозяйства:								
с 1 ребенком	114175.0	356405.0		102146.0	10452.0	1355.0	222.0	3.1
с 2 детьми	35932.0	147092.0			33138.0	2324.0	470.0	4.1
с 3 и более детьми	9103.0	50207.0				6037.0	3066.0	5.5
в них детей		30576.0				18111.0	12465.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери (отца) (или без него), прочих родственников (или без них) и не родственников (или без них)	297494.0	1256398.0		99923.0	106881.0	50645.0	40045.0	4.2
из них домохозяйства, имеющие детей моложе 18 лет	230472.0	1024951.0		54604.0	90508.0	47108.0	38252.0	4.4
в том числе домохозяйства:								
с 1 ребенком	126137.0	479077.0		51915.0	55213.0	14129.0	4880.0	3.8
с 2 детьми	69270.0	321420.0		2689.0	33890.0	22813.0	9878.0	4.6
с 3 и более детьми	35065.0	224454.0			1405.0	10166.0	23494.0	6.4
в них детей		124721.0			4215.0	30964.0	89542.0	
Прочие домохозяйства	468671.0	1085359.0	383901.0	55727.0	17179.0	5496.0	6368.0	2.3
из них домохозяйства, имеющие детей моложе 18 лет	72923.0	203567.0	42604.0	17996.0	7201.0	2270.0	2852.0	2.8
в том числе домохозяйства:								
с 1 ребенком	54430.0	129706.0	40151.0	10478.0	2676.0	621.0	504.0	2.4
с 2 детьми	12341.0	40476.0	2453.0	6456.0	2289.0	640.0	503.0	3.3
с 3 и более детьми	6152.0	33385.0		1062.0	2236.0	1009.0	1845.0	5.4
в них детей		25370.0		3186.0	7362.0	3754.0	11068.0	
