11. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Численность членов частных домохозяйств	из них проживающие в домохозяйствах, состоящих из				
65 и более	203266.0	55886.0	82703.0	27876.0	16811.0	19990.0
возраст не указан	290.0	50.0	67.0	48.0	59.0	66.0
Липецкая область						
Все население	1202503.0	109950.0	258806.0	330471.0	294088.0	209188.0
в том числе в возрасте, лет:						
 0 – 3	37500.0	5.0	1322.0	10309.0	11659.0	14205.0
 4 – 5	19423.0	5.0	939.0	5415.0	6627.0	6437.0
 6 – 9	44116.0	18.0	2629.0	12392.0	16079.0	12998.0
10 – 14 	81414.0	62.0	5779.0	22984.0	32673.0	19916.0
15 – 17 	60432.0	1362.0	5498.0	17848.0	22491.0	13233.0
18 – 24	114800.0	4167.0	15813.0	34389.0	33852.0	26579.0
25 – 34 	159352.0	6322.0	21901.0	57095.0	42187.0	31847.0
35 – 44 	192170.0	9224.0	28830.0	63720.0	61487.0	28909.0
45 – 54	184089.0	14711.0	48495.0	56473.0	38549.0	25861.0
55 – 64	122984.0	19956.0	51265.0	24613.0	13693.0	13457.0
65 и более	185984.0	54077.0	76281.0	25178.0	14736.0	15712.0
возраст не указан	239.0	41.0	54.0	55.0	55.0	34.0
Московская область						
Все население	6497429.0	593290.0	1381076.0	1833429.0	1648720.0	1040914.0
в том числе в возрасте, лет:						
 0 – 3	195924.0	147.0	9604.0	53801.0	63453.0	68919.0
 4 – 5	96986.0	104.0	6590.0	28136.0	32887.0	29269.0
 6 – 9	211228.0	302.0	16969.0	62438.0	76056.0	55463.0
10 – 14 	397553.0	739.0	37042.0	117598.0	157560.0	84614.0
15 – 17 	300105.0	3366.0	32069.0	90371.0	117391.0	56908.0
18 – 24	660642.0	24620.0	100776.0	197559.0	207073.0	130614.0
25 – 34 	904931.0	45110.0	145668.0	311728.0	232085.0	170340.0
35 – 44 	1036010.0	59792.0	167722.0	338903.0	328135.0	141458.0
45 – 54	1024276.0	87056.0	242980.0	311519.0	242168.0	140553.0
55 – 64	686954.0	110907.0	248873.0	157316.0	93771.0	76087.0
65 и более	974609.0	259219.0	370989.0	162161.0	96563.0	85677.0
возраст не указан	8211.0	1928.0	1794.0	1899.0	1578.0	1012.0
Орловская область						
Все население	846032.0	78842.0	180622.0	227805.0	202916.0	155847.0
в том числе в возрасте, лет:						
 0 – 3	26500.0	2.0	822.0	6654.0	8202.0	10820.0
 4 – 5	13636.0	2.0	609.0	3688.0	4607.0	4730.0
 6 – 9	32103.0	12.0	1853.0	8606.0	11777.0	9855.0
10 – 14 	56916.0	53.0	3974.0	15975.0	22230.0	14684.0
15 – 17 	41078.0	2724.0	3661.0	11649.0	14005.0	9039.0
18 – 24	82582.0	7181.0	10801.0	23357.0	22319.0	18924.0
25 – 34 	110338.0	3969.0	14306.0	38077.0	30035.0	23951.0
35 – 44 	130987.0	6115.0	20575.0	42803.0	40411.0	21083.0
45 – 54	133271.0	10379.0	36018.0	40304.0	27067.0	19503.0
55 – 64	82434.0	12555.0	33223.0	16623.0	9946.0	10087.0
65 и более	136026.0	35814.0	54746.0	20040.0	12285.0	13141.0
возраст не указан	161.0	36.0	34.0	29.0	32.0	30.0
Рязанская область						
Все население	1206383.0	126310.0	287186.0	339213.0	277720.0	175954.0
в том числе в возрасте, лет:						
 0 – 3	34560.0	10.0	1118.0	10205.0	11285.0	11942.0
 4 – 5	18241.0	11.0	953.0	5633.0	6328.0	5316.0
 6 – 9	41120.0	14.0	2503.0	12596.0	15436.0	10571.0
10 – 14 	78276.0	72.0	5828.0	23906.0	31293.0	17177.0
15 – 17 	56162.0	1706.0	5699.0	17961.0	20288.0	10508.0
18 – 24	112757.0	6526.0	17783.0	35412.0	31671.0	21365.0
25 – 34 	154055.0	5846.0	21351.0	58309.0	41049.0	27500.0
35 – 44 	181134.0	8524.0	29155.0	63650.0	56139.0	23666.0
45 – 54	187932.0	15455.0	55287.0	58687.0	36340.0	22163.0
55 – 64	132572.0	22535.0	58751.0	25720.0	13447.0	12119.0
65 и более	209405.0	65570.0	88712.0	27102.0	14400.0	13621.0
возраст не указан	169.0	41.0	46.0	32.0	44.0	6.0
Смоленская область						
Все население	1031179.0	110395.0	243164.0	298161.0	238064.0	141395.0
в том числе в возрасте, лет:						
 0 – 3	29272.0	11.0	1365.0	9686.0	9223.0	8987.0
 4 – 5	15314.0	11.0	997.0	5200.0	5173.0	3933.0
 6 – 9	35748.0	19.0	2861.0	11631.0	13018.0	8219.0
10 – 14 	69188.0	151.0	6078.0	21975.0	26965.0	14019.0
15 – 17 	53016.0	2742.0	5479.0	16195.0	18630.0	9970.0
18 – 24	103712.0	8236.0	16354.0	31805.0	27983.0	19334.0
25 – 34 	132399.0	6263.0	21086.0	51925.0	33052.0	20073.0
35 – 44 	161473.0	8954.0	27803.0	55678.0	49454.0	19584.0
45 – 54	165070.0	14802.0	49408.0	50991.0	31585.0	18284.0
55 – 64	96476.0	16985.0	42226.0	19548.0	9860.0	7857.0
65 и более	163892.0	51318.0	68199.0	21953.0	12082.0	10340.0
возраст не указан	5619.0	903.0	1308.0	1574.0	1039.0	795.0
Тамбовская область						
Все население	1163267.0	112328.0	265890.0	325404.0	278080.0	181565.0
в том числе в возрасте, лет:						
 0 – 3	35281.0	8.0	1094.0	10305.0	11504.0	12370.0
 4 – 5	18294.0	3.0	820.0	5363.0	6598.0	5510.0
 6 – 9	43090.0	16.0	2305.0	12490.0	16624.0	11655.0
10 – 14 	78546.0	34.0	5056.0	22867.0	32054.0	18535.0
15 – 17 	56186.0	964.0	4943.0	17379.0	21343.0	11557.0
18 – 24	105487.0	4134.0	14478.0	34176.0	30709.0	21990.0
25 – 34 	148330.0	5050.0	18957.0	56619.0	40929.0	26775.0
35 – 44 	182294.0	8042.0	27851.0	61849.0	58743.0	25809.0
45 – 54	177270.0	14415.0	52585.0	55011.0	33764.0	21495.0
55 – 64	121939.0	20639.0	54805.0	23245.0	11636.0	11614.0
65 и более	196068.0	58926.0	82883.0	25982.0	14078.0	14199.0
возраст не указан	482.0	97.0	113.0	118.0	98.0	56.0
Тверская область						
Все население	1448570.0	162743.0	358924.0	406227.0	326644.0	194032.0
в том числе в возрасте, лет:						
 0 – 3	44390.0	7.0	1884.0	14384.0	14554.0	13561.0
 4 – 5	22180.0	12.0	1352.0	7101.0	7845.0	5870.0
 6 – 9	48663.0	23.0	3534.0	15270.0	18173.0	11663.0
10 – 14 	95527.0	97.0	8033.0	29280.0	37584.0	20533.0
15 – 17 	69843.0	1647.0	7556.0	22217.0	25283.0	13140.0
18 – 24	136915.0	6848.0	22923.0	44257.0	37756.0	25131.0
25 – 34 	179964.0	7961.0	27664.0	69709.0	46768.0	27862.0
35 – 44 	219303.0	11332.0	37720.0	75181.0	67714.0	27356.0
45 – 54	227384.0	20449.0	71484.0	69493.0	41564.0	24394.0
55 – 64	146899.0	27851.0	67972.0	27245.0	13285.0	10546.0
65 и более	256853.0	86400.0	108615.0	31943.0	16008.0	13887.0
возраст не указан	649.0	116.0	187.0	147.0	110.0	89.0
Тульская область						
Все население	1653130.0	169791.0	391794.0	463704.0	372908.0	254933.0
в том числе в возрасте, лет:						
 0 – 3	46147.0	12.0	2164.0	13736.0	14226.0	16009.0
 4 – 5	23825.0	8.0	1536.0	7326.0	7871.0	7084.0
 6 – 9	53990.0	50.0	4341.0	16494.0	18666.0	14439.0
10 – 14 	99018.0	123.0	8992.0	30104.0	36902.0	22897.0
15 – 17 	74268.0	1378.0	8520.0	23141.0	25825.0	15404.0
18 – 24	156908.0	7161.0	25240.0	48883.0	43954.0	31670.0
25 – 34 	217475.0	10270.0	34194.0	79867.0	54423.0	38721.0
35 – 44 	239679.0	13524.0	42226.0	79630.0	70155.0	34144.0
45 – 54	265243.0	23477.0	73294.0	81766.0	52850.0	33856.0
55 – 64	181740.0	30766.0	73535.0	38293.0	21476.0	17670.0
65 и более	294296.0	82890.0	117583.0	44338.0	26494.0	22991.0
возраст не указан	541.0	132.0	169.0	126.0	66.0	48.0
Ярославская область						
Все население	1342518.0	146371.0	324804.0	394257.0	310756.0	166330.0
в том числе в возрасте, лет:						
 0 – 3	41164.0	8.0	1932.0	14144.0	13256.0	11824.0
 4 – 5	20111.0	8.0	1391.0	6963.0	6850.0	4899.0
 6 – 9	43672.0	24.0	3549.0	14599.0	15933.0	9567.0
10 – 14 	84997.0	81.0	8076.0	27459.0	33529.0	15852.0
15 – 17 	64868.0	2859.0	7289.0	20418.0	23769.0	10533.0
18 – 24	136343.0	11234.0	23115.0	42780.0	37590.0	21624.0
25 – 34 	181626.0	9149.0	29819.0	72452.0	45053.0	25153.0
35 – 44 	202076.0	10978.0	34589.0	70527.0	63329.0	22653.0
45 – 54	212797.0	19247.0	63296.0	67305.0	41525.0	21424.0
55 – 64	142209.0	25652.0	63263.0	28389.0	14189.0	10716.0
65 и более	210721.0	66610.0	87936.0	28750.0	15507.0	11918.0
возраст не указан	1934.0	521.0	549.0	471.0	226.0	167.0
г. Москва						
Все население	10297656.0	1027589.0	1997030.0	2456400.0	2377972.0	2438665.0
в том числе в возрасте, лет:						
 0 – 3	275903.0	550.0	16399.0	66735.0	87207.0	105012.0
 4 – 5	143849.0	416.0	10856.0	34278.0	49259.0	49040.0
 6 – 9	288569.0	866.0	25613.0	73621.0	101176.0	87293.0
10 – 14 	517796.0	1726.0	54643.0	139003.0	194395.0	128029.0
15 – 17 	409255.0	6724.0	48530.0	113361.0	151229.0	89411.0
18 – 24	1150758.0	79241.0	173065.0	271204.0	306181.0	321067.0
25 – 34 	1657280.0	155466.0	259752.0	391392.0	339443.0	511227.0
35 – 44 	1792966.0	162369.0	274228.0	451174.0	454053.0	451142.0
45 – 54	1590815.0	154797.0	323915.0	414888.0	358585.0	338630.0
55 – 64	1061656.0	156999.0	320795.0	243604.0	162562.0	177696.0
65 и более	1384788.0	305255.0	485716.0	253810.0	170525.0	169482.0
возраст не указан	24021.0	3180.0	3518.0	3330.0	3357.0	10636.0
Северо-Западный федеральный округ						
Все население	13648980.0	1302093.0	3055734.0	3905901.0	3325520.0	2059732.0
в том числе в возрасте, лет:						
 0 – 3	429697.0	318.0	21175.0	138072.0	139015.0	131117.0
 4 – 5	213446.0	193.0	15146.0	67919.0	73593.0	56595.0
 6 – 9	460728.0	524.0	38100.0	141459.0	169482.0	111163.0
10 – 14 	906517.0	1773.0	86296.0	271536.0	351998.0	194914.0
15 – 17 	694217.0	18043.0	77256.0	209369.0	253348.0	136201.0
18 – 24	1467701.0	97203.0	250919.0	438798.0	405756.0	275025.0
25 – 34 	1907108.0	110730.0	319597.0	688375.0	476260.0	312146.0
35 – 44 	2179686.0	133149.0	371459.0	711035.0	668927.0	295116.0
45 – 54	2195203.0	198655.0	613645.0	665075.0	455150.0	262678.0
55 – 64	1308577.0	220063.0	521794.0	281601.0	156635.0	128484.0
65 и более	1863054.0	516119.0	734907.0	287502.0	171245.0	153281.0
возраст не указан	23046.0	5323.0	5440.0	5160.0	4111.0	3012.0
Республика Карелия						
Все население	701314.0	68167.0	166028.0	211914.0	167996.0	87209.0
в том числе в возрасте, лет:						
 0 – 3	24994.0	4.0	1201.0	9002.0	8318.0	6469.0
 4 – 5	11932.0	4.0	831.0	4185.0	4274.0	2638.0
 6 – 9	25731.0	8.0	2126.0	8592.0	9904.0	5101.0
10 – 14 	51169.0	47.0	4893.0	16281.0	20496.0	9452.0
15 – 17 	38647.0	1782.0	4119.0	12108.0	13834.0	6804.0
18 – 24	75042.0	6624.0	13741.0	23825.0	18876.0	11976.0
25 – 34 	100136.0	5263.0	16619.0	40214.0	25289.0	12751.0
35 – 44 	112703.0	6321.0	20344.0	38693.0	35078.0	12267.0
45 – 54	114186.0	10674.0	37244.0	34967.0	20503.0	10798.0
55 – 64	60549.0	10898.0	28014.0	12129.0	5382.0	4126.0
65 и более	86104.0	26516.0	36864.0	11904.0	6018.0	4802.0
возраст не указан	121.0	26.0	32.0	14.0	24.0	25.0
Республика Коми						
Все население	992612.0	86947.0	209066.0	301218.0	257428.0	137953.0
в том числе в возрасте, лет:						
 0 – 3	39617.0	6.0	2009.0	13870.0	13371.0	10361.0
 4 – 5	19732.0	6.0	1424.0	6786.0	7192.0	4324.0
 6 – 9	42264.0	12.0	3402.0	13173.0	16920.0	8757.0
10 – 14 	76785.0	42.0	7082.0	23061.0	31244.0	15356.0
15 – 17 	58934.0	1500.0	6337.0	18531.0	21452.0	11114.0
18 – 24	113214.0	7552.0	20446.0	36093.0	29410.0	19713.0
25 – 34 	149218.0	9208.0	24272.0	57679.0	39033.0	19026.0
35 – 44 	173566.0	11570.0	29445.0	56028.0	55393.0	21130.0
45 – 54	162294.0	16847.0	50119.0	49367.0	29546.0	16415.0
55 – 64	75093.0	15079.0	32440.0	14468.0	7305.0	5801.0
65 и более	81175.0	24914.0	31902.0	12000.0	6474.0	5885.0
возраст не указан	720.0	211.0	188.0	162.0	88.0	71.0
Архангельская область						
Все население	1302734.0	120153.0	293424.0	382482.0	326640.0	180035.0
в том числе в возрасте, лет:						
 0 – 3	48296.0	8.0	2064.0	16668.0	16380.0	13176.0
 4 – 5	23832.0	10.0	1658.0	8033.0	8694.0	5437.0
 6 – 9	50014.0	11.0	3792.0	15353.0	19795.0	11063.0
10 – 14 	98669.0	74.0	8417.0	28892.0	40120.0	21166.0
15 – 17 	72111.0	1982.0	7492.0	21822.0	26262.0	14553.0
18 – 24	141729.0	8747.0	24638.0	45096.0	37687.0	25561.0
25 – 34 	182588.0	9310.0	28138.0	71523.0	49180.0	24437.0
35 – 44 	206158.0	11643.0	34469.0	67501.0	66863.0	25682.0
45 – 54	211977.0	19577.0	64735.0	64919.0	40717.0	22029.0
55 – 64	114805.0	20713.0	52400.0	22563.0	10784.0	8345.0
65 и более	152407.0	48050.0	65583.0	20076.0	10129.0	8569.0
возраст не указан	148.0	28.0	38.0	36.0	29.0	17.0
Ненецкий автономный округ						
Все население	40867.0	2661.0	6726.0	10170.0	10208.0	11102.0
в том числе в возрасте, лет:						
 0 – 3	2145.0	-	73.0	539.0	615.0	918.0
 4 – 5	1080.0	-	63.0	232.0	339.0	446.0
 6 – 9	2221.0	2.0	107.0	455.0	764.0	893.0
10 – 14 	3939.0	2.0	233.0	830.0	1374.0	1500.0
15 – 17 	2375.0	16.0	189.0	561.0	721.0	888.0
18 – 24	4423.0	148.0	565.0	1192.0	1026.0	1492.0
25 – 34 	6035.0	293.0	682.0	1890.0	1659.0	1511.0
35 – 44 	7034.0	491.0	1031.0	1842.0	2023.0	1647.0
45 – 54	6311.0	616.0	1724.0	1680.0	1184.0	1107.0
55 – 64	2642.0	417.0	1047.0	518.0	277.0	383.0
65 и более	2642.0	674.0	1005.0	423.0	225.0	315.0
возраст не указан	20.0	2.0	7.0	8.0	1.0	2.0
Вологодская область						
Все население	1246948.0	124878.0	290154.0	357594.0	315160.0	159162.0
в том числе в возрасте, лет:						
 0 – 3	44329.0	18.0	1794.0	15227.0	15170.0	12120.0
 4 – 5	21097.0	6.0	1314.0	7117.0	7801.0	4859.0
 6 – 9	46247.0	16.0	3283.0	13788.0	19065.0	10095.0
10 – 14 	90508.0	71.0	7273.0	26313.0	38809.0	18042.0
15 – 17 	68361.0	2243.0	6562.0	20578.0	26587.0	12391.0
18 – 24	131425.0	8112.0	21833.0	41672.0	37207.0	22601.0
25 – 34 	162292.0	7775.0	24617.0	64439.0	44522.0	20939.0
35 – 44 	199682.0	10460.0	32027.0	65607.0	68303.0	23285.0
45 – 54	195217.0	17311.0	59975.0	60442.0	37939.0	19550.0
55 – 64	107023.0	19455.0	51481.0	20259.0	9080.0	6748.0
65 и более	178476.0	58975.0	79349.0	21557.0	10218.0	8377.0
возраст не указан	2291.0	436.0	646.0	595.0	459.0	155.0
Калининградская область						
Все население	923894.0	68111.0	184032.0	258735.0	231136.0	181880.0
в том числе в возрасте, лет:						
 0 – 3	30755.0	7.0	1202.0	8433.0	9475.0	11638.0
 4 – 5	15335.0	4.0	838.0	4291.0	5090.0	5112.0
 6 – 9	34319.0	22.0	2245.0	9845.0	12040.0	10167.0
10 – 14 	64954.0	70.0	5214.0	18296.0	24389.0	16985.0
15 – 17 	47737.0	558.0	4644.0	13766.0	17217.0	11552.0
18 – 24	97921.0	3297.0	13823.0	28296.0	28185.0	24320.0
25 – 34 	134624.0	6181.0	19414.0	46158.0	33954.0	28917.0
35 – 44 	147945.0	7585.0	21741.0	47324.0	45902.0	25393.0
45 – 54	148533.0	11017.0	37329.0	44893.0	31948.0	23346.0
55 – 64	86159.0	12181.0	33067.0	18767.0	10874.0	11270.0
65 и более	115106.0	27088.0	44413.0	18549.0	11967.0	13089.0
возраст не указан	506.0	101.0	102.0	117.0	95.0	91.0
Ленинградская область						
Все население	1634247.0	159332.0	375782.0	451977.0	399340.0	247816.0
в том числе в возрасте, лет:						
 0 – 3	48773.0	35.0	2287.0	14377.0	15787.0	16287.0
 4 – 5	24711.0	21.0	1661.0	7481.0	8492.0	7056.0
 6 – 9	53063.0	72.0	4233.0	16124.0	19283.0	13351.0
10 – 14 	107326.0	187.0	9800.0	31742.0	42271.0	23326.0
15 – 17 	82179.0	1343.0	8400.0	24738.0	31439.0	16259.0
18 – 24	165781.0	5813.0	24590.0	50155.0	50682.0	34541.0
25 – 34 	216731.0	10802.0	34204.0	77354.0	56303.0	38068.0
35 – 44 	256614.0	14528.0	42703.0	82858.0	82308.0	34217.0
45 – 54	270527.0	24210.0	76228.0	80039.0	56635.0	33415.0
55 – 64	162189.0	28920.0	68828.0	32782.0	17235.0	14424.0
65 и более	245329.0	73189.0	102604.0	34091.0	18701.0	16744.0
возраст не указан	1024.0	212.0	244.0	236.0	204.0	128.0
Мурманская область						
Все население	856448.0	88293.0	197666.0	289851.0	205048.0	75590.0
в том числе в возрасте, лет:						
 0 – 3	31789.0	10.0	1791.0	13538.0	10793.0	5657.0
 4 – 5	15631.0	3.0	1302.0	6586.0	5505.0	2235.0
 6 – 9	32922.0	18.0	3077.0	12921.0	12552.0	4354.0
10 – 14 	62849.0	84.0	6794.0	22978.0	24810.0	8183.0
15 – 17 	45112.0	913.0	5939.0	16091.0	16555.0	5614.0
18 – 24	93545.0	8248.0	19526.0	32293.0	22973.0	10505.0
25 – 34 	139838.0	11419.0	25455.0	60343.0	31565.0	11056.0
35 – 44 	151667.0	11819.0	28489.0	55570.0	44347.0	11442.0
45 – 54	147474.0	17616.0	49465.0	46569.0	24595.0	9229.0
55 – 64	71391.0	16399.0	31221.0	13692.0	6279.0	3800.0
65 и более	62486.0	21157.0	24094.0	8865.0	4898.0	3472.0
