4. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ, ПРОЖИВАЮЩЕЕ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ, ПО ПЕРИОДУ ПОСТРОЙКИ ДОМА И МАТЕРИАЛУ НАРУЖНЫХ СТЕН 1) ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Всего	из них проживают в домах, где материал наружных стен 						Не указали материал наружных стен
в 1946-1956 гг.	6248267.0	748197.0	5371.0	104414.0	3856131.0	962228.0	502950.0	68976.0
в 1957-1970 гг.	12609873.0	2629054.0	23465.0	315111.0	6538565.0	1918766.0	1037131.0	147781.0
в 1971-1995 гг.	11052184.0	4238389.0	185679.0	489791.0	4059431.0	1416203.0	530847.0	131844.0
после 1995 г.	2667197.0	1277420.0	29243.0	148011.0	767967.0	308687.0	99842.0	36027.0
не указавшие период постройки дома	269328.0	67915.0	2225.0	7326.0	103657.0	31741.0	12560.0	43904.0
Проживающие в отдельных квартирах	92953531.0	36372647.0	38193339.0	6763673.0	7947327.0	1907150.0	580157.0	1189238.0
в том числе построенных:								
в 1920 г. и ранее	1379039.0	799362.0	1525.0	3545.0	429877.0	119375.0	14488.0	10867.0
в 1921-1945 гг.	1989804.0	1019499.0	12231.0	56640.0	710610.0	137578.0	31080.0	22166.0
в 1946-1956 гг.	4208780.0	2063605.0	65133.0	455767.0	1105323.0	377604.0	88598.0	52750.0
в 1957-1970 гг.	23213174.0	11963290.0	5985616.0	2173912.0	2196274.0	511280.0	143592.0	239210.0
в 1971-1995 гг.	57034025.0	18601787.0	29819837.0	3813577.0	3345496.0	665361.0	244513.0	543454.0
после 1995 г.	4166327.0	1628045.0	2066126.0	209808.0	85644.0	80663.0	53661.0	42380.0
не указавшие период постройки дома	962382.0	297059.0	242871.0	50424.0	74103.0	15289.0	4225.0	278411.0
Проживающие в коммунальных квартирах	2184121.0	1234260.0	399159.0	135449.0	232045.0	112115.0	23060.0	48033.0
в том числе построенных:								
в 1920 г. и ранее	360971.0	317028.0	567.0	301.0	27469.0	10981.0	1161.0	3464.0
в 1921-1945 гг.	305020.0	191459.0	1364.0	11683.0	71602.0	22061.0	3082.0	3769.0
в 1946-1956 гг.	330433.0	185417.0	2414.0	37972.0	58397.0	35720.0	5747.0	4766.0
в 1957-1970 гг.	550072.0	336395.0	81912.0	41969.0	45620.0	27639.0	7850.0	8687.0
в 1971-1995 гг.	564534.0	175449.0	300790.0	40549.0	23203.0	12824.0	3623.0	8096.0
после 1995 г.	26947.0	11579.0	8098.0	1373.0	2351.0	1567.0	1417.0	562.0
не указавшие период постройки дома	46144.0	16933.0	4014.0	1602.0	3403.0	1323.0	180.0	18689.0
Городское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	94971684.0	35889304.0	36003895.0	6302374.0	10812357.0	3618283.0	1082857.0	1262614.0
в том числе построенных:								
в 1920 г. и ранее	2132347.0	1164514.0	2093.0	4807.0	704887.0	202720.0	35352.0	17974.0
в 1921-1945 гг.	3164418.0	1256365.0	13842.0	75418.0	1378377.0	323501.0	82080.0	34835.0
в 1946-1956 гг.	7106291.0	2508064.0	66350.0	547367.0	2748212.0	897962.0	250450.0	87886.0
в 1957-1970 гг.	25386185.0	12042061.0	5883355.0	2215997.0	3378422.0	1203556.0	389099.0	273695.0
в 1971-1995 гг.	51271530.0	16522267.0	27816760.0	3169415.0	2244838.0	777852.0	248665.0	491733.0
после 1995 г.	4897247.0	2095159.0	1990511.0	240846.0	262315.0	184813.0	70314.0	53289.0
не указавшие период постройки дома	1013666.0	300874.0	230984.0	48524.0	95306.0	27879.0	6897.0	303202.0
Проживающие в индивидуальных домах	13956230.0	3721383.0	77228.0	467133.0	6546656.0	2229555.0	712242.0	202033.0
в том числе построенных:								
в 1920 г. и ранее	511977.0	85505.0	208.0	1353.0	316400.0	80820.0	22855.0	4836.0
в 1921-1945 гг.	1130979.0	133932.0	1017.0	10623.0	731662.0	183472.0	58561.0	11712.0
в 1946-1956 гг.	3211139.0	427218.0	3134.0	81267.0	1926929.0	549581.0	184121.0	38889.0
в 1957-1970 гг.	4770830.0	1107801.0	10528.0	175898.0	2257505.0	847302.0	308208.0	63588.0
в 1971-1995 гг.	3157931.0	1343412.0	47426.0	136140.0	1040587.0	435018.0	112722.0	42626.0
после 1995 г.	1047359.0	593091.0	14010.0	58282.0	227358.0	118114.0	21621.0	14883.0
не указавшие период постройки дома	126015.0	30424.0	905.0	3570.0	46215.0	15248.0	4154.0	25499.0
Проживающие в отдельных квартирах	78975411.0	30999099.0	35543046.0	5705794.0	4067723.0	1291093.0	353047.0	1015609.0
в том числе построенных:								
в 1920 г. и ранее	1263408.0	763392.0	1329.0	3153.0	363005.0	111239.0	11533.0	9757.0
в 1921-1945 гг.	1736807.0	934196.0	11469.0	53172.0	579027.0	118775.0	20722.0	19446.0
в 1946-1956 гг.	3579474.0	1900792.0	60863.0	428607.0	768798.0	314723.0	61222.0	44469.0
в 1957-1970 гг.	20107971.0	10618946.0	5792228.0	1999405.0	1085783.0	334091.0	75293.0	202225.0
в 1971-1995 гг.	47614210.0	15033583.0	27481950.0	2996489.0	1190982.0	335023.0	134194.0	441989.0
после 1995 г.	3829326.0	1493580.0	1968965.0	181543.0	33942.0	65825.0	47491.0	37980.0
не указавшие период постройки дома	844215.0	254610.0	226242.0	43425.0	46186.0	11417.0	2592.0	259743.0
Проживающие в коммунальных квартирах	2040043.0	1168822.0	383621.0	129447.0	197978.0	97635.0	17568.0	44972.0
в том числе построенных:								
в 1920 г. и ранее	356962.0	315617.0	556.0	301.0	25482.0	10661.0	964.0	3381.0
в 1921-1945 гг.	296632.0	188237.0	1356.0	11623.0	67688.0	21254.0	2797.0	3677.0
в 1946-1956 гг.	315678.0	180054.0	2353.0	37493.0	52485.0	33658.0	5107.0	4528.0
в 1957-1970 гг.	507384.0	315314.0	80599.0	40694.0	35134.0	22163.0	5598.0	7882.0
в 1971-1995 гг.	499389.0	145272.0	287384.0	36786.0	13269.0	7811.0	1749.0	7118.0
после 1995 г.	20562.0	8488.0	7536.0	1021.0	1015.0	874.0	1202.0	426.0
не указавшие период постройки дома	43436.0	15840.0	3837.0	1529.0	2905.0	1214.0	151.0	17960.0
Сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	36807149.0	11210163.0	2836530.0	1678760.0	15163412.0	3524384.0	1956881.0	437019.0
в том числе построенных:								
в 1920 г. и ранее	878916.0	170263.0	346.0	1311.0	563946.0	78162.0	58040.0	6848.0
в 1921-1945 гг.	1653485.0	267791.0	1350.0	7992.0	1062994.0	171389.0	127530.0	14439.0
в 1946-1956 гг.	3681189.0	489155.0	6568.0	50786.0	2271639.0	477590.0	346845.0	38606.0
в 1957-1970 гг.	10986934.0	2886678.0	207638.0	314995.0	5402037.0	1254129.0	799474.0	121983.0
в 1971-1995 гг.	17379213.0	6493358.0	2489546.0	1174502.0	5183292.0	1316536.0	530318.0	191661.0
после 1995 г.	1963224.0	821885.0	112956.0	118346.0	593647.0	206104.0	84606.0	25680.0
не указавшие период постройки дома	264188.0	81033.0	18126.0	10828.0	85857.0	20474.0	10068.0	37802.0
Проживающие в индивидуальных домах	22684951.0	5771177.0	170699.0	614879.0	11249741.0	2893847.0	1724279.0	260329.0
в том числе построенных:								
в 1920 г. и ранее	759276.0	132882.0	139.0	919.0	495087.0	69706.0	54888.0	5655.0
в 1921-1945 гг.	1392100.0	179266.0	580.0	4464.0	927497.0	151779.0	116887.0	11627.0
в 1946-1956 гг.	3037128.0	320979.0	2237.0	23147.0	1929202.0	412647.0	318829.0	30087.0
в 1957-1970 гг.	7839043.0	1521253.0	12937.0	139213.0	4281060.0	1071464.0	728923.0	84193.0
в 1971-1995 гг.	7894253.0	2894977.0	138253.0	353651.0	3018844.0	981185.0	418125.0	89218.0
после 1995 г.	1619838.0	684329.0	15233.0	89729.0	540609.0	190573.0	78221.0	21144.0
не указавшие период постройки дома	143313.0	37491.0	1320.0	3756.0	57442.0	16493.0	8406.0	18405.0
Проживающие в отдельных квартирах	13978120.0	5373548.0	2650293.0	1057879.0	3879604.0	616057.0	227110.0	173629.0
в том числе построенных:								
в 1920 г. и ранее	115631.0	35970.0	196.0	392.0	66872.0	8136.0	2955.0	1110.0
в 1921-1945 гг.	252997.0	85303.0	762.0	3468.0	131583.0	18803.0	10358.0	2720.0
в 1946-1956 гг.	629306.0	162813.0	4270.0	27160.0	336525.0	62881.0	27376.0	8281.0
в 1957-1970 гг.	3105203.0	1344344.0	193388.0	174507.0	1110491.0	177189.0	68299.0	36985.0
в 1971-1995 гг.	9419815.0	3568204.0	2337887.0	817088.0	2154514.0	330338.0	110319.0	101465.0
после 1995 г.	337001.0	134465.0	97161.0	28265.0	51702.0	14838.0	6170.0	4400.0
не указавшие период постройки дома	118167.0	42449.0	16629.0	6999.0	27917.0	3872.0	1633.0	18668.0
Проживающие в коммунальных квартирах	144078.0	65438.0	15538.0	6002.0	34067.0	14480.0	5492.0	3061.0
в том числе построенных:								
в 1920 г. и ранее	4009.0	1411.0	11.0	-	1987.0	320.0	197.0	83.0
в 1921-1945 гг.	8388.0	3222.0	8.0	60.0	3914.0	807.0	285.0	92.0
в 1946-1956 гг.	14755.0	5363.0	61.0	479.0	5912.0	2062.0	640.0	238.0
в 1957-1970 гг.	42688.0	21081.0	1313.0	1275.0	10486.0	5476.0	2252.0	805.0
в 1971-1995 гг.	65145.0	30177.0	13406.0	3763.0	9934.0	5013.0	1874.0	978.0
после 1995 г.	6385.0	3091.0	562.0	352.0	1336.0	693.0	215.0	136.0
не указавшие период постройки дома	2708.0	1093.0	177.0	73.0	498.0	109.0	29.0	729.0
Центральный федеральный округ								
Городское и сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	34315498.0	12736650.0	12053619.0	2335775.0	5140979.0	1246945.0	287941.0	513589.0
в том числе построенных:								
в 1920 г. и ранее	676809.0	299325.0	598.0	1670.0	313873.0	53130.0	2474.0	5739.0
в 1921-1945 гг.	1324777.0	519598.0	4305.0	21609.0	660665.0	95596.0	10711.0	12293.0
в 1946-1956 гг.	2539182.0	966978.0	22070.0	115919.0	1099775.0	254935.0	51074.0	28431.0
в 1957-1970 гг.	10226285.0	4604742.0	2131515.0	1004513.0	1870474.0	389406.0	120664.0	104971.0
в 1971-1995 гг.	17371325.0	5635480.0	8939801.0	1092055.0	1079148.0	374221.0	77249.0	173371.0
после 1995 г.	1746340.0	597725.0	867789.0	80953.0	85047.0	70800.0	24086.0	19940.0
не указавшие период постройки дома	430780.0	112802.0	87541.0	19056.0	31997.0	8857.0	1683.0	168844.0
Проживающие в индивидуальных домах	7054810.0	1771886.0	73278.0	208386.0	3999877.0	751433.0	172712.0	77238.0
в том числе построенных:								
в 1920 г. и ранее	315947.0	92259.0	68.0	660.0	193476.0	25006.0	1786.0	2692.0
в 1921-1945 гг.	634427.0	94949.0	418.0	3340.0	480202.0	45346.0	5269.0	4903.0
в 1946-1956 гг.	1235441.0	156823.0	1462.0	26052.0	884384.0	125170.0	29633.0	11917.0
в 1957-1970 гг.	2607159.0	533428.0	7649.0	80218.0	1606843.0	267189.0	88183.0	23649.0
в 1971-1995 гг.	1880561.0	702634.0	56608.0	78653.0	736713.0	243013.0	44248.0	18692.0
после 1995 г.	330335.0	180414.0	6485.0	18081.0	77367.0	41391.0	2865.0	3732.0
не указавшие период постройки дома	50940.0	11379.0	588.0	1382.0	20892.0	4318.0	728.0	11653.0
Проживающие в отдельных квартирах	26552853.0	10585267.0	11823421.0	2084490.0	1075637.0	456313.0	109723.0	418002.0
в том числе построенных:								
в 1920 г. и ранее	317355.0	175855.0	418.0	899.0	111301.0	25747.0	614.0	2521.0
в 1921-1945 гг.	571383.0	343337.0	3522.0	14917.0	158928.0	40232.0	4549.0	5898.0
в 1946-1956 гг.	1179674.0	731089.0	19950.0	81297.0	197647.0	114825.0	19970.0	14896.0
в 1957-1970 гг.	7409135.0	3937653.0	2088154.0	908794.0	251931.0	113802.0	30735.0	78066.0
в 1971-1995 гг.	15305836.0	4887873.0	8767625.0	998942.0	338345.0	128627.0	32617.0	151807.0
после 1995 г.	1408683.0	414672.0	858676.0	62519.0	7348.0	29069.0	20307.0	16092.0
не указавшие период постройки дома	360787.0	94788.0	85076.0	17122.0	10137.0	4011.0	931.0	148722.0
Проживающие в коммунальных квартирах	707835.0	379497.0	156920.0	42899.0	65465.0	39199.0	5506.0	18349.0
в том числе построенных:								
в 1920 г. и ранее	43507.0	31211.0	112.0	111.0	9096.0	2377.0	74.0	526.0
в 1921-1945 гг.	118967.0	81312.0	365.0	3352.0	21535.0	10018.0	893.0	1492.0
в 1946-1956 гг.	124067.0	79066.0	658.0	8570.0	17744.0	14940.0	1471.0	1618.0
в 1957-1970 гг.	209991.0	133661.0	35712.0	15501.0	11700.0	8415.0	1746.0	3256.0
в 1971-1995 гг.	184928.0	44973.0	115568.0	14460.0	4090.0	2581.0	384.0	2872.0
после 1995 г.	7322.0	2639.0	2628.0	353.0	332.0	340.0	914.0	116.0
не указавшие период постройки дома	19053.0	6635.0	1877.0	552.0	968.0	528.0	24.0	8469.0
Городское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	26989375.0	10381897.0	11063865.0	2020812.0	2150593.0	770766.0	170287.0	431155.0
в том числе построенных:								
в 1920 г. и ранее	462392.0	211840.0	525.0	1255.0	201945.0	41341.0	1256.0	4230.0
в 1921-1945 гг.	925113.0	433373.0	3928.0	19687.0	376961.0	74402.0	7348.0	9414.0
в 1946-1956 гг.	1786249.0	840654.0	19769.0	102522.0	563696.0	202352.0	35988.0	21268.0
в 1957-1970 гг.	7948314.0	3952622.0	2044892.0	942285.0	618786.0	237716.0	68501.0	83512.0
в 1971-1995 гг.	14001786.0	4365346.0	8088081.0	874411.0	339602.0	162465.0	34612.0	137269.0
после 1995 г.	1489322.0	482215.0	826084.0	63642.0	32817.0	46287.0	21459.0	16818.0
не указавшие период постройки дома	376199.0	95847.0	80586.0	17010.0	16786.0	6203.0	1123.0	158644.0
Проживающие в индивидуальных домах	2763898.0	685306.0	18346.0	94131.0	1474826.0	380504.0	74934.0	35851.0
в том числе построенных:								
в 1920 г. и ранее	135078.0	20443.0	52.0	346.0	96436.0	15648.0	638.0	1515.0
в 1921-1945 гг.	282397.0	23533.0	260.0	2177.0	223707.0	27990.0	2280.0	2450.0
в 1946-1956 гг.	611474.0	75111.0	768.0	19722.0	405992.0	86317.0	17024.0	6540.0
в 1957-1970 гг.	945204.0	219173.0	3038.0	46384.0	481906.0	143972.0	41326.0	9405.0
в 1971-1995 гг.	604487.0	244639.0	10924.0	18208.0	227912.0	84270.0	12158.0	6376.0
после 1995 г.	158937.0	97043.0	3094.0	6651.0	29369.0	19828.0	1169.0	1783.0
не указавшие период постройки дома	26321.0	5364.0	210.0	643.0	9504.0	2479.0	339.0	7782.0
Проживающие в отдельных квартирах	23555545.0	9332696.0	10895522.0	1885487.0	619855.0	353916.0	90146.0	377923.0
в том числе построенных:								
в 1920 г. и ранее	285263.0	160700.0	361.0	798.0	97169.0	23476.0	546.0	2213.0
в 1921-1945 гг.	526801.0	329446.0	3305.0	14176.0	133488.0	36707.0	4176.0	5503.0
в 1946-1956 гг.	1055895.0	688554.0	18373.0	74500.0	142002.0	101756.0	17532.0	13178.0
в 1957-1970 гг.	6803371.0	3604710.0	2006899.0	880763.0	128067.0	86278.0	25602.0	71052.0
в 1971-1995 гг.	13228340.0	4082145.0	7967456.0	842689.0	109333.0	76280.0	22152.0	128285.0
после 1995 г.	1324001.0	382976.0	820519.0	56730.0	3268.0	26199.0	19378.0	14931.0
не указавшие период постройки дома	331874.0	84165.0	78609.0	15831.0	6528.0	3220.0	760.0	142761.0
Проживающие в коммунальных квартирах	669932.0	363895.0	149997.0	41194.0	55912.0	36346.0	5207.0	17381.0
в том числе построенных:								
в 1920 г. и ранее	42051.0	30697.0	112.0	111.0	8340.0	2217.0	72.0	502.0
в 1921-1945 гг.	115915.0	80394.0	363.0	3334.0	19766.0	9705.0	892.0	1461.0
в 1946-1956 гг.	118880.0	76989.0	628.0	8300.0	15702.0	14279.0	1432.0	1550.0
в 1957-1970 гг.	199739.0	128739.0	34955.0	15138.0	8813.0	7466.0	1573.0	3055.0
в 1971-1995 гг.	168959.0	38562.0	109701.0	13514.0	2357.0	1915.0	302.0	2608.0
после 1995 г.	6384.0	2196.0	2471.0	261.0	180.0	260.0	912.0	104.0
не указавшие период постройки дома	18004.0	6318.0	1767.0	536.0	754.0	504.0	24.0	8101.0
Сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	7326123.0	2354753.0	989754.0	314963.0	2990386.0	476179.0	117654.0	82434.0
в том числе построенных:								
в 1920 г. и ранее	214417.0	87485.0	73.0	415.0	111928.0	11789.0	1218.0	1509.0
в 1921-1945 гг.	399664.0	86225.0	377.0	1922.0	283704.0	21194.0	3363.0	2879.0
в 1946-1956 гг.	752933.0	126324.0	2301.0	13397.0	536079.0	52583.0	15086.0	7163.0
в 1957-1970 гг.	2277971.0	652120.0	86623.0	62228.0	1251688.0	151690.0	52163.0	21459.0
в 1971-1995 гг.	3369539.0	1270134.0	851720.0	217644.0	739546.0	211756.0	42637.0	36102.0
после 1995 г.	257018.0	115510.0	41705.0	17311.0	52230.0	24513.0	2627.0	3122.0
не указавшие период постройки дома	54581.0	16955.0	6955.0	2046.0	15211.0	2654.0	560.0	10200.0
Проживающие в индивидуальных домах	4290912.0	1086580.0	54932.0	114255.0	2525051.0	370929.0	97778.0	41387.0
в том числе построенных:								
в 1920 г. и ранее	180869.0	71816.0	16.0	314.0	97040.0	9358.0	1148.0	1177.0
в 1921-1945 гг.	352030.0	71416.0	158.0	1163.0	256495.0	17356.0	2989.0	2453.0
в 1946-1956 гг.	623967.0	81712.0	694.0	6330.0	478392.0	38853.0	12609.0	5377.0
в 1957-1970 гг.	1661955.0	314255.0	4611.0	33834.0	1124937.0	123217.0	46857.0	14244.0
в 1971-1995 гг.	1276074.0	457995.0	45684.0	60445.0	508801.0	158743.0	32090.0	12316.0
после 1995 г.	171398.0	83371.0	3391.0	11430.0	47998.0	21563.0	1696.0	1949.0
не указавшие период постройки дома	24619.0	6015.0	378.0	739.0	11388.0	1839.0	389.0	3871.0
Проживающие в отдельных квартирах	2997308.0	1252571.0	927899.0	199003.0	455782.0	102397.0	19577.0	40079.0
в том числе построенных:								
в 1920 г. и ранее	32092.0	15155.0	57.0	101.0	14132.0	2271.0	68.0	308.0
в 1921-1945 гг.	44582.0	13891.0	217.0	741.0	25440.0	3525.0	373.0	395.0
в 1946-1956 гг.	123779.0	42535.0	1577.0	6797.0	55645.0	13069.0	2438.0	1718.0
в 1957-1970 гг.	605764.0	332943.0	81255.0	28031.0	123864.0	27524.0	5133.0	7014.0
в 1971-1995 гг.	2077496.0	805728.0	800169.0	156253.0	229012.0	52347.0	10465.0	23522.0
после 1995 г.	84682.0	31696.0	38157.0	5789.0	4080.0	2870.0	929.0	1161.0
не указавшие период постройки дома	28913.0	10623.0	6467.0	1291.0	3609.0	791.0	171.0	5961.0
Проживающие в коммунальных квартирах	37903.0	15602.0	6923.0	1705.0	9553.0	2853.0	299.0	968.0
в том числе построенных:								
в 1920 г. и ранее	1456.0	514.0	-	-	756.0	160.0	2.0	24.0
в 1921-1945 гг.	3052.0	918.0	2.0	18.0	1769.0	313.0	1.0	31.0
в 1946-1956 гг.	5187.0	2077.0	30.0	270.0	2042.0	661.0	39.0	68.0
в 1957-1970 гг.	10252.0	4922.0	757.0	363.0	2887.0	949.0	173.0	201.0
в 1971-1995 гг.	15969.0	6411.0	5867.0	946.0	1733.0	666.0	82.0	264.0
после 1995 г.	938.0	443.0	157.0	92.0	152.0	80.0	2.0	12.0
не указавшие период постройки дома	1049.0	317.0	110.0	16.0	214.0	24.0	-	368.0
Белгородская область								
Городское и сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	1395305.0	538087.0	393778.0	55436.0	258336.0	112993.0	20982.0	15693.0
в том числе построенных:								
в 1920 г. и ранее	27033.0	8457.0	17.0	68.0	13092.0	4699.0	428.0	272.0
в 1921-1945 гг.	42566.0	9238.0	55.0	362.0	25119.0	6610.0	831.0	351.0
в 1946-1956 гг.	102295.0	26975.0	393.0	5036.0	47523.0	17676.0	3603.0	1089.0
в 1957-1970 гг.	371241.0	150372.0	19975.0	13611.0	126707.0	45500.0	11165.0	3911.0
в 1971-1995 гг.	730626.0	286506.0	331121.0	29438.0	42974.0	31018.0	2946.0	6623.0
после 1995 г.	111610.0	53294.0	40402.0	6565.0	1424.0	6894.0	1916.0	1115.0
не указавшие период постройки дома	9934.0	3245.0	1815.0	356.0	1497.0	596.0	93.0	2332.0
Проживающие в индивидуальных домах	641168.0	230753.0	9137.0	35306.0	247415.0	94617.0	16786.0	7154.0
в том числе построенных:								
в 1920 г. и ранее	19266.0	4202.0	11.0	59.0	11074.0	3380.0	360.0	180.0
в 1921-1945 гг.	36233.0	5973.0	20.0	146.0	23419.0	5621.0	768.0	286.0
в 1946-1956 гг.	82892.0	16788.0	78.0	1645.0	45245.0	15240.0	3048.0	848.0
в 1957-1970 гг.	257051.0	71348.0	517.0	9312.0	122979.0	40411.0	9993.0	2491.0
в 1971-1995 гг.	201202.0	103750.0	7600.0	18495.0	41986.0	24779.0	2347.0	2245.0
после 1995 г.	40593.0	27444.0	881.0	5435.0	1353.0	4743.0	217.0	520.0
не указавшие период постройки дома	3931.0	1248.0	30.0	214.0	1359.0	443.0	53.0	584.0
Проживающие в отдельных квартирах	745783.0	304087.0	382942.0	19629.0	9841.0	17054.0	3990.0	8240.0
в том числе построенных:								
в 1920 г. и ранее	7307.0	4071.0	6.0	9.0	1863.0	1206.0	60.0	92.0
в 1921-1945 гг.	5926.0	3124.0	35.0	216.0	1519.0	916.0	56.0	60.0
в 1946-1956 гг.	18425.0	9899.0	315.0	3292.0	2065.0	2091.0	530.0	233.0
в 1957-1970 гг.	111832.0	78080.0	19344.0	4056.0	3426.0	4563.0	1025.0	1338.0
в 1971-1995 гг.	526028.0	181385.0	322093.0	10835.0	835.0	6009.0	582.0	4289.0
после 1995 г.	70467.0	25558.0	39395.0	1092.0	14.0	2120.0	1697.0	591.0
не указавшие период постройки дома	5798.0	1970.0	1754.0	129.0	119.0	149.0	40.0	1637.0
Проживающие в коммунальных квартирах	8354.0	3247.0	1699.0	501.0	1080.0	1322.0	206.0	299.0
в том числе построенных:								
в 1920 г. и ранее	460.0	184.0	-	-	155.0	113.0	8.0	-
в 1921-1945 гг.	407.0	141.0	-	-	181.0	73.0	7.0	5.0
в 1946-1956 гг.	978.0	288.0	-	99.0	213.0	345.0	25.0	8.0
в 1957-1970 гг.	2358.0	944.0	114.0	243.0	302.0	526.0	147.0	82.0
в 1971-1995 гг.	3396.0	1371.0	1428.0	108.0	153.0	230.0	17.0	89.0
после 1995 г.	550.0	292.0	126.0	38.0	57.0	31.0	2.0	4.0
не указавшие период постройки дома	205.0	27.0	31.0	13.0	19.0	4.0	-	111.0
Городское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	884444.0	355041.0	367001.0	24331.0	59104.0	56934.0	12317.0	9716.0
в том числе построенных:								
в 1920 г. и ранее	16686.0	6290.0	5.0	40.0	6568.0	3425.0	186.0	172.0
в 1921-1945 гг.	18127.0	5865.0	16.0	295.0	7736.0	3697.0	383.0	135.0
в 1946-1956 гг.	47532.0	17374.0	282.0	4096.0	12827.0	10179.0	2261.0	513.0
в 1957-1970 гг.	176061.0	97522.0	18247.0	8580.0	21850.0	21716.0	6178.0	1968.0
в 1971-1995 гг.	533949.0	187383.0	309651.0	8438.0	9427.0	13307.0	1433.0	4310.0
после 1995 г.	85486.0	38388.0	37128.0	2712.0	336.0	4332.0	1809.0	781.0
не указавшие период постройки дома	6603.0	2219.0	1672.0	170.0	360.0	278.0	67.0	1837.0
Проживающие в индивидуальных домах	216710.0	96338.0	1446.0	11895.0	52609.0	43336.0	8541.0	2545.0
в том числе построенных:								
в 1920 г. и ранее	10544.0	2950.0	3.0	36.0	4983.0	2340.0	130.0	102.0
в 1921-1945 гг.	13392.0	3241.0	2.0	96.0	6686.0	2944.0	329.0	94.0
в 1946-1956 гг.	31137.0	8536.0	36.0	992.0	11400.0	8093.0	1761.0	319.0
в 1957-1970 гг.	77693.0	28566.0	129.0	4996.0	19920.0	18066.0	5246.0	770.0
в 1971-1995 гг.	63912.0	38824.0	991.0	3932.0	9026.0	9456.0	932.0	751.0
после 1995 г.	18674.0	13711.0	283.0	1755.0	329.0	2248.0	112.0	236.0
не указавшие период постройки дома	1358.0	510.0	2.0	88.0	265.0	189.0	31.0	273.0
Проживающие в отдельных квартирах	660864.0	256080.0	363919.0	12049.0	5867.0	12458.0	3576.0	6915.0
в том числе построенных:								
в 1920 г. и ранее	5753.0	3181.0	2.0	4.0	1474.0	972.0	50.0	70.0
в 1921-1945 гг.	4431.0	2511.0	14.0	199.0	940.0	684.0	47.0	36.0
в 1946-1956 гг.	15526.0	8579.0	246.0	3011.0	1283.0	1746.0	475.0	186.0
в 1957-1970 гг.	96509.0	68177.0	18010.0	3376.0	1773.0	3237.0	789.0	1147.0
в 1971-1995 гг.	467204.0	147518.0	307289.0	4451.0	309.0	3671.0	484.0	3482.0
после 1995 г.	66378.0	24428.0	36719.0	933.0	3.0	2059.0	1695.0	541.0
не указавшие период постройки дома	5063.0	1686.0	1639.0	75.0	85.0	89.0	36.0	1453.0
Проживающие в коммунальных квартирах	6870.0	2623.0	1636.0	387.0	628.0	1140.0	200.0	256.0
в том числе построенных:								
