1.8. НАСЕЛЕНИЕ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ									
									
	Городское и сельское население в возрасте			Городское население в возрасте			Сельское население в возрасте		
1989.0	120117.0	316224.0	53727.0	84680.0	221707.0	32906.0	35437.0	94517.0	20821.0
2002.0	87828.0	312251.0	75641.0	64440.0	238712.0	52334.0	23388.0	73539.0	23307.0
Женщины									
1989.0	116061.0	286496.0	171568.0	82098.0	212388.0	97219.0	33963.0	74108.0	74349.0
2002.0	83703.0	310101.0	171785.0	61600.0	245459.0	116657.0	22103.0	64642.0	55128.0
Костромская область									
Мужчины и женщины									
1989.0	181808.0	440022.0	182459.0	124442.0	314182.0	113086.0	57366.0	125840.0	69373.0
2002.0	126460.0	435763.0	173978.0	82588.0	303675.0	109486.0	43872.0	132088.0	64492.0
Мужчины									
1989.0	92223.0	233783.0	42921.0	63094.0	162060.0	27492.0	29129.0	71723.0	15429.0
2002.0	64879.0	218870.0	53127.0	42197.0	149482.0	32700.0	22682.0	69388.0	20427.0
Женщины									
1989.0	89585.0	206239.0	139538.0	61348.0	152122.0	85594.0	28237.0	54117.0	53944.0
2002.0	61581.0	216893.0	120851.0	40391.0	154193.0	76786.0	21190.0	62700.0	44065.0
Курская область									
Мужчины и женщины									
1989.0	287339.0	722294.0	325706.0	186742.0	451131.0	131291.0	100597.0	271163.0	194415.0
2002.0	211747.0	716511.0	306539.0	128750.0	480231.0	147298.0	82997.0	236280.0	159241.0
Мужчины									
1989.0	145823.0	382123.0	81342.0	94579.0	225995.0	34156.0	51244.0	156128.0	47186.0
2002.0	108572.0	359750.0	95858.0	65895.0	232547.0	45252.0	42677.0	127203.0	50606.0
Женщины									
1989.0	141516.0	340171.0	244364.0	92163.0	225136.0	97135.0	49353.0	115035.0	147229.0
2002.0	103175.0	356761.0	210681.0	62855.0	247684.0	102046.0	40320.0	109077.0	108635.0
Липецкая область									
Мужчины и женщины									
1989.0	265219.0	690307.0	274648.0	172293.0	460486.0	132339.0	92926.0	229821.0	142309.0
2002.0	204917.0	717019.0	291318.0	128152.0	489069.0	162570.0	76765.0	227950.0	128748.0
Мужчины									
1989.0	135035.0	364233.0	65907.0	87906.0	235240.0	34396.0	47129.0	128993.0	31511.0
2002.0	105688.0	359636.0	90863.0	66062.0	239933.0	51318.0	39626.0	119703.0	39545.0
Женщины									
1989.0	130184.0	326074.0	208741.0	84387.0	225246.0	97943.0	45797.0	100828.0	110798.0
2002.0	99229.0	357383.0	200455.0	62090.0	249136.0	111252.0	37139.0	108247.0	89203.0
Московская область									
Мужчины и женщины									
1989.0	1391321.0	3840664.0	1373094.0	1102280.0	3101692.0	1058852.0	289041.0	738972.0	314242.0
2002.0	1012934.0	4047416.0	1549798.0	797765.0	3228126.0	1215197.0	215169.0	819290.0	334601.0
Мужчины									
1989.0	707079.0	1945610.0	352381.0	559839.0	1557425.0	276905.0	147240.0	388185.0	75476.0
2002.0	518584.0	2046772.0	470928.0	408527.0	1619377.0	369375.0	110057.0	427395.0	101553.0
Женщины									
1989.0	684242.0	1895054.0	1020713.0	542441.0	1544267.0	781947.0	141801.0	350787.0	238766.0
2002.0	494350.0	2000644.0	1078870.0	389238.0	1608749.0	845822.0	105112.0	391895.0	233048.0
Орловская область									
Мужчины и женщины									
1989.0	187792.0	496583.0	204681.0	123003.0	330178.0	97085.0	64789.0	166405.0	107596.0
2002.0	145024.0	508716.0	206358.0	87786.0	344621.0	113974.0	57238.0	164095.0	92384.0
Мужчины									
1989.0	95458.0	261882.0	49665.0	62445.0	166289.0	24073.0	33013.0	95593.0	25592.0
2002.0	74273.0	254514.0	63503.0	44849.0	168016.0	34502.0	29424.0	86498.0	29001.0
Женщины									
1989.0	92334.0	234701.0	155016.0	60558.0	163889.0	73012.0	31776.0	70812.0	82004.0
2002.0	70751.0	254202.0	142855.0	42937.0	176605.0	79472.0	27814.0	77597.0	63383.0
Рязанская область									
Мужчины и женщины									
1989.0	274205.0	748816.0	324680.0	192061.0	524914.0	159036.0	82144.0	223902.0	165644.0
2002.0	193871.0	711120.0	322749.0	132916.0	524152.0	188970.0	60955.0	186968.0	133779.0
Мужчины									
1989.0	139633.0	395792.0	79798.0	97930.0	266653.0	41199.0	41703.0	129139.0	38599.0
2002.0	99214.0	362099.0	99536.0	67800.0	260638.0	58247.0	31414.0	101461.0	41289.0
Женщины									
1989.0	134572.0	353024.0	244882.0	94131.0	258261.0	117837.0	40441.0	94763.0	127045.0
2002.0	94657.0	349021.0	223213.0	65116.0	263514.0	130723.0	29541.0	85507.0	92490.0
Смоленская область									
Мужчины и женщины									
1989.0	256998.0	631453.0	265107.0	182292.0	455704.0	143278.0	74706.0	175749.0	121829.0
2002.0	169764.0	628117.0	246022.0	119359.0	465820.0	152870.0	50405.0	162297.0	93152.0
Мужчины									
1989.0	130406.0	334621.0	63518.0	92565.0	233460.0	35550.0	37841.0	101161.0	27968.0
2002.0	86700.0	314671.0	73300.0	60868.0	227123.0	44812.0	25832.0	87548.0	28488.0
Женщины									
1989.0	126592.0	296832.0	201589.0	89727.0	222244.0	107728.0	36865.0	74588.0	93861.0
2002.0	83064.0	313446.0	172722.0	58491.0	238697.0	108058.0	24573.0	74749.0	64664.0
Тамбовская область									
Мужчины и женщины									
1989.0	278656.0	715270.0	328413.0	162517.0	424959.0	150792.0	116139.0	290311.0	177621.0
2002.0	197385.0	679812.0	300746.0	110133.0	411989.0	151577.0	87252.0	267823.0	149169.0
Мужчины									
1989.0	141019.0	379592.0	81810.0	82050.0	215051.0	39315.0	58969.0	164541.0	42495.0
2002.0	101248.0	344855.0	92870.0	56392.0	201218.0	45763.0	44856.0	143637.0	47107.0
Женщины									
1989.0	137637.0	335678.0	246603.0	80467.0	209908.0	111477.0	57170.0	125770.0	135126.0
2002.0	96137.0	334957.0	207876.0	53741.0	210771.0	105814.0	42396.0	124186.0	102062.0
Тверская область									
Мужчины и женщины									
1989.0	348202.0	897623.0	417252.0	252421.0	674960.0	255348.0	95781.0	222663.0	161904.0
2002.0	238425.0	850050.0	382280.0	173040.0	647852.0	254288.0	65385.0	202198.0	127992.0
Мужчины									
1989.0	177223.0	472801.0	99178.0	128483.0	345333.0	63336.0	48740.0	127468.0	35842.0
2002.0	122608.0	425905.0	113483.0	88715.0	316385.0	73870.0	33893.0	109520.0	39613.0
Женщины									
1989.0	170979.0	424822.0	318074.0	123938.0	329627.0	192012.0	47041.0	95195.0	126062.0
2002.0	115817.0	424145.0	268797.0	84325.0	331467.0	180418.0	31492.0	92678.0	88379.0
Тульская область									
Мужчины и женщины									
1989.0	368831.0	1028109.0	464453.0	299632.0	855467.0	351458.0	69199.0	172642.0	112995.0
2002.0	251297.0	974891.0	449019.0	199968.0	810713.0	355612.0	51329.0	164178.0	93407.0
Мужчины									
1989.0	187459.0	537362.0	120092.0	152263.0	439942.0	92586.0	35196.0	97420.0	27506.0
2002.0	129002.0	490951.0	134824.0	102474.0	404229.0	106212.0	26528.0	86722.0	28612.0
Женщины									
1989.0	181372.0	490747.0	344361.0	147369.0	415525.0	258872.0	34003.0	75222.0	85489.0
2002.0	122295.0	483940.0	314195.0	97494.0	406484.0	249400.0	24801.0	77456.0	64795.0
Ярославская область									
Мужчины и женщины									
1989.0	313487.0	825599.0	329846.0	255656.0	692093.0	248205.0	57831.0	133506.0	81641.0
2002.0	214036.0	818525.0	332810.0	170508.0	679212.0	255220.0	43528.0	139313.0	77590.0
Мужчины									
1989.0	159330.0	430268.0	78708.0	129879.0	354479.0	60765.0	29451.0	75789.0	17943.0
2002.0	110052.0	409409.0	97494.0	87719.0	335590.0	73658.0	22333.0	73819.0	23836.0
Женщины									
1989.0	154157.0	395331.0	251138.0	125777.0	337614.0	187440.0	28380.0	57717.0	63698.0
2002.0	103984.0	409116.0	235316.0	82789.0	343622.0	181562.0	21195.0	65494.0	53754.0
г. Москва									
Мужчины и женщины									
1989.0	1763651.0	5184610.0	1923998.0	1763510.0	5184173.0	1923580.0	141.0	437.0	418.0
2002.0	1365429.0	6757781.0	2235071.0	1365429.0	6757781.0	2235071.0	-	-	-
Мужчины									
1989.0	900872.0	2571773.0	507949.0	900797.0	2571539.0	507841.0	75.0	234.0	108.0
2002.0	701696.0	3545089.0	690886.0	701696.0	3545089.0	690886.0	-	-	-
Женщины									
1989.0	862779.0	2612837.0	1416049.0	862713.0	2612634.0	1415739.0	66.0	203.0	310.0
2002.0	663733.0	3212692.0	1544185.0	663733.0	3212692.0	1544185.0	-	-	-
Северо-Западный федеральный округ									
Мужчины и женщины									
1989.0	3542017.0	8928742.0	2747788.0	2869734.0	7493689.0	2125323.0	672283.0	1435053.0	622465.0
2002.0	2275023.0	8727989.0	2948111.0	1825922.0	7306643.0	2347407.0	449101.0	1421346.0	600704.0
Мужчины									
1989.0	1803346.0	4672839.0	655729.0	1461935.0	3853760.0	514164.0	341411.0	819079.0	141565.0
2002.0	1167903.0	4405495.0	870571.0	937140.0	3637015.0	683721.0	230763.0	768480.0	186850.0
Женщины									
1989.0	1738671.0	4255903.0	2092059.0	1407799.0	3639929.0	1611159.0	330872.0	615974.0	480900.0
2002.0	1107120.0	4322494.0	2077540.0	888782.0	3669628.0	1663686.0	218338.0	652866.0	413854.0
Республика Карелия									
Мужчины и женщины									
1989.0	202436.0	461294.0	126420.0	165050.0	381840.0	96606.0	37386.0	79454.0	29814.0
2002.0	129123.0	450051.0	136978.0	95862.0	345873.0	95551.0	33261.0	104178.0	41427.0
Мужчины									
1989.0	102607.0	244204.0	29217.0	83774.0	199372.0	22160.0	18833.0	44832.0	7057.0
2002.0	66176.0	225342.0	39923.0	48988.0	169910.0	27265.0	17188.0	55432.0	12658.0
Женщины									
1989.0	99829.0	217090.0	97203.0	81276.0	182468.0	74446.0	18553.0	34622.0	22757.0
2002.0	62947.0	224709.0	97055.0	46874.0	175963.0	68286.0	16073.0	48746.0	28769.0
Республика Коми									
Мужчины и женщины									
1989.0	350549.0	776383.0	123915.0	261967.0	601097.0	81359.0	88582.0	175286.0	42556.0
2002.0	201195.0	673017.0	143733.0	148107.0	517418.0	100385.0	53088.0	155599.0	43348.0
Мужчины									
1989.0	178003.0	426362.0	28237.0	133125.0	322900.0	19079.0	44878.0	103462.0	9158.0
2002.0	103109.0	342575.0	42248.0	76094.0	257410.0	28759.0	27015.0	85165.0	13489.0
Женщины									
1989.0	172546.0	350021.0	95678.0	128842.0	278197.0	62280.0	43704.0	71824.0	33398.0
2002.0	98086.0	330442.0	101485.0	72013.0	260008.0	71626.0	26073.0	70434.0	29859.0
Архангельская область									
Мужчины и женщины									
1989.0	417901.0	910492.0	241286.0	303540.0	689271.0	158748.0	114361.0	221221.0	82538.0
2002.0	250249.0	838106.0	248030.0	181761.0	643992.0	173705.0	68488.0	194114.0	74325.0
Мужчины									
1989.0	211895.0	496787.0	55324.0	154065.0	367368.0	35918.0	57830.0	129419.0	19406.0
2002.0	127970.0	428357.0	73608.0	92872.0	321230.0	49971.0	35098.0	107127.0	23637.0
Женщины									
1989.0	206006.0	413705.0	185962.0	149475.0	321903.0	122830.0	56531.0	91802.0	63132.0
2002.0	122279.0	409749.0	174422.0	88889.0	322762.0	123734.0	33390.0	86987.0	50688.0
Ненецкий автономный округ									
Мужчины и женщины									
1989.0	16670.0	33111.0	4131.0	10154.0	22177.0	2005.0	6516.0	10934.0	2126.0
2002.0	10557.0	26181.0	4788.0	6212.0	17247.0	2763.0	4345.0	8934.0	2025.0
Мужчины									
1989.0	8581.0	18522.0	787.0	5235.0	12460.0	347.0	3346.0	6062.0	440.0
2002.0	5466.0	13706.0	1364.0	3204.0	8737.0	750.0	2262.0	4969.0	614.0
Женщины									
1989.0	8089.0	14589.0	3344.0	4919.0	9717.0	1658.0	3170.0	4872.0	1686.0
2002.0	5091.0	12475.0	3424.0	3008.0	8510.0	2013.0	2083.0	3965.0	1411.0
Вологодская область									
Мужчины и женщины									
1989.0	329293.0	744193.0	275534.0	217276.0	509106.0	149117.0	112017.0	235087.0	126417.0
2002.0	228491.0	768272.0	270488.0	154759.0	556433.0	163155.0	73732.0	211839.0	107333.0
Мужчины									
1989.0	167266.0	401154.0	62204.0	110492.0	261708.0	34911.0	56774.0	139446.0	27293.0
2002.0	117238.0	387225.0	82982.0	79497.0	272513.0	49001.0	37741.0	114712.0	33981.0
Женщины									
1989.0	162027.0	343039.0	213330.0	106784.0	247398.0	114206.0	55243.0	95641.0	99124.0
2002.0	111253.0	381047.0	187506.0	75262.0	283920.0	114154.0	35991.0	97127.0	73352.0
Калининградская область									
Мужчины и женщины									
1989.0	203785.0	520855.0	146355.0	153664.0	418126.0	114900.0	50121.0	102729.0	31455.0
2002.0	164387.0	604069.0	186304.0	119397.0	471805.0	149804.0	44990.0	132264.0	36500.0
Мужчины									
1989.0	103283.0	277490.0	37486.0	77756.0	220564.0	29881.0	25527.0	56926.0	7605.0
2002.0	84258.0	314247.0	57276.0	60978.0	243647.0	46080.0	23280.0	70600.0	11196.0
Женщины									
1989.0	100502.0	243365.0	108869.0	75908.0	197562.0	85019.0	24594.0	45803.0	23850.0
2002.0	80129.0	289822.0	129028.0	58419.0	228158.0	103724.0	21710.0	61664.0	25304.0
Ленинградская область									
Мужчины и женщины									
1989.0	387583.0	931332.0	330562.0	252844.0	625365.0	208947.0	134739.0	305967.0	121615.0
2002.0	264198.0	1023224.0	380715.0	175818.0	688026.0	244214.0	88380.0	335198.0	136501.0
Мужчины									
1989.0	197568.0	482283.0	81009.0	129030.0	319000.0	52517.0	68538.0	163283.0	28492.0
2002.0	135172.0	519992.0	114428.0	89769.0	345190.0	72829.0	45403.0	174802.0	41599.0
Женщины									
1989.0	190015.0	449049.0	249553.0	123814.0	306365.0	156430.0	66201.0	142684.0	93123.0
2002.0	129026.0	503232.0	266287.0	86049.0	342836.0	171385.0	42977.0	160396.0	94902.0
Мурманская область									
Мужчины и женщины									
1989.0	318262.0	743629.0	100375.0	287669.0	684648.0	96333.0	30593.0	58981.0	4042.0
2002.0	160900.0	609117.0	120731.0	147686.0	558950.0	114988.0	13214.0	50167.0	5743.0
Мужчины									
1989.0	162962.0	395369.0	20611.0	147240.0	363177.0	19776.0	15722.0	32192.0	835.0
2002.0	82513.0	320248.0	31390.0	75713.0	289342.0	29887.0	6800.0	30906.0	1503.0
Женщины									
1989.0	155300.0	348260.0	79764.0	140429.0	321471.0	76557.0	14871.0	26789.0	3207.0
2002.0	78387.0	288869.0	89341.0	71973.0	269608.0	85101.0	6414.0	19261.0	4240.0
Новгородская область									
Мужчины и женщины									
1989.0	167826.0	412409.0	171271.0	120122.0	302935.0	98274.0	47704.0	109474.0	72997.0
2002.0	116100.0	406489.0	171191.0	81533.0	298349.0	104506.0	34567.0	108140.0	66685.0
Мужчины									
1989.0	85685.0	218374.0	39018.0	61306.0	155737.0	23276.0	24379.0	62637.0	15742.0
2002.0	59606.0	202234.0	50517.0	41693.0	144614.0	29946.0	17913.0	57620.0	20571.0
Женщины									
1989.0	82141.0	194035.0	132253.0	58816.0	147198.0	74998.0	23325.0	46837.0	57255.0
2002.0	56494.0	204255.0	120674.0	39840.0	153735.0	74560.0	16654.0	50520.0	46114.0
Псковская область									
Мужчины и женщины									
1989.0	178150.0	457555.0	209334.0	121370.0	310701.0	98303.0	56780.0	146854.0	111031.0
2002.0	123286.0	443476.0	193730.0	83905.0	313629.0	104888.0	39381.0	129847.0	88842.0
Мужчины									
1989.0	90588.0	244729.0	50688.0	61658.0	157847.0	24711.0	28930.0	86882.0	25977.0
2002.0	63184.0	226036.0	58828.0	42859.0	153920.0	30612.0	20325.0	72116.0	28216.0
Женщины									
1989.0	87562.0	212826.0	158646.0	59712.0	152854.0	73592.0	27850.0	59972.0	85054.0
2002.0	60102.0	217440.0	134902.0	41046.0	159709.0	74276.0	19056.0	57731.0	60626.0
г. Санкт-Петербург									
Мужчины и женщины									
1989.0	986232.0	2970600.0	1022736.0	986232.0	2970600.0	1022736.0	-	-	-
2002.0	637094.0	2912168.0	1096211.0	637094.0	2912168.0	1096211.0	-	-	-
Мужчины									
1989.0	503489.0	1486087.0	251935.0	503489.0	1486087.0	251935.0	-	-	-
2002.0	328677.0	1439239.0	319371.0	328677.0	1439239.0	319371.0	-	-	-
Женщины									
1989.0	482743.0	1484513.0	770801.0	482743.0	1484513.0	770801.0	-	-	-
2002.0	308417.0	1472929.0	776840.0	308417.0	1472929.0	776840.0	-	-	-
Южный федеральный округ									
Мужчины и женщины									
1989.0	5353535.0	11345670.0	3832004.0	2969494.0	7019374.0	2272153.0	2384041.0	4326296.0	1559851.0
2002.0	4844382.0	13599054.0	4453769.0	2451043.0	8108263.0	2598765.0	2393339.0	5490791.0	1855004.0
Мужчины									
1989.0	2721045.0	5782031.0	1072130.0	1510732.0	3526261.0	642786.0	1210313.0	2255770.0	429344.0
2002.0	2461615.0	6789246.0	1487040.0	1244919.0	3993963.0	847307.0	1216696.0	2795283.0	639733.0
Женщины									
1989.0	2632490.0	5563639.0	2759874.0	1458762.0	3493113.0	1629367.0	1173728.0	2070526.0	1130507.0
2002.0	2382767.0	6809808.0	2966729.0	1206124.0	4114300.0	1751458.0	1176643.0	2695508.0	1215271.0
Республика Адыгея									
Мужчины и женщины									
1989.0	107273.0	233952.0	90814.0	54576.0	126906.0	43706.0	52697.0	107046.0	47108.0
2002.0	86789.0	259542.0	100580.0	41609.0	143094.0	50014.0	45180.0	116448.0	50566.0
Мужчины									
1989.0	54638.0	118070.0	25683.0	27857.0	61655.0	12728.0	26781.0	56415.0	12955.0
2002.0	44432.0	129857.0	33631.0	21232.0	69492.0	16253.0	23200.0	60365.0	17378.0
Женщины									
1989.0	52635.0	115882.0	65131.0	26719.0	65251.0	30978.0	25916.0	50631.0	34153.0
2002.0	42357.0	129685.0	66949.0	20377.0	73602.0	33761.0	21980.0	56083.0	33188.0
Республика Дагестан									
Мужчины и женщины									
1989.0	653564.0	931534.0	217085.0	258932.0	434923.0	85473.0	394632.0	496611.0	131612.0
2002.0	792339.0	1501260.0	282857.0	299788.0	695471.0	107287.0	492551.0	805789.0	175570.0
Мужчины									
1989.0	329492.0	459526.0	61161.0	131541.0	216506.0	24264.0	197951.0	243020.0	36897.0
2002.0	401364.0	736663.0	104383.0	150948.0	339703.0	39227.0	250416.0	396960.0	65156.0
Женщины									
1989.0	324072.0	472008.0	155924.0	127391.0	218417.0	61209.0	196681.0	253591.0	94715.0
2002.0	390975.0	764597.0	178474.0	148840.0	355768.0	68060.0	242135.0	408829.0	110414.0
Республика Ингушетия									
Мужчины и женщины									
1989.0	429805.0	671147.0	169381.0	150682.0	288576.0	86020.0	279123.0	382571.0	83361.0
2002.0	171316.0	260523.0	35145.0	71197.0	112288.0	14763.0	100119.0	148235.0	20382.0
Мужчины									
1989.0	217705.0	329589.0	49509.0	76854.0	140940.0	24126.0	140851.0	188649.0	25383.0
2002.0	82865.0	122296.0	12876.0	35015.0	53363.0	5409.0	47850.0	68933.0	7467.0
Женщины									
1989.0	212100.0	341558.0	119872.0	73828.0	147636.0	61894.0	138272.0	193922.0	57978.0
2002.0	88451.0	138227.0	22269.0	36182.0	58925.0	9354.0	52269.0	79302.0	12915.0
Кабардино-Балкарская Республика									
Мужчины и женщины									
1989.0	223051.0	421087.0	109385.0	128926.0	263768.0	67851.0	94125.0	157319.0	41534.0
2002.0	214154.0	546923.0	140404.0	104621.0	325596.0	80119.0	109533.0	221327.0	60285.0
Мужчины									
1989.0	113491.0	209954.0	29927.0	65662.0	129662.0	18977.0	47829.0	80292.0	10950.0
2002.0	107905.0	267290.0	47517.0	52785.0	154659.0	25927.0	55120.0	112631.0	21590.0
Женщины									
1989.0	109560.0	211133.0	79458.0	63264.0	134106.0	48874.0	46296.0	77027.0	30584.0
2002.0	106249.0	279633.0	92887.0	51836.0	170937.0	54192.0	54413.0	108696.0	38695.0
Республика Калмыкия									
Мужчины и женщины									
1989.0	103798.0	183717.0	35063.0	44151.0	86174.0	16851.0	59647.0	97543.0	18212.0
2002.0	72462.0	177146.0	42773.0	29613.0	80950.0	18961.0	42849.0	96196.0	23812.0
Мужчины									
1989.0	52867.0	96006.0	9147.0	22434.0	42532.0	4318.0	30433.0	53474.0	4829.0
2002.0	36934.0	87795.0	15356.0	15000.0	37873.0	6502.0	21934.0	49922.0	8854.0
Женщины									
1989.0	50931.0	87711.0	25916.0	21717.0	43642.0	12533.0	29214.0	44069.0	13383.0
2002.0	35528.0	89351.0	27417.0	14613.0	43077.0	12459.0	20915.0	46274.0	14958.0
Карачаево-Черкесская Республика									
Мужчины и женщины									
1989.0	120085.0	228677.0	66208.0	57830.0	113826.0	29999.0	62255.0	114851.0	36209.0
2002.0	99991.0	258659.0	80671.0	41535.0	119031.0	32826.0	58456.0	139628.0	47845.0
Мужчины									
1989.0	61116.0	115079.0	18598.0	29579.0	55989.0	8375.0	31537.0	59090.0	10223.0
2002.0	50670.0	126460.0	28274.0	20964.0	55649.0	10953.0	29706.0	70811.0	17321.0
Женщины									
1989.0	58969.0	113598.0	47610.0	28251.0	57837.0	21624.0	30718.0	55761.0	25986.0
2002.0	49321.0	132199.0	52397.0	20571.0	63382.0	21873.0	28750.0	68817.0	30524.0
Республика Северная Осетия - Алания									
Мужчины и женщины									
1989.0	169014.0	350518.0	112896.0	109781.0	246662.0	77261.0	59233.0	103856.0	35635.0
2002.0	151720.0	412749.0	144625.0	92889.0	277061.0	93758.0	58831.0	135688.0	50867.0
Мужчины									
1989.0	85779.0	175868.0	31131.0	55740.0	122350.0	21221.0	30039.0	53518.0	9910.0
2002.0	77725.0	208800.0	48954.0	47800.0	139028.0	30657.0	29925.0	69772.0	18297.0
Женщины									
1989.0	83235.0	174650.0	81765.0	54041.0	124312.0	56040.0	29194.0	50338.0	25725.0
2002.0	73995.0	203949.0	95671.0	45089.0	138033.0	63101.0	28906.0	65916.0	32570.0
Чеченская Республика									
Мужчины и женщины									
1989.0	429805.0	671147.0	169381.0	150682.0	288576.0	86020.0	279123.0	382571.0	83361.0
2002.0	386356.0	626132.0	90529.0	132877.0	213118.0	26998.0	253479.0	413014.0	63531.0
Мужчины									
