6. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ 									
(на 1000 человек в возрасте 15-64 лет, занятых соответствующим видом экономической деятельности)									
									
									
	Имеющие образование							Не имеющие начального общего образова-ния	Не указавшие уровень образова-ния
сельское хозяйство, охота и лесное хозяйство	165.0	21.0	327.0	203.0	181.0	88.0	13.0	1.0	1.0
рыболовство, рыбоводство	179.0	23.0	461.0	156.0	141.0	35.0	4.0	0.0	1.0
добыча полезных ископаемых	184.0	27.0	399.0	181.0	167.0	37.0	4.0	0.0	1.0
обрабатывающие производства	195.0	26.0	376.0	168.0	179.0	49.0	6.0	0.0	1.0
производство и распределение электроэнергии, газа и воды	225.0	26.0	401.0	152.0	152.0	38.0	5.0	0.0	1.0
строительство	185.0	29.0	366.0	185.0	168.0	58.0	7.0	0.0	2.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	210.0	42.0	397.0	128.0	174.0	41.0	5.0	1.0	2.0
гостиницы и рестораны	118.0	36.0	426.0	182.0	181.0	51.0	5.0	0.0	1.0
транспорт и связь	171.0	31.0	402.0	161.0	183.0	46.0	5.0	0.0	1.0
финансовая деятельность	562.0	55.0	266.0	41.0	67.0	7.0	1.0	0.0	1.0
операции с недвижимым имуществом, аренда и предоставление услуг	370.0	44.0	302.0	106.0	136.0	36.0	5.0	0.0	1.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	433.0	46.0	319.0	75.0	111.0	14.0	1.0	0.0	1.0
образование	525.0	38.0	276.0	62.0	75.0	20.0	3.0	0.0	1.0
здравоохранение и предоставление социальных услуг	291.0	24.0	475.0	90.0	88.0	27.0	4.0	0.0	1.0
предоставление прочих коммунальных, социальных и персональных услуг	241.0	41.0	357.0	134.0	167.0	51.0	8.0	0.0	1.0
предоставление услуг по ведению домашнего хозяйства	224.0	49.0	372.0	119.0	177.0	48.0	8.0	1.0	2.0
деятельность экстерриториальных организаций	439.0	56.0	278.0	58.0	134.0	25.0	2.0	5.0	3.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	326.0	48.0	325.0	89.0	149.0	36.0	6.0	2.0	19.0
Мужчины, занятые в экономике 	245.0	34.0	340.0	156.0	165.0	51.0	7.0	0.0	2.0
в том числе по видам экономической деятельности:									
сельское хозяйство, охота и лесное хозяйство	149.0	20.0	296.0	231.0	188.0	99.0	16.0	1.0	0.0
рыболовство, рыбоводство	170.0	21.0	471.0	161.0	137.0	35.0	4.0	0.0	1.0
добыча полезных ископаемых	165.0	26.0	393.0	197.0	173.0	41.0	5.0	0.0	0.0
обрабатывающие производства	198.0	27.0	356.0	180.0	175.0	56.0	7.0	0.0	1.0
производство и распределение электроэнергии, газа и воды	214.0	26.0	387.0	170.0	153.0	43.0	6.0	0.0	1.0
строительство	165.0	29.0	361.0	192.0	179.0	65.0	8.0	0.0	1.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	242.0	48.0	328.0	131.0	184.0	57.0	7.0	1.0	2.0
гостиницы и рестораны	171.0	55.0	379.0	153.0	177.0	57.0	6.0	0.0	2.0
транспорт и связь	152.0	29.0	394.0	177.0	190.0	51.0	6.0	0.0	1.0
финансовая деятельность	612.0	51.0	192.0	51.0	80.0	11.0	1.0	0.0	2.0
операции с недвижимым имуществом, аренда и предоставление услуг	341.0	44.0	289.0	127.0	147.0	45.0	6.0	0.0	1.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	428.0	41.0	303.0	89.0	120.0	16.0	2.0	0.0	1.0
образование	610.0	39.0	182.0	63.0	76.0	25.0	4.0	0.0	1.0
здравоохранение и предоставление социальных услуг	498.0	32.0	237.0	92.0	100.0	35.0	5.0	0.0	1.0
предоставление прочих коммунальных, социальных и персональных услуг	225.0	43.0	328.0	155.0	172.0	64.0	10.0	1.0	2.0
предоставление услуг по ведению домашнего хозяйства	226.0	56.0	356.0	133.0	168.0	47.0	10.0	1.0	3.0
деятельность экстерриториальных организаций	423.0	60.0	265.0	70.0	144.0	27.0	3.0	6.0	2.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	315.0	47.0	310.0	100.0	159.0	41.0	7.0	2.0	19.0
Женщины, занятые в экономике 	281.0	35.0	400.0	112.0	138.0	30.0	3.0	0.0	1.0
в том числе по видам экономической деятельности:									
сельское хозяйство, охота и лесное хозяйство	195.0	25.0	389.0	146.0	169.0	65.0	9.0	1.0	1.0
рыболовство, рыбоводство	239.0	31.0	397.0	128.0	162.0	37.0	5.0	-	1.0
добыча полезных ископаемых	243.0	30.0	415.0	130.0	151.0	26.0	4.0	0.0	1.0
обрабатывающие производства	192.0	24.0	402.0	153.0	184.0	40.0	4.0	0.0	1.0
производство и распределение электроэнергии, газа и воды	248.0	25.0	429.0	116.0	151.0	27.0	3.0	0.0	1.0
строительство	257.0	31.0	385.0	154.0	132.0	35.0	5.0	0.0	1.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	190.0	39.0	441.0	127.0	167.0	32.0	3.0	0.0	1.0
гостиницы и рестораны	102.0	31.0	440.0	191.0	182.0	48.0	5.0	0.0	1.0
транспорт и связь	215.0	35.0	422.0	122.0	168.0	34.0	3.0	0.0	1.0
финансовая деятельность	541.0	57.0	297.0	37.0	61.0	6.0	0.0	0.0	1.0
операции с недвижимым имуществом, аренда и предоставление услуг	406.0	44.0	317.0	81.0	120.0	27.0	4.0	0.0	1.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	440.0	53.0	342.0	54.0	98.0	11.0	1.0	0.0	1.0
образование	507.0	38.0	296.0	62.0	75.0	19.0	2.0	0.0	1.0
здравоохранение и предоставление социальных услуг	249.0	23.0	524.0	89.0	86.0	25.0	3.0	0.0	1.0
предоставление прочих коммунальных, социальных и персональных услуг	252.0	40.0	379.0	118.0	163.0	41.0	6.0	0.0	1.0
предоставление услуг по ведению домашнего хозяйства	224.0	46.0	381.0	112.0	180.0	47.0	7.0	1.0	2.0
деятельность экстерриториальных организаций	456.0	52.0	294.0	44.0	123.0	21.0	2.0	5.0	3.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	340.0	49.0	344.0	76.0	139.0	28.0	4.0	2.0	18.0
Сельское население, занятое в экономике	127.0	16.0	320.0	222.0	196.0	101.0	17.0	1.0	0.0
в том числе по видам экономической деятельности:									
сельское хозяйство, охота и лесное хозяйство	55.0	7.0	233.0	278.0	227.0	165.0	33.0	2.0	0.0
рыболовство, рыбоводство	53.0	13.0	281.0	219.0	237.0	160.0	36.0	1.0	0.0
добыча полезных ископаемых	83.0	15.0	339.0	273.0	209.0	71.0	10.0	0.0	0.0
обрабатывающие производства	84.0	14.0	312.0	250.0	223.0	103.0	14.0	0.0	0.0
производство и распределение электроэнергии, газа и воды	105.0	15.0	363.0	241.0	194.0	72.0	10.0	0.0	0.0
строительство	78.0	14.0	291.0	282.0	212.0	106.0	16.0	1.0	0.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	96.0	20.0	401.0	209.0	198.0	67.0	8.0	1.0	0.0
гостиницы и рестораны	36.0	11.0	350.0	284.0	215.0	94.0	10.0	0.0	0.0
транспорт и связь	63.0	14.0	345.0	255.0	233.0	81.0	9.0	0.0	0.0
финансовая деятельность	310.0	41.0	431.0	93.0	107.0	16.0	2.0	0.0	0.0
операции с недвижимым имуществом, аренда и предоставление услуг	150.0	20.0	325.0	216.0	190.0	85.0	13.0	0.0	1.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	279.0	32.0	365.0	129.0	159.0	32.0	4.0	0.0	0.0
образование	379.0	30.0	319.0	110.0	113.0	44.0	5.0	0.0	0.0
здравоохранение и предоставление социальных услуг	121.0	11.0	517.0	148.0	135.0	60.0	8.0	0.0	0.0
предоставление прочих коммунальных, социальных и персональных услуг	106.0	20.0	389.0	201.0	189.0	82.0	12.0	0.0	1.0
предоставление услуг по ведению домашнего хозяйства	74.0	22.0	279.0	211.0	201.0	172.0	40.0	1.0	-
деятельность экстерриториальных организаций	226.0	29.0	343.0	177.0	180.0	39.0	6.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	151.0	25.0	338.0	180.0	195.0	90.0	16.0	1.0	4.0
Мужчины, занятые в экономике 	105.0	14.0	254.0	269.0	214.0	120.0	23.0	1.0	0.0
в том числе по видам экономической деятельности:									
сельское хозяйство, охота и лесное хозяйство	52.0	7.0	199.0	310.0	227.0	166.0	37.0	2.0	0.0
рыболовство, рыбоводство	48.0	12.0	263.0	233.0	241.0	164.0	38.0	1.0	0.0
добыча полезных ископаемых	78.0	14.0	325.0	289.0	211.0	73.0	10.0	0.0	0.0
обрабатывающие производства	87.0	15.0	280.0	270.0	219.0	112.0	17.0	0.0	0.0
производство и распределение электроэнергии, газа и воды	104.0	14.0	343.0	259.0	194.0	75.0	11.0	0.0	0.0
строительство	72.0	14.0	279.0	289.0	219.0	111.0	16.0	0.0	0.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	129.0	22.0	293.0	223.0	222.0	95.0	15.0	1.0	0.0
гостиницы и рестораны	98.0	20.0	296.0	249.0	211.0	112.0	14.0	0.0	0.0
транспорт и связь	62.0	13.0	315.0	277.0	239.0	84.0	10.0	0.0	0.0
финансовая деятельность	392.0	35.0	274.0	118.0	158.0	19.0	4.0	-	0.0
операции с недвижимым имуществом, аренда и предоставление услуг	128.0	17.0	286.0	251.0	203.0	99.0	16.0	0.0	0.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	294.0	29.0	306.0	152.0	178.0	36.0	5.0	0.0	0.0
образование	391.0	27.0	238.0	151.0	130.0	54.0	9.0	0.0	0.0
здравоохранение и предоставление социальных услуг	251.0	14.0	292.0	200.0	157.0	73.0	12.0	0.0	1.0
предоставление прочих коммунальных, социальных и персональных услуг	97.0	18.0	301.0	255.0	206.0	104.0	19.0	0.0	0.0
предоставление услуг по ведению домашнего хозяйства	61.0	13.0	224.0	257.0	187.0	192.0	63.0	3.0	-
деятельность экстерриториальных организаций	218.0	18.0	255.0	230.0	216.0	54.0	9.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	145.0	22.0	296.0	210.0	201.0	101.0	19.0	1.0	5.0
Женщины, занятые в экономике 	152.0	19.0	397.0	168.0	174.0	80.0	10.0	0.0	0.0
в том числе по видам экономической деятельности:									
сельское хозяйство, охота и лесное хозяйство	61.0	8.0	307.0	208.0	230.0	162.0	23.0	1.0	0.0
рыболовство, рыбоводство	76.0	19.0	363.0	154.0	217.0	142.0	27.0	1.0	1.0
добыча полезных ископаемых	110.0	16.0	411.0	198.0	196.0	60.0	8.0	0.0	1.0
обрабатывающие производства	79.0	14.0	361.0	220.0	228.0	89.0	9.0	0.0	0.0
производство и распределение электроэнергии, газа и воды	107.0	19.0	432.0	182.0	193.0	59.0	7.0	1.0	0.0
строительство	125.0	18.0	377.0	225.0	169.0	75.0	9.0	1.0	1.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	79.0	19.0	456.0	202.0	186.0	52.0	5.0	1.0	0.0
гостиницы и рестораны	27.0	10.0	358.0	289.0	216.0	91.0	9.0	0.0	0.0
транспорт и связь	67.0	15.0	416.0	205.0	219.0	71.0	7.0	0.0	0.0
финансовая деятельность	290.0	42.0	470.0	87.0	95.0	15.0	1.0	0.0	0.0
операции с недвижимым имуществом, аренда и предоставление услуг	194.0	26.0	400.0	148.0	165.0	58.0	8.0	0.0	1.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	256.0	39.0	454.0	95.0	128.0	25.0	3.0	0.0	0.0
образование	376.0	31.0	339.0	100.0	108.0	42.0	4.0	0.0	0.0
здравоохранение и предоставление социальных услуг	95.0	11.0	562.0	138.0	129.0	58.0	7.0	0.0	0.0
предоставление прочих коммунальных, социальных и персональных услуг	113.0	21.0	450.0	164.0	178.0	66.0	8.0	0.0	0.0
предоставление услуг по ведению домашнего хозяйства	86.0	30.0	333.0	167.0	216.0	150.0	18.0	-	-
деятельность экстерриториальных организаций	233.0	39.0	423.0	129.0	148.0	24.0	4.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	160.0	27.0	397.0	140.0	187.0	74.0	11.0	1.0	3.0
