6. ЗАНЯТОЕ В ЭКОНОМИКЕ НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ТЕРРИТОРИИ НАХОЖДЕНИЯ РАБОТЫ И ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Всего		в том числе по положению в занятии					
на территории другого субъекта	54548.0	52468.0	1994.0	397.0	1277.0	235.0	85.0	86.0
на территории других стран	1213.0	1144.0	69.0	14.0	55.0	-	-	-
Центральный федеральный округ								
Городское и сельское население, занятое в экономике	16396856.0	15579994.0	775982.0	226316.0	442556.0	73074.0	34036.0	40880.0
в том числе:								
на территории своего субъекта	15175025.0	14422072.0	719681.0	210578.0	412463.0	66573.0	30067.0	33272.0
на территории другого субъекта	582656.0	556086.0	25398.0	8210.0	13648.0	2445.0	1095.0	1172.0
на территории других стран	12020.0	11036.0	936.0	330.0	469.0	95.0	42.0	48.0
Мужчины, занятые в экономике	8305469.0	7826546.0	457402.0	151120.0	244274.0	42671.0	19337.0	21521.0
в том числе:								
на территории своего субъекта	7587082.0	7149155.0	420513.0	139579.0	225282.0	38619.0	17033.0	17414.0
на территории другого субъекта	375619.0	356838.0	18075.0	6284.0	9463.0	1593.0	735.0	706.0
на территории других стран	7070.0	6355.0	694.0	276.0	338.0	51.0	29.0	21.0
Женщины, занятые в экономике	8091387.0	7753448.0	318580.0	75196.0	198282.0	30403.0	14699.0	19359.0
в том числе:								
на территории своего субъекта	7587943.0	7272917.0	299168.0	70999.0	187181.0	27954.0	13034.0	15858.0
на территории другого субъекта	207037.0	199248.0	7323.0	1926.0	4185.0	852.0	360.0	466.0
на территории других стран	4950.0	4681.0	242.0	54.0	131.0	44.0	13.0	27.0
Городское население, занятое в экономике	13741461.0	13008664.0	695071.0	207156.0	393470.0	64109.0	30336.0	37726.0
в том числе:								
на территории своего субъекта	12710940.0	12034787.0	645366.0	192866.0	367203.0	58446.0	26851.0	30787.0
на территории другого субъекта	486761.0	463347.0	22407.0	7393.0	11937.0	2111.0	966.0	1007.0
на территории других стран	10643.0	9704.0	891.0	303.0	451.0	95.0	42.0	48.0
Сельское население, занятое в экономике	2655395.0	2571330.0	80911.0	19160.0	49086.0	8965.0	3700.0	3154.0
в том числе:								
на территории своего субъекта	2464085.0	2387285.0	74315.0	17712.0	45260.0	8127.0	3216.0	2485.0
на территории другого субъекта	95895.0	92739.0	2991.0	817.0	1711.0	334.0	129.0	165.0
на территории других стран	1377.0	1332.0	45.0	27.0	18.0	-	-	-
Белгородская область								
Городское и сельское население, занятое в экономике	596817.0	563432.0	32961.0	8839.0	21334.0	1981.0	807.0	424.0
в том числе:								
на территории своего субъекта	569123.0	537305.0	31433.0	8534.0	20283.0	1870.0	746.0	385.0
на территории другого субъекта	5301.0	5006.0	287.0	75.0	185.0	21.0	6.0	8.0
на территории других стран	358.0	325.0	33.0	-	25.0	8.0	-	-
Мужчины, занятые в экономике	302627.0	283485.0	18929.0	5678.0	11809.0	1008.0	434.0	213.0
в том числе:								
на территории своего субъекта	286993.0	268799.0	18005.0	5465.0	11205.0	948.0	387.0	189.0
на территории другого субъекта	4633.0	4390.0	235.0	63.0	150.0	16.0	6.0	8.0
на территории других стран	220.0	192.0	28.0	-	20.0	8.0	-	-
Женщины, занятые в экономике	294190.0	279947.0	14032.0	3161.0	9525.0	973.0	373.0	211.0
в том числе:								
на территории своего субъекта	282130.0	268506.0	13428.0	3069.0	9078.0	922.0	359.0	196.0
на территории другого субъекта	668.0	616.0	52.0	12.0	35.0	5.0	-	-
на территории других стран	138.0	133.0	5.0	-	5.0	-	-	-
Городское население, занятое в экономике	426261.0	397464.0	28497.0	7628.0	18418.0	1837.0	614.0	300.0
в том числе:								
на территории своего субъекта	407774.0	380222.0	27277.0	7388.0	17584.0	1743.0	562.0	275.0
на территории другого субъекта	3644.0	3432.0	209.0	52.0	143.0	8.0	6.0	3.0
на территории других стран	279.0	246.0	33.0	-	25.0	8.0	-	-
Сельское население, занятое в экономике	170556.0	165968.0	4464.0	1211.0	2916.0	144.0	193.0	124.0
в том числе:								
на территории своего субъекта	161349.0	157083.0	4156.0	1146.0	2699.0	127.0	184.0	110.0
на территории другого субъекта	1657.0	1574.0	78.0	23.0	42.0	13.0	-	5.0
на территории других стран	79.0	79.0	-	-	-	-	-	-
Брянская область								
Городское и сельское население, занятое в экономике	525835.0	496194.0	29472.0	6715.0	20454.0	1708.0	595.0	169.0
в том числе:								
на территории своего субъекта	504160.0	475991.0	28023.0	6423.0	19484.0	1562.0	554.0	146.0
на территории другого субъекта	10153.0	9448.0	700.0	154.0	481.0	56.0	9.0	5.0
на территории других стран	406.0	364.0	42.0	4.0	38.0	-	-	-
Мужчины, занятые в экономике	256754.0	240690.0	15983.0	4165.0	10520.0	960.0	338.0	81.0
в том числе:								
на территории своего субъекта	243099.0	228031.0	15003.0	3945.0	9866.0	879.0	313.0	65.0
на территории другого субъекта	8275.0	7688.0	582.0	129.0	401.0	43.0	9.0	5.0
на территории других стран	266.0	233.0	33.0	4.0	29.0	-	-	-
Женщины, занятые в экономике	269081.0	255504.0	13489.0	2550.0	9934.0	748.0	257.0	88.0
в том числе:								
на территории своего субъекта	261061.0	247960.0	13020.0	2478.0	9618.0	683.0	241.0	81.0
на территории другого субъекта	1878.0	1760.0	118.0	25.0	80.0	13.0	-	-
на территории других стран	140.0	131.0	9.0	-	9.0	-	-	-
Городское население, занятое в экономике	394480.0	368563.0	25803.0	5970.0	18041.0	1283.0	509.0	114.0
в том числе:								
на территории своего субъекта	379598.0	354781.0	24715.0	5758.0	17286.0	1185.0	486.0	102.0
на территории другого субъекта	6537.0	6064.0	473.0	99.0	359.0	15.0	-	-
на территории других стран	352.0	319.0	33.0	4.0	29.0	-	-	-
Сельское население, занятое в экономике	131355.0	127631.0	3669.0	745.0	2413.0	425.0	86.0	55.0
в том числе:								
на территории своего субъекта	124562.0	121210.0	3308.0	665.0	2198.0	377.0	68.0	44.0
на территории другого субъекта	3616.0	3384.0	227.0	55.0	122.0	41.0	9.0	5.0
на территории других стран	54.0	45.0	9.0	-	9.0	-	-	-
Владимирская область								
Городское и сельское население, занятое в экономике	657408.0	622520.0	34285.0	9741.0	21381.0	1905.0	1258.0	603.0
в том числе:								
на территории своего субъекта	607989.0	575974.0	31537.0	9160.0	19594.0	1659.0	1124.0	478.0
на территории другого субъекта	25178.0	23844.0	1314.0	280.0	870.0	118.0	46.0	20.0
на территории других стран	160.0	156.0	4.0	-	4.0	-	-	-
Мужчины, занятые в экономике	317957.0	298340.0	19336.0	5976.0	11587.0	1084.0	689.0	281.0
в том числе:								
на территории своего субъекта	288688.0	270884.0	17593.0	5566.0	10485.0	946.0	596.0	211.0
на территории другого субъекта	17276.0	16372.0	899.0	230.0	579.0	59.0	31.0	5.0
на территории других стран	72.0	68.0	4.0	-	4.0	-	-	-
Женщины, занятые в экономике	339451.0	324180.0	14949.0	3765.0	9794.0	821.0	569.0	322.0
в том числе:								
на территории своего субъекта	319301.0	305090.0	13944.0	3594.0	9109.0	713.0	528.0	267.0
на территории другого субъекта	7902.0	7472.0	415.0	50.0	291.0	59.0	15.0	15.0
на территории других стран	88.0	88.0	-	-	-	-	-	-
Городское население, занятое в экономике	546202.0	514740.0	30988.0	8845.0	19431.0	1630.0	1082.0	474.0
в том числе:								
на территории своего субъекта	505302.0	476325.0	28588.0	8354.0	17826.0	1442.0	966.0	389.0
на территории другого субъекта	20931.0	19768.0	1152.0	231.0	793.0	92.0	36.0	11.0
на территории других стран	144.0	140.0	4.0	-	4.0	-	-	-
Сельское население, занятое в экономике	111206.0	107780.0	3297.0	896.0	1950.0	275.0	176.0	129.0
в том числе:								
на территории своего субъекта	102687.0	99649.0	2949.0	806.0	1768.0	217.0	158.0	89.0
на территории другого субъекта	4247.0	4076.0	162.0	49.0	77.0	26.0	10.0	9.0
на территории других стран	16.0	16.0	-	-	-	-	-	-
Воронежская область								
Городское и сельское население, занятое в экономике	895008.0	845442.0	48113.0	11221.0	30120.0	4776.0	1996.0	1453.0
в том числе:								
на территории своего субъекта	855173.0	808076.0	45822.0	10804.0	28674.0	4514.0	1830.0	1275.0
на территории другого субъекта	4649.0	4287.0	354.0	65.0	238.0	42.0	9.0	8.0
на территории других стран	415.0	384.0	31.0	8.0	18.0	5.0	-	-
Мужчины, занятые в экономике	453381.0	425324.0	27376.0	7387.0	16352.0	2564.0	1073.0	681.0
в том числе:								
на территории своего субъекта	432543.0	405908.0	26052.0	7086.0	15524.0	2443.0	999.0	583.0
на территории другого субъекта	3764.0	3507.0	253.0	61.0	162.0	26.0	4.0	4.0
на территории других стран	289.0	263.0	26.0	8.0	18.0	-	-	-
Женщины, занятые в экономике	441627.0	420118.0	20737.0	3834.0	13768.0	2212.0	923.0	772.0
в том числе:								
на территории своего субъекта	422630.0	402168.0	19770.0	3718.0	13150.0	2071.0	831.0	692.0
на территории другого субъекта	885.0	780.0	101.0	4.0	76.0	16.0	5.0	4.0
на территории других стран	126.0	121.0	5.0	-	-	5.0	-	-
Городское население, занятое в экономике	611396.0	571919.0	38341.0	9055.0	24167.0	3552.0	1567.0	1136.0
в том числе:								
на территории своего субъекта	583214.0	545685.0	36543.0	8711.0	23014.0	3368.0	1450.0	986.0
на территории другого субъекта	2804.0	2525.0	275.0	53.0	185.0	33.0	4.0	4.0
на территории других стран	345.0	318.0	27.0	4.0	18.0	5.0	-	-
Сельское население, занятое в экономике	283612.0	273523.0	9772.0	2166.0	5953.0	1224.0	429.0	317.0
в том числе:								
на территории своего субъекта	271959.0	262391.0	9279.0	2093.0	5660.0	1146.0	380.0	289.0
на территории другого субъекта	1845.0	1762.0	79.0	12.0	53.0	9.0	5.0	4.0
на территории других стран	70.0	66.0	4.0	4.0	-	-	-	-
Ивановская область								
Городское и сельское население, занятое в экономике	477036.0	450687.0	25734.0	7686.0	16152.0	1216.0	680.0	615.0
в том числе:								
на территории своего субъекта	449714.0	425450.0	23705.0	7323.0	14748.0	1050.0	584.0	559.0
на территории другого субъекта	11898.0	10982.0	913.0	164.0	668.0	39.0	42.0	3.0
на территории других стран	178.0	151.0	27.0	8.0	19.0	-	-	-
Мужчины, занятые в экономике	226255.0	210857.0	15092.0	4831.0	9183.0	701.0	377.0	306.0
в том числе:								
на территории своего субъекта	209117.0	194985.0	13847.0	4587.0	8369.0	566.0	325.0	285.0
на территории другого субъекта	9452.0	8866.0	583.0	124.0	402.0	29.0	28.0	3.0
на территории других стран	89.0	80.0	9.0	-	9.0	-	-	-
Женщины, занятые в экономике	250781.0	239830.0	10642.0	2855.0	6969.0	515.0	303.0	309.0
в том числе:								
на территории своего субъекта	240597.0	230465.0	9858.0	2736.0	6379.0	484.0	259.0	274.0
на территории другого субъекта	2446.0	2116.0	330.0	40.0	266.0	10.0	14.0	-
на территории других стран	89.0	71.0	18.0	8.0	10.0	-	-	-
Городское население, занятое в экономике	404360.0	380746.0	23066.0	7102.0	14397.0	997.0	570.0	548.0
в том числе:								
на территории своего субъекта	381332.0	359562.0	21271.0	6778.0	13137.0	861.0	495.0	499.0
на территории другого субъекта	9985.0	9176.0	806.0	148.0	599.0	21.0	38.0	3.0
на территории других стран	166.0	139.0	27.0	8.0	19.0	-	-	-
Сельское население, занятое в экономике	72676.0	69941.0	2668.0	584.0	1755.0	219.0	110.0	67.0
в том числе:								
на территории своего субъекта	68382.0	65888.0	2434.0	545.0	1611.0	189.0	89.0	60.0
на территории другого субъекта	1913.0	1806.0	107.0	16.0	69.0	18.0	4.0	-
на территории других стран	12.0	12.0	-	-	-	-	-	-
Калужская область								
Городское и сельское население, занятое в экономике	461716.0	439136.0	22248.0	6836.0	13761.0	1238.0	413.0	332.0
в том числе:								
на территории своего субъекта	427352.0	406483.0	20591.0	6458.0	12723.0	1050.0	360.0	278.0
на территории другого субъекта	22703.0	21706.0	976.0	228.0	630.0	99.0	19.0	21.0
на территории других стран	194.0	180.0	14.0	4.0	10.0	-	-	-
Мужчины, занятые в экономике	228388.0	215210.0	13015.0	4387.0	7699.0	711.0	218.0	163.0
в том числе:								
на территории своего субъекта	205701.0	193735.0	11826.0	4084.0	6989.0	579.0	174.0	140.0
на территории другого субъекта	16728.0	15935.0	782.0	197.0	489.0	77.0	19.0	11.0
на территории других стран	104.0	95.0	9.0	4.0	5.0	-	-	-
Женщины, занятые в экономике	233328.0	223926.0	9233.0	2449.0	6062.0	527.0	195.0	169.0
в том числе:								
на территории своего субъекта	221651.0	212748.0	8765.0	2374.0	5734.0	471.0	186.0	138.0
на территории другого субъекта	5975.0	5771.0	194.0	31.0	141.0	22.0	-	10.0
на территории других стран	90.0	85.0	5.0	-	5.0	-	-	-
Городское население, занятое в экономике	368089.0	348058.0	19748.0	6015.0	12298.0	1084.0	351.0	283.0
в том числе:								
на территории своего субъекта	340906.0	322308.0	18363.0	5689.0	11438.0	926.0	310.0	235.0
на территории другого субъекта	17678.0	16847.0	816.0	200.0	508.0	89.0	19.0	15.0
на территории других стран	173.0	159.0	14.0	4.0	10.0	-	-	-
Сельское население, занятое в экономике	93627.0	91078.0	2500.0	821.0	1463.0	154.0	62.0	49.0
в том числе:								
на территории своего субъекта	86446.0	84175.0	2228.0	769.0	1285.0	124.0	50.0	43.0
на территории другого субъекта	5025.0	4859.0	160.0	28.0	122.0	10.0	-	6.0
на территории других стран	21.0	21.0	-	-	-	-	-	-
Костромская область								
Городское и сельское население, занятое в экономике	312787.0	297047.0	15493.0	4917.0	9441.0	882.0	253.0	247.0
в том числе:								
на территории своего субъекта	301951.0	286839.0	14895.0	4782.0	9025.0	841.0	247.0	217.0
на территории другого субъекта	4675.0	4478.0	189.0	27.0	144.0	18.0	-	8.0
на территории других стран	100.0	96.0	4.0	4.0	-	-	-	-
Мужчины, занятые в экономике	153780.0	144971.0	8694.0	3074.0	4984.0	490.0	146.0	115.0
в том числе:								
на территории своего субъекта	146929.0	138521.0	8301.0	2987.0	4706.0	462.0	146.0	107.0
на территории другого субъекта	3766.0	3606.0	156.0	19.0	123.0	14.0	-	4.0
на территории других стран	44.0	40.0	4.0	4.0	-	-	-	-
Женщины, занятые в экономике	159007.0	152076.0	6799.0	1843.0	4457.0	392.0	107.0	132.0
в том числе:								
на территории своего субъекта	155022.0	148318.0	6594.0	1795.0	4319.0	379.0	101.0	110.0
на территории другого субъекта	909.0	872.0	33.0	8.0	21.0	4.0	-	4.0
на территории других стран	56.0	56.0	-	-	-	-	-	-
Городское население, занятое в экономике	222316.0	209431.0	12705.0	4036.0	7896.0	599.0	174.0	180.0
в том числе:								
на территории своего субъекта	213703.0	201336.0	12203.0	3917.0	7556.0	562.0	168.0	164.0
на территории другого субъекта	3765.0	3614.0	143.0	23.0	106.0	14.0	-	8.0
на территории других стран	92.0	88.0	4.0	4.0	-	-	-	-
Сельское население, занятое в экономике	90471.0	87616.0	2788.0	881.0	1545.0	283.0	79.0	67.0
в том числе:								
на территории своего субъекта	88248.0	85503.0	2692.0	865.0	1469.0	279.0	79.0	53.0
на территории другого субъекта	910.0	864.0	46.0	4.0	38.0	4.0	-	-
на территории других стран	8.0	8.0	-	-	-	-	-	-
Курская область								
Городское и сельское население, занятое в экономике	477108.0	450805.0	25715.0	5655.0	17937.0	1534.0	589.0	588.0
в том числе:								
на территории своего субъекта	458059.0	432874.0	24683.0	5478.0	17180.0	1505.0	520.0	502.0
на территории другого субъекта	4778.0	4495.0	274.0	59.0	196.0	-	19.0	9.0
на территории других стран	142.0	125.0	17.0	-	17.0	-	-	-
Мужчины, занятые в экономике	237270.0	222591.0	14416.0	3545.0	9643.0	921.0	307.0	263.0
в том числе:								
на территории своего субъекта	226681.0	212648.0	13812.0	3435.0	9165.0	921.0	291.0	221.0
на территории другого субъекта	3758.0	3548.0	201.0	45.0	145.0	-	11.0	9.0
на территории других стран	94.0	77.0	17.0	-	17.0	-	-	-
Женщины, занятые в экономике	239838.0	228214.0	11299.0	2110.0	8294.0	613.0	282.0	325.0
в том числе:								
на территории своего субъекта	231378.0	220226.0	10871.0	2043.0	8015.0	584.0	229.0	281.0
на территории другого субъекта	1020.0	947.0	73.0	14.0	51.0	-	8.0	-
на территории других стран	48.0	48.0	-	-	-	-	-	-
Городское население, занятое в экономике	331100.0	310093.0	20632.0	4761.0	14546.0	811.0	514.0	375.0
в том числе:								
на территории своего субъекта	317068.0	297018.0	19748.0	4595.0	13926.0	782.0	445.0	302.0
на территории другого субъекта	3371.0	3126.0	236.0	52.0	165.0	-	19.0	9.0
на территории других стран	118.0	101.0	17.0	-	17.0	-	-	-
Сельское население, занятое в экономике	146008.0	140712.0	5083.0	894.0	3391.0	723.0	75.0	213.0
в том числе:								
на территории своего субъекта	140991.0	135856.0	4935.0	883.0	3254.0	723.0	75.0	200.0
на территории другого субъекта	1407.0	1369.0	38.0	7.0	31.0	-	-	-
на территории других стран	24.0	24.0	-	-	-	-	-	-
Липецкая область								
Городское и сельское население, занятое в экономике	489163.0	465777.0	22679.0	5347.0	15189.0	1469.0	674.0	707.0
в том числе:								
на территории своего субъекта	468325.0	446330.0	21370.0	5099.0	14342.0	1332.0	597.0	625.0
на территории другого субъекта	3220.0	2917.0	296.0	63.0	210.0	17.0	6.0	7.0
на территории других стран	71.0	62.0	9.0	-	9.0	-	-	-
Мужчины, занятые в экономике	243887.0	230833.0	12682.0	3355.0	8146.0	805.0	376.0	372.0
в том числе:								
на территории своего субъекта	233077.0	220838.0	11906.0	3197.0	7636.0	732.0	341.0	333.0
на территории другого субъекта	2443.0	2188.0	251.0	55.0	179.0	11.0	6.0	4.0
на территории других стран	42.0	37.0	5.0	-	5.0	-	-	-
Женщины, занятые в экономике	245276.0	234944.0	9997.0	1992.0	7043.0	664.0	298.0	335.0
в том числе:								
на территории своего субъекта	235248.0	225492.0	9464.0	1902.0	6706.0	600.0	256.0	292.0
на территории другого субъекта	777.0	729.0	45.0	8.0	31.0	6.0	-	3.0
на территории других стран	29.0	25.0	4.0	-	4.0	-	-	-
Городское население, занятое в экономике	345077.0	325699.0	18830.0	4503.0	12507.0	1276.0	544.0	548.0
в том числе:								
на территории своего субъекта	329716.0	311538.0	17700.0	4274.0	11804.0	1146.0	476.0	478.0
на территории другого субъекта	1965.0	1717.0	244.0	59.0	162.0	17.0	6.0	4.0
на территории других стран	63.0	54.0	9.0	-	9.0	-	-	-
Сельское население, занятое в экономике	144086.0	140078.0	3849.0	844.0	2682.0	193.0	130.0	159.0
в том числе:								
на территории своего субъекта	138609.0	134792.0	3670.0	825.0	2538.0	186.0	121.0	147.0
на территории другого субъекта	1255.0	1200.0	52.0	4.0	48.0	-	-	3.0
на территории других стран	8.0	8.0	-	-	-	-	-	-
Московская область								
Городское и сельское население, занятое в экономике	3061673.0	2947270.0	107395.0	33282.0	57398.0	10293.0	6422.0	7008.0
в том числе:								
на территории своего субъекта	2523027.0	2428861.0	89340.0	27591.0	48609.0	8165.0	4975.0	4826.0
на территории другого субъекта	355566.0	343392.0	11426.0	3970.0	5599.0	1194.0	663.0	748.0
на территории других стран	3690.0	3502.0	166.0	67.0	63.0	32.0	4.0	22.0
Мужчины, занятые в экономике	1533516.0	1467133.0	62871.0	21987.0	31663.0	5664.0	3557.0	3512.0
в том числе:								
на территории своего субъекта	1228189.0	1174551.0	51296.0	17868.0	26349.0	4344.0	2735.0	2342.0
на территории другого субъекта	206863.0	198897.0	7539.0	2939.0	3433.0	743.0	424.0	427.0
на территории других стран	2152.0	2039.0	106.0	51.0	45.0	10.0	-	7.0
Женщины, занятые в экономике	1528157.0	1480137.0	44524.0	11295.0	25735.0	4629.0	2865.0	3496.0
в том числе:								
на территории своего субъекта	1294838.0	1254310.0	38044.0	9723.0	22260.0	3821.0	2240.0	2484.0
на территории другого субъекта	148703.0	144495.0	3887.0	1031.0	2166.0	451.0	239.0	321.0
на территории других стран	1538.0	1463.0	60.0	16.0	18.0	22.0	4.0	15.0
Городское население, занятое в экономике	2450886.0	2353670.0	91328.0	28696.0	49072.0	8405.0	5155.0	5888.0
в том числе:								
на территории своего субъекта	2002526.0	1922794.0	75682.0	23741.0	41337.0	6660.0	3944.0	4050.0
на территории другого субъекта	299760.0	289032.0	10063.0	3453.0	4988.0	1042.0	580.0	665.0
на территории других стран	2725.0	2565.0	138.0	48.0	54.0	32.0	4.0	22.0
Сельское население, занятое в экономике	610787.0	593600.0	16067.0	4586.0	8326.0	1888.0	1267.0	1120.0
в том числе:								
на территории своего субъекта	520501.0	506067.0	13658.0	3850.0	7272.0	1505.0	1031.0	776.0
на территории другого субъекта	55806.0	54360.0	1363.0	517.0	611.0	152.0	83.0	83.0
на территории других стран	965.0	937.0	28.0	19.0	9.0	-	-	-
Орловская область								
Городское и сельское население, занятое в экономике	343744.0	328558.0	14786.0	4288.0	9101.0	970.0	427.0	400.0
в том числе:								
на территории своего субъекта	331891.0	317424.0	14120.0	4081.0	8715.0	921.0	403.0	347.0
на территории другого субъекта	2958.0	2686.0	272.0	83.0	172.0	10.0	7.0	-
на территории других стран	69.0	53.0	16.0	7.0	4.0	5.0	-	-
Мужчины, занятые в экономике	168811.0	159960.0	8668.0	2731.0	5194.0	514.0	229.0	183.0
в том числе:								
на территории своего субъекта	161970.0	153619.0	8188.0	2587.0	4912.0	471.0	218.0	163.0
на территории другого субъекта	2449.0	2230.0	219.0	63.0	146.0	10.0	-	-
на территории других стран	49.0	33.0	16.0	7.0	4.0	5.0	-	-
Женщины, занятые в экономике	174933.0	168598.0	6118.0	1557.0	3907.0	456.0	198.0	217.0
в том числе:								
на территории своего субъекта	169921.0	163805.0	5932.0	1494.0	3803.0	450.0	185.0	184.0
на территории другого субъекта	509.0	456.0	53.0	20.0	26.0	-	7.0	-
на территории других стран	20.0	20.0	-	-	-	-	-	-
Городское население, занятое в экономике	240635.0	228073.0	12314.0	3623.0	7672.0	732.0	287.0	248.0
в том числе:								
на территории своего субъекта	233051.0	221070.0	11759.0	3439.0	7356.0	695.0	269.0	222.0
на территории другого субъекта	2003.0	1762.0	241.0	75.0	149.0	10.0	7.0	-
на территории других стран	69.0	53.0	16.0	7.0	4.0	5.0	-	-
Сельское население, занятое в экономике	103109.0	100485.0	2472.0	665.0	1429.0	238.0	140.0	152.0
в том числе:								
на территории своего субъекта	98840.0	96354.0	2361.0	642.0	1359.0	226.0	134.0	125.0
на территории другого субъекта	955.0	924.0	31.0	8.0	23.0	-	-	-
на территории других стран	-	-	-	-	-	-	-	-
Рязанская область								
Городское и сельское население, занятое в экономике	486985.0	460833.0	25510.0	7185.0	16137.0	1552.0	636.0	642.0
в том числе:								
на территории своего субъекта	469449.0	444476.0	24489.0	6994.0	15404.0	1467.0	624.0	484.0
на территории другого субъекта	7640.0	7204.0	419.0	70.0	311.0	38.0	-	17.0
на территории других стран	97.0	92.0	5.0	-	5.0	-	-	-
Мужчины, занятые в экономике	241732.0	226940.0	14485.0	4620.0	8694.0	834.0	337.0	307.0
в том числе:								
на территории своего субъекта	230636.0	216531.0	13889.0	4499.0	8278.0	781.0	331.0	216.0
на территории другого субъекта	5989.0	5677.0	295.0	48.0	221.0	26.0	-	17.0
на территории других стран	77.0	72.0	5.0	-	5.0	-	-	-
Женщины, занятые в экономике	245253.0	233893.0	11025.0	2565.0	7443.0	718.0	299.0	335.0
в том числе:								
на территории своего субъекта	238813.0	227945.0	10600.0	2495.0	7126.0	686.0	293.0	268.0
на территории другого субъекта	1651.0	1527.0	124.0	22.0	90.0	12.0	-	-
на территории других стран	20.0	20.0	-	-	-	-	-	-
