10. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ПОЛОЖЕНИЮ В ЗАНЯТИИ 								
(на 1000 человек в возрасте 15-64 лет соответствующего положения в занятии)								
								
								
	Всего	По положению в занятии						
сельское хозяйство, охота и лесное хозяйство	17.0	17.0	23.0	22.0	23.0	23.0	23.0	11.0
рыболовство, рыбоводство	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0
добыча полезных ископаемых	24.0	25.0	4.0	4.0	4.0	6.0	8.0	11.0
обрабатывающие производства	216.0	222.0	101.0	111.0	92.0	120.0	120.0	133.0
производство и распределение электроэнергии, газа и воды	25.0	26.0	6.0	4.0	7.0	12.0	11.0	11.0
строительство	77.0	77.0	74.0	86.0	64.0	96.0	84.0	83.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	147.0	127.0	496.0	549.0	503.0	277.0	363.0	145.0
гостиницы и рестораны	23.0	23.0	20.0	30.0	15.0	23.0	22.0	26.0
транспорт и связь	102.0	102.0	96.0	60.0	113.0	104.0	105.0	96.0
финансовая деятельность	16.0	17.0	8.0	8.0	7.0	13.0	13.0	20.0
операции с недвижимым имуществом, аренда и предоставление услуг	54.0	55.0	46.0	46.0	43.0	63.0	48.0	63.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	67.0	71.0						0.0
образование	82.0	86.0	25.0	8.0	29.0	59.0	44.0	69.0
здравоохранение и предоставление социальных услуг	74.0	76.0	28.0	14.0	31.0	60.0	42.0	60.0
предоставление прочих коммунальных, социальных и персональных услуг	48.0	48.0	45.0	36.0	46.0	74.0	53.0	58.0
предоставление услуг по ведению домашнего хозяйства	1.0	1.0						-
деятельность экстерриториальных организаций	0.0	0.0	0.0			0.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	25.0	25.0	27.0	21.0	22.0	68.0	63.0	213.0
Мужчины, занятые в экономике	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	23.0	22.0	30.0	29.0	32.0	29.0	30.0	12.0
рыболовство, рыбоводство	3.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0
добыча полезных ископаемых	36.0	38.0	6.0	5.0	6.0	8.0	11.0	14.0
обрабатывающие производства	241.0	250.0	110.0	131.0	94.0	123.0	127.0	141.0
производство и распределение электроэнергии, газа и воды	34.0	36.0	8.0	5.0	9.0	15.0	13.0	15.0
строительство	121.0	122.0	110.0	120.0	100.0	143.0	129.0	126.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	114.0	92.0	431.0	481.0	429.0	250.0	312.0	125.0
гостиницы и рестораны	11.0	10.0	14.0	24.0	8.0	14.0	13.0	20.0
транспорт и связь	144.0	144.0	145.0	78.0	184.0	150.0	158.0	136.0
финансовая деятельность	10.0	10.0	7.0	8.0	5.0	9.0	8.0	15.0
операции с недвижимым имуществом, аренда и предоставление услуг	60.0	61.0	49.0	49.0	46.0	66.0	53.0	69.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	80.0	86.0						-
образование	29.0	31.0	10.0	5.0	11.0	22.0	17.0	31.0
здравоохранение и предоставление социальных услуг	25.0	26.0	14.0	11.0	14.0	22.0	19.0	24.0
предоставление прочих коммунальных, социальных и персональных услуг	41.0	42.0	35.0	29.0	35.0	71.0	42.0	57.0
предоставление услуг по ведению домашнего хозяйства	1.0	0.0						-
деятельность экстерриториальных организаций	0.0	0.0	0.0			0.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	27.0	27.0	29.0	23.0	25.0	75.0	66.0	213.0
Женщины, занятые в экономике	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	11.0	12.0	12.0	9.0	13.0	16.0	14.0	10.0
рыболовство, рыбоводство	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
добыча полезных ископаемых	12.0	12.0	2.0	1.0	2.0	3.0	4.0	8.0
обрабатывающие производства	190.0	195.0	88.0	74.0	89.0	117.0	111.0	126.0
производство и распределение электроэнергии, газа и воды	17.0	17.0	4.0	2.0	5.0	9.0	8.0	6.0
строительство	33.0	34.0	22.0	23.0	20.0	35.0	30.0	35.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	180.0	160.0	586.0	673.0	592.0	311.0	426.0	166.0
гостиницы и рестораны	36.0	36.0	28.0	40.0	22.0	34.0	32.0	32.0
транспорт и связь	60.0	62.0	29.0	28.0	26.0	46.0	41.0	54.0
финансовая деятельность	22.0	23.0	10.0	8.0	9.0	20.0	18.0	25.0
операции с недвижимым имуществом, аренда и предоставление услуг	48.0	49.0	41.0	41.0	39.0	58.0	42.0	57.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	54.0	57.0						0.0
образование	135.0	139.0	47.0	14.0	51.0	105.0	76.0	109.0
здравоохранение и предоставление социальных услуг	122.0	125.0	49.0	20.0	53.0	109.0	72.0	98.0
предоставление прочих коммунальных, социальных и персональных услуг	55.0	55.0	58.0	49.0	59.0	77.0	67.0	60.0
предоставление услуг по ведению домашнего хозяйства	1.0	1.0						-
деятельность экстерриториальных организаций	0.0	0.0	0.0			0.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	23.0	22.0	24.0	18.0	20.0	60.0	59.0	214.0
Сельское население, занятое в экономике	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	327.0	325.0	378.0	290.0	361.0	661.0	329.0	258.0
рыболовство, рыбоводство	3.0	3.0	5.0	4.0	5.0	6.0	5.0	1.0
добыча полезных ископаемых	13.0	14.0	2.0	2.0	2.0	2.0	7.0	9.0
обрабатывающие производства	87.0	88.0	55.0	70.0	53.0	36.0	54.0	91.0
производство и распределение электроэнергии, газа и воды	19.0	20.0	3.0	2.0	3.0	4.0	6.0	8.0
строительство	47.0	47.0	46.0	42.0	47.0	46.0	62.0	53.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	82.0	69.0	351.0	486.0	357.0	104.0	267.0	103.0
гостиницы и рестораны	18.0	18.0	13.0	26.0	9.0	10.0	18.0	17.0
транспорт и связь	73.0	73.0	71.0	37.0	86.0	43.0	85.0	82.0
финансовая деятельность	7.0	7.0	2.0	1.0	1.0	2.0	4.0	5.0
операции с недвижимым имуществом, аренда и предоставление услуг	26.0	27.0	13.0	11.0	13.0	9.0	20.0	36.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	63.0	66.0						2.0
образование	116.0	120.0	16.0	3.0	16.0	21.0	52.0	105.0
здравоохранение и предоставление социальных услуг	73.0	76.0	13.0	5.0	14.0	16.0	33.0	64.0
предоставление прочих коммунальных, социальных и персональных услуг	37.0	38.0	20.0	11.0	22.0	20.0	30.0	44.0
предоставление услуг по ведению домашнего хозяйства	0.0	0.0						-
деятельность экстерриториальных организаций	0.0	0.0	0.0			0.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	9.0	9.0	12.0	10.0	11.0	20.0	28.0	122.0
Мужчины, занятые в экономике	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	416.0	414.0	443.0	370.0	426.0	694.0	400.0	338.0
рыболовство, рыбоводство	5.0	5.0	7.0	5.0	8.0	7.0	7.0	1.0
добыча полезных ископаемых	21.0	22.0	3.0	3.0	3.0	2.0	9.0	10.0
обрабатывающие производства	96.0	98.0	55.0	82.0	49.0	35.0	61.0	89.0
производство и распределение электроэнергии, газа и воды	28.0	29.0	4.0	3.0	4.0	4.0	9.0	12.0
строительство	76.0	77.0	67.0	58.0	69.0	65.0	96.0	89.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	50.0	39.0	256.0	369.0	254.0	73.0	187.0	69.0
гостиницы и рестораны	4.0	4.0	8.0	20.0	5.0	2.0	8.0	13.0
транспорт и связь	96.0	95.0	104.0	51.0	130.0	58.0	123.0	109.0
финансовая деятельность	3.0	3.0	1.0	1.0	1.0	1.0	1.0	2.0
операции с недвижимым имуществом, аренда и предоставление услуг	32.0	33.0	14.0	12.0	15.0	10.0	23.0	41.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	70.0	74.0						2.0
образование	42.0	44.0	6.0	2.0	6.0	6.0	16.0	23.0
здравоохранение и предоставление социальных услуг	23.0	24.0	6.0	5.0	6.0	5.0	11.0	22.0
предоставление прочих коммунальных, социальных и персональных услуг	28.0	29.0	13.0	8.0	13.0	17.0	22.0	39.0
предоставление услуг по ведению домашнего хозяйства	0.0	0.0						-
деятельность экстерриториальных организаций	0.0	0.0	0.0			0.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	10.0	10.0	13.0	11.0	11.0	21.0	27.0	141.0
Женщины, занятые в экономике	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	225.0	223.0	263.0	130.0	250.0	598.0	220.0	171.0
рыболовство, рыбоводство	1.0	1.0	1.0	1.0	1.0	5.0	2.0	1.0
добыча полезных ископаемых	5.0	5.0	1.0	0.0	1.0	1.0	3.0	8.0
обрабатывающие производства	75.0	76.0	54.0	46.0	59.0	38.0	44.0	95.0
производство и распределение электроэнергии, газа и воды	9.0	9.0	1.0	0.0	2.0	2.0	1.0	3.0
строительство	12.0	12.0	8.0	9.0	8.0	8.0	11.0	13.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	118.0	104.0	522.0	718.0	532.0	162.0	388.0	141.0
гостиницы и рестораны	34.0	35.0	23.0	38.0	17.0	25.0	35.0	21.0
транспорт и связь	47.0	48.0	11.0	8.0	10.0	15.0	27.0	52.0
финансовая деятельность	12.0	12.0	3.0	1.0	3.0	5.0	8.0	8.0
операции с недвижимым имуществом, аренда и предоставление услуг	19.0	20.0	10.0	9.0	10.0	8.0	16.0	30.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	54.0	56.0						2.0
образование	201.0	207.0	33.0	5.0	33.0	49.0	106.0	195.0
здравоохранение и предоставление социальных услуг	132.0	136.0	26.0	8.0	27.0	37.0	67.0	110.0
предоставление прочих коммунальных, социальных и персональных услуг	47.0	48.0	32.0	18.0	37.0	27.0	42.0	48.0
предоставление услуг по ведению домашнего хозяйства	0.0	0.0						-
деятельность экстерриториальных организаций	0.0	0.0	0.0			0.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	9.0	8.0	12.0	9.0	10.0	20.0	30.0	102.0
