1.2. ЧИСЛЕННОСТЬ ГОРОДСКОГО И СЕЛЬСКОГО НАСЕЛЕНИЯ, МУЖЧИН И ЖЕНЩИН						
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Мужчины и женщины	Мужчины	Женщины	В общей численности населения, процентов		Женщин на 1000 мужчин
Сельское население						
1989.0	242638.0	111506.0	131132.0	46.0	54.0	1174.0
2002.0	199080.0	93326.0	105754.0	46.9	53.1	1133.0
Калужская область						
Городское и сельское население						
1989.0	1064194.0	490068.0	574126.0	46.1	53.9	1172.0
2002.0	1041641.0	475874.0	565767.0	45.7	54.3	1189.0
Городское население						
1989.0	730998.0	339293.0	391705.0	46.4	53.6	1154.0
2002.0	779481.0	355621.0	423860.0	45.6	54.4	1192.0
Сельское население						
1989.0	333196.0	150775.0	182421.0	45.3	54.7	1210.0
2002.0	262160.0	120253.0	141907.0	45.9	54.1	1180.0
Костромская область						
Городское и сельское население						
1989.0	804296.0	368930.0	435366.0	45.9	54.1	1180.0
2002.0	736641.0	337074.0	399567.0	45.8	54.2	1185.0
Городское население						
1989.0	551715.0	252649.0	299066.0	45.8	54.2	1184.0
2002.0	496145.0	224561.0	271584.0	45.3	54.7	1209.0
Сельское население						
1989.0	252581.0	116281.0	136300.0	46.0	54.0	1172.0
2002.0	240496.0	112513.0	127983.0	46.8	53.2	1137.0
Курская область						
Городское и сельское население						
1989.0	1335428.0	609333.0	726095.0	45.6	54.4	1192.0
2002.0	1235091.0	564321.0	670770.0	45.7	54.3	1189.0
Городское население						
1989.0	769164.0	354730.0	414434.0	46.1	53.9	1168.0
2002.0	756480.0	343783.0	412697.0	45.4	54.6	1200.0
Сельское население						
1989.0	566264.0	254603.0	311661.0	45.0	55.0	1224.0
2002.0	478611.0	220538.0	258073.0	46.1	53.9	1170.0
Липецкая область						
Городское и сельское население						
1989.0	1230174.0	565175.0	664999.0	45.9	54.1	1177.0
2002.0	1213499.0	556285.0	657214.0	45.8	54.2	1181.0
Городское население						
1989.0	765118.0	357542.0	407576.0	46.7	53.3	1140.0
2002.0	779983.0	357391.0	422592.0	45.8	54.2	1182.0
Сельское население						
1989.0	465056.0	207633.0	257423.0	44.6	55.4	1240.0
2002.0	433516.0	198894.0	234622.0	45.9	54.1	1180.0
Московская область						
Городское и сельское население						
1989.0	6646356.0	3023899.0	3622457.0	45.5	54.5	1198.0
2002.0	6618538.0	3040438.0	3578100.0	45.9	54.1	1177.0
Городское население						
1989.0	5294798.0	2408874.0	2885924.0	45.5	54.5	1198.0
2002.0	5248534.0	2400932.0	2847602.0	45.7	54.3	1186.0
Сельское население						
1989.0	1351558.0	615025.0	736533.0	45.5	54.5	1198.0
2002.0	1370004.0	639506.0	730498.0	46.7	53.3	1142.0
Орловская область						
Городское и сельское население						
1989.0	889056.0	407005.0	482051.0	45.8	54.2	1184.0
2002.0	860262.0	392364.0	467898.0	45.6	54.4	1193.0
Городское население						
1989.0	550266.0	252807.0	297459.0	45.9	54.1	1177.0
2002.0	546478.0	247412.0	299066.0	45.3	54.7	1209.0
Сельское население						
1989.0	338790.0	154198.0	184592.0	45.5	54.5	1197.0
2002.0	313784.0	144952.0	168832.0	46.2	53.8	1165.0
Рязанская область						
Городское и сельское население						
1989.0	1347754.0	615250.0	732504.0	45.7	54.3	1191.0
2002.0	1227910.0	560925.0	666985.0	45.7	54.3	1189.0
Городское население						
1989.0	876011.0	405782.0	470229.0	46.3	53.7	1159.0
2002.0	846180.0	386749.0	459431.0	45.7	54.3	1188.0
Сельское население						
1989.0	471743.0	209468.0	262275.0	44.4	55.6	1252.0
2002.0	381730.0	174176.0	207554.0	45.6	54.4	1192.0
Смоленская область						
Городское и сельское население						
1989.0	1153569.0	528550.0	625019.0	45.8	54.2	1183.0
2002.0	1049574.0	477356.0	572218.0	45.5	54.5	1199.0
Городское население						
1989.0	781275.0	361575.0	419700.0	46.3	53.7	1161.0
2002.0	743599.0	335436.0	408163.0	45.1	54.9	1217.0
Сельское население						
1989.0	372294.0	166975.0	205319.0	44.9	55.1	1230.0
2002.0	305975.0	141920.0	164055.0	46.4	53.6	1156.0
Тамбовская область						
Городское и сельское население						
1989.0	1322372.0	602437.0	719935.0	45.6	54.4	1195.0
2002.0	1178443.0	539209.0	639234.0	45.8	54.2	1186.0
Городское население						
1989.0	738301.0	336432.0	401869.0	45.6	54.4	1195.0
2002.0	674095.0	303560.0	370535.0	45.0	55.0	1221.0
Сельское население						
1989.0	584071.0	266005.0	318066.0	45.5	54.5	1196.0
2002.0	504348.0	235649.0	268699.0	46.7	53.3	1140.0
Тверская область						
Городское и сельское население						
1989.0	1663122.0	749224.0	913898.0	45.0	55.0	1220.0
2002.0	1471459.0	662322.0	809137.0	45.0	55.0	1222.0
Городское население						
1989.0	1182762.0	537169.0	645593.0	45.4	54.6	1202.0
2002.0	1075746.0	479236.0	596510.0	44.5	55.5	1245.0
Сельское население						
1989.0	480360.0	212055.0	268305.0	44.1	55.9	1265.0
2002.0	395713.0	183086.0	212627.0	46.3	53.7	1161.0
Тульская область						
Городское и сельское население						
1989.0	1861411.0	844920.0	1016491.0	45.4	54.6	1203.0
2002.0	1675758.0	755037.0	920721.0	45.1	54.9	1219.0
Городское население						
1989.0	1506561.0	684793.0	821768.0	45.5	54.5	1200.0
2002.0	1366818.0	613161.0	753657.0	44.9	55.1	1229.0
Сельское население						
1989.0	354850.0	160127.0	194723.0	45.1	54.9	1216.0
2002.0	308940.0	141876.0	167064.0	45.9	54.1	1178.0
Ярославская область						
Городское и сельское население						
1989.0	1468996.0	668338.0	800658.0	45.5	54.5	1198.0
2002.0	1367398.0	617889.0	749509.0	45.2	54.8	1213.0
Городское население						
1989.0	1196015.0	545154.0	650861.0	45.6	54.4	1194.0
2002.0	1106805.0	497827.0	608978.0	45.0	55.0	1223.0
Сельское население						
1989.0	272981.0	123184.0	149797.0	45.1	54.9	1216.0
2002.0	260593.0	120062.0	140531.0	46.1	53.9	1170.0
г. Москва						
Городское и сельское население						
1989.0	8875579.0	3982077.0	4893502.0	44.9	55.1	1229.0
2002.0	10382754.0	4951819.0	5430935.0	47.7	52.3	1097.0
Городское население						
1989.0	8874583.0	3981660.0	4892923.0	44.9	55.1	1229.0
2002.0	10382754.0	4951819.0	5430935.0	47.7	52.3	1097.0
Сельское население						
1989.0	996.0	417.0	579.0	41.9	58.1	1388.0
2002.0	-	-	-	-	-	
Северо-Западный федеральный округ						
Городское и сельское население						
1989.0	15236761.0	7140407.0	8096354.0	46.9	53.1	1134.0
2002.0	13974466.0	6455310.0	7519156.0	46.2	53.8	1165.0
Городское население						
1989.0	12505098.0	5837525.0	6667573.0	46.7	53.3	1142.0
2002.0	11502402.0	5268755.0	6233647.0	45.8	54.2	1183.0
Сельское население						
1989.0	2731663.0	1302882.0	1428781.0	47.7	52.3	1097.0
2002.0	2472064.0	1186555.0	1285509.0	48.0	52.0	1083.0
Республика Карелия						
Городское и сельское население						
1989.0	790150.0	376028.0	414122.0	47.6	52.4	1101.0
2002.0	716281.0	331505.0	384776.0	46.3	53.7	1161.0
Городское население						
1989.0	643496.0	305306.0	338190.0	47.4	52.6	1108.0
2002.0	537395.0	246214.0	291181.0	45.8	54.2	1183.0
Сельское население						
1989.0	146654.0	70722.0	75932.0	48.2	51.8	1074.0
2002.0	178886.0	85291.0	93595.0	47.7	52.3	1097.0
Республика Коми						
Городское и сельское население						
1989.0	1250847.0	632602.0	618245.0	50.6	49.4	977.0
2002.0	1018674.0	488316.0	530358.0	47.9	52.1	1086.0
Городское население						
1989.0	944423.0	475104.0	469319.0	50.3	49.7	988.0
2002.0	766587.0	362627.0	403960.0	47.3	52.7	1114.0
Сельское население						
1989.0	306424.0	157498.0	148926.0	51.4	48.6	946.0
2002.0	252087.0	125689.0	126398.0	49.9	50.1	1006.0
Архангельская область						
Городское и сельское население						
1989.0	1569679.0	764006.0	805673.0	48.7	51.3	1055.0
2002.0	1336539.0	630011.0	706528.0	47.1	52.9	1121.0
Городское население						
1989.0	1151559.0	557351.0	594208.0	48.4	51.6	1066.0
2002.0	999591.0	464138.0	535453.0	46.4	53.6	1154.0
Сельское население						
1989.0	418120.0	206655.0	211465.0	49.4	50.6	1023.0
2002.0	336948.0	165873.0	171075.0	49.2	50.8	1031.0
Ненецкий автономный округ						
Городское и сельское население						
1989.0	53912.0	27890.0	26022.0	51.7	48.3	933.0
2002.0	41546.0	20547.0	20999.0	49.5	50.5	1022.0
Городское население						
1989.0	34336.0	18042.0	16294.0	52.5	47.5	903.0
2002.0	26242.0	12702.0	13540.0	48.4	51.6	1066.0
Сельское население						
1989.0	19576.0	9848.0	9728.0	50.3	49.7	988.0
2002.0	15304.0	7845.0	7459.0	51.3	48.7	951.0
Вологодская область						
Городское и сельское население						
1989.0	1349022.0	630625.0	718397.0	46.7	53.3	1139.0
2002.0	1269568.0	588559.0	681009.0	46.4	53.6	1157.0
Городское население						
1989.0	875500.0	407112.0	468388.0	46.5	53.5	1151.0
2002.0	876572.0	402084.0	474488.0	45.9	54.1	1180.0
Сельское население						
1989.0	473522.0	223513.0	250009.0	47.2	52.8	1119.0
2002.0	392996.0	186475.0	206521.0	47.4	52.6	1107.0
Калининградская область						
Городское и сельское население						
1989.0	871159.0	418356.0	452803.0	48.0	52.0	1082.0
2002.0	955281.0	456061.0	499220.0	47.7	52.3	1095.0
Городское население						
1989.0	686853.0	328298.0	358555.0	47.8	52.2	1092.0
2002.0	741487.0	350963.0	390524.0	47.3	52.7	1113.0
Сельское население						
1989.0	184306.0	90058.0	94248.0	48.9	51.1	1047.0
2002.0	213794.0	105098.0	108696.0	49.2	50.8	1034.0
Ленинградская область						
Городское и сельское население						
1989.0	1653723.0	762829.0	890894.0	46.1	53.9	1168.0
2002.0	1669205.0	770086.0	899119.0	46.1	53.9	1168.0
Городское население						
1989.0	1089711.0	501769.0	587942.0	46.0	54.0	1172.0
2002.0	1108762.0	508113.0	600649.0	45.8	54.2	1182.0
Сельское население						
1989.0	564012.0	261060.0	302952.0	46.3	53.7	1160.0
2002.0	560443.0	261973.0	298470.0	46.7	53.3	1139.0
Мурманская область						
Городское и сельское население						
1989.0	1164586.0	580050.0	584536.0	49.8	50.2	1008.0
2002.0	892534.0	435135.0	457399.0	48.8	51.2	1051.0
Городское население						
1989.0	1070970.0	531301.0	539669.0	49.6	50.4	1016.0
2002.0	823215.0	395794.0	427421.0	48.1	51.9	1080.0
Сельское население						
1989.0	93616.0	48749.0	44867.0	52.1	47.9	920.0
2002.0	69319.0	39341.0	29978.0	56.8	43.2	762.0
Новгородская область						
Городское и сельское население						
1989.0	751555.0	343094.0	408461.0	45.7	54.3	1191.0
2002.0	694355.0	312607.0	381748.0	45.0	55.0	1221.0
Городское население						
1989.0	521352.0	240327.0	281025.0	46.1	53.9	1169.0
2002.0	484920.0	216488.0	268432.0	44.6	55.4	1240.0
Сельское население						
1989.0	230203.0	102767.0	127436.0	44.6	55.4	1240.0
2002.0	209435.0	96119.0	113316.0	45.9	54.1	1179.0
Псковская область						
Городское и сельское население						
1989.0	845291.0	386110.0	459181.0	45.7	54.3	1189.0
2002.0	760810.0	348194.0	412616.0	45.8	54.2	1185.0
Городское население						
1989.0	530485.0	244250.0	286235.0	46.0	54.0	1172.0
2002.0	502654.0	227498.0	275156.0	45.3	54.7	1209.0
Сельское население						
1989.0	314806.0	141860.0	172946.0	45.1	54.9	1219.0
2002.0	258156.0	120696.0	137460.0	46.8	53.2	1139.0
г. Санкт-Петербург						
Городское население						
1989.0	4990749.0	2246707.0	2744042.0	45.0	55.0	1221.0
2002.0	4661219.0	2094836.0	2566383.0	44.9	55.1	1225.0
Южный федеральный округ						
Городское и сельское население						
1989.0	20536148.0	9577401.0	10958747.0	46.6	53.4	1144.0
2002.0	22907141.0	10742563.0	12164578.0	46.9	53.1	1132.0
Городское население						
1989.0	12264937.0	5681499.0	6583438.0	46.3	53.7	1159.0
2002.0	13166327.0	6090097.0	7076230.0	46.3	53.7	1162.0
Сельское население						
1989.0	8271211.0	3895902.0	4375309.0	47.1	52.9	1123.0
2002.0	9740814.0	4652466.0	5088348.0	47.8	52.2	1094.0
Республика Адыгея						
Городское и сельское население						
1989.0	432046.0	198393.0	233653.0	45.9	54.1	1178.0
2002.0	447109.0	208019.0	239090.0	46.5	53.5	1149.0
Городское население						
1989.0	225193.0	102242.0	122951.0	45.4	54.6	1203.0
2002.0	234900.0	107069.0	127831.0	45.6	54.4	1194.0
Сельское население						
1989.0	206853.0	96151.0	110702.0	46.5	53.5	1151.0
2002.0	212209.0	100950.0	111259.0	47.6	52.4	1102.0
Республика Дагестан						
Городское и сельское население						
1989.0	1802188.0	850183.0	952005.0	47.2	52.8	1120.0
2002.0	2576531.0	1242437.0	1334094.0	48.2	51.8	1074.0
Городское население						
1989.0	779333.0	372315.0	407018.0	47.8	52.2	1093.0
2002.0	1102577.0	529889.0	572688.0	48.1	51.9	1081.0
Сельское население						
1989.0	1022855.0	477868.0	544987.0	46.7	53.3	1140.0
2002.0	1473954.0	712548.0	761406.0	48.3	51.7	1069.0
Республика Ингушетия						
Городское и сельское население						
1989.0	1270429.0	596848.0	673581.0	47.0	53.0	1129.0
2002.0	467294.0	218194.0	249100.0	46.7	53.3	1142.0
Городское население						
1989.0	525353.0	241955.0	283398.0	46.1	53.9	1171.0
2002.0	198496.0	93915.0	104581.0	47.3	52.7	1114.0
Сельское население						
1989.0	745076.0	354893.0	390183.0	47.6	52.4	1099.0
2002.0	268798.0	124279.0	144519.0	46.2	53.8	1163.0
Кабардино-Балкарская Республика						
Городское и сельское население						
1989.0	753531.0	353376.0	400155.0	46.9	53.1	1132.0
2002.0	901494.0	422720.0	478774.0	46.9	53.1	1133.0
Городское население						
1989.0	460552.0	214305.0	246247.0	46.5	53.5	1149.0
2002.0	510346.0	233377.0	276969.0	45.7	54.3	1187.0
Сельское население						
1989.0	292979.0	139071.0	153908.0	47.5	52.5	1107.0
2002.0	391148.0	189343.0	201805.0	48.4	51.6	1066.0
Республика Калмыкия						
Городское и сельское население						
1989.0	322579.0	158020.0	164559.0	49.0	51.0	1041.0
2002.0	292410.0	140097.0	152313.0	47.9	52.1	1087.0
Городское население						
1989.0	147176.0	69284.0	77892.0	47.1	52.9	1124.0
2002.0	129539.0	59381.0	70158.0	45.8	54.2	1181.0
Сельское население						
1989.0	175403.0	88736.0	86667.0	50.6	49.4	977.0
2002.0	162871.0	80716.0	82155.0	49.6	50.4	1018.0
Карачаево-Черкесская Республика						
Городское и сельское население						
1989.0	414970.0	194793.0	220177.0	46.9	53.1	1130.0
2002.0	439470.0	205481.0	233989.0	46.8	53.2	1139.0
Городское население						
1989.0	201655.0	93943.0	107712.0	46.6	53.4	1147.0
2002.0	193531.0	87637.0	105894.0	45.3	54.7	1208.0
Сельское население						
1989.0	213315.0	100850.0	112465.0	47.3	52.7	1115.0
2002.0	245939.0	117844.0	128095.0	47.9	52.1	1087.0
Республика Северная Осетия - Алания						
Городское и сельское население						
1989.0	632428.0	292778.0	339650.0	46.3	53.7	1160.0
2002.0	710275.0	336035.0	374240.0	47.3	52.7	1114.0
Городское население						
1989.0	433704.0	199311.0	234393.0	46.0	54.0	1176.0
2002.0	464875.0	218033.0	246842.0	46.9	53.1	1132.0
Сельское население						
1989.0	198724.0	93467.0	105257.0	47.0	53.0	1126.0
2002.0	245400.0	118002.0	127398.0	48.1	51.9	1080.0
Чеченская Республика						
Городское и сельское население						
1989.0	1270429.0	596848.0	673581.0	47.0	53.0	1129.0
2002.0	1103686.0	532724.0	570962.0	48.3	51.7	1072.0
Городское население						
1989.0	525353.0	241955.0	283398.0	46.1	53.9	1171.0
2002.0	373177.0	175123.0	198054.0	46.9	53.1	1131.0
Сельское население						
1989.0	745076.0	354893.0	390183.0	47.6	52.4	1099.0
2002.0	730509.0	357601.0	372908.0	49.0	51.0	1043.0
Краснодарский край						
Городское и сельское население						
1989.0	4620876.0	2137368.0	2483508.0	46.3	53.7	1162.0
2002.0	5125221.0	2383332.0	2741889.0	46.5	53.5	1150.0
Городское население						
1989.0	2499285.0	1151428.0	1347857.0	46.1	53.9	1171.0
2002.0	2740544.0	1261318.0	1479226.0	46.0	54.0	1173.0
Сельское население						
1989.0	2121591.0	985940.0	1135651.0	46.5	53.5	1152.0
2002.0	2384677.0	1122014.0	1262663.0	47.1	52.9	1125.0
Ставропольский край						
Городское и сельское население						
1989.0	2410379.0	1123188.0	1287191.0	46.6	53.4	1146.0
2002.0	2735139.0	1279937.0	1455202.0	46.8	53.2	1137.0
Городское население						
1989.0	1299061.0	594902.0	704159.0	45.8	54.2	1184.0
2002.0	1530591.0	705569.0	825022.0	46.1	53.9	1169.0
Сельское население						
1989.0	1111318.0	528286.0	583032.0	47.5	52.5	1104.0
2002.0	1204548.0	574368.0	630180.0	47.7	52.3	1097.0
Астраханская область						
Городское и сельское население						
1989.0	991521.0	471844.0	519677.0	47.6	52.4	1101.0
2002.0	1005276.0	472785.0	532491.0	47.0	53.0	1126.0
Городское население						
1989.0	674938.0	315323.0	359615.0	46.7	53.3	1140.0
2002.0	680441.0	316264.0	364177.0	46.5	53.5	1151.0
Сельское население						
1989.0	316583.0	156521.0	160062.0	49.4	50.6	1023.0
2002.0	324835.0	156521.0	168314.0	48.2	51.8	1075.0
Волгоградская область						
Городское и сельское население						
1989.0	2592910.0	1208837.0	1384073.0	46.6	53.4	1145.0
2002.0	2699223.0	1255594.0	1443629.0	46.5	53.5	1150.0
Городское население						
1989.0	1962266.0	909380.0	1052886.0	46.3	53.7	1158.0
2002.0	2029785.0	936569.0	1093216.0	46.1	53.9	1167.0
Сельское население						
1989.0	630644.0	299457.0	331187.0	47.5	52.5	1106.0
2002.0	669438.0	319025.0	350413.0	47.7	52.3	1098.0
Ростовская область						
Городское и сельское население						
1989.0	4292291.0	1991773.0	2300518.0	46.4	53.6	1155.0
2002.0	4404013.0	2045208.0	2358805.0	46.4	53.6	1153.0
Городское население						
1989.0	3056421.0	1417111.0	1639310.0	46.4	53.6	1157.0
2002.0	2977525.0	1365953.0	1611572.0	45.9	54.1	1180.0
Сельское население						
1989.0	1235870.0	574662.0	661208.0	46.5	53.5	1151.0
2002.0	1426488.0	679255.0	747233.0	47.6	52.4	1100.0
Приволжский федеральный округ						
Городское и сельское население						
1989.0	31765311.0	14763304.0	17002007.0	46.5	53.5	1152.0
2002.0	31154744.0	14407089.0	16747655.0	46.2	53.8	1162.0
Городское население						
1989.0	22447212.0	10436956.0	12010256.0	46.5	53.5	1151.0
2002.0	22047106.0	10070360.0	11976746.0	45.7	54.3	1189.0
Сельское население						
1989.0	9318099.0	4326348.0	4991751.0	46.4	53.6	1154.0
2002.0	9107638.0	4336729.0	4770909.0	47.6	52.4	1100.0
Республика Башкортостан						
Городское и сельское население						
1989.0	3943113.0	1851421.0	2091692.0	47.0	53.0	1130.0
2002.0	4104336.0	1923233.0	2181103.0	46.9	53.1	1134.0
Городское население						
1989.0	2516640.0	1179851.0	1336789.0	46.9	53.1	1133.0
2002.0	2626613.0	1212131.0	1414482.0	46.1	53.9	1167.0
Сельское население						
1989.0	1426473.0	671570.0	754903.0	47.1	52.9	1124.0
2002.0	1477723.0	711102.0	766621.0	48.1	51.9	1078.0
Республика Марий Эл						
Городское и сельское население						
1989.0	749332.0	348552.0	400780.0	46.5	53.5	1150.0
2002.0	727979.0	338485.0	389494.0	46.5	53.5	1151.0
Городское население						
1989.0	457218.0	210421.0	246797.0	46.0	54.0	1173.0
2002.0	459687.0	209153.0	250534.0	45.5	54.5	1198.0
Сельское население						
1989.0	292114.0	138131.0	153983.0	47.3	52.7	1115.0
2002.0	268292.0	129332.0	138960.0	48.2	51.8	1074.0
Республика Мордовия						
Городское и сельское население						
1989.0	963504.0	439869.0	523635.0	45.7	54.3	1190.0
2002.0	888766.0	408556.0	480210.0	46.0	54.0	1175.0
Городское население						
1989.0	541091.0	248073.0	293018.0	45.8	54.2	1181.0
2002.0	531478.0	239922.0	291556.0	45.1	54.9	1215.0
Сельское население						
1989.0	422413.0	191796.0	230617.0	45.4	54.6	1202.0
2002.0	357288.0	168634.0	188654.0	47.2	52.8	1119.0
Республика Татарстан						
Городское и сельское население						
1989.0	3641742.0	1688832.0	1952910.0	46.4	53.6	1156.0
2002.0	3779265.0	1749050.0	2030215.0	46.3	53.7	1161.0
Городское население						
1989.0	2654758.0	1237654.0	1417104.0	46.6	53.4	1145.0
2002.0	2790661.0	1279365.0	1511296.0	45.8	54.2	1181.0
Сельское население						
1989.0	986984.0	451178.0	535806.0	45.7	54.3	1188.0
2002.0	988604.0	469685.0	518919.0	47.5	52.5	1105.0
Удмуртская Республика						
Городское и сельское население						
1989.0	1605663.0	746670.0	858993.0	46.5	53.5	1150.0
2002.0	1570316.0	727075.0	843241.0	46.3	53.7	1160.0
Городское население						
1989.0	1119773.0	517458.0	602315.0	46.2	53.8	1164.0
2002.0	1094338.0	497010.0	597328.0	45.4	54.6	1202.0
Сельское население						
1989.0	485890.0	229212.0	256678.0	47.2	52.8	1120.0
2002.0	475978.0	230065.0	245913.0	48.3	51.7	1069.0
Чувашская Республика						
Городское и сельское население						
1989.0	1338023.0	615735.0	722288.0	46.0	54.0	1173.0
2002.0	1313754.0	608719.0	705035.0	46.3	53.7	1158.0
Городское население						
1989.0	771054.0	360521.0	410533.0	46.8	53.2	1139.0
2002.0	796196.0	361601.0	434595.0	45.4	54.6	1202.0
Сельское население						
1989.0	566969.0	255214.0	311755.0	45.0	55.0	1222.0
2002.0	517558.0	247118.0	270440.0	47.7	52.3	1094.0
Кировская область						
Городское и сельское население						
1989.0	1694008.0	791246.0	902762.0	46.7	53.3	1141.0
2002.0	1503529.0	695728.0	807801.0	46.3	53.7	1161.0
Городское население						
1989.0	1180881.0	553540.0	627341.0	46.9	53.1	1133.0
2002.0	1079024.0	493856.0	585168.0	45.8	54.2	1185.0
Сельское население						
1989.0	513127.0	237706.0	275421.0	46.3	53.7	1159.0
2002.0	424505.0	201872.0	222633.0	47.6	52.4	1103.0
Нижегородская область						
Городское и сельское население						
1989.0	3719614.0	1690866.0	2028748.0	45.5	54.5	1200.0
2002.0	3524028.0	1600609.0	1923419.0	45.4	54.6	1202.0
Городское население						
1989.0	2860283.0	1309379.0	1550904.0	45.8	54.2	1184.0
2002.0	2754997.0	1242285.0	1512712.0	45.1	54.9	1218.0
Сельское население						
1989.0	859331.0	381487.0	477844.0	44.4	55.6	1252.0
2002.0	769031.0	358324.0	410707.0	46.6	53.4	1146.0
Оренбургская область						
Городское и сельское население						
1989.0	2170692.0	1022064.0	1148628.0	47.1	52.9	1124.0
2002.0	2179551.0	1022177.0	1157374.0	46.9	53.1	1132.0
Городское население						
1989.0	1406619.0	654723.0	751896.0	46.5	53.5	1148.0
2002.0	1260128.0	578997.0	681131.0	45.9	54.1	1176.0
Сельское население						
1989.0	764073.0	367341.0	396732.0	48.1	51.9	1080.0
2002.0	919423.0	443180.0	476243.0	48.2	51.8	1075.0
Пензенская область						
Городское и сельское население						
1989.0	1504569.0	691812.0	812757.0	46.0	54.0	1175.0
2002.0	1452941.0	664372.0	788569.0	45.7	54.3	1187.0
Городское население						
1989.0	927564.0	428219.0	499345.0	46.2	53.8	1166.0
2002.0	945214.0	428656.0	516558.0	45.4	54.6	1205.0
Сельское население						
1989.0	577005.0	263593.0	313412.0	45.7	54.3	1189.0
2002.0	507727.0	235716.0	272011.0	46.4	53.6	1154.0
Пермская область						
Городское и сельское население						
1989.0	3091481.0	1459374.0	1632107.0	47.2	52.8	1118.0
2002.0	2819421.0	1305658.0	1513763.0	46.3	53.7	1159.0
Городское население						
1989.0	2391258.0	1128386.0	1262872.0	47.2	52.8	1119.0
2002.0	2121647.0	967708.0	1153939.0	45.6	54.4	1192.0
Сельское население						
1989.0	700223.0	330988.0	369235.0	47.3	52.7	1116.0
2002.0	697774.0	337950.0	359824.0	48.4	51.6	1065.0
Коми-Пермяцкий автономный округ						
Городское и сельское население						
1989.0	158526.0	73994.0	84532.0	46.7	53.3	1142.0
2002.0	136076.0	65074.0	71002.0	47.8	52.2	1091.0
Городское население						
1989.0	47276.0	21333.0	25943.0	45.1	54.9	1216.0
