3. ЖЕНЩИНЫ, ЗАНЯТЫЕ В ЭКОНОМИКЕ, ПО ВОЗРАСТНЫМ ГРУППАМ И ЧИСЛУ РОЖДЕННЫХ ДЕТЕЙ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
	Всего	Женщины, указавшие число рожденных детей	из них женщины с числом рожденных детей								Общее число рожденных детей	Среднее число рожденных детей (на 1000 женщин)	Женщины, не указавшие число рожденных детей
55 – 59	7188.0	7087.0	363.0	2164.0	3781.0	680.0	34.0	39.0	4.0	22.0	12288.0	1734.0	101.0
60 – 64	3669.0	3593.0	196.0	1119.0	1870.0	341.0	46.0	8.0	-	13.0	6229.0	1734.0	76.0
65 – 69	1302.0	1278.0	86.0	349.0	709.0	106.0	16.0	12.0	-	-	2209.0	1728.0	24.0
70 и более	644.0	640.0	77.0	140.0	266.0	107.0	21.0	29.0	-	-	1222.0	1909.0	4.0
Городские населенные пункты													
Женщины в возрасте 15 лет и более	217330.0	212501.0	33563.0	84024.0	83690.0	9373.0	1020.0	214.0	118.0	499.0	289389.0	1362.0	4829.0
в том числе в возрасте, лет:													
15 – 17	349.0	305.0	280.0	21.0	4.0	-	-	-	-	-	29.0	95.0	44.0
18 – 19	3189.0	2996.0	2771.0	225.0	-	-	-	-	-	-	225.0	75.0	193.0
20 – 24	20640.0	19250.0	12697.0	6068.0	446.0	9.0	-	-	13.0	17.0	7184.0	373.0	1390.0
25 – 29	26811.0	26005.0	7533.0	15580.0	2730.0	79.0	25.0	8.0	12.0	38.0	21827.0	839.0	806.0
30 – 34	25677.0	25206.0	2954.0	14887.0	6809.0	384.0	63.0	17.0	13.0	79.0	30791.0	1222.0	471.0
35 – 39	30459.0	29951.0	1898.0	13036.0	13590.0	1180.0	117.0	25.0	17.0	88.0	45172.0	1508.0	508.0
40 – 44	39562.0	39076.0	2038.0	13161.0	21120.0	2317.0	224.0	47.0	21.0	148.0	64707.0	1656.0	486.0
45 – 49	35062.0	34638.0	1631.0	9820.0	20093.0	2657.0	288.0	58.0	21.0	70.0	60084.0	1735.0	424.0
50 – 54	25728.0	25355.0	1182.0	8013.0	13809.0	2024.0	231.0	38.0	17.0	41.0	43234.0	1705.0	373.0
55 – 59	5611.0	5536.0	310.0	1858.0	2877.0	440.0	25.0	13.0	4.0	9.0	9193.0	1661.0	75.0
60 – 64	2933.0	2890.0	159.0	959.0	1531.0	202.0	30.0	-	-	9.0	4834.0	1673.0	43.0
65 – 69	935.0	923.0	70.0	293.0	507.0	41.0	8.0	4.0	-	-	1482.0	1606.0	12.0
70 и более	374.0	370.0	40.0	103.0	174.0	40.0	9.0	4.0	-	-	627.0	1695.0	4.0
Сельские населенные пункты													
Женщины в возрасте 15 лет и более	78806.0	76928.0	7982.0	20632.0	36674.0	9033.0	1639.0	601.0	166.0	201.0	133208.0	1732.0	1878.0
в том числе в возрасте, лет:													
15 – 17	216.0	184.0	175.0	9.0	-	-	-	-	-	-	9.0	49.0	32.0
18 – 19	1265.0	1100.0	961.0	135.0	4.0	-	-	-	-	-	143.0	130.0	165.0
20 – 24	7048.0	6471.0	3341.0	2702.0	395.0	17.0	8.0	-	4.0	4.0	3627.0	561.0	577.0
25 – 29	9407.0	9125.0	1341.0	4937.0	2589.0	206.0	36.0	8.0	-	8.0	10985.0	1204.0	282.0
30 – 34	10955.0	10780.0	590.0	3933.0	5353.0	725.0	118.0	25.0	8.0	28.0	17675.0	1640.0	175.0
35 – 39	12699.0	12563.0	403.0	2744.0	7421.0	1571.0	263.0	103.0	21.0	37.0	24279.0	1933.0	136.0
40 – 44	14276.0	14104.0	417.0	2182.0	8466.0	2288.0	490.0	163.0	49.0	49.0	29442.0	2087.0	172.0
45 – 49	11400.0	11256.0	329.0	1845.0	6295.0	2120.0	418.0	156.0	55.0	38.0	23872.0	2121.0	144.0
50 – 54	8590.0	8466.0	282.0	1586.0	4614.0	1595.0	261.0	79.0	29.0	20.0	17364.0	2051.0	124.0
55 – 59	1577.0	1551.0	53.0	306.0	904.0	240.0	9.0	26.0	-	13.0	3095.0	1995.0	26.0
60 – 64	736.0	703.0	37.0	160.0	339.0	139.0	16.0	8.0	-	4.0	1395.0	1984.0	33.0
65 – 69	367.0	355.0	16.0	56.0	202.0	65.0	8.0	8.0	-	-	727.0	2048.0	12.0
70 и более	270.0	270.0	37.0	37.0	92.0	67.0	12.0	25.0	-	-	595.0	2204.0	-
Брянская область													
Городские и сельские населенные пункты													
Женщины в возрасте 15 лет и более	270645.0	265062.0	41129.0	93543.0	108150.0	17583.0	2763.0	808.0	380.0	706.0	385517.0	1454.0	5583.0
в том числе в возрасте, лет:													
15 – 17	600.0	542.0	511.0	31.0	-	-	-	-	-	-	31.0	57.0	58.0
18 – 19	4820.0	4479.0	4166.0	305.0	8.0	-	-	-	-	-	321.0	72.0	341.0
20 – 24	27580.0	25735.0	17069.0	7896.0	679.0	46.0	21.0	8.0	12.0	4.0	9616.0	374.0	1845.0
25 – 29	33200.0	32181.0	7756.0	19079.0	4881.0	366.0	42.0	12.0	8.0	37.0	30490.0	947.0	1019.0
30 – 34	34471.0	33957.0	3502.0	16976.0	11999.0	1136.0	195.0	33.0	34.0	82.0	46202.0	1361.0	514.0
35 – 39	38692.0	38247.0	2171.0	14104.0	18656.0	2635.0	401.0	115.0	67.0	98.0	62701.0	1639.0	445.0
40 – 44	47682.0	47204.0	2030.0	13065.0	26402.0	4478.0	807.0	211.0	66.0	145.0	85129.0	1803.0	478.0
45 – 49	42172.0	41822.0	1753.0	10823.0	23424.0	4564.0	668.0	245.0	114.0	231.0	77754.0	1859.0	350.0
50 – 54	29820.0	29468.0	1506.0	7929.0	16061.0	3206.0	481.0	142.0	58.0	85.0	53290.0	1808.0	352.0
55 – 59	6909.0	6828.0	358.0	2022.0	3622.0	715.0	66.0	13.0	8.0	24.0	11972.0	1753.0	81.0
60 – 64	3135.0	3062.0	172.0	881.0	1678.0	265.0	53.0	9.0	4.0	-	5313.0	1735.0	73.0
65 – 69	1147.0	1130.0	85.0	337.0	570.0	113.0	15.0	7.0	3.0	-	1929.0	1707.0	17.0
70 и более	417.0	407.0	50.0	95.0	170.0	59.0	14.0	13.0	6.0	-	769.0	1889.0	10.0
Городские населенные пункты													
Женщины в возрасте 15 лет и более	208380.0	203929.0	32957.0	78961.0	80545.0	9453.0	1086.0	292.0	141.0	494.0	278914.0	1368.0	4451.0
в том числе в возрасте, лет:													
15 – 17	414.0	376.0	362.0	14.0	-	-	-	-	-	-	14.0	37.0	38.0
18 – 19	3533.0	3228.0	3005.0	215.0	8.0	-	-	-	-	-	231.0	72.0	305.0
20 – 24	21181.0	19749.0	13410.0	5947.0	334.0	25.0	17.0	-	12.0	4.0	6858.0	347.0	1432.0
25 – 29	25579.0	24765.0	6355.0	15463.0	2724.0	169.0	17.0	4.0	4.0	29.0	21737.0	878.0	814.0
30 – 34	25700.0	25286.0	2863.0	14180.0	7659.0	414.0	87.0	4.0	13.0	66.0	31737.0	1255.0	414.0
35 – 39	28640.0	28319.0	1907.0	12022.0	12862.0	1256.0	128.0	49.0	21.0	74.0	43000.0	1518.0	321.0
40 – 44	36271.0	35876.0	1662.0	11417.0	20071.0	2252.0	295.0	75.0	21.0	83.0	60636.0	1690.0	395.0
45 – 49	33060.0	32787.0	1517.0	9469.0	18573.0	2665.0	282.0	99.0	33.0	149.0	57573.0	1756.0	273.0
50 – 54	24077.0	23786.0	1299.0	7108.0	13098.0	1954.0	172.0	57.0	29.0	69.0	40840.0	1717.0	291.0
55 – 59	5847.0	5774.0	333.0	1895.0	3070.0	407.0	41.0	4.0	4.0	20.0	9620.0	1666.0	73.0
60 – 64	2750.0	2682.0	144.0	829.0	1481.0	190.0	34.0	-	4.0	-	4521.0	1686.0	68.0
65 – 69	1020.0	1003.0	75.0	316.0	529.0	75.0	8.0	-	-	-	1631.0	1626.0	17.0
70 и более	308.0	298.0	25.0	86.0	136.0	46.0	5.0	-	-	-	516.0	1732.0	10.0
Сельские населенные пункты													
Женщины в возрасте 15 лет и более	62265.0	61133.0	8172.0	14582.0	27605.0	8130.0	1677.0	516.0	239.0	212.0	106603.0	1744.0	1132.0
в том числе в возрасте, лет:													
15 – 17	186.0	166.0	149.0	17.0	-	-	-	-	-	-	17.0	102.0	20.0
18 – 19	1287.0	1251.0	1161.0	90.0	-	-	-	-	-	-	90.0	72.0	36.0
20 – 24	6399.0	5986.0	3659.0	1949.0	345.0	21.0	4.0	8.0	-	-	2758.0	461.0	413.0
25 – 29	7621.0	7416.0	1401.0	3616.0	2157.0	197.0	25.0	8.0	4.0	8.0	8753.0	1180.0	205.0
30 – 34	8771.0	8671.0	639.0	2796.0	4340.0	722.0	108.0	29.0	21.0	16.0	14465.0	1668.0	100.0
35 – 39	10052.0	9928.0	264.0	2082.0	5794.0	1379.0	273.0	66.0	46.0	24.0	19701.0	1984.0	124.0
40 – 44	11411.0	11328.0	368.0	1648.0	6331.0	2226.0	512.0	136.0	45.0	62.0	24493.0	2162.0	83.0
45 – 49	9112.0	9035.0	236.0	1354.0	4851.0	1899.0	386.0	146.0	81.0	82.0	20181.0	2234.0	77.0
50 – 54	5743.0	5682.0	207.0	821.0	2963.0	1252.0	309.0	85.0	29.0	16.0	12450.0	2191.0	61.0
55 – 59	1062.0	1054.0	25.0	127.0	552.0	308.0	25.0	9.0	4.0	4.0	2352.0	2231.0	8.0
60 – 64	385.0	380.0	28.0	52.0	197.0	75.0	19.0	9.0	-	-	792.0	2084.0	5.0
65 – 69	127.0	127.0	10.0	21.0	41.0	38.0	7.0	7.0	3.0	-	298.0	2346.0	-
70 и более	109.0	109.0	25.0	9.0	34.0	13.0	9.0	13.0	6.0	-	253.0	2321.0	-
Владимирская область													
Городские и сельские населенные пункты													
Женщины в возрасте 15 лет и более	342919.0	330564.0	53559.0	133729.0	122933.0	15935.0	2450.0	873.0	333.0	752.0	449629.0	1360.0	12355.0
в том числе в возрасте, лет:													
15 – 17	1465.0	1189.0	1161.0	28.0	-	-	-	-	-	-	28.0	24.0	276.0
18 – 19	8029.0	6904.0	6459.0	428.0	17.0	-	-	-	-	-	462.0	67.0	1125.0
20 – 24	34375.0	30791.0	19487.0	10259.0	948.0	41.0	24.0	4.0	12.0	16.0	12578.0	408.0	3584.0
25 – 29	38871.0	36963.0	9568.0	22472.0	4508.0	288.0	36.0	12.0	20.0	59.0	33180.0	898.0	1908.0
30 – 34	38442.0	37437.0	4269.0	21734.0	10241.0	937.0	156.0	40.0	16.0	44.0	46275.0	1236.0	1005.0
35 – 39	44138.0	43301.0	2722.0	19690.0	18272.0	2048.0	334.0	90.0	44.0	101.0	65219.0	1506.0	837.0
40 – 44	57134.0	56028.0	2989.0	18708.0	29392.0	3942.0	582.0	196.0	56.0	163.0	94314.0	1683.0	1106.0
45 – 49	54457.0	53415.0	2655.0	17111.0	27965.0	4399.0	654.0	337.0	93.0	201.0	92708.0	1736.0	1042.0
50 – 54	42325.0	41452.0	2518.0	14422.0	20826.0	2906.0	492.0	124.0	68.0	96.0	68564.0	1654.0	873.0
55 – 59	12895.0	12586.0	919.0	4840.0	5989.0	683.0	56.0	34.0	16.0	49.0	19773.0	1571.0	309.0
60 – 64	7320.0	7141.0	545.0	2791.0	3314.0	408.0	43.0	20.0	4.0	16.0	11059.0	1549.0	179.0
65 – 69	2565.0	2512.0	154.0	947.0	1153.0	174.0	61.0	12.0	4.0	7.0	4159.0	1656.0	53.0
70 и более	903.0	845.0	113.0	299.0	308.0	109.0	12.0	4.0	-	-	1310.0	1550.0	58.0
Городские населенные пункты													
Женщины в возрасте 15 лет и более	288452.0	278222.0	46379.0	118709.0	99842.0	10604.0	1483.0	478.0	180.0	547.0	364074.0	1309.0	10230.0
в том числе в возрасте, лет:													
15 – 17	1119.0	914.0	905.0	9.0	-	-	-	-	-	-	9.0	10.0	205.0
18 – 19	6498.0	5599.0	5278.0	313.0	8.0	-	-	-	-	-	329.0	59.0	899.0
20 – 24	28721.0	25824.0	16610.0	8486.0	644.0	28.0	24.0	4.0	12.0	16.0	10158.0	393.0	2897.0
25 – 29	32980.0	31383.0	8453.0	19409.0	3291.0	154.0	12.0	-	16.0	48.0	27013.0	861.0	1597.0
30 – 34	32496.0	31664.0	3826.0	19360.0	7751.0	563.0	84.0	28.0	12.0	40.0	37399.0	1181.0	832.0
35 – 39	36744.0	36034.0	2394.0	17745.0	14276.0	1254.0	211.0	49.0	24.0	81.0	51943.0	1441.0	710.0
40 – 44	47228.0	46307.0	2671.0	16685.0	23861.0	2544.0	320.0	103.0	20.0	103.0	74818.0	1616.0	921.0
45 – 49	45392.0	44517.0	2350.0	15348.0	23024.0	3046.0	378.0	183.0	52.0	136.0	74377.0	1671.0	875.0
50 – 54	36032.0	35279.0	2286.0	13034.0	17497.0	1990.0	308.0	72.0	24.0	68.0	56294.0	1596.0	753.0
55 – 59	11467.0	11198.0	866.0	4545.0	5170.0	502.0	47.0	16.0	16.0	36.0	17071.0	1524.0	269.0
60 – 64	6642.0	6472.0	501.0	2612.0	2982.0	312.0	38.0	11.0	4.0	12.0	9831.0	1519.0	170.0
65 – 69	2342.0	2293.0	142.0	875.0	1062.0	150.0	49.0	8.0	-	7.0	3741.0	1631.0	49.0
70 и более	791.0	738.0	97.0	288.0	276.0	61.0	12.0	4.0	-	-	1091.0	1478.0	53.0
Сельские населенные пункты													
Женщины в возрасте 15 лет и более	54467.0	52342.0	7180.0	15020.0	23091.0	5331.0	967.0	395.0	153.0	205.0	85555.0	1635.0	2125.0
в том числе в возрасте, лет:													
15 – 17	346.0	275.0	256.0	19.0	-	-	-	-	-	-	19.0	69.0	71.0
18 – 19	1531.0	1305.0	1181.0	115.0	9.0	-	-	-	-	-	133.0	102.0	226.0
20 – 24	5654.0	4967.0	2877.0	1773.0	304.0	13.0	-	-	-	-	2420.0	487.0	687.0
25 – 29	5891.0	5580.0	1115.0	3063.0	1217.0	134.0	24.0	12.0	4.0	11.0	6167.0	1105.0	311.0
30 – 34	5946.0	5773.0	443.0	2374.0	2490.0	374.0	72.0	12.0	4.0	4.0	8876.0	1538.0	173.0
35 – 39	7394.0	7267.0	328.0	1945.0	3996.0	794.0	123.0	41.0	20.0	20.0	13276.0	1827.0	127.0
40 – 44	9906.0	9721.0	318.0	2023.0	5531.0	1398.0	262.0	93.0	36.0	60.0	19496.0	2006.0	185.0
45 – 49	9065.0	8898.0	305.0	1763.0	4941.0	1353.0	276.0	154.0	41.0	65.0	18331.0	2060.0	167.0
50 – 54	6293.0	6173.0	232.0	1388.0	3329.0	916.0	184.0	52.0	44.0	28.0	12270.0	1988.0	120.0
55 – 59	1428.0	1388.0	53.0	295.0	819.0	181.0	9.0	18.0	-	13.0	2702.0	1947.0	40.0
60 – 64	678.0	669.0	44.0	179.0	332.0	96.0	5.0	9.0	-	4.0	1228.0	1836.0	9.0
65 – 69	223.0	219.0	12.0	72.0	91.0	24.0	12.0	4.0	4.0	-	418.0	1909.0	4.0
70 и более	112.0	107.0	16.0	11.0	32.0	48.0	-	-	-	-	219.0	2047.0	5.0
Воронежская область													
Городские и сельские населенные пункты													
Женщины в возрасте 15 лет и более	445190.0	429798.0	65816.0	170699.0	163962.0	22862.0	3611.0	1285.0	551.0	1012.0	599573.0	1395.0	15392.0
в том числе в возрасте, лет:													
15 – 17	1028.0	852.0	829.0	23.0	-	-	-	-	-	-	23.0	27.0	176.0
18 – 19	7369.0	6436.0	6090.0	321.0	25.0	-	-	-	-	-	371.0	58.0	933.0
20 – 24	39233.0	35085.0	23676.0	10450.0	826.0	55.0	25.0	4.0	37.0	12.0	12693.0	362.0	4148.0
25 – 29	50126.0	47609.0	12991.0	27841.0	6213.0	355.0	57.0	16.0	37.0	99.0	42670.0	896.0	2517.0
30 – 34	52403.0	50779.0	5699.0	27907.0	15454.0	1368.0	192.0	20.0	37.0	102.0	64784.0	1276.0	1624.0
35 – 39	61432.0	60170.0	3906.0	26030.0	26332.0	3063.0	461.0	183.0	61.0	134.0	92180.0	1532.0	1262.0
40 – 44	78913.0	77414.0	3845.0	26442.0	39811.0	5648.0	987.0	346.0	117.0	218.0	131138.0	1694.0	1499.0
45 – 49	73025.0	71583.0	3732.0	22765.0	37131.0	6155.0	961.0	462.0	152.0	225.0	124287.0	1736.0	1442.0
50 – 54	56956.0	55787.0	3351.0	19190.0	27395.0	4731.0	723.0	179.0	61.0	157.0	93649.0	1679.0	1169.0
55 – 59	14087.0	13765.0	916.0	5448.0	6437.0	775.0	97.0	32.0	16.0	44.0	21679.0	1575.0	322.0
60 – 64	7055.0	6885.0	430.0	2951.0	2993.0	405.0	54.0	24.0	20.0	8.0	10664.0	1549.0	170.0
65 – 69	2530.0	2427.0	225.0	993.0	971.0	194.0	25.0	10.0	-	9.0	3743.0	1542.0	103.0
70 и более	1033.0	1006.0	126.0	338.0	374.0	113.0	29.0	9.0	13.0	4.0	1692.0	1682.0	27.0
Городские населенные пункты													
Женщины в возрасте 15 лет и более	314738.0	302350.0	52249.0	133469.0	104221.0	9963.0	1242.0	340.0	235.0	631.0	384931.0	1273.0	12388.0
в том числе в возрасте, лет:													
15 – 17	648.0	509.0	495.0	14.0	-	-	-	-	-	-	14.0	28.0	139.0
18 – 19	5073.0	4438.0	4277.0	157.0	4.0	-	-	-	-	-	165.0	37.0	635.0
20 – 24	28339.0	25057.0	18060.0	6636.0	298.0	9.0	17.0	-	29.0	8.0	7557.0	302.0	3282.0
25 – 29	35754.0	33669.0	10709.0	20023.0	2712.0	92.0	29.0	-	33.0	71.0	26609.0	790.0	2085.0
30 – 34	36139.0	34781.0	4722.0	21515.0	7929.0	480.0	49.0	4.0	16.0	66.0	39620.0	1139.0	1358.0
35 – 39	41588.0	40599.0	3189.0	20723.0	15261.0	1157.0	147.0	24.0	16.0	82.0	56216.0	1385.0	989.0
40 – 44	54332.0	53102.0	3255.0	21440.0	25486.0	2356.0	299.0	85.0	52.0	129.0	82412.0	1552.0	1230.0
45 – 49	51846.0	50666.0	3162.0	18791.0	25237.0	2812.0	346.0	138.0	41.0	139.0	81092.0	1601.0	1180.0
50 – 54	41065.0	40120.0	2859.0	15681.0	18933.0	2202.0	276.0	61.0	24.0	84.0	62418.0	1556.0	945.0
55 – 59	11195.0	10921.0	847.0	4676.0	4862.0	440.0	44.0	12.0	4.0	36.0	16312.0	1494.0	274.0
60 – 64	5873.0	5711.0	364.0	2627.0	2425.0	251.0	12.0	12.0	12.0	8.0	8466.0	1482.0	162.0
65 – 69	2101.0	2008.0	201.0	892.0	788.0	112.0	11.0	-	-	4.0	2884.0	1436.0	93.0
70 и более	785.0	769.0	109.0	294.0	286.0	52.0	12.0	4.0	8.0	4.0	1166.0	1516.0	16.0
Сельские населенные пункты													
Женщины в возрасте 15 лет и более	130452.0	127448.0	13567.0	37230.0	59741.0	12899.0	2369.0	945.0	316.0	381.0	214642.0	1684.0	3004.0
в том числе в возрасте, лет:													
15 – 17	380.0	343.0	334.0	9.0	-	-	-	-	-	-	9.0	26.0	37.0
18 – 19	2296.0	1998.0	1813.0	164.0	21.0	-	-	-	-	-	206.0	103.0	298.0
20 – 24	10894.0	10028.0	5616.0	3814.0	528.0	46.0	8.0	4.0	8.0	4.0	5136.0	512.0	866.0
25 – 29	14372.0	13940.0	2282.0	7818.0	3501.0	263.0	28.0	16.0	4.0	28.0	16061.0	1152.0	432.0
30 – 34	16264.0	15998.0	977.0	6392.0	7525.0	888.0	143.0	16.0	21.0	36.0	25164.0	1573.0	266.0
35 – 39	19844.0	19571.0	717.0	5307.0	11071.0	1906.0	314.0	159.0	45.0	52.0	35964.0	1838.0	273.0
40 – 44	24581.0	24312.0	590.0	5002.0	14325.0	3292.0	688.0	261.0	65.0	89.0	48726.0	2004.0	269.0
