Республика Дагестан																	
	Численность лиц, владеющих соответствую-щим языком	в том числе															
польским	159.0	13.0	3.0	5.0	5.0	12.0	18.0	4.0	1.0	1.0	-	-	-	-	-	97.0	-
рутульским	25033.0	36.0	18.0	26.0	634.0	33.0	26.0	53.0	26.0	2.0	1.0	24035.0	42.0	82.0	-	19.0	-
табасаранским	112778.0	52.0	239.0	36.0	1349.0	49.0	75.0	1542.0	108840.0	2.0	2.0	24.0	468.0	1.0	1.0	97.0	1.0
таджикским	378.0	5.0	23.0	7.0	8.0	105.0	6.0	2.0	2.0	1.0	1.0	-	1.0	-	-	217.0	-
татарским	4759.0	59.0	43.0	148.0	31.0	24.0	47.0	24.0	7.0	19.0	25.0	2.0	4.0	-	1.0	4325.0	-
татским	1792.0	5.0	3.0	1.0	26.0	1.0	8.0	91.0	4.0	-	-	-	-	-	738.0	915.0	-
тиндальским	579.0	578.0	-	-	-	-	-	-	-	1.0	-	-	-	-	-	-	-
турецким	1742.0	245.0	109.0	318.0	244.0	80.0	15.0	373.0	63.0	45.0	29.0	18.0	11.0	10.0	-	182.0	-
туркменским	435.0	12.0	24.0	16.0	110.0	99.0	5.0	12.0	4.0	2.0	1.0	7.0	7.0	-	-	136.0	-
удмуртским	124.0	10.0	9.0	1.0	1.0	1.0	2.0	-	-	-	-	-	-	-	-	100.0	-
узбекским	989.0	19.0	148.0	48.0	42.0	416.0	13.0	21.0	1.0	26.0	6.0	2.0	3.0	-	-	244.0	-
украинским	3421.0	130.0	38.0	39.0	109.0	46.0	406.0	14.0	28.0	17.0	4.0	5.0	2.0	4.0	-	2579.0	-
французским	2781.0	603.0	347.0	331.0	423.0	308.0	343.0	110.0	84.0	65.0	48.0	24.0	15.0	8.0	3.0	69.0	-
хваршинским	538.0	527.0	1.0	1.0	-	5.0	1.0	-	-	1.0	-	-	-	1.0	-	1.0	-
хинди	441.0	1.0	1.0	-	-	1.0	-	-	1.0	1.0	-	-	-	-	-	436.0	-
цахурским	8122.0	34.0	2.0	7.0	13.0	3.0	3.0	12.0	2.0	1.0	3.0	42.0	-	7998.0	-	2.0	-
цезским	15259.0	15207.0	20.0	4.0	1.0	1.0	4.0	-	-	-	1.0	1.0	1.0	1.0	-	18.0	-
чамалинским	354.0	353.0	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-
чеченским	92599.0	2228.0	163.0	2390.0	89.0	194.0	83.0	17.0	5.0	87213.0	55.0	6.0	3.0	-	-	150.0	3.0
чувашским	282.0	-	-	-	4.0	-	1.0	-	2.0	6.0	1.0	1.0	2.0	-	-	265.0	-
другими языками (не перечисленными выше)	4337.0	2226.0	135.0	113.0	242.0	194.0	111.0	89.0	120.0	48.0	7.0	26.0	13.0	5.0	4.0	1004.0	-
