5. ЗАНЯТОЕ В ЭКОНОМИКЕ НАСЕЛЕНИЕ ПО ВОЗРАСТНЫМ ГРУППАМ И ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Всего		в том числе по положению в занятии					
Городское население, занятое в экономике, в возрасте 15 лет и более	48532143.0	45826816.0	2656113.0	806002.0	1562561.0	186460.0	101090.0	49214.0
в том числе в возрасте, лет:								
15 – 19	1264682.0	1226235.0	37294.0	5893.0	24639.0	4720.0	2042.0	1153.0
20 – 29	11470900.0	10916194.0	543574.0	143770.0	334551.0	43159.0	22094.0	11132.0
30 – 39	11855883.0	10998878.0	844748.0	286992.0	477912.0	50562.0	29282.0	12257.0
40 – 49	14392384.0	13536898.0	841708.0	264986.0	492473.0	53567.0	30682.0	13778.0
50 – 59	7672570.0	7342000.0	322963.0	90166.0	193201.0	26042.0	13554.0	7607.0
60 – 64	1204818.0	1161938.0	41167.0	9746.0	24596.0	4758.0	2067.0	1713.0
65 и более	670906.0	644673.0	24659.0	4449.0	15189.0	3652.0	1369.0	1574.0
Возраст не указан	15611.0	14324.0	1119.0	382.0	356.0	309.0	72.0	168.0
Средний возраст	39.3	39.3	39.0	39.1	38.9	39.2	39.1	40.3
Из общей численности занятых - население в возрасте:								
трудоспособном	45718098.0	43114510.0	2558784.0	784924.0	1502986.0	174759.0	96115.0	44804.0
старше трудоспособного	2802132.0	2701278.0	96492.0	20973.0	59090.0	11528.0	4901.0	4362.0
Мужчины, занятые в экономике, в возрасте 15 лет и более	24590626.0	23022262.0	1542660.0	523527.0	858807.0	104461.0	55865.0	25704.0
в том числе в возрасте, лет:								
15 – 19	765472.0	744876.0	19990.0	3336.0	12987.0	2596.0	1071.0	606.0
20 – 29	6211550.0	5876881.0	328525.0	93690.0	196501.0	25631.0	12703.0	6144.0
30 – 39	6041825.0	5519158.0	516034.0	193022.0	276210.0	29853.0	16949.0	6633.0
40 – 49	6751221.0	6280393.0	464001.0	166337.0	253135.0	28425.0	16104.0	6827.0
50 – 59	3769512.0	3588017.0	177650.0	57477.0	99457.0	13533.0	7183.0	3845.0
60 – 64	673715.0	649732.0	23045.0	6576.0	12787.0	2546.0	1136.0	938.0
65 и более	377331.0	363205.0	13415.0	3089.0	7730.0	1877.0	719.0	711.0
Возраст не указан	9102.0	8308.0	697.0	260.0	198.0	195.0	44.0	97.0
Средний возраст	38.9	38.9	38.6	39.0	38.3	38.7	38.8	39.8
Из общей численности занятых - население в возрасте:								
трудоспособном	23532188.0	22002448.0	1505709.0	513793.0	838009.0	99938.0	53969.0	24031.0
старше трудоспособного	1051046.0	1012937.0	36460.0	9665.0	20517.0	4423.0	1855.0	1649.0
Женщины, занятые в экономике, в возрасте 15 лет и более	23941517.0	22804554.0	1113453.0	282475.0	703754.0	81999.0	45225.0	23510.0
в том числе в возрасте, лет:								
15 – 19	499210.0	481359.0	17304.0	2557.0	11652.0	2124.0	971.0	547.0
20 – 29	5259350.0	5039313.0	215049.0	50080.0	138050.0	17528.0	9391.0	4988.0
30 – 39	5814058.0	5479720.0	328714.0	93970.0	201702.0	20709.0	12333.0	5624.0
40 – 49	7641163.0	7256505.0	377707.0	98649.0	239338.0	25142.0	14578.0	6951.0
50 – 59	3903058.0	3753983.0	145313.0	32689.0	93744.0	12509.0	6371.0	3762.0
60 – 64	531103.0	512206.0	18122.0	3170.0	11809.0	2212.0	931.0	775.0
65 и более	293575.0	281468.0	11244.0	1360.0	7459.0	1775.0	650.0	863.0
Возраст не указан	6509.0	6016.0	422.0	122.0	158.0	114.0	28.0	71.0
Средний возраст	39.8	39.8	39.5	39.3	39.5	39.9	39.5	40.9
Из общей численности занятых - население в возрасте:								
трудоспособном	22185910.0	21112062.0	1053075.0	271131.0	664977.0	74821.0	42146.0	20773.0
старше трудоспособного	1751086.0	1688341.0	60032.0	11308.0	38573.0	7105.0	3046.0	2713.0
Сельское население, занятое в экономике, в возрасте 15 лет и более	13051567.0	12477438.0	568983.0	118183.0	361593.0	64891.0	24316.0	5146.0
в том числе в возрасте, лет:								
15 – 19	382738.0	373196.0	9387.0	1001.0	6219.0	1600.0	567.0	155.0
20 – 29	2920676.0	2817666.0	101918.0	16399.0	68369.0	12222.0	4928.0	1092.0
30 – 39	3423588.0	3250340.0	171985.0	37262.0	109381.0	18414.0	6928.0	1263.0
40 – 49	4247360.0	4043960.0	201775.0	45855.0	125597.0	22098.0	8225.0	1625.0
50 – 59	1836119.0	1764597.0	70774.0	15269.0	43478.0	9047.0	2980.0	748.0
60 – 64	162877.0	155356.0	7397.0	1608.0	4716.0	720.0	353.0	124.0
65 и более	78209.0	72323.0	5747.0	789.0	3833.0	790.0	335.0	139.0
Возраст не указан	1498.0	1437.0	52.0	13.0	32.0	3.0	4.0	9.0
Средний возраст	38.7	38.7	39.5	40.4	39.3	39.5	39.1	40.0
Из общей численности занятых - население в возрасте:								
трудоспособном	12665552.0	12109058.0	551693.0	114874.0	350414.0	62975.0	23430.0	4801.0
старше трудоспособного	380286.0	362928.0	17019.0	3279.0	11005.0	1866.0	869.0	339.0
Мужчины, занятые в экономике, в возрасте 15 лет и более	7124091.0	6757681.0	363663.0	78813.0	227807.0	42304.0	14739.0	2747.0
в том числе в возрасте, лет:								
15 – 19	254706.0	249027.0	5588.0	588.0	3593.0	1069.0	338.0	91.0
20 – 29	1681952.0	1615968.0	65363.0	10658.0	43553.0	8164.0	2988.0	621.0
30 – 39	1809666.0	1698155.0	110850.0	24670.0	69781.0	12154.0	4245.0	661.0
40 – 49	2201733.0	2073731.0	127151.0	30520.0	77805.0	13947.0	4879.0	851.0
50 – 59	1033074.0	985991.0	46680.0	10627.0	28077.0	6094.0	1882.0	403.0
60 – 64	98041.0	93251.0	4733.0	1158.0	2870.0	484.0	221.0	57.0
65 и более	44919.0	41558.0	3298.0	592.0	2128.0	392.0	186.0	63.0
Возраст не указан	817.0	781.0	29.0	7.0	17.0	1.0	4.0	7.0
Средний возраст	38.4	38.4	39.6	40.6	39.2	39.3	39.1	39.5
Из общей численности занятых - население в возрасте:								
трудоспособном	6976846.0	6618764.0	355459.0	77045.0	222702.0	41393.0	14319.0	2623.0
старше трудоспособного	142960.0	134809.0	8031.0	1750.0	4998.0	876.0	407.0	120.0
Женщины, занятые в экономике, в возрасте 15 лет и более	5927476.0	5719757.0	205320.0	39370.0	133786.0	22587.0	9577.0	2399.0
в том числе в возрасте, лет:								
15 – 19	128032.0	124169.0	3799.0	413.0	2626.0	531.0	229.0	64.0
20 – 29	1238724.0	1201698.0	36555.0	5741.0	24816.0	4058.0	1940.0	471.0
30 – 39	1613922.0	1552185.0	61135.0	12592.0	39600.0	6260.0	2683.0	602.0
40 – 49	2045627.0	1970229.0	74624.0	15335.0	47792.0	8151.0	3346.0	774.0
50 – 59	803045.0	778606.0	24094.0	4642.0	15401.0	2953.0	1098.0	345.0
60 – 64	64836.0	62105.0	2664.0	450.0	1846.0	236.0	132.0	67.0
65 и более	33290.0	30765.0	2449.0	197.0	1705.0	398.0	149.0	76.0
Возраст не указан	681.0	656.0	23.0	6.0	15.0	2.0	-	2.0
Средний возраст	39.0	39.0	39.5	40.0	39.4	39.8	39.1	40.5
Из общей численности занятых - население в возрасте:								
трудоспособном	5688706.0	5490294.0	196234.0	37829.0	127712.0	21582.0	9111.0	2178.0
старше трудоспособного	237326.0	228119.0	8988.0	1529.0	6007.0	990.0	462.0	219.0
Центральный федеральный округ								
Городское и сельское население, занятое в экономике, в возрасте 15 лет и более	16907301.0	16078601.0	786188.0	228171.0	448341.0	74908.0	34768.0	42512.0
в том числе в возрасте, лет:								
15 – 19	414591.0	403308.0	10289.0	1632.0	6351.0	1627.0	679.0	994.0
20 – 29	3757120.0	3594664.0	152895.0	38796.0	90522.0	16536.0	7041.0	9561.0
30 – 39	4195572.0	3939173.0	245841.0	80247.0	135251.0	20462.0	9881.0	10558.0
40 – 49	5087925.0	4824790.0	251147.0	75506.0	143085.0	21843.0	10713.0	11988.0
50 – 59	2709361.0	2601100.0	101773.0	26942.0	59194.0	10784.0	4853.0	6488.0
60 – 64	456105.0	439934.0	14667.0	3308.0	8437.0	2008.0	914.0	1504.0
65 и более	286627.0	275632.0	9576.0	1740.0	5501.0	1648.0	687.0	1419.0
Возраст не указан	9750.0	8877.0	744.0	272.0	165.0	278.0	29.0	129.0
Средний возраст	39.8	39.8	39.5	39.5	39.4	39.7	39.8	40.4
Из общей численности занятых - население в возрасте:								
трудоспособном	15829202.0	15038647.0	751900.0	221063.0	428234.0	69986.0	32617.0	38655.0
старше трудоспособного	1073213.0	1035325.0	34068.0	7078.0	19995.0	4869.0	2126.0	3820.0
Мужчины, занятые в экономике, в возрасте 15 лет и более	8671096.0	8185544.0	463218.0	152403.0	247399.0	43666.0	19750.0	22334.0
в том числе в возрасте, лет:								
15 – 19	242195.0	236268.0	5403.0	945.0	3249.0	862.0	347.0	524.0
20 – 29	2059413.0	1961043.0	93028.0	25579.0	53057.0	10171.0	4221.0	5342.0
30 – 39	2171481.0	2013473.0	152280.0	55414.0	78339.0	12600.0	5927.0	5728.0
40 – 49	2439863.0	2292325.0	141517.0	49159.0	74396.0	12192.0	5770.0	6021.0
50 – 59	1352458.0	1291782.0	57397.0	17843.0	31056.0	5895.0	2603.0	3279.0
60 – 64	248830.0	239759.0	8263.0	2260.0	4406.0	1091.0	506.0	808.0
65 и более	156856.0	150894.0	5330.0	1203.0	2896.0	855.0	376.0	632.0
Возраст не указан	5975.0	5416.0	481.0	187.0	97.0	177.0	20.0	78.0
Средний возраст	39.4	39.4	39.2	39.4	39.0	39.2	39.4	39.8
Из общей численности занятых - население в возрасте:								
трудоспособном	8262321.0	7791959.0	449489.0	148916.0	240032.0	41692.0	18849.0	20873.0
старше трудоспособного	405686.0	390653.0	13593.0	3463.0	7302.0	1946.0	882.0	1440.0
Женщины, занятые в экономике, в возрасте 15 лет и более	8236205.0	7893057.0	322970.0	75768.0	200942.0	31242.0	15018.0	20178.0
в том числе в возрасте, лет:								
15 – 19	172396.0	167040.0	4886.0	687.0	3102.0	765.0	332.0	470.0
20 – 29	1697707.0	1633621.0	59867.0	13217.0	37465.0	6365.0	2820.0	4219.0
30 – 39	2024091.0	1925700.0	93561.0	24833.0	56912.0	7862.0	3954.0	4830.0
40 – 49	2648062.0	2532465.0	109630.0	26347.0	68689.0	9651.0	4943.0	5967.0
50 – 59	1356903.0	1309318.0	44376.0	9099.0	28138.0	4889.0	2250.0	3209.0
60 – 64	207275.0	200175.0	6404.0	1048.0	4031.0	917.0	408.0	696.0
65 и более	129771.0	124738.0	4246.0	537.0	2605.0	793.0	311.0	787.0
Возраст не указан	3775.0	3461.0	263.0	85.0	68.0	101.0	9.0	51.0
Средний возраст	40.2	40.2	39.9	39.5	40.0	40.5	40.4	41.0
Из общей численности занятых - население в возрасте:								
трудоспособном	7566881.0	7246688.0	302411.0	72147.0	188202.0	28294.0	13768.0	17782.0
старше трудоспособного	667527.0	644672.0	20475.0	3615.0	12693.0	2923.0	1244.0	2380.0
Городское население, занятое в экономике, в возрасте 15 лет и более	14186319.0	13442629.0	704463.0	208879.0	398804.0	65803.0	30977.0	39227.0
в том числе в возрасте, лет:								
15 – 19	337005.0	327112.0	9002.0	1465.0	5553.0	1400.0	584.0	891.0
20 – 29	3171659.0	3024131.0	138634.0	36017.0	81515.0	14799.0	6303.0	8894.0
30 – 39	3495226.0	3264286.0	221180.0	74079.0	120297.0	17940.0	8864.0	9760.0
40 – 49	4208966.0	3976237.0	221757.0	68111.0	125430.0	18811.0	9405.0	10972.0
50 – 59	2303410.0	2206069.0	91368.0	24541.0	53023.0	9443.0	4361.0	5973.0
60 – 64	408931.0	393851.0	13662.0	3046.0	7899.0	1871.0	846.0	1418.0
65 и более	261122.0	250943.0	8860.0	1620.0	5087.0	1539.0	614.0	1319.0
Возраст не указан	9308.0	8454.0	733.0	270.0	159.0	276.0	28.0	121.0
Средний возраст	39.9	39.9	39.5	39.4	39.4	39.7	39.8	40.4
Из общей численности занятых - население в возрасте:								
трудоспособном	13218612.0	12510428.0	672565.0	202301.0	380049.0	61199.0	29016.0	35619.0
старше трудоспособного	964095.0	928801.0	31719.0	6552.0	18669.0	4556.0	1942.0	3575.0
Сельское население, занятое в экономике, в возрасте 15 лет и более	2720982.0	2635972.0	81725.0	19292.0	49537.0	9105.0	3791.0	3285.0
в том числе в возрасте, лет:								
15 – 19	77586.0	76196.0	1287.0	167.0	798.0	227.0	95.0	103.0
20 – 29	585461.0	570533.0	14261.0	2779.0	9007.0	1737.0	738.0	667.0
30 – 39	700346.0	674887.0	24661.0	6168.0	14954.0	2522.0	1017.0	798.0
40 – 49	878959.0	848553.0	29390.0	7395.0	17655.0	3032.0	1308.0	1016.0
50 – 59	405951.0	395031.0	10405.0	2401.0	6171.0	1341.0	492.0	515.0
60 – 64	47174.0	46083.0	1005.0	262.0	538.0	137.0	68.0	86.0
65 и более	25505.0	24689.0	716.0	120.0	414.0	109.0	73.0	100.0
Возраст не указан	442.0	423.0	11.0	2.0	6.0	2.0	1.0	8.0
Средний возраст	39.2	39.2	39.6	40.2	39.4	39.6	39.7	40.4
Из общей численности занятых - население в возрасте:								
трудоспособном	2610590.0	2528219.0	79335.0	18762.0	48185.0	8787.0	3601.0	3036.0
старше трудоспособного	109118.0	106524.0	2349.0	526.0	1326.0	313.0	184.0	245.0
Белгородская область								
Городское и сельское население, занятое в экономике, в возрасте 15 лет и более	605045.0	571371.0	33235.0	8877.0	21515.0	2018.0	825.0	439.0
в том числе в возрасте, лет:								
15 – 19	11376.0	11023.0	343.0	65.0	234.0	36.0	8.0	10.0
20 – 29	137878.0	131214.0	6551.0	1530.0	4391.0	453.0	177.0	113.0
30 – 39	159084.0	148420.0	10550.0	3141.0	6617.0	553.0	239.0	114.0
40 – 49	194283.0	182985.0	11168.0	3026.0	7266.0	612.0	264.0	130.0
50 – 59	88838.0	84812.0	3977.0	980.0	2586.0	308.0	103.0	49.0
60 – 64	9169.0	8769.0	392.0	99.0	242.0	33.0	18.0	8.0
65 и более	4417.0	4148.0	254.0	36.0	179.0	23.0	16.0	15.0
Возраст не указан	101.0	92.0	5.0	-	5.0	-	-	4.0
Средний возраст	39.0	39.0	39.1	39.1	39.0	39.2	39.7	39.3
Из общей численности занятых - население в возрасте:								
трудоспособном	584153.0	551452.0	32291.0	8676.0	20905.0	1931.0	779.0	410.0
старше трудоспособного	20774.0	19808.0	939.0	201.0	607.0	85.0	46.0	27.0
Мужчины, занятые в экономике, в возрасте 15 лет и более	308690.0	289389.0	19082.0	5708.0	11894.0	1033.0	447.0	219.0
в том числе в возрасте, лет:								
15 – 19	6196.0	5993.0	197.0	42.0	130.0	21.0	4.0	6.0
20 – 29	73957.0	69981.0	3918.0	1004.0	2544.0	264.0	106.0	58.0
30 – 39	79278.0	72991.0	6228.0	2023.0	3798.0	285.0	122.0	59.0
40 – 49	93967.0	87784.0	6118.0	1915.0	3778.0	286.0	139.0	65.0
50 – 59	47327.0	45053.0	2253.0	631.0	1419.0	148.0	55.0	21.0
60 – 64	5497.0	5259.0	234.0	65.0	141.0	18.0	10.0	4.0
65 и более	2468.0	2328.0	134.0	28.0	84.0	11.0	11.0	6.0
Возраст не указан	45.0	40.0	2.0	-	2.0	-	-	3.0
Средний возраст	39.0	39.0	38.8	39.1	38.7	38.5	39.6	38.8
Из общей численности занятых - население в возрасте:								
трудоспособном	300639.0	281721.0	18711.0	5615.0	11667.0	1003.0	426.0	207.0
старше трудоспособного	7965.0	7587.0	368.0	93.0	225.0	29.0	21.0	10.0
Женщины, занятые в экономике, в возрасте 15 лет и более	296355.0	281982.0	14153.0	3169.0	9621.0	985.0	378.0	220.0
в том числе в возрасте, лет:								
15 – 19	5180.0	5030.0	146.0	23.0	104.0	15.0	4.0	4.0
20 – 29	63921.0	61233.0	2633.0	526.0	1847.0	189.0	71.0	55.0
30 – 39	79806.0	75429.0	4322.0	1118.0	2819.0	268.0	117.0	55.0
40 – 49	100316.0	95201.0	5050.0	1111.0	3488.0	326.0	125.0	65.0
50 – 59	41511.0	39759.0	1724.0	349.0	1167.0	160.0	48.0	28.0
60 – 64	3672.0	3510.0	158.0	34.0	101.0	15.0	8.0	4.0
65 и более	1949.0	1820.0	120.0	8.0	95.0	12.0	5.0	9.0
Возраст не указан	56.0	52.0	3.0	-	3.0	-	-	1.0
Средний возраст	39.1	39.1	39.5	39.2	39.5	40.0	39.8	39.8
Из общей численности занятых - население в возрасте:								
трудоспособном	283514.0	269731.0	13580.0	3061.0	9238.0	928.0	353.0	203.0
старше трудоспособного	12809.0	12221.0	571.0	108.0	382.0	56.0	25.0	17.0
Городское население, занятое в экономике, в возрасте 15 лет и более	432588.0	403569.0	28711.0	7657.0	18552.0	1874.0	628.0	308.0
в том числе в возрасте, лет:								
15 – 19	7643.0	7345.0	291.0	56.0	199.0	30.0	6.0	7.0
20 – 29	100448.0	94568.0	5801.0	1349.0	3892.0	424.0	136.0	79.0
30 – 39	110018.0	100871.0	9064.0	2744.0	5626.0	508.0	186.0	83.0
40 – 49	139483.0	129802.0	9590.0	2570.0	6252.0	569.0	199.0	91.0
50 – 59	64812.0	61348.0	3429.0	831.0	2234.0	290.0	74.0	35.0
60 – 64	7061.0	6715.0	341.0	79.0	217.0	30.0	15.0	5.0
65 и более	3123.0	2920.0	195.0	28.0	132.0	23.0	12.0	8.0
Возраст не указан	77.0	70.0	4.0	-	4.0	-	-	3.0
Средний возраст	39.1	39.1	39.0	39.0	38.9	39.3	39.5	39.0
Из общей численности занятых - население в возрасте:								
трудоспособном	416723.0	388525.0	27906.0	7494.0	18026.0	1793.0	593.0	292.0
старше трудоспособного	15795.0	14980.0	800.0	163.0	523.0	79.0	35.0	15.0
Сельское население, занятое в экономике, в возрасте 15 лет и более	172457.0	167802.0	4524.0	1220.0	2963.0	144.0	197.0	131.0
в том числе в возрасте, лет:								
15 – 19	3733.0	3678.0	52.0	9.0	35.0	6.0	2.0	3.0
20 – 29	37430.0	36646.0	750.0	181.0	499.0	29.0	41.0	34.0
30 – 39	49066.0	47549.0	1486.0	397.0	991.0	45.0	53.0	31.0
40 – 49	54800.0	53183.0	1578.0	456.0	1014.0	43.0	65.0	39.0
50 – 59	24026.0	23464.0	548.0	149.0	352.0	18.0	29.0	14.0
60 – 64	2108.0	2054.0	51.0	20.0	25.0	3.0	3.0	3.0
65 и более	1294.0	1228.0	59.0	8.0	47.0	-	4.0	7.0
Возраст не указан	24.0	22.0	1.0	-	1.0	-	-	1.0
Средний возраст	38.8	38.8	39.8	40.2	39.6	38.1	40.2	39.9
Из общей численности занятых - население в возрасте:								
трудоспособном	167430.0	162927.0	4385.0	1182.0	2879.0	138.0	186.0	118.0
старше трудоспособного	4979.0	4828.0	139.0	38.0	84.0	6.0	11.0	12.0
Брянская область								
Городское и сельское население, занятое в экономике, в возрасте 15 лет и более	533429.0	503581.0	29670.0	6745.0	20589.0	1734.0	602.0	178.0
в том числе в возрасте, лет:								
15 – 19	10775.0	10354.0	415.0	66.0	302.0	35.0	12.0	6.0
20 – 29	124506.0	117679.0	6782.0	1380.0	4844.0	417.0	141.0	45.0
30 – 39	142207.0	132597.0	9571.0	2372.0	6521.0	483.0	195.0	39.0
40 – 49	169069.0	159661.0	9357.0	2195.0	6460.0	525.0	177.0	51.0
50 – 59	75581.0	72542.0	3014.0	645.0	2095.0	219.0	55.0	25.0
60 – 64	7668.0	7327.0	338.0	59.0	235.0	29.0	15.0	3.0
65 и более	3623.0	3421.0	193.0	28.0	132.0	26.0	7.0	9.0
Возраст не указан	5.0	4.0	1.0	1.0	-	-	-	-
Средний возраст	38.8	38.8	38.1	38.2	38.0	38.7	38.1	39.4
Из общей численности занятых - население в возрасте:								
трудоспособном	515125.0	486047.0	28917.0	6618.0	20056.0	1668.0	575.0	161.0
старше трудоспособного	18200.0	17437.0	748.0	127.0	528.0	66.0	27.0	15.0
Мужчины, занятые в экономике, в возрасте 15 лет и более	262755.0	246592.0	16081.0	4187.0	10582.0	971.0	341.0	82.0
в том числе в возрасте, лет:								
15 – 19	5355.0	5164.0	187.0	29.0	136.0	14.0	8.0	4.0
20 – 29	63718.0	59931.0	3764.0	856.0	2576.0	252.0	80.0	23.0
30 – 39	69028.0	63615.0	5398.0	1501.0	3509.0	276.0	112.0	15.0
40 – 49	79213.0	74342.0	4842.0	1337.0	3127.0	278.0	100.0	29.0
50 – 59	38850.0	37236.0	1605.0	407.0	1051.0	121.0	26.0	9.0
60 – 64	4533.0	4341.0	191.0	36.0	124.0	19.0	12.0	1.0
65 и более	2058.0	1963.0	94.0	21.0	59.0	11.0	3.0	1.0
Возраст не указан	1.0	1.0	-	-	-	-	-	-
Средний возраст	38.8	38.8	37.9	38.3	37.7	38.3	37.8	37.1
Из общей численности занятых - население в возрасте:								
трудоспособном	256093.0	240220.0	15794.0	4130.0	10397.0	941.0	326.0	79.0
старше трудоспособного	6591.0	6304.0	285.0	57.0	183.0	30.0	15.0	2.0
Женщины, занятые в экономике, в возрасте 15 лет и более	270674.0	256989.0	13589.0	2558.0	10007.0	763.0	261.0	96.0
в том числе в возрасте, лет:								
15 – 19	5420.0	5190.0	228.0	37.0	166.0	21.0	4.0	2.0
20 – 29	60788.0	57748.0	3018.0	524.0	2268.0	165.0	61.0	22.0
30 – 39	73179.0	68982.0	4173.0	871.0	3012.0	207.0	83.0	24.0
40 – 49	89856.0	85319.0	4515.0	858.0	3333.0	247.0	77.0	22.0
50 – 59	36731.0	35306.0	1409.0	238.0	1044.0	98.0	29.0	16.0
60 – 64	3135.0	2986.0	147.0	23.0	111.0	10.0	3.0	2.0
65 и более	1565.0	1458.0	99.0	7.0	73.0	15.0	4.0	8.0
Возраст не указан	4.0	3.0	1.0	1.0	-	-	-	-
Средний возраст	38.8	38.8	38.3	38.1	38.2	39.1	38.4	41.3
Из общей численности занятых - население в возрасте:								
трудоспособном	259032.0	245827.0	13123.0	2488.0	9659.0	727.0	249.0	82.0
старше трудоспособного	11609.0	11133.0	463.0	70.0	345.0	36.0	12.0	13.0
Городское население, занятое в экономике, в возрасте 15 лет и более	401517.0	375410.0	25989.0	5996.0	18169.0	1309.0	515.0	118.0
в том числе в возрасте, лет:								
15 – 19	7923.0	7575.0	344.0	55.0	255.0	26.0	8.0	4.0
20 – 29	94741.0	88800.0	5912.0	1250.0	4230.0	323.0	109.0	29.0
30 – 39	103585.0	95165.0	8392.0	2113.0	5755.0	352.0	172.0	28.0
40 – 49	126001.0	117829.0	8138.0	1914.0	5686.0	380.0	158.0	34.0
50 – 59	59421.0	56694.0	2711.0	586.0	1903.0	175.0	47.0	16.0
60 – 64	6737.0	6423.0	311.0	54.0	215.0	27.0	15.0	3.0
65 и более	3109.0	2924.0	181.0	24.0	125.0	26.0	6.0	4.0
Возраст не указан	4.0	4.0	-	-	-	-	-	-
Средний возраст	38.9	39.0	38.2	38.2	38.1	38.9	38.6	39.2
Из общей численности занятых - население в возрасте:								
трудоспособном	385767.0	360370.0	25290.0	5883.0	17672.0	1246.0	489.0	107.0
старше трудоспособного	15693.0	14987.0	696.0	113.0	494.0	63.0	26.0	10.0
Сельское население, занятое в экономике, в возрасте 15 лет и более	131912.0	128171.0	3681.0	749.0	2420.0	425.0	87.0	60.0
в том числе в возрасте, лет:								
15 – 19	2852.0	2779.0	71.0	11.0	47.0	9.0	4.0	2.0
20 – 29	29765.0	28879.0	870.0	130.0	614.0	94.0	32.0	16.0
30 – 39	38622.0	37432.0	1179.0	259.0	766.0	131.0	23.0	11.0
