2.4. НАСЕЛЕНИЕ ПО УРОВНЮ ОБРАЗОВАНИЯ И ПОЛУ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 									
(на 1000 человек соответствующего пола и возраста)									
									
	Имеющие образование								Не имеющие начального общего образования
2002.0	5.0	205.0	37.0	255.0	125.0	219.0	104.0	37.0	3.0
Женщины									
1989.0	...	146.0	24.0	206.0	78.0	213.0	144.0	102.0	87.0
2002.0	3.0	213.0	35.0	278.0	86.0	195.0	107.0	63.0	11.0
Сельское население									
1989.0	...	39.0	6.0	114.0	93.0	156.0	176.0	245.0	171.0
2002.0	1.0	71.0	11.0	199.0	136.0	198.0	178.0	173.0	32.0
Мужчины									
1989.0	...	41.0	5.0	106.0	148.0	200.0	188.0	243.0	69.0
2002.0	1.0	68.0	10.0	180.0	181.0	229.0	182.0	135.0	13.0
Женщины									
1989.0	...	38.0	6.0	119.0	52.0	123.0	167.0	247.0	248.0
2002.0	1.0	74.0	11.0	215.0	100.0	172.0	175.0	204.0	47.0
Ивановская область									
Городское и сельское население									
1989.0	...	88.0	16.0	183.0	135.0	164.0	193.0	161.0	60.0
2002.0	2.0	135.0	23.0	258.0	149.0	164.0	150.0	91.0	7.0
Мужчины									
1989.0	...	88.0	15.0	159.0	175.0	185.0	206.0	149.0	23.0
2002.0	3.0	125.0	23.0	236.0	181.0	178.0	156.0	71.0	5.0
Женщины									
1989.0	...	89.0	17.0	201.0	104.0	148.0	183.0	170.0	88.0
2002.0	2.0	143.0	22.0	276.0	125.0	153.0	143.0	107.0	9.0
Городское население									
1989.0	...	99.0	18.0	192.0	134.0	174.0	191.0	141.0	51.0
2002.0	3.0	147.0	25.0	267.0	142.0	168.0	140.0	77.0	6.0
Мужчины									
1989.0	...	100.0	18.0	169.0	169.0	193.0	203.0	129.0	19.0
2002.0	3.0	139.0	26.0	247.0	170.0	182.0	145.0	59.0	3.0
Женщины									
1989.0	...	97.0	19.0	209.0	107.0	159.0	182.0	151.0	76.0
2002.0	2.0	154.0	25.0	282.0	122.0	158.0	134.0	92.0	7.0
Сельское население									
1989.0	...	43.0	7.0	143.0	138.0	121.0	200.0	251.0	97.0
2002.0	1.0	76.0	11.0	218.0	182.0	144.0	196.0	157.0	13.0
Мужчины									
1989.0	...	37.0	6.0	115.0	198.0	149.0	216.0	237.0	42.0
2002.0	1.0	63.0	9.0	185.0	231.0	162.0	207.0	129.0	11.0
Женщины									
1989.0	...	48.0	7.0	165.0	90.0	98.0	188.0	262.0	142.0
2002.0	1.0	87.0	11.0	247.0	140.0	129.0	187.0	181.0	16.0
Калужская область									
Городское и сельское население									
1989.0	...	111.0	12.0	204.0	137.0	161.0	170.0	139.0	66.0
2002.0	2.0	160.0	24.0	305.0	128.0	157.0	131.0	81.0	8.0
Мужчины									
1989.0	...	118.0	11.0	174.0	203.0	177.0	172.0	122.0	23.0
2002.0	3.0	159.0	24.0	285.0	170.0	162.0	130.0	58.0	4.0
Женщины									
1989.0	...	106.0	12.0	228.0	84.0	148.0	168.0	153.0	101.0
2002.0	2.0	161.0	23.0	321.0	93.0	153.0	132.0	100.0	11.0
Городское население									
1989.0	...	141.0	14.0	232.0	138.0	179.0	159.0	95.0	42.0
2002.0	3.0	187.0	28.0	329.0	114.0	162.0	116.0	52.0	4.0
Мужчины									
1989.0	...	149.0	14.0	199.0	193.0	191.0	159.0	82.0	13.0
2002.0	4.0	187.0	28.0	311.0	146.0	164.0	116.0	37.0	2.0
Женщины									
1989.0	...	134.0	15.0	258.0	93.0	170.0	159.0	106.0	65.0
2002.0	2.0	188.0	27.0	344.0	89.0	159.0	116.0	64.0	6.0
Сельское население									
1989.0	...	47.0	6.0	144.0	135.0	123.0	192.0	234.0	119.0
2002.0	1.0	77.0	12.0	232.0	165.0	143.0	179.0	171.0	18.0
Мужчины									
1989.0	...	48.0	6.0	119.0	225.0	148.0	201.0	210.0	43.0
2002.0	1.0	74.0	11.0	207.0	244.0	154.0	175.0	123.0	9.0
Женщины									
1989.0	...	46.0	6.0	164.0	65.0	102.0	186.0	253.0	178.0
2002.0	1.0	80.0	12.0	253.0	102.0	134.0	182.0	210.0	25.0
Костромская область									
Городское и сельское население									
1989.0	...	83.0	14.0	193.0	126.0	143.0	181.0	174.0	86.0
2002.0	1.0	129.0	19.0	307.0	134.0	132.0	149.0	108.0	12.0
Мужчины									
1989.0	...	83.0	14.0	155.0	181.0	170.0	194.0	170.0	33.0
2002.0	2.0	120.0	19.0	274.0	175.0	149.0	156.0	90.0	6.0
Женщины									
1989.0	...	84.0	15.0	223.0	82.0	121.0	170.0	177.0	128.0
2002.0	1.0	136.0	20.0	333.0	100.0	118.0	144.0	123.0	16.0
Городское население									
1989.0	...	103.0	18.0	214.0	124.0	158.0	183.0	139.0	61.0
2002.0	2.0	157.0	23.0	333.0	120.0	136.0	134.0	77.0	6.0
Мужчины									
1989.0	...	104.0	18.0	176.0	171.0	180.0	196.0	134.0	21.0
2002.0	2.0	151.0	23.0	305.0	153.0	148.0	141.0	62.0	3.0
Женщины									
1989.0	...	102.0	18.0	245.0	86.0	140.0	173.0	143.0	93.0
2002.0	1.0	162.0	23.0	355.0	93.0	126.0	130.0	89.0	9.0
Сельское население									
1989.0	...	42.0	6.0	144.0	131.0	110.0	176.0	251.0	140.0
2002.0	1.0	71.0	11.0	252.0	161.0	125.0	181.0	174.0	23.0
Мужчины									
1989.0	...	37.0	5.0	107.0	203.0	147.0	191.0	251.0	59.0
2002.0	1.0	59.0	11.0	211.0	219.0	150.0	187.0	148.0	13.0
Женщины									
1989.0	...	45.0	7.0	174.0	73.0	81.0	164.0	251.0	205.0
2002.0	1.0	80.0	12.0	286.0	113.0	103.0	175.0	197.0	32.0
Курская область									
Городское и сельское население									
1989.0	...	79.0	13.0	160.0	126.0	171.0	175.0	181.0	95.0
2002.0	2.0	133.0	21.0	253.0	156.0	159.0	143.0	115.0	15.0
Мужчины									
1989.0	...	79.0	13.0	138.0	188.0	195.0	179.0	171.0	37.0
2002.0	2.0	127.0	21.0	231.0	209.0	170.0	142.0	89.0	6.0
Женщины									
1989.0	...	80.0	13.0	178.0	77.0	152.0	171.0	189.0	140.0
2002.0	2.0	139.0	22.0	270.0	113.0	150.0	144.0	136.0	21.0
Городское население									
1989.0	...	119.0	19.0	212.0	144.0	209.0	157.0	92.0	48.0
2002.0	3.0	178.0	29.0	291.0	150.0	171.0	114.0	54.0	6.0
Мужчины									
1989.0	...	117.0	19.0	181.0	196.0	229.0	159.0	82.0	17.0
2002.0	3.0	169.0	28.0	268.0	190.0	181.0	114.0	40.0	3.0
Женщины									
1989.0	...	121.0	19.0	236.0	102.0	193.0	156.0	100.0	73.0
2002.0	2.0	186.0	30.0	310.0	118.0	163.0	114.0	64.0	9.0
Сельское население									
1989.0	...	29.0	5.0	95.0	104.0	123.0	197.0	294.0	153.0
2002.0	1.0	62.0	9.0	191.0	166.0	140.0	190.0	212.0	28.0
Мужчины									
1989.0	...	30.0	5.0	82.0	178.0	152.0	205.0	285.0	63.0
2002.0	1.0	61.0	8.0	173.0	241.0	152.0	185.0	165.0	12.0
Женщины									
1989.0	...	29.0	5.0	106.0	45.0	100.0	191.0	301.0	223.0
2002.0	1.0	62.0	9.0	206.0	106.0	130.0	193.0	251.0	41.0
Липецкая область									
Городское и сельское население									
1989.0	...	84.0	12.0	182.0	146.0	150.0	176.0	153.0	97.0
2002.0	1.0	137.0	21.0	285.0	160.0	141.0	132.0	99.0	16.0
Мужчины									
1989.0	...	83.0	11.0	166.0	200.0	174.0	187.0	144.0	35.0
2002.0	2.0	129.0	20.0	271.0	202.0	151.0	134.0	76.0	7.0
Женщины									
1989.0	...	85.0	12.0	195.0	103.0	130.0	166.0	161.0	148.0
2002.0	1.0	145.0	21.0	296.0	127.0	131.0	130.0	117.0	24.0
Городское население									
1989.0	...	112.0	15.0	222.0	168.0	165.0	164.0	99.0	55.0
2002.0	2.0	172.0	27.0	321.0	155.0	138.0	110.0	57.0	7.0
Мужчины									
1989.0	...	110.0	15.0	202.0	217.0	180.0	168.0	90.0	18.0
2002.0	2.0	161.0	27.0	311.0	189.0	141.0	110.0	44.0	3.0
Женщины									
1989.0	...	115.0	15.0	238.0	127.0	153.0	160.0	106.0	86.0
2002.0	2.0	180.0	27.0	329.0	127.0	134.0	110.0	69.0	11.0
Сельское население									
1989.0	...	39.0	6.0	118.0	112.0	125.0	195.0	240.0	165.0
2002.0	0.0	75.0	10.0	218.0	170.0	146.0	173.0	174.0	33.0
Мужчины									
1989.0	...	39.0	5.0	104.0	171.0	164.0	219.0	235.0	63.0
2002.0	1.0	69.0	9.0	198.0	225.0	168.0	180.0	136.0	13.0
Женщины									
1989.0	...	40.0	6.0	129.0	67.0	95.0	176.0	245.0	242.0
2002.0	0.0	80.0	11.0	235.0	125.0	128.0	166.0	205.0	49.0
Московская область									
Городское и сельское население									
1989.0	...	148.0	18.0	209.0	110.0	177.0	176.0	114.0	46.0
2002.0	5.0	202.0	36.0	279.0	97.0	170.0	121.0	58.0	4.0
Мужчины									
1989.0	...	165.0	18.0	179.0	148.0	197.0	175.0	99.0	17.0
2002.0	6.0	211.0	37.0	258.0	115.0	181.0	119.0	41.0	2.0
Женщины									
1989.0	...	135.0	18.0	233.0	80.0	162.0	176.0	125.0	69.0
2002.0	3.0	194.0	35.0	296.0	81.0	161.0	124.0	72.0	6.0
Городское население									
1989.0	...	166.0	20.0	219.0	105.0	181.0	169.0	98.0	40.0
2002.0	5.0	221.0	39.0	282.0	88.0	168.0	112.0	48.0	3.0
Мужчины									
1989.0	...	187.0	20.0	188.0	139.0	198.0	167.0	84.0	15.0
2002.0	7.0	231.0	41.0	262.0	103.0	177.0	109.0	33.0	2.0
Женщины									
1989.0	...	150.0	20.0	243.0	79.0	167.0	170.0	109.0	60.0
2002.0	4.0	212.0	38.0	299.0	76.0	160.0	115.0	60.0	4.0
Сельское население									
1989.0	...	76.0	10.0	172.0	127.0	161.0	203.0	177.0	72.0
2002.0	3.0	127.0	24.0	265.0	127.0	181.0	160.0	96.0	8.0
Мужчины									
1989.0	...	80.0	10.0	143.0	180.0	189.0	208.0	160.0	28.0
2002.0	4.0	132.0	24.0	241.0	158.0	198.0	158.0	70.0	5.0
Женщины									
1989.0	...	73.0	10.0	195.0	86.0	139.0	199.0	189.0	107.0
2002.0	2.0	124.0	25.0	285.0	101.0	166.0	160.0	118.0	11.0
Орловская область									
Городское и сельское население									
1989.0	...	88.0	13.0	171.0	139.0	165.0	187.0	158.0	79.0
2002.0	2.0	145.0	24.0	258.0	152.0	158.0	145.0	98.0	11.0
Мужчины									
1989.0	...	83.0	13.0	151.0	200.0	184.0	191.0	148.0	30.0
2002.0	3.0	131.0	24.0	242.0	200.0	168.0	144.0	76.0	5.0
Женщины									
1989.0	...	91.0	13.0	188.0	89.0	150.0	183.0	167.0	119.0
2002.0	2.0	155.0	23.0	272.0	115.0	149.0	145.0	117.0	15.0
Городское население									
1989.0	...	121.0	18.0	212.0	145.0	196.0	171.0	92.0	45.0
2002.0	3.0	186.0	31.0	293.0	134.0	167.0	117.0	53.0	5.0
Мужчины									
1989.0	...	114.0	18.0	186.0	197.0	213.0	174.0	83.0	15.0
2002.0	4.0	170.0	32.0	280.0	168.0	177.0	116.0	40.0	2.0
Женщины									
1989.0	...	126.0	18.0	232.0	104.0	182.0	169.0	100.0	69.0
2002.0	3.0	199.0	30.0	304.0	107.0	159.0	117.0	63.0	7.0
Сельское население									
1989.0	...	36.0	6.0	107.0	127.0	117.0	212.0	262.0	133.0
2002.0	1.0	71.0	11.0	196.0	185.0	140.0	194.0	180.0	21.0
Мужчины									
1989.0	...	35.0	6.0	94.0	205.0	138.0	219.0	250.0	53.0
2002.0	1.0	64.0	10.0	177.0	253.0	152.0	193.0	140.0	9.0
Женщины									
1989.0	...	37.0	6.0	118.0	66.0	99.0	206.0	272.0	196.0
2002.0	1.0	76.0	11.0	213.0	129.0	131.0	194.0	214.0	30.0
Рязанская область									
Городское и сельское население									
1989.0	...	87.0	15.0	183.0	124.0	157.0	191.0	163.0	80.0
2002.0	2.0	139.0	23.0	275.0	140.0	150.0	146.0	100.0	13.0
Мужчины									
1989.0	...	90.0	19.0	153.0	184.0	176.0	198.0	151.0	29.0
2002.0	2.0	140.0	24.0	244.0	187.0	161.0	144.0	80.0	6.0
Женщины									
1989.0	...	84.0	13.0	206.0	77.0	141.0	185.0	173.0	121.0
2002.0	1.0	138.0	23.0	300.0	101.0	142.0	149.0	116.0	18.0
Городское население									
1989.0	...	118.0	22.0	225.0	131.0	184.0	176.0	98.0	46.0
2002.0	2.0	173.0	30.0	311.0	126.0	160.0	120.0	55.0	6.0
Мужчины									
1989.0	...	122.0	26.0	188.0	180.0	200.0	178.0	90.0	16.0
2002.0	3.0	175.0	31.0	278.0	160.0	171.0	118.0	44.0	3.0
Женщины									
1989.0	...	116.0	18.0	256.0	91.0	170.0	173.0	105.0	71.0
2002.0	2.0	171.0	29.0	338.0	99.0	150.0	121.0	64.0	9.0
Сельское население									
1989.0	...	32.0	5.0	107.0	112.0	109.0	217.0	278.0	140.0
2002.0	1.0	64.0	9.0	194.0	172.0	128.0	205.0	199.0	27.0
Мужчины									
1989.0	...	33.0	5.0	89.0	191.0	132.0	235.0	262.0	53.0
2002.0	1.0	62.0	8.0	167.0	249.0	138.0	200.0	161.0	13.0
Женщины									
1989.0	...	32.0	5.0	121.0	52.0	91.0	204.0	289.0	206.0
2002.0	1.0	66.0	9.0	217.0	110.0	120.0	208.0	230.0	38.0
Смоленская область									
Городское и сельское население									
1989.0	...	87.0	14.0	196.0	119.0	156.0	200.0	150.0	78.0
2002.0	2.0	136.0	20.0	296.0	130.0	152.0	153.0	93.0	11.0
Мужчины									
1989.0	...	88.0	14.0	169.0	165.0	184.0	215.0	139.0	26.0
2002.0	2.0	131.0	20.0	268.0	164.0	170.0	160.0	73.0	5.0
Женщины									
1989.0	...	86.0	15.0	218.0	81.0	133.0	189.0	159.0	119.0
2002.0	2.0	140.0	20.0	319.0	103.0	137.0	148.0	109.0	15.0
Городское население									
1989.0	...	110.0	18.0	228.0	125.0	182.0	189.0	101.0	47.0
2002.0	2.0	165.0	24.0	329.0	117.0	160.0	129.0	58.0	6.0
Мужчины									
1989.0	...	111.0	18.0	197.0	164.0	208.0	197.0	91.0	14.0
2002.0	3.0	160.0	24.0	302.0	142.0	177.0	134.0	45.0	3.0
Женщины									
1989.0	...	109.0	19.0	254.0	93.0	160.0	182.0	109.0	74.0
2002.0	2.0	168.0	24.0	350.0	97.0	147.0	125.0	69.0	9.0
Сельское население									
1989.0	...	40.0	6.0	130.0	106.0	104.0	225.0	249.0	140.0
2002.0	0.0	68.0	9.0	219.0	162.0	131.0	211.0	176.0	23.0
Мужчины									
1989.0	...	41.0	6.0	109.0	168.0	135.0	250.0	239.0	52.0
2002.0	0.0	63.0	9.0	188.0	217.0	152.0	221.0	138.0	11.0
Женщины									
1989.0	...	40.0	7.0	146.0	59.0	79.0	205.0	256.0	208.0
2002.0	0.0	71.0	10.0	244.0	116.0	113.0	204.0	209.0	32.0
Тамбовская область									
Городское и сельское население									
1989.0	...	80.0	13.0	173.0	107.0	168.0	177.0	165.0	117.0
2002.0	2.0	127.0	20.0	266.0	137.0	165.0	150.0	109.0	19.0
Мужчины									
1989.0	...	78.0	14.0	151.0	159.0	195.0	187.0	166.0	50.0
2002.0	2.0	120.0	21.0	240.0	180.0	182.0	154.0	88.0	8.0
Женщины									
1989.0	...	81.0	12.0	190.0	67.0	145.0	169.0	165.0	171.0
2002.0	1.0	133.0	20.0	287.0	102.0	151.0	147.0	127.0	27.0
Городское население									
1989.0	...	113.0	19.0	219.0	111.0	198.0	165.0	108.0	67.0
2002.0	3.0	170.0	27.0	310.0	122.0	170.0	121.0	62.0	9.0
Мужчины									
1989.0	...	111.0	21.0	193.0	156.0	220.0	170.0	103.0	26.0
2002.0	3.0	164.0	30.0	284.0	154.0	183.0	123.0	49.0	4.0
Женщины									
1989.0	...	115.0	16.0	240.0	76.0	180.0	162.0	111.0	100.0
2002.0	2.0	174.0	25.0	330.0	96.0	159.0	121.0	73.0	14.0
Сельское население									
1989.0	...	39.0	6.0	116.0	103.0	130.0	191.0	236.0	179.0
2002.0	1.0	69.0	10.0	207.0	157.0	159.0	189.0	173.0	32.0
Мужчины									
1989.0	...	37.0	5.0	100.0	162.0	165.0	208.0	243.0	80.0
2002.0	1.0	62.0	9.0	183.0	213.0	182.0	194.0	139.0	14.0
Женщины									
1989.0	...	41.0	6.0	128.0	55.0	103.0	177.0	231.0	259.0
2002.0	1.0	75.0	11.0	228.0	109.0	140.0	184.0	202.0	47.0
Тверская область									
Городское и сельское население									
1989.0	...	88.0	13.0	201.0	127.0	150.0	185.0	167.0	69.0
2002.0	2.0	130.0	21.0	296.0	144.0	146.0	144.0	98.0	9.0
Мужчины									
1989.0	...	93.0	12.0	172.0	185.0	172.0	191.0	150.0	25.0
2002.0	3.0	129.0	21.0	264.0	188.0	159.0	144.0	77.0	5.0
Женщины									
1989.0	...	84.0	14.0	222.0	83.0	133.0	180.0	181.0	103.0
2002.0	2.0	131.0	21.0	321.0	111.0	135.0	142.0	115.0	12.0
Городское население									
1989.0	...	110.0	16.0	228.0	126.0	173.0	181.0	121.0	45.0
2002.0	3.0	156.0	25.0	322.0	130.0	155.0	126.0	65.0	5.0
Мужчины									
1989.0	...	116.0	15.0	198.0	175.0	193.0	183.0	105.0	15.0
2002.0	4.0	158.0	25.0	291.0	162.0	168.0	128.0	49.0	2.0
Женщины									
1989.0	...	105.0	17.0	252.0	88.0	157.0	180.0	133.0	68.0
2002.0	2.0	155.0	25.0	345.0	104.0	145.0	126.0	78.0	7.0
Сельское население									
1989.0	...	33.0	6.0	133.0	130.0	95.0	195.0	279.0	129.0
2002.0	1.0	59.0	10.0	226.0	185.0	120.0	189.0	189.0	20.0
Мужчины									
1989.0	...	32.0	5.0	107.0	212.0	120.0	211.0	260.0	53.0
2002.0	1.0	54.0	9.0	192.0	255.0	136.0	189.0	150.0	13.0
Женщины									
1989.0	...	34.0	6.0	152.0	69.0	77.0	183.0	293.0	186.0
2002.0	1.0	62.0	11.0	255.0	127.0	106.0	190.0	221.0	26.0
Тульская область									
Городское и сельское население									
1989.0	...	93.0	11.0	181.0	110.0	165.0	204.0	163.0	73.0
2002.0	2.0	138.0	22.0	280.0	122.0	170.0	156.0	98.0	9.0
Мужчины									
1989.0	...	94.0	12.0	153.0	164.0	183.0	206.0	157.0	31.0
2002.0	3.0	133.0	23.0	257.0	160.0	184.0	155.0	77.0	5.0
Женщины									
1989.0	...	92.0	11.0	202.0	69.0	150.0	202.0	168.0	106.0
