5. ЖЕНЩИНЫ НАИБОЛЕЕ МНОГОЧИСЛЕННЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ И ЧИСЛУ РОЖДЕННЫХ ДЕТЕЙ													
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
	Всего	Женщины, указавшие число рожденных детей	из них женщины с числом рожденных детей								Общее число рожденных детей	Среднее число рожденных детей (на 1000 женщин)	Женщины, не указавшие число рожденных детей
55 – 59	22068.0	21994.0	1531.0	3327.0	7504.0	4820.0	1828.0	1835.0	628.0	521.0	57168.0	2599.0	74.0
60 – 64	42710.0	42579.0	2792.0	4787.0	11496.0	8934.0	4725.0	5395.0	2351.0	2099.0	131113.0	3079.0	131.0
65 – 69	39587.0	39478.0	2825.0	4183.0	8196.0	7452.0	5150.0	5535.0	2882.0	3255.0	134788.0	3414.0	109.0
70 и более	80044.0	79788.0	7215.0	10167.0	12322.0	12114.0	10080.0	9974.0	6839.0	11077.0	294806.0	3695.0	256.0
Чуваши													
Женщины в возрасте 15 лет и более	750201.0	745136.0	158087.0	157666.0	241373.0	97865.0	34122.0	29672.0	12956.0	13395.0	1403829.0	1884.0	5065.0
в том числе в возрасте, лет:													
15 – 17	39581.0	38963.0	38523.0	393.0	47.0	-	-	-	-	-	487.0	12.0	618.0
18 – 19	24356.0	24032.0	22592.0	1337.0	94.0	9.0	-	-	-	-	1552.0	65.0	324.0
20 – 24	52879.0	52207.0	33605.0	15541.0	2788.0	178.0	40.0	4.0	39.0	12.0	22149.0	424.0	672.0
25 – 29	54929.0	54477.0	13996.0	25384.0	12984.0	1658.0	308.0	43.0	32.0	72.0	58529.0	1074.0	452.0
30 – 34	59395.0	59034.0	6531.0	20912.0	25530.0	4701.0	872.0	263.0	94.0	131.0	92425.0	1566.0	361.0
35 – 39	75502.0	75016.0	4607.0	19511.0	38487.0	9640.0	1694.0	638.0	202.0	237.0	138452.0	1846.0	486.0
40 – 44	87175.0	86740.0	5124.0	15851.0	44463.0	15803.0	3235.0	1449.0	442.0	373.0	178030.0	2052.0	435.0
45 – 49	72027.0	71728.0	4004.0	12433.0	34075.0	14445.0	3356.0	2247.0	584.0	584.0	156726.0	2185.0	299.0
50 – 54	58488.0	58249.0	3641.0	10575.0	25387.0	11573.0	2877.0	2648.0	910.0	638.0	131368.0	2255.0	239.0
55 – 59	28958.0	28830.0	2170.0	4927.0	11614.0	5290.0	1756.0	1928.0	641.0	504.0	68545.0	2378.0	128.0
60 – 64	52008.0	51715.0	4410.0	7771.0	17085.0	10223.0	4582.0	4827.0	1590.0	1227.0	134379.0	2598.0	293.0
65 – 69	48113.0	47909.0	5207.0	6963.0	11938.0	9465.0	5002.0	5182.0	2244.0	1908.0	133620.0	2789.0	204.0
70 и более	96790.0	96236.0	13677.0	16068.0	16881.0	14880.0	10400.0	10443.0	6178.0	7709.0	287567.0	2988.0	554.0
Чеченцы													
Женщины в возрасте 15 лет и более	108458.0	97390.0	31796.0	11636.0	16029.0	14404.0	10196.0	5970.0	3218.0	4141.0	210618.0	2163.0	11068.0
в том числе в возрасте, лет:													
15 – 17	10833.0	9380.0	9138.0	213.0	28.0	1.0	-	-	-	-	272.0	29.0	1453.0
18 – 19	6827.0	5992.0	5236.0	604.0	134.0	18.0	-	-	-	-	926.0	155.0	835.0
20 – 24	15544.0	13751.0	8260.0	2869.0	1985.0	447.0	119.0	28.0	31.0	12.0	9066.0	659.0	1793.0
25 – 29	12818.0	11403.0	3552.0	1983.0	3169.0	1874.0	567.0	143.0	50.0	65.0	17731.0	1555.0	1415.0
30 – 34	12544.0	11321.0	2089.0	1541.0	2839.0	2696.0	1390.0	478.0	151.0	137.0	25226.0	2228.0	1223.0
35 – 39	12423.0	11390.0	1308.0	1235.0	2347.0	2943.0	2020.0	904.0	410.0	223.0	31524.0	2768.0	1033.0
40 – 44	11930.0	10898.0	922.0	1010.0	2078.0	2509.0	2263.0	1149.0	514.0	453.0	34107.0	3130.0	1032.0
45 – 49	9061.0	8270.0	520.0	666.0	1502.0	1782.0	1553.0	1098.0	587.0	562.0	28690.0	3469.0	791.0
50 – 54	5482.0	5033.0	275.0	435.0	748.0	878.0	841.0	862.0	413.0	581.0	19412.0	3857.0	449.0
55 – 59	2001.0	1809.0	100.0	202.0	237.0	252.0	292.0	264.0	204.0	258.0	7262.0	4014.0	192.0
60 – 64	2713.0	2490.0	128.0	285.0	342.0	323.0	360.0	325.0	252.0	475.0	10446.0	4195.0	223.0
65 – 69	2606.0	2367.0	134.0	238.0	270.0	246.0	338.0	319.0	267.0	555.0	10819.0	4571.0	239.0
70 и более	3676.0	3286.0	134.0	355.0	350.0	435.0	453.0	400.0	339.0	820.0	15137.0	4607.0	390.0
Армяне													
Женщины в возрасте 15 лет и более	398482.0	381585.0	87429.0	75404.0	134607.0	58144.0	16245.0	5645.0	2006.0	2105.0	641225.0	1680.0	16897.0
в том числе в возрасте, лет:													
15 – 17	28830.0	26261.0	25916.0	317.0	28.0	-	-	-	-	-	373.0	14.0	2569.0
18 – 19	18372.0	16811.0	15484.0	1136.0	173.0	18.0	-	-	-	-	1536.0	91.0	1561.0
20 – 24	41131.0	38134.0	22293.0	10890.0	4516.0	341.0	50.0	4.0	22.0	18.0	21423.0	562.0	2997.0
25 – 29	39263.0	37358.0	8074.0	11972.0	14676.0	2249.0	264.0	18.0	13.0	92.0	50012.0	1339.0	1905.0
30 – 34	40732.0	39445.0	3661.0	9212.0	20269.0	5292.0	732.0	114.0	29.0	136.0	70445.0	1786.0	1287.0
35 – 39	43343.0	42083.0	2261.0	7474.0	21326.0	8927.0	1533.0	386.0	57.0	119.0	86256.0	2050.0	1260.0
40 – 44	46915.0	45706.0	2054.0	7528.0	22289.0	10915.0	2193.0	453.0	85.0	189.0	97926.0	2143.0	1209.0
45 – 49	34439.0	33610.0	1735.0	6153.0	15308.0	7788.0	1880.0	516.0	112.0	118.0	71886.0	2139.0	829.0
50 – 54	24264.0	23569.0	1194.0	4793.0	9954.0	5392.0	1557.0	473.0	113.0	93.0	50924.0	2161.0	695.0
55 – 59	12591.0	12175.0	675.0	2689.0	4766.0	2608.0	996.0	252.0	117.0	72.0	26555.0	2181.0	416.0
60 – 64	19531.0	18895.0	1072.0	3728.0	6845.0	4397.0	1773.0	680.0	195.0	205.0	43861.0	2321.0	636.0
65 – 69	16529.0	16072.0	911.0	3073.0	5288.0	3664.0	1887.0	837.0	259.0	153.0	39167.0	2437.0	457.0
70 и более	32542.0	31466.0	2099.0	6439.0	9169.0	6553.0	3380.0	1912.0	1004.0	910.0	80861.0	2570.0	1076.0
Мордва													
Женщины в возрасте 15 лет и более	419967.0	414390.0	62597.0	92635.0	155619.0	53984.0	20985.0	13970.0	6897.0	7703.0	822977.0	1986.0	5577.0
в том числе в возрасте, лет:													
15 – 17	13656.0	13136.0	12973.0	120.0	43.0	-	-	-	-	-	206.0	16.0	520.0
18 – 19	8669.0	8397.0	7880.0	449.0	60.0	8.0	-	-	-	-	593.0	71.0	272.0
20 – 24	19857.0	19217.0	11814.0	6490.0	833.0	61.0	5.0	-	4.0	10.0	8453.0	440.0	640.0
25 – 29	21309.0	20874.0	4628.0	11238.0	4498.0	391.0	59.0	29.0	8.0	23.0	22015.0	1055.0	435.0
30 – 34	25397.0	25108.0	2358.0	10595.0	10603.0	1241.0	209.0	35.0	29.0	38.0	36994.0	1473.0	289.0
35 – 39	36545.0	36163.0	1962.0	11059.0	19483.0	2941.0	421.0	152.0	68.0	77.0	62294.0	1723.0	382.0
40 – 44	48293.0	47827.0	2194.0	10382.0	28224.0	5698.0	896.0	223.0	95.0	115.0	90135.0	1885.0	466.0
45 – 49	44403.0	43981.0	2268.0	8916.0	24372.0	6373.0	1240.0	492.0	136.0	184.0	86475.0	1966.0	422.0
50 – 54	39034.0	38698.0	2116.0	7595.0	19912.0	6210.0	1522.0	834.0	249.0	260.0	79913.0	2065.0	336.0
55 – 59	17914.0	17764.0	971.0	3394.0	8329.0	3226.0	820.0	605.0	211.0	208.0	38996.0	2195.0	150.0
60 – 64	36709.0	36324.0	2362.0	5526.0	13772.0	8134.0	3118.0	2097.0	705.0	610.0	89451.0	2463.0	385.0
65 – 69	31039.0	30725.0	2429.0	4488.0	9621.0	6547.0	3550.0	2287.0	1004.0	799.0	81422.0	2650.0	314.0
70 и более	77142.0	76176.0	8642.0	12383.0	15869.0	13154.0	9145.0	7216.0	4388.0	5379.0	226030.0	2967.0	966.0
Аварцы													
Женщины в возрасте 15 лет и более	290006.0	287079.0	93427.0	34750.0	52133.0	44059.0	27160.0	16035.0	9007.0	10508.0	600007.0	2090.0	2927.0
в том числе в возрасте, лет:													
15 – 17	27270.0	26880.0	26660.0	183.0	37.0	-	-	-	-	-	257.0	10.0	390.0
18 – 19	18138.0	17978.0	16930.0	904.0	126.0	18.0	-	-	-	-	1210.0	67.0	160.0
20 – 24	37529.0	37181.0	25056.0	7402.0	3890.0	655.0	109.0	18.0	29.0	22.0	18003.0	484.0	348.0
25 – 29	32281.0	31917.0	9548.0	7104.0	9972.0	3925.0	1008.0	158.0	75.0	127.0	45107.0	1413.0	364.0
30 – 34	32683.0	32376.0	4873.0	4943.0	10432.0	7881.0	3077.0	747.0	273.0	150.0	68336.0	2111.0	307.0
35 – 39	31950.0	31635.0	3046.0	3722.0	8358.0	9196.0	4697.0	1538.0	722.0	356.0	81637.0	2581.0	315.0
40 – 44	28623.0	28384.0	2097.0	2819.0	6605.0	7891.0	5055.0	2316.0	907.0	694.0	82412.0	2903.0	239.0
45 – 49	18073.0	17916.0	1153.0	1845.0	3481.0	4138.0	3360.0	2165.0	941.0	833.0	57811.0	3227.0	157.0
50 – 54	13007.0	12894.0	654.0	1079.0	2374.0	2653.0	2278.0	1844.0	936.0	1076.0	46595.0	3614.0	113.0
55 – 59	6834.0	6789.0	410.0	620.0	1003.0	1096.0	1190.0	929.0	693.0	848.0	26409.0	3890.0	45.0
60 – 64	11139.0	11031.0	706.0	857.0	1580.0	1767.0	1727.0	1571.0	1145.0	1678.0	44864.0	4067.0	108.0
65 – 69	12094.0	11940.0	715.0	1005.0	1478.0	1654.0	1695.0	2098.0	1393.0	1902.0	50237.0	4207.0	154.0
70 и более	20385.0	20158.0	1579.0	2267.0	2797.0	3185.0	2964.0	2651.0	1893.0	2822.0	77129.0	3826.0	227.0
Белорусы													
Женщины в возрасте 15 лет и более	413126.0	402568.0	44479.0	120591.0	169287.0	44852.0	12030.0	5825.0	2306.0	3198.0	710472.0	1765.0	10558.0
в том числе в возрасте, лет:													
15 – 17	7312.0	6474.0	6319.0	122.0	33.0	-	-	-	-	-	188.0	29.0	838.0
18 – 19	4889.0	4405.0	3986.0	371.0	40.0	8.0	-	-	-	-	475.0	108.0	484.0
20 – 24	14482.0	13295.0	8212.0	4311.0	667.0	65.0	22.0	10.0	5.0	3.0	6029.0	453.0	1187.0
25 – 29	19139.0	18338.0	4387.0	10118.0	3378.0	333.0	49.0	9.0	9.0	55.0	18659.0	1018.0	801.0
30 – 34	26226.0	25428.0	2452.0	12892.0	8551.0	1152.0	172.0	93.0	37.0	79.0	35480.0	1395.0	798.0
35 – 39	35817.0	35027.0	2097.0	12857.0	16627.0	2620.0	510.0	130.0	60.0	126.0	58001.0	1656.0	790.0
40 – 44	46798.0	45924.0	2262.0	13431.0	24178.0	4738.0	801.0	289.0	73.0	152.0	82269.0	1791.0	874.0
45 – 49	41558.0	40884.0	1943.0	10939.0	21420.0	4912.0	962.0	367.0	121.0	220.0	76675.0	1875.0	674.0
50 – 54	40508.0	39752.0	2039.0	11160.0	20215.0	4514.0	908.0	506.0	133.0	277.0	74293.0	1869.0	756.0
55 – 59	28955.0	28513.0	1458.0	7746.0	14214.0	3563.0	770.0	426.0	157.0	179.0	54465.0	1910.0	442.0
60 – 64	44567.0	43796.0	2283.0	12072.0	21009.0	5774.0	1394.0	653.0	277.0	334.0	84578.0	1931.0	771.0
65 – 69	37734.0	36984.0	2232.0	9561.0	16629.0	5530.0	1655.0	825.0	244.0	308.0	74167.0	2005.0	750.0
70 и более	65141.0	63748.0	4809.0	15011.0	22326.0	11643.0	4787.0	2517.0	1190.0	1465.0	145193.0	2278.0	1393.0
Казахи													
Женщины в возрасте 15 лет и более	252715.0	247782.0	63395.0	47332.0	66991.0	31384.0	12782.0	9403.0	5759.0	10736.0	499185.0	2015.0	4933.0
в том числе в возрасте, лет:													
15 – 17	20451.0	19668.0	19382.0	255.0	31.0	-	-	-	-	-	317.0	16.0	783.0
18 – 19	12630.0	12125.0	11026.0	981.0	113.0	5.0	-	-	-	-	1222.0	101.0	505.0
20 – 24	26451.0	25555.0	15414.0	8051.0	1860.0	175.0	31.0	5.0	15.0	4.0	12563.0	492.0	896.0
25 – 29	24866.0	24286.0	6064.0	9612.0	7384.0	939.0	190.0	30.0	22.0	45.0	28589.0	1177.0	580.0
30 – 34	27642.0	27172.0	3338.0	8264.0	11763.0	2955.0	605.0	133.0	42.0	72.0	44612.0	1642.0	470.0
35 – 39	32708.0	32297.0	2534.0	6874.0	15256.0	5694.0	1323.0	410.0	105.0	101.0	63260.0	1959.0	411.0
40 – 44	32023.0	31676.0	2092.0	5382.0	13510.0	7127.0	2083.0	882.0	319.0	281.0	70672.0	2231.0	347.0
45 – 49	21877.0	21585.0	1241.0	2991.0	7775.0	5356.0	2275.0	1059.0	486.0	402.0	55051.0	2550.0	292.0
50 – 54	14647.0	14464.0	760.0	1652.0	4293.0	3799.0	1645.0	1321.0	419.0	575.0	41941.0	2900.0	183.0
55 – 59	6960.0	6905.0	283.0	644.0	1483.0	1385.0	902.0	908.0	491.0	809.0	25585.0	3705.0	55.0
60 – 64	10819.0	10688.0	378.0	821.0	1382.0	1592.0	1343.0	1690.0	1335.0	2147.0	48607.0	4548.0	131.0
65 – 69	7955.0	7871.0	284.0	559.0	735.0	775.0	926.0	1196.0	999.0	2397.0	40647.0	5164.0	84.0
70 и более	13686.0	13490.0	599.0	1246.0	1406.0	1582.0	1459.0	1769.0	1526.0	3903.0	66119.0	4901.0	196.0
Удмурты													
Женщины в возрасте 15 лет и более	305069.0	303652.0	54268.0	65282.0	104860.0	44805.0	14061.0	10798.0	4826.0	4752.0	586030.0	1930.0	1417.0
в том числе в возрасте, лет:													
15 – 17	14517.0	14358.0	14116.0	200.0	42.0	-	-	-	-	-	284.0	20.0	159.0
18 – 19	9169.0	9087.0	8250.0	765.0	69.0	3.0	-	-	-	-	912.0	100.0	82.0
20 – 24	20989.0	20801.0	12125.0	7371.0	1187.0	73.0	12.0	-	25.0	8.0	10218.0	491.0	188.0
25 – 29	21289.0	21163.0	4663.0	10077.0	5677.0	630.0	63.0	10.0	8.0	35.0	23957.0	1132.0	126.0
30 – 34	21287.0	21215.0	1995.0	7183.0	9582.0	1942.0	382.0	69.0	5.0	57.0	34517.0	1627.0	72.0
35 – 39	28856.0	28797.0	1587.0	6671.0	14733.0	4744.0	768.0	196.0	37.0	61.0	55146.0	1915.0	59.0
40 – 44	38430.0	38322.0	1697.0	6770.0	19846.0	7836.0	1290.0	549.0	161.0	173.0	80213.0	2093.0	108.0
45 – 49	33494.0	33386.0	1640.0	5694.0	16070.0	7115.0	1488.0	923.0	261.0	195.0	72870.0	2183.0	108.0
50 – 54	25211.0	25147.0	1188.0	4308.0	11769.0	5122.0	1158.0	973.0	368.0	261.0	57033.0	2268.0	64.0
55 – 59	10994.0	10915.0	616.0	2028.0	4699.0	2127.0	654.0	477.0	159.0	155.0	24939.0	2285.0	79.0
60 – 64	20221.0	20111.0	1411.0	3486.0	6823.0	4178.0	1684.0	1502.0	515.0	512.0	51027.0	2537.0	110.0
65 – 69	19166.0	19094.0	1426.0	2939.0	5391.0	3892.0	1893.0	2036.0	890.0	627.0	53386.0	2796.0	72.0
70 и более	41446.0	41256.0	3554.0	7790.0	8972.0	7143.0	4669.0	4063.0	2397.0	2668.0	121528.0	2946.0	190.0
Азербайджанцы													
Женщины в возрасте 15 лет и более	155890.0	149363.0	34304.0	25747.0	50059.0	24556.0	7933.0	3104.0	1509.0	2151.0	273390.0	1830.0	6527.0
в том числе в возрасте, лет:													
15 – 17	13176.0	12048.0	11708.0	294.0	46.0	-	-	-	-	-	386.0	32.0	1128.0
18 – 19	7840.0	7324.0	6121.0	938.0	245.0	20.0	-	-	-	-	1488.0	203.0	516.0
20 – 24	19420.0	18437.0	8145.0	5793.0	4036.0	386.0	39.0	1.0	24.0	13.0	15419.0	836.0	983.0
25 – 29	22199.0	21401.0	3055.0	5822.0	9743.0	2311.0	333.0	56.0	8.0	73.0	34470.0	1611.0	798.0
30 – 34	25696.0	24842.0	1757.0	3992.0	12650.0	5200.0	923.0	152.0	48.0	120.0	50584.0	2036.0	854.0
35 – 39	24279.0	23562.0	1296.0	3053.0	10498.0	6585.0	1651.0	294.0	71.0	114.0	53264.0	2261.0	717.0
40 – 44	17927.0	17201.0	865.0	2282.0	6467.0	4907.0	1884.0	548.0	94.0	154.0	41996.0	2441.0	726.0
45 – 49	9167.0	8904.0	505.0	1309.0	2813.0	2322.0	1144.0	489.0	186.0	136.0	23112.0	2596.0	263.0
50 – 54	5094.0	4897.0	315.0	636.0	1378.0	1204.0	639.0	371.0	169.0	185.0	13954.0	2849.0	197.0
55 – 59	2219.0	2132.0	134.0	342.0	553.0	432.0	250.0	163.0	108.0	150.0	6411.0	3007.0	87.0
60 – 64	2871.0	2785.0	132.0	470.0	624.0	446.0	334.0	277.0	201.0	301.0	9402.0	3376.0	86.0
65 – 69	2507.0	2454.0	99.0	349.0	440.0	294.0	357.0	332.0	235.0	348.0	9506.0	3874.0	53.0
70 и более	3495.0	3376.0	172.0	467.0	566.0	449.0	379.0	421.0	365.0	557.0	13398.0	3969.0	119.0
Марийцы													
Женщины в возрасте 15 лет и более	273873.0	272407.0	58094.0	56943.0	85115.0	37189.0	13277.0	10823.0	5346.0	5620.0	522306.0	1917.0	1466.0
в том числе в возрасте, лет:													
15 – 17	16732.0	16535.0	16238.0	252.0	45.0	-	-	-	-	-	342.0	21.0	197.0
18 – 19	10139.0	10079.0	9190.0	795.0	88.0	6.0	-	-	-	-	989.0	98.0	60.0
20 – 24	22612.0	22352.0	13506.0	7325.0	1344.0	155.0	9.0	1.0	3.0	9.0	10600.0	474.0	260.0
25 – 29	21033.0	20871.0	4615.0	9829.0	5359.0	830.0	150.0	34.0	4.0	50.0	24215.0	1160.0	162.0
30 – 34	22116.0	22039.0	2107.0	7567.0	9475.0	2234.0	487.0	102.0	21.0	46.0	36167.0	1641.0	77.0
35 – 39	28805.0	28672.0	1597.0	6554.0	14514.0	4404.0	985.0	349.0	157.0	112.0	56333.0	1965.0	133.0
40 – 44	34805.0	34675.0	1761.0	5929.0	16940.0	6945.0	1687.0	851.0	340.0	222.0	75439.0	2176.0	130.0
45 – 49	29078.0	28970.0	1498.0	4416.0	12653.0	6674.0	1858.0	1124.0	349.0	398.0	67917.0	2344.0	108.0
50 – 54	21119.0	21009.0	1185.0	3489.0	8408.0	4495.0	1326.0	1275.0	444.0	387.0	51157.0	2435.0	110.0
55 – 59	8862.0	8821.0	641.0	1470.0	3378.0	1731.0	593.0	561.0	278.0	169.0	21628.0	2452.0	41.0
60 – 64	15292.0	15233.0	1149.0	2465.0	4454.0	3074.0	1313.0	1525.0	650.0	603.0	42041.0	2760.0	59.0
65 – 69	13966.0	13934.0	1217.0	2169.0	3116.0	2465.0	1660.0	1695.0	861.0	751.0	41980.0	3013.0	32.0
70 и более	29314.0	29217.0	3390.0	4683.0	5341.0	4176.0	3209.0	3306.0	2239.0	2873.0	93498.0	3200.0	97.0
Немцы													
Женщины в возрасте 15 лет и более	269960.0	266467.0	52396.0	60422.0	87685.0	36897.0	13081.0	7844.0	3796.0	4346.0	496637.0	1864.0	3493.0
