1.9. МЕДИАННЫЙ ВОЗРАСТ НАСЕЛЕНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Городское и сельское население		Городское население		Сельское население	
г. Москва						
Мужчины и женщины	36.0	39.3	36.0	39.3	50.9	-
Мужчины	33.1	36.6	33.1	36.6	41.1	-
Женщины	38.7	41.7	38.7	41.7	58.3	-
Северо-Западный федеральный округ						
Мужчины и женщины	33.0	38.5	32.9	38.2	33.9	40.2
Мужчины	30.6	34.9	30.5	34.4	31.1	37.0
Женщины	35.5	41.4	35.2	41.1	37.7	43.0
Республика Карелия						
Мужчины и женщины	31.7	37.1	31.3	35.9	33.4	40.6
Мужчины	29.6	33.9	29.2	32.6	31.1	37.9
Женщины	33.9	39.9	33.5	38.8	36.5	43.1
Республика Коми						
Мужчины и женщины	29.4	34.5	29.3	33.7	29.4	36.8
Мужчины	28.4	32.3	28.4	31.5	28.5	34.8
Женщины	30.5	36.8	30.4	36.0	30.8	38.9
Архангельская область						
Мужчины и женщины	31.2	36.5	30.9	35.4	32.0	39.3
Мужчины	29.3	33.3	29.0	32.2	30.1	36.7
Женщины	33.3	39.3	32.9	38.4	34.5	41.9
Ненецкий автономный округ						
Мужчины и женщины	28.3	31.5	28.6	31.3	27.8	31.8
Мужчины	27.6	29.7	28.1	29.6	27.1	30.0
Женщины	29.0	33.4	29.2	33.2	28.7	33.8
Вологодская область						
Мужчины и женщины	33.1	38.3	32.1	36.5	35.2	41.8
Мужчины	30.6	35.5	30.1	33.4	31.4	39.3
Женщины	35.8	40.7	34.0	39.0	41.9	44.3
Калининградская область						
Мужчины и женщины	32.8	37.0	33.1	37.7	31.3	34.1
Мужчины	30.2	33.6	30.5	34.1	29.1	31.9
Женщины	35.3	40.1	35.6	40.9	33.7	36.7
Ленинградская область						
Мужчины и женщины	34.3	39.9	34.3	39.5	34.4	40.5
Мужчины	32.0	35.9	32.1	35.6	31.8	36.7
Женщины	36.7	42.7	36.4	42.3	37.3	43.5
Мурманская область						
Мужчины и женщины	29.9	34.4	30.3	35.0	26.4	27.9
Мужчины	28.4	31.1	28.7	31.8	25.7	23.9
Женщины	31.6	38.2	32.1	38.4	27.1	34.0
Новгородская область						
Мужчины и женщины	40.5	40.5	38.7	38.7	44.0	44.0
Мужчины	37.0	37.0	35.1	35.1	40.9	40.9
Женщины	43.1	43.1	41.5	41.5	47.6	47.6
Псковская область						
Мужчины и женщины	36.6	40.8	33.6	38.4	47.2	45.4
Мужчины	33.4	37.4	31.7	34.7	37.2	41.6
Женщины	40.0	43.7	35.5	41.3	54.3	50.2
г. Санкт-Петербург						
Мужчины и женщины	34.9	40.1	34.9	40.1	-	-
Мужчины	31.8	36.2	31.8	36.2	-	-
Женщины	37.8	43.0	37.8	43.0	-	-
Южный федеральный округ						
Мужчины и женщины	32.0	34.2	32.8	35.2	30.7	32.9
Мужчины	29.7	31.6	30.5	32.2	28.5	30.8
Женщины	34.3	36.7	35.0	37.9	33.1	35.0
Республика Адыгея						
Мужчины и женщины	34.0	37.0	33.3	36.6	34.9	37.4
Мужчины	31.3	34.0	31.1	33.4	31.5	34.5
Женщины	36.7	39.6	35.2	39.2	38.9	40.1
Республика Дагестан						
Мужчины и женщины	23.5	25.2	24.9	25.1	22.4	25.2
Мужчины	21.8	24.0	23.2	23.9	20.7	24.1
Женщины	25.0	26.3	26.4	26.3	23.9	26.3
Республика Ингушетия						
Мужчины и женщины	…	22.2	…	22.4	…	22.1
Мужчины	…	21.4	…	21.5	…	21.4
Женщины	…	22.9	…	23.3	…	22.6
Кабардино–Балкарская Республика						
Мужчины и женщины	28.4	30.9	29.5	32.4	26.9	29.0
Мужчины	26.8	29.1	27.5	30.0	25.8	27.8
Женщины	30.0	32.8	31.3	34.7	28.0	30.2
Республика Калмыкия						
Мужчины и женщины	27.3	33.0	28.1	32.0	26.7	33.8
Мужчины	26.5	31.2	26.9	29.4	26.2	32.6
Женщины	28.1	34.7	29.1	34.2	27.3	35.1
Карачаево-Черкесская Республика						
Мужчины и женщины	29.6	33.2	30.1	33.4	29.2	33.1
Мужчины	27.9	31.0	26.4	30.9	27.5	31.1
Женщины	31.3	35.2	31.6	35.5	31.0	35.0
Республика Северная Осетия – Алания						
Мужчины и женщины	30.6	33.8	31.3	34.2	29.2	32.9
Мужчины	28.2	30.4	28.4	30.1	27.7	30.9
Женщины	33.0	36.9	33.9	37.9	30.8	34.9
Чеченская Республика						
Мужчины и женщины	…	22.7	…	22.8	…	22.7
Мужчины	…	21.6	…	22.0	…	21.5
Женщины	…	23.9	…	23.7	…	24.1
Краснодарский край						
Мужчины и женщины	35.1	37.9	35.0	38.0	35.2	37.9
Мужчины	32.2	34.9	32.4	34.8	32.0	35.0
Женщины	38.0	40.4	37.5	40.5	38.8	40.3
Ставропольский край						
Мужчины и женщины	32.9	35.8	33.4	35.8	32.2	35.8
Мужчины	30.4	32.8	31.1	32.4	29.8	33.3
Женщины	35.3	38.5	35.5	38.7	35.0	38.3
Астраханская область						
Мужчины и женщины	31.4	35.4	32.3	35.7	29.5	34.8
Мужчины	29.5	32.6	30.3	32.4	28.0	32.9
Женщины	33.3	38.0	34.4	38.7	31.3	36.6
Волгоградская область						
Мужчины и женщины	34.3	38.0	34.1	37.9	34.8	38.0
Мужчины	31.6	34.9	31.7	34.6	31.4	35.7
Женщины	37.0	40.6	36.5	40.7	39.2	40.2
Ростовская область						
Мужчины и женщины	34.5	38.3	34.1	38.4	35.5	38.1
Мужчины	31.9	35.2	31.7	35.1	32.7	35.5
Женщины	37.0	40.7	36.4	40.9	38.9	40.4
Приволжский федеральный округ						
Мужчины и женщины	32.5	37.4	32.0	36.9	34.1	38.5
Мужчины	30.1	34.5	30.0	33.8	30.4	35.8
Женщины	35.1	39.9	34.1	39.4	39.4	41.1
Республика Башкортостан						
Мужчины и женщины	30.7	35.6	30.2	35.2	31.8	36.4
Мужчины	28.7	33.4	28.5	32.8	29.0	34.4
Женщины	32.9	37.7	31.9	37.3	35.6	38.5
Республика Марий Эл						
Мужчины и женщины	30.7	36.7	30.8	36.7	30.6	36.7
Мужчины	28.6	34.0	29.2	33.8	27.6	34.3
Женщины	33.0	39.0	32.3	38.9	34.7	39.2
Республика Мордовия						
Мужчины и женщины	33.2	38.7	30.8	36.8	38.0	41.3
Мужчины	30.2	35.9	29.3	34.1	31.6	38.0
Женщины	36.6	41.2	32.3	38.9	48.8	45.0
Республика Татарстан						
Мужчины и женщины	31.7	36.5	30.5	35.7	36.9	38.7
Мужчины	29.4	33.8	28.8	32.9	31.4	36.0
Женщины	34.0	38.8	32.2	38.0	46.0	41.6
Удмуртская Республика						
Мужчины и женщины	30.6	35.8	30.9	35.6	29.9	36.1
Мужчины	28.5	32.8	28.9	32.4	27.6	33.5
Женщины	32.8	38.4	32.7	38.3	33.0	38.6
Чувашская Республика						
Мужчины и женщины	30.7	36.0	28.9	34.4	34.6	38.4
Мужчины	28.1	33.7	27.3	32.4	29.4	35.5
Женщины	33.5	38.2	30.3	36.2	42.5	42.0
Кировская область						
Мужчины и женщины	33.7	39.3	33.2	38.5	35.0	41.2
Мужчины	31.2	36.3	31.1	35.2	31.5	38.7
Женщины	36.6	41.7	35.5	41.0	40.2	43.5
Нижегородская область						
Мужчины и женщины	35.7	39.8	34.6	39.1	41.1	42.3
Мужчины	32.4	36.1	32.0	35.3	34.1	38.6
Женщины	39.1	42.7	37.2	41.9	51.0	46.1
Оренбургская область						
Мужчины и женщины	31.2	35.9	29.2	35.7	33.4	36.1
Мужчины	31.4	33.1	29.6	32.8	33.2	33.6
Женщины	30.8	38.3	28.5	38.3	33.8	38.4
Пензенская область						
Мужчины и женщины	34.9	40.0	33.3	38.8	38.5	42.0
Мужчины	32.0	37.1	31.2	35.8	33.4	39.2
Женщины	38.1	42.4	35.4	41.2	47.1	44.9
Пермская область						
Мужчины и женщины	32.2	36.2	32.4	36.3	31.5	35.9
Мужчины	29.9	33.2	30.1	33.1	29.2	33.4
Женщины	34.6	39.0	34.7	39.1	34.5	38.4
Коми–Пермяцкий автономный округ						
Мужчины и женщины	31.0	36.1	30.0	33.6	31.4	36.8
Мужчины	28.8	34.0	29.1	31.8	28.6	34.6
Женщины	34.0	38.1	31.1	35.5	35.5	39.0
Самарская область						
Мужчины и женщины	33.7	37.9	33.5	37.5	34.2	39.1
Мужчины	31.2	34.5	31.3	34.0	31.0	36.5
Женщины	36.0	40.6	35.6	40.5	38.2	41.4
Саратовская область						
Мужчины и женщины	33.7	38.1	33.6	38.1	34.0	38.2
Мужчины	30.9	35.2	30.9	34.9	31.0	35.9
Женщины	36.5	40.6	36.1	40.7	37.7	40.3
Ульяновская область						
Мужчины и женщины	32.7	38.5	31.4	37.5	37.5	41.2
Мужчины	30.5	35.8	29.7	34.7	32.7	38.6
Женщины	35.2	40.7	33.1	39.7	45.2	43.7
Уральский федеральный округ						
Мужчины и женщины	31.3	35.8	31.4	35.5	31.0	36.8
Мужчины	29.6	33.0	29.8	32.7	28.9	34.4
Женщины	33.2	38.4	33.1	38.2	33.5	39.1
Курганская область						
Мужчины и женщины	32.8	38.2	32.5	37.5	33.1	39.0
Мужчины	30.4	35.2	30.5	34.3	30.2	36.3
Женщины	35.2	40.5	34.3	39.9	36.6	41.3
Свердловская область						
Мужчины и женщины	33.1	37.3	33.2	37.2	32.5	38.2
Мужчины	30.7	33.7	30.9	33.6	29.4	35.0
Женщины	35.4	40.3	35.3	40.2	36.3	41.1
Тюменская область						
Мужчины и женщины	28.2	32.3	28.0	31.9	28.8	34.3
Мужчины	27.8	31.2	27.8	30.9	27.7	32.8
Женщины	28.6	33.5	28.3	32.9	30.1	35.9
Ханты-Мансийский автономный округ - Югра						
Мужчины и женщины	27.3	31.4	27.2	31.4	27.3	31.4
Мужчины	27.3	30.9	27.3	30.8	27.4	31.3
Женщины	27.2	32.1	27.2	32.1	27.1	31.6
Ямало-Ненецкий автономный округ						
Мужчины и женщины	27.4	31.0	27.7	31.4	26.4	28.4
Мужчины	27.7	30.8	28.0	31.2	26.7	28.3
Женщины	27.0	31.2	27.2	31.6	25.9	28.5
Челябинская область						
Мужчины и женщины	32.8	36.9	33.1	36.8	31.5	37.2
Мужчины	30.5	33.6	30.7	33.4	29.4	34.6
Женщины	35.1	39.7	35.4	39.8	33.8	39.4
Сибирский федеральный округ						
Мужчины и женщины	30.8	35.1	31.0	34.8	30.1	35.9
Мужчины	29.2	32.3	29.4	31.9	28.5	33.5
Женщины	32.5	37.8	32.7	37.6	32.0	38.2
Республика Алтай						
Мужчины и женщины	28.2	30.5	30.2	29.4	27.5	30.9
Мужчины	27.2	29.0	29.6	28.1	26.3	29.4
Женщины	29.2	32.0	30.9	30.5	28.7	32.6
Республика Бурятия						
Мужчины и женщины	28.1	31.6	28.7	31.2	27.1	32.2
Мужчины	26.9	29.4	27.6	29.0	25.6	30.1
Женщины	29.4	33.9	29.8	33.7	28.6	34.3
Республика Тыва						
Мужчины и женщины	23.2	25.5	26.4	26.4	19.8	24.5
Мужчины	22.3	24.3	25.7	25.2	19.2	23.2
Женщины	24.0	26.7	27.1	27.6	20.7	25.7
Республика Хакасия						
Мужчины и женщины	30.9	34.6	31.0	34.4	30.5	35.1
Мужчины	29.7	32.0	30.0	31.7	29.0	32.7
Женщины	32.2	37.2	32.2	37.2	32.2	37.4
Алтайский край						
Мужчины и женщины	32.2	37.2	31.9	35.3	32.7	39.3
Мужчины	30.2	34.2	30.1	32.4	30.4	36.7
Женщины	34.3	39.8	33.7	38.2	35.3	41.3
Красноярский край						
Мужчины и женщины	30.7	34.9	30.5	34.1	31.4	37.5
Мужчины	29.3	32.5	29.1	31.8	29.9	35.2
Женщины	32.2	37.4	31.8	36.7	33.4	39.6
Таймырский (Долгано-Ненецкий) автономный округ						
Мужчины и женщины	28.1	30.6	28.7	31.9	26.9	27.4
Мужчины	27.4	29.7	27.6	30.9	27.2	26.9
Женщины	28.8	31.5	29.6	33.1	26.6	28.0
Эвенкийский автономный округ						
Мужчины и женщины	27.5	31.4	27.9	30.0	27.4	32.2
Мужчины	28.0	31.5	28.2	29.6	27.9	32.4
Женщины	27.0	31.3	27.4	30.3	26.9	31.9
Иркутская область						
Мужчины и женщины	30.1	33.7	30.3	33.8	28.9	33.3
Мужчины	28.6	31.1	28.8	31.1	27.8	31.3
Женщины	31.6	36.4	31.8	36.7	30.3	35.3
Усть-Ордынский Бурятский автономный округ						
Мужчины и женщины	27.0	30.2	28.4	-	26.7	30.2
Мужчины	25.5	28.5	26.6	-	25.3	28.5
Женщины	28.4	31.9	30.0	-	28.0	31.9
Кемеровская область						
Мужчины и женщины	32.6	37.1	32.6	37.1	32.4	37.3
Мужчины	30.9	34.0	30.9	33.9	30.6	34.9
Женщины	34.5	39.7	34.5	39.7	34.5	39.5
Новосибирская область						
Мужчины и женщины	32.5	37.3	32.7	37.0	31.8	38.3
Мужчины	30.4	34.1	30.7	33.6	29.6	35.8
Женщины	34.6	40.0	34.6	39.9	34.4	40.4
Омская область						
Мужчины и женщины	30.2	35.9	30.7	36.0	29.3	35.6
Мужчины	28.5	33.0	28.9	32.9	27.4	33.3
Женщины	32.0	38.4	32.4	38.7	31.3	37.8
Томская область						
Мужчины и женщины	29.9	33.7	29.7	32.2	30.2	37.3
Мужчины	28.4	31.3	28.1	30.0	29.0	34.9
Женщины	31.4	36.3	31.4	34.7	31.5	39.4
Читинская область						
Мужчины и женщины	28.4	31.3	29.0	31.3	27.3	31.4
Мужчины	27.1	29.0	27.5	28.8	26.3	29.5
Женщины	29.8	34.0	30.6	34.2	28.3	33.5
Агинский Бурятский автономный округ						
Мужчины и женщины	23.5	28.1	24.4	27.9	23.1	28.3
Мужчины	21.8	26.7	22.6	26.6	21.4	26.7
Женщины	25.1	29.7	25.8	29.2	24.6	30.0
Дальневосточный федеральный округ						
Мужчины и женщины	29.3	33.9	29.9	34.3	27.7	32.3
Мужчины	28.3	31.6	28.7	32.0	26.9	30.1
Женщины	30.5	36.4	31.2	36.9	28.5	34.8
Республика Саха (Якутия)						
Мужчины и женщины	27.5	30.0	28.5	31.0	25.3	27.4
Мужчины	27.1	28.9	28.1	30.0	24.8	26.0
Женщины	27.9	31.2	28.9	32.2	25.9	28.8
Приморский край						
Мужчины и женщины	30.2	35.4	30.7	35.7	28.8	34.2
Мужчины	28.8	32.5	29.1	32.8	27.8	31.4
Женщины	31.9	38.4	32.4	38.6	30.0	37.4
Хабаровский край						
Мужчины и женщины	29.8	34.3	30.3	35.0	27.8	31.3
Мужчины	28.5	31.4	28.9	32.1	27.2	28.6
Женщины	31.2	37.3	32.0	37.9	28.5	34.5
Амурская область						
Мужчины и женщины	28.8	33.5	29.3	32.9	27.8	34.9
Мужчины	27.7	31.3	28.2	30.7	26.3	32.3
Женщины	30.1	36.1	30.5	35.3	29.1	37.6
Камчатская область						
Мужчины и женщины	28.7	33.4	28.6	33.1	29.1	34.6
Мужчины	28.0	31.7	27.7	31.3	29.2	33.5
Женщины	29.7	35.5	29.8	35.5	29.0	36.0
Корякский автономный округ						
Мужчины и женщины	29.0	33.6	29.5	32.9	28.6	33.9
Мужчины	29.0	33.2	29.4	31.9	28.8	33.5
Женщины	28.9	34.1	29.6	33.6	28.4	34.4
Магаданская область						
Мужчины и женщины	29.6	35.2	29.7	34.9	29.2	38.8
Мужчины	29.1	33.6	29.1	33.3	29.1	37.8
Женщины	30.2	36.9	30.2	36.7	29.2	40.1
Сахалинская область						
Мужчины и женщины	30.3	35.5	30.7	35.5	28.8	35.5
Мужчины	28.9	32.9	29.2	33.0	27.7	32.5
Женщины	31.8	38.2	32.3	38.1	29.9	38.9
Еврейская автономная область						
Мужчины и женщины	29.0	32.4	30.8	33.7	26.0	29.7
Мужчины	28.3	30.0	29.9	31.4	25.6	27.2
Женщины	29.8	35.1	31.7	36.1	26.5	32.9
Чукотский автономный округ						
Мужчины и женщины	29.3	32.6	29.9	34.6	27.6	28.4
Мужчины	29.3	32.1	29.9	34.0	27.5	27.9
Женщины	29.3	33.2	29.9	35.4	27.6	29.0
